,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2278249,1.3125472,0.94434756,0.77484554,1.2707502,1.2232593,0.8538335,1.2309594,0.6505548,0.902532,0.6925688,1.4036646,0.8560915,0.7833515,1.0135479,0.6887286,0.684259,0.90763336,1.3725406,1.100684,1.0983629,1.0828501,0.73852587,1.1974206,0.8210033,1.4549146,1.2239337,1.3822067,0.9556795,0.9688752,1.1494433,0.9445698,1.1919634,1.0545087,0.93420565,0.93806714,0.76992,0.8551851,1.3210721,0.7263175,1.405977,1.1059446,0.920081,0.70639765,0.9899365,1.1326041,1.2087034,0.88885283,1.1802378,1.2727095,0.91677535,0.9557794,1.3205171,1.037984,0.9029344,1.1563902,0.9777944,0.48538476,1.0872445,1.3689337,0.9631585,0.7551539,1.0959073,0.97399056,1.0781,0.9992057,1.3982452,0.8705503,0.9921878,0.7866273,0.98566884,0.7634304,1.2664435,1.1143153,1.3299954,0.90789187,0.84789217,1.0820299,0.6274159,0.9186021,1.1415213,0.8152329,1.4166675,1.0783591,1.3706985,1.4137645,1.1923922,1.1105338,0.92442787,0.77963024,0.9229111,0.6102441,0.9458032,1.321242,1.3261955,0.78638685,1.2060267,0.82460034,0.52063316,1.086388,0.9720956,1.0471978,0.8430754,1.3937335,1.2963724,1.0165818,0.7653032,1.0204885,0.98044217,0.8153602,0.80154026,0.84919894,1.0677623,0.89686716,1.0471581,0.8527777,0.90220106,0.66388476,1.4018713,0.78281486,1.3691833,0.96047866,0.89245856,1.1102223,0.9912002,0.9500513,1.0268074,0.9095351,0.8105173,0.8433157,0.67125994,1.2781305,1.0342761,1.4240291,1.2758155,0.97851616,1.0726045,1.0912316,0.68661666,0.6950979,1.2289045,1.1592828,1.460141,0.78587854
ankle,1.2278249,0.0,0.83435273,1.1059642,0.894608,0.8519443,0.8990049,0.9643654,0.9429075,1.3911409,1.1498911,1.2742375,0.7510601,1.2406447,1.084667,0.8905823,1.2724001,1.2003638,1.0302591,0.81405103,1.0902351,1.0858415,1.0734608,1.1942617,1.0409361,0.9491033,0.79820514,0.8954236,0.64470714,1.1606383,1.1589308,0.89489436,1.2842822,1.0091087,1.20927,1.2395976,1.0079676,1.2904992,1.1551397,0.80456865,1.4033383,0.91680044,0.98843944,1.2343261,1.0843303,0.7200707,1.14746,1.1266344,1.0144267,0.7124427,0.8153427,1.0970025,1.00266,0.38467187,0.8689499,0.88385534,0.80419904,1.0137792,1.0501521,0.8670589,0.68481743,0.7463354,1.0976846,0.95381993,0.9515744,1.0304596,0.61455697,0.60538906,0.9284601,1.1869403,1.2082822,1.056063,1.1287217,0.8547716,1.0554377,0.9038494,1.0834095,1.024741,1.186948,0.9712899,1.2253226,0.8502681,1.1707811,0.7634387,0.96769816,0.6348475,0.66905624,0.8523592,1.2119739,1.0180943,1.0394688,1.0433587,1.2780389,1.1015911,0.8157218,0.8334625,1.0723597,0.9497056,1.1215026,1.1990807,1.1154776,0.9312503,0.9752323,1.1049283,0.83433497,0.7793508,1.3306253,1.1895913,0.7399701,1.1350508,0.9899831,1.1117445,1.1090703,0.49783194,0.9786853,0.9875281,1.2233192,1.3603137,1.1843152,0.6065597,1.253931,0.87067366,0.778605,1.2263222,0.96190804,1.0676863,1.1482518,0.8039916,1.1314788,1.1328493,1.0664458,1.3685157,0.88817567,1.1332074,0.28479135,0.75780606,1.0228986,0.928116,0.8657983,1.3556168,1.1580024,0.8321299,1.0452874,0.6183,1.3161601
apple,1.3125472,0.83435273,0.0,1.172313,1.3367426,0.32583523,0.5601332,0.65601456,0.8569412,1.4826871,0.9941502,1.434753,0.41304278,1.483736,1.3609836,0.75674814,1.4527545,1.2562623,1.0351571,0.49855316,0.8537698,1.1559042,1.0436169,1.3744653,1.0230507,0.84393376,0.6108758,0.52013445,0.38176572,1.0959882,1.4157314,0.6942452,1.3388357,0.8304039,1.2567713,1.3282359,1.029091,1.4334179,1.2566495,0.24004221,1.5191703,0.38331383,0.8779076,1.1999252,1.2580194,1.0719334,1.1542065,1.1652453,1.3079507,0.8893919,0.55340827,1.1501048,1.0893484,0.71368605,0.46248114,0.7617236,0.7867027,1.0947208,0.90197176,0.98385537,0.5441044,1.02276,1.1415472,0.9886334,1.1210978,1.076809,1.2125515,0.45950812,1.1370713,1.3617439,1.3013561,1.2033101,1.3813794,0.5432715,1.117248,0.5512395,1.2238234,0.82400274,1.2638972,1.3884288,1.3097636,0.95315653,1.2635943,0.1785618,0.9664604,0.7320299,0.65024006,0.35462528,1.3247187,0.96002,1.3862014,1.3528264,1.3793589,1.2012076,0.3315274,0.28087366,1.064127,0.7984786,1.2424598,1.1471173,0.7347933,1.0709244,0.9134531,1.3845606,0.55586696,0.48891056,1.37896,1.181477,0.7610079,0.9928984,1.3012729,1.1427194,1.3075721,1.0105714,1.3266511,0.852052,1.2787647,1.2966905,1.3107948,0.3372848,1.1056328,0.4480288,1.2912142,1.1921967,0.8776282,0.7173033,1.1384252,0.6446548,1.3963194,1.3839133,1.1185527,1.4990668,0.7057749,1.1330079,0.49891496,0.74924904,0.94759804,0.86957073,0.5564869,1.4212072,1.1142637,0.8688175,1.1649739,0.29689002,1.2877438
applesauce,0.94434756,1.1059642,1.172313,0.0,1.0014085,1.0281429,0.9813112,1.0314933,1.0710902,0.8905488,1.1371834,1.0831014,1.2667115,1.1253119,0.96087074,1.1154529,1.044259,1.0202725,0.9259359,1.094584,0.4725682,0.9951426,0.78631335,0.92990184,0.9094825,1.0969868,1.1681558,1.153037,1.2743564,1.2136987,1.1619712,1.0418776,1.1244805,1.1043206,1.0832629,1.0385643,0.81150955,1.080655,0.8088272,1.2068595,1.0457779,0.990977,1.023083,0.67622507,1.0770162,1.1183585,1.0801076,1.1362785,1.057462,1.0581548,0.8503341,1.1572762,1.0323879,1.1349046,1.1727494,1.0542846,1.159871,0.77095747,1.0206306,0.9348302,1.181454,1.0329075,1.0484269,0.87410855,1.0167474,0.83244586,0.9380664,1.198057,1.060861,1.0056494,1.1241328,0.8281038,1.0819923,1.1410825,1.031544,1.0955966,0.9588835,0.8773371,0.7347381,0.8944563,1.043818,1.0757465,0.84697026,1.1500634,0.94093794,1.123121,1.1813028,1.0083312,1.105232,1.0027517,1.0866873,1.1743265,0.8333441,0.90767884,1.1953765,1.2082174,0.8877359,1.2170213,0.6905081,0.9908946,0.6725558,0.860283,0.95763487,1.0384271,1.2185863,1.1801149,1.0757457,0.95225996,1.2008076,0.72861606,1.0113789,0.9367172,1.0849009,0.98426753,1.1168648,0.84467334,1.0469854,0.681023,0.9560296,1.2159015,1.0628151,1.1640812,0.9923406,0.41776633,0.6231821,1.003374,1.0669221,1.0833669,1.1006342,1.0503728,1.0541724,0.9006259,0.7615292,0.98298055,1.1707258,1.0370752,0.7890241,1.0300134,1.0631589,0.66495585,0.9992591,1.1393994,1.2048018,1.2394726,1.1082863
arm,0.77484554,0.894608,1.3367426,1.0014085,0.0,1.3469633,1.2722381,1.1549754,1.3429404,0.75876504,1.0730119,0.5885418,1.3158597,0.6478969,0.5870795,1.2568749,0.65657145,0.8549502,1.188961,1.4197773,1.3275752,1.2068129,0.9881043,0.91183287,1.2553014,1.2317121,1.3129276,1.3832345,1.1305902,0.8849374,0.80050194,1.4332403,0.83404064,1.2290275,0.9203077,0.83447015,0.9833592,0.62677914,0.89787406,1.3962605,0.80262315,1.425334,1.109959,1.1382636,0.93881226,1.0420412,0.94379807,1.1053482,0.56440616,0.97192687,1.115588,0.72769463,0.8600579,0.7944499,1.3950559,1.284497,0.9108777,0.9512499,1.193863,1.174222,1.1770108,0.8942404,0.8555008,1.1291369,0.7950955,1.0225832,0.43925178,1.3107741,0.83858955,1.021782,0.7249294,1.1080875,0.5362308,1.3355101,1.1026589,1.3900746,0.864389,1.1100456,1.0315375,0.6872628,0.89898336,0.99328727,0.816872,1.2002455,1.1900204,0.97237664,1.0000099,1.0570613,0.97049135,1.198375,0.461927,0.5998615,0.78672975,1.0090477,1.3585775,1.3605003,1.1010045,1.1055255,0.88568395,0.9059177,1.2679596,1.0242367,0.99471265,0.98820955,1.4452925,1.2946707,0.8152627,0.7858906,1.1447083,1.0109708,0.81389153,1.0962172,0.53742427,1.1659263,0.4786783,1.2699151,0.7916659,0.96642053,0.80344087,1.4187435,0.9411458,1.3424599,0.6567601,0.9822287,1.2099894,1.0810263,0.839143,1.2314205,0.9025281,0.506981,1.0279623,0.6928288,1.450239,0.97174114,0.9745236,1.0370038,0.9605243,1.2605109,1.4250991,0.8824895,0.9122239,1.245852,1.1347108,1.2031024,0.8205617
ball,1.2707502,0.8519443,0.32583523,1.0281429,1.3469633,0.0,0.14656967,0.7950845,0.82166576,1.4273889,0.97837365,1.340992,0.7247,1.447387,1.2672446,0.92713267,1.3743453,1.173018,0.9634395,0.57442886,0.79864097,0.9928629,1.1276096,1.236588,0.92874867,0.8342907,0.74409765,0.6680081,0.5951055,1.2140577,1.389962,0.64378726,1.3323439,0.94124603,1.2831761,1.2721888,0.8994112,1.3799405,1.2479262,0.50604963,1.4418631,0.5855306,0.9506604,0.97839713,1.1327513,0.93160564,1.1967572,1.1592262,1.2361077,1.0084879,0.39940846,1.259723,1.0858357,0.84430707,0.64112306,0.7707099,1.029796,1.2518473,0.8509972,0.840522,0.796705,0.91460377,1.0875075,0.8111267,1.1523978,1.0615954,1.206546,0.61399746,1.1213609,1.3251023,1.2743015,1.0627137,1.3344374,0.74856645,1.0555191,0.6785494,1.1217879,0.7991682,1.1712192,1.1954755,1.1911387,1.0232593,1.2100948,0.47455662,0.95304334,0.9029348,0.8410562,0.4471116,1.357065,0.8912916,1.3525988,1.335077,1.2753735,1.2108036,0.6311494,0.6106867,1.0418701,0.9666546,1.1604389,1.1771572,0.81961447,1.0293831,0.6822276,1.1979893,0.6729247,0.4072883,1.4127421,1.1938566,0.9070416,1.0035474,1.2350513,0.99556845,1.2536631,0.9299573,1.2834163,0.88639414,1.2556723,1.2885761,1.2137845,0.56199396,1.1156214,0.59824127,1.2633381,1.157509,0.9875335,0.8412639,1.1507734,0.6093463,1.2958465,1.3350594,1.0756053,1.3831054,0.569952,1.1881094,0.66574347,0.96444577,0.89894384,0.8528673,0.39054632,1.2787887,1.1119676,0.851089,1.1729784,0.59864783,1.298673
balloon,1.2232593,0.8990049,0.5601332,0.9813112,1.2722381,0.14656967,0.0,0.84275055,0.8131184,1.3224671,1.0010964,1.2798514,0.8972041,1.3265498,1.2387981,0.98910403,1.2909424,1.1330612,0.9339053,0.73537683,0.81643033,0.9101363,1.1498199,1.143172,0.85026884,0.86519307,0.8099525,0.8401191,0.7696138,1.2322341,1.2510409,0.7649389,1.2435645,0.88316876,1.1342945,1.1873071,0.8773794,1.2867551,1.2016728,0.69978833,1.2892072,0.7157693,1.0114439,0.92200816,1.1582143,0.945972,1.1162057,1.0486988,1.2116302,1.0485944,0.48201668,1.2174854,1.128535,0.88802886,0.78977156,0.82345456,1.0626786,1.2512369,0.8594643,0.81287,0.95999956,0.7575595,1.0621746,0.7561611,1.1814778,1.0561957,1.1271694,0.77532244,1.0884155,1.2377913,1.2351489,1.0225468,1.3168194,0.8608277,0.9884161,0.7451334,1.1073442,0.77659327,1.0547862,1.055189,1.1437439,1.0678041,1.20987,0.72060096,0.8646375,0.9354756,0.88515115,0.55294406,1.2847011,0.91144663,1.3127227,1.310014,1.1649398,1.1769058,0.802959,0.80072105,1.0131906,0.9692483,1.1644102,1.1402081,0.90178096,0.9986599,0.5123403,1.0982536,0.80445933,0.611323,1.3153336,1.1443664,0.95963085,0.952942,1.1958603,0.91799766,1.2335664,0.93888533,1.2731088,0.9003492,1.2096767,1.1785964,1.0734752,0.7726501,1.0857682,0.73859787,1.2103422,1.1380942,0.98453784,0.9668199,1.1268196,0.66952723,1.2184378,1.3073506,0.99851876,1.294685,0.63475144,1.1634777,0.7904799,1.0414273,0.8310447,0.82895494,0.46350873,1.2149299,1.0766712,0.9055065,1.0783508,0.8218611,1.2318743
banana,0.8538335,0.9643654,0.65601456,1.0314933,1.1549754,0.7950845,0.84275055,0.0,1.1303128,1.0885031,0.8853353,1.1908771,0.942532,1.2282375,0.9954056,0.9311032,1.1471416,0.8381435,1.0265242,0.97683364,0.9394543,1.0525347,0.98578435,1.1578647,0.9908682,0.98080844,1.1220139,0.99614656,0.7724215,1.091709,1.2415558,0.9851952,1.2686639,1.0639529,1.2301925,1.1040539,0.91932946,1.2224855,0.96996504,0.7710149,1.1906036,0.91951734,1.1534394,1.0748088,1.092979,1.0077327,1.2218487,1.2119216,1.1733875,0.96558446,0.8236193,1.0763304,1.0548663,0.90576774,0.84383,1.0990436,0.9330992,0.98046356,0.52316123,1.0903884,0.97742426,0.77798223,0.8735974,0.7934033,1.1366258,0.99294335,0.99102855,0.96897006,1.1603076,1.1220248,1.1599283,1.124816,1.1101032,0.9190302,1.2429861,1.0774401,1.0748187,0.38183945,1.1681814,0.7799009,1.1746062,0.94235325,1.0366578,0.9136282,0.95049196,1.0241991,0.980864,0.66673476,1.2487254,1.0746945,1.0739962,1.1626091,1.1562521,1.0721005,0.86918104,0.8647659,0.95217395,1.0786327,1.1025962,1.0778579,0.935957,1.1037734,0.7769075,1.1620246,1.060845,0.8776318,1.3078377,1.0728377,1.0015595,0.81103563,1.0624101,0.7967499,1.1357199,0.99845725,1.1334298,0.8279451,1.111823,1.0737544,0.5773293,0.87002605,1.0437024,0.60419965,1.0509968,0.9966842,0.85665125,0.82008296,0.9812745,0.9146734,1.1362258,1.1436015,0.8115212,1.1834146,0.8450119,0.96701854,0.92231286,0.908268,0.78623265,0.90074635,0.5666044,1.054894,1.0777439,1.1123921,1.1932315,0.917212,1.2440387
basket,1.2309594,0.9429075,0.8569412,1.0710902,1.3429404,0.82166576,0.8131184,1.1303128,0.0,1.2265534,1.1209006,1.3426563,0.7811447,1.0669831,1.3883784,0.91495377,1.247561,1.1806917,0.7374811,0.48183513,0.72009563,0.5869218,0.9924062,1.0971104,0.628169,0.7290908,0.35778213,0.59900546,0.95884615,1.2494617,0.9910234,0.78722245,1.0401249,0.7818617,0.8382374,1.0039892,1.0737252,1.2728071,1.0825206,0.693069,0.94619495,0.55985475,0.9603375,0.96851796,1.1417568,0.8534225,0.9615395,0.7205119,1.3389432,1.2193146,0.9785266,1.3114038,1.2851446,1.1275465,0.7656195,0.5110073,1.1757015,1.059216,1.0281205,0.784022,1.0262613,0.9764628,1.191472,0.84130126,1.3244648,0.9448667,1.3355198,0.8201386,1.0127807,0.98577213,1.2859443,0.6838854,1.4825404,0.68305933,0.63141924,0.57296604,1.1396046,1.1858265,1.0053204,1.2719457,1.1365052,1.3111305,1.1573205,0.9490479,0.74291533,1.0573086,1.0470368,0.9528871,0.96616256,0.69633394,1.4283851,1.4223984,1.1818727,0.93120265,0.71580607,0.72919375,1.0156868,0.85926974,1.1799606,0.98824507,0.8923102,0.8945451,1.0787722,0.79264015,0.4586898,0.78187656,1.13489,1.1322036,0.8049016,1.1449037,1.2095133,0.85347694,1.3840963,0.749416,1.4137391,0.77323586,1.0838904,1.1274487,1.2314196,0.65073967,1.0793055,0.74616003,1.1861931,1.2219845,0.8921935,1.0980682,1.126493,0.79667675,1.1063564,1.3975866,1.0680376,1.261667,0.5969745,1.0234107,1.0178399,1.1273158,1.0781313,0.7238806,0.6766892,1.1569577,1.0137993,0.6194724,0.6839693,0.8552861,1.1415184
bathtub,0.6505548,1.3911409,1.4826871,0.8905488,0.75876504,1.4273889,1.3224671,1.0885031,1.2265534,0.0,0.9634792,0.40643525,1.5529786,0.47664773,0.7590327,1.3140897,0.51276606,0.32819873,0.9985476,1.5010519,0.98489845,0.8613676,1.1080029,0.71915025,1.020382,1.218221,1.4297191,1.3831314,1.5403643,0.80926347,0.6607393,1.3674129,0.5335653,1.2974137,0.78850675,0.7919798,1.0777755,0.524129,0.8075,1.5479983,0.31334144,1.4143741,1.2021279,0.7699702,0.88643086,1.2531571,0.7942412,0.91727054,0.7659503,1.278884,1.3067132,0.7498249,0.910657,1.4111116,1.474246,1.3100464,1.2485408,1.0531809,1.0374961,1.0820347,1.4263271,1.1494446,0.5773509,1.1032922,0.9471979,1.1800036,0.9877295,1.5675627,1.0104327,0.7506993,0.7187268,1.0227004,0.6218921,1.4252844,1.0256343,1.3728168,0.84778965,1.0160105,0.82215595,0.79882395,0.69563514,1.1398526,0.83242345,1.4396281,1.158765,1.4228573,1.4522246,1.3249075,0.64521927,1.0345453,0.6430925,0.8086349,0.5740371,0.88788176,1.5369436,1.5366975,1.0787522,1.3180788,0.8247018,0.79570574,1.0526543,1.2713227,1.0849276,0.8042794,1.444664,1.4600357,0.56795394,0.62372625,1.4367278,0.97680175,0.9654742,0.84613585,0.69338596,1.2928052,0.8223222,1.1731867,0.45694733,0.29531074,0.48466194,1.6223593,0.6992558,1.4376633,0.97357816,0.778995,1.1260911,1.1074698,1.0081408,1.2745236,0.7109825,0.6214639,0.70924354,0.29591167,1.2376472,0.8932897,1.5505091,1.3346125,0.98287666,1.2461692,1.2869692,0.4361329,0.84816587,1.1870179,0.99808663,1.5534384,0.5540708
