,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,comb,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1819786,0.93321323,0.74138784,1.2719742,1.1026125,0.87404996,0.9293894,0.8212041,0.69719577,1.2826936,0.7722225,0.6402433,0.843347,1.0144384,1.0628388,0.8841886,1.3809041,1.3791491,0.8185697,1.2254883,1.2065554,0.70795715,1.2472196,0.879444,0.67495656,1.0362624,1.025955,0.84126735,0.8318795,0.6899339,1.0298781,0.7598834,0.735925,1.3522425,0.67487454,1.4394511,0.80074525,0.90765166,1.0676157,1.206381,0.8863528,1.0118113,1.2409542,0.72200173,1.2553315,1.0201374,0.9068409,1.3656564,1.3903384,0.9737809,0.79938394,1.1934131,0.7062509,0.9630686,0.9697155,0.85282964,1.1784081,0.87036496,1.341859,0.7878765,0.81780267,0.93227553,1.3861005,1.25427,1.3703516,1.1409981,0.99964684,0.8353927,1.3006883,0.59408534,1.1277899,1.0364034,1.3166616,0.96924263,1.2670751,0.9912255,1.3844526,0.7145393,0.6743268,0.5252103,0.6288288,0.7106333,1.2103572,1.3369558,0.98393923,1.1023991,1.1051313,1.0624897,1.0961305,1.0504562,0.83504665,0.73703337,0.99538314,1.2246418,0.91852266,0.6445749,1.2015122,0.88081574,1.1717205,0.8414922,1.1028329,1.021716,1.3328792,0.7601599,1.3672173,1.1278721,1.3098115,1.4011908,1.0871501,0.9447961,0.73254013,0.7074348,1.2410239,1.2690103,0.9283667,0.6737705,0.9039942,1.2825972,0.9210006,1.0398673,1.1683913,1.3641264,0.8374069
apple,1.1819786,0.0,1.1750159,1.3387359,0.14540726,0.55528,0.7423153,1.2727716,1.3549042,1.3739657,0.6621811,1.417376,1.3780541,1.1077172,0.98581946,1.0956962,1.166012,0.5745802,0.8612728,1.2754557,0.8653275,0.8177934,1.0549527,0.82441133,1.2272713,1.1863701,1.246184,0.84998244,1.2485969,1.295264,1.1589147,0.8257635,1.2948024,1.1301495,0.48524725,1.4274268,0.56908965,1.1086898,1.0741905,1.1689379,0.924507,1.2524481,0.8867059,0.6356121,0.9642221,0.82052046,0.6083535,0.9918818,0.8258179,0.8742734,0.5828376,1.2647262,0.73862576,1.097233,1.1654762,0.7151526,1.1019688,0.95586264,1.2256037,0.55355585,1.3097973,0.93512446,1.2876616,0.850325,1.0186133,0.7564733,1.0688736,1.0984046,0.6676769,0.9079913,1.2657459,0.9331981,0.83038354,0.45673543,1.1661875,0.8467984,0.8632668,0.4761194,1.402096,0.9115721,1.4070354,1.3206832,1.3342776,0.591864,0.5380442,0.46422386,0.9380516,1.1017377,0.97550553,1.2006143,0.74815047,1.4091463,1.3972335,0.8585101,1.0358915,1.14104,1.3498008,0.8819952,1.2930901,0.9846757,1.3761785,0.98561525,1.1911268,0.53950655,1.1615069,0.6910095,1.1486955,1.0409008,1.0290449,0.6551761,1.2613567,1.1788679,1.405324,0.54099166,0.6493457,0.8615021,1.3003082,1.170821,0.43079567,1.3213084,1.1248168,1.0212302,0.6421506,1.3333826
applesauce,0.93321323,1.1750159,0.0,1.0216697,1.1275243,1.1009681,1.1501594,0.9650524,0.9767672,0.90574473,1.2974315,0.8437998,0.80603707,0.95722306,1.1886516,1.1062691,0.8288976,1.1859705,0.9891428,0.82273394,0.9077737,1.1740698,1.0733039,1.2681334,1.0834868,0.92006385,1.0689766,1.06706,1.0313928,0.90508616,1.0672549,1.0271572,1.0049722,0.80529505,1.2636439,0.84947366,1.1613182,0.90614754,1.0271986,1.1323198,1.1575308,1.1006905,1.0315406,1.134964,0.8940727,1.1160325,1.2597642,0.853279,1.232158,1.0874313,1.1548529,0.91082156,1.1303144,1.1440864,0.8265859,1.070317,0.9746101,0.48828483,0.91265416,1.2704511,0.9506779,0.7928791,0.8318393,1.1336169,1.1557853,1.2638781,1.0524265,0.93996286,0.9226379,1.096333,0.96298283,1.2014989,0.8575767,1.2414908,1.2387056,1.2003583,1.0668892,1.1791235,0.9371064,1.1138774,0.9744442,0.97144765,0.827538,1.2739792,1.235034,1.065864,1.2749367,0.6137648,0.9148404,0.69031537,1.1236122,0.9328565,0.9398716,1.2022345,0.92621475,1.0149666,0.9678736,1.191632,0.91185075,1.0872824,0.9354814,1.1467334,1.0263157,1.2877798,0.9935521,1.147537,1.0497121,0.9477938,1.0151523,1.109446,1.0108609,0.93601435,0.8119447,1.1468873,1.2286137,1.1011722,0.86884034,1.2243593,1.1841787,0.52920353,0.9275036,1.1243454,1.2374995,0.91599387
arm,0.74138784,1.3387359,1.0216697,0.0,1.3870962,1.2157836,1.1188257,1.0455898,0.7206917,0.70087004,1.2036437,0.72179157,0.553195,0.85647047,0.83951247,0.969731,1.0500836,1.3324924,1.2804725,0.9148457,1.2522073,1.2805684,0.9408088,1.2095906,0.93815535,0.92504835,1.0537596,1.1837021,0.8404305,0.91974676,0.79735345,1.2237654,0.7278594,0.9628768,1.2989471,0.7681634,1.3686152,1.0648198,1.040894,0.94520617,1.1648536,0.58334666,0.99435335,1.237851,0.98001546,0.9965352,1.1946295,1.0990828,1.0578947,1.220951,1.2675905,0.83399117,1.1344045,0.7836707,0.84792817,1.2263489,0.81705976,1.2355428,0.5263496,1.3166158,0.7555338,1.0889118,0.6188581,1.183402,1.208175,1.2879937,0.8119611,1.0488538,1.0461375,1.1845353,0.61584127,1.2227292,1.2646086,1.2195659,1.0539432,1.0309157,1.0443029,1.2968659,0.74664444,1.1295557,0.46672225,0.6141156,0.7392793,1.1281991,1.2095968,1.1727663,1.1097991,1.123027,1.1383662,1.0097017,1.0161846,0.7561244,0.6269134,1.1824403,1.1831653,0.996828,0.39751977,1.230367,0.6128906,1.1986316,0.7332971,1.0523782,0.9582467,1.3364351,0.8949447,1.2597868,0.9879079,1.1792831,1.1297733,1.2096744,0.9711169,0.7008947,0.70864874,1.4020584,1.088243,1.1268029,0.79348016,1.0281626,1.4541978,0.8819159,0.9505239,1.2123655,1.1478487,0.7927116
ball,1.2719742,0.14540726,1.1275243,1.3870962,0.0,0.5144111,0.8473272,1.2034924,1.3016636,1.2905967,0.7605653,1.391854,1.3759427,1.0585319,0.9870172,1.0868721,1.0988475,0.5090378,0.7695642,1.1868776,0.83356977,0.76625943,1.1573639,0.9377936,1.1960204,1.169215,1.27363,0.73318154,1.1943994,1.3063519,1.1781145,0.8838667,1.2771835,1.145979,0.5272038,1.360229,0.49138516,1.0668837,1.0318635,1.1381329,0.96176314,1.3305979,0.965685,0.56372195,1.0218469,0.9515936,0.7139034,1.0182024,0.9147153,0.84962475,0.6554316,1.1894027,0.8587927,1.2251283,1.0963541,0.77624947,1.191212,0.8826363,1.3205945,0.57477695,1.3035364,0.9897314,1.2648759,0.8667945,0.94264835,0.72653204,1.121986,1.1321356,0.5692346,0.7433357,1.2707075,0.87030464,0.76460475,0.49913448,1.2359099,0.97082996,0.9867167,0.41776443,1.4312472,0.93034875,1.4276607,1.4041585,1.3036307,0.7113867,0.63729393,0.68783724,1.0169338,1.0682789,0.95471615,1.1363624,0.8202617,1.3295746,1.4265615,0.910149,0.97404575,1.0955458,1.3930547,0.7875979,1.3434528,0.93820864,1.3515184,1.064412,1.1341083,0.5738129,1.1601033,0.616446,1.0838042,0.9617994,0.97931284,0.708671,1.2042522,1.1797217,1.3384619,0.50479674,0.82729155,0.92668223,1.2340181,1.2570124,0.32205725,1.2483281,1.0593346,0.9966996,0.71790767,1.3248143
balloon,1.1026125,0.55528,1.1009681,1.2157836,0.5144111,0.0,0.7833809,1.1635844,1.1259288,1.2277868,0.9217459,1.3359334,1.1647028,0.9997081,0.9265153,1.1004097,0.9920091,0.7593561,0.8622279,1.0420475,0.97706926,0.64555985,0.99353284,0.9231516,1.0420545,1.1702884,1.2531517,0.71681005,1.230991,1.2744743,0.9982593,0.92587686,1.2624327,1.0750275,0.7185598,1.1573337,0.7837138,1.1432835,1.0663929,1.1688752,1.0410942,1.1813668,0.8447692,0.726467,1.0378536,0.9628809,0.5876033,1.0370542,0.99034613,1.0461423,0.6552904,1.0427973,0.9028997,0.9993345,1.0980234,0.64063936,1.0886077,1.061836,1.1647764,0.70700943,1.2580733,0.97101825,1.2420865,1.048034,1.0316817,0.8455829,1.0654842,1.1910396,0.66920984,0.7684833,0.9800735,1.0242223,0.95172745,0.72080183,1.0546222,0.9021697,0.930318,0.6278312,1.3064169,0.79942304,1.2643834,1.2854763,1.0349969,0.84513843,0.7527425,0.6584122,1.0843838,1.1545377,1.0363736,1.1195655,1.0131882,1.2553256,1.247965,0.93491215,1.0096482,1.056002,1.2595253,0.9306989,1.2635688,1.0242409,1.2338661,1.0383934,0.8149863,0.81689423,1.1140317,0.8245812,1.1526113,0.9729275,1.0719314,0.84098554,1.0912831,1.1749389,1.2144033,0.60886014,0.8556577,1.0382515,0.96580607,1.0921934,0.55691993,1.1456605,1.0527515,1.1659338,0.8766195,1.1938634
banana,0.87404996,0.7423153,1.1501594,1.1188257,0.8473272,0.7833809,0.0,1.0980723,1.1257445,1.3364755,0.8314858,1.2506492,1.2361275,1.1798084,1.135676,1.1089494,1.136535,0.7675637,1.0319492,1.1799673,0.8900174,0.84292895,0.76249844,0.8372154,0.9590727,1.1679535,1.1108898,1.0294027,1.1448212,0.9738164,0.8888349,0.7967886,1.1772676,0.768476,0.71592,1.1832243,0.8430269,1.1169124,1.1070169,1.1350952,1.0178154,1.0808505,0.94335574,1.0595691,1.0576674,0.9866178,0.7024166,0.8923463,0.92296505,0.90727293,0.7877061,1.1041366,0.9326069,0.90830994,1.2127912,0.7632799,1.0297911,1.0691917,1.1553661,0.8114386,1.2524228,0.8802718,1.2706193,0.8138666,0.99963397,0.9025553,1.094625,0.9283774,0.9460934,1.1352252,1.0625854,0.93246305,1.0156162,0.8194448,0.87873185,0.97176796,0.94173855,0.81452453,1.0311446,0.8316505,1.1868503,1.0278242,1.2027047,0.6937732,0.69398826,0.76736295,1.0282525,0.99910533,1.0414041,1.1431597,0.8823885,1.224271,1.0595767,0.90278107,1.1132859,0.9957957,1.176257,1.0193605,1.100055,0.95052755,1.0958151,0.78499174,0.7001367,0.80330473,1.0442182,0.98291767,1.05559,1.1295389,1.0283959,0.76886106,1.1523601,1.1680115,1.3164456,0.8900249,0.8896873,0.8144342,0.98297286,0.8060387,0.74236643,1.2005997,1.0509402,0.9322294,0.8892735,1.1258159
basket,0.9293894,1.2727716,0.9650524,1.0455898,1.2034924,1.1635844,1.0980723,0.0,0.72256625,0.91591305,1.0841975,0.6949276,0.9845102,1.017711,1.1046432,0.99024427,0.78346634,1.101705,0.90437305,0.6223686,1.0364889,0.7907107,1.1425343,0.9233965,0.7014217,1.082469,0.5868483,0.96188545,0.8322201,0.76801574,0.5936413,0.8812436,0.780843,0.84122276,1.1859097,0.27494144,1.0545264,1.0953655,1.0558159,0.8823725,0.60951656,1.1621749,1.2538893,1.2517126,1.1368153,1.2429577,1.1530696,1.0457349,1.1086733,1.0077968,1.1992718,0.92546594,1.2893922,1.0916837,0.906229,0.9747972,1.2003682,1.0730267,1.1382743,1.2607768,0.9401586,0.971535,1.0239743,1.0596827,0.6750372,1.0603783,1.146415,0.9171544,0.9828165,1.0029156,1.0398834,1.0295553,1.1212704,1.3135915,0.76599205,1.1889468,1.2454088,1.1990874,0.75828195,1.0822202,1.0098906,1.0704501,0.89822006,1.2749002,1.2436687,1.1570762,1.0319338,0.9559357,0.99834883,0.8754314,1.2617868,0.72011554,0.8361139,1.1252931,1.0028821,0.8029053,1.1293046,0.92222005,1.0447448,0.9271765,0.8383618,0.9477732,0.8037721,1.1662881,1.0010184,1.1047733,0.9424579,1.0249082,1.0457585,1.2172574,0.8700651,1.0699091,0.8190585,1.1110109,1.322608,1.2865282,0.93188506,0.7940695,1.017965,0.69821554,0.9295554,0.78318644,1.2311394,0.8660377
bathtub,0.8212041,1.3549042,0.9767672,0.7206917,1.3016636,1.1259288,1.1257445,0.72256625,0.0,0.50836515,1.3095062,0.4284153,0.81027484,0.75676996,0.7602838,1.0980768,1.0235932,1.3933218,1.1211219,0.66447866,1.2706494,1.0448006,0.99293953,1.2146592,0.74520814,0.8688452,0.7553432,1.0902146,0.5859096,0.8688357,0.8336051,1.2445936,0.5828331,1.0972962,1.4399261,0.39298618,1.3306212,1.0568886,1.296453,0.70750916,1.0526564,0.9704803,1.2183658,1.3113372,0.9729245,1.3339409,1.2309763,1.0862664,1.3648282,1.2857206,1.317724,0.65519613,1.3579128,1.1967252,0.6767907,1.2570027,0.9768395,1.208368,0.94920385,1.4822934,0.69924986,0.9156746,0.7418363,1.2459965,0.9996637,1.0641563,1.120575,1.1569254,0.86316574,0.8767919,0.9172325,1.2762756,1.3636205,1.3904511,0.9125995,1.3344488,1.2142206,1.3008785,0.45553404,1.1369116,0.7289829,0.81189835,0.6669639,1.3186114,1.476059,1.1608753,1.111376,1.1488556,1.0200496,0.895421,1.3141103,0.73458934,0.293504,1.315589,1.1144146,0.99212044,0.70644647,1.2238674,0.8599156,1.112692,0.35906005,0.5857351,0.67786217,1.4537528,0.590834,1.2304765,1.0232852,1.1217034,1.1733952,1.3136804,0.9323159,0.81596863,0.4492644,1.2474798,1.4458883,1.2810085,0.6750629,1.0003732,1.3924177,0.71276504,0.93217325,1.1519418,1.444658,0.5352934
bed,0.69719577,1.3739657,0.90574473,0.70087004,1.2905967,1.2277868,1.3364755,0.91591305,0.50836515,0.0,1.3225149,0.3607266,0.45583248,0.66483974,0.6571267,1.1367043,0.8044214,1.460697,1.35172,0.6406468,1.368703,1.3297343,0.9787122,1.3669204,0.8251991,0.6381502,0.821695,1.147624,0.61736274,0.88878,1.0181186,1.2639818,0.48532438,1.0708525,1.4700814,0.49325836,1.465446,0.83479047,0.92133415,0.9118145,1.2258811,0.9017225,1.1613486,1.1634679,0.8427124,1.283773,1.2647874,1.0741786,1.3769901,1.4241564,1.2959406,0.7207763,1.2704355,1.0058115,0.58499765,1.3427625,0.8864461,1.1815423,0.89576006,1.4061223,0.43382937,1.0099632,0.56459206,1.4547462,1.1730186,1.3853346,1.140002,1.208216,0.8893859,1.1338215,0.68689,1.2632732,1.2127379,1.3844779,0.9934485,1.3260968,1.2362688,1.2668934,0.72762275,1.063319,0.3847497,0.68044436,0.5691874,1.390426,1.4721252,1.2455328,0.93550813,1.2123194,1.02981,0.9955035,1.2564642,0.60833216,0.61813045,1.2865468,1.2048721,0.9641883,0.53826106,1.2583696,0.7117713,1.2314551,0.55251133,1.0831167,0.8660309,1.5151423,0.5674825,1.313441,0.9436257,1.2328695,1.3482845,1.3344839,0.77154994,0.5070064,0.26135135,1.4064398,1.3819196,1.2757621,0.83226764,0.9988322,1.4063541,0.7482102,0.9222597,1.2474186,1.4353075,0.61872286
