,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.2752438,1.3452348,1.1135671,0.99897397,1.1070508,1.3382564,1.1836095,1.1578032,0.9083255,0.8241694,1.3979824,1.0219382,0.7159193,0.5424612,0.8320019,0.8480667,0.580865,1.4106405,1.4124591,0.7272507,1.233456,1.2573199,1.2807715,0.6156341,1.336945,0.8736558,1.3488022,0.6970049,1.2720435,0.87772745,1.1018401,0.9994168,0.8675468,1.1605533,0.84710586,1.0032432,1.088904,0.7027854,1.3367192,0.86105555,1.4229767,0.6087018,0.84008265,0.29740846,0.5953516,1.051289,1.2392837,1.0603702,1.2022985,1.3676397,0.5986078,0.78458554,1.2855954,0.78693926,0.5610218,0.9840947,1.3402815,1.1671966,0.40854293,0.40841973,0.9227597,1.1981735,1.0820637,0.9559494,1.1884403,0.9195868,1.2067635,1.0277971,1.1306652,0.37868935,0.86033165,1.2264222,0.96320003,1.2504869,1.2153703,1.1736691,1.21099,0.5719526,1.344391,1.2000883,1.0106229,1.1660211,0.9921609,1.0817806,0.81000376,1.3343889,1.2172278,1.3277766,1.3016124,1.2862679,1.1259009,0.44047582,0.9680666,1.1150608,0.48721683,0.8827232,1.2891643,1.3463624,0.96732247,1.1488907,0.4055357,1.0467298,0.9976387,0.97395366,1.0384517,0.4400872,1.2488645,1.3667419,1.2285893,1.2585561,1.1318471,1.1813978,0.32093215,0.8816368,0.9418508,1.0561116,1.2896785,0.9649439,0.89519906,1.1550668,1.3179033,1.0251701,1.0553687,0.8786487,1.405822,1.3230885,1.1093087,0.9783718,1.3148322,1.2709955,1.114658,1.2577944,0.82718647,0.8956376,0.8644174,1.2216897,1.3706702,1.3314484,1.3466692,1.3193045,0.9630092,0.9412288,0.65047526,1.0292242,0.9065992,1.4169438,1.3056693,0.9734607
ankle,1.2752438,0.0,0.80668855,0.7001828,0.8565825,0.99122286,0.8489761,0.984306,1.0580988,1.2647004,1.3055658,0.85757285,1.2194605,1.0389355,1.029752,1.232414,1.1567066,1.1938927,0.906338,1.125468,1.3063856,0.9449844,0.9995896,1.0692714,1.0353441,1.0702132,1.1768197,0.6264824,1.1560137,0.9932245,1.2413398,0.9995643,1.197541,1.1591867,1.2133403,1.0612117,0.9853496,1.1150606,1.1908816,0.8606707,1.3373498,0.947018,1.1674439,1.3677115,1.2508976,1.0733588,1.2053951,0.94102305,0.85640717,0.5449499,0.857427,1.0738704,1.0737255,0.371489,1.0903039,1.1776884,1.0390282,0.5598128,0.9114115,1.1501673,1.0730177,1.1822813,0.6636659,0.9376798,1.1345668,0.91512537,0.86994207,0.9141666,0.6422745,0.7552699,1.0382539,1.0809145,1.0395564,1.0211438,0.9366387,1.0347983,1.0352899,0.56469655,1.2534094,0.851163,1.0317543,0.898307,0.91587013,1.0716207,0.6994421,1.0774786,0.79357576,1.0416455,0.5947491,0.61102116,0.8588084,1.2597768,1.1632763,0.9846645,0.94454,1.2568628,1.1010693,0.825612,0.7357292,0.942882,0.948336,1.1802337,1.1326231,1.1431524,1.1231402,1.290575,1.1001207,0.834388,0.6020965,0.80928063,0.85692656,0.83966506,1.0917592,1.1346569,1.1627339,1.1291566,0.98709387,0.80056965,1.0656252,0.87211585,0.9261898,0.9734023,1.1298543,1.3145403,1.1421362,0.6281584,1.0441161,0.8478949,1.2035964,0.9386269,0.9480259,0.7592766,0.91711503,1.1254506,1.1088961,1.2781156,1.0178586,0.37940186,0.6491033,0.8304348,0.98216593,1.05717,1.2838135,1.205213,0.86547685,1.2368336,0.8275635,0.630793,1.2433069
apple,1.3452348,0.80668855,0.0,1.0501375,1.3118818,0.5677814,0.30371118,0.42833227,0.97191525,1.3664929,1.5311818,0.49349535,1.366233,1.4423717,0.9871945,1.4310915,1.264542,1.3441343,0.637182,0.6001122,1.5107208,0.50563645,0.7574272,1.0353775,1.0053471,1.0401043,0.98923707,0.26808172,1.3245103,1.2505267,1.2955928,0.83129454,1.4923363,1.290483,0.9242291,1.3249711,0.8003453,1.335095,1.1656388,0.25864065,1.5300386,0.7532007,1.146084,1.30208,1.2408729,1.249516,1.4195671,0.9988444,1.2965726,0.6603465,0.25034416,1.244047,1.0342033,0.70677245,1.0889171,0.8285732,1.016318,0.5983806,0.92008764,0.94177985,1.2658931,1.4213009,0.5884241,0.9323503,1.054092,0.47790205,1.1788411,0.7179702,1.1951365,0.45909584,1.1554447,1.3683364,1.0722208,1.3869085,0.77934307,1.2134672,0.7687689,1.1343453,1.310594,0.47073972,1.1109835,1.291518,1.012639,1.0441024,0.7898814,0.8769633,0.16042185,1.079073,0.643493,0.44599342,0.14574236,1.4395468,1.2580104,1.3599017,1.3452015,1.4756839,1.0777268,0.5378973,0.45444572,0.8634943,0.7158748,1.1750588,1.2413458,0.82536805,1.1817927,1.0122385,1.1593926,0.45082283,0.37365967,1.0341251,0.78503525,0.4528808,1.2108117,1.1574122,1.3573534,1.0964545,0.7757691,0.56089073,1.31251,1.1375183,1.2505925,0.84657526,1.3685594,1.4091038,1.270859,0.29926533,0.45187193,1.0510019,1.1404827,0.74667,0.93518513,0.9911452,0.29732776,1.331841,1.3585831,1.3985898,0.6217685,0.48460853,0.4950636,0.69689405,0.88225335,0.6449946,1.2469198,1.1630106,0.68321574,1.2606711,0.97540104,0.33700806,1.3299024
applesauce,1.1135671,0.7001828,1.0501375,0.0,0.71003574,1.0225486,1.1480496,0.970205,1.2293338,1.1711063,1.1052257,1.1819174,1.0785865,0.79692155,1.0940528,1.0480403,0.93020874,1.0483527,1.1352849,1.1878973,1.0231764,1.0294708,0.9681816,1.0191584,1.1972625,1.1771089,1.1069124,0.971779,1.1554589,0.9291947,0.928856,1.2310617,1.029231,0.9450859,1.197868,1.0267266,1.0305887,1.0431865,0.97743535,1.2223909,1.0990855,1.0391341,0.95443964,0.98907197,1.1115135,0.8758801,1.079137,1.000747,0.7453256,0.7885616,0.9724095,0.9693956,1.0847749,0.4896735,1.0253235,1.0436735,1.1001918,0.85956895,1.1562548,1.2282041,1.0607135,0.8992529,0.92276126,1.075027,1.2261243,0.8660524,0.8996648,1.0145565,0.45818895,1.1474864,1.0236472,0.91107315,1.0179071,0.81001467,1.2268668,1.0804166,1.2847608,0.6829601,0.9295386,0.8786887,1.0872986,0.63375264,1.1802336,1.0017968,0.78178406,0.97964954,1.156322,0.99062634,1.1976476,0.9241331,0.95498645,1.1014584,1.140571,0.80062616,0.8283845,1.0341705,0.901942,1.2624526,1.1387945,1.1003537,0.94193006,0.9740751,1.0575397,1.1054285,0.99238783,1.0450801,1.0236984,0.994385,0.7310397,1.1656183,1.2506448,1.1597321,1.1609316,1.1320214,0.84879506,0.8493886,1.045559,1.1844038,0.9067669,0.85478884,0.72107244,1.1536715,1.1080675,1.0979147,0.97417855,1.0293202,1.159239,0.76215327,0.8916981,1.1667211,1.2018411,0.93541723,1.1503901,0.9649036,0.91899204,1.0114295,1.1167634,0.8173687,0.8201242,1.0948986,1.1077876,1.0577598,0.99961925,1.1382308,0.9727039,0.9982123,1.0851963,1.0539181,1.0679281
arm,0.99897397,0.8565825,1.3118818,0.71003574,0.0,1.1364343,1.406488,1.4031457,1.3186127,0.77370566,0.6199478,1.2198652,0.83851206,0.4400593,1.2961233,0.7556225,0.9544107,1.069067,1.2991444,1.4172678,0.8335886,1.3615954,1.2812424,1.210454,1.2127528,1.1077137,1.150075,1.185728,0.6567301,0.95549965,0.9617394,1.2655759,0.7530793,0.5671549,1.2411093,0.78743505,1.2678049,0.9694524,1.0327345,1.3795869,0.67671514,1.3191773,1.0260551,0.996564,1.1209974,0.99877906,0.6992475,1.1376183,0.39327824,0.95703864,1.30968,0.8990521,0.99499625,0.73242795,1.1466694,1.225464,1.095297,0.92857593,1.2503093,1.375663,0.9567367,0.71207786,1.0662947,1.1859593,0.9338574,1.2754056,0.66430926,1.3230114,0.42269123,1.4592478,1.2321801,0.44362366,1.0971237,0.38530654,1.2925107,1.0884792,1.3339288,0.60861456,0.95401436,1.1399026,1.0673423,0.44936633,1.1721606,1.1207547,0.92773086,1.1710123,1.2722324,1.1028953,1.2825941,1.109391,1.2711076,0.7574037,0.9220015,0.3917123,0.4829961,0.70428145,1.1165392,1.3426759,1.3736383,1.2015399,1.2316942,1.2097564,0.87410676,1.2489667,1.0110282,1.175266,1.234622,1.2154573,1.0057552,1.2790233,1.2656574,1.3081088,1.0133843,1.2067114,0.7094147,1.0691966,1.2244945,1.4462214,0.34842682,0.973806,0.5244438,1.3411123,0.66480947,0.7984044,0.58456147,1.2495561,1.364769,0.7942981,1.0255827,1.3754011,1.1730382,0.98198134,1.31622,0.6822256,0.47150576,0.6560969,1.45472,0.97222,0.97829187,1.116989,1.2307302,1.5054023,1.1249001,1.0039983,1.2810699,1.0538869,1.1854465,1.3131863,0.72013617
ball,1.1070508,0.99122286,0.5677814,1.0225486,1.1364343,0.0,0.3969056,0.80331767,1.037342,1.1484413,1.1173519,0.96076894,1.1166791,1.0905473,0.98781264,1.0144857,1.0583397,1.1042204,0.9310087,0.8934948,1.1110194,0.8892691,0.92793804,1.0043706,0.9626168,1.1438316,1.01943,0.8423769,1.087407,1.169358,1.1775976,0.7585081,1.2142469,1.144187,0.84068775,1.1981888,0.9003584,1.2159613,1.0368158,0.8723694,1.1987253,0.96048236,1.0467663,0.96965665,1.0892537,1.0547332,1.2508925,1.077627,1.1369702,0.9684965,0.48739284,1.0815566,1.1050568,0.9453333,1.1075667,0.92062896,0.94237393,1.0151691,1.0979823,0.85000294,1.1132597,1.1003404,1.0017014,0.9778298,0.9991806,0.620379,1.1800253,1.0110463,1.1125774,0.7874621,1.0506757,1.110153,1.0334848,1.1342793,1.0729303,1.2095482,0.8271158,1.1311111,1.1601281,0.60733056,1.0522249,0.93266237,1.0463355,0.98167866,1.0161145,0.87052596,0.6663565,1.0072376,0.98234844,0.8299403,0.46491373,1.273571,0.99254376,1.1327692,1.181431,1.1365832,0.92385864,0.94211197,0.917209,0.9801374,0.88623303,1.1463381,0.98730683,0.9977725,1.1511451,1.0615472,1.0644544,0.6630196,0.7198169,1.0541878,0.83523315,0.6050503,1.2633305,1.072741,1.0994523,1.0435431,0.8499094,0.87765527,1.1767182,1.071613,1.1662955,0.875595,1.1150056,1.1098547,1.116671,0.8678412,0.70424926,1.0331609,1.0584657,0.88858265,0.9940549,1.0291212,0.79479194,1.1064751,1.14418,1.1796883,0.62524956,0.9498724,0.99030983,0.9541212,0.96029806,0.6687492,1.0425501,0.98321885,0.74329096,1.2263764,1.1053396,0.86044383,1.1804388
balloon,1.3382564,0.8489761,0.30371118,1.1480496,1.406488,0.3969056,0.0,0.620714,0.890109,1.310872,1.4422255,0.55960786,1.2028214,1.4712276,0.96430874,1.3242023,1.230518,1.2825992,0.6069533,0.53020966,1.4146607,0.7025818,0.77168596,0.80218804,0.92994547,0.8492167,1.0092298,0.50116944,1.308821,1.0298766,1.3926578,0.65520406,1.3845117,1.3599733,0.7468306,1.2818203,0.8876507,1.1842499,1.3044143,0.44344288,1.459029,0.62480676,1.187562,1.150478,1.2068259,1.2092068,1.3402815,0.95154786,1.4037697,0.79143524,0.32212806,1.1639932,1.1145357,0.8452153,1.1297979,0.9048161,0.9725804,0.7748859,0.8688767,0.82115257,1.2776974,1.3137124,0.8317668,0.779652,0.99794173,0.57015246,1.3248893,0.78653824,1.2603064,0.4677205,1.0877117,1.3718727,0.97946495,1.3956759,0.7673047,1.0495392,0.58342737,1.1703818,1.3683032,0.5145478,0.87532914,1.2924963,0.8639548,1.0026228,1.0392302,0.9905413,0.3946694,0.883394,0.61213684,0.6185517,0.32296288,1.3097429,1.2563201,1.3972709,1.3533008,1.4354818,1.1114612,0.5805537,0.5282693,0.90348,0.7873374,1.1112826,1.1186957,1.0102115,1.1519793,1.0929319,1.0847775,0.6211796,0.51371497,0.80595016,0.579957,0.5607598,1.0569118,1.1367562,1.3449676,1.0583215,0.82313764,0.54175985,1.3917189,1.2025626,1.288129,0.62677044,1.2585878,1.1986067,1.3819917,0.5071057,0.39164722,1.0738202,1.1134568,0.5748228,0.79550517,0.93457216,0.43687975,1.3413888,1.3865736,1.4506335,0.4692859,0.6800208,0.6793796,0.6694182,0.7451668,0.63622427,1.1706431,1.1215701,0.7716653,1.1849929,0.8054117,0.5585273,1.3214917
banana,1.1836095,0.984306,0.42833227,0.970205,1.4031457,0.80331767,0.620714,0.0,0.7837085,1.204063,1.4051285,0.69249845,1.1860518,1.4117869,0.9706469,1.3090568,1.0221614,1.1403438,0.7250421,0.62793654,1.3228371,0.41283596,0.72498864,0.99862915,0.9095526,0.9887834,0.857983,0.6360955,1.3638419,1.1451318,1.0842386,0.81817466,1.4390864,1.2749169,0.93480045,1.1644768,0.67738694,1.3114357,0.8656894,0.4854111,1.4022654,0.8087818,1.1792557,1.2149148,1.1938642,1.2584589,1.4260937,0.8115293,1.3184897,0.8706002,0.46913218,1.2286905,1.0625799,0.9762582,1.0147917,0.79616797,1.0518405,0.7811144,0.7872814,0.75312006,1.2001014,1.3413484,0.89675903,0.933798,1.1236175,0.565346,1.2575831,0.7744286,1.274976,0.63702214,1.0205605,1.408277,0.9587503,1.372046,0.67999244,1.1293291,0.8158947,1.2640581,1.1661383,0.56358814,1.032231,1.274511,0.9878489,0.9673359,1.0044062,0.73088455,0.6098412,0.9627764,0.7336097,0.90021586,0.41669422,1.2994404,1.1927872,1.3820875,1.3528544,1.3791978,0.9664632,0.5963578,0.57509273,0.8049748,0.5739454,1.130342,1.156334,0.67084795,1.133589,0.79103994,1.1525397,0.54408675,0.68677247,1.0292233,0.9271274,0.7211099,1.1602544,1.181388,1.1581979,0.9844815,0.7999518,0.6845553,1.3936635,1.0291548,1.2828395,0.79594564,1.444869,1.2484295,1.1801462,0.5869731,0.50574374,1.1353157,1.0264088,0.6725464,0.9268567,1.113931,0.51007205,1.3795447,1.3790953,1.3324933,0.56454325,0.82965034,0.7619928,0.789953,0.7908473,0.5724102,0.9114351,1.0746106,0.6065722,1.1323552,0.9023396,0.5725445,1.3742397
basket,1.1578032,1.0580988,0.97191525,1.2293338,1.3186127,1.037342,0.890109,0.7837085,0.0,0.90890306,1.0961803,0.9405834,0.9308539,1.3851594,1.0079031,1.0922885,1.0119315,0.9464714,0.7123966,0.54143447,1.0254929,0.7304031,0.90297097,0.72921944,0.91652334,0.7363713,0.9775888,1.1229371,1.2286677,0.90635777,0.8854885,0.7558261,1.0157323,1.2030177,0.7272738,1.0776587,0.79251766,0.7270169,0.9049385,0.88249665,0.9718644,0.68219393,1.2200861,0.9650915,1.084575,1.1509919,1.0259151,0.93487525,1.335398,1.3237422,0.9358939,1.0507427,1.138286,1.3620541,1.098794,1.2301009,0.7880075,1.2815541,0.5755312,0.96637434,1.117023,1.0706791,1.2556009,0.6585235,1.0211906,1.1248308,1.3132846,0.6727736,1.3575252,0.8701302,1.0192024,1.2813456,0.8148793,1.4063625,0.62652576,0.73188806,0.6480166,1.1857872,1.0583946,1.0084057,0.77030545,1.3591518,0.9973315,0.9884459,1.3879215,0.7856308,1.0264956,0.81417716,0.88213176,1.2245147,0.94511205,0.7924583,1.1238596,1.4048634,1.3435063,1.1732904,0.9006309,0.7248865,0.7638372,0.9248042,0.8048465,1.0763106,1.0445015,0.68638766,0.7975844,0.7732947,1.0157231,0.9454994,1.0907187,0.7378753,0.5219322,0.8934773,0.4663828,0.92481494,1.1405253,1.0429308,0.9793558,0.71081793,1.323797,1.2368329,1.3585603,0.72009593,1.0184883,0.936648,1.1742853,1.1388204,0.8769656,1.1845508,1.0309821,0.6711483,0.9854174,1.1097288,0.9174699,1.2390475,1.2987714,1.0588688,0.66941196,1.2500767,1.2922313,1.0450233,0.71413314,0.8082452,0.7339132,0.97967845,0.9623919,0.9493725,0.73063797,0.9344846,1.0858332
bathtub,0.9083255,1.2647004,1.3664929,1.1711063,0.77370566,1.1484413,1.310872,1.204063,0.90890306,0.0,0.4309727,1.2513942,0.69900286,0.6838802,1.177443,0.6673471,0.7844724,0.8465302,1.1893427,0.984528,0.5431755,1.287631,1.2811202,0.95219356,1.0946708,0.96093297,1.0412409,1.3680112,0.81505406,0.99630374,0.8793198,1.072902,0.72620386,0.84931546,0.9371922,0.9246757,1.1584384,0.94901276,0.8970836,1.3254701,0.28720725,1.1376758,1.0492563,0.7190471,1.0646353,1.0526705,0.76005554,0.99956894,0.84187114,1.3199075,1.2278788,1.0119017,0.91877204,1.2803972,0.9709437,1.2162681,1.076254,1.2990777,1.0871538,1.1730669,0.83533907,0.7126354,1.228571,1.1120279,0.91083837,1.3482261,0.9223554,1.2082183,1.0284663,1.3235236,1.1273603,0.656459,1.0091293,0.753392,1.1074535,1.0593675,1.0417693,1.0683005,0.9595812,1.2635559,0.8680418,0.91781485,1.0833902,1.1414976,1.1040071,1.1121602,1.3111589,0.9703439,1.3272011,1.3674761,1.318948,0.544837,0.9263439,0.8416594,0.8698306,0.61927766,1.078098,1.2634015,1.3727667,1.08273,1.1511993,1.1428229,0.8522174,1.0665586,0.968958,0.840363,1.1426746,1.2649279,1.3465656,1.1677915,1.1141888,1.3052142,0.85351264,1.1156819,0.7391676,1.0251108,1.2371752,1.336982,0.7107213,1.1651881,0.9411588,1.0443943,0.6666349,0.23775148,0.66598797,1.3970999,1.1746275,1.2003856,0.93591005,1.1435214,1.0774846,1.1175666,1.257717,0.7333996,0.68445885,0.57645994,1.0074161,1.3484173,1.2635956,1.1468594,1.0798665,1.1773274,0.63687044,1.000375,1.2738094,0.92496693,1.2271492,1.3548332,0.7606371
