,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.0994407,1.3441482,0.9607991,1.1935472,1.2367413,1.007222,1.2879521,0.86308646,0.7659843,1.1741599,0.8682201,0.67595,0.80270696,0.6142843,0.6574041,0.6498024,1.4970266,1.3082058,0.87255454,1.2157086,0.9961559,1.3836681,0.78468883,1.3436357,0.846769,1.1829937,0.7684555,1.2851853,1.2147386,1.0554266,0.96587753,1.2974524,1.0269555,1.1871324,1.1007551,0.75747174,1.2401004,0.92258173,1.4216545,0.9319914,0.6698947,0.8322449,1.0799153,1.1474856,0.8388971,1.1818492,1.309797,0.87832457,1.270616,0.95486856,0.77947736,1.1039417,1.1681427,1.1630822,0.42190814,0.7836807,0.55814874,0.80793273,1.1954421,1.0747087,0.9550669,0.87741244,0.80582035,0.9594367,1.1261077,0.6102196,0.9058959,1.3458482,1.012788,1.2996535,0.9847291,1.294451,0.9638371,1.0902191,1.3155171,0.70984626,0.856055,1.1208152,1.3709607,1.1944523,1.3260766,1.3422456,1.2115006,1.0543011,0.6983702,0.88805914,1.0389717,0.5641778,1.3086116,1.2777766,0.95861995,0.71517265,0.9893561,1.0432472,0.91996074,1.0644878,0.85515016,1.2435061,1.2366574,1.0008295,1.3527219,0.8385438,1.1682653,0.70476013,0.99137783,1.2107403,0.9151735,0.7143799,1.0462644,1.2258667,1.0068556,1.0162444,0.73649484,1.159377,1.30954,1.1487715,0.96582997,1.3238808,1.1325448,0.78560805,1.3401506,0.93405396,0.87115276,0.85097873,1.2352202,1.31506,1.2657089,1.1890786,1.2149388,0.7370597,0.8298198,0.7973122,1.0026475,1.2751769,1.2962649,0.9579723,0.89125174
ankle,1.0994407,0.0,0.7744646,1.0667951,0.79279137,0.7745711,1.0163794,1.2197967,1.3555081,1.3047222,0.83718395,1.0938042,1.1434355,1.1192778,1.2547586,1.2214133,1.2207273,1.008987,1.1859639,1.2778227,1.002954,1.2606668,1.0465257,1.0319413,1.0373486,0.9538747,0.70827454,1.1149863,1.0143222,1.0337117,1.3542581,1.0255004,1.1408857,1.0094123,1.0745085,1.1621324,1.03793,0.8884629,1.3813467,1.115293,1.2720761,1.0589266,0.8191752,1.3040752,0.77083683,0.9564001,0.47536224,0.8026808,0.91881824,0.39034748,1.1383362,0.79151165,0.96373516,0.37061864,1.1475508,1.0240005,1.1443269,1.0391867,1.3864595,0.5672678,0.6451589,0.9673698,0.90914434,0.8319217,0.75641537,0.4729395,0.9590323,1.0127043,1.0873034,0.8443557,1.152373,1.2286367,1.1521077,0.73087823,0.86533254,1.263573,0.79472804,0.93551093,1.0751045,0.5920939,0.8181026,0.66381407,0.58757347,0.8982746,1.3330349,0.995319,1.0199534,0.86128294,1.2440101,0.89240116,0.9072212,1.0074091,1.0111738,1.0686308,1.2870378,1.0567374,1.304242,0.9918647,0.7065847,0.64025176,1.0156419,1.1995873,0.7499361,1.3515444,1.1523993,1.1084179,0.91607463,1.061578,0.6253501,0.5967624,1.194252,1.3288015,1.3249798,1.1483618,0.34597445,0.7798241,0.6157092,1.1381339,1.1187677,1.270401,1.1228172,0.680705,1.0702189,1.1069518,1.3776879,1.0639241,0.33769548,0.5323672,1.0325104,0.9439602,1.0556594,1.2646906,0.96438503,1.1990658,1.0987488,0.6010107,1.2634034,1.1568941
apple,1.3441482,0.7744646,0.0,1.3687545,0.47266078,0.41719854,0.52698463,1.0734446,1.4981787,1.5579693,0.73676497,1.4333742,1.4424201,0.7705046,1.5406342,1.3563902,1.3992128,0.53822017,0.6168208,1.4359428,0.4713412,1.2723483,0.9459594,0.7811955,1.2090784,1.0491228,0.6140467,1.2430003,1.1760402,0.7280947,1.4353477,1.3911808,0.788901,1.33482,0.7073422,1.3385441,1.2026384,0.42161357,1.6181198,0.72247005,0.8426807,1.166577,1.0533932,1.4417578,1.0418047,1.1859658,0.80393875,0.12552243,1.1807909,0.634065,1.3207306,0.614996,0.67077106,0.76073265,0.8660637,0.9170276,1.2135679,1.2514861,1.4716604,0.64417154,0.97128713,0.6936278,1.1974542,1.048897,1.265331,0.4568088,1.1305214,1.4020458,0.70857126,1.2160219,0.61914945,1.5440422,0.7343905,0.9407065,0.4544605,1.0755899,1.416016,1.1067401,0.6536386,0.23847759,0.94727194,0.44295627,0.5760389,0.16154861,1.4737619,0.8063183,1.4228326,1.2812371,1.5041728,0.5658746,0.5868324,0.74538624,1.1124043,1.3844309,0.77457833,0.71541053,0.9587336,0.89395297,0.23369622,0.32426316,1.2784783,0.9537595,0.728117,1.3552736,0.922428,1.0138783,0.545627,1.3534967,1.3392444,1.0360848,0.88071454,1.4025222,1.4170426,1.3352147,0.5934413,0.3821479,1.0442963,1.072385,0.59546965,1.1755172,1.1249548,0.36153764,1.3233097,1.4040841,1.4658644,0.55393314,0.5948189,0.43612146,0.8280829,1.0357555,0.958223,1.4116675,0.9340217,1.2667384,1.2310845,0.43959558,1.3828833,1.0977018
arm,0.9607991,1.0667951,1.3687545,0.0,1.2190338,1.2439656,1.2890642,1.2910966,0.5739957,0.6450294,1.2665257,0.820719,0.69315904,1.2799326,0.6418849,0.90372354,1.036183,1.308043,1.4454861,0.9298036,1.3351754,0.8854378,1.2980081,1.3544029,0.94941336,1.1008768,1.036491,0.679688,0.89383656,1.2633324,0.66569006,0.4853747,1.132036,0.9011842,1.3254871,0.8989375,0.77665836,1.3824745,0.6414012,1.350898,1.3266531,1.0767319,1.2069765,0.64652073,1.0455328,0.6787599,0.9696072,1.2824367,0.6853187,0.8562571,0.83262575,1.3027127,1.2607462,0.76872003,1.2641139,1.3774202,1.046961,0.9641104,0.7591358,1.0624428,0.93522817,1.3951256,0.67983377,0.79142475,0.43970084,1.384708,1.1910838,0.6102147,1.2642183,0.61131316,1.314752,0.6828875,1.3176494,0.8261299,1.1007643,1.0477171,0.6239447,1.0555305,1.2876722,1.1980512,1.0921966,1.2320515,1.0189753,1.3240143,0.6928939,1.2656996,0.4845258,0.5214966,0.72874933,1.2689952,1.2770761,1.1177511,1.1531072,0.7859667,1.2122046,1.3140017,1.2522031,1.3353261,1.3163723,1.0579151,1.0799884,1.1772714,1.1612737,0.8581526,1.1700784,1.1052794,1.4409845,0.41157472,0.8920554,0.6990048,1.3549558,0.6390269,0.7873094,0.71658206,1.2512858,1.3374016,0.7655895,1.0088805,1.3999469,0.8828935,0.8657713,1.2946835,0.9494717,0.5581178,0.6365969,1.5179002,0.8970301,1.2499391,1.1650372,1.1183171,1.4179057,1.0246621,1.1648569,0.85394394,1.0646152,1.3202231,0.677658,1.1143452
ball,1.1935472,0.79279137,0.47266078,1.2190338,0.0,0.44683564,0.8826532,1.0651176,1.3283875,1.2727804,1.0685611,1.2648784,1.096467,0.9430456,1.2430286,1.2930205,1.1899825,0.80673736,0.88454443,1.1723087,0.68380207,1.2519102,0.94305557,0.91146517,1.2838757,1.1738348,0.86692077,1.2240727,1.2826822,0.6409784,1.3086531,1.2473406,0.9738644,1.1160349,0.6081407,1.1702762,1.0118493,0.877725,1.3479729,0.8498248,0.90920895,1.0750822,0.9635491,1.2436016,1.101176,1.139638,0.97236085,0.43904567,1.0948241,0.84791726,1.1442871,0.7870421,0.8161094,0.90003085,1.0028744,0.9669578,1.130637,1.071935,1.1709756,0.94899553,0.86027646,0.68139553,1.0991656,1.0456611,1.0643464,0.7754624,1.1047392,1.2733234,0.81359786,1.2235205,0.95656013,1.3224949,0.85506344,0.7579187,0.49321055,1.0001416,0.95442456,1.0873594,0.6594768,0.6081219,0.9720213,0.86301863,0.8363937,0.48740327,1.3233254,0.85458773,1.2043688,1.2154918,1.2160776,0.9295435,0.93864846,0.90592414,1.0284396,0.9831538,0.882781,0.8847549,1.0253513,0.96617633,0.6102803,0.50146186,1.0923588,0.9540594,1.0265752,1.2510889,0.92702365,1.0389932,0.8902159,1.1990361,1.060746,1.1128944,0.9241968,1.2186009,1.2555209,1.1810286,0.8746499,0.76209176,0.76887023,1.0334047,0.8655268,0.880929,1.2275586,0.7034149,1.1205219,1.2093298,1.1968725,0.70077455,0.7717192,0.7918985,0.92286503,1.0108572,0.8089564,1.1841221,1.0827551,1.1752989,1.1441301,0.8268323,1.20329,0.98029417
balloon,1.2367413,0.7745711,0.41719854,1.2439656,0.44683564,0.0,0.8647616,1.0559852,1.3216678,1.3342891,0.92449516,1.1218817,1.1993079,0.9373385,1.317073,1.2692018,1.2504964,0.7282579,0.81950605,1.26017,0.84325916,1.1606184,0.86097336,0.96827185,1.045621,1.1092777,0.785631,1.2115948,1.065604,0.83226067,1.288358,1.1704413,0.7931031,1.1338319,0.9325685,1.1589673,1.0743277,0.6877883,1.3345704,0.76766527,1.006821,1.1548873,1.0473162,1.1928616,1.0875239,1.1253678,0.88210976,0.38533747,1.0485086,0.73717576,1.1860334,0.8050157,0.8455435,0.93362254,0.9822832,1.0137632,1.1522391,1.1777651,1.2576251,0.8777441,0.98797244,0.760039,1.022354,1.0072924,1.0911484,0.62990916,1.0811065,1.1894941,0.8174473,1.0976919,0.817844,1.3137658,0.8075778,0.95353806,0.6984682,0.969823,1.0717424,1.0161837,0.9441187,0.5072074,1.0334262,0.7563592,0.66914546,0.4026277,1.3673396,0.8690955,1.1667044,1.1301938,1.3007276,0.83989894,0.8208767,0.8233867,1.112885,1.1461849,1.0659828,0.9284521,1.019741,0.9845176,0.6135124,0.4730841,1.1402371,0.96419835,0.90962315,1.2817173,0.91037714,1.0920801,0.7688621,1.1421262,1.1698371,1.0130049,0.8135061,1.1963704,1.2309458,1.1416912,0.77721226,0.6796389,0.82368016,1.1181946,0.79240483,0.9793141,1.2332944,0.5466177,1.2250257,1.1941578,1.2490324,0.73368764,0.7395674,0.73311216,0.87528604,1.0784011,0.8681719,1.2040058,1.042953,1.1778262,1.1007442,0.80293006,1.1751081,1.0080816
banana,1.007222,1.0163794,0.52698463,1.2890642,0.8826532,0.8647616,0.0,1.00267,1.3791201,1.4592699,0.8307501,1.2730281,1.345582,0.77447915,1.4090776,1.2536268,1.2577578,0.82444227,0.5405491,1.2806216,0.50084805,1.0270596,0.90894186,0.79873145,1.1635844,1.0205423,0.8060702,1.2817743,1.2170423,0.94471604,1.3315632,1.408833,1.0061718,1.1709608,0.6531047,1.2425305,1.0565598,0.6275563,1.4500623,0.8416372,0.55009246,1.055315,1.0646214,1.3842868,1.027984,1.1882355,1.0150474,0.6323636,1.2227864,0.9608944,1.1950011,0.68184894,0.6514969,0.9588411,0.7015885,0.6565692,1.1531411,1.1839691,1.3167064,0.9914931,0.85405815,0.7485458,1.2782413,0.9574688,1.2321014,0.74672246,1.0751634,1.4004979,0.84218955,1.2043227,0.6723586,1.3621942,0.8808907,1.0504698,0.5199928,1.0257003,1.287044,1.0588512,0.6756001,0.8671057,0.83462965,0.87931776,1.0242699,0.53468174,1.2434471,0.74304485,1.3707983,1.3384824,1.3329759,0.7387183,0.6952523,0.49977654,0.89294034,1.3258133,0.57618123,0.6410914,0.65105134,0.9463134,0.53194356,0.66795236,1.1739091,0.9980203,0.7291845,1.073267,0.85842246,0.8248708,0.6948515,1.3664848,1.1956841,1.1777349,0.7922569,1.4078765,1.1759602,1.1405381,0.87208205,0.5421642,1.1129346,0.79127806,0.5443295,1.1654314,1.0820125,0.84953463,1.2582977,1.354212,1.2828609,0.630344,0.94586563,0.7683028,0.7491616,0.84691346,0.8513503,1.054113,0.87119436,1.1848079,1.1607597,0.76452225,1.3571053,1.0372657
basket,1.2879521,1.2197967,1.0734446,1.2910966,1.0651176,1.0559852,1.00267,0.0,1.0083771,1.0349854,0.82322115,0.8864914,1.1728902,1.0378664,1.1149468,1.0165288,0.9932353,0.63496286,0.53635633,0.7805524,0.96054286,0.8596095,0.44967306,0.8981491,0.6728591,0.9582351,1.2109456,1.2263848,0.6392143,0.8131658,0.9071615,1.183104,0.78072095,0.6315865,0.85561746,0.70616114,1.0859181,0.86707383,0.7935639,0.52943957,0.6995424,1.1393054,1.1067864,0.9451482,0.80137736,1.2705886,1.2332834,1.1623031,1.3430157,1.2833723,1.0272045,1.13615,0.8889682,1.2452056,0.63130105,1.1188765,1.0522063,1.1225139,0.9834198,1.2321918,1.1461141,0.9412444,1.2726188,1.2969861,1.3555279,0.9904121,1.1112827,1.2044448,0.61209625,1.2422929,0.6277475,0.8018912,0.68121076,1.2369483,1.1383232,0.63454664,1.288702,1.0458221,0.93658525,1.1398921,0.9084684,0.9757368,1.1927836,1.1283926,0.7917631,1.2531652,1.2076946,1.2410984,1.1372246,0.7770219,0.7828516,1.1010711,1.1135164,0.85678554,0.9699916,0.7641115,0.84580076,0.9945465,1.1312069,1.2265718,0.7166937,0.43401378,1.1703316,0.5767728,1.1305699,1.1212189,0.77212036,1.2945524,1.1782914,1.2848508,0.6178505,0.988942,0.79218745,1.2444277,1.044885,0.8395794,1.1313757,1.1338965,0.69269454,0.960409,1.2012187,0.95510435,0.9059911,1.2070965,1.1626474,0.6276368,1.243708,1.1257774,0.88070995,0.7674459,0.96327984,0.8649377,1.1364267,0.90857565,0.51868474,0.92087907,1.0349509,0.78844947
bathtub,0.86308646,1.3555081,1.4981787,0.5739957,1.3283875,1.3216678,1.3791201,1.0083771,0.0,0.31723392,1.3008361,0.58073103,0.5402636,1.234192,0.41807258,0.70040035,0.7804592,1.4328715,1.1830198,0.6731255,1.326571,0.81129,1.2351675,1.3234923,0.90744853,1.0239033,1.3587948,0.7279567,0.9434689,1.2037416,0.34642357,0.67451614,1.1744883,0.9140787,1.2081039,0.86836106,0.66384035,1.4581914,0.31215,1.3371487,0.99925774,1.0600845,1.261645,0.56504464,1.005059,0.79192823,1.2777379,1.3420819,0.7703608,1.3373452,0.9027523,1.3983078,1.4157939,1.2865396,1.210911,1.2897731,0.9744694,0.8952415,0.56618255,1.2686425,1.2629632,1.32357,0.8509444,0.74366695,0.8864213,1.5498273,1.1054074,0.708052,1.3402939,0.78255224,1.3144248,0.6132095,1.1919023,1.0164592,1.235138,0.954901,0.80116516,1.0787016,1.2114649,1.4158168,1.2158809,1.4282005,1.3415987,1.3348022,0.4067726,1.1836933,0.62617713,0.76380485,0.52932024,1.4127486,1.4283221,1.1165801,1.1541843,0.7139117,1.1251707,1.4281639,1.0184399,1.314755,1.3792887,1.3754456,0.91736853,1.1248538,1.1439146,0.7374742,1.0973015,1.0121535,1.4216042,0.62415403,0.9338782,0.9711203,1.1205829,0.4455731,0.3253879,0.44882655,1.4187597,1.3903543,1.136496,0.9231147,1.3559513,0.80741155,0.88212526,1.5292177,0.8315563,0.64260656,0.4874977,1.2257473,1.4142303,1.4782732,1.2381841,1.2343369,1.1738585,0.5781626,1.1427734,0.9103694,1.0421565,1.4846001,0.6050924,1.119349
bed,0.7659843,1.3047222,1.5579693,0.6450294,1.2727804,1.3342891,1.4592699,1.0349854,0.31723392,0.0,1.3599696,0.54386854,0.3726194,1.3081775,0.18211114,0.59331656,0.5180615,1.4452882,1.352577,0.5281247,1.4508817,0.9022331,1.3038428,1.3751271,1.0356268,0.95440257,1.3457365,0.7919781,0.927464,1.2317595,0.4147687,0.56066537,1.2300143,0.908274,1.2602568,0.6691388,0.7695263,1.5051379,0.2571882,1.3978813,1.1041664,0.924153,0.8868495,0.57592547,1.118118,0.7775005,1.3251519,1.4923656,0.7477672,1.3591732,0.8263906,1.43018,1.3822652,1.2984859,1.2914112,1.2704171,0.79721546,0.81816524,0.50354785,1.2515593,1.1925591,1.3371775,0.7987247,0.724636,0.8648486,1.483103,1.0338109,0.64413935,1.3855536,0.83638656,1.4084886,0.51942825,1.2580891,1.0826118,1.3275305,1.0584629,0.6576622,1.0787133,1.3187563,1.4605863,1.2558272,1.4784293,1.3941128,1.4561931,0.55608714,1.2195792,0.4941833,0.7512085,0.3971398,1.4988158,1.5112329,1.2499063,1.0657816,0.44602168,1.1795706,1.3921943,1.1007466,1.2221143,1.5317991,1.399045,0.8208124,1.1497818,1.2642558,0.7090783,1.0969274,1.128227,1.4452151,0.58549166,0.80558926,1.0089492,1.1904829,0.45230412,0.6449704,0.4803089,1.4308646,1.5374355,1.0695509,1.0690436,1.5129269,0.92772806,1.024717,1.5093706,0.61495167,0.5054963,0.31894076,1.3442129,1.3933158,1.4869475,1.2891145,1.2175832,0.9215883,0.5893316,1.1431093,0.9300374,0.95558333,1.5175369,0.5060548,1.0901843
