,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.0379697,0.98488766,1.066615,1.0623379,1.0705092,0.7108071,1.0114464,1.0495585,1.1643076,0.84768355,1.097826,1.1645783,0.67763406,1.1306229,1.0228543,0.96433794,0.9846413,1.0220747,1.10705,1.0346053,0.9178303,1.0713868,0.8902042,1.0314567,0.8841915,0.79495233,0.8749394,1.1767297,0.8533034,1.1915509,0.8300477,1.2339987,0.79545367,0.90711486,1.0359033,0.8321433,1.1187657,1.0002935,0.72585917,1.1941284,1.0162008,1.0687658,0.78794324,0.9942045,1.176287,1.0728754,1.2409482,0.7309331,0.9755747,1.0066988,0.9417489,1.0835338,1.1348699,1.0620397,0.6764064,0.87842566,0.9567603,0.7580904,0.3387344,1.0745344,0.9992146,0.9778642,1.1779909,1.0748745,1.111547,0.8920769,1.1150119,0.98481303,0.84348744,0.6662586,0.9826264,1.1913843,0.99156606,1.2166559,0.8878112,1.090996,0.9248084,0.9739718,1.109093,0.9112296,1.1183572,1.0712777,0.952705,0.97818077,0.98444676,0.99875504,0.98193353,0.92778355,1.1832473,0.84602106,1.2233028,1.1928204,1.0408868,0.786354,0.76445204,1.1141535,1.1143924,0.732789,1.1054405,0.96349955,0.93062514,0.5714369,1.1625538,1.1059943,1.1125039,1.1125637,1.2009974,1.1195862,0.76060057,1.0505016,1.116837,0.697954,1.2341051,0.99952626,1.1799663,0.6756567,1.1129487,0.9655949,1.0380325,0.93957126,1.0914029,0.87940377,0.938715,0.80539215,0.9884514,0.9852629,1.1732522,1.1190013,1.1051018,1.1568782,0.9803535,1.0155891,0.87773556,0.93232334,1.0452989,1.0252631,1.061596,1.1193668,1.1677036,1.0360866,1.0610733,0.97430825,1.1816257
ankle,1.0379697,0.0,0.88713324,0.9458733,0.8812153,0.8580219,1.0190834,0.89447355,1.2277899,1.2909617,0.8809471,1.1663986,0.9978144,0.9080053,1.1596617,1.0992659,1.1762936,0.9842154,0.90286684,1.2365184,0.77360463,0.91869396,0.89219743,1.312845,0.9380749,0.94932795,0.94352704,1.2415582,1.1131167,0.94369864,1.2623949,1.1051965,1.0316283,0.97254264,1.0251508,0.84019005,0.9176043,1.2825112,0.8212483,0.9531662,1.2937329,0.9215731,1.0321921,1.2049899,1.0067761,1.3195815,1.0857191,1.0170189,0.87299514,0.83728933,0.81946516,1.1465534,0.9615527,1.062206,0.5511028,1.0463558,0.9899425,0.46064532,0.950824,1.08068,1.1273195,0.92827004,0.49402273,1.239356,0.9156929,1.058474,0.90644467,0.9386844,0.745239,1.040069,1.066177,1.3048407,1.1407552,1.0116811,1.1196015,0.8901195,1.1386554,0.8790853,1.1378934,0.798594,0.92959076,0.98388517,0.82381916,1.0064335,0.8742103,0.85551137,0.74320626,0.8712362,0.92756295,1.2606575,1.141409,0.9905056,0.9692537,1.2563831,0.897858,0.83515644,0.8179773,0.75574195,0.9506657,0.80942464,1.1291716,0.9508918,1.0325646,0.66765666,0.8760059,0.83155286,1.0068218,1.2553408,1.1568406,0.9259474,1.2000463,0.8407332,0.9472524,1.1001991,0.43765986,0.7896774,0.9804865,1.1881484,1.1688198,1.1619421,0.31971574,1.2164643,0.99777657,0.6087596,0.8747412,0.9664777,0.8981316,0.9807209,1.1907212,1.2365915,1.3381183,0.82505465,0.44631028,0.89932793,1.2010945,0.9490334,1.1524487,1.2587339,1.3139797,0.977279,0.9748758,0.995844,0.7807876,1.347476
apple,0.98488766,0.88713324,0.0,1.356198,0.35186434,0.53126127,0.5548189,1.0052223,1.4787898,1.5645139,0.7412847,1.3770849,1.3667737,0.7767745,1.5549593,1.3790268,1.1740186,0.7009151,0.68699884,1.2279159,1.0047221,0.9212647,0.93605065,1.112344,0.9505621,0.8668233,0.599562,1.3809025,1.3874745,0.7305846,1.4425842,0.9157619,1.2913821,0.79284763,1.1332738,0.74167585,0.8848811,1.4536345,0.9566767,0.54389894,1.4466805,0.6479723,0.9211171,1.1883038,1.0977881,1.4289876,1.2231224,1.4247389,0.8377326,0.8391242,0.42568922,1.1282957,0.9477769,1.1231327,0.7419741,0.69098085,0.6453059,1.1037134,0.7158248,0.61200887,1.0825187,0.91766393,0.9215605,1.2097722,0.7482507,1.2053157,0.6648984,1.1125926,0.7739394,0.959079,0.8779419,1.2103131,1.4524255,0.9148177,1.4327054,1.0449693,1.3789097,0.7549379,0.9182172,1.2798355,0.90582603,1.0543865,0.87760377,1.0210646,0.53217566,1.1380064,0.8120227,0.65771294,0.2959628,1.3472947,1.1903658,1.4355627,1.450835,1.1974584,0.67641544,0.7057981,0.87090933,0.49591202,1.0987389,0.9186924,0.7832235,0.4703058,0.8629229,0.56335044,1.1528523,0.86539644,0.42427838,1.3988574,1.2006257,0.7004715,1.1554012,1.2614195,0.91956925,1.4028502,1.1288476,1.2955399,0.6937071,1.269044,1.1513805,1.2058716,0.8509208,1.2360411,0.58367646,1.1277641,0.81181717,0.8710822,0.131729,1.1955163,1.3703973,1.2804742,1.385969,0.6426191,0.6573677,0.7499336,1.2155471,1.2619867,0.9872689,1.0675037,1.1915022,1.0674965,1.0017798,1.1920594,0.6414231,1.3644041
arm,1.066615,0.9458733,1.356198,0.0,1.2441483,1.3484406,1.135488,1.2907658,0.6075089,0.5460503,1.3393184,0.9527675,0.5095987,1.3884048,0.47825378,0.77625614,0.90496397,1.3833861,1.343858,0.81042975,0.88235176,1.2906196,1.2957847,0.8868213,1.3461598,1.4127988,1.109205,0.6890825,0.94053364,1.3704135,0.77984476,1.3188161,0.77129835,1.2802165,0.89283526,1.1294532,1.0730549,0.6020367,0.91496146,1.3653839,0.81301916,1.4235008,1.0480287,0.9366385,0.9922645,0.8394662,1.0059375,0.5590994,1.3442057,1.0113646,1.2838534,0.9193326,0.92296433,0.7952882,0.97969824,1.2966928,1.3365908,0.8787881,1.3727458,1.2362949,0.9624774,1.0796463,0.9566985,0.8870542,1.0053525,0.80723536,1.1348786,0.69047856,1.3720686,1.1477752,1.2618501,0.79848045,0.64781386,1.244848,0.5097315,1.0201544,1.0030992,1.4528847,0.9204037,0.5728249,1.2748699,1.2170476,0.8885065,0.8526866,1.3527217,1.0907638,0.9519114,1.2871412,1.181803,0.9370414,0.8692111,0.44197285,0.5322256,0.77896845,1.3619921,1.3469856,1.2297544,1.0640806,0.97761256,1.0265075,1.2851821,1.3870721,1.2487619,1.222886,0.9664158,1.3346525,1.14642,0.9544398,0.8863481,1.4419746,0.88527465,0.4717241,0.99076945,0.5102137,0.8543285,0.6371914,1.3874853,0.80697453,1.1483289,0.86462927,1.135932,0.8719785,1.2678258,0.6692931,1.1705486,1.2097605,1.3140996,1.0809597,0.58513165,0.80007076,0.6320164,1.1864004,1.0780948,1.1889837,0.8163171,0.98516303,1.0000306,0.8477152,0.9250328,1.162533,1.247481,1.1396478,1.3350034,0.80548674
ball,1.0623379,0.8812153,0.35186434,1.2441483,0.0,0.30724096,0.72571355,0.96263665,1.372936,1.3778892,0.9140825,1.2953011,1.2737045,0.8204913,1.3713124,1.2553897,1.1370445,0.773837,0.71469796,1.1523296,1.1048017,1.0491512,0.9372219,1.0951215,1.0360423,0.8557948,0.8085536,1.274998,1.3746178,0.6964029,1.3811525,1.0233171,1.217453,0.8949758,1.1394273,0.82258064,0.99048936,1.2897292,1.0483109,0.7517438,1.338017,0.70032537,1.0826062,1.0429492,1.0255603,1.387764,1.2340953,1.3092047,0.8613227,1.0188347,0.33847725,1.1031059,1.0022643,1.1227151,0.8764584,0.85312915,0.7572067,1.0542654,0.9755345,0.8067859,1.0538543,1.0230505,0.8991638,1.2366606,0.7596333,1.142916,0.69639206,1.1137704,0.7417481,0.9273972,0.9694873,1.1774853,1.3223372,0.8162289,1.2442424,1.0051025,1.3330308,0.8110349,1.0862317,1.0799482,0.9906595,0.9704748,1.0011919,0.9820536,0.6108893,1.2784138,0.9817209,0.7781229,0.4814366,1.3049675,1.0198354,1.2880933,1.3617108,1.1655498,0.8708788,0.8807742,0.8543723,0.6276698,1.0553329,0.97007704,1.0179335,0.6455439,0.92273,0.39965045,1.0957615,0.8617643,0.5496819,1.3790159,1.1485069,0.73898506,1.1358156,1.2043184,1.0239458,1.283416,1.0409943,1.2182399,0.8232583,1.1402484,1.1789895,1.0955275,0.8540747,1.1095494,0.6447732,1.109191,0.89786625,0.8258234,0.44565797,1.1017655,1.2384965,1.1991761,1.2324002,0.46982157,0.7886948,0.90442926,1.0510304,1.3680799,0.7964286,0.9677147,1.2045634,0.97771895,0.95430887,1.2057742,0.75612944,1.2854354
balloon,1.0705092,0.8580219,0.53126127,1.3484406,0.30724096,0.0,0.8695526,0.9143119,1.2963688,1.3941462,0.88421595,1.2569351,1.2854267,0.74984384,1.3201432,1.250524,1.1474878,0.7283919,0.63647944,1.2123847,1.0685316,0.8511166,0.79718137,1.1803721,0.8362312,0.87808394,0.8275698,1.2348368,1.1926928,0.5978503,1.3090448,0.82163745,1.2156358,0.7549598,1.119551,0.8617308,0.88062906,1.3731346,1.0281738,0.77328026,1.2995133,0.6199823,1.0613123,1.1141059,1.0998402,1.2606573,1.174195,1.2689652,0.7693186,1.0542102,0.23851657,1.1582144,1.0944657,1.2028062,0.97188914,0.7894659,0.7555777,1.1231024,0.83180714,0.92569023,1.1342385,1.0949688,0.9603216,1.2106476,0.82876956,1.2404821,0.94037855,1.1940738,0.7689587,0.94649637,0.9133479,1.1795564,1.3142748,0.77170193,1.2577398,1.0322989,1.1925396,0.45949173,1.0365726,1.1671652,0.7710857,0.98863816,1.1018397,1.0158998,0.67951226,0.93104315,0.9960231,0.7238536,0.5392902,1.2556889,1.0548337,1.307935,1.3237886,1.1972644,0.80677915,0.79299206,0.761747,0.7785224,1.014026,0.9669701,0.96233857,0.67310727,0.9080415,0.5323627,1.1663442,0.8827684,0.64881945,1.1802822,1.1423084,0.68541235,1.1402124,1.2417834,1.0506912,1.32328,1.0935416,1.2316222,0.8406197,1.1991099,0.9182218,1.172039,0.87190217,1.0740366,0.7684779,1.0633005,0.9162789,0.83402205,0.6434258,1.1393722,1.3184698,1.1788517,1.3016031,0.5791702,0.80928874,0.915186,1.052856,1.0187132,0.9641584,1.1187018,1.1837034,0.9935998,0.9271701,1.0175589,0.8454956,1.1855704
banana,0.7108071,1.0190834,0.5548189,1.135488,0.72571355,0.8695526,0.0,0.9169515,1.3554003,1.3809509,0.6299916,1.2475762,1.3823076,0.6859573,1.3859054,1.263291,1.2449516,0.6663619,0.6990216,1.2269182,0.9425197,0.8220904,0.8534726,0.9470068,0.8257443,0.84271914,0.6374268,1.231246,1.2645131,0.6501832,1.3324026,0.73548836,1.3510041,0.6331936,1.1209081,0.72567475,0.71929884,1.264988,0.89296216,0.45508897,1.3447856,0.6743032,0.9936003,1.0219874,1.0897547,1.3080614,1.1920063,1.3263795,0.77004075,0.8760799,0.67079985,1.150725,0.9725535,1.1506482,0.9271693,0.4756344,0.8021087,1.1412458,0.8421657,0.42329443,1.1331465,0.8784796,0.97273386,1.2766478,0.99114,1.2434655,0.472131,1.2848151,0.8129311,0.95739806,0.9175177,1.0719573,1.369804,0.8517374,1.3598778,1.041432,1.2014349,0.7722683,1.0114738,1.3458964,0.9205383,0.9960634,1.0548882,1.0174302,0.6352034,0.9849121,0.8527265,0.8169863,0.5092985,1.2355609,1.0880951,1.404141,1.3250414,1.2930436,0.81401193,0.79492116,1.0068748,0.6221968,0.86598295,1.0527819,0.90775347,0.6843953,0.8721001,0.8904532,1.1227926,0.9363991,1.0150175,1.3194801,1.2563292,0.68397665,1.1573799,1.1555135,0.93373597,1.3705585,1.1917917,1.2565356,0.52072215,1.2169445,0.9665522,1.1565518,0.9109988,1.1762253,0.34271824,1.1592607,0.8729004,0.7373212,0.6992446,1.1515435,1.2613319,1.3083384,1.3742647,0.7892449,0.8599457,0.7526232,1.1366378,1.091614,0.95525634,1.0561103,1.2395437,1.0130198,0.99408287,1.1554868,0.6313799,1.332818
basket,1.0114464,0.89447355,1.0052223,1.2907658,0.96263665,0.9143119,0.9169515,0.0,1.1737288,1.18052,0.94526154,0.91580987,1.3026824,0.6702535,1.1903242,1.1786796,0.7985244,0.73095393,0.5598748,0.7902492,0.9490481,0.7913439,0.43970895,1.2021029,0.6263624,0.68424416,1.1048205,1.318546,0.87809545,0.66777337,0.87549704,0.9722524,1.3020034,1.1109115,0.9824281,0.80916417,0.959373,1.1556599,0.9178224,0.93903375,0.71851784,0.6500622,0.7526457,1.1455065,0.8835346,1.1103048,0.73936874,1.1949899,0.57410836,1.3193169,0.99286103,1.1581748,1.2960738,1.349216,1.2722981,1.0871276,0.6697619,0.96079326,0.825914,0.99494064,1.0902691,1.2091466,1.0043052,1.1960958,1.022305,1.3203117,0.9670141,1.3358473,0.81061345,0.7954401,1.0016882,0.9847236,1.3749775,0.4799769,1.376153,0.9563301,0.7810545,0.77214605,1.162164,1.2755816,0.8975768,0.7513114,1.2858914,1.2287332,0.99883294,0.8531432,0.9792712,1.0023526,1.0482204,1.0662941,1.121341,1.3550472,1.4495811,0.9992074,0.83388007,0.8396125,0.8282269,1.1785325,0.7606883,0.8489422,0.8484074,0.7377119,0.9674657,0.9583767,0.6781041,0.5506494,1.026597,0.941125,1.2300336,0.63351,1.1476014,1.1398293,1.0178075,1.4477801,0.9348597,1.2133739,0.9359588,0.9289097,0.97722995,1.052607,0.7747771,1.1531179,1.0258214,1.0389804,0.9449368,1.0021613,0.99053854,0.8238654,1.3758625,1.1413202,1.1408336,0.7087667,1.1774944,1.1810889,1.0219963,0.92602557,0.7041083,0.80998164,1.1495457,0.65178394,0.65892935,0.62806517,1.043277,1.1871421
bathtub,1.0495585,1.2277899,1.4787898,0.6075089,1.372936,1.2963688,1.3554003,1.1737288,0.0,0.2744621,1.4111695,0.6851437,0.4804685,1.4834491,0.35607767,0.4904086,0.7636298,1.4230515,1.2983303,0.6204771,1.2035801,1.3233402,1.1093904,0.7730673,1.2090871,1.3581917,1.191913,0.4883312,0.751342,1.4674404,0.4275489,1.2149308,0.8436521,1.2838058,0.9431949,1.3959959,1.1868342,0.45494163,1.2809812,1.4510492,0.49660814,1.4114885,0.9629364,0.8289396,0.96637017,0.52728456,0.60267305,0.7710919,1.4349722,1.1603101,1.2681046,0.87533605,1.0611445,0.8237138,1.1998776,1.3115661,1.4387236,1.1478152,1.1471018,1.326218,0.98212266,1.2174785,1.2061505,0.7661343,1.0346576,0.8199861,1.3097332,0.7152504,1.4840608,1.1461619,1.2616308,0.6711346,0.5187161,1.1869785,0.5677446,0.87177086,0.83825403,1.3441188,0.83065784,0.70267475,1.3056931,1.2814649,1.0501727,0.8007145,1.3973242,1.001139,1.3900166,1.4310539,1.2491381,0.55398726,0.82113206,0.52564573,0.6638109,0.6262722,1.2399641,1.2914317,1.2270937,1.2664104,1.0512259,1.3305731,1.287832,1.1378837,1.2040681,1.3740332,1.1214683,1.2911798,1.1831331,0.5521706,0.7476627,1.5410764,0.8164839,1.0023048,0.9111066,0.53801745,1.1088972,0.87987214,1.4596348,0.5639393,0.6623752,0.77749157,1.4062238,0.6755653,1.4078734,0.8705801,1.0373467,1.2359304,1.4160895,1.1450973,0.6202043,0.77353746,0.31698263,1.2230062,1.3001174,1.1704316,0.6201291,0.8959897,0.9597577,0.7143868,0.8499185,1.2833818,1.2033839,0.9946863,1.4330308,0.5719388
bed,1.1643076,1.2909617,1.5645139,0.5460503,1.3778892,1.3941462,1.3809509,1.18052,0.2744621,0.0,1.3972001,0.6474433,0.45707542,1.4591392,0.16857898,0.5775116,0.87760603,1.448024,1.4684141,0.6870277,1.1676096,1.305857,1.2693539,0.7593072,1.2970828,1.3655365,1.2839923,0.51134324,0.6246581,1.4810258,0.43109274,1.2153796,0.7128511,1.2694796,0.9555521,1.4000194,1.2709669,0.110411644,1.2632447,1.5062661,0.40690935,1.5076156,1.1043371,0.8007805,0.9375259,0.49831927,0.8025573,0.62136424,1.4359795,1.1289614,1.3640621,0.85864174,1.0135924,0.74040294,1.238612,1.3260281,1.4513023,1.1115961,1.3598027,1.3865271,0.999581,1.1484567,1.1599771,0.72630596,1.2003626,0.74755484,1.2696936,0.7918515,1.4098129,1.1650496,1.261327,0.73968923,0.43651384,1.2749949,0.3437969,1.0269792,0.74176836,1.440777,0.88938946,0.658699,1.3371263,1.1592736,1.0595063,0.88684964,1.4058683,1.0232445,1.3977457,1.4394662,1.3781803,0.58872217,0.7929436,0.36480415,0.50342107,0.7155564,1.4137163,1.4412177,1.2279046,1.316967,0.85178065,1.2824308,1.2491243,1.3709598,1.2549419,1.3186102,1.0235857,1.3351548,1.2595724,0.6048949,0.7468225,1.522491,0.8543636,0.84668297,1.0624138,0.41346478,1.0930424,0.7048816,1.4083239,0.4918487,0.90040344,0.77246547,1.4072359,0.6772272,1.3595469,0.858822,1.2178961,1.2111642,1.4823391,0.9519583,0.43683904,0.7041689,0.35075969,1.3425707,1.349378,1.2202116,0.800105,0.874939,1.0061374,0.8061926,0.77529114,1.1419188,1.2042035,1.030285,1.444514,0.53926975
