,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.0645534,1.0932674,1.0643234,0.96166104,1.0393159,0.76045835,0.8127705,1.0901644,0.99729896,1.0023893,1.0307752,0.89874566,0.8773065,0.85349244,0.8993512,1.086313,1.1419095,1.1636566,1.1337739,0.84933484,0.98320836,1.1261915,0.9053912,1.0903589,1.0468653,0.943909,0.7936871,1.0085664,0.93289316,1.0034664,1.0605787,1.0736558,1.1360786,0.8559228,0.93997556,1.0200609,0.9425687,0.984121,1.0151507,1.1319424,1.0444903,0.70827144,0.82442874,1.0754182,1.0341909,1.1262037,1.1936395,1.017371,1.01172,1.0270156,1.1101347,1.1084354,0.94868684,1.0252362,1.0206953,0.925295,0.7267461,1.0933211,1.153523,0.961251,1.1525362,1.114896,0.9526686,1.0857921,1.1179008,0.8370143,1.0130652,1.0704777,0.9737958,0.9547336,1.0740521,1.0820532,0.9911451,0.93869644,1.1419389,0.930415,0.97417885,1.0563498,1.0457716,0.98985845,1.1887064,0.93272895,1.0825936,0.95873,0.986706,1.0946718,0.76242125,1.0465574,1.0576591,1.0681137,0.9450015,1.0514566,0.9919372,0.95854706,0.769456,0.9778286,0.97909933,1.0666883,0.27308464,0.98188424,1.1621094,0.85032547,1.0055572,1.1615334,1.114315,0.958584,0.9935028,0.87011945,0.9339905,1.0961163,0.91429436,1.0422411,0.98329896,0.92117506,1.1476502,1.0319123,0.99296385,1.029837,1.1075648,0.87187326,1.1078414,1.0201775,1.0788324,1.1581386,1.0057663,1.0155798,1.1564224,1.0100971,1.1315509,1.0635812,1.060475,0.8620572,0.92226493,1.0767424,1.0413136,1.08476,1.0716738
ankle,1.0645534,0.0,0.93567425,0.77758175,1.0142317,0.93449664,0.93604374,0.9814928,1.0953271,1.1563528,0.97616947,1.2350346,1.0229505,1.1930041,1.0454508,1.1167449,1.116496,0.96631116,1.0857011,1.1838604,0.78808105,1.0520236,1.0554284,0.89703155,0.9802484,1.0127755,0.8559704,1.1195906,1.0479648,1.0641482,0.91734767,1.1595066,1.0379527,1.0568577,1.1801804,1.0388277,1.1958988,1.1399734,0.9718389,1.1952951,0.88731563,1.131126,1.0508653,0.85441405,1.1753132,1.0219508,1.01154,0.88069814,0.87382054,1.0155879,0.854895,1.1250266,0.55458987,0.9712039,0.9259028,0.38251317,0.88913494,1.0747197,1.1593919,0.9540366,0.60293347,0.78607565,1.1322292,0.8480671,0.61026216,0.9683629,1.1576829,1.1502258,0.7847134,0.95369804,0.9846841,1.2414715,0.9232913,1.042514,1.1264067,1.2126615,0.7514545,1.0336237,1.2428141,0.9829251,0.94777274,0.9620747,0.8944534,0.8138578,0.9147606,0.92411673,1.1370196,1.1494088,0.9589842,1.115877,1.217918,0.84930617,0.9995677,0.90653104,0.987296,0.9215639,0.9725474,0.9202928,1.1321673,1.0567253,0.70271885,0.8107794,0.8911046,1.1241962,0.86125445,1.1345435,1.0913919,1.168599,0.9235456,0.98267007,1.0786855,0.86238843,0.9256573,0.790649,1.1548907,1.2151268,1.0935326,0.7114182,1.1785047,1.0043938,0.8066552,1.1759052,0.86534405,1.0648593,0.77416795,1.2477578,1.1544342,1.2390864,1.0042564,0.4577968,0.89022106,0.97669464,0.9228335,1.0321859,1.2367506,1.0718987,0.882126,1.1229731
apple,1.0932674,0.93567425,0.0,1.3253808,0.50245357,0.5662122,0.6238427,1.05455,1.3999863,1.3891296,0.8183878,1.4039748,1.3875489,1.0193105,1.360168,0.94592875,1.0974258,0.6746669,0.82583284,1.229778,0.78662276,1.1281805,1.0414666,0.80916923,1.0869732,0.8428799,0.74246335,1.2036448,1.2144094,1.0265955,0.81291837,1.362492,1.1517494,1.2639704,1.2111955,0.8849834,1.3438079,1.1093546,0.61458313,1.3400738,0.7975533,0.999364,1.0985236,0.9367083,1.3430066,0.969198,1.3417032,0.86698776,0.47878796,1.147907,0.85958403,1.1135614,0.9053167,0.7981256,0.5946803,0.9453762,0.789647,0.7090816,1.1103847,0.85440207,0.894521,0.7386497,1.1626719,0.63823104,1.1994774,0.67843276,1.1789665,1.254526,1.0312173,1.3474298,0.73466396,1.2256932,0.6893466,1.0876629,0.92531073,1.0674108,1.283018,1.025255,1.2222393,0.91390514,0.80300856,0.663505,1.0040234,0.8571447,0.771119,0.51041585,1.2855188,1.1566514,1.3922261,1.3191607,1.2587678,0.84298337,0.7194611,0.71803033,0.50934136,1.1418138,0.921071,0.9120109,0.8197706,0.9957646,0.5205481,0.80213773,1.1515679,1.1648587,0.8402157,1.178081,1.0851521,1.1767815,1.2307105,0.7378274,1.312958,1.1205525,1.2516447,0.8881191,1.2203134,1.1906421,1.2912455,0.81743944,0.9870656,0.6350639,1.2727659,1.1631534,0.71091026,1.1799778,0.55900455,1.2786975,1.2882719,1.2332265,0.8549377,0.8680558,0.8879815,0.9676665,1.1560932,0.8046512,1.2384036,1.1561224,0.7156888,1.2382761
arm,1.0643234,0.77758175,1.3253808,0.0,1.3067098,1.269344,1.3815408,1.3014232,0.6213698,0.49699426,1.4824629,0.5350462,0.33890092,0.9691166,0.58255076,1.1213808,0.9537597,1.4677207,1.1829879,0.84893435,1.2082734,0.9976259,1.0888408,1.3752067,1.2024579,1.3193959,1.254245,0.7848524,0.9823006,0.81249464,1.3220055,0.7208752,0.88779616,0.677572,0.8750188,1.0705329,0.47372502,0.85527486,1.4871423,0.7133057,1.4216591,1.1492575,0.80830914,1.0762253,0.8298577,1.2972789,0.49077874,1.1268581,1.4339164,0.93237245,1.2677585,0.8042966,0.8764311,1.3043141,1.3945866,0.8921613,1.40621,1.3091788,0.97274095,1.2786388,1.0275443,1.1086606,0.7617129,1.2439368,0.40806794,1.4390258,0.90224874,0.6937783,0.9410751,0.4981526,1.4365866,0.868906,1.5215135,0.82513845,0.8418709,0.8795816,0.4176498,1.1160444,0.8511509,1.0496275,1.2050924,1.3546441,1.1708263,1.227885,1.3964353,1.4210557,0.91204596,0.7822352,0.31780505,0.6175654,0.7021318,1.1180127,1.459636,1.4052855,1.2974908,0.92741185,0.97382665,1.150815,1.1861703,1.2034646,1.2624769,1.2387421,0.9932101,1.0037861,1.0438228,1.0161735,0.75064075,0.88433254,0.74780476,1.2705456,0.41651762,1.1046193,0.6654301,1.1534636,0.88505685,1.0090257,0.67857736,1.448733,1.0715799,1.3876071,0.63229024,0.88430697,1.4120034,0.8428928,1.2213484,0.76529783,0.5624549,0.609452,1.316699,1.0308988,1.1681674,1.0741688,1.0109781,1.2400308,0.78301907,1.0196142,1.4019059,0.81445706
ball,0.96166104,1.0142317,0.50245357,1.3067098,0.0,0.5513549,0.6669248,0.91312635,1.3777373,1.2866578,0.799108,1.3337173,1.2510467,1.0008413,1.2691536,1.1874781,0.95673984,0.6818753,0.98761696,1.0992956,0.9100801,1.1337988,1.0610301,0.80559087,1.0819907,0.72642976,0.9484887,1.124684,1.1334232,1.1574297,0.5547447,1.2949873,1.1091094,1.1965785,1.1874932,0.9713964,1.2566005,1.1604776,0.71054834,1.1801822,0.78227204,1.0129185,0.9690943,0.7242144,1.2906363,0.9769645,1.2522671,1.0192959,0.64236045,1.1976036,0.8614965,1.0842265,1.0873356,0.81804407,0.64289963,1.0714067,0.85312027,0.6311314,1.0417613,0.8867432,0.86272085,0.8569767,1.1180284,0.73584783,1.2324619,0.61687475,1.1061299,1.2801956,0.9984594,1.2962673,0.8464807,1.1979647,0.68339986,1.1298903,1.034731,1.0182292,1.159606,1.0016184,1.0726335,1.039152,0.8624357,0.77004486,1.0476133,0.97514534,0.75190556,0.67763793,1.2449255,1.0925229,1.2952986,1.2933859,1.1574762,0.89928544,0.86367524,0.84644485,0.82093954,1.1493124,1.0439137,0.9477128,0.9728767,1.0009139,0.6493949,0.87733126,0.9756418,1.0303884,1.0021809,1.0963761,1.1549581,1.119887,1.100158,0.6956878,1.3095316,1.0599385,1.2193242,0.935961,1.1920682,1.2443427,1.2348984,0.9085358,0.92875695,0.575635,1.248499,1.097657,0.8191676,1.1416957,0.7024058,1.0918124,1.2001852,1.216832,0.8567827,1.0169548,0.9880438,1.0896205,1.1822784,0.5320193,1.10044,1.024075,0.81262887,1.2140703
balloon,1.0393159,0.93449664,0.5662122,1.269344,0.5513549,0.0,0.8820419,1.0425119,1.2058046,1.3283195,0.9779327,1.3469748,1.2949028,0.9838457,1.1864924,0.9820319,1.1082078,0.7799687,0.9044619,1.1144387,0.93337214,1.0891321,0.98563576,0.8458241,0.90627724,0.90880287,0.8519008,1.1178323,1.0809292,0.97373646,0.79055226,1.2557538,1.1492152,1.1980221,1.1132438,0.8251612,1.3238899,1.0145997,0.8096129,1.26485,0.7482978,0.8245274,1.083097,0.9971417,1.1933709,0.9749898,1.3527727,0.9636647,0.6919566,1.1956122,0.86850584,1.1631687,0.98069984,0.9311333,0.7740244,1.0156674,0.82585406,0.89380866,0.97216946,1.0244515,0.8135816,0.8222964,1.2077391,1.0379596,1.1336298,0.8317227,1.0116936,1.3226566,0.8566703,1.3641708,0.81311953,1.1979835,0.5507705,1.0709863,1.0025492,1.0131239,1.1162465,0.827844,1.2337581,0.9665611,0.83879423,0.8317209,0.7631483,0.91947514,0.68429196,0.6557937,1.2685415,1.0593059,1.3513111,1.3281198,1.1380591,0.82015127,0.8624237,0.8273638,0.94579357,1.0652043,1.1191294,0.94008654,0.8659514,1.0616592,0.697942,0.9205915,1.0601993,1.0612056,0.96060455,0.9978596,1.2106171,1.0931457,1.1860195,0.66229725,1.3393896,1.0313258,1.1710696,0.83026356,1.086985,0.9954347,1.1244723,0.89558876,1.1059417,0.80669963,1.0467727,1.1007826,0.75233555,1.0473832,0.51896083,1.2135355,1.2784197,1.2816077,0.633376,1.0041461,1.0910764,0.93321955,0.93158746,0.8030441,1.1694951,0.9851604,0.93426335,1.1313515
banana,0.76045835,0.93604374,0.6238427,1.3815408,0.6669248,0.8820419,0.0,0.8373865,1.4019936,1.4697031,0.6259881,1.4445853,1.4090803,1.1540993,1.3239764,0.89551115,1.1155503,0.5251126,0.8375521,1.2733989,0.5331905,1.0969439,1.0306071,0.71984875,0.9929465,0.7580098,0.52194124,1.3129857,1.1784326,1.0764666,0.8407455,1.4175146,1.2209424,1.2961215,1.1710438,0.83583236,1.4529561,1.026683,0.43496227,1.3305433,0.67131096,1.087401,1.1801482,0.92722446,1.3519369,0.7794217,1.4472065,0.94334817,0.38924617,1.1965661,0.98152316,1.1794616,0.9775805,0.64733315,0.6339461,0.84715617,0.5966185,0.70683056,1.157222,0.82892025,0.77191854,0.82053477,1.231881,0.50557613,1.3048487,0.6746286,1.2313774,1.3948512,0.9416997,1.4088686,0.5280626,1.3069569,0.6369934,1.1003015,0.87743694,1.1300983,1.2572689,0.9031107,1.3130944,1.0430998,0.7975179,0.7050079,0.8508394,0.904865,0.7190607,0.3686248,1.1633296,1.1343544,1.5200945,1.4002806,1.3438548,0.7813348,0.54850405,0.4950719,0.45984524,0.965274,0.84112513,1.0027227,0.77753085,0.6845174,0.52930856,0.89881516,0.9845647,1.0988247,0.9765358,1.1199884,1.0861375,1.1639826,1.1939237,0.8921756,1.4651978,1.0835259,1.3311821,0.6669728,1.2147876,1.1545713,1.3883336,0.6920061,1.0290272,0.5019713,1.1649005,1.215435,0.5693822,1.2169104,0.74804205,1.4002625,1.4284589,1.3826286,0.8973269,0.8745427,0.8609717,0.83097816,0.93954134,0.82583916,1.2168283,1.1498067,0.64671457,1.2949965
basket,0.8127705,0.9814928,1.05455,1.3014232,0.91312635,1.0425119,0.8373865,0.0,0.9332026,1.0806632,0.7346005,1.0707492,1.1821866,1.163649,0.9618884,1.037216,0.9094686,0.78927475,0.7190751,0.7624551,0.94577694,0.63105845,0.65392834,0.7643764,0.5155684,0.7465345,1.1050633,1.07399,0.7123882,1.1373734,0.7952968,0.91572005,1.1765987,0.90157163,0.8965831,1.0700647,1.180152,1.1446998,0.91037184,0.65985656,0.646374,0.92354614,1.0362859,0.917375,0.87559736,0.6044725,1.2244896,1.2852588,1.080717,1.149966,1.1469554,1.2491512,1.2949002,0.9499093,0.7851822,1.1608552,0.749045,0.96358746,1.0120455,1.1343433,0.91418487,1.2333168,1.2784362,0.9115962,1.2501762,1.0015118,0.9093568,1.1546493,0.83192,1.3083848,0.76032925,0.89413035,0.74619657,1.0824322,1.1739945,1.0565212,1.1400508,0.9563972,0.94141567,1.2141409,0.9601454,1.1745905,0.7299838,1.0708525,0.96051455,1.0359848,0.7897861,1.1356063,1.2634012,1.2593162,1.0865352,0.9965418,0.9098989,0.86843324,1.1801398,0.7960034,1.1268986,0.72612023,0.8322325,0.78414977,1.0932379,1.1393195,0.52723,0.685919,1.3213701,0.84485054,1.1693527,1.0613447,0.9786728,0.7933534,1.3593761,0.69210577,1.1352848,0.64692295,0.9909246,0.8851427,1.0217507,0.77610064,1.0305156,0.9817663,1.0095644,1.1069872,0.74124575,1.0872747,1.127249,0.829123,1.3041179,1.1272988,0.8026311,1.209594,1.1745971,1.0227165,0.7904675,0.8743283,0.9581682,0.67176366,1.039941,1.0607089
bathtub,1.0901644,1.0953271,1.3999863,0.6213698,1.3777373,1.2058046,1.4019936,0.9332026,0.0,0.4274239,1.3449726,0.3219025,0.59329313,0.99242264,0.48200458,0.8719935,0.93511724,1.4287486,0.9688653,0.65607154,1.4182854,0.734575,0.7487397,1.2962487,0.74825394,1.1258243,1.3146683,0.8116173,0.7033963,0.89329517,1.3568996,0.503119,0.87548774,0.70765084,0.8184057,1.2365545,0.56081975,1.031762,1.4556825,0.47112215,1.2778189,1.0002706,0.99136686,1.2915506,0.533207,0.89124405,0.6179412,1.3271949,1.49449,0.85918057,1.2660798,1.0353107,1.2104228,1.1951531,1.4316789,1.2336174,1.2815301,1.2711635,0.78799427,1.4319842,1.2094071,1.3109534,1.0130161,1.4931061,0.8844737,1.528234,0.6915102,0.5525196,1.030888,0.59827435,1.2493675,0.6330367,1.3556614,0.988309,0.83135235,0.8417003,0.7663322,1.0342238,0.79167414,1.1908561,1.324276,1.455445,1.0195801,1.3341725,1.3858027,1.4661558,0.5911316,0.87446606,0.50482935,0.6122752,0.67639637,1.2591909,1.3596891,1.3858994,1.3291045,0.85827994,1.2618289,1.1066614,1.0689447,1.1608425,1.44681,1.3906597,0.89646447,0.6962595,1.2327487,0.84317994,0.96628326,0.79883575,0.8895016,1.1692784,0.64279693,0.92119426,0.81441444,1.0962927,0.566867,0.4627146,0.3305291,1.3084903,1.0076116,1.453881,0.7496965,0.734154,1.2580037,0.7017906,1.374903,0.72555906,0.7139949,0.62933975,1.1468655,1.3423812,1.2727208,1.0918986,0.8278642,1.2399833,0.7001649,0.79831946,1.4723082,0.6908589
bed,0.99729896,1.1563528,1.3891296,0.49699426,1.2866578,1.3283195,1.4697031,1.0806632,0.4274239,0.0,1.4123788,0.26579392,0.36295748,0.76062965,0.18106997,1.0598413,0.80979943,1.471182,1.19889,0.6873085,1.4031267,0.94866544,1.0613475,1.4044532,1.1237066,1.2188362,1.4879451,0.7060996,0.89467573,0.9792323,1.2689363,0.43802297,0.78842443,0.64756626,0.8146937,1.2269208,0.13632137,1.012302,1.533276,0.55530196,1.4143885,1.04336,0.7568287,1.1725413,0.6904204,1.2098143,0.44011837,1.2777022,1.566374,0.93969107,1.2318525,0.78137296,1.2709731,1.2831074,1.4197669,1.3384862,1.4468671,1.2082677,0.8221308,1.3308601,1.2698367,1.3915449,0.80004543,1.4137608,0.922215,1.41106,0.85867167,0.37657094,1.172662,0.42479163,1.413562,0.52268994,1.4714756,0.9700806,0.9306561,0.882441,0.71450835,1.1048404,0.7840803,1.1484668,1.2861972,1.3626857,1.0926259,1.3656347,1.3726826,1.5492265,0.8350573,0.8017827,0.28752905,0.48402482,0.59142935,1.271173,1.4507487,1.4945136,1.448261,0.69113773,1.17951,1.1461167,1.2024833,1.1837416,1.4275076,1.3622371,0.8906362,0.95122606,1.1315953,0.96650726,0.9448113,0.81546575,0.8124421,1.2562336,0.4152429,1.0080173,0.7200464,1.3794806,0.69312537,0.8759103,0.41804397,1.4150296,0.9359776,1.409869,0.85265416,0.81695616,1.4884899,0.8491582,1.4723195,0.6196613,0.43247312,0.44501966,1.238156,1.3484721,1.2755904,1.2928452,0.8696903,1.1709039,0.6588196,1.0230259,1.4495469,0.6182094
