,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.360076,1.3156557,1.211679,0.7362018,1.2393508,1.2906969,0.8613427,0.91260684,0.85294914,0.70701456,1.3485727,0.82151496,0.50017685,0.6147472,0.58735836,1.1866884,0.9101837,1.5049481,1.4177022,0.9297363,0.73187447,1.2057011,1.3715782,1.1282233,1.2650819,1.0667305,1.3615633,0.7327179,1.1228664,1.1027586,1.4079287,0.9002141,0.8124414,1.2230954,0.7986435,0.77453136,0.5049228,1.4630356,0.7410461,1.466283,0.98524684,0.825981,0.6099777,0.73467666,1.0443989,1.1983726,0.6812675,1.3201458,1.2209473,0.661684,0.96987295,1.3371186,1.2699262,1.2892509,1.199082,1.2450318,1.0730612,0.8985201,0.8337897,1.3636672,0.8305151,1.0440437,0.9826486,0.689283,0.85044265,1.4908072,0.9450731,0.7877069,0.7227905,1.1278601,0.7680545,1.1818186,1.2241348,1.4374781,0.85310733,0.89400566,0.99743754,0.65406406,0.9582574,0.88846344,1.1248615,0.6290869,1.4905167,1.0633612,1.3832183,1.0793517,1.1519556,0.9758298,0.49130476,0.6133102,0.8697354,0.73652357,0.5553786,1.3200003,1.1409832,1.1059536,1.0508828,0.85641354,0.7684573,1.1466348,1.3756915,0.99338967,0.9987322,0.8954196,1.2914338,1.2737465,1.0596321,0.614901,1.0922636,0.6632576,0.6912595,1.0975865,0.7920781,1.2443571,0.97958726,1.3513209,0.9901964,1.2462451,0.75950426,1.3915344,1.1318626,1.3481547,0.88517916,1.2741262,1.248564,0.8414295,0.74210083,0.7179841,1.2503903,1.3955276,1.3565693,1.1198766,0.98414195,1.0693843,0.9535208,0.9528515,1.041259,1.271248,1.4404258,0.98227876,0.89152265
ankle,1.360076,0.0,0.7769717,0.8619136,1.2318064,0.93220437,0.8791762,1.0488132,1.1015546,1.3049392,1.3118961,0.53066945,1.2178453,1.3980039,1.1394796,1.3723959,0.9748933,1.1523402,0.6511381,0.6970847,1.2021992,1.1404433,0.77484137,0.8292716,0.70806897,0.9083956,1.0293908,0.5635142,1.1529858,0.91858953,1.0367445,0.70723885,1.2890542,1.2270048,0.69942135,1.1259252,1.2221382,1.2657397,0.57427305,1.2619253,0.6890248,1.034421,1.2796793,1.0663137,0.9583523,1.1903806,0.8194207,1.2434442,0.51063013,0.8768401,1.2720315,1.0883837,0.5584829,0.65934443,0.7594947,0.55719143,0.8376544,0.79926866,1.0670112,1.375088,0.5894803,1.0207369,1.0552557,1.0635551,1.2464918,1.1135908,0.51655537,1.0456448,1.3192073,1.2887172,1.0575119,1.2130783,0.9857665,0.8562044,0.717381,1.0896319,1.0146672,1.1605392,1.1657937,1.2739893,1.2335086,0.9232516,1.134387,0.5568016,0.8872997,0.4754243,0.8552182,1.0132345,1.1541617,1.2646248,1.2828565,1.0782275,1.3178536,1.228103,0.6304548,0.8101258,0.8384432,0.939835,0.9965218,1.1776633,0.8249097,0.7324561,1.018402,0.77042943,1.1878402,0.6326234,0.67027414,1.2469431,1.0405091,0.8124006,1.3254466,1.1698663,0.88442004,1.2871596,0.6538019,0.91157794,0.65437096,1.2109939,0.8428902,1.25507,0.47079587,0.96645457,0.69219565,1.0406555,0.87217975,0.61507815,1.2380481,1.2661389,1.3873432,0.88094234,0.40758103,0.6263473,0.91378194,1.0025539,0.90664274,1.1022601,1.2099588,1.1623796,0.7755649,0.67351305,1.2694554,1.1140625
apple,1.3156557,0.7769717,0.0,0.5727293,1.2399561,0.21279573,0.5390641,0.55107147,1.2529689,1.4918818,1.4529797,0.8652043,1.4222496,1.3105958,1.1065729,1.4337505,1.0042639,1.1167734,0.7320929,0.65480345,1.2637247,0.75490725,0.9902663,0.9724685,0.6637615,1.1729102,1.0928396,0.48670232,1.295618,1.2845671,0.7465869,0.76714504,1.5020515,1.2824126,0.82947135,1.1970791,1.4026341,1.2028439,0.6226722,1.4749669,0.68175626,0.9944685,1.0857779,1.0719687,0.9478946,1.3921694,1.1966408,1.3619033,0.7585045,0.29601473,1.2941474,1.0524629,0.601609,0.6900388,0.7239981,0.88528675,0.86013114,0.66744053,1.1800535,1.1527231,0.7636641,1.0205923,0.6957245,1.097733,0.98569345,0.94328755,0.7010108,1.0357057,1.4082464,1.3640076,0.92438805,1.3134155,1.0050808,1.1060629,0.8575391,0.8809983,0.49556845,1.1391016,1.078212,1.2352215,1.1821778,0.78112847,0.9237413,0.50443083,1.1585603,0.71643794,0.75971335,0.32249868,1.3684026,1.2912471,1.3577808,1.2997943,1.230272,1.1820916,0.7993848,0.95327955,0.59521693,0.9362217,1.1920862,1.2087123,0.7643621,0.7082528,0.9807199,0.7173089,1.2941473,0.9143462,0.41441572,1.433138,1.1703762,0.73979336,1.1371839,1.2573905,0.8315941,1.2875694,0.6174411,1.0948716,0.7838877,1.3480625,1.2028997,1.3285844,0.6494115,1.1505166,0.68726575,1.0656357,0.82207227,0.56759113,1.3973637,1.2932227,1.3779333,0.6160339,0.6219262,0.72230977,0.78886676,1.2285714,0.5792777,1.0879512,1.1239569,1.240425,1.1676345,0.6750477,1.3391004,1.1274495
applesauce,1.211679,0.8619136,0.5727293,0.0,0.96694565,0.80392826,0.89544,0.92826825,1.2108964,1.2728778,1.2244892,0.84382814,1.2343383,1.1127605,1.2790554,1.1956011,1.0586802,1.2349265,0.836697,0.9135159,1.2821369,0.69188654,1.0453,0.94412965,0.971995,1.1552651,1.210355,0.52488756,1.1001189,1.1707841,0.86232185,1.048773,1.1889229,1.1459787,0.99304646,1.1004213,1.1846712,0.9867196,0.8260602,1.2968576,0.8935093,1.1909809,0.97869533,1.0784348,1.0499719,1.1269348,1.0896479,1.1621147,0.67331976,0.7710583,1.1966786,0.93862754,0.51184106,0.8920631,0.99546486,0.7990471,0.87702215,1.0833379,1.1082038,1.1165923,0.7507494,0.93306625,0.8724452,0.9115522,0.94989324,0.8775631,0.8690225,1.1652975,1.2130202,1.1826851,0.92849547,1.0883718,0.99239385,1.1143498,0.9821085,1.0585649,0.98225355,1.0499429,0.9622317,1.2287112,1.0631442,0.6854293,0.8813127,0.68758994,1.0466778,0.69559664,0.56124985,0.80691737,1.1948886,1.213093,1.1035869,0.99450576,1.222435,1.1580436,0.92594004,1.0702434,0.50546825,1.1261731,1.0628984,0.9097108,1.0157975,0.97064817,1.1611726,0.78082883,1.1761307,0.999562,0.7388216,1.2075117,1.1359909,0.96252126,1.0533036,0.89846736,1.1268066,1.0975426,0.8459983,0.8042741,0.9118923,1.1265512,1.0890169,1.2149237,0.7630375,0.9689364,0.7839484,1.0036336,0.92212653,0.92016304,1.2581053,1.1450906,1.2405055,1.0147114,0.6155962,0.61994666,0.73306787,1.0800078,1.0542426,1.0956421,1.1260303,1.180611,1.0644082,0.7046342,1.1538727,1.1402153
arm,0.7362018,1.2318064,1.2399561,0.96694565,0.0,1.2939737,1.3554907,1.2082431,1.199569,0.7587646,0.48443168,1.3289136,0.7345558,0.5348245,1.1511799,0.55288905,1.0994757,1.0956402,1.4408245,1.5120313,1.0607597,0.83983773,1.3209167,1.3346916,1.302031,1.2199804,1.2292987,1.2652311,0.98327374,1.0876158,1.3197017,1.4682319,0.7097169,0.6659837,1.2703022,0.9128133,0.5365313,0.62542003,1.409626,0.8758793,1.4712421,1.2081296,1.0060855,1.1497258,1.0497371,0.83987415,1.2267997,0.47897267,1.1873484,1.289907,0.7302623,0.701678,0.82003176,1.486191,1.4436201,0.8822398,1.2638164,1.4356968,1.054769,0.8672504,1.1425041,0.75432575,1.0243148,0.6252816,0.65713453,0.42540354,1.3937161,1.1418431,0.77466416,0.56518936,1.1326455,0.46138495,1.1631397,1.3297834,1.4756393,0.98958015,1.0297012,0.9236701,0.5477016,0.8685425,0.9357484,0.9374837,0.7927696,1.2728567,1.1942297,1.2283919,0.7734275,1.147206,0.8392035,0.78296685,0.46558952,0.5422752,0.8100112,0.82442075,1.339308,1.2059858,0.79629695,1.2434613,1.0859034,0.7771423,1.4361476,1.5562594,1.2347267,1.1171237,1.0853622,1.4567611,1.194987,0.91243446,0.91654503,1.3088804,0.63610744,0.571439,1.3185849,0.4788893,1.2913878,0.5684598,1.4764905,0.7298489,1.1887125,0.65733665,1.2446758,1.0185626,1.4483911,0.7923441,1.3939098,1.3102529,0.88749504,0.5628838,0.6268382,1.3795539,0.92572784,1.1848327,0.8948093,1.089921,1.4212725,1.2102594,0.96207905,0.9449149,1.3290057,1.3418506,0.8895592,1.0197121
ball,1.2393508,0.93220437,0.21279573,0.80392826,1.2939737,0.0,0.24855793,0.63403964,1.0954658,1.2907617,1.3205287,1.0585268,1.3715811,1.2745483,0.890889,1.2970712,1.0142003,1.0421803,0.7721089,0.63497543,1.1718642,0.8749351,0.9240639,0.92875457,0.885978,1.0539064,0.94778466,0.7770734,1.2507026,1.2944797,0.7722396,0.6676909,1.396728,1.230045,0.9056788,1.2846603,1.3361983,1.2108232,0.74786377,1.3892734,0.6629832,0.92179257,1.0908215,1.0445994,0.9261022,1.3619674,1.2342261,1.3322622,1.0020577,0.20158446,1.2516538,1.053931,0.95212936,0.7854266,0.74601495,1.0541284,0.95686615,0.6862285,1.1280153,1.0793798,0.99279463,1.0431614,0.61490023,1.1567067,1.052756,1.1331753,0.8004226,0.9948456,1.2641747,1.2787747,0.8245501,1.2938218,1.013813,1.0822974,0.74881077,0.90699375,0.56835735,1.0968254,1.0885183,1.0732644,1.086317,0.9451781,0.9854582,0.6525614,1.1508919,0.9810978,0.99046266,0.31404948,1.3461477,1.1965477,1.2784114,1.3626587,1.1020979,1.081974,0.92022747,1.0956703,0.8665626,0.88860804,1.1241096,1.2900281,0.7895664,0.65896434,0.9180124,0.9058884,1.1626422,0.9430802,0.5161092,1.3421657,1.0812402,0.8710406,1.0946724,1.2760693,0.85857606,1.2587366,0.8093008,1.2841917,0.8216392,1.275636,1.184344,1.191792,0.82172143,1.123313,0.68870276,1.0090438,0.7770997,0.72443116,1.2570388,1.244318,1.2736262,0.46807718,0.88467586,0.97384495,0.9697088,1.168989,0.45219576,0.9791987,1.0211977,1.1918554,1.1444182,0.72464144,1.2413595,1.0343351
balloon,1.2906969,0.8791762,0.5390641,0.89544,1.3554907,0.24855793,0.0,0.9282598,0.9729785,1.1408122,1.4035677,0.86730933,1.3340852,1.4230168,0.85633016,1.3419199,0.9363668,1.0857034,0.60330033,0.4974612,1.1578794,1.0127966,0.63809747,0.74113744,1.0173378,0.7882616,0.88765377,0.80695564,1.127941,1.0345107,0.8076041,0.54992014,1.3269253,1.3152833,0.7609413,1.3157313,1.4298154,1.2799847,0.6668107,1.3745652,0.49469203,0.90256166,1.1456506,1.1334894,1.1083727,1.2839589,1.0211418,1.3609611,0.9001899,0.2549904,1.2626729,1.1871831,0.9614985,0.7429314,0.62447125,0.96783143,0.7920501,0.85225874,1.1385833,1.2030149,0.97576344,1.1213237,0.8670301,1.2668353,1.2170649,1.2918715,0.6751207,1.0168954,1.1916149,1.3947753,0.8320197,1.4013131,0.8010423,0.8212626,0.34653056,1.082305,0.85584116,1.1206791,1.2636802,1.0139014,1.1133374,1.0431468,1.1926892,0.6393256,0.84360904,0.84034246,1.1244332,0.47678256,1.2836916,1.2303886,1.3864505,1.4382982,1.1806396,1.1617811,0.78264666,1.0383191,1.0253171,0.8291807,0.9584483,1.3222934,0.69364774,0.49603188,0.8735035,1.053054,1.1018243,0.829708,0.63041747,1.1586523,1.1203357,0.97248256,1.1403248,1.3330138,0.81534624,1.3749516,0.8680372,1.3569845,0.58234125,1.3084418,0.92270815,1.1970956,0.7533452,0.95199084,0.5034649,1.093956,0.57187474,0.80427265,1.1960902,1.3891922,1.3606827,0.54687285,0.85868096,0.9449462,1.0360663,0.87691075,0.69995356,0.99240947,0.9972021,1.1107719,0.824772,0.6172206,1.128634,1.0726472
banana,0.8613427,1.0488132,0.55107147,0.92826825,1.2082431,0.63403964,0.9282598,0.0,1.073221,1.2545323,1.2902875,1.0663736,1.204835,1.1099977,0.9906831,1.2063394,1.0978498,0.9534199,0.9002688,0.8148314,1.065317,0.8097206,0.91476053,1.0074936,0.7687776,1.1382854,0.9638121,0.9007774,1.120004,1.1465667,0.63913894,0.9039354,1.384707,1.1577518,1.0159403,0.9073057,1.2977887,1.0719975,0.83624756,1.1757493,0.84881645,1.0157276,0.87477535,0.8982448,0.8339872,1.3031867,1.1187932,1.2191222,1.0300446,0.71061164,1.1462011,1.0553832,1.064574,0.77453685,0.88735384,1.0137507,0.85469174,0.5902086,1.0307229,0.9870616,1.0737113,0.93520606,0.702871,1.1646342,0.86369956,1.031295,0.9999584,1.0313914,1.2060578,1.2219442,0.94684935,1.1766696,0.88672704,1.0447773,1.0447006,0.8529184,0.5213882,1.1109085,0.939709,1.0818614,0.9645922,1.0112251,1.066248,1.0081173,0.9529465,1.0110977,1.0386817,0.73921275,1.1848685,1.1770967,1.2191279,1.1966105,1.1002014,1.0494963,0.89752644,0.9473805,0.90917075,1.0436561,1.0272688,1.0633159,0.7926657,0.81017077,1.0014905,0.80238754,1.0474745,1.0116066,0.9284132,1.2854583,1.0638226,0.7664951,1.0312588,1.1882313,0.7468666,1.2218122,0.72516406,1.182884,0.7919714,1.2650121,1.1028055,1.0975503,0.88028485,1.122972,0.8350937,0.9570904,0.8174014,0.84280026,1.2426715,1.1596977,1.1594923,0.73636925,1.0371705,0.9677245,0.8177238,1.0215868,0.47896492,0.757944,1.0976261,1.1511223,1.0769558,0.8870182,1.2689399,1.0713855
basket,0.91260684,1.1015546,1.2529689,1.2108964,1.199569,1.0954658,0.9729785,1.073221,0.0,0.92961764,0.9809897,1.1183331,1.0148618,0.9553516,0.8337326,0.9027191,1.0589836,0.8362441,0.9826925,0.8650586,0.6713355,1.0970528,0.847355,0.725762,1.0740451,0.7259586,0.84538895,1.2272062,1.1084479,0.7925222,0.9169233,0.9843813,0.9300524,1.1274047,1.0047479,1.0823637,0.9887896,0.96917653,1.0786334,0.55637884,0.895695,0.9887646,0.923956,0.92689514,0.74808735,0.9949667,0.90740836,1.0747813,1.1723576,1.0559292,1.0846455,1.1967458,1.3006027,1.0626363,0.88132447,1.0798309,1.0640166,0.9959596,0.94994193,0.9915044,1.2216822,0.8721069,0.98638844,1.2473181,1.0351435,1.203248,1.0781653,0.93024254,0.8605685,1.0572399,0.7776769,1.1524065,0.9483332,0.7712301,0.9572498,1.0993116,1.1395978,0.85619915,0.9593028,1.0409888,0.8905395,1.268081,1.0375699,1.1831629,0.77632004,1.1637297,1.2918985,1.1191093,0.9502035,1.0778618,0.9017082,1.1870646,0.99423903,1.0562221,1.0473531,1.0226296,1.253819,0.8817391,0.69292665,1.0259883,0.87431425,0.8560395,0.89582187,0.99805623,0.58368886,0.8333523,1.0751032,0.91468275,1.1063432,1.097302,0.9779004,1.1122473,0.89331865,1.1998541,1.0862468,1.2653805,0.9267199,1.058598,0.932981,1.0908828,1.0611154,1.1777534,0.97588855,0.8405123,0.88351965,1.0662869,0.58896637,1.1066384,0.948917,0.8085693,1.1950337,1.1896603,1.16225,0.75661266,0.84499115,0.6329382,0.9417672,1.0163192,0.70694196,0.919959,1.0256505,1.0442892
bathtub,0.85294914,1.3049392,1.4918818,1.2728778,0.7587646,1.2907617,1.1408122,1.2545323,0.92961764,0.0,0.53334236,1.2749954,0.47069186,0.78203404,1.0630609,0.64189774,0.89296293,0.9940814,1.2930769,1.1972592,0.6415274,1.1846514,1.048826,0.7591197,1.3958669,0.5319766,0.75936913,1.478057,0.7825796,0.71867996,1.2305008,1.2413492,0.4392531,0.8405462,1.1033411,0.9979551,0.6793178,0.9852226,1.3990499,0.44564784,1.2133751,1.1123252,0.8793844,1.2329866,1.2220113,0.54000163,0.60720253,0.7858842,1.3645705,1.2475721,0.8252091,1.0198259,1.351216,1.3977493,1.3405082,1.1759399,1.2110184,1.3792096,1.0888429,0.7653885,1.3519361,1.1632957,1.0960613,1.016621,1.0850118,1.0233053,1.4330008,1.0989112,0.54272425,0.755925,1.0655024,0.7368401,0.970387,1.0114846,1.0610306,0.9895184,1.1766225,0.93450457,1.0380965,0.6087414,0.8733705,1.183718,1.0450587,1.4243588,0.9706759,1.4339716,1.2582465,1.204299,0.4752245,0.771986,0.71590436,0.8604022,0.76736146,0.85874116,1.3157234,1.1188599,1.2241019,1.2070318,0.937991,0.9780729,1.2747166,1.2400289,1.1413227,1.341402,0.8411828,1.0814074,1.4208143,0.32337976,0.9004516,1.307373,0.9588407,0.96386033,1.2595533,0.7952499,1.3925418,0.9995901,1.2548442,0.564922,0.62733924,0.44407433,1.4257295,0.7460431,1.2378055,1.0726154,1.1487894,1.4005361,0.64796096,0.8356283,0.5590086,1.1865783,1.410039,1.3037238,1.1879436,0.86478794,1.2300235,0.7711868,0.90238804,0.657385,0.9116031,1.4571445,0.6251267,1.015394
