,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,raisin,refrigerator,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.1558957,0.8930002,0.90355265,0.97670186,1.1026027,0.81264114,1.2580976,0.7436682,0.7214488,1.1115808,0.77914095,0.6153934,1.1803949,0.6028202,1.0019798,0.91910267,1.3345785,1.1993648,0.8495969,0.8523709,1.30037,1.1300473,1.2622344,1.0461715,0.8363979,0.57778317,1.1120002,1.2524927,1.0913136,1.1963676,0.96299803,0.6827844,0.8775976,1.300961,0.76104045,1.4433092,1.1639073,0.7591916,0.8341585,0.88821304,0.95151913,1.2760135,0.97538114,1.1549311,1.2472584,1.1292983,1.2555223,1.2583171,0.7939249,0.9941112,1.194519,0.7959297,0.96544003,0.8552097,0.8430661,1.138587,0.9751927,0.7529208,0.8352798,0.707253,1.3497052,1.1000818,1.2639167,0.85287875,0.67700106,0.6692881,1.3031378,1.1970884,1.2958727,1.1078836,1.0637631,0.9258067,1.1195607,0.6791184,0.75286365,0.76803094,1.2492778,1.2313989,0.9877713,1.0346956,0.9888174,1.0968269,0.9195447,1.1442647,1.0833468,1.0394559,0.9534285,1.1335492,0.8520906,0.8820878,1.0163332,1.3101099,1.1000516,0.79814744,1.3762372,0.9909667,0.8628521,1.4168993,1.1247058,0.84801376,0.9006791,0.7369485,1.3152763,1.2794281,1.0596437,1.1327314,1.2006906,1.0935348,0.80720353,1.2916247,1.2081536,1.3123566,0.8355027
apple,1.1558957,0.0,0.69502264,1.1424586,0.34896553,0.56534135,0.9023079,0.971578,1.2726148,1.3126707,0.96130055,1.2721314,1.2515306,0.9263594,1.3568871,1.2129984,1.2135599,0.8176943,0.9670232,1.2354134,0.8085284,1.0135676,1.04216,1.1706052,1.2135444,0.8840885,1.1853116,1.365311,0.8245948,1.1328733,0.9544153,0.94004196,1.2751431,0.7581953,0.836664,1.3553538,0.8130139,1.0494335,1.126856,1.0867065,1.1926631,1.3288021,0.5359057,1.1560235,0.62972736,0.9719566,0.91700256,0.92453206,0.88487595,0.8377822,1.0923177,0.77543336,1.0795739,0.68980557,0.9549003,0.9886922,0.84692454,1.3038617,1.0849293,1.1343397,1.1191354,0.9901164,1.1839833,0.90642047,1.2455797,1.0668162,0.94664335,0.5643232,1.1259873,0.6948645,0.2283876,0.36412978,1.2748218,1.0576841,1.2152755,1.1228293,1.3163736,0.92240953,0.84004277,0.9762651,1.1861056,1.0347997,1.0580473,0.7106556,1.2164022,1.1160333,0.21652067,1.1762012,1.178985,1.110731,1.1581804,1.0018715,1.0212575,1.2012365,1.2891233,0.52678823,1.040743,1.0322616,0.87236655,0.68673134,1.2097455,1.0323919,1.2647954,0.8511524,0.58357334,0.7464488,0.911591,1.123585,0.7633561,1.2048807,1.1531454,1.1811392,0.6766799,1.1778407
applesauce,0.8930002,0.69502264,0.0,0.9856235,0.8756192,0.9990154,0.75860333,1.3309484,0.879316,0.9579985,1.1778717,0.8630526,0.80009604,1.2832036,0.97452575,1.1532787,1.1905007,1.3000125,1.1533833,1.0827417,0.75919485,1.3186951,1.2267653,1.2782708,1.196315,0.74213743,0.86222184,1.1703298,1.3288879,1.1837019,1.1319702,0.699278,0.85733795,0.5420487,1.2480941,1.042529,1.2721221,1.143005,1.1342952,0.90405047,0.9245918,1.0127596,1.1346473,0.9716853,0.7811878,1.2871807,1.2769139,0.9516826,1.269533,1.2315729,1.0132772,0.9029188,0.9212376,0.8251245,0.48901176,0.60308075,0.72647953,1.1590158,0.7306267,0.88507813,0.6755844,1.2661431,1.1746205,1.2233757,1.108804,0.78703463,0.71344566,1.1391929,1.3337802,0.9531039,0.7542156,0.9425012,1.0498822,1.2026587,0.78461105,0.6835661,1.0309247,1.1767824,1.171014,0.81700504,1.234385,1.2022909,1.1990229,0.92533344,1.2854586,1.0784922,0.4795367,1.0010545,1.2080708,0.8310876,1.0587744,0.76004654,1.2130299,1.1544771,0.96684265,1.1898785,1.0205489,0.882188,1.2930459,1.0046341,0.88330466,0.6853671,0.9217097,1.2130064,0.891137,0.8494655,0.9540708,1.343971,1.2920842,1.0377263,1.1377392,1.1900568,1.1077354,1.0398172
arm,0.90355265,1.1424586,0.9856235,0.0,1.1403857,1.0331424,0.7808687,1.3031267,0.79933184,0.8910686,1.238529,0.95218384,0.75269055,0.9249266,0.9081888,1.0257221,1.0924482,1.2153506,1.0897945,1.1417363,1.0011371,1.1484194,1.1497241,1.1027389,1.0492085,1.0540218,0.9043833,0.9738848,1.2354031,0.8748467,1.2007382,0.75027776,0.9161787,1.0224217,1.2097838,0.98897296,1.199786,1.0402404,0.9008362,0.8165318,0.94209814,1.0437402,1.1682754,0.8859834,0.75569296,1.2451245,1.0885184,0.78274345,1.2390685,1.1242173,0.94110906,1.027978,0.77562726,1.0662602,0.8507035,0.64447963,1.1610352,0.86710984,0.9416486,0.90044665,0.88232106,1.1729225,1.0947441,1.0864255,1.0289854,0.8023235,0.9807372,1.1923518,1.0678355,0.953394,1.1268326,1.2239134,0.98841226,1.0830432,0.69760513,0.84494925,0.9847422,1.2120322,1.1908567,1.0053735,1.0944058,1.0241481,1.1032261,1.0464435,1.1774895,1.1599281,1.1252519,1.0192271,1.1201451,0.8670267,0.8467594,0.6604366,1.1120718,0.949381,0.8679377,1.2543149,0.86591244,0.99778676,1.2033423,1.1312704,0.9952219,0.9043925,0.9813528,1.3058245,0.93294996,1.136045,0.7167929,1.0819341,1.2339646,1.1001874,1.0339626,1.1146978,1.2185699,0.86524713
ball,0.97670186,0.34896553,0.8756192,1.1403857,0.0,0.28338122,1.0101488,0.96933293,1.207131,1.2198024,0.9927141,1.1814554,1.1331384,0.9669492,1.2127905,1.1018901,0.9883643,0.9338529,0.913344,0.9717163,0.9135144,0.9767243,1.0404346,1.135408,1.0437553,0.9995051,1.1039113,1.2533022,0.7515774,1.1244284,1.1021948,1.1090944,1.1733241,1.0761461,1.0076287,1.0960271,0.9155275,1.0474516,0.96570975,0.8855778,1.2057216,1.2598251,0.6780524,1.1714122,0.8669662,1.0671138,0.8680855,1.0996236,1.0824981,0.6023534,0.9301107,0.90637445,0.9269019,0.57459074,1.0331303,1.0269755,0.9136111,1.2868662,1.1580498,1.1142833,1.127793,1.0880823,1.242167,0.9347851,1.037391,0.8934764,0.8241589,0.7660822,1.1694429,0.9159897,0.48197764,0.45972323,1.1871103,0.9875985,1.1600962,1.1855726,1.1396676,1.0661534,1.01935,0.9790372,1.1150215,0.9152406,1.0380714,0.81366134,1.0560577,1.0464768,0.56803477,1.1092714,1.082711,1.1266506,1.1090646,1.0848128,0.9999175,1.2569075,1.1545384,0.7209611,1.0067056,1.0282145,1.0109754,0.8413469,1.1396706,1.1568515,1.111097,0.8490571,0.8762046,0.94500655,0.9223809,1.1447365,0.45230675,1.0183437,1.168308,1.2039837,0.9025266,1.1064314
balloon,1.1026027,0.56534135,0.9990154,1.0331424,0.28338122,0.0,1.1285568,0.92930454,1.2675862,1.3011085,0.96581924,1.3116603,1.1278915,0.9174131,1.2148893,1.1083124,1.0210487,0.8606949,0.9588074,1.1459028,1.0086476,0.8329555,0.97290576,0.9722942,1.1080873,1.1418496,1.1116972,0.96666837,0.61455446,0.9152445,0.92403466,1.0911964,1.2894781,1.1440959,0.9504893,1.1622572,0.8477886,1.0550556,0.98972154,0.9623599,1.1752082,1.3000008,0.53630066,1.1828992,0.8729186,0.9578388,0.819651,0.9327001,1.0227002,0.7763018,0.95281935,0.936514,0.8922764,0.74068964,1.1007636,1.1307521,0.88434064,1.2031747,1.1748304,1.1851141,1.2797418,0.9554723,1.0821311,0.66327786,1.0942495,0.9185618,0.9543965,0.78116435,0.8453572,0.7600721,0.6908676,0.6543612,1.2703832,0.9136466,1.1777614,1.2022042,1.1781962,1.0123565,1.0251019,1.0578845,0.9513804,0.8861851,1.0971432,0.89835274,0.97149265,1.0906037,0.78342897,1.0859576,1.0885303,1.2201247,1.073934,1.020137,0.9058478,1.0661321,1.1909922,0.7438581,0.86707616,1.1475455,0.85366446,0.9128435,1.079348,1.1215653,1.2621813,0.8575879,0.83216393,0.86865693,0.93930566,0.8502611,0.67037714,1.197945,0.9601136,1.0278124,0.8958963,1.108157
banana,0.81264114,0.9023079,0.75860333,0.7808687,1.0101488,1.1285568,0.0,1.1986377,0.86949575,0.99640375,1.1861179,0.93172854,0.6482936,1.0931202,0.9870026,1.1163168,1.0646541,1.192465,1.0560976,0.98688334,0.6294727,1.14362,1.2315913,1.1584599,1.1835922,0.6788129,0.89469343,1.2160759,1.3083525,0.94687694,1.1681553,0.6126444,1.0354483,0.6650977,0.95237964,0.97150123,1.1247065,1.1537662,0.98975074,0.8133827,1.0731171,1.0876765,1.1087313,1.0701813,0.8501047,1.2758931,1.1897292,0.97626865,1.1351546,0.8415592,1.0767754,1.1005673,0.70081836,0.90480214,0.96377736,0.67831725,1.1652803,1.1614022,0.7424134,1.0408814,0.9324972,1.1102042,1.1555023,1.2990893,0.69207513,0.7216648,0.9038914,1.1875818,1.1540382,1.1115458,1.0315354,0.84649706,1.0566376,1.2648293,0.7831217,0.82431793,0.95714,0.99940026,0.94274735,0.5393106,1.1377507,1.1301126,1.1604106,0.73157394,1.2328197,1.1919087,0.9285538,1.0924718,0.8896516,0.9886834,0.9111104,0.9285815,1.0549713,1.000918,0.9209665,1.2091187,0.96443796,0.9226408,1.2215602,1.0903305,0.93347037,0.9891265,0.93443,1.0647914,1.0253404,1.0546079,0.65413,1.1798747,0.96922773,0.9629539,1.2539399,1.2185857,1.1711214,1.0868006
basket,1.2580976,0.971578,1.3309484,1.3031267,0.96933293,0.92930454,1.1986377,0.0,1.395291,1.3614829,0.7633829,1.3786645,1.3494289,0.7743356,1.3858802,1.1102896,0.88945156,0.49843943,0.9130853,1.0306432,1.1382301,0.5248907,0.86557543,0.71928084,1.1515527,0.9524404,1.3751549,0.78838515,0.65923333,1.1233886,0.7635908,1.1664326,1.3109972,1.0254773,0.53306365,1.0081482,0.59592295,1.0367718,0.89334404,0.7939253,1.1450849,1.122997,0.68263793,1.3608575,0.9976593,0.7354303,0.697101,0.8329408,0.6122421,0.91914785,1.1486815,0.81740594,1.0313747,0.8759153,1.3975422,1.3819726,0.88120586,1.17055,1.1750956,1.4549837,1.3730035,0.6828793,0.68487275,0.7171602,0.97592306,1.2702272,1.2269077,0.6257469,0.7113077,0.75868136,1.0680656,0.7705431,1.3323792,0.88285285,1.4828389,1.3097962,1.2537589,0.56676346,0.61613405,0.87094027,0.6774242,0.9443595,0.92777157,1.0856977,0.7477592,0.878034,1.1302481,1.00316,0.84744954,1.5239844,0.89118683,1.1069267,0.6962574,1.0588523,1.3447367,0.5172951,0.98207986,1.2553581,0.56148845,0.69806707,1.0330358,1.2147065,1.3421328,0.54147345,0.7617954,0.7771815,1.0644147,0.7566604,0.58563536,1.1887125,0.70103514,0.60525423,0.5944971,1.2618349
bathtub,0.7436682,1.2726148,0.879316,0.79933184,1.207131,1.2675862,0.86949575,1.395291,0.0,0.38323855,1.2264264,0.48823786,0.54769546,1.3567945,0.4712658,0.97126216,1.0997192,1.4100535,1.0791106,0.74693656,0.94904685,1.2341034,1.2945111,1.0867239,0.8508085,1.0121416,0.62923515,0.90765965,1.305123,1.1168606,1.2865467,0.88074243,0.4304881,1.0626824,1.5021114,0.50409275,1.3218086,0.9947298,0.9806598,0.8865484,0.6486038,0.7311846,1.2902023,0.73684037,1.2359715,1.4516468,1.3928535,1.2675276,1.4181901,1.2891128,0.85658306,1.2616405,0.9736725,1.2165709,0.7920586,0.77799255,1.2387367,0.78024685,0.8644749,0.6661499,0.49393517,1.4607534,1.1978077,1.3242819,0.8572602,0.8249017,0.9022721,1.3650076,1.2660794,1.3910494,1.2196186,1.2537013,0.7177791,1.2269367,0.50902075,0.6366267,0.7915988,1.4757309,1.4177766,1.083055,1.1755061,1.2626263,1.0003229,0.9970769,1.098722,1.0687412,1.1637169,0.79871786,1.1747103,0.617577,1.0183479,0.9565592,1.3180983,0.52839905,0.264956,1.4957559,1.0504819,0.84260774,1.4280927,1.3876276,0.91683525,0.90161085,0.4233222,1.4007864,1.3431245,1.2622437,1.0029823,1.292534,1.3078848,0.7092887,1.2036138,1.2426819,1.4310257,0.68512404
bed,0.7214488,1.3126707,0.9579985,0.8910686,1.2198024,1.3011085,0.99640375,1.3614829,0.38323855,0.0,1.179875,0.4515518,0.52973646,1.262641,0.16305381,0.9534348,1.0180593,1.3769579,1.1697669,0.7730967,0.99115926,1.426393,1.1196787,1.2243853,0.84857714,1.0192996,0.67338574,0.9204425,1.4164425,1.1324433,1.2977302,1.0682199,0.16048706,1.1328757,1.4222298,0.6341561,1.3812993,1.061223,0.94312274,1.0163153,0.7583077,0.77845204,1.3750181,0.6700938,1.2737435,1.3086793,1.3164551,1.2563279,1.3892295,1.1844507,0.9536996,1.2068969,0.9424063,1.3033795,0.8375237,0.8670168,1.0618216,0.7486486,0.93837416,0.55223227,0.49400097,1.4262123,1.2364489,1.3058236,0.9598997,0.78295904,0.94976914,1.3094621,1.1488382,1.3799368,1.183909,1.1645751,0.6861754,1.0556543,0.47606963,0.53300273,0.70791036,1.3752522,1.3476901,1.1945989,0.867453,1.1878859,1.0968039,1.0417296,1.1046733,0.9741382,1.2179948,0.9900725,1.1812675,0.5142831,0.8519819,1.0989258,1.3831506,0.8605997,0.43040586,1.4537303,1.0445756,0.9222912,1.4149091,1.3388984,1.0519295,0.8492652,0.48652518,1.3351779,1.373024,1.2645687,1.1726159,1.164593,1.272799,0.76095414,1.1988449,1.3134706,1.376072,0.7325947
