,alligator,ankle,apple,arm,ball,balloon,banana,basket,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,mitten,nail,napkin,necklace,nose,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,sink,slide,slipper,sock,spoon,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.2900977,1.143538,0.62342644,1.2968097,1.2524637,1.3102239,1.3157682,0.5371918,1.4398987,0.77348125,0.55999875,0.81118584,0.5038072,0.8619386,1.4618413,1.4478998,0.9558734,0.7155512,1.0918123,1.3425276,1.1673757,1.3443993,1.2542853,0.9630867,1.0579829,1.1875973,1.3350517,0.84160477,0.6660638,0.9219724,0.5969704,1.2611213,1.4817363,0.7642918,1.399256,0.8526094,0.63412666,0.84066606,1.1343316,0.7489749,1.2055607,1.1774259,1.292274,1.3036344,1.165522,1.2055211,1.1971289,0.93131614,1.3313102,0.8681404,0.9702715,0.8319293,0.7659228,1.3479532,0.80910236,0.74786663,1.0185381,0.72571754,0.86255115,1.11655,1.3928876,0.7746406,1.4016416,0.67709756,1.2407637,1.1961329,1.0730027,1.0869013,0.5885702,0.6296104,0.688048,1.3227146,1.3138486,0.8818421,1.3716209,1.2220817,1.0912726,1.292226,1.012115,1.2053609,0.84520096,0.7701789,1.410995,0.71298677,0.79926276,0.70262563,0.88070124,0.7191408,1.4087785,0.98369616,1.2524915,0.80199474,0.60933477,0.58330745,1.3512146,1.2935263,0.82643694,0.88196146,1.2483557,0.75654817,0.9383201,0.9324567,1.3951638,0.7093074
ankle,1.2900977,0.0,0.8841504,1.0728333,0.721263,0.9417434,1.0308733,0.97649354,1.2312884,0.8827511,1.2396984,1.2367064,1.1772356,1.2837989,1.2268312,0.79257166,0.79190266,1.1896712,1.0573758,1.0017978,0.93694204,0.98052454,0.83544785,1.0171355,1.215373,1.1465887,1.0202599,0.71368074,1.1676916,1.1933475,1.2244172,1.193122,0.81637996,0.7752746,1.281708,1.016685,0.98029363,0.8518826,1.2910628,0.9319961,1.0779076,0.83315396,0.49219298,1.0009869,0.93952703,0.50150084,1.0285223,0.9569582,1.0425997,0.68344295,0.839467,1.0346085,0.99777216,0.8908414,0.5982487,1.2990103,1.119562,1.2356272,1.1438015,1.1147344,1.0375932,0.8313615,0.8310083,0.6172363,1.1904161,0.6670761,0.82888484,1.0418487,0.96112454,1.1862473,1.1401073,1.3158028,0.7581326,0.8984519,1.0190986,0.93849444,0.94142747,1.0707097,0.99082386,1.1718627,0.93383324,1.2355709,1.2086929,0.73560196,1.2410923,1.0387001,1.0330826,1.1176742,1.2433417,0.4739148,0.70984507,0.8131676,1.0651845,1.2895238,1.3587548,0.8948822,0.16213626,1.0649195,1.0503491,0.90862656,1.2576889,1.241349,1.1763561,0.75652224,1.2833233
apple,1.143538,0.8841504,0.0,1.1960882,0.1844188,0.6579153,0.85061336,0.9357499,1.1614422,0.99324495,1.1955183,1.1485281,1.1015487,1.1962098,0.9846171,0.7146435,0.68860334,1.0240314,1.2148226,1.2718722,0.9717896,0.90287244,1.1350234,0.92393553,0.9922183,1.1480312,1.1101967,1.0285164,1.1592605,1.3009808,1.0838475,1.1513942,0.8350024,0.88376087,1.1876574,0.93479824,0.91551363,0.9004953,1.1934793,1.0537553,1.1400964,1.0558037,0.96525925,0.964408,0.77165544,0.92287683,0.9220832,0.805257,0.8673661,0.85862017,1.0351932,0.8342159,0.99838614,1.0028293,0.7616878,1.3229249,1.1132334,1.1729208,1.2109993,1.2382942,1.1877364,0.9200128,0.8298761,0.746706,1.1924976,0.9680137,0.7791931,1.2433296,0.7526189,1.2456676,1.2324831,1.0419676,0.99697113,1.0208287,1.045265,0.92225176,0.9842876,1.0253894,0.8362185,1.0546223,1.0209451,1.0914944,1.0770319,0.8111481,1.2344081,1.0590684,1.1560864,1.2029008,0.98363906,0.7204214,0.9188883,0.9179256,1.1127727,1.1911639,1.1708395,0.7116504,0.7639227,0.9185909,1.0489708,0.56307685,1.0930107,1.1977308,1.2582855,0.93148685,1.2200027
arm,0.62342644,1.0728333,1.1960882,0.0,1.3065853,1.3328497,1.3345461,1.2493684,0.5923105,1.2435744,0.8938258,0.5126392,0.91912305,0.61786306,1.0108428,1.3940797,1.4452733,1.067087,0.78994876,1.0715407,1.2897063,1.2759485,1.2411802,1.3761642,0.95570594,0.7663106,1.1869221,1.1065694,0.87690574,0.7378091,0.85361326,0.6301129,1.2550229,1.4587116,0.82355833,1.3450551,0.85971034,0.65227926,0.9007813,1.273324,0.88174564,1.0109149,0.84194636,1.3731762,1.2795362,0.97377867,1.252041,1.3014555,1.0396929,1.145413,0.9195181,1.078863,0.8125923,0.43261462,1.2628901,0.79006314,0.8652185,0.8507657,0.64256096,0.8789959,1.1554956,1.4022547,0.80269504,1.359201,0.74443626,0.9424378,1.346614,1.0270989,1.1504481,0.5429207,0.534105,0.6404921,1.14878,1.3383976,0.89447826,1.3312197,1.3328756,1.1126823,1.3282261,0.9759157,1.3250479,0.9010059,0.91250455,1.3804724,0.5242699,0.9153584,0.6135807,1.0658879,0.7033528,1.4351038,0.9037787,1.316535,0.8617439,0.6293922,0.71182156,1.3689406,1.1303824,0.79362303,0.9733913,1.3520392,0.8130635,0.9160203,0.92654574,1.3657696,0.9194956
ball,1.2968097,0.721263,0.1844188,1.3065853,0.0,0.5146818,0.7864352,0.87293637,1.272124,0.8526184,1.3248855,1.2376463,1.1702523,1.2871815,1.0579517,0.5663349,0.39863366,1.1197177,1.274983,1.2744685,0.8696602,0.859787,1.119474,0.86319065,1.095134,1.1989335,1.1371788,0.898759,1.2549503,1.3991935,1.1798611,1.2687767,0.635744,0.61103815,1.3323002,0.76556826,0.9958503,0.9411629,1.3720901,1.043834,1.1740541,1.0083829,0.8430211,0.8672473,0.6785289,0.76773864,0.83369124,0.79759645,0.9669065,0.7995797,1.0142834,0.69202805,1.1396203,0.9834457,0.6943917,1.387305,1.1485606,1.2764676,1.3301263,1.2843769,1.2251271,0.78394544,0.861742,0.51832235,1.2617095,0.8916509,0.6699671,1.26682,0.8096287,1.3610506,1.3678529,1.1840901,0.7469521,0.83269507,1.037769,0.7447172,0.92715985,0.95821977,0.8414702,1.1543214,0.957921,1.2686863,1.2508893,0.611005,1.3906457,1.1343011,1.2752844,1.2484897,1.051981,0.4470451,0.8296389,0.7744137,1.251797,1.3532549,1.3646258,0.45456874,0.52503,0.8926208,1.095859,0.4747321,1.2307837,1.2734826,1.3460414,0.72088027,1.3141031
balloon,1.2524637,0.9417434,0.6579153,1.3328497,0.5146818,0.0,0.8474968,0.69552225,1.2685192,0.84092605,1.219803,1.2338269,1.2069046,1.2372875,0.98253906,0.6822334,0.5411323,1.0123155,1.1991128,1.1381149,0.7253233,0.6750915,0.91452205,0.8526097,1.2543619,1.1139402,0.8527931,1.0272286,1.0831,1.333794,1.1106248,1.3025374,0.7194778,0.7693536,1.1318185,0.70241314,1.0624216,1.104211,1.18122,0.85830307,1.1418028,1.0188432,1.1079164,0.8028283,0.7965332,0.93284315,0.7165932,0.9032052,1.1156234,1.0250591,1.0806892,0.7472435,1.2455361,1.1544546,0.75325006,1.1663024,1.18529,1.0961729,1.3504122,1.2012714,1.0726246,0.56354433,1.0211334,0.7971195,1.105295,1.0152674,0.6977651,1.200395,0.74474967,1.3514446,1.3933699,1.1819419,0.8914013,0.8999265,1.1031072,0.79233813,0.80653334,0.7116871,0.9736116,0.91017336,0.8729397,1.0969087,1.2697823,0.6791758,1.3795959,1.0813842,1.3367462,1.0316004,1.0991899,0.6070841,0.9992891,0.8993519,1.1160295,1.3826644,1.2732158,0.50295967,0.82094777,1.070381,0.9248554,0.66111714,1.20008,1.0342861,1.0470754,0.882159,1.0989668
banana,1.3102239,1.0308733,0.85061336,1.3345461,0.7864352,0.8474968,0.0,0.749524,1.4207034,0.73441744,1.1475945,1.3602499,1.0558908,1.3593833,1.0034014,0.7188091,0.75937593,1.0233908,1.1604844,0.9416639,0.69385755,0.8830258,0.93374777,0.7244974,0.86331975,1.0468582,1.0517758,0.9603307,1.1516842,1.2200658,1.007415,1.3928788,0.67427224,0.59157026,1.1839963,0.83822715,1.1330515,1.3065879,1.1928408,0.9540803,1.1889617,0.99276537,0.9831269,0.4950621,0.8054569,1.0878372,0.718369,0.6545712,0.8651353,0.96121746,1.1660048,0.7566939,1.2470189,1.2044379,0.9258642,1.0550003,1.2079228,1.021451,1.3092463,1.1325347,0.96195614,0.8693267,1.2535657,0.8456078,1.2392265,0.89559245,0.7857526,1.0550176,0.964893,1.4003258,1.3324902,1.2130281,0.8270198,0.744824,1.0514476,0.78671545,0.79984033,0.9666896,0.18201703,1.0543098,0.8036001,1.3135126,1.1196895,0.67268014,1.2973907,1.2880974,1.404062,1.1570463,1.2335161,0.810287,1.1333468,0.51529557,1.1783926,1.2906445,1.3671758,0.722432,0.972524,0.9727031,1.1555128,0.7814658,1.1748521,1.0666413,1.2014216,0.73625636,1.1244905
basket,1.3157682,0.97649354,0.9357499,1.2493684,0.87293637,0.69552225,0.749524,0.0,1.3247142,0.9497992,1.2959895,1.2539399,1.2677029,1.276087,0.89126873,0.6739639,0.7549654,0.7150509,1.2682267,0.9841303,0.13700616,0.86982286,0.8297653,0.7831079,1.1306121,1.1123434,0.7972834,0.9782927,0.8952926,1.2800177,1.0620348,1.3171978,0.82495356,0.8136027,0.8704158,0.81224823,1.0821836,1.1614885,1.0816749,0.7973047,1.1280098,0.9900752,1.1880466,0.8169035,0.8247436,0.95106167,0.74414736,0.87204456,0.99470246,1.1086742,1.0279666,0.80164444,1.2466698,1.1892331,1.0725759,1.0686724,1.1542778,0.9018454,1.3407992,1.2247546,0.9034172,0.79149926,1.1180091,0.99825686,1.157774,1.073651,0.83765674,0.99433327,0.9199244,1.3397348,1.3700782,1.1019957,1.0559288,0.9871173,1.0721318,0.852162,0.71136165,0.9839281,0.85561323,0.7108227,0.92475873,1.0709553,1.225481,0.71219605,1.3245957,1.0623152,1.3594979,1.0833954,1.1127819,0.74468416,0.9152177,0.951311,1.0522447,1.3184204,1.119851,0.65249205,0.92086935,0.9024729,1.0249397,0.6478305,1.0058709,0.9688861,0.95453686,0.9774637,1.0719905
bed,0.5371918,1.2312884,1.1614422,0.5923105,1.272124,1.2685192,1.4207034,1.3247142,0.0,1.4234369,0.8326526,0.40075862,0.7147808,0.17273962,0.885368,1.3689178,1.4334306,1.087003,0.5710741,1.2542534,1.4044712,1.1784267,1.4759377,1.3664197,1.0694757,0.9466387,1.2822922,1.2844477,0.9429367,0.78092945,0.99657387,0.15499902,1.3000145,1.4845092,0.8766676,1.2919395,0.86477983,0.5931423,0.9384214,1.3260729,0.5637896,1.1967764,1.1132452,1.3674978,1.2958232,1.158878,1.287879,1.2456299,0.97930676,1.1906724,1.064149,1.163276,0.7318911,0.8843315,1.3119988,0.969417,0.5318035,1.0660487,0.5191014,1.0474066,1.2728684,1.3381529,0.9751554,1.3539636,0.6646202,1.265296,1.2814827,1.1193959,1.0680175,0.38471532,0.5650625,0.5772169,1.3257115,1.2495153,0.83336854,1.3000686,1.3124807,0.93695766,1.4175665,1.138723,1.2806313,0.9144756,0.59680617,1.4189684,0.53524995,0.80495834,0.5523677,0.9777393,0.5537766,1.4706153,1.0265051,1.419315,0.9576255,0.45442915,0.4410367,1.3684502,1.2281786,1.0745069,0.9802307,1.2794644,0.7202905,1.0691887,1.1151222,1.3905826,0.76500785
belt,1.4398987,0.8827511,0.99324495,1.2435744,0.8526184,0.84092605,0.73441744,0.9497992,1.4234369,0.0,1.1201893,1.4166584,1.1064162,1.419724,1.1768383,0.6120955,0.54426205,1.1508421,1.1836041,0.94952476,0.8750442,0.8941356,0.59621,0.774867,1.0226517,0.839456,0.7222537,0.6395695,1.2934444,1.2527016,1.0763747,1.3837312,0.66876197,0.38050485,1.3541164,0.50742376,1.2111641,1.4343982,1.082115,0.78468037,1.3024967,0.95110714,0.9033827,0.6157892,0.7194075,0.97950536,0.90099585,0.87143147,1.149742,0.6638793,1.1500114,1.0668447,1.2556084,1.3355153,0.5148704,1.2049419,1.2973862,1.1492519,1.1996875,0.9762999,0.85638607,0.4418794,1.3204243,0.43870723,1.2694755,0.68559223,0.6600956,0.8277112,0.9792072,1.4279631,1.2972796,1.4283681,0.5563919,0.5656788,0.94960165,0.46358275,0.7288023,0.7900255,0.77451515,1.0835637,0.67096925,1.1375635,1.3033336,0.71059763,1.3006253,1.1975042,1.2907438,1.0035894,1.3084805,0.5623302,1.1628518,0.6910146,1.1728973,1.3446461,1.5115153,0.7866558,0.90792936,1.2815263,1.0977613,0.92646825,1.3411863,1.1332628,1.113453,0.3056054,1.2315748
