,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,broom,bucket,can,car,cat,chair,clock,closet,comb,couch,crayon,crib,cup,dog,doll,door,drawer,dress,eye,face,finger,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,hose,knife,ladder,lamp,leg,melon,milk,mitten,mop,mouth,nail,napkin,necklace,oven,pajamas,paper,pen,pencil,pillow,plant,plate,purse,radio,refrigerator,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,sprinkler,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tree,vacuum,watch,window
ankle,0.0,0.88589364,1.1966395,0.64458257,0.7140453,1.2216724,0.70902383,1.1116974,1.3731306,0.7283868,1.2817378,1.2481434,0.994874,1.2971156,0.9154943,1.0589534,0.6072951,0.793249,1.1602619,0.97233415,0.6776754,0.77483493,0.62862146,1.1764988,1.0508074,0.67270064,1.326613,1.2255006,1.1912229,0.5702877,1.2907115,0.6170392,1.2499635,0.8574936,1.1145006,1.0548235,1.291939,0.96471125,1.243538,1.1597778,0.735346,0.78504115,1.0522804,0.5728766,0.9862508,1.2035125,0.7482879,1.2801574,1.1492428,0.66538084,1.2793001,1.1316047,0.7829169,0.7025963,0.69150615,1.0796467,1.0004164,0.9495972,1.0981704,1.151513,0.82842565,0.86999726,1.0823407,1.2545072,1.2929399,1.1691338,0.6953232,0.85026276,0.6752453,0.8597971,0.7209573,1.2636971,0.5805203,1.2467883,1.2551011,1.3429276,1.1305897,0.9888411,1.2778908,0.81312776,1.1391999,0.6704111,0.9392754,1.1625016,0.9281708,1.198337,0.96130294,1.390748,0.7285346,0.74572396,0.7611541,1.0463756,1.1179068,0.95179117,1.1943094,1.2211095,0.56435126,1.1108195
apple,0.88589364,0.0,1.1657603,0.7630631,0.81084573,1.1245854,0.8958437,1.134022,1.2089409,0.7395581,1.3045623,1.0024259,1.0546608,1.2885134,1.122674,1.183172,0.7175349,0.8354231,1.214378,1.1306813,0.818818,1.0178081,0.44951302,0.9313482,1.2807003,0.66169167,1.2194065,1.1197865,1.323001,0.48173964,1.241827,0.450225,1.2525328,0.96575433,1.2288938,1.1778369,1.1703115,0.9098959,0.96229595,1.0740343,0.5116726,0.71713847,0.90364075,0.63597006,1.131861,1.0850503,0.8674794,1.0261456,1.1221374,0.6320677,1.2254655,1.1286528,1.0140913,0.91273963,0.65625334,1.0250369,1.149758,1.2367078,1.1328744,0.7876388,0.35469824,1.2004582,1.1189181,1.2346556,1.0833222,1.1950094,0.789884,1.0319014,1.0375985,0.86994255,0.6870141,1.2396237,0.7436089,1.2180135,1.2387139,1.086272,1.1642417,1.1042837,1.2293581,1.0602745,1.1512134,1.0007675,1.200611,1.2030774,1.1340616,1.1821603,1.0191605,1.2975211,0.8766264,0.7314174,0.5196791,1.0472596,1.1772934,1.0027487,1.1014941,1.3255017,0.56161064,1.1063194
arm,1.1966395,1.1657603,0.0,1.4000856,1.3850658,0.9809356,1.3412484,0.76059043,0.74407685,1.2864475,0.78611016,0.6794696,1.1049536,0.8277607,0.96537644,0.9603133,1.3644221,1.2594972,0.95968854,1.1918569,1.2586212,1.1472427,1.3437753,0.9252389,0.9884531,1.3337647,0.74335,0.8821356,0.8158611,1.2424593,0.8515729,1.3093393,0.83068144,1.2770307,0.9124962,0.9699695,0.68691045,0.98708224,0.8448063,0.5473606,1.2799337,1.3604172,0.9692068,1.2071677,0.8682009,0.9902971,1.1837258,0.7635142,0.42054164,1.28517,0.8986923,0.99578357,1.1798081,1.3226416,1.2723477,0.9893284,1.0951523,0.949482,1.1280307,0.8395325,1.1080563,0.52561724,0.9092205,0.6968049,0.63337797,0.7358677,1.1888089,1.088801,1.1997954,1.202264,1.3466014,0.93497735,1.3147609,0.7367252,0.9848585,0.62381244,1.0160664,0.7252929,0.88283914,1.0916736,0.99029654,1.2666142,1.0545894,0.9435894,1.1364813,0.79602164,1.1191492,0.7931303,1.3452574,0.74971324,1.1800866,0.9994982,0.683613,1.2468102,1.033546,0.9164807,1.1475621,1.0072559
ball,0.64458257,0.7630631,1.4000856,0.0,0.30976158,1.160577,0.6627706,1.3729899,1.3276063,0.696069,1.4157252,1.3380151,0.93515193,1.3631116,1.0288378,1.0715961,0.4870839,0.6418799,1.2269514,1.0490922,0.79833055,0.97446376,0.51807606,1.1787559,1.2752451,0.44594455,1.3020701,1.2369714,1.3054912,0.63331175,1.2611654,0.5533105,1.2996607,0.7156693,1.2396013,1.18663,1.3491026,1.000672,1.1361697,1.2231153,0.61921006,0.466536,0.9235731,0.6768777,1.0258355,1.0976896,0.7003168,1.2077665,1.2711596,0.5616627,1.1825836,1.1481763,0.91493726,0.6911204,0.6128648,0.7083657,0.9541628,1.0221202,1.0506324,1.1348445,0.7869452,1.225438,1.1798006,1.2960303,1.361073,1.1571641,0.9088713,1.0504457,0.86532736,0.8068422,0.581828,1.2752033,0.63718385,1.34921,1.161055,1.3690594,0.9977715,1.1884648,1.2139008,1.0379415,1.2094953,0.7132498,1.1059448,1.1574624,0.9945644,1.1772827,1.0135771,1.3336637,0.6665908,0.8780276,0.74698037,1.1427405,1.27043,0.75927615,1.0435377,1.2449172,0.70892113,1.2077727
balloon,0.7140453,0.81084573,1.3850658,0.30976158,0.0,1.0984832,0.8293958,1.2281096,1.2796574,0.8004559,1.3274968,1.307107,0.9541836,1.3525083,0.93311715,1.0556018,0.5765594,0.6458422,1.0795887,1.0380279,0.7783834,0.8823921,0.62681895,1.0652355,1.1466604,0.6841947,1.2453122,1.1814247,1.2177927,0.75636506,1.1787382,0.62779486,1.2899117,0.7360444,1.1491886,1.094866,1.260569,1.0192457,1.1926833,1.2682686,0.7298372,0.6636492,1.0350859,0.76558936,0.9970342,1.0846783,0.8214298,1.2141796,1.309403,0.6641419,1.2014859,1.1593733,0.8749502,0.6063441,0.7400882,0.9762058,0.8750974,0.9468092,1.0647674,1.188901,0.8223543,1.2451813,1.1159654,1.2705042,1.3451588,1.1393299,0.9328249,0.9919361,0.7705364,0.8646602,0.6025537,1.2335852,0.72011435,1.2267598,1.1450387,1.3314908,1.0031432,1.2058488,1.1952989,0.8821383,1.1244602,0.7797272,1.029279,1.0424898,0.86018914,1.0867136,1.0075209,1.2363802,0.7244719,0.98983115,0.74483716,1.1414754,1.2543433,0.8001152,0.94760865,1.2083509,0.81345,1.026645
banana,1.2216724,1.1245854,0.9809356,1.160577,1.0984832,0.0,1.0640179,0.95572376,0.8156836,1.241271,0.89147276,0.8686453,1.0559876,0.833428,0.9214666,0.8172935,1.1954854,0.84226966,0.8877229,1.0712646,1.1602762,1.3587966,1.3007667,1.0183712,1.0551283,1.3251942,0.8715608,0.6392405,0.955012,1.2998409,0.6740504,1.2991464,0.9839473,0.9798225,1.1203852,0.88331217,0.91842717,1.1345748,0.8995083,0.92351365,1.2702826,1.0614163,0.7911419,1.3378654,1.1927823,0.83163214,0.98611087,0.8811137,0.8767555,1.1904414,0.8150851,0.9034036,1.1624553,1.2666737,1.3397329,0.8547976,1.0795336,1.0423448,0.9752945,0.9960583,1.2714509,1.1759918,0.93269545,0.8775368,0.89797497,0.9262996,1.2610154,0.94445384,1.2639935,1.1873579,0.8893114,0.8289993,1.2587185,0.99960935,0.7532284,0.8062035,0.88224757,1.1437829,0.87228227,1.201105,0.8483559,1.1203042,1.1727935,0.87633437,1.107509,1.006568,1.1290066,0.61419237,1.0720341,1.2706283,1.2535708,0.9293238,1.0505774,0.39724517,0.9145604,0.95937276,1.3668419,1.0129777
basket,0.70902383,0.8958437,1.3412484,0.6627706,0.8293958,1.0640179,0.0,1.2275974,1.2528107,0.709233,1.3023717,1.2522647,1.0332319,1.245209,1.1121106,1.0587008,0.64033145,0.7930084,1.0800269,0.9190473,0.641765,0.78921676,0.63291085,1.3051531,1.0193111,0.6141491,1.2617527,1.0624156,1.2301698,0.6158173,1.1455193,0.5858686,1.1771122,0.8013413,1.1211845,0.95469457,1.2472463,1.1048671,1.202862,1.1990083,0.686842,0.58174974,0.92058617,0.7071558,1.1586285,1.2183665,0.7835495,1.2516404,1.2847838,0.8491287,1.182129,1.1627111,0.80186844,0.72032684,0.6395501,1.0692762,1.0094901,1.1021569,0.9255713,1.1408502,0.9127643,1.1546094,1.1704967,1.1303184,1.2881306,1.306186,0.8099171,0.8418267,0.80519396,0.7296769,0.71100473,1.1186175,0.64789754,1.2268755,1.1497655,1.3495572,1.0508196,1.2322677,1.1931626,0.8720305,1.1678656,0.8001163,0.97374433,1.1652858,1.0221994,1.251603,0.89052564,1.247191,0.53944856,0.9709243,0.7308264,1.1772087,1.202982,0.7386993,1.089464,1.1584804,0.75808984,1.0316359
bathtub,1.1116974,1.134022,0.76059043,1.3729899,1.2281096,0.95572376,1.2275974,0.0,0.6221026,1.1527369,0.5513475,0.95022905,1.0864148,0.7060182,0.8285092,0.9485303,1.2832991,1.1215519,0.7961899,1.0865661,1.1340522,0.901542,1.3159943,0.6915828,0.883885,1.2991574,0.5485929,0.86457324,0.68499315,1.2589855,0.68633956,1.2165352,0.98398376,1.1406116,0.6003146,0.7083714,0.95763427,1.1074271,1.0595902,0.9042405,1.2341157,1.2878125,1.1815287,1.180882,1.2238501,0.8191595,1.3486557,0.99351484,0.9998431,1.1758126,0.92797196,0.98291,1.0124718,1.0633557,1.2152584,1.0987638,1.0794494,1.0106894,0.95914066,1.1078397,1.2011305,0.92799187,1.1186146,0.6771716,0.9723424,0.85269,1.0946591,0.938723,0.99755234,1.1653049,1.1251398,1.0616623,1.2174648,0.55737466,1.0307902,0.97047365,1.1358197,1.0170286,0.95942676,0.8094522,0.8010689,1.2222695,1.0772274,0.95975775,1.0563042,0.97510904,1.0478086,0.7167074,1.1968411,1.2550964,1.1577086,0.9498345,0.85939866,1.1558365,0.977212,0.9753291,1.3275142,0.69368815
bed,1.3731306,1.2089409,0.74407685,1.3276063,1.2796574,0.8156836,1.2528107,0.6221026,0.0,1.363275,0.41209006,0.7348069,1.1411912,0.4149021,1.0345582,0.8600944,1.3777249,1.2162789,0.73149484,1.1122842,1.4021661,1.325855,1.3479118,0.86136913,0.7538439,1.3702714,0.4898864,0.77863026,0.45642865,1.4994878,0.40447485,1.3960743,0.7957097,1.1944588,0.87530845,0.8364113,0.68378294,1.152695,0.728835,0.9008954,1.3798697,1.3640319,1.143693,1.3927073,1.1298687,0.73048496,1.3437761,0.72701,0.9074146,1.2900093,0.7277248,0.94384164,1.2128787,1.2784506,1.4263145,0.9527392,1.0834098,1.0901402,1.035212,1.0644066,1.3104339,1.0773673,1.1106644,0.7111232,0.63477343,0.8212837,1.4377693,1.2010475,0.98466843,1.265646,1.3265686,0.6974176,1.3024586,0.71034265,0.825946,0.70672977,0.9635127,0.9618949,0.7802099,1.0860047,0.6700483,1.332226,1.0484753,0.9266275,1.0664613,0.9227225,1.1584659,0.31890786,1.3137646,1.3362,1.3372622,1.062972,0.7160543,0.9833237,0.885395,0.86340404,1.5069312,0.79041046
belt,0.7283868,0.7395581,1.2864475,0.696069,0.8004559,1.241271,0.709233,1.1527369,1.363275,0.0,1.3742293,1.2522998,0.96052575,1.3839662,1.1629387,1.2050214,0.61076504,0.8871019,1.141533,0.9654135,0.6355951,0.6236358,0.5894355,1.0168371,1.2313329,0.49217445,1.3413855,1.2668531,1.2604415,0.4606033,1.3754773,0.56211317,1.2050836,0.8465712,1.0652555,0.9838985,1.3382862,1.0033358,1.1907928,1.1836839,0.424478,0.70110685,0.89260525,0.59277606,0.95278984,1.2503638,0.80376506,1.2471724,1.2731724,0.6698161,1.3191267,1.1392422,0.95589644,0.7913604,0.2949779,1.147308,1.0384296,1.0960234,0.95045507,1.1175687,0.761351,1.0889295,1.1904366,1.156429,1.3619078,1.3084596,0.60583305,0.92135024,0.7979777,0.7266337,0.7123425,1.2754254,0.49804008,1.2201581,1.275532,1.3394201,1.1654925,1.0992786,1.267916,0.8699248,1.3071723,0.7997283,0.94326705,1.2230529,0.8684071,1.0756292,0.92818654,1.4167215,0.7540685,0.8640239,0.503827,1.0956093,1.2171134,0.90552825,1.2107079,1.2250421,0.6555767,1.0920482
