,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.3375266,1.3083436,0.84851813,1.1338686,1.2120368,0.8310299,1.2877952,0.6435238,0.619769,1.3271433,1.0344566,0.693375,0.70708334,0.60546404,0.27393574,1.1564181,1.3249238,1.3330929,1.0443046,1.3001786,1.2301154,1.0215973,1.2922747,1.4679531,1.1815492,1.3383403,1.1164562,1.2150319,1.3007001,0.78844345,1.1810645,0.89108527,0.8780122,1.3155054,0.7351869,1.4248838,1.1899054,0.9852167,1.17782,1.2102408,0.801389,0.73115814,1.3534828,0.73629487,0.8599533,1.2492591,1.2481878,0.86467886,1.1886355,1.2964625,1.3258712,0.4560877,0.9368352,1.438313,1.3283105,0.47429574,1.1295819,0.8799068,1.0762639,1.2539943,0.8023622,0.8354883,0.7378936,1.0119145,0.8483383,1.1934028,1.2699506,1.5043842,0.9661038,1.077271,1.0295193,0.73503464,0.98012763,0.90247005,1.065492,1.3876865,1.3742851,1.3964818,1.2277392,1.2766521,1.054525,0.7189605,0.8360179,0.6942352,1.2901697,1.3213893,1.1688339,0.88395786,0.94574547,1.336318,0.78925383,1.0584701,1.2987471,0.9043835,1.2001215,1.0067792,0.9681697,1.269857,1.0782084,1.1152134,0.79371125,0.6757664,0.80245304,0.82435405,1.0182159,0.75063396,0.8473068,1.0325297,0.095656276,1.4464064,0.8691508,1.1542444,1.2416191,0.9589308,1.3278544,0.6319357,1.2283841,0.88251793,0.812925,0.5494981,0.677001,1.2466573,1.3498373,1.1222181,0.94630474,1.1424769,0.9331026,1.0885057,0.8406799,0.88897425,1.2508793,1.3846558,1.4392972,0.94354934
ankle,1.3375266,0.0,0.677913,1.1331171,0.91854423,0.7480048,1.0030557,0.77652097,1.3353226,1.3735914,0.5192423,1.0763404,1.203985,1.1829053,1.2975473,1.2170161,0.9363868,0.8422015,0.74938,1.0950608,0.73619807,1.0539593,0.9206656,0.7121215,0.7686036,1.0975977,0.7539368,0.9493633,1.0096971,0.8624285,1.2318987,0.85716105,1.2295336,0.9989119,0.7404499,1.3621503,0.7455299,0.92851937,0.88105786,1.085797,1.0396123,1.1883042,1.1505972,0.5522057,1.2371551,1.0133265,0.58794034,0.93478656,0.8289368,0.9918008,0.55062115,0.52841485,1.1449339,1.1261606,0.479033,0.6028902,1.3726957,0.74632716,1.0881262,0.8024805,0.68657595,1.1850427,1.1000307,1.2014794,0.98652047,1.2810144,0.80679417,0.9890002,0.82872045,1.1143417,0.72361237,1.1486785,1.0152801,1.2702272,1.1989009,0.7959753,0.70869386,0.66389275,0.4378925,0.7147083,0.8990692,0.8962797,1.2793814,1.1978666,1.1803397,0.7489988,0.83725387,0.7884209,1.0494453,1.0602139,0.7617004,1.1155131,1.0508636,0.8283686,1.0044955,0.82009804,0.90255636,1.1621096,0.53585035,1.1720744,1.0355902,1.170881,1.1341362,1.231459,1.1659187,1.094062,1.2309304,1.3094987,1.0651242,1.3247745,0.5770403,1.2310921,1.0021092,0.77861524,1.0419487,0.7068423,1.299772,0.7690713,1.2679907,1.2093298,1.3625561,1.3179953,0.7056796,0.59174407,0.80407,0.9113862,0.8555237,0.92338777,0.9924244,1.2961639,1.3164032,1.0978903,1.017593,0.48624772,1.3318911
apple,1.3083436,0.677913,0.0,1.380127,0.2621045,0.23965704,0.4947598,0.91247505,1.4920148,1.4845669,0.92031693,1.219021,1.3410461,1.1147451,1.424721,1.0814244,0.86538917,0.32814145,0.38335156,1.2380131,0.45996857,0.9416063,0.8337259,0.73032045,0.73869103,0.8017503,0.45380914,1.2038652,1.1305822,0.6115277,1.3261619,0.8891387,1.4128679,1.1567214,0.3778398,1.5139523,0.32221723,0.83896136,0.9359323,1.2357028,0.9435905,1.2173811,1.0998406,0.40234238,1.2649866,1.1027241,0.783419,1.0193058,0.7207674,0.76954806,0.81622404,0.68677676,1.0457184,1.2066748,0.4670745,0.6692011,1.305041,0.6512265,1.2394862,1.130577,0.67239887,1.3262873,1.2744629,1.3809309,0.9337289,1.4854501,1.1248648,0.98660684,0.45971102,1.2029555,0.37122297,1.0255028,1.318386,1.2274274,1.1895832,1.0008943,0.26980305,0.67890966,0.61649895,0.33175635,1.1289179,0.5808538,1.4764827,1.4102755,1.3032517,0.9356535,0.43568385,0.8672562,1.2233706,1.1512982,0.9418115,1.2243998,0.89403206,0.5562033,1.1332566,0.4846995,1.0749736,1.2068119,0.5399432,1.2986747,0.83370435,1.0021213,1.1370126,1.4302536,1.2767076,1.3083236,1.2620158,1.364934,1.1175643,1.3473251,0.3637874,1.2486333,0.7775097,0.90347695,1.1030402,0.68216354,1.3067986,0.8409732,1.4030696,1.3115034,1.4075848,1.4836476,0.27202845,0.5447123,0.96053576,1.1913116,0.8653705,0.42668736,1.1101806,1.1513475,1.3282518,1.0495996,0.9923085,0.42631054,1.401434
arm,0.84851813,1.1331171,1.380127,0.0,1.4506834,1.5090866,1.2520171,1.373678,0.769868,0.633706,1.052065,1.0732127,0.6010863,1.0175374,0.80837965,1.182633,1.2505085,1.5248482,1.478784,1.1133193,1.279486,1.2626595,1.3669844,1.1399283,1.4089341,1.2673478,1.3250387,0.86692315,1.2056034,1.4041874,0.9668655,1.3458304,0.7073778,0.68765134,1.4236866,0.8092109,1.4817262,1.0746474,1.0868955,0.879067,1.1384485,0.818231,0.98618686,1.2082132,0.6541697,0.7964053,0.7728347,1.0940434,1.3517947,1.2584314,0.9964916,1.1915681,1.0086842,0.9028709,1.2256875,1.2721736,0.9085751,1.2423145,0.670849,0.49775952,1.2421855,0.6666541,1.001139,0.81065387,1.1347022,0.55723506,0.9798667,1.2615192,1.4808341,0.4795131,1.3079994,1.0783347,0.66047525,0.81424564,1.0867603,0.8363566,1.3076103,1.4218936,1.0802357,1.257008,1.0072223,1.3493589,0.44111192,0.6634791,0.65582514,1.0102041,1.2434851,1.277575,0.7993634,0.68963003,1.147894,1.0629472,1.204854,1.4585872,0.61978835,1.2294441,1.3138264,0.96218914,1.1297477,0.8271769,1.163996,1.052335,1.0021825,0.5018858,1.0188612,0.79302573,0.9794526,0.7147815,0.992515,0.8434166,1.3698169,0.73931277,1.2846622,1.2873617,0.9822628,1.3411548,0.80198294,1.2940774,0.82332635,0.7180449,0.7103253,0.8095131,1.4841057,1.0330616,0.75040936,0.7961079,1.3952328,1.516075,1.166405,0.8295101,0.8001684,1.1261044,1.235553,1.2523354,0.7878171
ball,1.1338686,0.91854423,0.2621045,1.4506834,0.0,0.20801532,0.5742653,0.812347,1.400086,1.3853929,1.0682285,1.2048721,1.2947,0.9397016,1.2988063,0.86489785,0.835888,0.29970062,0.4266125,1.1850123,0.6736672,0.87705934,0.7220795,0.9523511,0.83158934,0.6817107,0.6246728,1.2604954,1.0535073,0.44637412,1.2664928,0.6941446,1.4040772,1.2645038,0.46902752,1.403464,0.3544389,0.89875686,0.93753755,1.2778941,0.9527726,1.1923233,0.95201164,0.650473,1.1796582,1.2100157,1.0897007,0.96926105,0.6784223,0.76198745,1.0998945,0.9600212,0.91115,1.1606244,0.7649837,0.78406036,1.1691076,0.5985053,1.3053643,1.2931321,0.76583254,1.3062036,1.1415876,1.3332661,0.84453166,1.4677597,1.1584414,0.90454257,0.47432774,1.3279576,0.52133876,0.90649027,1.3318073,1.2035164,1.0294107,1.1695772,0.48657644,0.74276567,0.9318054,0.54236203,1.2339005,0.57182467,1.4285245,1.4096344,1.2056644,1.1146839,0.61953807,0.8772493,1.2929541,1.1733074,1.0751199,1.0505997,0.8346307,0.45788062,1.2428163,0.40433216,0.94552255,1.1500117,0.84853745,1.316911,0.7399341,0.9957741,0.9391672,1.3851857,1.062854,1.3401328,1.0857322,1.2427317,1.1050172,1.168459,0.5470114,1.1332848,0.6295554,0.8406411,1.1187015,0.67718923,1.1751341,0.898119,1.3147187,1.283541,1.2625928,1.3585478,0.21994054,0.79355764,1.1702071,1.1552788,0.8330325,0.3002836,0.985211,1.1398249,1.2356803,0.9762519,0.9686867,0.65608543,1.3484197
balloon,1.2120368,0.7480048,0.23965704,1.5090866,0.20801532,0.0,0.582824,0.8183131,1.370976,1.493814,0.9751838,1.1414826,1.3501254,0.98444194,1.3739976,0.9297332,0.8884125,0.33113408,0.38099515,1.1760164,0.5812378,0.8002077,0.5540632,0.7845296,0.6464692,0.7878766,0.5618516,1.2139611,1.0109566,0.3770712,1.2803409,0.8136817,1.4315803,1.2721193,0.4200372,1.448243,0.30401707,0.8213304,0.98138434,1.2197113,0.9086722,1.1774914,1.0185509,0.543303,1.3149905,1.1621985,1.0056893,1.0012999,0.53646547,0.7632617,1.006564,0.79038423,0.963277,1.157166,0.6497231,0.6521424,1.2145383,0.6629637,1.292621,1.2574973,0.6574496,1.3425293,1.1309953,1.3686657,0.9310152,1.4836357,1.1093522,0.8775198,0.420251,1.3270636,0.45058322,1.0095227,1.3122178,1.2092254,1.1364124,1.0744413,0.43785107,0.65722656,0.76741505,0.444763,1.1492449,0.6048782,1.5254861,1.4363925,1.3089218,1.0183911,0.6388382,0.78289783,1.3028016,1.2192959,0.95958376,1.1429551,0.9121534,0.46300578,1.2463017,0.49230528,0.9780852,1.2102104,0.7108145,1.3305019,0.81303144,1.0398022,0.94225955,1.4358225,1.2212341,1.3080717,1.066316,1.2757367,1.058781,1.2167711,0.49634027,1.1862762,0.6807991,0.83923095,1.0887302,0.70743644,1.2228197,0.7964415,1.3844151,1.2884972,1.300038,1.3785301,0.22340494,0.7304281,1.175513,1.1646357,0.7890553,0.30780149,1.0211504,1.1630921,1.3320726,0.9680269,0.8844057,0.5847442,1.3589736
banana,0.8310299,1.0030557,0.4947598,1.2520171,0.5742653,0.582824,0.0,1.006115,1.2300812,1.2876372,0.98653436,1.043931,1.2261887,1.0326424,1.1538898,0.59574676,0.7106894,0.502084,0.57658887,1.0865154,0.5855286,0.83259,0.8067391,0.9623287,0.8730422,0.83803385,0.7714489,1.3166305,1.1276405,0.7918041,1.1519678,0.94769883,1.3085141,1.0899061,0.42622024,1.3225539,0.6039665,1.0184997,1.0783255,1.3072622,0.92927593,1.1175895,1.0435828,0.8440622,1.1668746,1.150698,1.0388733,1.0527899,0.6251111,0.88157564,0.9878764,0.7992791,0.7802114,1.1451827,0.82948357,0.91380024,1.0733807,0.70881367,1.2138873,1.1439004,0.96514916,1.2907506,0.9953712,1.1965861,0.934598,1.3227695,0.93470955,1.0042845,0.73277986,1.2467796,0.40772712,0.9673303,1.118233,1.2150724,1.1292492,1.1605276,0.70355326,0.82968926,0.95258856,0.6554391,1.2831929,0.7196393,1.337535,1.2732397,1.1145755,0.91983694,0.5016832,1.0533825,1.0946134,1.1542288,1.0514405,1.0750319,0.91358244,0.6196283,1.090291,0.7593434,1.0282891,1.1844072,0.8842807,1.3269559,0.938623,0.95661926,0.91143304,1.3127095,1.1249348,1.2447827,0.897333,1.253524,1.0043123,0.8995236,0.6678343,1.1891507,0.86324966,1.0407785,1.078508,0.70744216,1.0959291,0.8460002,1.3494287,1.1473448,1.1556346,1.223621,0.58509994,0.8578012,1.0750216,0.9805174,0.83997566,0.3862176,0.9948046,1.0578854,1.3209791,1.0558144,1.0285976,0.77962065,1.3361964
basket,1.2877952,0.77652097,0.91247505,1.373678,0.812347,0.8183131,1.006115,0.0,1.1499903,1.1508408,0.8304392,0.848554,1.2528958,1.0669062,1.1323472,1.0438437,0.6113639,0.67799646,0.69268346,0.6428618,0.82368547,0.8928295,0.7858235,0.9004655,0.54145133,0.8994002,0.8585254,1.118599,0.7386202,0.68298244,1.0868134,0.60778403,0.96459526,1.075212,0.77704096,1.0680041,0.65124583,1.1137139,0.9248986,0.99480975,0.7423649,1.1656299,1.0281852,1.0092078,1.2191494,1.2510594,1.1813613,0.825121,0.90313977,0.83015347,1.0453396,0.8341832,1.1116519,0.96992266,0.96199167,0.81708515,1.2764744,0.8248919,1.303929,1.2567065,0.938256,1.330286,1.1934361,1.2285733,0.9085236,1.3338972,0.98519266,0.69625694,0.66910076,1.327702,0.9260207,0.94471824,1.1673281,1.0894686,0.9185227,1.1448586,0.9730359,0.6750498,1.0338087,0.98634946,0.6482748,0.7560136,1.3117659,1.3023585,1.1436132,1.0359912,0.83539855,0.7955965,1.0892088,1.2606999,0.6385528,0.77318096,0.86832976,0.70806694,1.2561127,0.9401106,0.7313709,0.9866891,0.9268528,0.8786479,0.9533935,1.0036476,1.0711951,1.285102,0.9263896,1.1591814,1.2135056,1.1764741,0.95042396,1.2759415,0.8218905,1.1785345,0.7392032,0.72644037,0.99416167,0.8316891,1.2381938,0.8904529,1.1027211,1.2380233,1.3082781,1.1166987,0.83091617,1.066925,1.1210744,1.1368191,0.6941124,0.78044605,0.72616285,1.1523814,1.0929626,0.7784824,0.8022746,0.857732,1.1167853
bathtub,0.6435238,1.3353226,1.4920148,0.769868,1.400086,1.370976,1.2300812,1.1499903,0.0,0.56442046,1.2599642,0.74703896,0.87677085,0.8875768,0.669567,0.8193138,1.0201447,1.4435911,1.213856,0.44108224,1.3472463,1.1649301,0.6635527,1.2594023,1.0123551,1.1268996,1.4108037,0.8586731,0.96503943,1.368099,0.71346784,1.2562588,0.6193663,0.92454505,1.4771227,0.4929849,1.3965862,1.1640465,1.227661,0.86670977,1.0507821,0.9411834,0.89261967,1.4471226,0.89998454,0.92407113,1.2528815,1.1602961,1.0922804,1.188726,1.3074803,1.2586918,0.87839967,0.8449702,1.4798326,1.3954432,0.6983663,1.3292639,0.89501065,1.0450703,1.3309319,0.81106794,0.8728884,0.68138593,1.0993583,0.6533617,0.98835474,1.0964638,1.4249438,0.88581985,1.2809181,1.0180386,0.8413188,0.7832051,0.9320105,0.93642414,1.470837,1.3186772,1.4614551,1.360085,0.9094371,1.3711178,0.7849308,0.7705083,0.763347,1.1294727,1.3812562,1.26688,0.77978116,0.9881797,1.0201718,0.86365795,1.1064583,1.2510052,0.99434906,1.4036433,0.9784579,0.7535819,1.3004571,0.7077523,0.98251975,1.0176566,0.8964228,0.77613074,1.0186651,0.89574504,0.85761285,0.6029417,0.47949815,0.5769243,1.551233,0.74237025,1.1383324,1.266536,0.7807409,1.3566389,0.6759884,1.2588403,0.7437768,0.7032978,0.73947537,0.54802024,1.446163,1.4484234,1.0769969,1.0189573,1.1032813,1.2916284,0.8318012,0.80256224,0.7425256,0.9831818,1.1113254,1.5388085,0.6809585
bed,0.619769,1.3735914,1.4845669,0.633706,1.3853929,1.493814,1.2876372,1.1508408,0.56442046,0.0,1.3179612,0.88521737,0.7390535,1.0231034,0.2604226,0.9010272,1.1618879,1.5373827,1.4603713,0.89544755,1.347743,1.2402806,1.297808,1.2983057,1.3544185,1.2150671,1.37655,0.9350198,0.9653866,1.4055703,0.60529906,1.2291794,0.28758597,0.77257025,1.5331361,0.33876193,1.5331206,1.18593,1.1110038,0.7231188,1.1086795,0.95192915,1.0000999,1.3693504,0.7174771,0.84451693,1.2012656,1.1296041,1.3377658,1.2522014,1.3108432,1.2620121,0.994051,0.77793276,1.4525323,1.4482145,0.6471547,1.3371346,0.8282278,1.0083811,1.3609829,0.72790956,0.9778745,0.58166,1.1693372,0.6103177,1.1492646,1.0986971,1.4511198,0.78563505,1.3386661,1.0336103,0.8162886,0.7787366,0.9508004,1.0050626,1.4104593,1.3000311,1.4288087,1.3202324,0.9079675,1.3357186,0.49044716,0.68617,0.6577559,1.2569969,1.38865,1.2775784,0.83106315,0.9217715,0.88071394,0.81965804,1.1558064,1.421884,0.875832,1.3657665,1.0876975,0.8230985,1.308502,0.6480954,1.0826459,0.99101233,0.9968965,0.7103332,0.918486,0.89793885,0.98844624,0.6392976,0.8872662,0.58691776,1.5496893,0.6991768,1.3209456,1.2950776,1.0272998,1.4480019,0.7806246,1.2386397,0.66143477,0.70793754,0.65413547,0.5485833,1.4413252,1.3915552,0.9983599,1.0960481,1.0344232,1.4178833,0.99314004,0.79409504,0.57206225,1.102172,1.22719,1.5208972,0.6170104
