,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.0774527,1.1068718,0.7291254,1.1975306,1.4090075,0.75744015,1.4208409,0.8071518,0.6237152,0.6234207,1.284114,0.6309762,0.75885916,0.65642965,1.1569175,0.98016036,1.5293479,1.3382176,1.1743774,0.7134533,1.2025094,1.2323232,1.3007691,1.418463,1.0222869,0.9411664,1.0539019,1.1870537,1.3837923,0.9425792,0.84182835,0.7763019,0.38488543,0.6626701,0.81656355,1.4210877,0.93231905,1.5424566,0.91791457,0.87838215,1.1075951,1.0217438,1.1158171,0.8800868,0.86443686,1.088533,0.57016635,0.93002,1.2154971,1.3172014,1.277815,1.1577442,1.0349985,0.5624419,0.8354087,1.3629735,1.0370597,0.7304345,1.1352979,0.8913069,0.80914056,0.8932786,1.4527445,1.2775679,0.8535091,0.75562847,0.92701304,0.7129667,1.3491204,0.9415763,1.4464661,0.87754977,0.99999785,1.1715238,0.5663111,1.3249279,1.1542383,1.3382605,1.3052782,0.8759018,0.57776046,0.7080977,0.73621154,1.254015,1.3645633,1.3226223,1.0832331,0.90627795,0.98034185,0.93273675,1.2920837,1.1876402,1.0966227,1.3481116,1.0572708,1.118934,1.1193746,0.6402489,0.70374787,1.0009397,0.90583515,1.3582749,0.83011436,0.9466979,0.94305587,1.4369786,1.1808379,0.94223744,0.69635946,1.0939689,1.1307778,1.0566657,0.76739925,0.88746077,1.4356912,1.3356227,0.85795486,1.1940662,1.111463,1.2848788,0.9249342,0.8845641,1.293717,1.4853792,0.8591698
ankle,1.0774527,0.0,0.84482014,0.9945312,0.6447785,0.84223986,0.97290504,0.9409495,1.2522664,1.0196029,1.2249506,0.7763534,1.1307964,1.1956824,1.2205807,1.022682,1.1874708,0.8964466,0.84081256,1.2259678,0.87303525,1.2136651,0.9855129,0.9724759,0.98717636,0.9686995,1.0590229,1.0641445,1.2776067,0.83445275,1.2890416,0.8093235,1.2723978,0.9891878,1.1273216,1.2004237,0.73027724,1.2481759,0.9285287,1.116875,1.0859418,1.0353144,1.3039745,1.1985841,1.0972699,0.66553766,1.0134743,0.99002236,1.0159235,0.5075661,0.93494254,1.0481234,0.5570795,1.0330893,1.1901077,1.2214178,0.5924301,0.7049704,1.0761489,0.7111294,0.99542767,1.1105467,0.8407935,0.67575085,0.90809715,0.9075093,1.0739832,1.2843122,0.93057525,0.8772682,1.3545327,0.99408126,1.1908511,0.79127055,1.1274542,0.9712954,0.4453194,1.0507413,0.6176228,0.60057926,1.3691632,1.1635427,1.1978668,0.94083434,1.150266,0.8340988,0.8649196,0.8670925,0.79471445,0.9205936,0.8808254,0.7820811,0.7775826,1.018598,0.9452199,1.4299091,1.0985758,0.98547655,1.1954458,1.1711252,0.94724166,0.83364826,0.8345344,1.3449564,1.2142087,1.1045469,0.60176504,0.801775,0.52506757,1.2305254,1.027097,0.6903981,1.0658673,1.0364001,1.3677082,0.75865346,0.426328,1.0064034,0.9763093,1.0976677,1.0380944,1.2778208,1.272443,0.9970273,0.50923663,1.3432605
apple,1.1068718,0.84482014,0.0,1.2332181,0.3105743,0.515643,0.7526502,0.8182062,1.3658721,1.2224295,1.3020356,0.8616254,1.2862861,1.2081875,1.2821317,0.9626863,1.0976123,0.7525585,0.7091148,1.1365619,1.0676578,0.9416497,0.98357946,0.70819163,1.0120839,0.950576,0.84701794,1.0307522,1.2534745,0.7061715,1.2902997,1.2838356,1.1190844,0.9182198,1.2973969,1.2571952,0.65324944,1.2948108,0.7235652,0.884287,1.048971,0.92192,1.2821195,1.1531743,1.2478896,0.8976866,0.631775,1.1389465,1.1244776,0.7790921,0.6606675,0.71962535,0.92371565,1.1002959,0.92513394,1.1023346,0.8174732,0.90891516,1.1672319,0.40799618,1.1226783,1.097855,1.0051911,0.7269931,0.8628756,1.1004602,1.3808861,1.0914844,1.3450141,0.86597705,1.3918238,0.86352205,0.96624506,0.3510427,1.1183605,1.0880439,0.7121253,0.8589214,0.9144915,0.5886723,1.2580451,1.0956157,1.2868103,1.3561283,0.9753693,0.8490945,0.81962186,0.8033056,1.0282071,0.9969128,0.8020923,0.793839,0.76873064,1.1147524,0.765617,1.2809466,0.9053832,1.0553181,1.29159,1.281675,1.0316554,1.270263,0.7924677,1.338189,1.1872169,1.2385231,0.6589974,1.0318129,1.1353534,0.83350307,0.95663005,1.0485086,0.9730409,1.32213,1.2969569,0.6346327,0.72327214,1.1101263,0.85929215,0.89170724,0.7253683,1.189473,1.1033571,1.0533485,0.70672756,1.277429
arm,0.7291254,0.9945312,1.2332181,0.0,1.229487,1.322395,1.215056,1.4124374,0.7340288,0.8476703,0.55837727,1.463937,0.45551932,0.6606209,0.6365875,1.145376,1.0298722,1.4571097,1.4556321,1.1361505,0.53363085,1.1177238,1.1843772,1.4067239,1.3771747,1.1924884,0.9558069,1.0974402,1.0686477,1.4541833,0.84932697,0.827316,0.75405,0.85565174,0.61204374,0.9536332,1.4677874,0.89525294,1.4759468,1.0958232,1.1113629,1.096236,0.9423976,1.0136828,0.63874286,0.7975739,1.0812738,0.8883518,0.65892005,0.8527968,1.3364096,1.3864954,0.81748337,0.8824272,1.0292196,0.7129512,1.1384428,1.0358167,0.92483294,1.3091784,0.5814501,0.892853,0.48737204,1.2280817,1.4013033,0.7926092,0.65767473,0.919408,0.67727727,1.3268056,0.8252503,1.4247608,0.91564816,1.3232982,1.0560275,0.5620467,1.1652718,1.3871267,1.1921246,1.2237128,0.7398149,1.0141683,0.5628429,0.61674863,1.0801872,1.3232908,1.3039143,1.2889131,1.0397866,1.1381935,1.280508,1.4824706,1.1642203,1.1664597,1.420829,0.93975776,1.2184045,1.1978838,0.68136615,0.42223167,1.0739089,0.68147355,1.4652696,0.77026856,0.8615092,0.9161661,1.3818836,1.2011852,0.77541286,0.91219836,1.0775816,1.1078652,1.2462736,0.5364932,0.71943617,1.4251287,1.0384859,0.75448984,1.2521747,1.3156352,1.4189994,0.8256685,0.95512813,1.265611,1.3616828,0.8132161
ball,1.1975306,0.6447785,0.3105743,1.229487,0.0,0.54311275,0.81271744,0.80813074,1.3481867,1.0919465,1.3081657,0.794372,1.3515518,1.1633623,1.2825277,1.0292869,1.184429,0.65852785,0.7212577,1.2168514,1.1945317,1.0417492,0.93223524,0.77633536,0.9480384,0.95561576,0.9566662,1.0132821,1.1886636,0.67107594,1.376585,1.1942514,1.2278965,0.9926853,1.2919248,1.2713926,0.6041349,1.296438,0.6919356,1.0441079,0.95352674,0.7826104,1.3187659,1.1536739,1.212909,0.8927562,0.6110791,1.0475379,1.0540162,0.80425656,0.7597239,0.69035405,0.8812289,1.127495,0.92310953,1.2168348,0.7112335,0.74739194,1.1731659,0.49191713,1.1207004,1.240849,1.0777342,0.53172195,0.828654,1.0178493,1.3744283,1.1583891,1.280276,0.80400884,1.4488662,0.8434414,1.1490037,0.43184412,1.1210121,1.1647992,0.61985373,0.94041115,0.8471948,0.40630156,1.3672009,1.0330318,1.2736938,1.2658205,1.0738719,0.8218684,0.8150842,0.8459162,1.0170736,1.0108654,0.8571036,0.76548374,0.84402686,0.92427075,0.62574536,1.3436197,0.7769831,1.0451031,1.2803004,1.2688286,1.0159335,1.1940724,0.6999492,1.3823093,1.2572922,1.1532421,0.5943445,0.95507586,0.9700914,1.0665227,0.9584855,0.969394,1.035314,1.3111556,1.3244902,0.583717,0.6481389,1.0369663,0.87552977,0.99085844,0.60184747,1.2658253,1.1656275,0.9683762,0.6201179,1.3055291
balloon,1.4090075,0.84223986,0.515643,1.322395,0.54311275,0.0,1.0105762,0.7487775,1.2889872,1.166769,1.28636,0.59883785,1.4081597,1.3176973,1.3097816,0.8801598,1.1129456,0.445293,0.52180624,1.2077926,1.3610868,1.0263473,1.130386,0.3777387,0.73848444,0.9334872,1.0889089,0.81546146,1.151526,0.29863566,1.3290025,1.1887743,1.2972279,1.1681081,1.3339813,1.1760335,0.31688952,1.3258699,0.41772532,1.0805094,1.0573281,1.0025105,1.2503643,1.1757637,1.2763251,1.0954868,1.003248,1.1272228,1.1183183,0.84725755,0.23853487,0.616545,0.9457745,1.0568134,1.3159032,1.3181226,0.5486822,1.0396959,1.1156938,0.7485981,1.2035868,1.23528,1.3001721,0.50845003,0.561652,1.1132445,1.4061084,1.3186386,1.3926466,0.6602042,1.343727,0.5868285,1.1876161,0.7090635,1.1800902,1.4499922,0.37398648,0.8033089,0.7856422,0.50994456,1.3278575,1.2058234,1.386295,1.2958283,0.90642333,0.6197879,0.40460086,0.91715884,0.90355045,0.89709747,0.955762,0.57672286,0.9582371,1.1268085,0.60488737,1.220762,0.8910579,1.1091034,1.4024632,1.3593656,1.1535487,1.304848,0.6132021,1.2497866,1.2104099,1.0914736,0.23766226,0.8174322,1.1283736,1.1682436,1.0922116,0.95563656,1.1175741,1.3259511,1.3327916,0.27377033,0.5770121,1.1946361,0.733281,0.83292234,0.80004984,1.3333694,1.0646412,0.8120993,0.49781108,1.21869
banana,0.75744015,0.97290504,0.7526502,1.215056,0.81271744,1.0105762,0.0,0.89301664,1.1895996,1.0693415,1.260364,0.8721542,1.2265099,1.2215666,1.2028601,1.0837365,0.88441664,0.9010851,0.74891037,1.0266894,1.038489,1.0584846,0.8967717,0.8663072,0.991698,0.74526215,0.8504599,1.1357605,1.031095,0.9254789,1.1129174,1.1811216,1.0410161,0.6758549,1.1580033,1.0253892,0.7600414,1.1474377,0.916993,0.79974544,0.9593373,0.8611808,1.1701739,1.1304394,1.2558172,1.0369247,0.8675793,1.0308012,1.1967216,1.0770905,1.0212507,0.7861608,1.0456417,1.1471615,0.6288052,1.0641459,1.0354218,0.83608794,1.0560011,0.723495,1.2057432,1.031544,1.1681812,0.9680718,0.90686274,0.85636115,1.2256584,0.9497156,1.2112285,0.9299287,1.2241786,0.9897565,0.9634513,0.44095182,1.0594245,0.95908445,1.0591486,0.802147,1.0802326,0.83271706,1.1261246,0.97507435,1.2588265,1.263748,1.0933185,0.92646265,0.997578,0.6223211,0.9357573,0.8951356,0.5578,0.77694905,0.92912453,1.143309,0.9107945,1.1529084,0.89596015,0.970366,1.1059982,1.27591,1.0472553,1.2386525,0.8158366,1.2348213,1.108168,1.126949,0.9764785,1.0331868,1.0797559,0.85559255,0.97266906,1.1211375,0.89632607,1.2186865,1.2177634,0.89794934,1.0146285,1.0624949,0.9567027,0.8535082,0.7330152,1.0494651,1.0461717,1.0512601,1.004462,1.1912161
basket,1.4208409,0.9409495,0.8182062,1.4124374,0.80813074,0.7487775,0.89301664,0.0,1.1458654,1.2494234,1.4349895,0.6469343,1.4144331,1.2980876,1.3680549,0.78127277,0.9048294,0.4275583,0.52562183,0.657732,1.2791072,0.797222,0.69385076,0.73782194,0.49007744,0.8013677,1.0216517,1.0489106,0.80816,0.5695573,1.1549178,1.3119144,1.1102672,1.2905853,1.3700027,1.0816871,0.5653073,1.0761361,0.46519363,0.98769325,1.0266267,0.9545375,1.070454,0.8449747,1.2740017,1.2695955,0.9133983,1.290093,1.2546988,1.0020113,0.74085766,0.7164161,1.0374981,0.9348063,1.1479537,1.2514901,0.9187259,1.0196912,1.2169284,0.6761322,1.3547863,1.1622758,1.2845223,0.7924938,0.7396302,1.3000996,1.3945476,1.0524838,1.3704205,0.642256,1.0430524,0.6003152,1.1822932,0.8312145,0.7624252,1.418447,0.86412954,0.7127907,0.88454735,0.8667522,1.1683762,1.1761522,1.3893292,1.426091,0.7527935,0.6959835,0.6983581,0.65752757,1.0367906,0.9719159,0.9790096,0.6218976,0.8864723,0.8175897,0.41156316,1.0202055,0.797176,0.9956963,1.3146386,1.423519,0.9457775,1.3048284,0.6463447,1.2560627,1.070388,1.0075806,0.62840384,0.74340713,1.087097,1.166316,0.90772676,0.9810444,0.9270461,1.4222652,1.1922791,0.5567579,0.8618182,1.1942279,0.78504276,0.77249825,0.6067335,1.0103234,1.1164882,0.74316204,0.7311171,1.1540276
bathtub,0.8071518,1.2522664,1.3658721,0.7340288,1.3481867,1.2889872,1.1895996,1.1458654,0.0,0.67458725,0.65788954,1.2523434,0.6823792,0.86795616,0.73972255,0.84236205,1.0592089,1.2751269,1.1839652,0.87232894,0.919297,0.923033,1.0287262,1.3369584,0.9796659,1.1448405,1.0508759,0.87457335,0.86996216,1.2516127,0.9885291,1.0978808,0.90490454,1.0414742,0.82251906,1.0307297,1.3783484,0.9286432,1.2714101,1.0804409,1.121252,1.1901284,0.6238096,0.4041779,0.9222973,1.1779767,1.0935937,0.79200804,0.88720393,1.2944502,1.2140251,1.376067,1.2291706,0.8484663,1.1182754,0.79645103,1.3031564,1.3890953,0.84903705,1.4700232,1.0115622,0.93861204,1.0853305,1.389118,1.3526375,1.0199772,0.8862857,0.8107182,0.9228151,1.1351429,0.7089577,1.0264115,0.9457505,1.3894069,0.94239724,1.091243,1.3380284,1.1690702,1.2736704,1.3443661,0.41283906,0.9123042,0.8480673,0.7795408,0.88481,1.1077693,1.1494421,1.171374,1.2433199,1.1020194,1.3806988,1.2219753,1.395363,1.089042,1.1743566,0.5406696,1.1221101,1.1575934,0.51960045,0.779989,1.2417078,1.0330676,1.2698344,0.4254321,0.30219042,0.52519447,1.4003091,0.98260355,1.1023307,0.9997776,0.85578316,1.184015,1.224242,0.75054437,0.652161,1.3093264,1.3649096,1.0585998,1.0577811,1.11465,1.2790699,0.7412737,0.7838894,1.1342379,1.4537237,0.47667503
bear,0.6237152,1.0196029,1.2224295,0.8476703,1.0919465,1.166769,1.0693415,1.2494234,0.67458725,0.0,0.7318443,1.1262826,0.8949133,0.86002386,0.67736214,1.0352105,1.2211095,1.2729229,1.3029796,1.3316965,1.0955092,1.156057,1.3044928,1.2452401,1.0944545,1.1261325,1.025718,0.9154526,1.1332612,1.2139775,1.2312055,0.899885,0.9934765,0.9331862,0.9205542,0.9323288,1.2106826,1.0854374,1.3389727,0.96737736,1.0774773,1.1844898,1.0823103,1.054856,0.9236733,0.86286193,1.1671803,0.162422,0.9192732,1.1231272,1.1543733,1.2705286,1.0619842,1.0017145,1.0740824,1.0730274,1.1072991,1.0550548,0.5840591,1.2664787,1.0543301,0.9787486,1.0460172,1.1922498,1.1993301,0.9853493,0.7909004,1.1069337,0.739816,1.1609915,1.0902199,1.1284308,1.1181846,1.1745617,1.1437137,0.9932447,1.1421037,1.0163462,1.1108251,1.1417942,0.986382,0.7042869,0.7884136,0.6294248,1.1866821,1.1337231,1.1004041,1.0999769,1.0056472,0.97109437,1.2005601,1.2207342,1.1659559,1.0432516,1.1552618,1.0477146,1.095034,0.9751302,0.72663635,0.77667093,1.0295808,0.84163415,1.1917213,0.86416614,0.9506648,0.68066627,1.1712499,0.9381988,0.73875,1.1118429,1.0627097,1.0478727,1.182429,0.73979235,0.95512456,1.2340822,1.1575114,1.0075568,1.1423151,0.9689564,1.2490829,1.0564005,0.78158224,1.1874932,1.2317015,0.7984315
