,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,eye,face,finger,fish,flower,fork,frog,glasses,glove,gum,hair,hand,hat,helicopter,horse,hose,jacket,jeans,knife,lamp,mitten,nail,napkin,necklace,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,shower,sink,slipper,soap,sock,soup,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.2862264,1.2954895,0.735095,0.8012282,1.3625373,1.1397809,1.3553195,0.79189914,0.8530616,1.1934404,0.909295,0.951674,0.5662021,0.8516687,0.62065643,1.1551754,1.2979829,1.1075008,1.318145,1.019487,1.1100118,1.3060635,0.71112627,0.9841033,1.3256615,1.1307995,1.1065114,1.0149202,0.88432217,0.9462025,1.3096491,1.0452777,1.441112,1.0548016,1.0398666,1.0181761,0.9981586,0.9216418,1.0337396,0.8987472,0.5444375,1.1456475,1.193487,1.1376241,1.0559267,0.26495272,1.2651181,0.7027984,1.2157987,0.8618957,0.8225155,1.0175704,0.71388954,0.8425394,1.1842971,0.89794254,0.9495522,1.0458448,1.296695,0.73106754,1.2767947,1.0982646,0.9528759,0.966975,1.041325,0.9177914,1.0238625,0.93961966,1.0934694,1.195451,1.0996609,1.2056592,1.1669722,1.1801883,1.1105288,1.3119171,1.2172241,0.9235388,0.87277335,0.52388686,0.90471405,0.9051039,1.2295153,0.93463236,0.93487173,0.7809466,1.3814632,1.1505015,0.9254237,0.82667273,1.0094278,1.2440263,0.86693805,0.9141896,1.4067745,1.2888417,1.2530586,1.1927274,1.1688149,1.1873503,0.8243029,1.2388818,1.3048161,0.910002
ankle,1.2862264,0.0,0.8919652,1.0863796,0.7364867,0.52085114,0.77871275,0.6603637,1.1919138,1.1988759,0.75264406,1.2217954,1.0223042,1.210191,1.1602083,1.1241894,0.72585404,0.909245,0.87778187,0.62996435,1.0527664,0.85629153,0.7314144,1.1025026,0.9407215,0.96519595,0.9942948,1.0208452,0.9276545,1.1372728,0.9631982,0.6542095,1.115131,0.84688723,1.1453279,1.2402446,1.1544437,0.99314505,1.1078472,0.9724115,0.94040924,1.2689633,0.7793351,0.35211372,0.734028,0.9763508,1.2864187,0.8334125,1.2365309,0.8656616,1.2598593,1.1468697,1.1774997,1.1477871,0.9371073,0.87957877,1.1677153,1.0307639,0.9472308,0.78712004,1.3378643,0.73928493,0.9808777,0.9525057,1.113463,1.020967,1.1600542,0.99971336,0.94356596,0.9272586,0.73625183,1.0712217,0.60560143,0.7217375,1.0833719,0.9052248,0.91637176,1.0617738,1.1992264,1.1140332,1.2034434,1.1652822,1.1818336,0.84076357,1.1829209,1.2375958,1.2244288,0.4844647,1.0722501,1.1157147,1.1988903,1.1407946,1.0423033,1.2193385,1.230341,0.74388254,0.75548375,0.7652288,0.85846794,0.6189717,0.8591196,1.246106,0.96153736,0.91882,1.1208459
apple,1.2954895,0.8919652,0.0,1.3360064,0.99803567,0.6970778,0.72650033,0.7396636,1.2786179,1.2925547,0.37821603,1.2775993,1.0732245,1.0943651,1.2432089,1.1333386,0.76348484,0.382084,0.8166002,1.0607352,1.0828896,0.898439,0.64141595,1.304688,1.0270913,1.1043606,1.0279015,1.2000523,1.2162541,1.2921748,0.99021953,0.43246508,1.2441894,0.5596018,1.1669288,0.9965353,1.3019086,1.1921736,0.9686747,1.0809994,0.9066128,1.1826853,0.89577144,0.65432036,0.6589695,1.0775812,1.2041041,0.62453794,1.0769001,0.77136993,1.214225,1.1937729,0.980934,1.130129,1.0353878,1.0036182,1.247055,1.318569,1.1235176,0.76616204,1.3379335,0.29329228,1.1044679,0.8870437,1.2980103,0.8579446,1.2121714,1.2652829,1.177139,0.8131523,0.64209366,0.37092233,1.1160967,0.8696812,0.80124426,0.8848851,1.0232588,0.8455698,1.2754135,1.0871103,1.1606563,1.1497176,1.2287359,0.7876222,1.2198869,1.222391,1.2875507,0.49207366,0.9115544,1.2238722,1.1498045,1.106253,0.9789556,1.2367759,1.3497076,0.4036932,0.5879444,0.86352706,0.594118,0.97058636,0.857932,1.2827357,0.98057693,0.18866599,1.2647786
arm,0.735095,1.0863796,1.3360064,0.0,0.96429694,1.1685677,1.2772956,1.2590761,0.7738389,0.6046514,1.2376946,0.7575312,0.7741765,1.0862846,0.5995691,0.9311213,1.0817847,1.3728956,1.1871197,1.1879665,0.87380403,1.2383624,1.3308285,0.9207124,0.9733188,1.1124612,1.1150508,0.9380157,0.78215015,0.61121666,1.0443616,1.3115258,1.0612572,1.4027829,1.0389974,0.980655,0.9345547,0.95470023,1.1629689,0.8117112,1.1841505,0.9214281,0.88838404,1.1490092,1.3017317,1.1574235,0.9480451,1.1798902,0.79329085,1.3769002,0.77694225,0.60729563,1.0741087,1.0434403,1.016539,1.1750507,0.6081542,0.5123203,1.0469849,1.3300596,0.55720586,1.1921016,1.0705854,1.1347996,0.83672124,1.2374485,0.67339873,0.6072374,0.83141077,1.1861753,1.2526442,1.3627225,0.8545243,1.1208056,1.3192558,1.2136794,1.2024075,1.2727408,0.816242,1.1664139,0.90158784,1.0633376,0.545737,1.0311383,1.0732473,0.8500074,0.71914935,1.23698,1.2705146,0.83060956,1.0403876,1.1547397,1.1372237,0.6366667,0.7886058,1.4449105,1.0559366,0.9401314,1.2750267,1.135565,1.2688913,0.8897916,1.169545,1.3474126,0.88263965
ball,0.8012282,0.7364867,0.99803567,0.96429694,0.0,0.6206944,0.86888295,0.85471225,1.0606587,1.0589434,0.89126015,1.1069382,0.9125062,1.047357,1.0193474,0.946454,0.94644636,0.9423984,0.96236145,0.9425973,1.0183008,0.8732583,1.083698,0.90749073,0.95251226,1.2783794,0.98657197,1.0920295,0.9513696,1.0365174,1.0541711,0.9112905,1.232529,1.0018007,1.1019948,1.0748898,1.2831746,1.1698525,1.0389869,0.8884713,0.7192145,0.98116976,0.8726706,0.77937895,0.91199374,1.1618019,0.9380002,0.9724735,0.8687527,0.6950335,1.175624,0.995644,0.9469911,1.0632894,0.87385213,1.1103575,1.1010011,0.960848,1.0769451,1.0978067,1.0615985,0.78129286,1.0094943,0.7463038,1.1847602,1.0521175,1.0828171,0.9793018,1.0275774,1.2008945,1.107562,1.0319213,0.86355746,0.83355933,1.0721161,0.8687135,1.0028459,0.9911913,1.1474138,1.0763781,1.0305492,1.2029009,1.0612079,0.97972625,1.1635857,1.160987,1.0756297,0.8341358,1.0072389,1.0875273,1.0943675,1.1433461,1.0690963,1.1267847,1.1612278,0.96205765,0.88339376,0.94193274,1.1386129,0.95123553,0.80499977,1.0978097,1.1152958,1.0600959,1.1793586
balloon,1.3625373,0.52085114,0.6970778,1.1685677,0.6206944,0.0,0.78171813,0.550588,1.3073862,1.2065811,0.7516446,1.2251679,1.0606908,1.2499647,1.1279864,1.1799941,0.85415465,0.75865036,0.8752645,0.68334603,0.9001084,0.7723843,0.80144256,1.1926134,1.0418583,1.0052793,0.868618,1.1274589,1.0158006,1.169323,1.0761005,0.68481505,1.1078551,0.71747756,1.1191814,0.92801166,1.2848618,1.2099993,1.0918167,0.79518366,0.9404913,1.2866933,0.56317806,0.50919926,0.71581155,1.0768586,1.3390131,0.7624403,1.1067922,0.6472062,1.3159337,0.97297686,1.0283296,1.2033887,1.0250617,1.0368322,1.2448623,1.0337378,1.0961604,0.8715979,1.282815,0.50448525,0.9688996,0.80751646,1.2591538,0.98792374,1.2367868,0.9998168,1.0570544,1.1073022,0.94437194,1.00249,0.6673023,0.67971164,1.0245731,0.788347,0.90756065,0.8182614,1.2262442,1.1083472,1.2636026,1.2406051,1.2172911,0.81564796,1.2510228,1.2434255,1.3122948,0.5002474,0.96015376,1.1025681,1.1605732,1.1309332,0.96602315,1.2843366,1.2741351,0.68853307,0.5088916,0.6811738,0.9454326,0.72962224,0.71399415,1.2524655,0.9728,0.8329301,1.2967479
banana,1.1397809,0.77871275,0.72650033,1.2772956,0.86888295,0.78171813,0.0,0.7393796,1.2721388,1.4051466,0.73584855,1.3502886,0.9950812,0.9233287,1.3096962,1.1786785,0.8522321,0.76115704,0.8180678,0.979432,1.0187591,0.74230814,0.75385296,1.1744556,1.1117654,1.0346929,0.91329426,1.1619799,1.1681287,1.3505954,0.86560154,0.3498447,1.2515512,0.6595532,1.1546896,1.0765293,1.3443223,1.1962048,0.95907724,1.1018374,0.73231137,1.1701875,0.89801496,0.6427108,0.2864225,0.92437816,1.0062356,0.82398665,0.9531857,0.65360045,1.3409803,1.2094758,1.0712745,1.1147938,0.9330491,1.008655,1.2656051,1.1785284,0.9977759,0.8124201,1.3151813,0.8132991,1.0342313,0.8268481,1.3444499,0.76971143,1.2728877,1.2051471,1.1235914,0.7888606,0.63621396,0.75305146,1.0233799,0.63115567,0.8439702,0.75742435,1.0120033,0.8801254,1.161207,0.91036505,1.1777232,1.1104784,1.3070154,0.8489151,1.077457,1.2849987,1.3056185,0.68793696,0.97499126,1.2014959,1.0460857,0.9431133,1.0801605,1.3418372,1.384475,0.64713967,0.8374774,0.6762379,0.81684136,0.8472144,0.70457274,1.2234237,0.981542,0.8342073,1.3471936
basket,1.3553195,0.6603637,0.7396636,1.2590761,0.85471225,0.550588,0.7393796,0.0,1.3495654,1.2604107,0.6998222,1.2584785,1.1020875,1.2406908,1.2536981,1.1666193,0.72186685,0.7630739,0.82993114,0.41683376,0.9321515,0.6403302,0.7294092,1.1418761,1.0543085,0.8408495,0.9828997,0.99683905,1.0059273,1.2036779,0.9718975,0.62215424,0.89000887,0.5559098,1.1190873,1.0194691,1.1701396,1.0957955,1.0654743,0.88897014,0.83875805,1.2982154,0.81288826,0.6711247,0.79894865,1.0231923,1.3332074,0.73622406,1.1941103,0.80572385,1.299893,1.1819823,1.0635731,1.2097313,0.97810507,0.9713646,1.2883431,1.0325134,0.98957485,0.8675288,1.3094413,0.6829599,0.9593365,0.96347564,1.1737881,0.94979066,1.2752616,1.0584985,1.0607176,1.007976,0.81904936,0.8975608,0.85020036,0.648628,1.0284767,0.8650318,0.88875496,0.8263961,1.1165928,1.1225319,1.2314289,1.2777462,1.295328,0.8293997,1.1774914,1.1934936,1.3630452,0.5765717,1.013052,1.1107112,1.1507936,1.0711218,1.0267651,1.329135,1.2567892,0.5541241,0.6509651,0.7082299,0.87271786,0.74194,0.6947716,1.1830676,0.8061604,0.6992537,1.1927243
bathtub,0.79189914,1.1919138,1.2786179,0.7738389,1.0606587,1.3073862,1.2721388,1.3495654,0.0,0.74599504,1.2409358,0.8346964,0.7353158,1.0630264,0.814419,0.8805332,1.0594518,1.2321854,0.98412323,1.2367876,1.1714559,1.1755824,1.1766533,0.9319281,1.0072968,1.0583136,1.17552,0.96700406,0.8618922,0.7402226,1.0634947,1.3426183,1.054569,1.2941962,1.1014614,1.1101199,0.80624044,0.6615219,1.2020681,1.0593508,1.169583,0.86111736,1.170314,1.2801242,1.2761017,1.0682647,0.9840966,1.2357566,1.050275,1.2148057,0.8509914,0.94651604,0.83396924,0.9950299,1.1756941,0.945666,0.8619137,0.9375497,1.0239851,1.0908244,0.73717445,1.193649,0.8858888,1.1684245,0.70058686,1.1986231,0.78523433,0.90383214,0.84974885,1.1044837,1.1894344,1.2700807,1.1313403,1.2214444,1.2299343,1.091348,1.2326237,1.2167531,0.8979393,1.1008303,0.8727497,1.0216825,0.7899446,1.2482256,0.83394074,0.6529594,0.033763885,1.3171089,0.9794391,0.95101935,0.83021784,1.0153135,1.1122613,0.8550212,0.6618355,1.2195392,1.2662383,1.1770508,1.146683,1.1508667,1.2941294,0.70941466,1.2207311,1.1981877,0.81694216
bed,0.8530616,1.1988759,1.2925547,0.6046514,1.0589434,1.2065811,1.4051466,1.2604107,0.74599504,0.0,1.3331907,0.12357378,0.74391556,1.2470924,0.12782311,0.94941056,1.2808179,1.3663398,1.2390987,1.1400611,1.0589203,1.321927,1.461781,0.8775687,0.8688108,0.84450907,1.2339987,0.7366438,0.69982463,0.118284464,1.1471243,1.4764315,0.68604434,1.490141,0.7479539,0.84411985,0.7783401,1.0403765,1.1541178,0.9319379,1.2765334,0.862644,1.2578113,1.3834617,1.3833371,1.280323,1.0610621,1.2713847,1.1447239,1.4198472,0.6074415,0.9211841,1.0093439,1.0954106,1.2954866,1.2661874,0.5742756,0.5755007,1.21959,1.3764024,0.47847652,1.2138679,1.0094956,1.3680363,0.59605145,1.1927714,0.43513346,0.6102264,0.9896106,1.4288112,1.4989458,1.3799685,0.64485794,1.208621,1.2319876,1.301509,1.1568497,1.2751341,0.84341514,1.1413873,0.8843391,1.2721164,0.46888465,1.0320883,1.0467836,0.5567516,0.7269704,1.2845395,1.2232758,0.8811705,1.0144333,1.2598681,1.201452,0.48050463,0.47124696,1.4460156,1.2543019,1.1493591,1.469024,1.1171306,1.3108562,0.82017434,1.120024,1.2465914,0.6603181
