,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,couch,crayon,crib,cup,deer,dog,doll,door,drawer,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,plant,plate,pony,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.9223448,0.71687245,1.2376188,0.93730056,0.56583935,1.0033458,0.87104684,1.2466114,1.3755214,1.1099684,1.2333009,1.1994729,0.91879815,1.1137643,1.014234,0.79964554,0.9276918,0.9057034,1.2229465,0.775882,0.87017363,1.0720834,0.7404116,0.883898,0.7782656,1.0623358,1.3558954,0.85859746,1.2871563,1.2723182,0.6227346,1.352603,0.78466135,0.97169095,0.9919972,1.0681015,1.1468906,0.90396684,1.0436904,0.9349341,1.0506243,1.0057907,0.49614555,0.85876644,0.8546461,0.8911902,0.9754569,0.7567872,1.3095376,1.1070865,1.1163366,1.1322882,1.2163693,0.9104995,0.86077845,0.9951223,1.233316,1.2859911,0.82640094,0.8085474,0.6062777,1.3624313,1.1097572,0.719934,1.017906,0.8587449,0.7817575,1.1882006,0.9762382,1.285415,1.3312509,1.3100976,0.5523188,0.5756635,0.98618644,0.8921317,1.119862,0.93706846,1.166323,0.91953975,1.2438977,0.7150581,1.272315,0.90557337,0.5613032,0.88870347,1.2569582,1.1330684,0.7186139,1.0638763,1.2345347,0.82317114,0.73320055,0.8831941,1.1024553,1.3435827,1.2363541,1.2725044,0.9338596,0.9474753,0.9629375,0.9544454,0.91288275,0.9288173,1.2289933,1.0593876,1.1389935,1.1276445,0.85755813,1.1178887
ankle,0.9223448,0.0,0.84214294,0.91380477,0.8270001,0.81444293,0.866563,0.9115696,1.3333471,1.2838991,0.6287329,1.2064754,1.0841715,1.0231524,1.1143811,1.2008247,1.2046874,0.8737,1.252785,1.4332737,0.8471861,0.97876334,0.82887805,0.7959948,0.89857674,0.7476306,1.0506549,1.1515704,0.9611439,1.2506171,1.2134913,0.7457522,1.3088672,0.8076862,0.8153562,1.1955396,1.1852405,0.97996074,1.0163707,1.1971134,0.61548424,1.0831443,0.55589974,0.70597756,1.1745801,1.0074316,1.2316567,0.9061109,0.68609667,1.0041205,1.2002629,1.2549179,0.9576557,0.9045113,0.70326793,1.0658904,0.9660507,1.2208096,1.1112568,0.79968905,0.9489659,0.83120406,0.8907981,1.1168088,0.55015135,0.6983551,1.0619792,0.88866323,1.1526368,0.95729846,1.0658064,1.0704556,1.2701492,0.7552923,0.8362148,1.0275067,1.0960274,0.89190936,0.9688887,1.384693,1.1517987,1.123647,0.9073093,1.2844945,0.8807627,0.9981612,1.1552352,1.0649579,0.76863426,0.9115943,1.277484,1.1637899,0.57013017,1.0741717,1.0199852,0.82914436,1.2111906,1.2090085,1.4250553,1.0245812,0.5645523,0.786548,1.0382944,0.6196665,1.2491071,1.4086559,1.1578339,1.0346917,0.92811924,0.52340823,1.0827241
apple,0.71687245,0.84214294,0.0,1.344528,0.70451933,0.30160856,1.0139749,0.7171017,1.41467,1.3886788,1.128487,1.2505442,1.2984283,0.95412856,1.0584086,1.1528519,0.95502764,0.6169426,0.7039132,1.2677274,0.6073612,1.1919198,0.82075346,0.45098668,0.89986897,0.41385627,1.2445879,1.348065,0.80764306,1.3124266,1.2662377,0.45861506,1.3598356,0.39367586,0.92773515,1.0861076,1.2339748,1.2003909,1.1677592,1.0013481,1.1505194,1.1397164,0.9571534,0.46948665,0.6466781,0.8959478,1.0767144,0.8010234,0.54543316,1.306486,1.2160002,1.1598719,1.226479,1.2818623,0.6586032,0.89405173,1.2127585,1.2474215,1.3490236,1.1083076,0.79158735,0.724277,1.3162007,1.1461846,0.37026864,0.86949384,0.8101419,0.46883827,1.2461514,1.0715917,1.2861073,1.3581583,1.3913646,0.71130854,0.8656269,0.8053845,0.97924757,1.087811,0.81025594,1.2189052,1.0423784,1.2129138,0.5991149,1.334759,0.9947677,0.92286557,0.9924327,1.3136873,1.0799645,0.3721099,1.1855117,1.233933,0.6561571,0.79554904,0.7865477,0.92805046,1.2522695,1.2883425,1.3306563,0.7852812,0.8080236,1.0058388,1.1486804,0.78803146,0.9616703,1.2902282,1.1319433,1.0772027,1.1144462,0.6936268,1.266105
arm,1.2376188,0.91380477,1.344528,0.0,1.2303476,1.2879897,1.1242157,1.2668308,0.80940324,0.80932784,0.74447143,0.77009887,0.78267926,1.2278666,1.0873599,1.1213982,1.1561003,1.2525162,1.249147,0.9302768,1.1370206,0.9620052,1.1304173,1.2647607,1.1538026,1.2549717,0.86171484,0.80676496,1.1298829,0.8802134,0.7978419,1.2209665,0.93301225,1.3600721,1.1246232,1.1548343,0.95855784,0.873243,1.0681465,1.0873,0.99476963,0.9294827,0.7121136,1.2923405,1.3044708,1.3017514,1.1710267,1.2014627,1.1563454,0.7011802,0.9856474,0.97104025,0.7318052,0.4696079,1.0904742,1.1892333,0.8055601,0.70461136,0.7354798,0.94894224,1.1631969,1.2695997,0.5779812,0.9057006,1.116236,0.9955772,1.2479206,1.2933362,0.893695,0.99461687,0.7057447,0.55904406,0.77382314,1.1847064,1.1143154,1.0512137,1.1877979,1.0294471,1.3115608,0.9167872,1.1349854,0.8487135,1.2737622,0.9037943,0.9318435,1.1906687,1.1259226,0.5078819,1.0059153,1.2667098,0.918756,0.7837713,1.133312,1.2127686,1.2832098,0.9987463,0.9539637,0.68514276,0.8302353,1.2223544,0.941694,1.0700579,0.74966896,1.0757731,1.23375,0.8785249,0.9966964,1.0913774,0.85348195,0.8734088,0.96335167
ball,0.93730056,0.8270001,0.70451933,1.2303476,0.0,0.77688026,0.9601852,0.8574964,1.3663735,1.2310296,1.0600868,1.236511,1.1677794,0.97457266,0.97420466,1.109064,1.1270701,0.7432111,0.9379771,1.1277285,0.9554166,1.1348361,0.8543359,0.85513675,1.127589,0.8052746,1.0806776,1.2986159,0.7887868,1.1620718,1.2215972,0.81393677,1.2377099,0.69562954,1.0647408,0.96884286,1.0877036,1.2930977,1.1203191,0.896828,0.9624026,1.143362,1.0663037,0.68164295,0.7751473,0.69951427,0.8715656,0.8662554,0.780116,0.9718125,1.1486775,0.86652017,1.1405526,1.1918777,0.7131895,1.012559,1.0973123,1.2094026,1.3160596,1.0684979,1.0870584,0.8541981,1.036819,1.0731807,0.7563156,0.9640253,0.7686769,0.7435783,1.2107081,1.0598791,1.2646625,1.2808353,1.1702309,0.9420527,0.93841434,1.0115621,0.99178314,1.0158963,0.70257074,1.0970289,1.0383003,1.0304044,0.8476669,1.2390997,1.0028154,0.8740566,0.9005943,1.3042276,0.90239763,0.7921607,1.2397841,1.1359799,0.7641089,1.0076594,0.93422955,0.7497242,1.1099567,1.2632369,1.1982905,0.7063106,0.92500275,0.87876284,1.0875965,1.0101564,0.74237496,1.1454947,1.0716594,0.91854185,1.0553116,0.87528324,1.2938589
balloon,0.56583935,0.81444293,0.30160856,1.2879897,0.77688026,0.0,1.1009165,0.65609795,1.36952,1.357797,1.1635329,1.1976268,1.2740266,1.0282404,1.1538229,1.1823487,0.9360237,0.5604274,0.8093256,1.318625,0.6665612,1.1573368,0.81380033,0.2988602,0.95807314,0.6586584,1.184479,1.2899672,0.79030704,1.2110816,1.2195783,0.54936594,1.3969908,0.44598424,1.0500557,1.0617076,1.3140848,1.0697103,1.0245208,1.1374038,1.1089629,1.0909681,0.98771197,0.5408361,0.76554346,0.95586705,1.2100906,0.7823584,0.49750334,1.344368,1.1232882,1.2253784,1.1262838,1.3210541,0.6510799,0.9767423,1.1912678,1.2483577,1.2943299,1.0306019,0.8063888,0.5184678,1.3367876,1.2234608,0.3294102,0.8161986,0.82041204,0.72351813,1.053196,1.0097331,1.2130728,1.3250327,1.3691891,0.55061454,0.7461898,1.0354979,1.0356579,1.0844043,0.87489426,1.2599392,1.0856066,1.2031375,0.57747686,1.2100291,0.9521863,1.034736,1.1394439,1.2322953,1.1175662,0.2009455,1.1395721,1.3064945,0.565068,0.67571497,0.9561152,1.0105846,1.2484468,1.2595162,1.3235819,0.9033759,0.83454204,1.0652303,1.1601266,0.7234912,1.1131663,1.3223953,1.0885301,1.0305101,0.9804236,0.61419386,1.1197206
banana,1.0033458,0.866563,1.0139749,1.1242157,0.9601852,1.1009165,0.0,1.0785916,1.1856586,1.2557609,0.8720429,1.2364358,1.0696236,0.8387223,0.9085002,1.0305241,1.2277117,1.0479887,1.1292948,1.2012715,0.89692396,0.8795653,1.0406454,1.0452912,0.9730743,0.8207227,1.0177608,1.1934586,1.044845,1.174293,1.2384919,0.9723795,1.2001619,0.94042164,0.7769334,0.9640523,0.93690795,1.0220325,1.0314488,0.8036532,0.8097216,0.9729625,0.7678312,0.6792718,1.103252,0.92339665,0.81613964,0.9895106,1.0324929,0.9389101,1.1724604,0.9862615,1.0187347,0.83168083,0.92535335,0.8897518,1.0722047,1.1608331,1.1113038,1.0385532,1.0004753,0.98587227,1.0299648,1.0721898,0.90451676,0.91996545,1.0293926,0.7368632,1.2000608,1.0772429,1.1531653,1.1223414,1.1532946,0.9615076,0.9333028,0.7982644,0.90647113,0.9811826,0.99800104,1.161132,0.91866326,1.0970066,1.033743,1.2099156,1.1317809,0.80948424,0.92771286,1.067047,0.94223773,1.0739605,1.1960601,1.2057276,0.9358896,0.96753377,0.7621955,1.0148331,1.1457543,1.1255114,1.2442268,0.9921091,0.5942741,0.7574222,1.0178626,0.8584142,0.9511366,1.2052306,1.1380148,1.0482237,1.0789868,0.93714637,1.0783501
basket,0.87104684,0.9115696,0.7171017,1.2668308,0.8574964,0.65609795,1.0785916,0.0,1.3094761,1.2184215,1.0701197,1.1622311,1.3602499,0.98029697,1.0216103,0.9701073,0.8451109,0.584571,0.91217726,1.1899657,0.79302454,0.9421188,0.47822422,0.5361664,0.7684562,0.81025845,1.3885196,0.94474655,0.8252704,1.0849087,1.2688637,0.76585305,1.03439,0.5086508,0.8782647,1.0611295,1.0629725,0.95767474,0.7426997,1.202547,1.0232404,1.2296598,1.0830275,0.8540546,0.8128896,0.7805796,1.156636,0.6686628,0.6357691,1.2077785,1.2223573,1.251573,1.2719479,1.3236027,0.7143228,0.89208156,1.1485249,1.3339453,1.3123734,0.9431583,0.7706021,0.72430944,1.3254682,1.1563618,0.82705015,0.7129851,0.7606237,0.9352819,0.9677023,1.127647,1.3712764,1.3401635,1.2325898,0.81036055,0.8317211,1.1114393,0.9421759,0.79175353,0.71105814,1.296886,1.021355,0.85643876,0.62724197,1.0604161,1.0656639,0.9431456,1.055783,1.3916874,0.835808,0.63759243,1.1195658,1.2220633,0.6631888,0.94394493,1.0122204,0.9052018,0.91690284,1.3609195,1.3340864,0.83168375,1.0456438,1.1055262,1.2029121,0.5822607,0.99049807,1.2781389,1.1451124,0.69205993,0.75669444,0.77390385,1.0405141
bathtub,1.2466114,1.3333471,1.41467,0.80940324,1.3663735,1.36952,1.1856586,1.3094761,0.0,0.49030948,1.2039713,0.51662725,0.7857503,1.2194357,0.94782215,0.913005,0.89998275,1.2959912,0.907197,0.57709575,1.2598748,0.9475503,1.1914113,1.3476377,1.0967622,1.4490272,0.7238006,0.65572315,1.3042169,0.535559,0.5626902,1.3265702,0.56313396,1.4683971,1.203805,1.0150127,0.9440068,0.6721952,0.75936365,0.9674989,1.1332271,0.88781744,1.2404097,1.4924474,1.1583104,1.2982854,1.1248741,1.2273498,1.4218342,0.9530076,0.717618,0.9451789,0.79498565,0.9319694,1.3574996,1.2436223,0.74503547,0.7355384,0.6470643,1.0089408,1.1361036,1.2247849,0.9002985,0.8904231,1.4526346,1.1235406,1.2157583,1.3223264,0.6156373,0.8824817,0.7227355,0.64767027,0.45764887,1.226937,1.1673402,1.0620807,1.1302831,1.1375928,1.2488883,0.6056765,1.1008239,0.8395341,1.3712513,0.5446856,0.9996912,1.3429782,1.1603305,0.6998967,1.2469981,1.3747579,0.3737445,0.6612183,1.4267675,1.1006662,1.199808,1.0161655,0.93608433,0.71463734,0.50276345,1.2411404,1.3703952,1.2029215,0.7879058,1.2407382,1.1626142,0.543037,0.8309523,1.0614996,0.97111124,1.4875059,0.65281653
bed,1.3755214,1.2838991,1.3886788,0.80932784,1.2310296,1.357797,1.2557609,1.2184215,0.49030948,0.0,1.1275644,0.25830066,0.5734451,1.1795056,0.7725669,1.03447,0.9851002,1.3258187,1.1682806,0.75691795,1.2442263,1.1348373,1.255113,1.3949674,0.9912071,1.4529064,0.5908798,0.41573393,1.3010089,0.66664326,0.2080841,1.5141803,0.33807623,1.4768529,1.2054957,0.8204402,0.8244714,0.8415024,1.0339967,1.0563648,1.1177416,0.84566617,1.3209982,1.5146652,1.2521417,1.2186757,1.2225412,1.1537253,1.3536677,0.89453405,0.59316564,1.0585384,0.75720847,1.034919,1.2275828,1.1585252,0.9294331,0.5989837,0.60450715,1.031239,1.3007045,1.3943212,0.74438274,0.8385932,1.3799479,1.2350159,1.2828243,1.4316393,0.65507996,0.88453245,0.59402627,0.6297811,0.6651928,1.3827289,1.3641717,1.141274,1.1287062,0.7744198,1.2095606,0.82740104,1.0685889,0.87953967,1.3096472,0.6158124,0.78366435,1.3282974,1.3304205,0.6273436,1.109269,1.315005,0.8708054,0.635825,1.3399909,1.2013297,1.2399968,1.1480703,0.6358944,0.54268926,0.5995978,1.2700392,1.3596859,1.268832,1.0784969,1.3395823,1.2275751,0.7424386,0.8039385,0.9704618,0.9900751,1.4373982,0.7307608
