,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,0.9203764,1.1180017,1.0294712,0.90064776,1.1301136,1.2471775,0.96633863,0.9617747,0.9806679,0.93218,1.1574959,0.8451003,1.0579268,0.53699505,0.812056,1.013824,0.86002994,1.1620309,1.1047846,0.9022405,1.0995319,0.91972077,1.1842537,0.8101593,1.1470279,0.8087238,1.1670523,0.7417569,0.9001577,0.9578736,1.0801888,0.9619582,0.94796026,0.87976253,1.0153,0.99643475,0.87152123,0.87581396,1.1583769,0.8791994,1.1543205,0.7618371,0.9807765,0.6485993,0.8189739,0.96612644,0.76766086,0.9981326,1.2808145,1.1798792,1.0429533,1.040679,1.242502,0.9685244,0.8198197,0.9642817,1.1308028,1.063967,0.62729293,1.0045114,1.2615314,0.9970798,1.0298425,1.0457242,1.1478395,1.1295173,1.2422948,1.0756075,0.7737485,0.9040289,1.0180355,1.0954088,1.0462581,0.9284737,0.8924153,1.031187,1.0054231,1.0438803,1.0079855,0.9377899,0.9683729,1.2428346,1.0689236,1.3515904,0.89994645,1.2180448,1.1805478,1.2293701,0.9248873,0.9236455,1.0292313,1.0535175,0.87707484,1.1164601,1.1100998,0.7694765,0.92932576,0.9168446,1.0276358,1.0249428,1.0271761,0.70375204,1.221055,1.1708589,0.7690381,1.0448852,1.2308085,0.91107875,0.9573035,0.79276603,0.96928185,0.9740767,0.7718752,1.0123471,0.9474201,1.0441011,1.0877048,0.9202492,0.9727653,1.0330338,1.171094,0.98844343,1.1275961,0.94836366,0.98668003,1.0244387,0.9702767,1.2618232,1.2820538,0.8608039,1.0072726,1.049428,0.96103317,1.075299,1.2538782,1.161167,0.99442506,0.92234755,0.9005337,0.94493526,0.99883944,0.98529,0.94943035,0.8917481,1.2514392,0.85626423
ankle,0.9203764,0.0,0.8406788,0.8177277,0.91087705,0.96397483,0.8218506,0.946948,1.0153128,1.1062168,1.1820188,0.7359313,1.0256531,1.0798254,1.0434972,1.0688818,1.1728692,1.1409428,0.93419236,1.053608,1.0897653,0.8493817,0.9955023,1.0040272,1.1288475,0.69848865,1.1031276,0.9215066,1.0759604,0.9212512,1.0728704,0.88694525,1.2323143,0.8801731,0.9128206,1.0203189,0.95192844,1.0019095,0.91116744,0.7602658,1.1879613,0.84857804,1.0013696,1.1743833,1.1557148,1.1589291,1.0198305,0.9164277,1.1473799,0.9262608,0.81679714,1.0354594,1.2138133,0.72981757,1.2245373,0.8131585,1.1528631,0.5441424,0.8249332,1.0376564,1.2218589,1.0007504,0.68252254,1.1881576,0.99855894,1.1007258,0.8725842,0.97227347,1.0116687,0.98754805,1.014718,1.228993,1.0876795,1.0532073,0.7564801,1.0794907,0.80503666,1.2648137,0.90222526,0.9302587,0.9216057,1.1967174,0.9324229,1.0697987,0.92713076,0.63729763,0.76016295,0.88595784,0.9403279,1.0368798,1.0909716,1.1656694,0.9746083,1.1571503,0.7017894,0.71659184,0.9042866,0.68988675,0.8851269,1.2076817,1.1351731,0.9792233,1.0417477,1.0285697,1.0262371,1.0930834,0.8861239,0.8941918,1.1238421,1.1081474,0.9762356,1.1152844,0.97322905,0.9298784,1.1250005,0.88180804,0.93750465,0.78437895,1.0516843,0.8854718,1.1460061,0.7593411,1.0982497,0.9622197,0.5455519,1.1698921,0.82506245,1.0862895,0.9115369,0.8656346,1.2030369,1.1527369,1.2356158,1.2421745,0.7775888,0.6342012,0.847482,0.8176998,0.69081706,1.1253589,1.1695399,1.1441437,1.1954906,1.2406738,0.8298053,0.8039948,1.0228996
apple,1.1180017,0.8406788,0.0,1.061149,1.4031801,0.7184262,0.52289957,0.40114284,0.7717439,1.4788085,1.4535213,0.7949258,1.272984,1.3979788,1.0273764,1.5173631,1.4139504,1.2972486,0.5502164,0.7277494,1.3731005,0.5295022,1.1626194,0.87901795,1.2680435,0.7469095,0.8668008,0.69821596,1.3973634,1.2103488,0.79924226,0.6615559,1.2613178,1.1011629,1.2566679,0.73974097,1.0657299,1.124819,1.2349665,0.6895955,1.4778152,0.6544734,0.8128419,1.2822089,1.1922543,1.1074094,1.1934404,0.98482877,1.2105806,0.7946821,0.3950225,1.3126721,1.2222104,0.81335115,1.2380455,0.7415129,0.9871104,0.84242034,0.6659239,0.81405985,1.2091722,0.6794714,0.6832406,1.293467,0.7813672,1.2044333,1.1203405,0.6547022,0.8237094,0.7208729,1.2750835,1.4677608,0.92160916,1.3970367,0.72247124,1.0225075,0.6554658,1.2659733,0.416039,1.1268786,1.3174441,1.284716,0.9899063,1.0032454,0.65443635,0.93466103,0.86185575,0.87901306,0.26088393,1.3730685,1.0454582,1.4774189,1.3538768,1.432312,0.811346,0.7322465,0.690271,0.36106628,0.65886456,1.0152692,0.7899487,0.77591395,0.90092933,0.42781866,0.36375463,1.0588706,0.71946406,0.610613,1.3517988,1.1309323,0.7492913,1.1791506,1.299438,1.0887644,1.4533445,0.9236629,1.2362514,0.59193575,1.2159889,1.0109798,1.2969899,0.6335706,1.1762357,0.6212199,1.0712938,1.0815703,0.6707052,1.1079682,0.77798015,0.57050776,1.2873219,1.441522,1.2862892,1.5499887,0.4962067,0.6378589,0.76586723,1.226568,0.9351126,0.80946004,1.2676184,1.1108565,1.1826992,1.1257946,0.9219735,0.6878867,1.2669241
applesauce,1.0294712,0.8177277,1.061149,0.0,1.0595193,0.9645244,0.8387732,1.0583112,1.0463812,0.9029125,1.0108013,0.9172111,0.96158653,1.0486826,1.0749722,1.0296698,0.9470747,1.0348959,1.0725806,0.8467773,1.025846,1.0453539,0.91841894,0.8174771,1.1259475,0.8508607,1.0705012,1.0311606,0.92973477,0.9538139,1.0754727,0.9378085,1.0248084,0.72511494,0.9338684,0.99406105,1.0135533,0.96859634,0.894099,1.0404593,0.993367,0.9460473,1.0050013,1.061836,1.0296904,1.160834,0.8825998,0.9475612,1.1053891,1.1248955,0.98921573,1.0685766,1.0683038,1.0880181,1.0926712,0.8688258,1.1064281,0.9029702,0.9747409,1.0876139,0.8900851,1.1488345,1.0327129,0.9209001,0.9630414,1.0457805,0.9544209,1.1559246,1.0625234,0.96871006,1.0145386,1.0837259,0.9062224,0.9982773,0.9710362,1.041345,0.91211814,0.9902786,1.0250283,0.9331085,1.062615,1.0973921,1.0610887,0.94069695,1.1362374,0.82574165,1.0152615,1.0260686,1.0728682,0.9258987,0.9404175,1.0400336,0.9702707,1.026503,0.9508257,1.0095047,1.067635,0.93576324,1.0664065,0.95080674,1.04333,0.8651257,1.0626367,1.074866,1.0560797,1.1098082,0.97718567,0.9226331,0.93166965,0.8852931,1.0967325,1.0773854,0.993469,1.0894347,1.0037118,1.0343106,0.91964966,1.024925,1.0030851,0.7514523,1.0673063,1.0671207,0.9125853,1.1397705,1.0114177,0.85277367,0.95341486,1.0454576,1.0741282,0.9606502,1.0929948,1.0116293,1.0219828,1.029622,0.9007416,1.0740676,1.1365371,0.9237033,0.8994951,1.2556288,0.90235186,1.0105615,1.1205596,1.1434487,0.9767403,1.1840501,0.8071304
arm,0.90064776,0.91087705,1.4031801,1.0595193,0.0,1.2632701,1.4302183,1.2156368,1.313622,0.6722398,0.71569884,1.3429713,0.92316496,0.46088362,1.0429832,0.50660163,0.7986866,0.90504026,1.4534521,1.2814586,0.8183733,0.97766775,1.0044224,1.2646606,0.7619876,1.4102223,1.3599181,1.228527,0.5377173,0.8339834,1.2438731,1.4713556,0.80273104,1.0723658,0.8832592,1.0497963,0.9306293,0.9543441,0.65194464,1.3752968,0.75215554,1.443356,1.260462,0.9324796,0.8613293,0.9296155,0.92682827,1.0749741,0.87821317,1.0013064,1.2979295,0.6738555,0.82803416,0.82028866,0.79679143,1.3653668,1.0979356,0.9401037,1.320545,1.3336263,0.8649236,1.3693442,0.9403334,0.93913937,1.2720618,0.7062354,0.50729555,1.33485,1.298228,1.3753136,0.70752776,0.54235417,1.0666496,0.4726597,1.3354186,1.1940933,1.5047612,0.76377165,1.0371877,1.1497589,0.42233735,0.8414771,0.8387341,1.0505435,1.2980821,1.1491686,1.0429609,0.99667513,1.4031405,0.6867157,0.9337156,0.3778895,0.47561765,0.6765356,1.310661,1.229947,1.3621204,1.0858278,1.4379401,1.1049005,1.327541,1.3958521,1.205412,1.3200573,1.3009491,1.0752492,1.4069605,1.3032748,0.69921196,0.9793289,1.2726612,0.8412422,0.6494408,0.94834363,0.38418204,1.1393443,0.57265663,1.4839146,0.7014886,1.1109397,0.8190081,1.3457952,0.8722818,1.3133641,0.69799227,0.931316,1.3140609,1.0706862,1.3531032,1.3826108,0.9062044,0.46257788,0.9938681,0.5935201,1.4698305,1.06845,1.1445923,0.6836741,1.1290511,1.321297,0.87716013,0.9424689,0.905268,1.1180118,1.1909208,1.2086242,0.939359
ball,1.1301136,0.96397483,0.7184262,0.9645244,1.2632701,0.0,0.57422554,0.9413626,0.7406788,1.1845253,1.1563671,0.9238146,1.1413592,1.2508454,0.92774653,1.1617458,1.0465001,1.0513407,0.791149,0.79063046,1.0662515,1.1060343,1.1683605,0.789263,1.1293118,0.96515393,0.7993231,1.0691946,1.2235037,1.1035404,0.9733802,0.794151,1.2105298,1.0570769,1.1897188,0.9506658,1.0439987,1.0308344,1.3653741,0.9415011,1.2041404,0.6949032,0.8017164,1.0724679,1.0039654,1.0464854,1.1461967,1.0346407,1.0903071,0.9872875,0.7029563,1.011203,1.1348914,1.0214453,1.1479433,0.8598337,0.913963,1.0041823,0.9916153,0.8417876,1.1307197,0.9068984,0.9914271,1.0415022,0.70664287,1.2257676,1.1744075,0.80408335,0.9486543,0.81261635,1.0713943,1.1331328,0.8846262,1.2565521,1.0095077,0.9371791,0.8188036,1.084218,0.9435548,0.9863475,1.0924374,0.9416901,1.1488425,1.0513228,0.8710098,1.089921,1.0735551,1.0998145,0.7500177,1.2685016,0.8987834,1.2335681,1.2515347,1.1461095,0.89893854,0.97436935,0.8286542,1.0482605,0.89949024,0.93625844,0.8836445,0.9306545,0.89136565,0.73926115,0.7431048,0.8842622,0.8689429,0.83525234,1.2297695,1.0286028,0.97086304,1.0425858,1.1010181,0.9816599,1.2613902,0.725821,1.222615,0.78515923,1.2517414,1.1580081,0.98702884,0.8788886,1.0382411,0.9403311,1.0014781,1.1339728,0.9218999,0.9152145,0.9456149,0.700749,1.0608795,1.2271025,0.8640922,1.1333684,0.67726946,0.9762969,1.0444442,1.2191753,1.0558555,0.73011446,1.1435606,0.9798081,1.021908,0.86356854,1.0717456,0.95298505,1.223135
balloon,1.2471775,0.8218506,0.52289957,0.8387732,1.4302183,0.57422554,0.0,1.0443658,1.0447541,1.4381986,1.4592874,0.49037862,1.2732109,1.3254178,0.95604956,1.465003,1.3722708,1.2310319,0.5714226,0.88759524,1.3966837,0.7990646,1.1068382,0.9077084,1.175883,0.43812305,0.82656115,0.58485425,1.3871149,1.121818,1.145618,0.47981536,1.3824277,1.1338097,1.099218,0.6762316,1.1160285,1.1564325,1.2302861,0.4232294,1.4956675,0.6072508,0.7914026,1.2936639,1.325296,1.2005684,1.2020743,0.99741423,1.2594949,0.7632419,0.33027697,1.2380763,1.240706,0.7648036,1.3545187,0.5162973,1.1986471,0.6824136,0.7937403,0.7750424,1.1022595,0.5175667,0.74274266,1.2316918,0.84253156,1.1426456,1.1408986,0.5355065,0.7086191,0.6959971,1.3735867,1.4051217,1.1316029,1.284333,0.78724337,1.1323929,0.45516765,1.3931,0.9412354,0.9111093,1.2585119,1.2758756,0.80490315,1.0160533,0.36319834,0.8035757,0.7523079,0.86047554,0.40373647,1.4262323,0.9394916,1.4200568,1.23003,1.3941262,0.54168135,0.6193341,0.7430941,0.873385,0.62771606,1.1527138,1.0055187,0.8512584,1.0360541,0.48953098,0.58802974,1.2631581,0.55821264,0.3664912,1.4324124,1.1430795,0.7560198,1.0909789,1.2903453,1.1070206,1.381474,0.96051973,1.1905591,0.5375451,1.2824001,0.83162665,1.2302032,0.4889077,1.1442622,0.55158424,1.181125,1.2691841,0.7692417,1.1986473,0.5902647,0.2884708,1.3837898,1.3572496,1.2071445,1.4734164,0.42841578,0.4959814,0.6309296,1.085221,0.88882905,0.8143804,1.3923315,1.1979209,1.2881925,1.223353,0.91045284,0.54122543,1.219753
banana,0.96633863,0.946948,0.40114284,1.0583112,1.2156368,0.9413626,1.0443658,0.0,0.6799747,1.143502,1.1401193,1.1574293,1.0910747,1.2003348,1.1176289,1.1766036,1.1574504,1.1029425,0.8916527,0.7051866,1.0168186,0.7662733,1.0606017,0.75369936,1.2100463,1.0606583,1.0044965,1.0335376,1.2021906,1.0555761,0.67191976,1.0321366,1.0041028,1.0089101,1.12569,0.8761384,0.9088618,0.93359137,1.1152751,1.1108398,1.07726,0.81108916,0.9356858,0.9596873,1.0390267,0.9804685,1.0292577,0.93400663,1.0051492,1.0888342,0.88530254,1.184319,1.0850927,1.1171312,1.0207455,0.951495,0.8375289,1.0961058,0.7886084,0.9028338,1.0641124,1.1251128,0.9181523,1.170718,0.78498554,1.2034897,1.1447991,1.024754,1.0684214,0.9458977,1.0306933,1.1845114,0.807715,1.1973354,0.84717834,0.9446503,1.0009644,1.0206394,0.32000053,1.1704781,1.1609339,1.054127,1.2037171,1.0726964,1.1966444,1.0040871,1.1657119,1.1210102,0.784263,1.0431069,1.1594493,1.1988642,1.2347707,1.1210686,1.100406,1.0430775,0.8198271,0.48430336,0.9249903,0.89588624,0.82968426,0.75754553,0.92000455,0.8660927,0.7005027,0.7823716,1.0542369,1.1018867,0.9719386,1.1086754,1.025853,1.0756048,1.1265522,0.92076653,1.2035387,0.9464112,1.1035006,0.79312706,0.98556435,1.0555638,1.1007298,1.0872606,1.122088,0.97264,1.0055146,0.8665723,0.752391,0.97848445,1.083727,1.1141675,0.95954794,1.205305,1.1219084,1.1903403,0.75250745,1.1457813,1.1888188,1.0561597,0.9547489,0.8867127,0.90609556,0.96720046,0.9695698,1.0101267,0.96890354,1.1617863,1.0693682
basket,0.9617747,1.0153128,0.7717439,1.0463812,1.313622,0.7406788,1.0447541,0.6799747,0.0,1.129623,0.9200485,1.0858246,0.77356654,1.2541394,1.0182796,1.0864713,1.1268215,0.9691931,0.7169647,0.76524895,0.780437,1.0758699,0.9187418,0.58245254,1.1901724,0.8726314,0.8677503,1.1674128,1.2435145,0.7977399,0.7533746,0.96162933,0.89640176,0.7766863,1.0296608,1.1021614,1.0094466,0.7517817,1.1846813,1.1211262,0.76510465,0.5983132,0.94070375,0.9929728,1.0289592,0.96163857,0.8745518,0.92130065,1.050103,1.1612685,1.0378492,1.1162943,1.2021352,1.1638422,1.0759114,1.1142566,0.83697355,1.1234213,0.83713603,0.9821341,0.97402143,1.0342016,0.97746146,1.1757487,0.6249996,1.2982203,1.2090641,0.9544448,1.0359397,0.9037916,1.1198996,1.1973653,0.6921392,1.2915076,0.9430702,0.5881212,0.880226,0.9562469,1.0255845,1.0675939,1.2114449,1.0331638,1.3293432,0.88080025,1.1614629,0.8642432,1.1465266,1.1784945,0.8790285,0.95591295,1.0495176,1.2382541,1.271404,1.144333,1.0974727,1.0430322,0.8920884,1.0163195,0.7522079,0.7542534,0.7410635,0.7509954,0.8658513,0.9628821,0.9300008,0.50137615,0.8710076,1.1015419,0.9221934,1.1347036,0.9466626,1.2098483,1.0726374,1.056421,1.2686887,0.7741162,1.1227789,0.75836444,1.0710049,0.9773517,1.2086599,1.0066905,1.1789814,1.0315998,0.9607447,1.0924044,0.9540478,0.96038395,0.96401036,0.9578023,0.74144864,1.2342612,1.0639595,1.1802051,0.77244383,1.1995945,1.1610031,1.2164778,0.77370787,0.87499857,0.89912117,1.0913075,0.9185729,0.7992513,0.7494674,1.1087841,1.0007573
bathtub,0.9806679,1.1062168,1.4788085,0.9029125,0.6722398,1.1845253,1.4381986,1.143502,1.129623,0.0,0.51689154,1.4200553,0.5961555,0.74844486,1.1654512,0.53238404,0.20270693,0.81171405,1.474728,0.85455954,0.53550357,1.2876301,1.0787421,0.7343893,0.9509445,1.4275168,1.2469616,1.3408957,0.7144758,0.8411093,1.126784,1.378938,0.67705774,0.69508207,0.8793936,1.1392114,0.85381687,0.88553077,0.8143214,1.4905206,0.5316202,1.2247274,1.3674214,0.63746965,0.8997449,1.0756686,0.7790799,0.9424416,0.7824746,1.3110137,1.4296355,0.7461686,0.91374135,1.2604103,0.81628054,1.2400151,1.024147,1.2834966,1.2952224,1.3532498,0.7749466,1.5323337,1.487356,0.5414576,1.098109,0.9436699,0.98526603,1.5496162,1.3489751,1.4717782,0.63955855,0.64449644,0.86669374,0.7733512,1.1919866,0.9465992,1.3460598,0.6856167,1.092231,0.79537666,0.8204027,0.7474204,1.1802272,1.1622559,1.4728823,1.1282855,1.2540123,1.2193358,1.5640159,0.4972567,1.1553979,0.64479977,0.8053894,0.5987185,1.3647605,1.4115838,1.3859695,1.1960876,1.4121419,0.88443434,1.1927776,1.0570062,1.1697357,1.4572078,1.3783878,0.9708863,1.427313,1.4329715,0.5742469,0.70611423,1.5007415,0.73091936,0.8031493,0.91196865,0.7043791,1.1370798,0.9366543,1.3602712,0.67655724,0.7555594,0.39454013,1.5648253,0.66151416,1.3426331,0.9800482,0.8087375,1.1858466,0.9501372,1.4003612,1.4692109,0.89821714,0.7023822,0.6305435,0.41867304,1.3649944,1.4827589,1.4612572,0.83363,1.1248802,1.3271402,0.46881932,0.8090999,0.91865647,0.8779065,1.2451017,1.5184056,0.78032196
