,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.111367,0.91876763,1.2711535,1.2160089,1.1982305,1.0339637,0.9644613,1.1460295,0.96016836,1.3518562,0.55137956,1.2198472,1.4171673,0.77559847,1.3186772,1.0759516,1.0334113,0.7819991,0.85922706,1.2071218,1.1160733,0.9241894,1.0194852,0.84515965,0.7413821,0.6507767,1.2368283,0.95484227,1.1638576,1.2779105,0.48016244,0.95200026,0.9591234,0.86488384,0.8964983,1.356072,1.1689391,0.64560294,1.176481,0.8052851,1.1316698,1.2555945,1.0924543,0.6897434,1.2840443,1.1931825,0.89964074,0.82452893,0.9557238,0.8665698,1.1358157,0.64905137,0.8019273,0.48767012,0.5563416,1.2167636,0.7417437,1.3290057,0.98599994,1.0957735,1.2830484,1.3971632,1.0628581,0.82671654,0.5561471,1.2426966,1.0527899,1.3455079,0.8570793,1.0620507,0.44620836,1.1714247,0.9046,1.3836836,0.85841393,1.2305884,0.9879234,0.9642745,0.8438432,1.0114107,0.52232766,1.2048284,1.250592,0.9273593,1.3446616,1.2924852,0.9279057,0.61800325,0.65130717,0.7957231,0.8390841,0.6988406,0.7809298,0.9070813,1.21173,1.068541,0.701515,1.2037005,0.93921137,0.6906822,1.120252,1.180499,0.753197,1.3098863,0.9470693,1.311946,1.1388137,1.2536362,1.1723218,1.2212205,0.6536083,1.1077169,0.81753206,1.1231357,1.1512752,0.7728592,0.85743415,0.949207,1.0896152,1.2889146,1.2619525,0.83164734,1.0962684,0.95414686,1.1203661,0.95216584,1.0061635,1.0563853,0.7423079,0.8566086,1.0349365
ankle,1.111367,0.0,0.9908433,0.85857546,1.0513445,1.0239235,1.058642,1.222013,1.2455211,1.1181798,1.2644912,0.8202435,1.159123,0.9992803,0.9415497,1.1251346,0.9881182,1.1404895,0.9866075,0.9376692,1.2457,0.83634186,0.9199419,0.86183035,1.0013666,0.8671448,1.2323754,0.8074149,1.197836,0.97561044,1.0833416,1.1244422,0.771479,1.1815361,0.9253361,0.72935426,1.1895483,1.041293,0.9755137,1.2607385,0.9876344,1.1260569,0.87174267,1.1366216,1.0209063,1.0335273,0.59728426,0.8631749,1.0861616,0.8744923,1.1335136,0.6526685,0.8659618,1.1622074,0.9892307,1.1694131,1.2942642,0.9347843,0.50096107,1.1554708,0.9981227,0.92483014,0.91029143,0.620556,0.9788735,1.0507114,1.0325725,1.1234403,0.7002497,0.97406083,1.1371399,1.033624,1.2407056,0.9763031,0.6931787,1.176066,0.8422446,0.96766394,0.88571215,0.75412226,0.7588458,0.95740306,0.935755,1.1011771,1.0926976,0.8515285,0.72027546,1.1591768,1.0406592,1.0352908,1.1341786,0.9761192,1.097358,1.009304,0.94692653,0.74503523,0.94794583,1.1329395,1.2214856,1.1499355,1.1521667,1.1961704,0.84393466,1.3033148,0.9780535,0.84287906,0.749574,0.9730067,1.1672562,1.1425363,1.2945397,0.782284,1.2521305,0.86440647,0.2703889,1.037328,0.6760136,0.8399968,0.9476471,1.1960821,0.8652429,1.2684705,0.9046134,0.43423003,0.8059583,1.1991816,0.76608586,1.191013,1.0952901,1.143486,0.7415354,1.194654
apple,0.91876763,0.9908433,0.0,1.3968437,0.41351002,0.6287494,0.9185251,1.032738,1.2910256,1.1787081,1.4039123,0.73094445,1.4980524,1.3776262,1.100065,1.4499626,1.1244166,1.0829704,0.54643124,0.5101362,1.2559128,0.930056,1.0618659,0.7085563,0.9129182,0.6722479,0.8389395,1.2278222,1.3111918,1.3923862,1.1237512,0.6852437,0.6937118,1.1255004,0.81463546,0.976709,1.427902,1.1620067,0.5570194,1.3535651,0.43078524,1.228826,1.0299262,1.2516363,0.94210756,1.2465826,1.0079569,0.30941403,1.1131835,0.77541316,0.94128966,0.9199253,0.97454536,0.73913527,0.89987236,0.8597452,1.0515825,0.6955786,1.2779548,1.1606244,0.7953479,1.2674576,1.3093383,0.77898335,1.0039866,0.72559786,1.3472732,1.1146628,1.441809,1.2267979,1.3084486,0.7155833,1.2274128,0.5892199,1.1835557,0.7735213,1.0969571,0.5910146,0.3780756,1.2171263,0.9769715,0.6930079,0.65745616,1.3677409,0.8851259,1.4130886,1.3635455,1.1991704,0.6381292,0.5881789,0.8933158,0.8772152,0.7327011,0.7073422,0.9181358,0.90190744,1.1553732,0.749809,1.3497705,1.1786246,0.78076684,1.1807948,1.0693182,1.1512749,1.4070388,1.153287,1.3864517,1.136957,1.3509293,1.2578671,1.2651511,0.5800557,1.3007135,0.6654094,1.0188644,0.75400186,0.78317237,0.8860523,0.266968,1.1619644,1.3494062,1.371277,0.4886154,0.8418483,0.8625645,1.1795112,1.215506,0.69774276,1.016437,0.9864099,0.74230826,1.3592569
arm,1.2711535,0.85857546,1.3968437,0.0,1.182256,1.1220039,1.0843365,1.180056,0.7598081,0.8135442,0.53311884,1.314976,0.63595515,0.46990258,1.0050044,0.5354941,0.74672633,0.9228795,1.4519415,1.4818565,0.78172296,1.0244858,1.1998758,1.405784,1.2335615,1.4322648,1.2871795,0.5292988,0.7698567,0.8339926,0.8879018,1.4304585,1.2986398,0.8955888,1.2363678,1.1708065,0.6588566,1.0000272,1.4170051,0.7795366,1.5028448,0.82052785,0.829075,0.96760833,1.1902663,0.6890481,0.95879436,1.389681,0.838012,1.307042,1.1282591,0.93291706,1.0733297,1.3596278,1.2959964,1.2786145,0.9304423,1.3567456,0.5878086,1.0696343,1.1701119,0.79008746,0.36225045,1.2925508,1.1436341,1.3394421,0.48526943,1.0384328,0.31654578,0.8395682,0.88587326,1.4412762,0.6650412,1.2614158,0.5690273,1.333106,0.900268,1.3365195,1.3560667,1.0184621,1.0580832,1.4310231,0.978553,0.7722752,1.1688321,0.16494918,0.5451469,0.9689471,1.4072914,1.3537331,1.1683517,1.2016692,1.3838675,1.388355,1.2339516,0.84948885,1.023495,1.4064556,0.90830326,0.74999225,1.3934383,0.7016762,0.8945494,0.9620305,0.37474573,0.9117126,0.6301913,1.1392983,0.7982435,0.7638843,0.6338291,1.4562703,0.6384188,1.3077945,0.86476976,1.2097474,1.3260958,1.1650316,1.3287467,0.9914452,0.48539132,0.5300376,1.4301033,1.0174705,1.1065907,0.7230057,0.963635,1.2453002,0.9620935,1.2446101,1.1434616,0.94544876
ball,1.2160089,1.0513445,0.41351002,1.182256,0.0,0.20622444,0.64482015,1.136884,1.1061287,1.0733377,1.1885498,1.1621933,1.2590046,0.9055259,1.1904286,1.182722,0.9319452,1.0223688,1.003932,0.78777146,1.0361105,0.86220515,1.18215,0.7592929,0.8085818,1.1087047,0.9917714,0.984087,1.207713,1.3282871,0.9771838,1.1249954,0.88871485,1.015454,0.9077974,1.1233182,1.219276,0.84262025,0.9394044,1.1482671,0.8720547,1.0997578,0.77743113,1.1999304,1.030758,1.1091347,1.0319902,0.63850284,1.1432643,0.8889702,0.9891546,0.9516214,0.9177552,0.9512576,1.1841494,0.87656057,0.6364862,1.0520024,0.92147225,1.1215506,0.63669944,1.1171707,0.96898353,0.85460246,0.9880097,1.0586001,1.1975462,0.9187423,1.177329,1.0656658,1.1774442,1.1586437,1.1634539,0.65745544,0.68434995,1.0652249,1.0307488,0.6064559,0.7319528,1.304453,1.026002,1.055222,0.3798095,1.2787542,0.9395312,1.0590664,1.19336,1.0322307,1.0422382,1.0343299,0.8889645,1.2168344,1.0989853,0.82845,1.0990518,0.72339875,1.2043041,1.0637957,1.1996865,1.1564269,1.0946836,1.095693,0.9450956,0.9144667,1.2130756,1.0475662,1.2241074,1.0240387,1.1817902,0.8960405,1.0509771,0.97436327,1.0774946,0.9066212,1.0383238,0.6895375,1.0662066,1.1053706,0.5756843,1.0556021,1.2225008,1.0826427,0.69721,0.9862133,0.9545729,0.8987417,1.2625384,0.58107924,0.9013514,1.1670133,1.0734984,1.2522563
balloon,1.1982305,1.0239235,0.6287494,1.1220039,0.20622444,0.0,0.7877201,1.1242869,0.9394173,1.0717044,1.1493318,1.1724753,1.1335335,0.9042691,1.1929595,1.1265594,0.8493362,1.0024476,1.1000612,0.7995618,0.96548915,1.0215799,1.1129426,0.6715995,0.78204125,1.0532714,1.0715281,0.8954313,1.2306178,1.1660681,0.91556644,1.1833186,0.9217343,0.8986512,0.9738492,1.1625544,1.1615123,0.98465586,0.96312034,1.0522159,0.94377476,1.1720479,0.82524955,1.101132,0.9743296,1.0603199,1.0976871,0.8205977,1.1305767,1.0255649,1.1140907,0.9817671,0.90278876,0.96636957,1.1026436,0.9550691,0.6239273,1.1315538,0.87395227,1.1236889,0.71367586,1.122565,0.9177664,0.9139689,1.0088913,0.99010533,1.1644726,0.8835001,1.0940377,0.9463189,0.99495643,1.1232114,1.1645488,0.6798731,0.65127975,1.1411206,1.1200753,0.82405937,0.9234705,1.1975799,0.9814045,1.1029357,0.59024364,1.1636933,1.1235287,0.96261996,1.072493,1.09644,1.0659785,1.1120986,0.87074673,1.242415,1.1200495,0.8175589,1.1746675,0.78623384,1.1322087,1.1007566,1.0788316,1.1763718,1.1979542,1.1076914,0.90324795,0.8502971,1.1861846,1.1495132,1.1467228,0.92765415,1.0711708,0.70057607,1.0337235,1.0641954,1.03988,0.90940315,0.9942988,0.72319776,1.0205872,1.137124,0.73304033,0.99990773,1.1509066,1.0369555,0.7861986,1.0347158,0.99749154,0.8015574,1.156339,0.7327484,0.8188771,1.1042157,1.1348351,1.1483307
banana,1.0339637,1.058642,0.9185251,1.0843365,0.64482015,0.7877201,0.0,1.1089731,1.147752,0.9732621,1.2275614,1.0412854,1.1588633,0.91578686,1.1386733,1.1860125,1.0173913,1.111474,0.998891,0.79945815,1.0576315,0.7286533,0.9497501,0.8187705,0.8969374,1.1018636,0.92333895,0.75860834,1.1196471,1.2502753,0.9824102,1.1690629,0.86620975,0.98066604,0.8541805,0.96971506,1.2339981,0.51128674,0.88182807,1.1738257,0.9558784,1.1939366,1.0089062,1.2121471,0.9869357,1.0877035,0.98524845,0.9599048,0.98835313,0.82261384,0.9839363,0.8474107,0.884973,1.0934845,0.98023826,0.73277956,0.74715054,1.018923,0.7457072,1.150248,0.58699125,1.0571349,0.9186138,0.8663244,1.0484738,1.1050925,1.082721,0.8528595,1.0398422,0.84923524,1.238612,1.1563859,1.1790339,0.70468426,0.7248249,1.1423763,0.819915,0.89154965,0.9207915,1.1827509,1.0849972,1.0567725,0.5041959,1.2271068,0.97961795,1.038294,1.1504383,1.0942693,1.038421,1.0536666,1.0919976,1.3047509,1.1721988,0.6351568,1.1299499,0.8987967,1.2532694,0.9345568,1.1990135,1.0307659,1.0970482,1.1829666,1.0800844,0.6626072,1.1275883,0.8726834,1.0484396,0.9907197,1.1283178,0.8703989,1.0347441,0.8929186,1.0925748,1.0255619,0.96336675,0.8526393,0.89164066,1.0571864,0.88937294,1.2129014,1.1520458,1.0695224,0.61271805,0.9483253,0.9115445,0.893455,1.2390083,0.61626387,0.9156946,1.1429453,0.9946128,1.2640448
basket,0.9644613,1.222013,1.032738,1.180056,1.136884,1.1242869,1.1089731,0.0,0.91965413,1.1892421,0.9244616,1.1664236,0.7850661,1.0755779,1.1973162,0.72829896,1.0474905,0.8972536,1.0421846,0.9264056,0.7938733,0.9550587,0.9264299,0.898704,0.971463,1.0041584,0.94185615,1.1246568,1.1359271,0.749365,0.7699231,0.8716698,1.0659956,0.94038284,0.6870397,1.1328664,0.9082061,0.8992898,1.078507,0.7635629,1.0120375,0.8727039,0.98045146,0.91276294,0.8914486,1.117866,1.269212,1.1466297,1.1961763,1.2687076,1.2058525,1.3241274,1.0986387,0.8518694,0.87009853,0.87215203,0.92626673,1.1865065,1.1566911,1.0607296,0.9870299,1.251411,1.1808016,1.1250896,1.0272219,1.0214043,1.1112906,0.9078965,1.124583,1.08733,0.71483636,1.0203404,0.9425152,0.8970073,1.161664,0.7767521,1.3590087,0.88547945,1.2643402,0.81215173,1.1088823,1.0382297,1.0853711,0.86367774,0.96763176,1.1016642,1.1308322,1.0285202,1.0330833,1.0273553,1.0011212,0.47288907,0.7524234,1.0569779,0.9059261,1.0972592,0.46593893,0.84686995,0.8449402,1.1273649,0.7754698,0.9559214,0.887109,0.9225658,1.2305806,0.9740425,1.1315947,0.9787707,0.9036654,1.0483165,1.0280492,1.163656,1.0426102,0.95041686,1.1941216,0.8507544,1.1893225,1.055142,1.1204867,0.80965734,1.203815,1.0034579,1.0382322,1.3137596,1.3415252,1.0841236,0.80823445,0.8939778,0.763247,0.8156787,1.1509229,0.8827566
bathtub,1.1460295,1.2455211,1.2910256,0.7598081,1.1061287,0.9394173,1.147752,0.91965413,0.0,0.8805321,0.40486163,1.4294794,0.46370673,0.6516398,1.0861325,0.6232059,0.88729596,0.732231,1.3281538,1.075495,0.32916862,1.3218889,1.0956672,1.0548202,1.1312219,1.2164984,0.9787384,0.96154845,0.8898789,0.6627629,0.879878,1.2766768,1.2115912,0.7643541,1.0232372,1.4389744,0.5794443,1.0877159,1.3550899,0.2961588,1.2461779,0.93586713,1.0120344,0.6077739,0.96445805,0.9074828,1.353133,1.4180393,0.957751,1.3213048,1.1084325,1.412649,1.1484503,1.3003376,1.1282035,1.1307355,0.7363789,1.4059532,1.1469209,0.93152934,1.1704539,1.035719,0.91982836,1.4139521,1.1396787,1.1441458,0.6261178,0.87484497,0.8697544,0.8943342,0.6199322,1.1630902,0.903776,1.0521786,1.0399469,1.2104194,1.2005768,1.2691573,1.4607761,1.0235358,1.3774034,1.2719202,1.0803348,0.51287353,1.0346111,0.7626772,0.913385,0.69878465,1.2868849,1.3226476,1.0250362,1.1622937,1.2742023,1.0208117,1.308723,1.0765975,0.88802326,1.1702229,0.52103156,0.9393626,1.3817636,0.8805398,1.0814307,0.8447523,0.78035796,1.2700529,0.95182395,0.92254514,0.51812,0.30936337,0.5339873,1.5208924,0.5516982,1.0514061,1.295973,0.98324156,1.3677222,1.4037042,1.3405379,0.7132469,0.8046273,0.4196055,1.2770026,1.4833378,1.3893003,0.8124081,0.9615236,0.97539884,0.6044742,0.91545784,1.4398851,0.68591213
bear,0.96016836,1.1181798,1.1787081,0.8135442,1.0733377,1.0717044,0.9732621,1.1892421,0.8805321,0.0,0.7994231,1.1802732,0.8509195,0.7895288,0.87659717,0.8042757,0.8732324,1.049314,1.2404246,1.1820878,0.94125384,1.1338487,1.1296747,1.186522,1.0849118,1.2162409,1.0044788,0.9334168,0.48277175,1.0033817,1.054549,1.0711193,1.2186034,1.0161903,1.1461095,1.106697,0.8794084,0.98424006,1.2428578,0.915104,1.2491158,0.8830288,1.0048336,1.0034091,1.1332159,0.9217381,1.1149485,1.144389,0.17195243,1.0876181,0.97139883,1.1821159,0.85904074,1.1665423,1.1047137,1.0004925,0.91507995,1.2033942,0.97414017,0.8856727,1.2246878,1.009125,0.98378897,1.233021,1.0514566,1.077642,0.7285011,1.0753285,0.8761385,0.977697,1.0575203,1.1509743,0.8950821,1.1076708,0.9099703,1.2049122,1.0116017,1.0716697,1.2390598,1.1647629,1.2301456,1.1737989,1.0323555,1.0367141,0.8799197,0.8009045,0.97670746,0.9226753,1.1705433,1.221342,0.90803444,1.129663,1.0617058,1.0698168,1.1236084,1.0816395,1.1211619,1.1377717,1.0124842,0.35113895,1.0556867,0.86132383,1.1425052,0.9435957,0.7632215,1.0276321,1.0100144,1.0785309,0.98697263,0.86765003,0.7027558,1.2197857,0.6547542,1.114004,1.1635424,1.1701217,1.160474,1.0625441,1.1159182,1.0861257,0.8743793,0.7959281,1.1671326,1.2377648,1.1404887,0.9751114,1.1593411,1.0602956,1.0773728,1.2069857,1.2550982,0.98532814
