,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,truck,vacuum,watch,window
alligator,0.0,0.9096581,1.0496418,1.0355715,1.2340411,1.0543818,0.94018507,1.0866821,1.0623035,1.1989251,0.89493525,1.0309781,1.0741174,0.4938472,1.1303463,1.0527208,0.8850835,1.0268897,1.0779037,1.1212528,0.8399788,0.86919904,1.1276011,0.80727416,0.93017185,0.621622,1.03619,0.8558831,1.1077417,1.0013664,0.8354005,1.1449863,1.0615345,1.0255828,0.99569196,0.9356147,1.1745079,0.9141144,0.8326221,1.1110865,1.0148351,0.6497716,0.8598589,1.0743022,1.0669088,0.7328181,1.097927,1.1473204,1.1864008,1.1582708,1.0983344,0.40560842,0.85341644,1.0936316,1.0288154,0.518186,1.1601732,0.8843887,0.92156345,0.90558106,1.0973239,1.1329498,1.141924,1.1461743,0.77943337,0.9900848,1.1414919,1.2174094,0.8403306,1.0472403,0.7539606,0.9465009,1.0744869,0.9742206,1.0712119,1.1766671,1.1417214,0.881938,1.0545483,0.943977,1.1086318,1.0294887,1.1247495,1.1123443,0.8465185,1.1734602,1.2055426,0.9830915,0.68644804,0.6297147,0.98588383,0.9231079,0.8748503,0.7618388,1.1222955,0.8624122,1.077684,0.80844176,1.0904827,1.1998614,1.0615761,0.8522599,1.1058733,1.1248189,1.0075924,0.73074627,1.1371896,1.1299987,0.8695077,1.1572763,1.0927005,1.1705352,1.0358213,1.0772102,0.81228304,1.0407221,0.80852276,1.0833004,1.0851905,1.097908,1.0758222,0.98517126,1.0431637,1.1637075,1.1621124,1.1159858,0.9111516,1.0784423,0.86151016,0.9458318,0.9150547,1.0071436,1.1554189,1.0492566,1.0057406,0.8981192,1.0718073,0.96064556
ankle,0.9096581,0.0,0.6858745,1.0952345,0.9194791,0.77480555,0.97189224,1.3366066,1.2906789,1.4332352,0.683974,1.3212222,1.338993,0.72468674,1.321871,0.917783,1.199785,0.7191765,0.92540735,1.3300378,0.83207047,0.8126361,1.0725552,0.84650743,0.6192987,0.9182415,1.035785,1.2764969,1.2035142,1.173984,0.8315424,1.1830736,0.9583843,1.3171707,0.9514623,0.93182075,1.3798678,1.074344,0.59735686,1.4340835,0.68394256,1.0113387,1.2738512,1.1115437,1.1359408,1.0137994,1.0754554,0.72867465,1.0910584,1.2430152,0.39482987,0.83055055,0.9639369,0.71446574,1.0775146,1.0386412,1.2596045,0.5399279,0.8483113,0.9318576,1.0535879,1.1261668,0.9802592,0.7150038,0.95991427,1.0066719,1.0326562,1.2740991,0.8260461,0.98260593,0.58485085,0.5104353,1.1811566,0.8784869,0.9439123,1.1973147,1.2878264,1.2962663,0.62302923,0.6559484,0.5095118,0.62292933,0.92840165,1.1684943,1.1089935,1.2442899,1.071359,1.3461119,0.6255907,0.59980804,0.76737154,0.8849518,1.131894,0.74253184,1.187484,0.93736655,1.0850884,1.0501653,0.732725,0.72972786,1.3019546,0.80632883,0.75041306,1.2373477,1.2842517,1.0822417,1.0286645,0.9801202,1.1559776,1.2319072,0.857722,1.028068,0.5209968,1.1827886,0.9429433,1.4024448,0.55679446,1.3018758,0.5687231,0.862622,0.6938071,1.2859204,0.9319164,1.2181333,1.2881429,1.4746258,0.8656686,0.44777787,1.1069608,1.0852464,0.73675245,1.0555023,1.3976059,1.2824122,1.2251751,1.0622388,0.5139774,1.0454783
apple,1.0496418,0.6858745,0.0,1.5038202,0.45391983,0.35125023,0.7350325,1.3547636,1.5235991,1.575403,0.43987656,1.5247711,1.4901301,0.6260077,1.5116199,0.9352702,1.1237842,0.35403252,0.509651,1.3544385,1.0485088,1.0544572,0.91944885,0.75448155,0.61890566,0.65544105,0.67397475,1.3753998,1.4313079,1.2102767,0.80097806,1.3571603,0.7636899,1.2532017,0.97371566,0.7976142,1.4755778,1.2110591,0.32683188,1.5724925,0.40991557,0.9044987,1.3191984,1.0277084,1.3672191,1.1059742,1.2964282,0.25416362,1.3184154,1.1491604,0.7315549,0.69748276,0.6775412,0.8377255,1.1568686,0.70142615,1.3273036,0.43371725,1.0068278,1.0435064,0.8448289,1.1951923,1.3527036,0.7010319,0.77670765,1.2374656,1.1216993,1.4809334,1.1861693,1.1907164,0.549729,0.548173,1.2087018,0.58565784,0.91470015,1.3784997,1.2355193,1.2320626,0.3026654,0.7369957,0.86690664,0.6427617,0.49263412,1.3169049,0.76212335,1.5451357,1.3861301,1.342239,0.39961052,0.4954517,0.93818736,0.579803,1.0512779,0.8931023,1.1448333,0.8190257,0.96353984,0.87491727,0.6754956,0.9411819,1.4279506,0.56529367,0.7515826,1.4005014,1.2168965,1.0031775,0.94606113,1.2132672,1.0439593,1.4520345,0.97987896,1.3736455,0.5986108,1.3669571,1.0589528,1.386253,0.36306953,1.4158499,0.41085374,1.3235705,0.83483154,1.4137404,0.33958954,1.2438651,1.3601822,1.4661341,0.57943404,0.6441578,1.2258348,1.2436208,0.9953487,0.4838947,1.2943606,1.2028364,1.108404,1.2531868,0.46919727,1.3216848
arm,1.0355715,1.0952345,1.5038202,0.0,1.2134595,1.4345279,1.2375474,1.0038166,0.6302547,0.44504464,1.3937414,0.6456131,0.35637152,1.4381038,0.4645722,1.2517982,0.94826394,1.4833046,1.4249904,0.89315677,0.89390326,1.1693355,1.2437494,1.2604145,1.4311503,1.4399769,1.1149297,0.70200396,0.8414714,1.0640657,1.2860096,0.70867676,1.2489309,0.8002026,1.174818,1.176238,0.58917826,0.8599827,1.4650036,0.6690866,1.5069568,1.2822449,0.77417004,0.95900816,0.8867577,1.1697719,0.51043165,1.3116778,0.6562791,0.82010925,1.0125864,1.3703198,1.4049506,0.885078,0.9764173,1.3940322,0.8104767,1.4125775,0.9879303,0.9682437,1.1105127,0.76180494,0.37910557,1.1969485,1.2801244,0.68061185,1.0491565,0.41240817,0.94678926,1.0471138,1.4636582,1.3048851,0.8545215,1.2603667,1.1916189,0.50944805,0.979627,0.70834833,1.3479027,1.3460162,0.99619883,1.2290623,1.3464136,0.9281089,1.2477801,0.33998883,0.607048,0.5922444,1.4372001,1.3906592,1.1009202,1.2888067,1.1126395,1.2469045,0.91304135,1.2995573,1.0778662,1.1902461,1.2072752,0.89879185,0.8339714,1.4667788,1.1081057,0.85151625,0.8919382,1.1000432,1.1828367,0.6145588,1.0931846,0.3572675,1.1441023,0.6241205,1.3727014,0.7158883,1.0700136,0.58536947,1.474462,0.5491463,1.3398666,0.63323975,1.231738,0.7139209,1.3594136,1.0431125,0.4935301,0.45704663,1.4425799,1.1025816,0.7603072,0.67236763,1.2189877,1.4190155,0.80426323,0.9406843,1.0132518,1.0214533,1.2578685,0.8982961
ball,1.2340411,0.9194791,0.45391983,1.2134595,0.0,0.47801244,0.80423164,1.2146294,1.1877666,1.1871247,0.82935286,1.2767805,1.1231498,0.992325,1.1388524,1.0619394,1.1604702,0.7887167,0.7185917,1.1592897,0.9744292,1.240066,0.95872176,0.96665835,1.0306953,1.0071611,0.86807185,1.080897,1.3654839,1.0052364,0.9821383,1.2014911,0.6868092,0.99032164,0.8948245,0.93836564,1.1622022,1.1600173,0.8673409,1.270814,0.7844635,1.0353401,1.0607593,0.8739159,1.2873821,1.2111769,1.215327,0.38957322,1.0397481,0.8414265,0.93628466,0.90646195,0.971486,0.9801101,1.1332593,0.9544473,1.0904162,0.8971099,0.85806346,1.0761191,0.8637253,1.0409952,1.1234579,0.804888,1.0360428,1.2159057,1.0265324,1.1837454,1.2325804,1.2257853,0.90714514,0.94826794,0.98926914,0.8726323,0.88658804,0.851248,1.144972,0.98114103,0.64373446,1.0575904,1.0717388,0.8434018,0.5747863,1.3330169,0.8760214,1.2259614,1.2203952,1.1056128,0.8759987,0.9523062,1.0449972,0.84206474,1.0728278,1.0766499,0.98759407,1.0574085,0.9117044,1.0440702,0.7228875,0.7713634,1.2356122,0.9865999,0.74256706,1.3381578,1.0289987,1.0948464,0.82667005,0.993844,1.007218,1.1924433,1.0982306,1.2179643,1.0410856,1.2438537,1.0470201,1.0022626,0.8351575,1.1378893,0.653077,0.9747889,1.0438131,1.0631776,0.65999544,1.155761,1.154654,1.1480095,0.81766653,0.9108797,1.1791055,1.1181526,1.1264547,0.69664204,1.0209057,1.1138924,1.0807841,1.3191521,0.89497554,1.1881257
balloon,1.0543818,0.77480555,0.35125023,1.4345279,0.47801244,0.0,0.7510174,1.1944132,1.3458593,1.4269538,0.6415812,1.2915087,1.3714879,0.7730663,1.3764071,0.9352331,1.0492097,0.6288639,0.53738767,1.1580026,1.0786455,1.0351689,0.83153975,0.93723243,0.688431,0.77676535,0.63768023,1.3099141,1.2498009,1.1707869,0.8350904,1.29378,0.73408705,1.0769587,0.8980964,0.7485181,1.3432126,1.2455721,0.60969037,1.3523259,0.58373606,0.9469309,1.2352543,1.0943426,1.2616876,1.0141696,1.3034066,0.41901863,1.1806326,1.1572065,0.8979571,0.69127315,0.7827667,1.0631572,1.1650199,0.7817235,1.1928766,0.7792114,0.9392754,1.0140194,0.7303295,1.215072,1.3000374,0.84386945,0.83268696,1.1974357,1.0391824,1.3768833,1.1165644,1.102406,0.64319664,0.7828254,1.2162204,0.6507005,0.8630457,1.1480358,1.1622566,1.223334,0.68283916,0.8671584,1.0155312,0.8005838,0.43170595,1.2886662,0.8489026,1.4000604,1.3183588,1.2191757,0.65360546,0.6630827,1.0192161,0.6104574,1.0531679,0.9270434,1.1219727,0.917739,1.0123799,0.9122753,0.7852167,0.98795867,1.3104212,0.76207626,0.81190294,1.2953138,1.1493464,1.1400872,0.7524094,1.1679282,0.9354998,1.3639407,1.0351597,1.245944,0.8235625,1.2838559,1.0152496,1.1341982,0.6913624,1.2978477,0.67300886,1.1870071,0.88669026,1.2027199,0.41586125,1.1430999,1.3236792,1.3354285,0.63092285,0.90991557,1.2035158,1.0294143,0.96853256,0.5992434,1.1992319,1.1476765,1.0808275,1.135588,0.7932409,1.1642405
banana,0.94018507,0.97189224,0.7350325,1.2375474,0.80423164,0.7510174,0.0,1.0828466,1.2667356,1.3591076,1.0317855,1.3014764,1.0795372,0.89684063,1.2433594,0.97643495,1.0005558,0.9373332,0.8504709,1.1313602,0.87440664,1.1165457,0.95943046,0.976234,1.1322014,0.9002135,0.6149106,1.143251,1.3247709,0.5459397,0.98399156,1.2426654,0.512072,0.9857276,0.72231805,0.38571757,1.3376752,0.6532474,0.89812505,1.2559408,0.9727571,0.82415116,1.1053711,1.0219952,1.2963561,1.0376054,1.2563694,0.75517297,1.1824042,1.0829303,1.0338635,0.82036805,0.72911805,1.1135774,1.029861,0.62799245,1.0887053,1.0548657,1.0082033,1.1889964,0.61676794,1.2182308,1.1039038,1.136255,0.9263464,1.091353,0.92576796,1.3015344,1.0009762,1.0941657,0.9880424,1.0292741,0.97035706,0.62119275,0.75714266,0.9790751,1.10549,1.0989032,1.0313883,1.0356861,1.1319379,1.051162,0.5750107,1.3076376,0.8514691,1.2189877,1.3196932,1.14077,0.9512433,0.9449442,1.1224324,0.23628551,1.0354807,1.085219,0.9860114,0.9469759,0.9162066,0.9866729,0.9442044,1.0106847,1.2029916,0.9601845,0.8908078,1.2602559,1.1092654,1.0920411,0.8064978,1.0626863,0.8227391,1.3254217,0.97300607,1.3305302,1.0436952,1.2310126,1.1422157,1.0536402,0.99319905,1.1593255,0.76689184,1.0784198,0.97267,1.0675101,0.7143209,1.174526,1.2628795,1.1832097,0.6260171,1.0749655,0.9828182,0.9205682,0.9997889,0.65411234,0.9451522,1.0327773,1.105501,1.208871,1.0851686,1.258618
basket,1.0866821,1.3366066,1.3547636,1.0038166,1.2146294,1.1944132,1.0828466,0.0,0.8449224,0.65371114,1.2309844,0.6210317,0.77621955,1.146651,0.6974218,0.8887019,0.71138984,1.1813308,0.8607578,0.4324878,1.1028006,0.93420976,0.72231036,1.2379723,1.0281401,1.042397,1.0889703,0.94197583,0.55032325,0.782477,0.9974329,0.98167706,1.0645121,0.7669666,1.0025412,0.8954,0.6736368,0.9335783,1.2706825,0.4489308,1.1030171,1.0850732,0.8960864,0.9633145,0.82415384,0.76756895,1.1246552,1.3982774,1.0081674,1.1462184,1.4162464,1.2319338,0.92464197,1.32562,0.86406523,1.1173017,0.77193475,1.318095,0.9962316,1.1283336,0.946465,1.1167521,1.0680916,1.2201805,1.1893765,0.945195,0.7679305,0.9809827,0.90385133,0.63020504,1.1764469,1.2183489,0.90510464,1.0433722,0.9742142,0.85195005,0.80596656,0.9453384,1.3653109,0.9964164,1.2660704,1.3026962,1.1509858,0.7541109,1.1727477,0.79752576,1.0625057,0.8382096,1.2979625,1.2757319,1.1588302,1.0795457,1.0349741,0.7456604,0.9360853,0.97201866,0.9395,1.160712,1.243485,1.1176604,0.2900266,0.931936,1.1920767,0.73496133,0.8921948,1.1585056,0.9205849,1.058276,0.9505222,1.0207864,0.9805733,0.98195827,1.1873226,0.9679245,0.9857065,0.87941146,1.2876432,0.88364065,1.2241158,0.9627466,1.0214009,0.8884631,1.1698661,0.70861953,1.0010694,0.77040595,1.0209141,1.4114072,0.91320366,0.9509388,0.81431115,0.9695094,0.71140945,0.8535818,0.95714,0.8276833,1.3636615,0.8779901
bathtub,1.0623035,1.2906789,1.5235991,0.6302547,1.1877666,1.3458593,1.2667356,0.8449224,0.0,0.42571336,1.3353608,0.45021856,0.64046955,1.3873181,0.59815264,1.1095692,0.9587077,1.4102407,1.139159,0.6962231,1.0351572,0.94649756,1.0416489,1.2901566,1.2945089,1.3594099,1.1743945,0.7242033,0.6423442,1.0008042,1.1490463,0.4312418,1.1969782,0.8035724,1.1274527,1.2323592,0.55642176,1.0182681,1.464603,0.41840804,1.3366797,1.2336264,0.79189,1.1707424,0.5437054,0.93835443,0.80587655,1.4307759,0.7309083,0.8338721,1.2862653,1.3286704,1.3032053,1.2517738,0.95723134,1.3945853,0.85795635,1.3764799,1.2332236,0.8041239,1.1858472,0.9231194,0.8436544,1.3403026,1.2635703,0.94928324,0.9864211,0.5894609,0.99724305,0.8405794,1.1997708,1.3325449,0.8802374,1.2720077,1.0316963,0.7599861,0.85254264,0.84724593,1.3401977,1.246958,1.2130779,1.3382517,1.2714263,0.650748,1.2206873,0.6283383,0.7346396,0.70364726,1.3904327,1.3803625,1.1771885,1.3433458,1.077025,1.2337701,0.89507586,1.169599,1.0122169,1.1967849,1.3345244,1.131222,0.8367579,1.3469054,1.2338573,0.5415962,0.69139904,1.16197,0.99776644,0.8566559,1.0348519,0.6827117,1.2227404,0.8023627,1.418858,0.30554187,0.46456152,0.5712402,1.4887302,0.6455241,1.3307827,0.863664,1.2856134,0.6402734,1.3146679,0.9113948,0.7460617,0.5473121,1.2314242,1.3407866,0.98620075,0.89497566,1.1676939,1.3432257,0.72559476,0.9231959,0.9256179,0.7571964,1.4123468,0.74393487
bed,1.1989251,1.4332352,1.575403,0.44504464,1.1871247,1.4269538,1.3591076,0.65371114,0.42571336,0.0,1.4173623,0.3434989,0.3853088,1.5355983,0.16734195,1.0700703,0.9090644,1.5264964,1.3503882,0.626032,1.1119778,1.0392905,1.1803813,1.3403192,1.3895823,1.4070157,1.217836,0.6010401,0.47688544,1.0081769,1.3445975,0.44687694,1.257761,0.71809137,1.2513773,1.3293601,0.17465174,1.0363253,1.5971334,0.29358113,1.5194377,1.2989687,0.69274354,0.9505741,0.6456382,1.0910966,0.6791204,1.4265127,0.55288786,0.83019304,1.3662552,1.4175329,1.36253,1.2065251,1.0144725,1.4434648,0.8191811,1.5535241,1.0799459,0.9137333,1.2417601,0.84666616,0.81268144,1.2689264,1.2754337,0.8967758,1.0410957,0.35728467,1.0651767,0.914149,1.5095257,1.4614222,0.8694708,1.3019049,1.220727,0.5892911,0.7948232,0.72022116,1.4305997,1.2526724,1.270045,1.3147948,1.3724518,0.66335267,1.2263627,0.24658602,0.58680975,0.6094087,1.5452704,1.5544735,1.2062463,1.4496398,1.0640328,1.027919,0.93031245,1.2419438,1.0875245,1.163408,1.2983329,1.0753855,0.52771676,1.4237862,1.2231991,0.6089133,0.6470692,1.1125836,1.1534038,0.6691624,1.1804491,0.49088043,1.2136436,0.59782517,1.5108013,0.5825368,0.9376824,0.44949985,1.576569,0.39957166,1.43565,0.7391032,1.358304,0.7368426,1.4087507,0.78073514,0.45653856,0.32990074,1.4556987,1.409906,0.9686694,0.9604472,1.0772183,1.3674365,0.7195593,0.87492275,0.86888564,0.9119724,1.4918118,0.69347644
