,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.3475354,1.4587142,0.58060527,1.2871928,1.5985804,1.2160289,1.2937872,0.7045523,0.6349097,0.5987603,1.3639008,0.7465484,0.67150104,0.918507,0.37476194,0.8083837,0.9366598,1.5120595,1.5032666,0.9828304,1.3508211,1.4478188,0.719706,1.4841089,1.1708527,0.90945417,0.2877739,1.0225437,1.0983795,1.2471955,0.7930136,0.78677243,1.0062817,0.77721,1.2509778,0.64664847,0.68118,1.4718792,0.6826973,1.5786364,1.1187097,0.9146186,0.3906319,0.9112366,1.0120264,0.9781493,1.3434393,1.3186705,0.66960347,0.8431625,1.3536141,0.9152661,0.8603443,1.1932093,0.9586716,1.4279512,1.0835192,0.84103775,0.7754874,1.4569972,0.88818693,1.2465574,0.86433566,1.0001056,0.9746916,1.244248,1.0833465,0.7056871,0.6229063,1.2841325,0.6171515,1.4131615,1.0119325,1.4770381,1.4468172,1.1092057,1.2595359,0.8544427,0.73899925,0.8752544,1.2915998,0.54745185,1.4220555,1.3374571,1.3919847,1.2217103,1.3305779,1.0042857,0.5097885,0.89414287,0.6998209,0.60980844,0.7159234,1.4910582,1.4650881,0.9424764,0.9477555,1.2144884,1.0281324,0.84126294,1.273892,0.9685353,1.3142684,0.8403044,1.3677459,1.1349648,0.4465003,0.7190363,1.2581365,1.2338147,0.700765,1.1665229,0.67573047,0.9465177,0.93665683,1.3642015,0.8151709,1.3468266,0.6286558,1.4430113,0.4966423,1.3100415,0.7523106,1.1046971,1.5435269,0.8704651,1.2753329,0.8193449,0.7442839,0.6090274,1.5125037,1.446519,0.8674321,1.2293307,1.356816,1.2682042,0.8880813,0.9238084,0.8598827,1.3070979,1.493917,0.99249464
ankle,1.3475354,0.0,0.5712243,1.2223178,0.6899675,0.5615607,0.72599286,0.9930664,1.3335261,1.1062334,1.4103584,0.5721593,1.2279966,1.1917033,1.0548302,1.3900766,1.2996508,1.1211652,0.7297858,0.84318626,1.2831484,0.6636794,0.7248988,1.081331,0.69096416,1.0142313,1.2292347,1.3361976,1.0302653,1.1355146,0.9624688,1.349983,1.1742666,1.0903379,1.1077087,0.632166,1.3196387,1.2372041,0.5497768,1.4562982,0.709045,0.97423124,1.2175769,1.3404253,1.0510048,1.1383917,1.1542952,0.58729315,0.65132564,1.0614952,1.2595725,0.5006119,1.2138455,0.73926324,0.96302545,0.7418226,0.7370391,0.7457576,1.2021337,1.305287,0.6825557,0.7151748,0.7953701,0.9427661,1.0662768,0.94169647,0.60989404,0.8758555,1.1991204,1.3594809,1.0648904,1.1426173,0.7124778,1.1099422,0.67621315,0.7264719,0.83412564,0.67245626,1.2877954,0.9792184,1.1507055,0.6458596,1.2937663,0.6325755,0.7871531,0.5063516,0.56862247,0.5725078,1.2606982,1.2157056,1.0008078,1.0612258,1.3440171,1.1678044,0.59593356,0.5830273,1.1715164,1.0538714,0.7176246,1.2057066,1.196192,1.0834113,0.9224822,0.58779776,1.1678271,0.7635399,1.1780521,1.2825879,1.1494665,0.91655225,0.79079556,1.1974282,0.8986373,1.3295686,0.79216164,0.9294018,0.71431285,1.3207536,0.75242615,1.3494521,0.32793278,1.3908044,0.6274137,0.91974616,1.115602,0.6024225,1.2264549,0.64129263,1.1834245,1.2635193,1.497792,0.7366935,0.42324144,0.99649477,0.73568374,0.6987477,0.85398215,1.4199291,1.2165469,1.2224317,0.7808911,0.45622444,1.2558348
apple,1.4587142,0.5712243,0.0,1.4417325,0.42269814,0.2078768,0.6153972,0.87279105,1.5271437,1.0976949,1.5212812,0.47396064,1.4724455,1.2478201,1.0376524,1.5671015,1.3227501,1.0939894,0.4306481,0.45623797,1.2939603,0.48784065,0.67477345,1.0051014,0.68478537,1.0277237,1.1397296,1.3567212,1.3064427,1.0123017,0.7131455,1.4567277,1.2259384,1.224944,1.2288203,0.5903148,1.4088098,1.1794968,0.34243232,1.6113449,0.4213314,0.9661157,1.1226434,1.328294,1.0406194,1.2991047,1.2930825,0.60496587,0.34896052,1.2544229,1.1622062,0.66088444,1.2346976,0.6183852,0.67029935,1.1010627,0.7447607,0.48854667,1.2314712,1.386349,0.4348384,1.1742764,0.62324005,1.1260599,1.0611889,1.1890073,0.7906164,0.77149796,1.4004894,1.388435,0.89782375,1.4112762,0.74037457,1.2688992,0.48751223,0.5577779,0.8052412,0.5361204,1.266073,1.2502645,1.2671685,0.5508915,1.3241003,0.27393472,0.80410427,0.62591183,0.6480117,0.31967103,1.3658856,1.1243163,1.1389506,1.4043939,1.462712,1.3236313,0.4417982,0.47107494,1.1951101,0.94260687,0.82474864,1.0620751,1.2027954,0.850679,0.8447473,0.31466866,1.4357013,0.6260239,1.3009875,1.3268732,1.0614476,0.8802549,0.60567737,1.3449576,0.9610988,1.4173096,1.1929479,1.3019685,0.6968045,1.3677102,0.79257375,1.4463625,0.39225185,1.4343662,0.5355204,1.2933111,0.9577095,0.51193637,1.1727904,0.48425263,1.4011507,1.3618071,1.5480168,0.3695547,0.4414842,1.0927639,0.7676467,0.715574,0.6665521,1.3613892,1.1132689,1.2741373,0.8315443,0.5122031,1.2643702
arm,0.58060527,1.2223178,1.4417325,0.0,1.2320455,1.5020896,1.3266711,1.4337345,0.58258206,0.90393937,0.5343489,1.3170056,0.64412034,0.5939701,1.0984505,0.50280046,0.75070506,0.9454909,1.4536767,1.5053785,0.9576964,1.4353303,1.4703102,1.1087804,1.4478209,1.2433208,0.9948833,0.6581717,0.9615947,1.2452602,1.2956084,0.77553904,0.6417917,0.9341692,0.72835886,1.2877452,0.5086197,0.89888954,1.4441813,0.69166994,1.4959359,1.2664624,1.0640862,0.7713892,0.99138236,1.0154289,0.93847895,1.1850619,1.249242,0.54050016,0.67693675,1.017964,0.9866923,1.0673875,1.3964119,0.8475413,1.389173,1.3812909,0.8924132,0.6097098,1.418705,0.7668992,1.2539806,0.8211818,1.0430961,0.59424424,1.0997806,1.3680463,0.62645245,0.41788167,1.3213251,0.32853842,1.375501,1.0538565,1.4952378,1.4115065,1.1739374,1.4165863,0.8643883,0.76615286,0.8495027,1.1565127,0.72272074,1.2876073,1.4049404,1.1394098,1.0945009,1.2661887,0.9518402,0.81350344,0.74425244,0.45007366,0.62029475,0.7687586,1.4009538,1.354413,0.9553792,1.2132423,1.2624508,1.1403679,1.0543517,1.3654761,1.2992858,1.3158937,0.8319808,1.3792846,0.97135186,0.62783897,0.9021473,1.1483545,1.3397723,0.6703072,1.1884556,0.44960278,0.90843165,0.5715575,1.394316,0.66859865,1.2980055,0.49324536,1.3051834,0.5525209,1.3897499,0.7533879,1.2322015,1.5151255,0.82482594,1.3236876,0.78135467,0.4428426,0.46813798,1.4966877,1.1829088,0.8930502,1.1512432,1.4348035,1.3897572,0.90292156,0.85453784,0.8901798,1.303725,1.2573318,0.9616663
ball,1.2871928,0.6899675,0.42269814,1.2320455,0.0,0.4975176,0.7385905,0.9641536,1.3980124,1.0460943,1.2975335,0.9129965,1.3312099,1.2186244,0.97543395,1.3222729,1.1845222,1.1608723,0.7732868,0.6755795,1.1771935,0.642317,0.858991,1.0054269,0.9524187,1.0859274,1.0516106,1.2260671,1.2853602,0.86257577,0.8567153,1.3728721,1.1827747,1.0777594,1.2302061,0.870837,1.2939751,1.1596105,0.7531747,1.40229,0.71934724,1.0144461,0.96875256,1.1489764,0.98901004,1.2700423,1.2451507,0.93838567,0.09484208,1.0708512,1.1086982,0.84516656,1.1766088,0.79982567,0.84005535,1.0910513,0.93372774,0.8276172,1.0439198,1.1713893,0.7393781,1.139165,0.7150496,1.0884243,0.9747055,1.1548772,0.87496877,0.8414823,1.2369419,1.2869153,0.8041357,1.257674,0.9405535,1.2767382,0.8063688,0.8871112,0.8904997,0.74013305,1.0538222,1.1742231,1.2445623,0.84656715,1.1399248,0.61213017,0.91389483,0.88460577,0.82625985,0.12212193,1.2572963,1.046475,1.1808026,1.2732861,1.2807382,1.1832412,0.83565974,0.8286554,1.1339402,0.8468269,1.0106751,0.9594739,1.210438,0.87171566,0.86139834,0.21222866,1.291702,0.8288299,1.2562604,1.1544946,0.9255033,0.9370856,0.6268478,1.2528772,0.94839925,1.2974474,1.1597037,1.1844547,0.8608227,1.2799873,1.0460138,1.2993034,0.7765376,1.2450953,0.7639048,1.172868,0.8140333,0.80889297,1.0577865,0.8329501,1.2843137,1.2624245,1.3089937,0.56207365,0.6662286,1.0880407,1.0414562,0.93460304,0.7700514,1.2142328,1.0187968,1.1824479,1.0546914,0.7761974,1.1926702
balloon,1.5985804,0.5615607,0.2078768,1.5020896,0.4975176,0.0,0.69277114,0.79762447,1.469636,1.1174161,1.4935081,0.41470718,1.4177521,1.3003958,1.0413122,1.5659069,1.3480483,1.1582935,0.2874514,0.37957144,1.2882292,0.5629182,0.5667198,1.1021405,0.44851506,1.0074427,1.1166581,1.4206936,1.1789576,1.0001184,0.64097494,1.41481,1.3235376,1.2354702,1.1568441,0.70969224,1.4602286,1.1209234,0.34373522,1.5505754,0.2950002,0.89573056,1.1466136,1.3843457,1.1116863,1.1810024,1.2310737,0.6061608,0.4428627,1.244185,1.2553061,0.6333463,1.2532314,0.7525873,0.64094716,1.1141765,0.6443848,0.74301213,1.2232909,1.3857253,0.37852657,1.1463338,0.6199684,1.1496401,1.1751537,1.1711115,0.7620724,0.76097953,1.4215646,1.5312238,0.7534094,1.47519,0.6786747,1.1792883,0.34214926,0.37228978,0.8979205,0.6757804,1.2722778,1.2244467,1.3083206,0.6103746,1.2789502,0.27603483,0.5814292,0.5637342,0.72659093,0.47610325,1.2482095,1.2385546,1.1285284,1.426733,1.5197753,1.2647867,0.37648636,0.4378202,1.1669519,0.9123654,0.6725454,1.1166308,1.181943,0.81377083,0.84227854,0.48542506,1.3585732,0.62396336,1.1509843,1.3360856,1.2141632,0.91497165,0.6264019,1.3916893,0.91558915,1.4836509,1.0991246,1.2836475,0.53833264,1.3570874,0.6962898,1.4812984,0.4144196,1.43767,0.5515077,1.2305005,0.9387192,0.4429837,1.2319369,0.62157214,1.3995671,1.4784274,1.5962679,0.34518552,0.45228404,1.1454909,0.72087073,0.4767716,0.7443824,1.3654232,1.1002611,1.3065132,0.6513628,0.44937432,1.1016742
banana,1.2160289,0.72599286,0.6153972,1.3266711,0.7385905,0.69277114,0.0,0.7729811,1.3269393,1.0981337,1.4118253,0.79507357,1.2960138,1.4187908,0.9168788,1.3419495,1.2339294,1.1250997,0.59153444,0.6652855,1.2117822,0.64914465,0.79740524,0.82381034,0.7785218,0.9152116,0.90788174,1.2171317,1.0756334,0.8466281,0.9204115,1.2194917,1.2420263,1.2201836,1.1690552,0.8345318,1.3303342,0.9745891,0.48028427,1.3352205,0.62051535,0.81350756,1.0444326,1.2118777,1.1524665,1.1178844,1.2106521,0.93550116,0.75761783,1.2350149,1.2614673,1.0188043,1.1472073,0.77585715,0.57861036,1.0773886,0.74944985,0.6791512,1.1597682,1.3620231,0.615301,1.0664524,0.91860133,1.1469102,1.015067,1.2480763,0.9721546,0.7780615,1.3065879,1.3166931,0.8810662,1.3374345,0.6495579,1.019711,0.72305,0.6998113,0.9116862,0.43081194,1.169873,1.2151265,0.99139094,0.9631868,1.1866957,0.76332164,0.92789316,0.9499433,1.005394,0.62757397,1.162816,1.0542585,1.2747129,1.3251746,1.3172148,1.2086993,0.6200434,0.62367487,0.9008068,1.0015621,0.9035263,1.0433699,0.99041075,0.9424681,0.9218881,0.54675037,1.1571804,0.6848186,1.0444258,1.2269548,1.0852393,0.80506027,0.7145248,1.1964192,0.7839674,1.3948975,1.091376,1.213011,0.58485276,1.1933982,0.8624692,1.2775981,0.7055406,1.2418716,0.59763235,1.158917,0.9457509,0.57720745,1.2633559,0.63554126,1.207016,1.332583,1.356034,0.6669135,0.85345244,1.0271201,0.79072213,0.79552644,0.6373818,1.1317345,1.1654454,1.2088301,0.7778108,0.7955768,1.1995066
basket,1.2937872,0.9930664,0.87279105,1.4337345,0.9641536,0.79762447,0.7729811,0.0,1.203247,1.2017616,1.1686351,0.808464,1.0370584,1.3006788,0.9871786,1.2389243,0.9081465,0.749876,0.666433,0.6692511,0.5461916,0.8278603,0.48667622,0.9514466,0.5965937,0.7429739,0.9596672,1.2979456,0.73677015,0.9673192,0.777601,0.9115423,1.2825711,0.9793007,1.173461,0.7780204,1.2197647,0.9702889,0.764222,0.91013765,0.6042742,0.8748065,0.81159866,1.2181716,1.0746529,0.90165037,0.7610687,1.0881778,1.032917,1.3729659,1.292499,1.1956522,1.0097277,1.0589489,0.63041353,1.1147823,0.72870433,0.82367826,0.99394935,1.2245404,0.8534794,1.184978,0.79239094,1.2820401,1.1971444,1.3238218,1.0901845,0.8739165,1.2362144,1.348728,0.6035927,1.4268215,0.68731487,0.7293058,0.7462883,0.7086865,0.98420227,0.8254453,1.0840513,1.1999677,1.0437951,1.0550812,1.219096,1.0073338,0.6293442,1.1153228,1.2383723,0.98781353,0.86451304,1.1517098,1.2489448,1.3933091,1.0653663,1.195347,0.82518756,0.8725802,1.0614585,0.8725163,0.63186675,0.9172704,0.9127234,0.7843287,0.9230598,0.92854273,0.8603154,0.50202644,0.75382495,1.2499459,1.0932649,0.94130725,0.8945112,1.2351466,0.9053152,1.3562925,1.0535285,1.2485693,0.7333778,1.135769,0.6353613,1.1297348,0.9965186,1.2377802,0.80385065,1.1997199,0.9713768,0.70133287,1.285978,0.9458379,1.0554811,1.3674371,1.1132678,0.6595678,1.135855,1.0005566,0.9613819,0.62021786,0.663586,0.80165243,1.1542954,1.0105495,0.737639,0.97499317,0.977795
bathtub,0.7045523,1.3335261,1.5271437,0.58258206,1.3980124,1.469636,1.3269393,1.203247,0.0,1.0136449,0.47872317,1.2697532,0.29293513,0.78574944,1.1421534,0.55218357,0.613962,0.9950319,1.4246926,1.3606334,0.675737,1.3429167,1.2034887,1.2566748,1.0583433,1.0040655,0.9866884,0.62051415,0.5262675,1.1418306,1.2635338,0.4932524,0.8468909,0.8599744,0.7591947,1.2288519,0.4933355,0.8277704,1.5158396,0.36719096,1.385977,1.2512603,1.04234,0.7864848,1.1451981,0.47913033,0.5037707,1.2916731,1.369514,0.7241912,0.8698487,1.2145355,0.865938,1.2971084,1.3513138,1.0428694,1.3428822,1.4456267,0.96164787,0.676146,1.4764638,1.018403,1.4355345,0.9628682,1.0241885,0.854025,1.2676954,1.3653445,0.5989309,0.6878876,1.0929383,0.5981126,1.300368,0.79199374,1.22154,1.2876892,1.143878,1.3455324,0.8549448,0.92362183,0.8415162,1.3185501,0.82135385,1.4821583,1.0672656,1.211915,1.2147764,1.4274495,0.63254285,0.9991819,0.9503521,0.53300667,0.6095877,0.68901634,1.446721,1.39152,0.9400113,1.2486484,1.0474751,1.0782449,0.82202005,1.1242589,1.3304048,1.4446374,0.70765024,1.2912314,0.6479455,0.7832313,1.0858924,1.1793381,1.2792027,0.8540833,1.2300613,0.7400343,1.0378492,0.7040721,1.3131816,0.39873636,0.85637516,0.51890993,1.410342,0.64876175,1.3097281,0.8461673,1.095578,1.4440131,0.7929557,1.3142059,0.70814764,0.7096229,0.5322647,1.4403491,1.3949467,0.89950323,1.2068503,1.2044342,1.459693,0.8105999,0.90229046,0.83008575,1.0410161,1.4404523,0.6584429
bear,0.6349097,1.1062334,1.0976949,0.90393937,1.0460943,1.1174161,1.0981337,1.2017616,1.0136449,0.0,0.9697186,1.0853448,1.0136554,0.94938046,1.0625671,0.83347744,1.0368986,1.1606677,1.129677,1.2022011,1.1984019,1.1652223,1.1824591,0.98079294,1.1598089,1.1738026,1.0948563,0.4589368,1.1659516,1.1109451,1.1114124,1.0362103,0.9283557,1.076913,0.96235746,1.1851327,0.95582825,0.91604525,1.1427146,1.024403,1.178062,1.0355817,0.9367486,0.5476986,1.0066003,1.0735488,1.130086,0.99701864,1.0389,0.76349854,1.006763,1.0255944,1.0174929,0.8547775,1.0611235,1.0184995,1.1305528,1.1414193,0.97645813,0.9700167,0.9841027,0.9988115,1.0861137,0.798069,1.1409698,1.0010538,0.98102695,1.0082285,1.0994353,0.9060087,1.0657927,0.86696464,1.1276668,1.1228961,1.1273295,1.149165,1.0486817,1.1311419,1.0474389,0.8863559,1.0339452,1.0618776,0.69287056,1.0274624,1.2068636,1.056706,0.96689105,1.0904977,1.0514951,0.7046107,0.9251299,0.88555723,1.0907352,0.81288373,1.0995806,1.1035798,1.0362651,0.8947343,1.1653426,1.0133135,0.94108343,1.1859678,0.956914,1.083266,1.0294731,1.1120858,1.0910773,0.6433064,0.93470895,1.1786302,1.0670223,0.86411536,1.1470819,0.8919545,0.9602746,1.0201011,1.0216067,0.9771343,1.1668291,0.8304701,1.0742347,0.85534555,1.0690244,0.9500263,1.0922736,1.143599,1.0358589,1.1868391,1.050203,0.9434265,1.018551,1.2234023,1.0444937,1.0674067,1.0481145,1.1438408,1.1936944,1.1394897,0.88206935,1.0236183,1.1584579,1.0457021,0.9490596
