,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.23285,1.3875037,1.0875046,0.6062828,1.3615205,1.1471806,1.256845,1.0224985,0.8252367,0.4949544,1.3666749,0.5940778,0.71820235,0.789664,0.5450438,0.86535925,0.49674177,1.4258299,1.1966882,0.5738024,1.0634704,1.0753171,1.1965207,0.6051121,1.2214433,1.1476685,1.3444396,0.52493477,0.8301475,0.83078146,1.2405605,0.7535615,1.1337808,0.8756537,0.57546705,0.8769437,1.4249804,0.75386626,1.4728844,1.0299765,0.98074496,0.51843226,0.88455075,1.0330818,1.0476937,0.8655228,1.2676996,1.4663336,0.8720457,0.96794343,1.3072011,0.9418425,0.6994573,1.044687,1.1701106,1.3593175,0.69585264,0.88780373,1.4090818,0.9712716,1.1952263,0.9193563,1.2701161,0.84517455,1.319994,0.7260938,1.2402631,0.7248818,1.0888624,0.70252913,1.1947689,0.7193478,1.3369213,1.0295904,1.1328046,0.9420996,0.77705646,0.78057873,1.3006191,1.1427205,1.4258456,1.1279664,1.2439562,1.3494028,1.4392381,0.7684653,0.83579725,0.6620799,0.82189393,0.46882355,1.293126,1.2998786,1.2689444,1.3857758,0.9138884,1.180565,0.99098045,1.0329264,1.013921,0.8172664,1.3913178,0.9979751,0.8791771,1.2637789,0.7090569,0.79085624,0.8505734,1.2321826,0.9990437,1.0503837,0.7127753,0.7031576,0.9867392,1.4311826,0.78783554,1.0166104,0.6400666,1.2416341,1.3945415,0.75514054,0.87674123,1.4029481,1.359983,0.89034075,0.67828393,0.53227353,1.3855412,1.3914413,1.2621329,1.2608873,1.1364696,1.0591872,0.7392157,0.8777907,1.2377822,1.4552886,0.72817636
ankle,1.23285,0.0,0.87394536,1.2515646,1.2808342,0.78392285,1.1022485,1.037541,0.9862835,1.0783135,1.2760382,0.36948466,1.3404686,1.2770156,0.9506049,1.2977597,1.0402048,1.1356027,0.5480499,0.7867053,1.1997713,1.1037939,1.0217531,1.0739756,1.1520509,0.9884529,0.79117036,0.7843306,1.2031946,1.0409483,1.2496616,0.8209015,1.2589706,0.70312196,1.2134314,1.2897184,1.2216867,0.35699308,1.2259383,0.47484702,1.032796,1.1155964,1.2452182,1.212944,1.0057886,0.94053066,1.1458182,0.8596232,0.77096105,0.9957052,1.1570401,0.99736345,1.185507,1.0144963,0.92517364,0.99159217,0.62542135,1.052467,1.2885398,0.49941176,1.282113,0.9886457,1.2070473,0.96111596,1.3752162,0.8563349,1.088296,0.68049204,1.3131554,1.1722075,1.298115,0.8008184,1.3964682,0.48670518,1.173343,1.1427755,1.1408162,1.4138764,1.253205,0.64433897,1.2071661,0.3112054,0.90477407,0.9385452,0.2769096,0.45733583,1.2585418,1.0957342,1.3919433,1.2737002,1.2960949,0.91422206,0.6361674,0.69944423,0.9466301,0.9984136,0.7167799,1.0841433,0.8491181,1.106215,1.0074978,0.91243654,0.85603595,1.0108536,0.6237237,1.2834088,1.0806303,1.2510918,0.8184125,1.2203403,1.006143,1.2762078,1.3114545,1.2481713,0.6278845,1.2339742,0.7915499,1.2123392,0.6493077,0.39599508,1.3377986,1.1901811,0.67297345,0.28355932,1.1666713,1.2937043,1.3095484,0.74019027,0.81207365,0.54253614,0.76821977,0.8646436,0.9828487,1.2496982,1.139596,0.85711485,0.5213726,1.0567967
apple,1.3875037,0.87394536,0.0,0.71278024,1.252229,0.5449628,0.5639099,0.3538469,1.1633046,1.299736,1.459764,0.83273864,1.4550425,1.2713753,0.8478817,1.384128,0.92536616,1.233011,0.85210073,0.79710555,1.3131416,0.7353933,0.8843968,1.076537,0.9907569,1.1076245,0.90569365,0.7367158,1.3295913,1.4292834,1.0693789,0.7421204,1.3893504,0.8615836,1.1873485,1.4224561,1.0400572,0.736698,1.3650572,0.7710645,1.0198673,1.0779916,1.2298267,1.0178577,1.2892115,1.1235818,1.1712985,0.93793285,0.11805588,1.0356501,1.0949868,0.8443678,1.2135077,0.97609234,0.91310346,1.0012798,0.7607907,0.81517583,1.1783577,0.83201003,1.1891303,0.8420275,1.1996586,0.7366153,1.2039169,0.85532343,1.0527136,0.9320355,1.3695252,1.0367645,1.3840876,0.899877,1.4717337,0.76448953,1.0265095,0.1676532,1.0858027,1.2462094,1.2934766,0.9125055,0.7948068,0.7392803,0.95386,0.9717066,0.7946,0.44918084,1.3647935,1.0950514,1.4121475,1.3245859,1.2967885,0.7018011,0.8619388,0.88362134,0.068960845,0.95551926,0.966322,0.8740308,0.8944226,0.8620151,0.9820055,0.43660152,0.85042006,1.1559167,0.83036846,1.3448296,0.9983646,1.0491443,0.87091446,1.0502435,0.86124164,1.329598,1.2697982,1.1597143,0.8123629,1.3620288,1.1016159,1.3009546,0.8899833,0.7320366,1.2745165,1.121107,0.6633317,0.78887486,1.3160542,1.3510222,1.3388336,0.63856024,0.80426216,0.8570047,0.8856021,0.9971837,0.8327178,1.071083,1.1446801,1.0751336,0.81189555,1.2816191
applesauce,1.0875046,1.2515646,0.71278024,0.0,0.96319056,1.140494,0.7678101,0.56805503,1.2494546,1.079283,1.2599422,1.2001094,1.1746362,0.9377988,1.0823255,1.1058638,0.9350915,1.1262298,1.0960841,0.86448205,1.157702,0.62086487,1.0779963,1.0165352,0.9746887,0.98106515,1.1651018,1.0104591,1.1502607,1.3039622,0.75225925,0.9714354,1.0942376,1.0907156,1.0796845,1.200309,0.6909132,1.1873871,1.2174885,1.1593667,1.0127847,1.0744166,1.0814544,1.0708159,1.1647075,1.050727,0.99580824,0.9722054,0.75185096,1.1084982,0.93917423,0.8572972,1.0663667,1.0021708,0.9318022,0.9753092,1.046362,1.0178179,0.8027631,1.120371,0.9106153,0.9674033,0.99617636,0.9333476,0.68392396,1.0356266,1.0966157,1.1262807,1.1410041,0.8221396,1.1231556,1.0207748,1.0528045,1.1159006,0.7467358,0.6305388,0.9695814,0.85916644,1.1582564,0.98719835,0.63295865,1.1986156,1.0334145,0.87899977,1.1800318,0.99241877,1.0248716,0.99270123,1.0231447,1.1268336,1.0284208,0.77270514,1.1430995,1.1181022,0.58238447,0.9421395,1.2337064,0.7129388,1.0716608,0.76062566,1.1284168,0.8469031,1.005099,1.2033118,1.1371946,0.9824637,1.0679604,0.96858793,0.9145713,0.9406315,0.9919824,1.0895948,0.91920006,1.0591989,1.0677229,1.1392975,1.1593058,1.1262901,1.0995246,1.1553955,0.9025849,0.8830767,0.9453676,1.2205791,1.2570257,1.0765394,1.0410184,1.0031695,0.9994858,1.1376069,1.0905058,1.1225436,1.1575567,0.9245299,1.0236734,1.1549602,1.119846,1.079391
arm,0.6062828,1.2808342,1.252229,0.96319056,0.0,1.3375802,1.0862256,1.0505418,1.1291788,0.905965,0.7310474,1.2551051,0.74558276,0.7644579,1.1330777,0.74270755,0.85525024,0.72395396,1.3470643,1.2261277,0.814544,1.1641285,1.0556507,1.1757828,0.85621184,1.2151276,1.1754593,1.0456216,0.80424166,0.90768063,0.9416766,1.2864075,0.73466897,1.1971414,0.9241668,0.74730706,1.0069656,1.2558361,1.0080537,1.370327,1.1430641,1.030119,0.8849706,1.0708668,1.0522763,1.0016348,0.7508955,1.0162841,1.3339107,1.0757755,0.9831452,0.8774092,0.94494253,0.88472056,1.0878834,0.9467505,1.2513552,1.0530435,0.9383919,1.1909151,0.73356307,1.1247559,0.90248585,1.269073,0.46063817,1.1701032,1.0540729,1.2235891,0.6724639,1.1270732,0.47537547,1.064185,0.8374418,1.3995583,0.975567,1.095191,1.0036663,0.6789621,0.8736199,1.1326828,1.0585018,1.2870677,1.1678458,0.9930501,1.3251334,1.3318717,0.83958524,0.90378076,0.4838366,0.60909003,0.61980987,1.0948337,1.2054952,1.175,1.1923813,0.8296859,1.1615984,1.0796583,1.2495376,1.0721732,1.1057092,1.1967466,0.8592357,1.1043376,1.3192797,0.7969985,1.1779573,0.9150347,1.2556224,1.0601237,1.0957893,0.5172665,0.8899102,0.7217085,1.2830045,0.93935466,1.1006088,0.568206,1.1849064,1.3138434,0.7327286,0.93280995,1.3066646,1.326929,0.9550561,0.60148764,0.69578254,1.3557748,0.97960156,1.1911902,1.1691738,1.242357,1.2579162,0.85859305,0.92747617,1.2106879,1.1560594,0.85690165
ball,1.3615205,0.78392285,0.5449628,1.140494,1.3375802,0.0,0.6869607,0.90490234,1.0821042,1.2065159,1.353728,0.68625486,1.3519006,1.2601454,0.88632923,1.3247403,1.1712375,1.1846687,0.7682779,0.9658295,1.1967586,0.9645784,0.9177372,1.0117157,1.0502334,1.0193192,0.99696904,0.84790516,1.2292011,1.387949,1.2012695,0.6027654,1.2982904,0.78058046,1.2088641,1.3369275,1.1798441,0.71417767,1.2874677,0.6405636,0.9860309,0.9509227,1.1195627,0.80201834,1.1849811,1.1851363,1.073565,0.8891603,0.50766724,0.89426565,1.0194373,0.87782896,1.2464635,1.0766131,0.79314476,1.0529802,0.82814956,0.9067217,1.15814,0.730829,1.1071286,0.74944854,1.113552,0.7704498,1.2462435,0.7159194,1.0062158,0.76648116,1.3143198,1.0646756,1.3913534,1.0777192,1.3891737,0.7215368,1.0083044,0.75497395,1.1451116,1.242369,1.2363433,0.9092632,1.0302002,0.5722722,0.98444164,0.9903971,0.6517527,0.5809734,1.4176316,1.000459,1.3350239,1.3414707,1.2983133,0.86681724,0.7510778,0.7724939,0.6507289,0.9143012,0.81000817,1.1148108,0.87357306,1.1696706,0.9600446,0.56775504,0.8335725,0.934343,0.7143979,1.3809506,0.91772926,1.0693942,0.7275641,1.0292792,1.014394,1.3296111,1.1934316,1.1317998,0.7940743,1.2626088,1.1605341,1.1493442,0.9030029,0.6542537,1.2315712,1.2302088,0.8585601,0.61151373,1.2650132,1.317598,1.3157583,0.54877406,0.76977104,0.83767164,0.78297967,0.9345423,0.5997677,1.2761345,1.2695528,0.9108827,0.6732123,1.273183
balloon,1.1471806,1.1022485,0.5639099,0.7678101,1.0862256,0.6869607,0.0,0.6073983,1.1002563,1.0034169,1.1490407,1.1503651,1.0428181,1.06051,0.93867606,1.1967616,0.8531187,1.0116619,0.8976128,0.7616005,0.95231557,0.94223696,0.9509029,0.82651335,0.97268486,0.94608617,1.0307673,1.0080147,1.2094164,1.1353673,1.0191039,1.0240844,1.1715748,0.9198064,1.0569186,1.1470295,1.004338,0.9614477,1.1202773,0.92355895,1.132094,0.85041463,1.1470044,1.1226681,1.1904893,1.0736967,0.9974455,1.0476203,0.6052573,1.1607834,1.078201,0.9388983,1.1534556,1.1652853,1.0083228,1.0718848,1.0928836,0.96885824,0.91939735,1.1697993,0.96721697,0.84337425,1.0861421,1.0268925,1.0031806,0.94306195,1.0838931,1.0537817,1.1936547,0.7602153,1.1197221,0.8981167,1.0946138,0.7974823,1.0582913,0.5330988,0.86748976,0.92752796,1.1388069,1.0478555,0.939136,1.0503122,1.1015482,1.0656762,1.0215056,0.8408868,1.128275,1.0350636,1.1118647,1.1209121,0.9990812,1.0674582,1.0365822,1.0067133,0.4764408,0.9192077,1.1887484,1.0579033,1.0978932,0.91915375,1.117433,0.9085802,0.94921607,1.22431,1.0550281,1.0905025,1.0529814,1.048594,0.8630012,0.9760569,0.90537643,1.1551368,1.1087265,1.0582144,1.0229743,1.1262513,0.9570217,0.8885546,1.1475408,0.9683952,0.87317127,0.9826884,0.9476092,1.050309,1.2096666,1.1366936,1.0034002,0.8132406,1.0798824,1.0155352,1.0023464,1.1143838,0.8209498,0.94009584,1.1028564,1.1799188,1.0900141,1.0843251
banana,1.256845,1.037541,0.3538469,0.56805503,1.0505418,0.90490234,0.6073983,0.0,1.2029567,1.3314165,1.459313,0.93279636,1.3425996,1.3057338,0.85979384,1.3642633,0.7637171,1.209293,1.0145599,0.9637025,1.3364363,0.82800746,0.8918501,1.103251,0.97305936,1.1030537,0.90037954,0.5060898,1.3253729,1.3437123,1.085525,0.83409023,1.3189965,1.0483303,1.1090351,1.3802879,1.0563612,0.6724576,1.3482634,0.96105784,0.9512893,1.1280941,1.2760748,0.92952037,1.3135997,1.0702459,1.1893153,0.7421032,0.46435332,1.1729338,1.0805794,0.6170642,1.2620988,0.78412205,0.9292947,0.713721,0.74678314,0.7182884,1.1985865,0.79681635,0.9541429,0.7102923,1.1989462,0.77465445,0.9003283,0.8279763,1.0706265,1.0887139,1.2993064,1.0319209,1.162314,0.67514807,1.3658,1.0065742,0.93264055,0.5350394,1.2068932,1.1430554,1.1845744,0.88163394,0.7023537,0.85209495,0.9011953,0.7948574,0.9800814,0.65294033,1.3696947,1.0868003,1.3138736,1.1318071,1.2713933,0.61241513,0.8972394,0.8798748,0.2805326,0.96730036,0.9587871,0.94010067,1.0691171,0.9400906,0.9538178,0.56639194,0.88240796,1.2437106,1.0301553,1.3517258,0.9116331,1.0346488,1.007856,0.9742663,0.59899354,1.2581618,1.0884668,1.1028563,0.7048625,1.4030167,1.163565,1.14971,0.7519498,0.94368535,0.9954301,1.1738284,0.5947509,0.9923436,1.2137296,1.3130263,1.3504076,0.70058215,0.6488179,0.7725142,0.92038673,1.0472405,0.7688513,1.1125082,1.1556411,1.0157903,0.80607367,1.349867
basket,1.0224985,0.9862835,1.1633046,1.2494546,1.1291788,1.0821042,1.1002563,1.2029567,0.0,1.1203067,0.8856158,0.9387448,0.9034507,1.0627086,0.91803735,0.9208115,0.926464,0.76667404,0.849597,0.9160279,0.644963,0.95972705,0.8912011,0.7372992,1.0793993,0.74490356,0.82952106,1.1858312,1.1257836,0.7004917,0.9125445,0.9173062,1.0005289,0.9341214,0.9818159,0.9796512,0.9202365,0.95405245,0.5658217,0.8884206,1.0711569,0.732224,1.0923132,1.0625987,0.8989338,0.70314246,0.97045195,1.2041938,1.1470772,1.0563948,1.2368855,1.28077,0.94119436,1.0848267,0.9637961,1.1798579,0.9022952,1.0073858,0.95677125,1.0893022,1.0907873,0.9267346,1.2114736,1.0647827,1.2662762,1.0108821,0.9528479,0.8265129,1.1167375,0.7526606,1.1012161,0.8642777,0.90125513,0.91332954,1.0897541,1.1633738,0.94627255,1.0252086,0.9765426,0.9853746,0.9927635,1.1114999,0.84552133,1.130783,1.0880501,1.0687022,0.99022096,1.1250049,1.1407909,1.121447,0.8574414,1.0186654,1.020093,1.0297338,1.1934958,1.1808684,0.7121893,0.8227379,0.81726956,0.96996146,0.990538,1.1316402,1.012266,0.6957036,0.70438147,0.9457389,1.0408028,1.0458542,1.0333695,1.084415,0.93212235,1.2003667,1.0531214,1.2098767,0.97830176,1.0495794,0.81515837,1.0997661,1.0559926,1.0352504,1.1016513,1.1206033,0.9063414,0.9789312,0.74584776,1.2015018,0.9032748,0.80287325,1.243115,1.1083245,1.0444739,0.78455675,0.92012584,0.71295017,0.9803297,0.9336646,1.0683074,1.0435444
bathtub,0.8252367,1.0783135,1.299736,1.079283,0.905965,1.2065159,1.0034169,1.3314165,1.1203067,0.0,0.6159329,1.217629,0.70170844,0.79512334,1.2307172,0.8255465,1.1127826,0.94334674,1.1276206,0.95440423,0.7904294,1.1637391,1.0892367,0.9254579,0.94882417,0.9929121,1.1740694,1.3375463,0.76260084,0.77961886,0.9937628,1.2251424,0.64994,0.9232304,0.9813563,0.70260614,0.98297143,1.2296785,0.8107964,1.1156374,1.1039757,0.87896967,0.8895748,1.2069879,0.53194165,0.93122655,0.95994663,1.1174619,1.1887531,0.9955614,0.87684435,1.1648922,0.79105794,1.2140607,1.1083611,1.125275,1.3108649,1.1934776,0.89315534,1.2245431,1.1846955,1.3004029,0.8064927,1.2257068,0.98427707,1.1960292,1.1236222,1.0031489,0.83037406,1.0344158,0.90664256,1.1316028,0.70575655,0.8776063,1.2026966,1.1850435,0.7869489,1.013029,0.93660563,1.1527919,1.289558,1.1867319,1.0563167,1.1653687,1.0444099,1.2442588,0.54552484,0.8761674,0.7972125,0.93154824,0.76833606,1.275884,1.0995663,1.1020011,1.2258492,0.9834378,1.310622,1.1501293,1.1236653,1.0259571,1.2007563,1.2996429,1.0119219,1.0834205,1.127363,0.65012515,1.2389896,0.97245455,1.0218681,1.1000633,1.2159903,0.81448746,0.9987404,0.9235436,1.2765253,0.40545195,0.5036732,0.7541127,1.2654806,1.0193073,0.9479601,0.83698195,1.2537001,1.1410887,1.0381286,0.78892076,0.6653545,1.2814811,1.21509,1.1622874,1.0609331,1.0830796,1.2232149,0.8610449,0.9223579,1.015917,1.2588882,0.6086714
