,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.9166522,1.0261182,1.1459968,1.2387902,1.241706,1.0993137,0.89447314,0.7547528,1.112281,1.1145431,1.2457194,0.6606705,0.8821593,1.3786741,0.89095867,1.251704,1.0614758,1.0309873,0.7532015,1.0305892,1.1206403,1.028497,0.80965066,0.98573935,0.7300323,0.7212017,0.76252234,0.9971814,0.9964679,0.9578313,0.7316559,0.9537321,1.0546756,1.1047162,1.0074121,1.1033005,1.2334429,1.0870223,0.6676124,1.1614106,0.80721104,0.7545234,0.99779534,1.0215296,1.2358111,0.9203812,0.65805185,0.94714326,1.2270093,1.0752918,1.0426654,0.91291314,1.2606776,1.1711745,1.0701654,0.686037,0.8324336,1.1051043,0.56680477,0.7937753,1.3052806,0.81983733,1.1886795,0.77481526,1.2509032,1.2020049,1.0359654,1.3502493,0.9538063,0.8410946,1.2014517,0.9455481,1.2822316,0.7334215,0.77877563,0.41591656,1.1712793,0.9511368,1.0110856,1.2131449,1.4255939,1.1497035,1.2860961,1.0038064,0.6523945,0.70219666,1.1381729,0.90104127,0.9817432,1.225516,1.3297496,1.2724918,1.0271457,0.53674036,0.7252059,0.9765808,0.97818935,0.902493,1.1584399,0.7538086,1.0746447,0.97331893,0.88589054,1.2134368,1.1984552,0.82158583,0.94012254,1.0571314,1.0783179,0.93116105,1.0602828,1.0519031,1.0501521,0.9029467,1.308455,1.1346459,1.2477012,0.66291887,1.1504759,0.56079185,1.2038888,0.8756817,1.1612206,0.7548502,0.8159541,0.75284696,0.7614764,0.5912054,0.89408255,1.0621587,1.2127377,1.3433123,1.253947,1.0801244,1.1343807,0.7788369,0.9222127,0.7335768,1.1127173,1.1367332,0.9094342,0.9863462,0.60255265,0.86535823,0.8425003
ankle,0.9166522,0.0,0.77662915,1.0935317,1.0089415,1.0039756,0.8088722,0.84700596,0.97489357,1.3144412,1.2264652,1.3043203,0.40295565,1.0516906,1.1966155,1.1471285,1.195353,1.1974291,1.2357318,0.8161359,1.1826801,1.3201072,0.9876277,0.95959157,1.0117773,0.9468063,0.60003144,1.0436608,0.80591565,1.1954534,1.1774056,0.7698448,1.0626267,1.0172408,1.1599526,0.98461604,0.9182899,1.2736677,1.1538752,0.5763575,1.3711939,0.82099646,0.97596043,1.1757818,1.31053,1.2220311,1.0748324,1.0918638,1.0625103,0.53409886,0.8419577,1.0084925,0.81781155,1.1526917,0.4622568,1.1939393,0.6920984,1.0298253,0.3729285,0.4782809,1.2653406,1.3152984,0.4820071,0.80253565,0.94081724,0.9875869,0.9459119,1.0606841,0.939755,0.6327612,1.1059418,1.0456783,1.1447781,1.0474497,0.8579562,1.1448195,0.8065925,0.92995125,1.0204412,1.2345945,1.2144306,1.162034,1.2732117,1.0604377,0.5464707,0.63175166,0.7056997,0.7755888,0.6828706,1.1944542,1.2669187,1.0427583,0.974639,1.1999768,0.65950173,0.6678343,1.0133901,1.0313163,0.8886414,1.2024038,1.0332162,1.1930599,1.0712025,0.68797386,1.0651716,1.3054101,0.9151765,0.61160713,1.2364265,1.1907957,1.2151369,1.1147186,1.1428406,1.1324549,1.148401,1.1194763,1.1194847,0.75548756,0.69385415,1.3143125,0.886423,1.3405296,0.4709592,1.1328683,0.5567572,0.63601744,0.9002552,0.84364796,0.8833821,0.8088988,1.0282679,1.1733152,1.1707575,1.4052534,1.0256402,0.44498456,0.64371115,1.1010228,0.6388448,1.2959602,1.427172,0.9276771,1.079615,0.97344524,0.41580433,1.0233722
apple,1.0261182,0.77662915,0.0,0.9026506,1.4131112,0.3464216,0.48085636,0.5154099,0.86755896,1.4775014,1.1848902,1.4873381,0.755738,1.3602257,1.4318967,0.9501075,1.483064,1.369902,1.2287245,0.4690566,0.7344798,1.4532547,0.74690473,1.0775963,0.9672944,0.86869085,0.76982176,1.0924834,0.7200485,1.2732625,1.4382517,0.4305545,1.3431003,1.2366419,1.132786,1.2997944,0.5495996,1.4577367,1.1057653,0.451046,1.5617168,0.42811525,0.9121267,0.8727473,1.2516586,1.1367859,1.294209,1.1792152,0.96231765,0.67478466,0.26543558,1.2015291,0.58307016,1.0891432,0.7731154,1.2845924,0.6779041,0.6567852,0.812079,0.61467457,0.9036686,1.2860124,0.5122928,1.1183352,1.1269352,0.70261097,1.1527046,1.188529,1.225086,0.48573494,0.9844023,1.4117203,0.9184152,1.4216778,1.2291257,1.223094,0.68645537,1.2189673,0.8795721,0.86469054,1.2320037,1.3510512,1.3772124,0.83331656,0.24496949,1.0433933,0.7901441,0.5410931,0.21555269,1.4607437,1.177604,1.4710675,1.3653028,1.4163753,0.7330886,0.89332515,0.82026213,0.5595848,1.2149272,0.9300221,0.8924958,0.98916584,1.1451808,0.69288963,0.7615504,1.465821,0.66795224,0.5055974,1.4517415,1.3159457,0.99227595,1.181171,0.88390344,0.9802932,1.1417466,1.35466,1.2986741,1.216894,0.62862676,1.375535,0.9201872,1.3977605,0.42917734,1.2292347,0.3746478,0.6431649,0.6879543,0.6860464,0.94824684,0.9911288,0.3581798,1.3064742,1.3493032,1.4293778,0.53422624,0.6171638,0.74612814,1.2918398,1.0591861,0.87706,1.3089218,1.1199769,1.0145336,1.0075238,0.53614223,1.3029495
applesauce,1.1459968,1.0935317,0.9026506,0.0,1.0231088,0.767718,0.84465975,0.8749552,1.1015869,1.0884774,1.0279123,1.174487,1.0214505,1.1953444,1.0854417,1.0017236,1.144336,1.0286499,1.1119317,1.1012973,0.8081597,1.1363595,0.7105608,1.2388304,0.9480386,0.9416091,1.1840186,1.2430583,0.8901198,1.0532659,1.2055323,0.9906048,1.2197409,1.2501545,0.86138856,0.96866417,0.88363904,1.1588254,0.86156106,1.0730975,1.1832472,1.0143001,1.1018819,0.7594041,1.0145247,1.1295776,1.1735466,1.0397571,0.95323026,0.84453416,0.67156076,1.1353685,0.8472859,1.0690215,0.75756,1.1118287,1.0280676,1.0931196,0.93553126,1.1073953,0.96513253,0.9005203,1.0472469,1.0698345,1.2106531,0.7104554,1.0742526,1.0581789,0.812961,1.1067922,1.070533,1.2597955,0.9511833,1.1404257,0.99200827,1.0564498,1.0186524,1.0302192,0.87661785,0.74950683,0.9417703,0.97113854,1.1898603,0.74522823,0.95377135,1.0565572,0.97354454,0.91989607,0.9632437,1.2129638,1.0541816,1.1356189,1.1731173,0.9518862,1.0869466,0.985863,0.9814429,0.44364452,1.1438271,0.9367486,1.1261848,0.8038093,1.020582,0.89391863,0.9446769,1.1055093,1.1317176,0.9964081,1.2075851,1.0057074,1.0291679,1.0238246,0.81429803,0.88607657,1.0166541,1.1491456,0.98556525,1.1274102,1.0967377,1.0911635,0.97169423,1.0165318,0.9946539,1.1822149,0.9915349,0.9628033,0.77459526,0.9017004,0.85184616,0.94494003,0.81334305,1.161938,1.1444212,1.0798903,0.8616525,0.831173,0.73432815,0.97096986,1.1507884,1.0041392,0.99104065,1.0680538,1.1725894,1.1471142,0.97172046,1.2108384
arm,1.2387902,1.0089415,1.4131112,1.0231088,0.0,1.1629006,1.2253512,1.2951416,1.3886893,0.5991692,0.7267447,0.46246195,1.0964983,0.7538105,0.44866496,1.2827348,0.45336807,0.63944554,0.98211896,1.5158006,1.3267547,0.9149938,1.1384588,1.2260369,1.3386431,1.2515302,1.43355,1.1255953,1.0431025,0.7200205,0.8513212,1.5849082,0.96310884,0.7874337,1.037369,0.7354053,1.2644715,0.46473455,1.0320299,1.4705398,0.7953019,1.5412279,1.3010235,1.1532621,0.8526893,0.90769726,0.90981805,1.1134803,1.1673448,0.9973338,1.3286886,0.80477047,1.2807175,0.7457799,0.7872118,0.85830593,1.366719,1.4213035,0.8405329,1.4903642,1.3518045,0.6493985,1.3400259,0.81358427,1.1029779,1.1589093,0.65079296,0.84992224,0.37655127,1.3798332,1.311996,0.6348626,1.324885,0.30342257,0.8259681,1.1224974,1.4897139,0.38483763,1.0241802,1.058676,0.8401194,0.4527787,0.80700374,0.9099648,1.3519487,1.2263699,1.2670501,1.0945917,1.4969602,0.81710297,0.7879764,0.28179878,0.37686396,0.7693174,1.3407601,1.0582066,1.3210745,1.2036047,0.80409753,1.0417199,1.3572495,1.0336729,1.070086,1.1140101,1.1125716,0.74664855,1.4807401,1.2437172,0.76311994,0.7124563,1.1778302,0.74633557,1.0972669,1.1231487,1.0142547,0.31419456,0.73071927,0.5108396,1.4890093,0.6276082,1.2549367,0.5660166,1.3078709,0.84320104,1.3968368,1.3428624,1.3162115,1.3865833,1.2871255,1.0531594,1.3673487,0.8239163,0.409338,0.65569913,1.4729446,0.9610412,1.1172923,0.65961826,1.1995704,1.3056355,0.86879265,1.0504663,1.249398,1.2655895,1.2336469,0.8921816
ball,1.241706,1.0039756,0.3464216,0.767718,1.1629006,0.0,0.2585231,0.8328308,1.1575192,1.266035,1.051641,1.2720245,0.96803975,1.343262,1.1114235,1.0096797,1.2370384,1.2033451,1.1160634,0.87044525,0.6900344,1.256106,0.9509731,1.1549801,0.910054,1.0286123,1.0923514,1.1792378,0.8256068,1.1548388,1.3831751,0.8258172,1.3572648,1.2132714,0.903478,1.0671315,0.5798275,1.2450043,1.0956733,0.8554412,1.3683071,0.772933,1.0468423,0.7044857,1.1220272,1.018116,1.2839897,1.2274202,0.99245816,0.7722565,0.23963618,1.0947441,0.67432606,1.0004143,0.82521856,1.2097709,0.8652872,0.9402557,0.92199445,1.0116149,0.8956235,0.8819619,0.89638853,1.0034947,1.1265972,0.5321169,1.0674267,1.1557838,0.97751737,0.8161437,0.9911656,1.3472712,0.94886273,1.2067391,1.1891708,1.2890816,0.9429199,1.1279877,0.97342885,0.74939203,0.98038214,0.93372786,1.2567,0.80946946,0.55643094,1.240146,1.002655,0.57181615,0.6156069,1.418114,1.0085685,1.1814791,1.191066,1.2057681,0.9897325,1.0602807,0.95287794,0.6876683,1.1739777,0.9098315,1.1229414,0.84736294,1.0339483,0.88386637,0.7097788,1.2091144,0.96715546,0.6649164,1.381425,1.1765101,1.0205058,1.1797452,0.84963524,0.9718219,1.0382257,1.1595103,1.1129519,1.1547954,0.9643577,1.22398,1.0754174,1.1122595,0.8367535,1.1522576,0.7891566,0.8344547,0.8381717,0.86251295,0.9666193,1.0657939,0.3983767,1.2162522,1.162367,1.1928682,0.5508295,0.7864089,0.81723106,1.0447282,1.219944,0.787743,1.108125,1.1276869,1.0449743,1.207728,0.88289773,1.2386496
balloon,1.0993137,0.8088722,0.48085636,0.84465975,1.2253512,0.2585231,0.0,0.7666112,1.0609993,1.2738701,1.2384077,1.4169488,0.8705186,1.2593157,1.1893986,1.0557657,1.3377104,1.1928151,1.108681,0.778063,0.7655642,1.2248981,1.0233556,0.94783795,0.7821953,1.0384417,0.9250229,1.0833309,0.76526004,1.2631822,1.2767761,0.7902901,1.1834819,1.1366563,0.8911802,0.9573083,0.80997944,1.3634819,1.1422278,0.6894265,1.3050983,0.7175157,0.9674175,0.86944157,1.2501104,1.106799,1.1327751,1.1280313,1.0324414,0.7097042,0.405046,1.1149253,0.841251,1.1457257,0.7675907,1.2519013,0.79371285,0.89698523,0.8559588,0.73914707,1.0147758,0.9097153,0.8216789,0.8805576,1.0196514,0.64827985,1.1048756,1.1876358,0.93210626,0.7498754,1.0526524,1.3536228,0.9580571,1.2824497,0.99513924,1.201245,0.7967773,1.2380065,1.0388302,0.81699896,1.0181128,0.95284337,1.3313912,0.8851793,0.52542436,0.9768264,0.83758736,0.7810273,0.6199927,1.3405282,1.1918325,1.2031312,1.2031177,1.1868287,0.7833316,0.85303205,0.99467003,0.754123,1.1438756,1.0303819,1.0462258,0.8466491,1.110527,0.83373183,0.75905645,1.2311711,0.9748668,0.6960354,1.2901573,1.2449284,1.0138623,1.1522886,0.8383068,0.949767,0.96527797,1.2591879,1.185661,1.1058388,0.7510441,1.2698357,0.8769245,1.1116014,0.8002193,1.234545,0.6787244,0.70132244,0.813113,0.7173758,0.8823129,1.0398445,0.5125016,1.2921042,1.2797496,1.2361294,0.6967112,0.77441674,0.6981151,0.94608635,0.94969285,0.8863856,1.141582,1.0059328,0.960538,0.9975547,0.80471474,1.0475779
banana,0.89447314,0.84700596,0.5154099,0.8749552,1.2951416,0.8328308,0.7666112,0.0,0.7644347,1.3847406,1.2651231,1.4983675,0.867918,1.2403582,1.3609903,0.91530037,1.4619765,1.296723,1.1031086,0.68056554,0.8569665,1.30303,0.5350385,0.83494633,0.9075572,0.8136904,0.84419394,1.0715772,0.5462476,1.3104913,1.372489,0.64760816,1.2404569,1.2509093,1.3057303,1.1085087,0.7956451,1.4951639,0.8203164,0.47009134,1.4352477,0.695364,0.8714928,1.0744053,1.2884586,1.185221,1.2968595,1.1384525,1.0030398,0.8501991,0.59188163,1.2402741,0.80004597,1.2220383,0.83631325,1.2634162,0.6613499,0.7404715,0.80366814,0.62550145,0.8453648,1.3120987,0.7101694,0.9301831,1.0417827,0.8016567,1.244887,0.9517912,1.1252247,0.69010675,1.0043186,1.2806485,0.9545071,1.3626573,0.9214591,1.200109,0.8516296,1.1698011,0.8451998,0.7441865,1.2001393,1.2204473,1.316449,0.77415854,0.6450578,0.82865477,0.83403665,0.9200047,0.4100051,1.3529094,1.1966748,1.4156878,1.3221004,1.2514617,0.6514261,0.6749672,0.8211103,0.53643084,1.2245089,0.8741693,0.87571853,0.9673514,1.0892841,0.5655781,0.7756189,1.3398631,0.7802021,0.8457777,1.3726163,1.3547659,0.9602405,0.91641146,0.9366045,0.9434873,0.80882883,1.3884982,1.2541401,1.1995721,0.48760074,1.3859193,0.85812414,1.3014257,0.5982074,1.1902506,0.5162514,0.73891914,0.75956297,0.43480933,0.9227656,0.7908183,0.7649869,1.2863252,1.429634,1.3528603,0.7711407,0.7763922,0.6082274,0.99335814,0.9009026,0.87846714,1.1731335,1.0037963,0.9196891,0.96752346,0.7138691,1.2950784
basket,0.7547528,0.97489357,0.86755896,1.1015869,1.3886893,1.1575192,1.0609993,0.7644347,0.0,1.2408816,1.2190428,1.261718,0.97250086,0.9450316,1.3174095,0.8621594,1.250529,1.1553317,0.83556056,0.58674085,0.78407234,0.8627323,0.7006217,0.82046217,0.74676704,0.7523775,0.6615226,0.9325213,1.0768337,1.2446674,0.87891495,0.6221497,0.9162277,1.1094896,0.9548899,1.1130272,0.9907338,1.2471751,0.82294035,0.71283126,0.9658323,0.63210785,0.93875897,0.99472314,1.1375822,1.0521915,1.0525612,0.6657473,0.9620087,1.1302806,0.96906006,1.1611942,1.0178212,1.2418827,1.203666,1.1998973,0.8279686,0.6457054,1.0624026,0.6488348,0.9102241,1.3225217,0.8371337,1.1081908,1.0369564,0.97468644,1.25895,1.0013522,1.3442385,0.76303166,1.0041748,1.1900471,0.6571578,1.4039762,1.0563653,0.7178406,0.69602555,1.2885065,0.69558936,0.8914541,1.2155297,1.3212012,1.1315503,1.0303608,0.906551,0.71447676,0.7727879,1.116678,0.7609058,1.0249476,1.2209418,1.3586421,1.3598279,1.0299809,0.70382446,0.8590256,1.0087928,1.0088884,0.88207006,0.88523847,0.7248186,0.9768596,1.1089495,0.84841716,0.822084,0.9630273,0.66135967,1.1275978,1.0781629,1.105024,0.99952227,1.0419061,1.0152025,0.9697213,1.0371873,1.4072049,1.1775775,1.2876778,0.6290312,1.2339472,0.78176665,1.3004515,0.82455397,1.114127,0.74975467,0.7275525,0.7051643,0.81137335,0.96070194,1.0170195,0.95783883,1.1290094,1.3777745,1.1223183,0.8333847,1.0869715,0.9373803,1.1754028,0.75394744,0.88260186,0.9290804,0.9909478,0.8780429,0.7473484,0.8682152,1.0813409
bathtub,1.112281,1.3144412,1.4775014,1.0884774,0.5991692,1.266035,1.2738701,1.3847406,1.2408816,0.0,0.88084763,0.47111416,1.2935997,0.7628561,0.61652446,1.2127233,0.58219486,0.6328475,0.89355993,1.4291947,1.0432119,0.5537408,1.2929856,1.0110148,0.96426225,1.2414,1.1832445,0.9231036,1.1493415,0.8170954,0.6196658,1.4297884,0.6938555,0.8812065,0.6654197,0.7461107,1.3357697,0.48434216,0.9656882,1.4487902,0.48361588,1.3656578,1.2893577,1.0061766,0.839136,0.98244196,0.59227306,0.7838154,1.1541348,1.2913935,1.410325,0.8515618,1.3167388,0.91987145,1.22423,0.70712197,1.3403282,1.2511165,1.3119413,1.4711354,1.196027,0.654855,1.4712178,1.1299875,0.9723519,1.0824422,0.8997915,0.8868836,0.88384223,1.4999946,1.2542986,0.7428445,1.091714,0.5988525,0.90648717,0.9260749,1.2494802,0.85895973,1.2071406,1.0724189,0.6394743,0.65463704,0.70456284,1.1540873,1.4492346,1.1399286,1.4343091,1.2956485,1.4718223,0.56242025,0.8245584,0.66433024,0.62949866,0.63495755,1.3608004,1.2097502,1.3094119,1.2705837,0.87933064,1.0292609,1.2175338,0.87692887,1.0565406,1.3988554,1.1737964,0.68513405,1.2990713,1.2388145,0.48209953,0.723238,1.1342803,0.6823803,1.0904,1.0619018,0.97990614,0.6628401,0.9084939,0.8154151,1.436487,0.20722854,0.8426855,0.4906851,1.44831,0.8117662,1.4424925,1.4331186,1.2034378,1.3442705,1.1991878,1.1310157,1.2742703,0.7571095,0.62526107,0.47834396,1.2229313,1.3633642,1.2582896,0.7927511,1.1340925,1.0274558,0.5924181,1.0722392,1.0724399,1.0943748,1.4804105,0.74037707
