,alligator,ankle,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,broom,bucket,can,car,cat,chair,clock,corn,couch,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,elephant,finger,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,nose,orange,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,soup,spoon,sprinkler,strawberry,stroller,swing,table,tape,toe,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.0092435,1.1203544,0.89216304,1.0751586,1.1133298,1.1493782,1.1111416,0.9250497,1.1517758,1.0779955,1.0172211,0.95974374,0.8626425,1.1330148,1.1885597,1.0147219,1.1206509,1.0440104,1.197443,1.2220743,1.1119133,0.97302747,1.204848,1.1056417,0.95712215,0.94579774,1.093226,1.0244,1.1810999,0.8406977,1.0052048,0.91957164,1.0754154,1.0937783,1.0933377,1.0654138,1.0529426,0.40598655,1.0275062,1.0050545,1.1442716,0.9900275,1.1027184,1.1083338,0.79988235,1.1657548,0.9403987,0.8785783,1.2011924,0.9882548,1.0896785,0.726673,0.89528036,1.0517936,1.1402569,1.1256055,0.85769266,1.050114,1.0930072,1.0411819,1.072386,1.1194451,0.99762446,1.074107,0.91377157,0.98526686,1.0734906,1.1210757,0.9583509,1.094923,1.0212333,0.9759979,1.0334641,0.86439145,1.0713586,1.1400167,0.9552613,1.0777055,1.1220573,0.8930204,1.0749457,1.0153873,0.99437386,1.0781432,0.98477685,1.1790836,1.028017,0.89911187,1.0345703,0.81146896,1.0942001,1.1562707,0.79985446,0.8995451,1.1646549,1.0229577,0.8990332,0.9632444,1.2077037,0.77986723,0.8883977,1.0166416,1.1394119,1.0791011,1.1445866,1.13522
ankle,1.0092435,0.0,0.7538056,1.1943092,0.77359223,0.7633486,0.9446603,1.0921912,1.347824,0.8963647,1.1350653,1.0413343,1.1873274,1.324332,1.0654594,0.8788078,1.2181811,1.2276483,0.9505632,0.9618088,0.87558836,1.1399678,0.87584496,1.1088358,0.8688829,1.04771,1.2976797,0.8473335,1.299381,1.0411768,1.130474,1.046183,1.0099531,0.8935623,1.1916083,1.1911573,0.8644637,0.9821716,1.1029505,0.76494694,0.7266271,0.79327416,0.89289546,0.7738761,0.5105606,1.2314878,0.7756974,1.0177641,0.8918279,0.69694674,0.85857004,0.7830504,1.3122785,0.96735686,0.857705,0.9847671,0.9628402,1.0095673,1.1884414,0.8571801,0.77544296,0.84136766,0.80221236,0.78752685,0.99573284,0.9587756,1.1025696,0.9727293,0.95574874,0.8788618,1.0110576,0.99209166,1.069607,1.2272048,0.9463821,0.700615,1.1036098,1.3132722,0.84211105,1.0796582,0.9751472,0.8521315,0.8870428,1.0963824,0.962012,1.3513992,0.5785385,0.99793893,1.220902,0.7969662,1.1876473,0.81729907,1.0144138,1.3246096,1.4545656,1.0946825,0.41521597,1.150943,0.8569132,1.0833117,1.3477236,1.2169478,1.2908026,0.79735726,1.1257468,0.73506373,1.1778897
apple,1.1203544,0.7538056,0.0,1.2908556,0.77741754,0.5581183,0.8360294,1.1471468,1.4741135,0.7754051,1.2036786,1.1553881,1.3333733,1.3041894,0.968871,0.7549534,0.6441238,1.1811045,1.0086634,0.7362239,1.0066545,1.0899676,1.0197055,1.2030704,0.8644994,0.89907056,1.3587689,0.77509594,1.2771568,0.8436874,1.1322486,0.99097127,1.0103294,0.83532774,1.3148019,1.1391761,1.1603572,0.93782693,1.2162709,0.9144776,0.89262253,0.5310736,0.87278485,0.8791771,0.756476,1.2871797,0.29447275,1.2047637,1.0522959,0.91479397,0.8645695,0.8473993,1.3326961,1.3210831,0.87323236,1.0212152,0.816936,1.3185934,1.2679687,0.7563887,0.96674776,0.80229044,0.10389435,0.9486057,1.3301548,1.3194125,1.16921,0.81915474,0.9514368,0.90109247,1.0525482,0.7414273,0.9005323,0.6519279,1.0516943,0.14233577,1.1114854,1.3446349,0.7426041,1.0808824,1.3357859,1.0175271,1.3363587,1.1758101,1.0599521,1.4050229,0.8539468,1.3195989,1.0104785,0.7054118,1.3556844,0.04245782,1.1294008,1.3405621,1.4303808,0.90035784,0.79116905,1.1626905,0.94354343,0.8812294,1.2902215,1.0808499,1.2339051,0.86731476,1.180039,0.79826653,1.1851114
arm,0.89216304,1.1943092,1.2908556,0.0,1.2245482,1.3129193,1.0945249,1.0401142,0.6951454,1.2882471,1.1127257,0.8315219,0.8467786,0.9067794,1.0068407,1.2255336,0.9642522,0.97729886,1.0971351,1.1375744,1.0963397,0.7861583,1.0892739,1.0450188,1.1419969,1.1357392,0.836758,1.3070369,0.91414815,1.1937292,0.9320479,1.0682477,1.0468067,1.177252,0.83822674,0.9069536,0.95030934,1.0581489,0.76191247,1.1867609,1.1956912,1.3122166,1.163625,1.1751561,1.2031046,0.905102,1.2975289,0.7518846,0.7334101,1.2309004,1.1347626,1.225765,0.76613855,0.8961106,1.2641089,1.1939873,1.2554923,0.79552466,0.89094645,1.2908335,1.207631,1.2211783,1.3045521,1.0286266,0.7499777,0.93752867,0.72397125,1.2074133,1.1731086,1.1188717,1.0890139,1.0007977,1.0724088,0.93309176,0.9279619,1.2692677,0.93510747,0.72931457,1.1193019,1.0010347,0.8137349,1.0339563,0.9019179,1.0626695,1.0737429,0.649069,1.1965637,0.7372203,0.8384196,1.2427146,0.91469365,1.2433345,1.0294328,0.77676684,0.72904813,0.99910647,1.1849654,0.70163,1.2090476,1.0783515,0.7324128,0.9204916,0.85149765,1.1292202,1.098628,1.2241219,0.88682413
ball,1.0751586,0.77359223,0.77741754,1.2245482,0.0,0.5824795,0.81270576,1.0333833,1.2281781,0.8898523,1.141515,1.0879829,1.1457677,1.1262696,0.9034948,0.8008933,1.003566,1.0058639,1.043241,0.7742651,0.8788536,0.9566067,1.0210149,1.0687271,0.72838116,1.0531249,1.1646451,0.96484745,1.1519637,0.81207585,1.1152416,0.8813023,0.9677528,0.9244244,1.227101,1.0426304,1.1218687,0.9459108,1.2237583,0.9416119,0.8876048,0.9403183,0.8340503,0.9299782,0.77864814,1.1956127,0.72551394,1.1176026,1.1040295,0.76264834,0.9020684,0.8769084,1.2004881,1.1497384,0.9222268,1.0629755,0.9758753,1.0739893,1.1051117,0.90675485,0.8640733,0.8762361,0.7681098,1.0294993,1.1665947,1.2203106,1.1061548,0.93548304,0.9574646,0.9047648,1.0063077,0.98325646,1.0480661,1.0253085,1.0893419,0.72900784,0.9789686,1.2268339,0.89644974,1.0516281,1.2227528,0.8747218,1.1742992,1.1326345,1.0419135,1.2388693,0.813642,1.0626937,1.108727,0.9134046,1.2069068,0.79386014,1.0448478,1.2522126,1.1240354,0.77104795,0.8548992,1.131561,0.80894864,0.745747,1.0484898,1.2553965,1.112655,0.97162676,1.1235442,0.8980631,1.1409328
balloon,1.1133298,0.7633486,0.5581183,1.3129193,0.5824795,0.0,0.9049841,1.1537396,1.3817927,0.6535348,0.9744162,1.0233009,1.2398243,1.3886535,0.90608495,0.617079,0.9699929,1.2235875,1.0777664,0.6416916,0.7551434,1.1513901,1.0902171,1.1564889,0.68178076,0.86879766,1.2225125,0.52578956,1.3188114,0.56678355,1.2546334,1.0192623,1.1413599,0.6373721,1.1831384,1.1494658,1.1001253,0.91068447,1.3086421,0.61881435,0.5607956,0.8749602,0.7433572,0.55628395,0.68642294,1.3550589,0.35892034,1.1824149,1.1439909,0.47513133,0.8772428,0.80783147,1.331399,1.2293155,0.63034797,1.0265434,0.6557687,1.2283603,1.2549605,0.56460845,0.65722644,0.6473781,0.47517824,0.9646887,1.3578619,1.1096823,1.2414712,0.8903582,0.6177502,1.0174329,0.7548109,0.93721604,1.1920781,0.9742574,1.1221073,0.6602847,1.0946494,1.3596413,0.86259174,1.0578574,1.2440627,1.0742244,1.1998804,1.257758,0.8565651,1.395165,0.63681036,1.2413796,1.065612,0.6843113,1.3026841,0.6216462,1.1697254,1.4803755,1.4810023,0.94993675,0.6695333,1.2169273,0.8335678,0.9822102,1.3929641,1.324716,1.3374294,1.008278,1.2536161,0.6393165,1.1630292
basket,1.1493782,0.9446603,0.8360294,1.0945249,0.81270576,0.9049841,0.0,0.9674928,1.1272061,0.86633724,0.84570545,1.1828747,1.0650531,1.0443016,0.6230405,0.799797,0.9486948,0.64862305,0.8323755,0.70713985,0.77209496,0.9544264,1.2449307,0.6057869,0.90343994,1.1885264,1.088898,0.9840194,0.6771935,0.8305908,1.1793507,1.0519823,1.1843858,0.9036182,0.961544,0.83146155,1.1130849,1.1511229,1.1848012,0.9944754,1.0717647,0.9490418,1.1101476,1.0327077,1.0047257,1.2612479,0.787362,1.1992253,1.1122555,0.9994656,0.92582214,1.1227636,1.2894439,1.1484665,0.9715883,0.69338894,0.9250568,1.1262627,0.88554704,1.0328965,0.90597105,1.0499823,0.8356792,1.2135457,1.2239687,1.2105367,1.0159557,0.79826546,0.95487326,1.0817522,0.91247916,1.1318091,1.0644723,0.9987164,1.1595784,0.8232948,0.73880154,1.0726533,0.9194002,0.8221705,1.1567564,0.8703053,1.2364664,1.1636752,0.8761494,0.9548004,0.89198923,1.0904648,1.0984946,1.0768014,1.1674517,0.7644444,0.8549079,1.262537,1.0153903,0.8189646,1.0405673,1.0597243,0.8471106,0.69464505,0.99732214,1.0621792,0.952237,0.8130857,0.98031324,0.8258703,0.8791786
bathtub,1.1111416,1.0921912,1.1471468,1.0401142,1.0333833,1.1537396,0.9674928,0.0,0.84814584,1.1601607,0.82302105,1.0533679,0.969458,0.7806047,0.998628,1.1267619,0.94502354,0.7443944,0.8972595,0.8691764,0.84963095,0.96059895,0.998068,0.8427236,1.1153246,1.1696103,0.85368526,1.1718103,0.75759244,1.1079297,1.0134715,1.0091975,0.9900568,1.1484523,0.7646369,0.81709445,0.93685275,1.0409087,1.0013269,1.1503125,0.9375559,1.0257679,0.9991795,1.191891,1.1896417,0.8708629,1.1972079,0.9718208,1.0653911,1.1548064,1.0331553,1.079573,1.014423,0.96686107,1.0920204,0.88634527,1.1812423,1.0722532,0.9812134,1.1776195,1.0091531,1.1716158,1.1810312,1.0759816,0.9150132,0.9532117,1.0195781,1.0568047,1.0958259,1.0287781,1.0579534,1.0733407,0.88575137,0.99640906,1.0418617,1.1695473,0.99158806,0.91444737,1.1409101,0.9705432,1.0348561,1.0099343,0.9581803,0.87587005,0.9537314,0.7970885,1.1470969,1.0310055,0.9577544,0.9787786,0.7890228,1.1343331,0.9243698,0.97094995,0.89372444,0.96827024,1.1312997,1.1346602,0.9664979,0.9888045,0.9250468,0.8917475,1.0232732,0.78122896,0.8718251,1.1809893,0.7989156
bed,0.9250497,1.347824,1.4741135,0.6951454,1.2281781,1.3817927,1.1272061,0.84814584,0.0,1.3618944,0.8682835,0.64937365,0.37906253,0.74719554,1.0370424,1.4497037,1.1084253,0.757467,1.1762881,1.3022115,1.1515884,0.92234564,1.1604465,0.7159045,1.2343967,1.02668,0.31528604,1.4232891,0.5124159,1.3504369,1.0283109,0.92667747,1.2205205,1.3139715,0.6696919,0.72836006,0.8099888,1.1895471,0.7904295,1.2604849,1.1253415,1.4091809,1.0526044,1.3227181,1.446342,0.88627297,1.4182699,0.88704115,0.9429013,1.2226511,1.1761955,1.4825892,0.6634165,0.7423328,1.3398106,0.99450964,1.3963218,0.54307455,0.7625773,1.3220099,1.0600919,1.3375422,1.477399,1.2667391,0.4917643,0.68871,0.72818875,1.3484704,1.1630315,1.277787,0.91798913,0.98423344,0.97953105,1.0758318,1.1036574,1.4049277,0.86245584,0.4548117,1.4258432,0.96692276,0.6327504,1.0482851,0.7172704,1.0143554,1.0171022,0.5603653,1.3022771,0.58061856,0.82334405,1.4606006,0.7172519,1.4237553,0.9910648,0.8227117,0.41864586,1.0303713,1.3307786,0.7135525,1.0623482,1.123772,0.5705095,0.93215185,0.74184895,1.1901777,1.0610104,1.4456367,0.8257803
belt,1.1517758,0.8963647,0.7754051,1.2882471,0.8898523,0.6535348,0.86633724,1.1601607,1.3618944,0.0,0.8222531,1.2544771,1.3039529,1.2143888,0.7824397,0.23492491,1.1870664,1.0926638,0.91254604,0.70006347,0.67829347,1.1267998,1.1385152,1.0586725,0.7343223,0.9863461,1.2315767,0.24130416,1.2587098,0.3415135,1.2717028,1.2914762,1.1836822,0.49498284,1.0424521,1.2088654,1.0698239,1.0803789,1.2556598,0.41967982,0.89619446,0.81337726,0.9563409,0.4095286,0.41806018,1.2203182,0.7262222,1.2933528,1.3107231,0.4174444,0.95720303,0.73595905,1.3905132,1.1163863,0.52472496,0.8410814,0.14237517,1.3212488,1.2338622,0.29384637,0.656927,0.31286854,0.8125826,1.0588998,1.3271337,1.1846113,1.2927467,0.4051106,0.58784187,1.047998,0.50639236,1.1681056,1.2396098,1.2227887,1.1633043,0.80250376,0.94308674,1.322837,0.7472861,1.0987246,1.165848,1.1103048,1.2052661,1.2339791,0.7554447,1.4166427,0.5946502,1.320931,1.4055182,0.80676365,1.3163126,0.8711593,1.1319463,1.3783628,1.417814,1.1768665,0.71684974,1.2990447,0.7210311,0.9458719,1.4077454,1.2212094,1.2444566,0.81267256,1.0742996,0.21346003,1.1105244
