category,mean_bv_things_cosine_similarity,mean_bv_things_cosine_distance,mean_bv_to_nearest_things_similarity,mean_bv_to_nearest_things_distance
apple,0.7872374849510557,0.21276251504894428,0.8350675656095246,0.16493243439047545
cat,0.800985653972227,0.19901434602777301,0.859592406546417,0.140407593453583
dog,0.739773736896902,0.26022626310309804,0.8033092864646266,0.19669071353537337
ball,0.7534164902428857,0.2465835097571143,0.8299409673709871,0.1700590326290129
chair,0.8122891441423916,0.18771085585760838,0.8508656429592708,0.1491343570407292
cup,0.8004426044054993,0.1995573955945007,0.8477889213562224,0.1522110786437776
book,0.8485520303701602,0.15144796962983975,0.8829583591436427,0.11704164085635727
banana,0.8552891604455278,0.14471083955447217,0.8970793134072093,0.10292068659279074
bird,0.6900250467668552,0.30997495323314483,0.7559738356517242,0.24402616434827584
bottle,0.7274200413525156,0.2725799586474844,0.8179750228723774,0.18202497712762256
tree,0.8106596823768573,0.18934031762314274,0.8452116083755398,0.15478839162446023
