category,stratum,cdi_domain,mean_dispersion,mean_displacement,n_windows,n_edges
plate,all,household,0.40675649699397914,0.27647472718461197,99,84
plate,kitchen_like,household,0.38580332255601396,0.2876971975617497,93,78
plate,living_room,household,0.3732516703795645,0.37358364133631455,58,38
plate,eating,household,0.350152823789579,0.3104128373717951,88,70
plate,playing,household,0.4158659220163985,0.298285562595821,78,58
dog,all,animals,0.3993134919939128,0.26622274927847056,29,16
dog,living_room,animals,0.3642993716780035,0.2745247714686521,16,6
dog,playing,animals,0.37203348726667007,0.1835432375664215,11,5
cup,all,household,0.40158415151441834,0.21791368217191848,105,92
cup,kitchen_like,household,0.37744829175204514,0.2503537853306317,99,87
cup,living_room,household,0.3704072162587155,0.28221048366865364,81,64
cup,eating,household,0.3355524510957814,0.3189045809202799,88,73
cup,playing,household,0.39777077263628885,0.22204770739789156,95,79
cat,all,animals,0.35245534512966153,0.1350092321138879,38,24
cat,kitchen_like,animals,0.30479861673296127,0.12459866073608653,18,13
cat,living_room,animals,0.32267856593375605,0.15927066941393286,17,8
cat,playing,animals,0.3229561555647665,0.13510635390019146,27,15
stroller,all,vehicles,0.23007587190165488,0.1296964926449045,27,14
stroller,kitchen_like,vehicles,0.22115253662937776,0.09052194941669894,10,4
stroller,living_room,vehicles,0.2172078222685864,0.11431411333353,18,10
stroller,playing,vehicles,0.24110573409259817,0.1120247247408256,20,12
car,all,vehicles,0.3699495294493296,0.4215099815633734,24,8
