category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,k_used
crayon,266,5,5,4.477608772185909,1.5076292846873482,4.096728654844924,5
hand,266,5,5,5.479517013459406,1.8668839519575222,5.045924964230132,5
toe,264,5,5,5.802794940620633,2.5996615764330286,5.024281688524615,5
slipper,266,5,5,6.160180046414717,1.6402817321154053,5.900387551073221,5
chair,266,5,5,6.273122138643119,1.8369975169578245,6.096746422185767,5
glasses,266,5,5,6.306640825356125,2.4244646217761465,5.85046933743194,5
bottle,266,5,5,6.376768663599198,1.9620414371557289,6.040065024008462,5
cup,266,5,5,6.455068498685167,1.959730703667814,6.023854667827138,5
lamp,266,5,5,6.925580089891406,2.42355394158566,6.574227358052157,5
pillow,266,5,5,6.975967352929426,2.3669697137636523,6.447694834948985,5
toy,266,5,5,7.030256175586873,2.5734618738199377,6.408180633847269,5
can,266,5,5,7.07035808896208,2.4019522517245964,6.5934898601721965,5
nail,263,5,5,7.133958245595887,2.755785684276231,6.139006353219807,5
hat,266,5,5,7.204777661270761,2.120227460758874,6.710282841755804,5
watch,264,5,5,7.258993291518471,2.4752412505606194,6.713418287588377,5
finger,263,5,5,7.286271560780845,3.6792941423922967,6.1664585229749775,5
book,266,5,5,7.422181726764711,2.9182409754514405,6.683762806324166,5
door,265,5,5,7.897160621234475,2.8029050887813076,7.191736191644895,5
pen,265,5,5,8.03382144772356,2.9966652077749885,7.09772448658196,5
bowl,266,5,5,8.184504824814145,2.4226790303511185,7.518914030190455,5
towel,266,5,5,8.221937686475332,2.973061726230712,7.367102909253154,5
napkin,266,5,5,8.2254379066537,2.529437676496511,7.6681382846012855,5
bucket,266,5,5,8.380177676106612,2.6390394712684655,7.564928966693726,5
glove,265,5,5,8.627675670955428,2.8709903790688682,7.944775445444568,5
couch,266,5,5,8.789141890113289,2.999412992587678,8.178442191962347,5
cat,265,5,5,9.048529512588022,3.9586389193379325,7.8244684326935685,5
gum,265,5,5,9.053650660825186,3.6470789997012294,8.094966534191576,5
pencil,265,5,5,9.120750864495944,3.9372965775911943,8.0468864680123,5
bed,266,5,5,9.389939871684609,3.696952264227979,8.717871117229738,5
sink,266,5,5,9.396204919268142,3.8733628359353283,8.689385031837677,5
refrigerator,264,5,5,9.42778723953422,3.5530028725899414,8.633729191367975,5
box,266,5,5,9.744227766018085,3.3126837703133676,8.825881931587812,5
bench,266,5,5,9.775773149881502,3.1644484777298976,8.96897286081514,5
vacuum,265,5,5,9.875844853078048,3.1519304567996844,9.072280571710726,5
