subject_a,subject_b,n_common_categories,n_rdm_pairs,pearson_r,pearson_p
00240001,00320001,129,8256,0.8266975467972193,0.0
00240001,00370002,129,8256,0.8264698875652217,0.0
00240001,00400001,129,8256,0.7966910312316371,0.0
00240001,00400002,128,8128,0.8404441465974458,0.0
00240001,00430001,129,8256,0.7645218366153654,0.0
00240001,00500001,129,8256,0.7936161310114438,0.0
00240001,00510002,128,8128,0.7608807170903396,0.0
00320001,00370002,129,8256,0.8427001688189385,0.0
00320001,00400001,129,8256,0.8500199465518425,0.0
00320001,00400002,128,8128,0.8622957354097769,0.0
00320001,00430001,129,8256,0.8310862276645532,0.0
00320001,00500001,129,8256,0.8587036216370638,0.0
00320001,00510002,128,8128,0.8120064347021438,0.0
00370002,00400001,129,8256,0.8348089926666511,0.0
00370002,00400002,128,8128,0.8553596454815293,0.0
00370002,00430001,129,8256,0.8197550132227355,0.0
00370002,00500001,129,8256,0.8461625620854325,0.0
00370002,00510002,128,8128,0.8332141427861836,0.0
00400001,00400002,128,8128,0.8467175503447336,0.0
00400001,00430001,129,8256,0.8320367828292893,0.0
00400001,00500001,129,8256,0.8982588255474784,0.0
00400001,00510002,128,8128,0.7984326628996947,0.0
00400002,00430001,128,8128,0.7884927757119587,0.0
00400002,00500001,128,8128,0.8543779704657755,0.0
00400002,00510002,127,8001,0.7787699271672572,0.0
00430001,00500001,129,8256,0.8278391044904898,0.0
00430001,00510002,128,8128,0.8224931310348459,0.0
00500001,00510002,128,8128,0.7910412157052646,0.0
