category,clip_pearson_r,dinov3_pearson_r
alligator,0.219389,0.112605
ankle,0.443882,0.486180
apple,0.354727,0.461862
applesauce,0.383619,0.154747
arm,0.404546,0.370773
ball,0.567084,0.617219
balloon,0.370433,0.463170
banana,0.553852,0.609057
basket,0.466688,0.505292
bathtub,0.365885,0.366334
bear,0.141129,0.099136
bed,0.393604,0.245895
belt,0.111263,0.227403
bench,0.441141,0.352938
bib,0.273330,0.224411
bird,0.498029,0.094554
blanket,0.498533,0.253342
boat,0.279206,0.238475
book,0.281851,0.344313
bottle,0.272267,0.318598
bowl,0.467439,0.423644
box,0.419869,0.510832
bread,0.353618,0.169192
broom,0.375635,0.372416
bucket,0.545141,0.497624
butterfly,0.468007,0.252975
can,0.175951,0.192803
car,0.226803,0.083910
carrot,0.297773,0.245011
cat,0.497770,0.275077
chair,0.409103,0.441560
chips,0.508332,0.370440
clock,0.421040,0.392952
closet,0.496036,0.381721
cloud,0.688712,0.474438
coat,0.391156,0.240403
coffee,0.247341,0.256214
comb,0.558130,0.526666
cookie,0.431667,0.238550
corn,0.445932,0.421840
couch,0.470975,0.490238
cracker,0.682365,0.594063
crayon,0.207440,0.187946
crib,0.473972,0.475294
cup,0.265575,0.338896
deer,0.539899,0.428257
dish,0.517741,0.239835
dog,0.611548,0.222881
doll,0.484011,0.401788
door,0.452546,0.244121
drawer,0.458033,0.486078
dress,0.401864,0.191093
duck,0.368824,0.300365
ear,0.445579,0.577720
egg,0.375570,0.378922
elephant,0.178229,0.290720
eye,0.604914,0.466937
face,0.295279,0.242918
finger,0.567215,0.550746
firetruck,0.387954,0.382642
fish,0.189377,0.067977
flower,0.416858,0.069175
foot,0.625001,0.699726
fork,0.510017,0.729533
frog,0.375408,0.182724
game,0.321143,0.275529
giraffe,0.707449,0.657683
glass,0.515126,0.529133
glasses,0.220359,0.324977
glove,0.409441,0.374084
grass,0.321682,0.090940
gum,0.352743,0.210429
hair,0.230937,0.111907
hamburger,0.363828,0.304392
hand,0.546433,0.415974
hat,0.217155,0.282727
helicopter,0.639610,0.632842
horse,0.486436,0.235366
hose,0.588691,0.481823
jacket,0.354236,0.213484
jar,0.513974,0.593542
jeans,0.353734,0.325188
knife,0.363722,0.345993
ladder,0.511238,0.425865
lamp,0.293058,0.326254
leg,0.371859,0.446027
meat,0.304379,0.379795
melon,0.628175,0.456259
milk,0.372943,0.190336
mitten,0.311481,0.160123
mop,0.178568,0.280011
motorcycle,0.408092,0.249947
mouth,0.712486,0.587281
muffin,0.438887,0.204607
nail,-0.005119,-0.013829
napkin,0.538656,0.464868
necklace,0.291016,0.377582
nose,0.637144,0.617440
orange,0.355039,0.507925
oven,0.587538,0.648652
owl,0.243699,0.095457
pajamas,0.363197,0.180026
pants,0.387224,0.321703
paper,0.402211,0.567559
pasta,0.655449,0.384549
pastry,0.575129,0.325022
pen,0.357724,0.271564
pencil,0.343083,0.275820
penguin,0.455718,0.570581
pickle,0.286869,0.129156
pig,0.525649,0.452437
pillow,0.436595,0.548150
pizza,0.562714,0.433471
plant,0.469799,0.144807
plate,0.506260,0.484595
pony,0.527241,0.271045
potato,0.340101,0.531003
pumpkin,0.445159,0.549965
purse,0.621297,0.455100
radio,0.338119,0.218256
raisin,0.143375,0.125892
refrigerator,0.550759,0.534628
rock,0.421929,0.191534
rooster,0.371130,0.226967
sandwich,0.492379,0.317669
sauce,0.231293,0.043772
scarf,0.386446,0.336628
scissors,0.588489,0.704904
shirt,0.294881,0.081192
shoe,0.638592,0.621344
shorts,0.554671,0.437551
shovel,0.628853,0.499520
shower,0.561252,0.551007
sink,0.520552,0.539244
slide,0.570224,0.702099
slipper,0.154991,0.271015
snow,0.182949,0.216511
soap,0.164377,0.340867
sock,0.501700,0.586500
soup,0.467381,0.262407
spoon,0.536735,0.604995
sprinkler,0.426791,0.276032
stick,0.654088,0.449763
strawberry,0.244777,0.491137
stroller,0.624981,0.677572
sweater,0.312890,0.218604
swing,0.508903,0.598991
table,0.251198,0.193903
tape,0.365270,0.538951
toast,0.301171,0.240031
toe,0.409763,0.542173
tooth,0.323328,0.626659
toothbrush,0.510916,0.481263
towel,0.418585,0.348815
toy,0.544088,0.532210
tray,0.422976,0.331793
tree,0.477296,0.296151
tricycle,0.638672,0.603362
truck,0.389142,0.191078
vacuum,0.341655,0.442077
watch,0.045011,0.178592
window,0.473898,0.435088
zebra,0.754053,0.610382
