Total categories: 279
Embedding dimension: 512

Categories:
  airplane: 206 embeddings
  alligator: 167 embeddings
  animal: 3 embeddings
  ankle: 131 embeddings
  apple: 19594 embeddings
  applesauce: 25 embeddings
  arm: 2538 embeddings
  ball: 24489 embeddings
  balloon: 19392 embeddings
  banana: 21550 embeddings
  basement: 834 embeddings
  basket: 34484 embeddings
  bat: 1 embeddings
  bathroom: 4159 embeddings
  bathtub: 5429 embeddings
  beads: 1036 embeddings
  beans: 4 embeddings
  bear: 2 embeddings
  bed: 50166 embeddings
  bedroom: 1259 embeddings
  bee: 9 embeddings
  belt: 283 embeddings
  bench: 7937 embeddings
  bib: 1039 embeddings
  bicycle: 2241 embeddings
  bird: 187 embeddings
  blanket: 14892 embeddings
  blocks: 4924 embeddings
  boat: 43 embeddings
  book: 15900 embeddings
  boots: 3417 embeddings
  bottle: 28816 embeddings
  bowl: 54115 embeddings
  box: 40415 embeddings
  bread: 13856 embeddings
  broom: 485 embeddings
  brush: 236 embeddings
  bubbles: 1191 embeddings
  bucket: 32786 embeddings
  bug: 2 embeddings
  bunny: 30 embeddings
  bus: 56 embeddings
  butt: 19 embeddings
  butter: 4490 embeddings
  butterfly: 451 embeddings
  button: 134 embeddings
  cake: 761 embeddings
  camera: 335 embeddings
  can: 1971 embeddings
  candy: 10 embeddings
  car: 442 embeddings
  carrot: 1917 embeddings
  cat: 725 embeddings
  cereal: 449 embeddings
  chair: 236400 embeddings
  chalk: 374 embeddings
  cheek: 211 embeddings
  cheerios: 1312 embeddings
  cheese: 391 embeddings
  chicken: 114 embeddings
  chips: 180 embeddings
  chocolate: 9 embeddings
  clock: 8713 embeddings
  closet: 1068 embeddings
  cloud: 23 embeddings
  coat: 51 embeddings
  coffee: 141 embeddings
  coke: 281 embeddings
  comb: 1052 embeddings
  cookie: 1685 embeddings
  corn: 318 embeddings
  couch: 123000 embeddings
  cow: 148 embeddings
  cracker: 1210 embeddings
  crayon: 20608 embeddings
  crib: 3485 embeddings
  cup: 83614 embeddings
  deer: 35 embeddings
  diaper: 10113 embeddings
  dish: 890 embeddings
  dog: 765 embeddings
  doll: 2240 embeddings
  door: 41472 embeddings
  drawer: 15526 embeddings
  dress: 644 embeddings
  drink: 37 embeddings
  dryer: 6255 embeddings
  duck: 23 embeddings
  ear: 250 embeddings
  egg: 6073 embeddings
  elephant: 80 embeddings
  eye: 127 embeddings
  face: 107 embeddings
  finger: 4591 embeddings
  firetruck: 33 embeddings
  fish: 289 embeddings
  flag: 473 embeddings
  flower: 1483 embeddings
  food: 128 embeddings
  foot: 458 embeddings
  fork: 5418 embeddings
  frog: 1252 embeddings
  game: 3 embeddings
  garage: 116 embeddings
  garden: 14 embeddings
  giraffe: 199 embeddings
  glass: 431 embeddings
  glasses: 36771 embeddings
  glove: 1563 embeddings
  glue: 89 embeddings
  goose: 4 embeddings
  grapes: 1899 embeddings
  grass: 4022 embeddings
  gum: 573 embeddings
  hair: 4378 embeddings
  hamburger: 264 embeddings
