,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,0.94482213,1.289354,0.98593116,0.76678175,1.2325462,1.0025549,0.99771625,1.127366,0.9196316,1.0152054,0.8181533,1.3075995,0.83854103,0.8160049,0.7321303,1.0473711,0.9679131,1.1909882,1.2737505,1.101637,1.1385882,1.2329448,1.0899327,1.3591156,1.3214374,1.2689685,0.32819676,0.9729917,1.2695978,0.92717344,1.1018622,0.9913944,0.8817965,1.0415362,1.331368,0.8752369,1.2833996,0.9239315,0.24106836,0.57484853,0.9442534,1.0377294,0.8782859,1.3178272,1.230805,1.1168808,0.7965229,1.2145286,1.1120721,0.91154605,1.2001616,0.92181456,0.93713427,1.3143868,0.6283426,1.1403558,0.9137827,0.9142513,0.82682234,0.98285073,0.97790396,0.74966836,1.176444,0.8008162,1.1902635,0.996468,1.2671703,1.2037864,1.2366287,0.7543577,1.2335191,1.090369,0.8763076,1.3280845,1.0317634,1.3045571,1.1288652,1.2397752,1.0537338,0.544439,0.74822813,0.88924646,1.0088769,1.3229747,1.3044438,1.1928089,1.0501621,0.96979636,1.0270948,1.1134816,0.94046724,1.1083744,1.1765053,1.0486517,1.1716425,0.960597,0.9123602,0.61966664,0.82991624,1.1076454,0.8314538,0.9307751,0.9297213,1.2510064,0.9645438,0.845995,1.3509496,0.8273979,0.6228943,1.1828016,1.0418113,1.178096,0.9349631,0.9532465,0.8901279,1.2462671,1.2182547,1.0636001,0.9446396,1.0000281,1.0976379,0.9195729,1.1723549,1.2946694,1.00585
ankle,0.94482213,0.0,0.9125996,1.1412635,0.89975095,0.982492,0.79689,1.0723461,0.90520465,1.2188483,1.1593097,1.2439622,0.92936593,1.2439996,1.1137468,1.22795,1.1297803,1.0305647,0.989948,0.8881041,1.0700439,0.94789886,0.9826469,1.0024083,0.99341345,1.0866791,0.9185128,1.0894438,1.1518948,0.93027294,1.0955961,0.91135734,1.2352751,1.2516971,1.0887461,0.9547053,1.2151824,0.9103176,0.98687965,1.0608214,0.8028384,1.1475801,0.8485575,0.8499873,0.9250954,0.843506,0.9033276,1.070103,0.676753,1.0153205,0.96801746,1.010144,1.0950042,1.07554,0.9720116,0.90530217,0.9555856,1.0573019,0.935928,0.60012424,0.81141835,1.0697489,1.063515,0.9694164,1.1544042,0.9239001,1.0049696,0.96120524,1.018189,1.0909305,1.0848874,0.9672807,0.9663025,1.0291481,0.9796816,1.0060742,0.89637727,0.9070091,0.96155006,0.9967996,0.9762439,1.073521,1.1545346,0.96112317,0.942813,0.9868422,1.0160412,1.1711802,0.96499604,1.0670266,0.97642994,1.0421858,1.0430574,0.8220569,1.1396241,0.9521023,1.2583976,1.1530893,1.0519074,1.0227017,0.91043305,1.0350773,0.8677554,1.0955952,1.0058353,1.2315042,1.1973258,0.8451711,0.9305524,0.96128213,0.9313045,0.9995775,0.89711994,1.1622527,1.0214204,1.18847,0.94182867,0.5853857,1.0502385,0.8578202,1.0234984,0.8916447,1.0854048,1.0556468,0.9850344,1.1878576
apple,1.289354,0.9125996,0.0,0.94556504,1.3553789,0.2849964,0.89374936,0.89495826,0.75084853,1.4131072,1.1690787,1.5394738,0.42516708,1.5056496,1.2826198,1.558384,1.2346926,1.1894027,0.7384333,0.4713602,0.9296831,0.3306778,0.97147876,1.1208835,0.7638663,0.72602415,0.6545977,1.3524284,1.3193408,0.49387956,1.2629658,1.1489959,1.3301697,1.5231988,0.9549742,0.3098818,1.4805312,0.49884045,1.0179924,1.2995942,1.1622736,1.425919,1.2543919,1.0420812,0.7009007,0.31714082,0.9352342,1.2649705,0.72359824,0.6611031,0.8135867,0.5780071,0.8938967,1.0991251,0.58885276,1.2285098,0.9413426,1.2008175,0.87451535,1.2746826,0.8411532,0.87854004,1.2331777,0.6850326,1.5030065,0.7183671,1.127235,0.6504282,0.9360573,0.69231105,1.4579957,0.92729735,1.0076526,1.1737415,0.19248843,1.0412523,0.7128693,0.75204265,0.31742942,1.164246,1.0273541,1.4755504,1.4223831,1.0136817,0.34877837,0.32709742,0.7946684,1.297667,0.85619026,1.1904494,0.68272084,0.8399699,0.40932786,0.5180358,1.2437382,0.82051814,1.4559152,1.3942456,1.3251543,1.1859803,0.776404,1.438626,1.2860721,1.4173429,0.9184423,1.3217816,1.3816583,0.48254955,1.2832041,1.3358417,0.6383023,1.111093,0.23756385,1.3884445,1.2629449,1.3574424,0.54369235,0.64733255,1.1590157,1.305579,1.0133132,0.434725,1.3075457,1.1180996,0.33980417,1.3363538
applesauce,0.98593116,1.1412635,0.94556504,0.0,1.0437437,0.8120485,0.92404807,0.59527415,1.1380699,0.7786866,0.9792706,1.1068639,1.0927279,0.9437486,0.79284716,1.0515215,1.0736845,1.0008131,1.0498521,0.9855041,1.0910174,1.014556,1.0614777,1.0583464,1.1408365,1.0450552,0.92650545,1.0661528,1.0154195,1.0522398,1.0744781,1.1064465,0.96402895,1.108829,0.6512014,1.045351,1.1451411,1.0599443,0.80111754,1.0884023,1.1369935,1.0725169,1.0107592,1.0806774,1.0809878,1.0269963,1.0509449,1.0034217,1.0615007,0.9823174,0.8219408,0.92141825,0.804358,0.95277244,1.1104856,1.0936996,1.0411636,1.0606571,0.9614692,1.0293432,1.0564609,0.9953539,1.0098666,1.0285467,1.0610347,1.0713623,1.194252,0.7286961,0.9958987,0.8578079,0.95604485,1.0515006,1.0567861,0.9350476,1.0321268,0.9666029,1.0784088,1.115259,1.0539883,1.0690922,1.0485606,1.057083,1.0605985,1.0572757,1.0059154,0.93140984,1.0411533,1.1408902,0.98104554,1.1197045,0.9107153,1.0056723,0.953667,0.965071,1.0845064,1.0579972,0.9958308,1.0737008,1.1211659,0.90965295,1.0673424,1.0375415,1.0868738,1.1025198,1.0917642,0.74945235,0.9784824,1.0741318,1.0289991,1.0807226,0.9708704,0.8798755,1.0612613,1.2208025,1.078504,0.9718669,0.84112716,1.1755469,0.9552819,1.0010082,1.0660728,0.81144565,0.7737198,1.1183157,1.1161314,1.070199
arm,0.76678175,0.89975095,1.3553789,1.0437437,0.0,1.2496289,1.1423357,1.0017276,1.3122132,0.6977267,0.9240197,0.57011676,1.4053942,0.6676194,0.93477106,0.60212564,0.7275444,1.0834091,1.2001641,1.3890359,1.1437175,1.3259783,1.2311914,1.0809458,1.2900375,1.2771596,1.0505269,0.86446536,0.77299505,1.3137729,1.0261358,1.0204203,0.8010794,0.66595805,0.91166854,1.37241,0.75664,1.3415272,1.1233306,0.8558304,1.0157971,0.8629808,0.9936261,1.196636,1.1562347,1.1546943,0.999498,0.6840604,0.97479916,1.220999,1.2500018,1.2694806,1.2634941,0.91685563,1.1831454,1.0580347,1.1977863,0.8179821,0.99828297,0.5330261,1.307656,1.2425961,0.7738535,1.1453571,0.52888334,1.2446882,1.1498127,1.2452132,1.0516628,1.2290713,0.8403002,1.2185879,1.1465456,0.76982945,1.2635053,1.2490511,1.0823338,1.0848455,1.2550272,1.0311909,0.8935613,0.6036605,0.6253922,1.155633,1.373887,1.3630794,1.1123066,0.94956505,1.0079323,1.1272733,1.177937,1.2568542,1.3097465,1.3269515,1.100962,1.2268906,0.7284521,0.67220384,0.90875685,0.79632765,1.2617676,0.59657586,0.9680894,0.637668,1.1974053,0.69027424,0.9015201,1.3271954,0.7278111,0.7704477,1.2443062,1.0663149,1.3030784,0.9440046,0.5307672,0.46395832,1.3506361,0.9851045,0.9634711,0.8375193,1.3637353,1.4275899,0.73815525,1.2417344,1.3251104,0.73453224
ball,1.2325462,0.982492,0.2849964,0.8120485,1.2496289,0.0,0.8874148,0.80449855,0.98508036,1.2911487,1.0965503,1.3857529,0.5830415,1.3963928,1.1768503,1.4243197,1.1097469,1.2408736,0.8425967,0.6427587,1.0501496,0.45262218,0.9738536,1.2142193,0.9098703,0.807907,0.69327176,1.2294345,1.3438551,0.45714533,1.2375761,1.1851355,1.2113429,1.4274218,0.8276754,0.45525312,1.3540661,0.6698749,1.076678,1.2114434,1.2792373,1.2995002,1.2080963,1.0258347,0.75598574,0.4085427,0.9217958,1.1799804,0.84572375,0.595958,0.91354585,0.73714614,0.74808246,1.155067,0.67653936,1.2906193,1.0204397,1.1575863,0.88197196,1.3377935,1.0023208,0.86911684,1.2142607,0.7437755,1.3961844,0.84943455,1.233057,0.7001161,0.957344,0.5941303,1.4083129,0.9361003,1.0271325,1.1000115,0.39050323,1.1012359,0.8344402,0.8353426,0.3912326,1.1696037,0.8606736,1.3644012,1.3216782,0.98784226,0.49822277,0.42890966,0.7561471,1.2530365,0.9237394,1.3095764,0.7787833,0.8488548,0.4868554,0.6201122,1.3110476,0.8925082,1.37197,1.2435412,1.3264909,1.0980785,0.9892805,1.3153353,1.2616966,1.3860866,0.9507906,1.1881344,1.3814932,0.54871243,1.2053859,1.2372594,0.81835854,1.0410963,0.57429224,1.3006299,1.1771988,1.2126291,0.6636462,0.767718,1.1279368,1.3499413,1.0530374,0.36926043,1.2685194,1.1442406,0.449197,1.2327257
balloon,1.0025549,0.79689,0.89374936,0.92404807,1.1423357,0.8874148,0.0,1.0985942,0.87044823,0.9345566,1.2150005,1.1570734,1.0087469,1.1285951,0.95617574,1.1425172,1.0557854,0.82216805,0.78105724,0.8330766,0.9429103,1.0638515,0.96465933,0.7912762,1.0080212,1.1438289,1.1851152,1.0940795,1.0325367,0.87489146,0.9681156,0.8697127,1.2430987,1.06385,1.2114846,1.0640349,1.180254,0.8261373,0.73744285,1.0631311,0.80600494,1.0741644,0.7823343,0.6379321,1.181603,0.8744811,1.0177857,1.0738277,1.0723257,1.0509708,0.8264507,0.9754968,1.0758246,0.61184615,1.2020352,0.7838199,0.7845918,1.1611578,1.0589669,1.0317806,0.53244144,1.1280131,1.2088631,0.97682893,1.2475511,0.93810785,0.9593322,0.77907777,1.198387,1.1227279,1.0078187,0.94205004,0.93039006,1.093915,1.128464,0.79817617,1.1327698,1.0977209,1.0221088,0.9450608,1.1588376,1.2302161,1.2241403,0.76183903,1.053257,1.0659248,1.200661,1.1514579,0.9645564,0.90139776,0.8125488,1.0854139,1.0117407,0.82937425,0.94761527,1.1418425,1.1227949,1.1472229,1.0418155,1.0948333,0.8679836,1.1862581,1.0361677,1.2129313,0.8343707,1.016309,1.0519251,1.1151856,1.0981324,1.0783305,0.91253126,0.90473694,0.99220777,1.0755857,1.1881723,1.068464,0.7967858,1.0922086,1.1464237,0.8918514,0.86937535,0.8021764,0.7961708,0.97988063,1.0780219,1.0019906
banana,0.99771625,1.0723461,0.89495826,0.59527415,1.0017276,0.80449855,1.0985942,0.0,1.0748594,1.1661694,1.1024299,1.2078065,1.145591,0.99912524,0.8417696,1.1039727,1.1220073,1.0156684,1.0593592,1.0256498,1.0043516,0.73471534,1.1461802,1.1736612,1.1980524,1.1124456,0.6173081,1.1353225,1.170567,1.0362031,1.1512506,1.1835462,1.0803252,1.1753898,0.3010128,1.0416332,1.1976223,1.0448935,0.89975566,1.0615932,1.083157,1.1794795,1.2469158,1.0124851,1.0524349,0.97552955,1.0603924,1.0632902,0.9404115,1.0811121,0.51135916,0.96267074,0.71376675,1.0564005,1.0974487,1.1260314,0.9780957,1.0991354,0.42140853,0.93600214,0.9965622,1.0168673,1.0480776,0.9176672,1.0641668,1.0798538,1.2428638,0.9176281,1.0563507,0.66766024,0.9047329,1.0973027,1.0917678,0.60579324,0.9919022,0.93210757,1.017389,1.0095915,1.0741857,1.2789007,0.9294915,1.055123,1.1005076,1.0454483,1.0671773,1.0062877,0.972471,1.0213424,0.8085647,1.2185705,0.8985338,1.048182,0.8575206,0.6742025,0.9015088,1.0485561,1.1888002,1.1496847,1.0943944,0.53323543,0.9524668,1.0900543,1.0927333,1.0546654,0.9571794,1.035276,1.0650138,1.0780126,1.1607728,0.95145863,1.0016599,1.0075014,0.9390687,1.1086925,1.1774278,1.007619,0.9785295,1.0224595,0.9889641,0.8939761,1.0095441,0.69226474,0.89290434,1.1943405,1.152544,1.1869547
basket,1.127366,0.90520465,0.75084853,1.1380699,1.3122132,0.98508036,0.87044823,1.0748594,0.0,1.2244295,1.3100052,1.2978077,0.6424701,1.2498093,1.0872407,1.3960865,1.1171757,0.7656013,0.5119574,0.39216244,0.7128396,0.66560423,0.79384875,0.6590738,0.6100779,0.75435734,1.1276565,1.2680882,0.9816214,0.65938663,0.87131804,0.7758418,1.2609715,1.3262651,1.3362118,0.60101104,1.1968797,0.34428263,0.73870736,1.1794591,0.9261402,1.2343085,0.9276384,0.9240355,1.1244693,0.9901092,1.221549,1.3530991,1.1817889,1.0242001,0.88194305,0.48671508,1.226479,1.0372604,0.9983851,0.8945005,0.83065057,1.3285317,0.901515,1.2785641,0.6266185,0.9597341,1.3124586,0.57552534,1.5026147,0.5214863,0.5981444,0.8034774,1.1759216,1.1990435,1.2707375,0.82780063,0.8055364,1.218452,0.9838766,0.603641,1.1569881,1.2182372,0.8266094,0.80732906,1.1269816,1.3696702,1.4831299,0.91411465,0.5959907,0.70869005,1.0851718,1.1273893,0.6201304,0.7944422,0.54440856,0.88947576,0.8802957,0.5461209,0.73652965,0.77417296,1.2492362,1.2922986,1.1563237,1.2235756,0.4894187,1.4708691,1.1942346,1.3831134,0.74212146,1.2690265,1.0525776,0.95915663,1.2805003,1.2859015,0.5381305,1.1167616,0.6562547,1.2428749,1.342073,1.1828506,0.6020741,1.1629102,1.0882417,1.100748,0.62861973,0.81633985,0.99315464,0.788308,0.7040273,1.1614035
bathtub,0.9196316,1.2188483,1.4131072,0.7786866,0.6977267,1.2911487,0.9345566,1.1661694,1.2244295,0.0,0.78321755,0.4698366,1.280235,0.52387255,0.8890649,0.50608325,0.7909235,1.0482898,1.2856123,1.2344875,1.0941952,1.4487524,1.1651706,1.0299091,1.1327851,1.1526846,1.3416747,0.7252742,0.660344,1.2672237,0.7556184,0.9759146,0.63137925,0.54278284,1.0567532,1.3950895,0.5960796,1.3403976,0.9369232,0.8462168,1.1793178,0.48876876,0.69592845,1.1192125,1.2298619,1.2936568,1.0713128,0.7930121,1.2343919,1.1034286,1.2722313,1.1795774,1.2704659,0.91060877,1.2700441,1.0980643,1.165676,0.84537673,1.1749223,0.8695273,1.339083,1.226007,0.88223815,1.2978458,0.65681285,1.1927804,1.0565405,1.0746553,1.0185256,1.1722164,0.8969895,1.2048292,1.1709431,0.9483344,1.3784237,1.1183352,1.1948831,1.2428087,1.2945004,0.7208923,1.0704434,0.6894166,0.72145057,1.1072316,1.3354746,1.3104763,1.2335162,0.93770945,1.1510656,0.9411885,1.1211026,1.2238458,1.2983854,1.4053547,1.1517385,1.2838525,0.35852373,0.5058109,1.0247031,0.9387333,1.3318794,0.7340946,1.0266471,0.7965896,1.1528957,0.22872889,0.6768749,1.3958759,0.67922777,0.93504363,1.1578971,1.0244563,1.4468641,1.0366918,0.71124554,0.6238468,1.1070325,1.3241836,0.9134512,0.912313,1.2035754,1.4728031,0.5105597,1.0782267,1.3683922,0.64988726
