,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.9978581,1.2506127,1.1432565,0.74988484,1.1933649,1.262576,1.0676721,1.2634268,0.76490045,0.78253007,1.2385736,0.7691392,0.63872075,0.87599957,0.7673148,0.92483383,0.86025894,1.427352,1.4662971,0.961492,1.3578904,1.3136439,1.3354799,1.3821838,1.0988022,1.239535,0.63562673,1.158458,1.3838687,0.7763199,0.87041014,0.8063524,0.90820736,0.73010075,1.1717819,1.2926621,0.80501956,1.3187804,1.2483696,0.65986866,0.8469986,0.9583974,1.0914496,0.8762538,0.7604624,1.3021352,0.87070763,1.1221222,0.94782215,1.0232711,1.0779319,1.3351294,0.46570396,0.8261616,1.1801088,0.8934617,0.7678478,0.9803954,0.804682,0.7810608,1.2720972,0.91105694,0.7149507,0.9519225,1.2432567,0.8194875,1.4225738,0.8715906,1.3443443,1.0063001,0.7223263,0.8594738,1.1992946,0.6120003,1.0638604,0.95742685,1.2816408,1.3480334,1.0431064,1.1683288,1.34046,1.015805,0.7091572,0.80926627,0.620098,1.3196964,1.4174483,0.97410953,0.72144103,1.0870265,1.2107626,1.1442792,1.2317677,1.1583813,1.0609292,1.2980254,0.8924167,0.73872846,0.8297659,0.88794297,0.7134711,0.73797756,0.837574,0.979852,1.2674943,1.1912293,0.84807575,0.7355076,1.3338182,0.9958109,0.8436186,1.4527004,1.0532292,0.8719615,1.1253154,0.7930106,0.6916887,1.2863553,1.3816699,1.2747997,1.1924366,0.7451265,1.0031289,0.9880613,0.8093973,0.85138476,1.1812923,1.1275853,1.2960552,0.8784286
ankle,0.9978581,0.0,0.7375155,0.6000078,0.8177155,0.91766953,0.9172975,0.9912006,1.245306,1.1120874,1.2546779,1.0597473,1.1139197,1.1002576,1.133385,0.97774255,0.9389233,1.2096742,1.1740072,1.1832435,1.2118894,1.1580033,1.1208782,1.1340479,0.9933915,1.0277416,1.0042288,1.1372821,1.048242,1.1145232,1.1628613,1.1521926,1.0345976,0.791561,1.0653166,1.0136038,1.0480119,1.2539694,1.1337324,1.1061152,1.131493,0.75020146,1.1396551,1.0333467,0.69354904,0.81770074,0.9972978,0.8914371,0.42829394,0.7605107,1.221174,0.54888546,1.0125366,1.0562522,1.2508192,0.6226888,0.70165753,1.1052997,0.8655317,0.82816035,0.60852563,0.6167252,0.84455705,1.17744,1.1487352,1.1125973,0.84671533,1.016188,1.1923106,1.0823772,0.65815264,1.0724151,1.036268,1.1339873,0.6881464,1.0793718,1.0171059,1.1997275,0.8030721,1.1070262,0.7735748,0.8412873,1.0057966,0.89533085,0.8160299,1.1712501,0.942402,1.0218664,0.7440702,0.8940792,0.7747879,1.2771525,1.2133391,1.1185266,1.0742589,1.0566317,1.1315683,1.1398214,1.0152677,1.0944438,1.1892717,1.174644,0.89464563,0.82057124,0.66229534,0.99798405,0.98302376,1.1147114,1.137715,0.6357236,1.292626,0.5186689,1.0382166,0.87045,1.079936,1.0958581,1.0804949,1.2457771,0.9955817,0.99294484,0.4956227,0.56204104,0.83212805,1.0974493,1.0939627,1.1132119,1.1908699,0.93425786,1.1707506,0.65447104,1.257798
apple,1.2506127,0.7375155,0.0,0.3311267,1.2304364,0.1893298,0.5285572,0.42320907,1.0624171,1.3738816,1.5363865,0.644655,1.410058,1.1768715,1.0089462,1.4163461,1.0639324,1.2213874,0.80848604,0.7538475,1.280736,0.80211306,1.0311502,0.9372004,1.0795802,1.041489,0.90159786,1.3106067,1.3133776,0.59014356,1.343153,1.2103266,1.2200186,0.7394775,1.462441,0.8500011,0.52062243,1.3901017,0.78609586,0.854644,1.272519,0.8798418,1.3808045,1.1981329,1.0697669,1.0212786,0.39727044,1.0689539,0.5340068,0.76947534,0.7649218,0.80642396,0.6264104,0.92335874,1.2676768,0.6076275,1.0254949,1.1646788,0.5866562,1.1061568,0.96872026,0.5317018,1.1800394,1.2438332,1.28451,0.8343941,1.3161311,0.6779392,1.5313725,0.6581414,0.98934114,1.1590056,0.5996307,1.1236546,1.0602437,1.1801181,0.98036045,0.82225317,0.33271754,1.0804397,0.704132,0.43936217,1.2648423,1.3145511,1.3041453,1.3127403,0.70477575,0.6315733,0.82076836,0.6625325,1.1988169,0.9214911,0.7642101,0.7683858,0.9645451,1.3124807,1.0406765,1.3969903,1.2249082,1.0468849,1.3641734,1.130493,1.321856,1.1510986,1.1791316,0.78821796,1.0652208,1.1489165,1.2431629,0.5334185,1.2577007,1.0793068,0.6133269,0.96030957,1.0751415,1.2270715,1.2908969,1.3680072,0.6241223,0.75125235,0.4457612,0.45672536,1.0985376,1.1238713,0.7134142,1.139333,1.1850809,1.0041283,1.216276,0.53100413,1.3584721
applesauce,1.1432565,0.6000078,0.3311267,0.0,1.2001767,0.6575954,0.8925946,0.5603728,1.1285363,1.2872555,1.4311019,0.73241687,1.2753068,1.0766758,1.0364218,1.2383704,1.0239576,1.137887,0.9564949,0.89253545,1.219442,0.9276191,1.0378885,0.97934383,0.95142114,1.0213181,0.9135976,1.337111,1.1044319,0.8008156,1.281913,1.2610648,1.0889598,0.7664194,1.3687911,0.8391689,0.70353466,1.2852358,0.86054695,0.962236,1.3237278,0.90503913,1.3100255,1.1305158,0.9390596,0.96316993,0.755504,0.9884791,0.5048363,0.70351774,0.9981518,0.658872,0.63760185,0.8961834,1.242748,0.6743199,0.89845973,1.1837091,0.6433191,1.0920986,0.90369713,0.6723249,1.0679213,1.2852197,1.3255635,0.849791,1.1516825,0.6503976,1.3789024,0.84407187,0.88650554,1.0435523,0.71234477,1.1139829,0.9288052,1.1041977,1.009625,0.9718595,0.5852668,1.0348475,0.6844343,0.5203497,1.199162,1.192374,1.1333163,1.2619791,0.7089681,0.6677964,0.78568196,0.61836225,1.0969597,1.0815991,0.88737524,0.74918103,1.0337578,1.2399327,0.9825106,1.312817,1.1760287,1.0572666,1.2980695,1.1262838,1.2405418,1.121086,1.0324671,0.6567089,0.89476687,1.0998094,1.1043911,0.64345133,1.2618737,0.8663033,0.6874395,0.958611,1.1835159,1.2560074,1.3257754,1.2714334,0.71637976,0.76694936,0.53415036,0.57552016,0.95106924,1.0663453,0.8391408,1.019483,1.3009632,0.9064443,1.1261226,0.6363887,1.381063
arm,0.74988484,0.8177155,1.2304364,1.2001767,0.0,1.2436332,1.1102786,1.2635218,1.2724063,0.7064431,0.7066489,1.2499287,0.8013309,0.83157694,1.1869056,0.66946316,0.9351099,1.1522262,1.3443835,1.4241395,1.0381051,1.3036611,1.2295622,1.3537266,1.2656059,1.19065,1.1683398,0.7519006,1.0609918,1.3689144,0.7511654,0.82913935,0.8277393,0.8417022,0.58774173,1.1938372,1.2546527,0.8847474,1.3535552,1.2380521,0.80427593,0.99894136,0.7844106,1.0448753,0.8109379,0.8157301,1.2634838,0.8246997,0.9292505,1.1718774,1.2613649,0.92043436,1.3445947,1.1648118,0.91313875,1.1475352,0.9837463,0.78412414,1.202458,0.643542,0.48654896,1.3091433,0.7497351,0.8964704,0.7251172,1.3168876,0.68625116,1.3084882,0.8356046,1.3570261,0.53167564,0.98400766,1.0100971,1.1152679,0.71439075,1.0051836,1.2303368,1.2317915,1.2385536,1.268689,1.1804479,1.3041737,0.8194698,0.6045262,0.6409559,0.77629566,1.2930284,1.351033,1.2016889,0.9183109,0.98323035,1.3020997,1.3364488,1.3205884,1.1418208,1.1458149,1.2890749,0.71506524,0.80910444,1.0745293,0.79051256,1.1414565,0.36392713,0.9093262,0.7460065,1.2844768,1.1240078,0.8243867,0.9171926,1.2543875,0.96861315,0.7749285,1.3994324,0.98542666,0.9573952,1.1649594,0.65194345,0.7810489,1.4966401,1.2892635,1.0150478,1.0935181,0.7764436,1.1960212,1.3902793,0.8778426,0.7551949,1.1719725,1.2462986,1.1695843,0.7732625
ball,1.1933649,0.91766953,0.1893298,0.6575954,1.2436332,0.0,0.34023023,0.5847708,0.99351215,1.3315701,1.4242649,0.7450451,1.3837199,1.1304259,0.9437657,1.3732994,1.059389,1.1726851,0.7959394,0.75512415,1.2142029,0.86997104,0.962956,0.87057537,1.0839114,1.0651217,0.981694,1.2201722,1.3160088,0.5659745,1.3181547,1.1081619,1.1728066,0.7682054,1.3857766,0.9257701,0.6475384,1.3107309,0.79432625,0.8028072,1.182344,0.97694016,1.343537,1.1192216,1.0497092,1.0509306,0.2735703,1.1374527,0.7578721,0.8597926,0.74136865,0.9679221,0.7430104,0.8458213,1.2027334,0.7835561,1.1201943,1.1384975,0.57537043,1.1322116,1.0935992,0.6345092,1.1728903,1.1127757,1.2466335,0.8538361,1.3129919,0.84290516,1.4568253,0.68430364,1.0985717,1.1874459,0.66232115,1.0644783,1.1237932,1.051933,0.9284092,0.84565127,0.47394258,1.0951412,0.8117746,0.5595733,1.2618768,1.3183897,1.3165044,1.1792965,0.8447512,0.7761519,0.8439114,0.8128991,1.1823531,0.87146604,0.7862348,0.8348068,0.9723667,1.2129229,1.0325232,1.37897,1.1467965,1.0059965,1.2918454,1.0328685,1.319345,1.1347048,1.2303066,0.9435805,1.1627645,1.0932585,1.2295898,0.6589604,1.1943419,1.1306877,0.72265214,0.92594784,0.93567187,1.0939784,1.2252306,1.2996778,0.61062056,0.88278866,0.6704654,0.57431686,1.1353511,1.135459,0.6650934,1.1210281,1.0932641,1.0190531,1.1241682,0.7040211,1.2610075
balloon,1.262576,0.9172975,0.5285572,0.8925946,1.1102786,0.34023023,0.0,0.83613354,0.8313379,1.1479304,1.3423284,0.9875636,1.3049567,1.2212974,0.9112573,1.3664116,0.92435664,1.052786,0.69904786,0.72127485,1.0158242,0.8549669,0.86693984,0.7116128,0.93951494,1.0495379,0.86811453,1.1804851,1.1283038,0.70182335,1.2402787,1.1213511,1.1988789,1.0516995,1.2736677,0.99917924,0.90270716,1.2951686,0.74768376,0.8227203,1.1301641,0.88724846,1.1138496,1.0240644,1.153153,1.1882905,0.2665838,1.2073635,0.9293541,1.0243396,0.8611336,1.0622469,0.9043247,1.0110112,1.0542781,0.8904621,1.0768113,1.0924577,0.81745607,1.1682855,1.0644342,0.73238295,1.222106,1.0736644,1.2067894,0.89379084,1.3247106,0.9299458,1.3193951,0.63422054,1.1171294,1.1699944,0.9567937,0.80148417,1.1802995,0.99533176,0.96749884,0.83611184,0.7798346,0.9694988,0.8992768,0.67627835,1.1086707,1.2552991,1.3104174,1.0649961,0.95271003,0.9318462,0.96045136,0.9779105,1.0332627,0.86227655,0.90201235,0.89686096,0.87455654,1.0255979,0.9839771,1.1542867,1.2093527,0.9738785,1.2908943,1.0519472,1.2337081,1.0483363,1.1740879,1.006777,1.0349528,1.0113331,1.1572334,0.8182632,1.062109,1.081999,0.7985173,0.93662095,0.969214,1.0294634,1.1545681,1.2899759,0.72174174,0.9673017,0.8078011,0.8150065,1.0031092,1.0548908,0.81673396,1.1118729,1.0226216,0.9594111,1.0785037,0.9052761,1.1440303
banana,1.0676721,0.9912006,0.42320907,0.5603728,1.2635218,0.5847708,0.83613354,0.0,0.90000516,1.3770796,1.4836676,0.93168914,1.2940049,1.0898575,0.8835587,1.4560013,0.93506104,1.0488702,0.79924977,0.67257,1.1913307,0.5486906,0.9601091,0.92434454,1.10664,1.0319929,0.60301375,1.2910528,1.2745044,0.80485713,1.339368,1.1894684,1.145112,0.74009484,1.4852915,0.70562375,0.7615118,1.2897142,0.7183536,0.88125986,1.2179486,0.8086331,1.4257522,1.2213261,1.1701386,1.1380965,0.674711,1.2348313,0.77982783,0.86512744,0.71176875,1.1077068,0.78527504,0.71821654,1.1777047,0.8332151,0.79437625,1.1195645,0.75303197,1.2328154,1.0518758,0.74524647,1.20374,1.1403903,1.2370286,0.86096114,1.3363419,0.70619416,1.4353684,0.6437286,1.1996865,0.9198522,0.54972315,1.1024433,1.0572444,1.1370598,0.8364179,0.6081125,0.75751257,0.7428727,0.87666434,0.48228502,1.3207283,1.3512762,1.350977,1.3331182,0.86202943,0.8137412,0.8366571,0.6167257,1.1294776,0.7825618,0.5431379,0.6933968,0.69084644,1.1385299,0.9732025,1.3979759,1.2157748,0.99656206,1.2906437,0.8090119,1.3669318,1.108637,1.2884543,0.79682744,1.0449191,1.1703966,1.1182835,0.75511414,1.1992283,1.1726118,0.5750245,1.2116811,1.1341772,1.0873221,1.2599831,1.2832909,0.5955304,0.8411914,0.8393059,0.77700573,0.9909463,0.8205808,0.5554225,1.0424259,1.1884583,0.97868323,1.1250448,0.8297287,1.3655193
basket,1.2634268,1.245306,1.0624171,1.1285363,1.2724063,0.99351215,0.8313379,0.90000516,0.0,1.2793618,1.0792898,1.1636105,1.0722982,1.0339643,0.8910764,1.2708766,0.9449253,0.70304155,0.6320679,0.34507823,0.62759393,0.6260169,0.8782519,0.52961624,0.89255506,0.9787,0.68164206,1.1962312,0.9015129,0.95976263,1.1191288,1.1045194,1.0356038,1.3228979,1.2772149,0.88574713,1.037586,0.7970132,0.4264629,0.44613034,1.1247277,0.9038912,1.1768007,0.956233,1.2027812,1.4004827,0.81733644,1.2255208,1.2443326,1.3257744,0.7598327,1.3245951,1.1089456,0.9693183,0.87320524,1.1615142,1.0129458,1.0455029,0.7073984,1.3597225,1.1728681,0.9937884,1.2057358,1.0197445,1.148283,0.6536492,1.4062119,1.0414774,0.94215757,0.80870986,1.2948878,1.0091656,0.9714052,0.6973838,1.228651,1.1142228,0.9369643,0.631312,1.1640534,0.78586996,1.1105462,0.8513806,1.0935742,1.2948724,1.3999331,1.0607414,1.1012278,1.0688816,1.1631473,1.2122276,0.96282226,0.6675667,0.7993494,0.8766414,0.62853324,0.61100066,0.7866499,1.174331,1.1603208,0.9170316,1.0858843,0.8002913,1.3141544,0.9274682,1.2761908,1.0858282,1.1373762,1.1370022,0.92534196,1.0927397,1.0074359,1.2308098,0.9021578,1.2763207,0.95944196,0.64305925,1.199781,0.95407116,0.62133527,1.0304326,1.2357776,1.162229,0.99540687,0.8535612,0.54524916,1.034426,1.1212932,1.076118,0.86060584,1.099168,1.040465
bathtub,0.76490045,1.1120874,1.3738816,1.2872555,0.7064431,1.3315701,1.1479304,1.3770796,1.2793618,0.0,0.53749704,1.1634697,0.3546427,0.852975,1.2048978,0.62585825,1.0192603,1.0776088,1.3777182,1.3662324,0.8969119,1.3976991,1.0871577,1.1083614,0.8491421,0.8225188,1.3586287,0.7304322,0.66165584,1.3230965,0.5090926,0.8985696,0.797871,1.0622802,0.3791511,1.2598999,1.3201226,0.6977377,1.3676289,1.2528055,0.81863606,1.220994,0.40049016,0.6947919,0.9964809,0.6680825,1.3366451,0.8930457,1.2992074,1.1821359,1.2527857,1.1134243,1.2068592,1.1900696,0.7432022,1.2925408,1.195521,0.9453394,1.3581967,0.8410545,1.0152639,1.3991988,0.92830527,0.79027814,0.8005965,1.3548896,0.6385592,1.2905334,0.60311425,1.3296953,0.94162667,1.1029495,1.0893085,1.1367594,1.0044376,0.94481707,1.1423881,1.3346832,1.3979262,1.2219086,1.329195,1.4156498,0.46684283,0.69679695,0.63512504,0.76517993,1.1925638,1.2463238,1.1658453,0.9800039,0.98547006,1.2269257,1.3144982,1.0584927,1.3194546,1.0278386,1.1028155,0.23480207,0.88839376,1.1204536,0.82073855,1.0663075,0.58822775,1.0227981,0.8236592,1.0954691,0.9174094,0.39902794,0.6920481,1.4345589,0.6747725,0.98944646,1.3497332,0.89257634,0.9236843,1.1687616,0.8228643,0.7489619,1.3890979,1.258786,1.3883673,1.3132564,0.95599824,1.2075748,1.3789881,0.65176064,0.6634386,1.0875814,0.8511152,1.4103384,0.5757514
