,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.0710733,1.2018749,1.1241133,1.0021456,1.1324866,1.1507818,0.96220666,1.0972528,1.0484722,0.9312763,0.88662547,1.1509113,1.0007089,0.6879227,0.97258896,0.81709015,1.0549234,0.64684784,1.2421696,1.2007315,0.80792266,1.1952026,1.2097828,0.42773718,1.2136648,1.0372608,1.1399517,0.7159041,1.2331367,1.1030846,1.0894063,1.0810368,1.0961502,1.0913681,1.0959308,0.98877454,0.95054615,1.0343444,0.9479815,1.2593553,0.9494614,0.6531606,0.83298326,1.1516275,1.1097313,1.037571,1.0659317,1.2419457,1.2204943,1.0124305,1.1688877,0.8425193,0.45997417,0.91764045,1.1153531,1.0905073,0.21137011,0.61104745,1.1361488,1.1669148,0.94654685,0.9376454,0.8751717,1.009177,1.0336467,1.0426114,1.1191243,0.5688533,1.0703644,1.0727847,1.1967036,1.0335109,1.1319941,1.0112509,1.1798898,0.9121615,1.0102379,1.0625861,0.9515037,1.0386493,1.1130532,1.0057758,1.1646874,0.8463358,1.1432824,1.1303041,1.2133853,1.1999685,1.0266044,1.1304317,0.51479876,1.1162326,1.0998763,1.0727081,0.704913,1.0254871,0.45236695,0.961223,1.1199225,0.58784014,1.1770481,0.999728,1.117846,1.135539,1.1172706,0.35889196,0.9982058,1.0571125,1.1213179,0.873287,1.0540451,0.99409467,1.0969061,1.1783649,1.0841372,1.1908779,1.0298951,1.115479,1.0484033,1.0940082,1.0882553,1.1203946,0.9971216,1.0514704,0.7382211,1.1317096,1.1961722,1.1678005,0.9740657,0.9435737,0.87422884,0.92216015,1.1102258,1.0913653,1.0794685
ankle,1.0710733,0.0,0.7531775,0.93388736,1.0780463,0.9634669,0.98895633,0.8270913,0.9438211,1.2361095,0.9909117,1.259625,0.7583917,1.2069106,1.0392131,1.2512342,1.2007166,1.1097215,1.0716993,0.8295918,1.0361516,1.1814268,0.82990086,0.79950607,1.1623456,0.9048298,1.0455749,1.0508486,1.2393553,1.0732503,0.9079657,1.2033496,1.0792681,1.1191399,0.9000448,0.72048855,1.2312598,0.8653738,0.82455754,1.2439237,0.7818943,1.1481051,1.1971,1.1382741,1.2176176,0.8951981,0.9048468,0.7420832,0.77034366,1.0266807,1.1469218,0.66403866,1.0936877,1.037299,1.1045009,0.8212937,0.70534486,1.0279168,1.1310718,1.0422685,0.79611456,0.69246286,1.0986828,0.9448846,1.116833,1.0989748,0.90365005,0.71073985,1.1430931,0.9359475,1.0835911,0.98245037,0.98742557,0.72411823,1.084978,0.9786084,1.1127558,0.9153459,1.0052893,0.85707325,1.0044407,1.1319369,1.2178593,0.8089603,0.93528163,0.94711477,0.94314164,0.7566638,1.1897315,1.1032352,1.0336878,1.2186935,0.86292106,0.8402157,0.902197,1.0578147,0.90015376,1.1648862,1.0752745,1.0213325,1.18986,0.9421814,0.9803597,1.0253028,0.84210736,1.2136852,1.167905,1.0695615,1.1094544,0.97671854,0.6440213,1.1187984,0.788949,1.0042355,0.6984415,1.1650175,1.1386017,1.0953648,0.51294863,0.79932964,1.0136199,0.77132833,0.99551046,0.9716409,1.1106868,1.2633443,0.6422199,0.65971816,0.76757,1.0466312,0.8621531,0.9670608,1.2452576,0.9248185,0.78590035,1.3033239
apple,1.2018749,0.7531775,0.0,1.0979651,1.4335123,0.45971894,0.50174916,0.49547708,0.8184136,1.3764824,1.2139406,1.641283,0.4429469,1.4193224,1.1485069,1.3861061,1.6349912,0.80845964,1.1068531,0.3814904,0.528481,1.4080412,0.32171452,0.92524433,1.2350022,0.51107806,1.2209234,0.5893122,1.3692718,1.1655927,0.7637345,1.3032358,1.266149,0.82572174,0.7938701,0.5665992,1.6159803,0.968518,0.3612373,1.398577,0.29748368,1.1332278,1.3222433,1.2983109,1.4309922,1.0588231,1.16855,0.8549964,0.072016,1.1163816,1.3235345,0.6926475,1.1984382,1.1129595,0.8389293,1.1613693,0.30743098,0.9856777,1.2417557,0.8990667,0.6616423,1.0738416,1.2018371,0.77643013,1.3846039,1.2095978,1.2515366,0.48052102,1.0721923,0.93979514,1.4529715,1.1199795,1.5219992,0.4658944,1.4300892,0.40327513,1.1111758,0.8026404,0.887317,1.2574973,1.1546606,1.3215889,1.1818175,0.34180796,0.8789134,0.89684737,1.0528526,0.06736755,1.2590343,1.48865,1.420988,1.380972,0.5397336,0.5068805,0.8739408,1.0964261,1.1257976,1.139593,0.8215673,0.4969496,1.026557,0.4395206,1.3823322,1.0736254,0.5129278,1.484542,1.1299603,1.2598279,0.8234377,1.2274084,0.6835233,1.4993958,1.2393512,1.328477,0.45826727,1.193373,1.0405699,1.3522558,0.55503786,1.0866957,0.8045453,0.45019257,0.49379766,1.2012912,1.4593971,1.4885418,0.31087404,0.34370726,0.45980608,1.3662934,0.7256242,0.8772266,1.1286328,0.99722934,0.479769,1.4106154
applesauce,1.1241133,0.93388736,1.0979651,0.0,0.76788706,1.0795957,1.1261826,0.97791755,1.2828469,1.1306164,1.0754006,1.0316416,1.1374197,1.1078336,0.9601329,0.9333919,1.062633,1.1064073,1.1857874,1.1818118,1.1371721,1.1249568,0.79039925,1.0894182,1.0761291,1.2838124,1.043083,1.2765197,1.0502789,1.0587049,1.1215001,1.1164964,0.7606967,1.1880233,1.0449816,0.86479926,0.9776881,0.8357048,1.2349879,1.1135447,1.1922516,1.0596354,0.96762383,0.80507535,1.0234749,1.1058078,0.9306319,0.7930256,1.0916207,1.0399835,0.6261476,0.7588796,1.0851214,0.93550247,1.1579969,1.0376673,1.0833124,1.0863712,1.0865579,0.81734174,0.84676844,0.93988794,1.1355855,0.91543204,0.66888905,0.6990681,0.5182436,1.068536,1.1243931,0.83016926,0.88696086,1.0643171,0.87826896,1.0259618,1.0347943,1.172765,0.9396719,0.8680202,0.9878253,0.89242244,1.0811905,1.0335642,0.80208325,1.0816631,1.1617043,1.0651644,0.5605041,1.0801396,1.1224898,0.74386704,0.87931705,1.0989457,1.157804,1.1539733,0.7784186,1.0998158,1.129674,0.89446443,1.1340327,1.0851306,1.138079,1.1325831,1.0092913,1.2375948,1.0986365,1.0456871,1.0570793,0.7526965,1.0852522,0.8717482,1.0491579,0.81645906,1.0188198,0.7950919,1.1182765,1.0420818,0.93087226,0.99041134,1.0813624,1.069243,1.1292597,0.9821918,1.1588508,1.0200437,0.8682749,1.0327904,1.0201968,0.9185894,1.0015464,0.6162598,1.2796618,1.1446053,1.0463347,1.1862413,1.1296669,1.0886216
arm,1.0021456,1.0780463,1.4335123,0.76788706,0.0,1.2309468,1.4137014,1.3207781,1.3669215,0.76526743,0.9205828,0.5842902,1.4004067,0.83700836,0.8113194,0.7929746,0.64155334,1.0749153,1.103977,1.4676911,1.3241985,0.8785943,1.0901846,1.2478929,0.9213582,1.3956068,0.9236596,1.2669158,0.801337,1.111509,1.1333673,0.8473921,0.60974175,1.2224954,1.0913994,1.2186466,0.60087764,0.93520206,1.4160193,0.90300566,1.4790902,0.9732138,0.89320034,0.96671724,0.7804867,1.1334554,0.98483455,1.0759488,1.3447114,0.87157404,0.71843165,0.9446181,0.9003069,0.8866454,1.2380115,1.072925,1.4199919,1.161072,0.9069089,1.1682127,1.2513402,1.0283868,0.9150064,1.2179862,0.68035626,0.6195134,0.45904046,1.4011993,1.1411222,1.1608126,0.59763443,0.9891882,0.5293672,1.3405123,0.9654137,1.4103479,0.9193422,0.9124238,1.2133306,0.90189934,1.0058118,0.8637003,0.8766018,1.3129957,1.1298977,1.2231433,0.9176431,1.3273225,0.9335602,0.5915201,0.675375,0.7028983,1.3457648,1.3038456,0.9524354,0.9987542,1.04834,0.90629095,1.2538278,1.2778097,1.2056835,1.2808152,0.97891426,1.1174753,1.3422128,0.74186647,0.9975917,0.6205699,1.2078111,0.6518576,1.3253412,0.4532585,1.0553334,0.5332417,1.4090605,0.7972173,0.87309873,0.6012986,1.427537,1.0309407,1.1789165,1.287112,1.2831211,1.1070313,0.5433188,0.6461768,1.446034,1.2318782,1.2281146,0.60441864,1.3274509,1.3665564,0.97079307,1.3223939,1.4416856,0.7917237
ball,1.1324866,0.9634669,0.45971894,1.0795957,1.2309468,0.0,0.43820918,0.6638781,1.0872197,1.2894944,1.1755092,1.4080968,0.822995,1.2602787,0.98676854,1.0959616,1.3546877,1.006985,1.1539512,0.8031814,0.7065032,1.2516491,0.76501983,0.9300915,1.1160984,0.92456806,1.1927638,0.92518115,1.194781,1.2087238,0.880831,1.1655451,1.1841816,0.58451885,1.0163057,0.781425,1.3859864,0.9006503,0.80925703,1.3097932,0.7744349,0.90032333,1.1462996,1.0541911,1.29198,1.0842105,1.1731209,0.9319986,0.5116027,1.1175089,1.1606162,0.8327987,1.1586185,1.0727521,0.85550654,1.1486062,0.8316822,0.9229361,1.1468201,0.9313762,0.90310335,0.9828191,1.1063184,0.7235011,1.2297306,1.0605627,1.1209,0.7355852,1.0333582,1.0710393,1.3247358,0.93419623,1.2991776,0.8601576,1.3260123,0.62477964,1.0893428,0.6944267,0.88148546,0.96517575,1.1416854,1.1307293,0.9570416,0.67500895,0.9817408,1.0093316,1.0116453,0.6177318,1.270531,1.2803129,1.2939425,1.2186468,0.89886045,0.87569857,0.8599814,0.9364133,1.1074954,0.9993121,0.90703386,0.7750255,0.9596474,0.76421285,1.2843115,1.1203281,0.8011439,1.3226726,1.1033956,1.1077873,0.6100429,1.035884,0.8994531,1.2954412,1.1183635,1.081468,0.906412,1.1705382,1.051623,1.146116,0.82912797,0.9743707,0.6260518,0.81070435,0.8339962,1.1778274,1.3181332,1.3121638,0.593095,0.5963828,0.72211504,1.1728448,0.9169262,0.71907467,0.895132,1.1638881,0.8115885,1.1800462
balloon,1.1507818,0.98895633,0.50174916,1.1261826,1.4137014,0.43820918,0.0,0.81369066,0.79898787,1.2402289,1.2525095,1.4726272,0.6423,1.3224514,1.2620777,1.1796135,1.4392023,1.0357797,1.0095959,0.54400754,0.56864095,1.2483563,0.8896068,0.7303357,1.1368401,0.6645198,1.2416441,0.7570699,1.2235395,0.9945449,0.7864225,1.2138696,1.302804,0.4621017,0.98928714,0.93720114,1.4095695,1.1171497,0.67702675,1.1788533,0.5615607,0.9761841,1.209253,1.0831001,1.321951,0.9890487,1.1833782,0.98836964,0.5904871,1.1434963,1.2434415,0.8911252,1.1532927,1.2057484,0.69552624,1.0111119,0.7425251,0.9339635,1.1884263,0.70374113,0.7743575,1.0205542,1.194201,0.7851192,1.2867749,1.1989288,1.2677588,0.66303873,1.0009053,0.8400712,1.3779733,0.97306925,1.490581,0.7302357,1.2540315,0.5170297,1.0917624,1.016483,0.70366865,1.1174473,1.0596949,1.1751194,1.0749849,0.6309204,0.9842813,0.7451944,1.0349613,0.63835776,1.1948756,1.3723752,1.36477,1.3070258,0.6419145,0.6998231,1.0976354,0.99548155,1.032311,1.1407918,0.74629307,0.69645804,0.92759264,0.6324051,1.205442,0.92153406,0.6177828,1.3078723,1.119788,1.2106779,0.63112676,1.2515864,0.8031318,1.4126694,1.0792809,1.2709962,0.8087673,1.1666611,0.9953585,1.2628187,0.6943486,0.98351204,0.6849364,0.7767682,0.6777966,1.0486577,1.3589332,1.3894948,0.7076979,0.6181282,0.78703785,1.2823119,0.8394464,0.6978981,0.950138,0.8530795,0.5839955,1.2657459
banana,0.96220666,0.8270913,0.49547708,0.97791755,1.3207781,0.6638781,0.81369066,0.0,0.86036456,1.2657869,1.1562063,1.4260721,0.84435683,1.136585,0.88439375,1.2214122,1.3724849,1.0377436,0.87129354,0.8529774,0.8320974,1.1010597,0.66426027,0.9514951,1.0981768,0.905902,1.1885945,0.96701336,1.2689826,1.1921206,0.90673876,1.141541,1.2465943,0.9926206,0.83463806,0.64868987,1.4023635,0.87711596,0.7854419,1.2041712,0.7799124,1.0123048,1.190096,1.0057243,1.3191105,1.0878407,1.0370743,0.9481154,0.52604175,1.1750691,1.2002821,0.8964689,1.0833331,0.9704223,0.90627825,1.0295116,0.5659669,0.78381205,0.9726142,0.93746626,0.92582655,0.8351799,1.102168,0.7245552,1.2242321,1.1188599,1.1568104,0.8353069,1.0327756,0.9285926,1.3277041,1.1018076,1.2844095,0.5626643,1.1549315,0.7259723,1.0241343,0.7048225,0.8901009,0.94637895,1.0316542,1.180264,1.0840719,0.8802657,0.9166643,0.92176414,1.0476334,0.521313,1.2862571,1.278368,1.2817106,1.1679429,0.8649969,0.84835273,0.81313413,0.96104854,1.151574,0.95837766,0.92711926,0.62811756,0.9615911,0.6575248,1.073161,1.0843017,0.88423145,1.3326523,1.055823,1.1477407,0.87666,1.1633706,0.64922535,1.3268481,0.9058558,1.2606657,0.7958274,1.2973325,1.1310093,1.3013506,0.7116961,0.88805753,0.82940054,0.4894061,0.9567404,1.032069,1.346895,1.212827,0.6739013,0.79861844,0.90903604,1.1216284,0.85487604,0.60519505,0.9491097,0.9858898,0.7497922,1.3386106
basket,1.0972528,0.9438211,0.8184136,1.2828469,1.3669215,1.0872197,0.79898787,0.86036456,0.0,0.94110274,1.0006126,1.2176108,0.6912304,0.9428606,1.31315,1.168031,1.1928173,1.0318829,0.8514787,0.5990857,0.67959034,1.0397575,0.9738054,0.71312904,1.1640303,0.65380347,1.0621088,0.7780564,1.1304498,0.7130369,0.6941733,0.9129645,1.2844279,0.90473413,0.6208987,1.0740538,1.2380999,1.2186493,0.74663585,0.8050921,0.6134945,1.0433136,1.1159565,1.1674052,1.0333086,0.70142466,1.1390022,1.1885633,0.8104158,1.1246955,1.3461161,1.027756,1.0927087,1.1653329,0.7342506,0.88287807,0.71843344,1.0412515,1.0955222,0.89206046,0.94886875,1.046463,1.0656189,1.0080194,1.3076868,1.2257555,1.3620636,0.8376575,0.956124,0.9616362,1.2512025,0.9702434,1.3833418,0.71388733,0.83331466,0.65925294,1.0141146,1.1792958,0.89134926,1.2530661,0.84950113,1.0331113,1.1350304,0.94181454,0.7403265,0.7411586,1.20496,0.784953,0.89557135,1.2859814,1.3268468,1.2291251,0.628857,0.6973898,1.1759734,1.1138679,0.7679159,1.2318118,0.7341882,0.7288909,0.87302387,0.7500069,0.8880877,0.6754965,0.77470887,1.0117755,1.1015689,1.313062,0.9099388,1.3582084,0.88904655,1.3574364,0.8513589,1.3004501,0.6924404,1.081391,0.9833522,1.2068233,0.73408544,0.9788189,0.9458977,0.81071913,0.8621042,1.0128653,1.311768,1.3012049,0.9276184,1.0209656,1.0553291,1.353375,0.63851815,0.84587395,1.0709862,0.5398313,0.57524925,1.0027318
bathtub,1.0484722,1.2361095,1.3764824,1.1306164,0.76526743,1.2894944,1.2402289,1.2657869,0.94110274,0.0,0.7922936,0.55944526,1.2764562,0.6311747,1.0268748,0.7354841,0.7110478,0.9632466,1.0798391,1.2846535,0.98320657,0.75410146,1.2638192,0.90877795,1.0664911,1.134142,0.65098876,1.1536504,0.7363729,0.9121857,1.150648,0.57818913,0.94126755,1.02686,1.0387683,1.2155436,0.59757745,1.2875884,1.3286247,0.79875493,1.248896,0.8845257,0.86247444,1.1086584,0.57707334,0.7900306,1.0568864,1.2807571,1.301869,0.82823646,0.936851,1.3025503,0.97221607,1.0093544,1.1457055,1.1134433,1.3065103,1.207656,1.0315646,1.1191151,1.3404915,1.2657635,0.8592702,1.3003933,0.99082386,0.85831666,1.1256585,1.2980301,0.99428695,1.2418274,0.7517853,0.8285207,0.7020893,1.2762467,0.84282327,1.2002532,0.97052187,1.0596893,1.2050264,1.1637095,0.85611564,0.68709654,1.1051984,1.2995436,1.0754951,1.2639837,1.2124364,1.2947171,0.5082278,0.8132806,0.7630112,0.88045615,1.2335374,1.2948086,1.0862406,0.9534771,1.0345144,1.1153947,1.121901,1.094414,1.0655468,1.1654478,0.7793272,0.59996283,1.2310237,0.3404351,1.0569401,0.89518684,1.1235168,0.89668226,1.4043839,0.7392056,1.0394022,0.8310163,1.2755392,0.69009423,0.59639883,0.62358385,1.3579295,1.1816503,1.0604094,1.2295432,1.2223557,1.0427072,0.7994975,0.74481034,1.3924656,1.4141548,1.2765226,1.0910548,1.1513791,1.2251867,0.8901746,0.9986129,1.2320156,0.5878487
