,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3122493,0.8080532,1.0488088,1.2407184,1.2422571,1.1789497,1.1950548,0.68109334,1.3411093,0.70506144,0.9071389,1.2246631,0.60998344,0.9221976,0.6445984,1.336185,1.3508855,0.8573355,1.1691045,1.0414443,0.916695,0.8067758,1.2550076,1.0899262,1.314351,0.555194,0.75690764,0.91130054,1.1616373,0.8600226,1.2260324,1.2304035,0.7204751,1.1841036,1.4353951,0.7774819,1.3782527,0.6181736,0.7915255,1.0255352,1.067395,1.087098,1.3950143,0.95825565,1.2544031,0.54780895,1.0711782,0.6925577,1.0858402,0.6721879,0.6650134,0.799737,1.280114,0.78576684,1.2682106,0.87154055,0.98985064,0.91876537,1.0192862,0.9070964,0.945539,0.8290389,0.8965986,0.8937012,1.2105978,1.1964887,1.2037662,0.87024385,0.9306244,1.1238229,0.79303515,1.182833,1.4551806,1.1017239,1.2014345,1.06593,1.2768731,0.9541578,0.82765883,0.9322097,0.7177604,0.9842347,1.3630035,1.3993244,1.2954303,0.66223073,1.007685,0.771629,1.0866876,0.8530972,1.3330315,1.2835852,0.82565844,1.0358379,1.272412,0.8996437,0.5539568,0.9016498,1.0710679,0.9248652,1.0108062,0.92172146,1.3029187,0.9704439,1.1362447,0.85826445,1.3141191,0.79391694,0.87236977,1.0877881,1.3775307,1.0857373,0.77823573,0.6323218,1.3224258,1.3480873,1.3828834,1.0643854,1.2133765,1.0153525,0.81340617,0.86090827,0.95694065,1.3037055,0.7790296
apple,1.3122493,0.0,1.3679124,0.65934604,0.62017995,0.7153834,0.944469,1.1646318,1.3452991,0.3821237,1.424486,1.4013343,0.5811169,1.375779,1.1888751,1.0448047,0.11689478,0.56761813,1.1923999,1.0431545,1.0768658,0.9578868,1.1902709,0.8039434,0.89176935,0.64612824,1.2684411,1.4221354,1.1860954,0.50476205,1.2498914,0.9283714,0.95406324,1.4058799,1.1051701,0.28850472,1.1794517,0.16090536,1.1813396,0.95555496,1.0914468,1.1356618,1.0629423,0.57235193,1.1953723,1.0671248,1.1422067,0.38557577,1.2035174,1.1202629,0.9573663,1.1554532,1.3404176,0.6728632,1.363271,0.8513744,1.296628,1.1985276,1.4337955,0.75637233,1.1048981,1.3210149,1.2485123,1.1696167,1.3839979,0.9580575,0.928373,0.7324476,1.0794587,1.1405861,0.8965941,1.4922097,1.0287861,0.44028336,0.83101463,1.0389675,1.1582962,0.20571935,1.0279181,1.3028816,1.3223782,1.3308659,1.2451986,0.17056191,0.28877783,0.846194,1.1903433,0.8355352,1.051919,1.1893213,1.0658274,0.71976614,0.677831,1.2030798,0.8860455,0.5770261,1.2408841,1.0976099,1.2722393,0.8468533,1.3036019,0.9204378,1.2658129,0.6045761,1.1812785,0.8561729,1.1687071,0.35819668,1.1905845,1.0969512,0.9943429,0.5896603,0.97490567,1.381132,1.3864896,0.4139058,0.82537353,0.7993227,1.1063839,0.49974442,0.6158692,1.0430146,1.0359278,1.1926677,0.55652326,1.2995181
arm,0.8080532,1.3679124,0.0,1.2500093,1.2593277,1.2907419,1.1462784,1.0019114,0.67781997,1.235241,0.6419493,0.65144706,1.3103613,0.65209043,0.72297305,0.98157376,1.3528972,1.3145204,0.91750294,1.1071112,1.0620433,1.0406209,0.87785405,1.1455817,1.1738527,1.2874277,0.89130884,0.6297455,0.9640556,1.3653,0.94647944,1.1983573,1.1751853,0.6378132,1.0834775,1.3594847,0.9833274,1.367116,1.0504392,1.0907261,1.0201089,1.0158327,1.0752414,1.3243973,0.8826772,1.0456333,1.0154117,1.2592926,0.94197214,0.98672837,1.2783108,0.91915786,0.63699996,1.2429276,0.7089001,1.206949,0.7463921,0.7585895,0.63012534,1.2774073,0.95267427,0.7223407,0.777334,0.8243277,0.5772699,1.0994482,1.1296129,1.2433962,0.8445537,0.8834823,1.2255309,0.68092823,1.0820498,1.3109975,1.2022896,1.0861763,0.9927629,1.3700299,0.9859922,0.6779525,0.746088,0.6856414,0.94194996,1.3302841,1.3540518,1.2646693,0.93995166,1.2887859,0.96067524,0.9279728,1.1591091,1.2267697,1.3280272,0.92594653,1.2087945,1.2808545,0.80090433,1.0328232,0.70470387,1.2084132,0.7292624,1.2010092,0.8438489,1.1797055,0.79416484,1.225692,0.7225317,1.3439441,0.9773778,0.9875036,1.0917226,1.2871581,1.2278942,0.5407938,0.6671044,1.3643109,1.1974872,1.2000799,0.94186366,1.3049934,1.2920038,1.011321,0.88428617,0.9132618,1.1860425,0.703097
ball,1.0488088,0.65934604,1.2500093,0.0,0.34678632,0.94630504,1.0005239,1.1651882,1.1865008,1.0215926,1.3069144,1.2006097,1.0435159,1.1816872,1.1586438,0.85387874,0.86292756,0.90156054,0.98492134,1.0105238,1.1051607,0.72832865,1.024795,0.95851094,0.83077866,0.9008008,1.249717,1.1962771,1.0794106,0.5933261,1.1401498,0.8729334,0.9401437,1.2469109,1.0689402,0.88292205,0.91166127,0.77854687,1.0145082,0.73585784,1.0495491,1.0997255,1.0883822,0.61831,1.2028183,1.1518366,1.0252739,0.71563536,1.0910726,1.0631,0.81548154,1.0332502,0.9762815,1.1334125,1.2093104,0.93442714,1.2471852,1.1007055,1.2551072,0.82041466,1.0805776,1.1546786,1.1513504,0.977357,1.2864516,0.9976594,0.950415,0.76210046,1.0848984,0.959909,0.9266554,1.2210413,1.0526352,0.8428118,0.9073695,1.1661279,1.171791,0.83800584,0.9836851,1.2376673,1.3226589,1.1655686,1.1370913,0.8952566,0.89447117,0.9137757,1.0211762,0.8969587,0.93804425,1.1080796,0.9338542,0.8991995,1.0777924,1.085231,0.73873997,0.667498,1.1273236,0.9495871,1.2533424,0.8180243,1.2716043,0.81420684,1.100808,1.0387738,1.1069214,1.0424749,1.074792,0.9102037,1.0314646,0.97228926,0.9175209,0.92164385,1.0647383,1.2767767,1.1555355,0.6989109,0.9164477,1.0662539,0.95609033,0.74337864,0.5138916,0.75952685,0.8317525,1.0738862,0.81576633,1.2706006
balloon,1.2407184,0.62017995,1.2593277,0.34678632,0.0,0.8700853,1.0258034,1.0729401,1.3407841,0.80584645,1.3310254,1.2433167,0.84301245,1.3452014,1.1264604,1.0851259,0.7250643,0.6957123,1.1833565,0.86501557,1.0585912,0.8534337,1.0935096,0.89219165,0.93164456,0.7856914,1.2245295,1.3257954,1.1069332,0.69021344,1.2328063,0.8500043,0.8724718,1.3328812,0.92820626,0.680659,1.1368,0.64458066,1.0835454,1.0215532,1.0945467,1.0486885,1.12665,0.3540796,1.2243873,0.85283613,1.0057646,0.86783504,1.1458045,1.047068,0.8910791,1.1430271,1.0944691,0.78022975,1.1456084,0.65667665,1.2874637,1.1289992,1.236916,0.7493905,1.0919269,1.2482028,1.281275,1.0708559,1.276066,0.8885151,0.9000177,0.8018192,1.0874374,1.0468028,0.9363151,1.271224,0.91941464,0.48439538,0.91381437,0.93486327,0.87971723,0.65691066,1.1608007,1.3284338,1.301142,1.3250396,1.0360333,0.7441352,0.7359223,0.80696446,1.0894004,0.8355169,1.1980381,1.1511045,0.9500119,0.7278428,0.7210722,1.2173002,0.9161275,0.6417057,1.2680802,0.98593366,1.2958109,0.87262547,1.3032699,0.81283045,1.258745,0.8515263,1.2373571,0.8670012,1.1376779,0.75209016,1.0211565,1.053393,0.91429687,0.6115826,0.9000659,1.4008318,1.3307276,0.5556576,0.5318865,0.77025986,1.0334191,0.7547932,0.77275014,1.0675015,1.1080221,1.1037576,0.6828907,1.3000295
banana,1.2422571,0.7153834,1.2907419,0.94630504,0.8700853,0.0,1.0388894,1.0057005,1.4962878,0.91969055,1.5828874,1.209779,0.8860215,1.5135585,1.2395194,1.2371628,0.8005044,0.71983445,1.3312248,0.2762215,1.0948336,0.9584943,1.1916442,1.184273,0.989618,0.2624997,1.2517219,1.4269135,0.5763464,0.85770905,1.4066465,0.33158588,0.36830223,1.5400753,0.3119228,0.48271644,1.1590255,0.8148528,1.1091417,1.1101613,1.3063318,1.1010332,0.9495364,0.70759606,1.2060115,0.7887674,1.013723,0.95812273,1.1384343,0.5938178,0.8131239,1.2294391,1.1912985,0.88109887,1.2058527,0.50106394,1.2926327,0.6765381,0.9615949,1.0925164,1.1929321,1.3249465,1.3648654,1.1736594,1.265445,0.5016184,1.0602843,1.0207523,1.1003835,1.0115037,1.0698458,1.2504948,1.0185568,0.78960776,1.0804306,0.95417476,1.0136974,0.6708866,1.2534133,1.440197,1.2987739,1.366291,0.9963475,0.7185891,0.6277721,0.152233,1.3266089,0.82392156,1.15212,0.74832344,1.0406299,0.39921057,0.54233813,1.250526,0.95852154,0.5245979,1.2709184,1.107212,1.3089554,0.54082173,1.3653336,1.016985,0.9396865,0.86335427,1.2454691,1.0102897,1.2883306,0.50956464,1.1908059,0.6982345,0.5071956,0.5894829,1.130791,1.3990071,1.3413441,0.75514036,0.8299223,0.8686311,0.5987805,0.9802549,0.99388194,0.92946064,1.2359649,1.4006081,0.8655619,1.4547122
basket,1.1789497,0.944469,1.1462784,1.0005239,1.0258034,1.0388894,0.0,0.7285992,1.2009864,0.7293008,1.1196784,1.2873031,0.77254546,1.1002582,1.1382715,0.85544705,0.87754107,0.6340975,0.45472002,1.1344498,0.812327,0.9341092,1.0680571,0.6268461,0.79470277,0.96629494,1.1623461,1.1036894,1.1420374,0.7840696,1.0126144,1.035413,1.0204029,1.1751162,1.0658695,0.87087464,0.9615305,0.834852,1.0255227,1.0504985,0.946133,0.6894355,1.1096247,1.0660045,1.2382084,1.0602838,1.1192474,1.023756,1.0786067,1.0636578,0.89454794,1.0232055,1.182475,0.9691537,1.1398441,0.9089207,1.2475938,1.262105,1.2597706,0.98426616,1.0174103,1.0454563,1.1458067,1.0267183,1.2330911,0.8379233,0.758391,0.7789508,1.107899,1.1398013,0.56801856,1.1027232,0.9226474,1.0342219,0.6903802,0.98440975,1.2343538,0.9276434,0.775208,1.2210262,1.1412445,1.0657074,1.1349237,0.8896378,0.82919306,0.99965185,0.8663845,1.0501797,1.0898856,1.027174,0.96292025,0.8581162,0.97110945,0.86958754,0.9012905,0.99492556,0.8858322,1.1728429,1.187468,0.7878413,1.2228634,0.8383049,0.9673829,0.75096893,1.0669491,0.7119688,1.1460531,0.7892864,1.0147346,1.0739933,0.9985446,0.8494215,0.85077024,1.2075672,1.1440461,0.83163476,1.00078,0.71282774,0.9870274,0.72124743,0.83925384,0.92967844,1.1385264,0.88445663,0.9835705,1.1583786
bathtub,1.1950548,1.1646318,1.0019114,1.1651882,1.0729401,1.0057005,0.7285992,0.0,1.1758122,0.9305582,0.976829,1.0581511,0.8428188,1.0488719,0.98597926,1.1033535,1.0367123,0.6435467,0.84895873,1.0039364,0.67120224,0.8572693,1.0452005,0.65401584,1.0426149,0.9654687,1.0662205,0.9583311,0.96571535,1.0881556,0.92321813,0.93063307,0.9526316,1.1123236,0.9163881,1.1003278,1.0268264,1.0157886,1.1823959,1.2606378,0.8295728,0.71973145,1.1591533,1.0450706,1.1158909,1.0197701,1.0942155,1.2134717,1.0845059,1.0417966,1.0919461,1.0930398,0.88659585,1.1057096,1.1813648,1.004699,1.141662,1.0252782,1.0754112,1.2029306,0.99337894,0.75818753,1.0817561,0.9933007,0.97272176,0.94028765,0.8364711,0.71450037,1.059848,1.0492703,0.7611767,1.0781584,1.0771416,1.18382,0.78619933,0.979147,1.0783024,1.0236176,0.6441163,1.1021839,0.9777015,0.95687044,1.0069994,1.0461345,1.0278795,0.88940096,1.0753925,1.0925752,1.0899348,0.41295612,1.0528133,0.75212336,0.9626099,0.9801068,1.1158185,0.9313186,0.85258025,1.241885,1.113752,1.0163814,1.1410793,0.99876463,0.982942,0.43902123,0.9809826,0.9791614,1.0016692,0.87896526,1.1266772,1.0240189,1.0055391,0.95517135,0.9390237,1.1205558,1.0374678,0.9553994,1.1476661,0.93064785,1.0571715,0.91876704,1.2702858,0.96969146,1.1487913,0.8646872,1.2671552,0.9545418
bed,0.68109334,1.3452991,0.67781997,1.1865008,1.3407841,1.4962878,1.2009864,1.1758122,0.0,1.2923303,0.29405475,0.57492304,1.348815,0.25299257,0.79102314,0.74614847,1.3746132,1.4517487,0.7685666,1.3268299,1.1439246,1.2331028,0.91178834,1.2730728,1.1456691,1.5252266,0.93014425,0.55180264,0.9963098,1.3429892,0.85533726,1.3530304,1.3278198,0.15153265,1.3240712,1.5137014,0.7745718,1.4249513,0.9638406,0.8628417,0.98668057,1.0774803,1.071221,1.4183078,0.58908546,1.2546003,0.94862247,1.1222202,1.072205,1.2640626,1.2365826,0.6405579,0.72750235,1.3185211,0.8772112,1.3320547,0.5995648,1.0017031,0.80525506,1.1771373,1.0247008,0.6903263,0.42843968,0.8535569,0.5743202,1.4018984,1.2992349,1.3630378,0.9075515,0.8232886,1.3159189,0.80959177,1.1106358,1.3454235,1.2931218,1.3402796,1.0184922,1.3898988,1.102541,0.29255283,0.7304944,0.4768185,0.9041579,1.4046906,1.4935544,1.4865482,0.66361856,1.2644892,0.8673333,0.98194116,1.0301572,1.4106576,1.4179766,1.0710139,1.1162778,1.3493034,0.76181054,0.8960368,0.60805726,1.4127967,0.39053106,1.2155282,0.87255776,1.2920792,0.7831933,1.3032509,0.5811451,1.436657,1.0707055,1.0764788,1.3456086,1.5121609,1.2914121,0.46891862,0.3963095,1.4373741,1.3170184,1.3181238,1.1354861,1.3564702,1.1566669,0.8974028,0.659571,0.92332506,1.3385276,0.52047217
belt,1.3411093,0.3821237,1.235241,1.0215926,0.80584645,0.91969055,0.7293008,0.9305582,1.2923303,0.0,1.2282258,1.3466321,0.34726822,1.2639713,1.0807587,1.0816364,0.33022445,0.43008566,1.0261488,1.1727549,0.9895254,1.1004192,1.1855233,0.54826087,0.8605071,0.83487,1.0515227,1.2395971,1.2868621,0.6640297,1.1086345,1.087083,1.0666546,1.2644565,1.1769847,0.47234768,1.1997336,0.31280476,1.161728,1.1586134,1.0215306,0.79698706,1.091524,0.774545,1.2073635,1.0614123,1.1322418,0.608951,1.0739408,1.1679492,1.0087817,1.110255,1.3745112,0.5659764,1.1506573,1.0185444,1.2670842,1.3191967,1.4219708,0.8149885,0.9625158,1.2456524,1.1906785,1.194745,1.2302581,0.9678441,0.8009415,0.6828802,1.2084312,1.206962,0.78776115,1.298428,1.0175177,0.6293379,0.74563915,0.7598099,1.1790437,0.3878802,0.9332215,1.2237034,1.1245085,1.2706393,1.269284,0.3274144,0.36215287,1.094142,0.9741343,1.0035177,1.0781914,1.19041,1.1024195,0.80839014,0.63290274,1.0063602,0.9317322,0.84757364,1.1741933,1.1979634,1.196064,0.899917,1.2037313,0.9309758,1.3002341,0.4906329,1.1817116,0.4622236,1.1141658,0.37951517,1.0344216,1.1789807,1.1338385,0.74688685,0.7718456,1.283722,1.3533216,0.5154142,0.83382136,0.6840215,1.2357728,0.538666,0.88514346,1.2019613,1.0992389,1.0661244,0.5809103,1.2022092
