,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.133138,1.0680524,0.86839354,0.9150227,1.2268125,1.1854285,0.8077241,1.1537616,1.0403508,0.6527294,1.0141852,0.8371678,0.81417537,0.7183896,0.58113754,0.9149736,0.62703294,1.2701887,1.443777,0.6468114,1.1606508,1.0848024,1.2929938,0.7568819,1.2894063,0.98734635,0.98569995,1.1217608,1.1495018,1.0044659,1.0744674,0.87137884,0.91105753,1.3494617,0.7598709,1.3282554,0.86306465,0.63330805,0.8026485,1.1561148,0.9262682,0.88819027,1.3612666,1.221216,0.81960845,1.2275342,0.8490175,1.1590371,0.72713196,1.363223,1.1849288,1.2439674,0.37842727,0.74176085,1.0917623,0.78435826,1.427381,0.86200476,0.7812674,0.90579116,0.9550081,0.91861737,1.1002584,0.68195593,0.8475269,1.400312,0.75235856,0.88724643,0.888392,1.2850953,0.97712266,0.8471787,1.0789392,0.54351294,1.2928956,0.97853625,1.4378868,1.2237481,1.2422543,1.1406785,1.292228,1.1906868,0.9209882,0.84210277,0.9168689,0.5765849,1.2986168,1.3316451,1.2656802,0.89343494,0.97855854,0.80135775,0.8295524,1.1194055,0.7812828,1.1759,0.7930729,0.9768896,0.92160285,1.3223875,0.76394266,1.1703424,0.91290784,0.72322345,0.863811,1.2139199,0.88638085,0.8381045,1.2087086,0.7172359,1.4260261,1.3417077,1.2280858,1.3224306,1.0293576,1.1153576,0.78711784,1.2001445,0.8513197,0.88261247,0.636768,1.2530386,1.4398215,1.3269776,1.0069462,1.3308822,0.705584,0.78666157,1.1072912,1.3756473,1.0329136
ankle,1.133138,0.0,1.1309279,1.0071572,0.72007066,1.0534046,1.0758905,1.0711757,1.0330935,0.91494197,0.92231834,1.0523113,0.93599474,0.76736385,1.0356154,0.88047683,0.8583511,0.9951621,1.099171,1.1126411,0.87062764,1.0846813,0.8059319,0.79702604,1.1303002,0.97030467,1.0591294,0.8542353,1.3093438,0.88978904,0.99631935,1.157621,0.8793735,1.0818677,1.2027452,0.9531196,0.853713,0.9727953,0.97396225,0.60094297,1.1243486,0.9331797,0.83548915,1.1809781,1.0593319,0.8921788,1.2441608,1.0329503,0.7988406,1.2681556,1.2601888,1.1200321,1.247507,1.1958668,0.94108903,1.0276126,1.0581535,1.1660733,0.6067028,0.97622025,1.0510484,1.1991352,0.8278913,0.9833589,1.0610116,0.93963826,1.0839424,0.6394987,1.1656276,0.71540546,1.184238,0.96686214,1.0957515,1.0874327,0.7521676,1.1983693,1.0035757,1.2066398,1.0808548,0.90455014,0.9715562,1.0354419,0.9422005,1.0651339,0.7934443,0.6706316,1.0159098,1.223437,1.3030727,1.1807574,1.0280621,1.0243008,1.0544279,0.6415844,1.1866102,1.181251,1.1502322,1.0675689,0.9033385,0.8292098,1.1717551,1.0811157,1.2437639,0.7755715,1.1215587,0.88491774,1.2483139,0.7447966,1.0905867,0.98766655,0.9546137,0.8842232,1.2477112,0.27311122,1.110808,1.0863267,1.1368886,1.0891229,1.2161394,0.8062215,0.862905,0.9242573,1.029066,0.9592634,1.1725318,1.0355452,1.1543713,0.9295491,0.9814488,1.0788119,1.044457,1.0828589
apple,1.0680524,1.1309279,0.0,1.144767,1.402448,0.291659,0.47033125,0.81948245,1.09935,1.4001052,1.3546091,1.0936434,1.4713098,1.3783568,0.78109896,1.3665854,1.41428,1.0731308,0.76966333,0.65224725,1.3210144,0.7690321,1.0703758,0.8910443,1.2850237,0.77547455,1.2221541,1.504283,0.7114829,1.1085759,1.2794001,0.74124,1.423589,0.92970717,0.54534465,1.4861774,0.7528478,0.93721896,1.1100926,1.115858,1.3032935,1.315069,1.2629813,0.773973,0.49856186,1.2646023,0.7358788,1.1461077,0.9288262,0.7616938,0.72509587,0.8013445,0.98019606,0.6032261,1.1269139,1.1428678,0.9476357,0.7827178,1.2463607,0.9188423,1.1628323,1.021503,1.2396388,0.7918433,1.1651285,1.2752085,0.853356,1.3740723,1.2853279,1.3955171,0.8839175,1.0487009,0.55934584,1.1658119,1.1915716,0.7858496,0.87553746,0.6162859,1.1977923,1.0407488,1.0414968,0.6093042,1.2036414,1.1338565,1.367233,1.3904467,1.2267712,0.7228081,0.6299784,0.66063184,0.80714715,0.8848527,0.8766074,1.345653,0.8004006,0.8167473,0.85224414,0.889336,0.540239,1.1596684,0.75033116,1.252955,0.9070444,1.3188038,0.7171024,1.3752213,0.7878855,1.3107159,0.84648216,1.2185498,1.2765015,0.73143977,0.73066354,1.0733899,0.74408495,1.0421714,0.80119085,1.17416,0.2967909,1.043968,1.259558,1.4704359,0.4287991,0.63919795,0.7851188,0.9790396,0.95047575,0.7662031,1.1114743,1.2683036,0.6965352,1.3266783
applesauce,0.86839354,1.0071572,1.144767,0.0,0.8644415,1.1931382,1.0787941,0.70485604,0.9677125,0.8868898,0.82020736,0.9744698,0.86302674,0.8924168,1.0986824,0.87012136,0.8282,0.87057567,1.0497009,1.1932409,0.80744064,1.0713141,0.9928282,1.2880359,0.9369222,1.0865238,1.0921623,0.9842592,1.1900235,1.0409338,0.82401633,1.0590225,0.959153,0.932896,1.2253206,0.8137282,1.1342897,0.6953387,1.0905695,0.9364432,1.1395786,0.7859686,0.9454959,1.2634673,1.0195887,0.88683736,1.260635,0.9347427,1.0469853,1.0750282,1.2831296,1.165292,1.1588719,1.0252299,0.8876293,0.94673336,0.57824963,1.3095257,0.90275323,0.5570487,0.96005714,0.9364884,0.6977616,1.0622324,1.101178,0.8680706,1.226335,0.8657925,0.79211676,0.958281,1.1575226,0.9065483,0.78912437,1.1113251,0.62667024,1.1977634,0.9224176,1.296812,1.1308337,1.1421314,1.0135342,1.2074695,1.1323721,0.95124173,0.9058769,0.96053445,0.77898455,1.1975485,1.274173,0.99997264,1.0002589,0.7730452,1.1841196,0.96176046,1.1507704,1.116674,0.8436128,1.1929152,1.0893084,0.7158072,1.2393367,0.88328207,1.2004603,0.9135154,1.0369201,0.8959103,1.2677627,0.8691043,1.0655545,0.96908504,0.8627687,1.3716221,1.2670133,1.1604582,1.2121156,0.8039684,1.1475801,0.88303715,1.2235122,1.0704905,0.97544634,0.8125645,1.0708013,1.2553034,1.2184908,0.7500279,1.2520462,0.8880147,0.7073931,1.0771239,1.2805755,1.0422419
arm,0.9150227,0.72007066,1.402448,0.8644415,0.0,1.3912994,1.3835589,1.0491421,1.2024989,0.5613676,0.57983196,1.0978546,0.5266316,0.5643667,1.1834309,0.6882296,0.6050859,1.1120391,1.2779402,1.5037218,0.8347018,1.2885959,0.9003097,1.2558303,0.83457655,1.154491,0.9025941,0.4582137,1.4316399,0.92636704,0.9598383,1.2709955,0.5528133,1.1956931,1.5101978,0.521916,1.2680963,1.0811429,0.9681008,0.88439333,0.8761607,0.72301644,0.5172422,1.310117,1.2318816,0.6943227,1.3113602,0.656914,0.8428241,1.3204793,1.4058481,1.281096,1.268564,1.3212323,0.9194578,1.0294931,1.000763,1.370538,0.75663,1.0998752,0.6529093,1.2063736,0.52616715,1.0336018,0.99351966,0.6477057,1.288899,0.53020513,0.9282675,0.51421607,1.2913852,0.9641729,1.1775802,1.0682635,0.62457687,1.3027747,1.1700389,1.3263831,1.0913326,1.0042773,0.84302187,1.2135994,0.96575,0.96633095,0.4872465,0.6052684,0.86474895,1.4367352,1.4819883,1.4120252,1.1469401,0.9566971,1.1920774,0.75087416,1.299542,1.1713241,1.2894983,1.1988358,1.1695266,1.0137671,1.3932463,0.57290417,1.2060375,0.7286546,1.3056079,0.489879,1.3898811,0.6163007,0.96817285,0.8855257,0.6608058,1.313761,1.2984425,0.85519004,1.3272576,1.0557314,1.2483051,0.8351422,1.4143293,1.0500082,0.48798943,0.565433,1.4283588,1.1725852,1.2849295,1.0699292,1.3594894,1.246237,0.9406433,1.0073906,1.2714065,0.7382128
ball,1.2268125,1.0534046,0.291659,1.1931382,1.3912994,0.0,0.27026987,0.9974798,0.96682477,1.3572767,1.3310168,1.129621,1.4764339,1.3641919,0.78576887,1.2868001,1.3195821,1.1070732,0.71539307,0.5678344,1.3325837,0.79001594,1.0392212,0.8717395,1.2903209,0.70282024,1.2297637,1.4644573,0.6821579,1.0694786,1.2070882,0.716058,1.364774,0.9567714,0.63124955,1.4637651,0.63489085,0.8669691,1.115565,1.0385563,1.278606,1.3392186,1.2744758,0.844601,0.27321988,1.2658607,0.6778452,1.1564001,0.8793417,0.8984915,0.69998837,0.9246923,0.98380405,0.78588855,1.1195766,1.0780988,0.9595827,0.7628668,1.1022984,0.88329625,1.1631465,0.96615463,1.2224333,0.6718521,1.199372,1.31342,0.85371244,1.3725638,1.3869655,1.4100885,0.7876726,1.1086322,0.7864078,1.1361791,1.1447114,0.82016027,0.838587,0.59916365,1.0977275,1.0378804,1.0044936,0.58111185,1.1208525,1.1726757,1.3638911,1.3737124,1.3092344,0.75542665,0.67684585,0.7309301,0.8798266,1.0108355,0.9839017,1.2352676,0.8608315,0.9336513,0.8429419,0.9171814,0.64512277,1.1299632,0.7143972,1.3641461,0.7844195,1.2826586,0.79910576,1.3830943,0.7976172,1.3192549,0.9555821,1.0950161,1.2600286,0.72637147,0.7630256,0.94231385,0.8085377,0.9884944,0.6970025,1.3091388,0.53964084,1.000055,1.2528818,1.4449996,0.30409324,0.56162065,0.8540484,1.025138,0.829122,0.67147875,1.0517408,1.1938818,0.74013674,1.3141432
balloon,1.1854285,1.0758905,0.47033125,1.0787941,1.3835589,0.27026987,0.0,0.95068026,0.854794,1.1823969,1.434341,1.0497483,1.3892777,1.4060549,0.88570106,1.3515242,1.1911438,1.095311,0.77475977,0.51985604,1.2648702,0.83187646,0.8328322,0.857396,1.3044391,0.68665373,1.1620371,1.3692312,0.75874364,1.0765405,1.0268477,0.838924,1.3421433,0.9917881,0.6258398,1.4383739,0.56683064,0.89112294,1.1981782,1.0413262,1.0690681,1.2441721,1.3507873,0.83100355,0.42615402,1.3364654,0.7390808,1.2287438,0.8829743,0.88973844,0.78761023,0.86937046,0.89145094,0.8203705,1.1357102,0.9816364,0.796925,0.6903259,1.0474294,0.8098529,1.2238035,0.857954,1.1405215,0.66188467,1.1710455,1.404103,0.9256203,1.41773,1.1594048,1.3777397,0.73288345,1.0854923,0.8663689,0.99031925,1.0493491,0.81701696,0.9129461,0.7390803,0.8886513,0.9570073,0.955099,0.57960033,1.1304364,1.2054822,1.4344308,1.3667256,1.2840811,0.79599214,0.7111658,0.6380778,0.8823614,0.9765987,1.005591,1.1652732,0.8775414,0.9069225,0.6735106,0.9901971,0.7419916,1.0310706,0.81365764,1.3498886,0.8994632,1.3236592,0.80591404,1.4392155,0.8266357,1.3483226,0.9838956,0.8539444,1.2692206,0.7097878,0.8910867,0.9078054,0.805305,0.9703873,0.7782798,1.3151355,0.6542456,1.0723933,1.3521305,1.4312313,0.44497508,0.64763296,0.81864226,0.8125652,0.7865449,0.69439197,0.98585296,1.0833173,0.75780344,1.2307831
banana,0.8077241,1.0711757,0.81948245,0.70485604,1.0491421,0.9974798,0.95068026,0.0,1.0926526,1.001545,1.0622978,1.0866874,1.0911412,1.0715737,1.0039767,0.990968,0.9753324,0.9702401,1.176461,1.0505457,1.005838,0.72045386,1.055154,1.254745,1.1138408,1.1262255,1.1460667,1.1822748,1.1659309,1.1925284,0.90945697,0.7304178,1.1169703,0.67499465,1.0867331,1.1029173,1.1190853,0.674145,1.0092673,0.97196376,1.1832566,1.006966,1.0775003,1.1775444,0.9307039,1.0511935,1.1718949,1.0160261,0.9742028,0.86651796,1.1828105,1.1286067,1.1368229,0.81060624,0.92591536,1.0629171,0.73661035,1.2339246,0.9270911,0.7509421,1.0564927,0.9678633,0.9026132,1.0214866,1.0366,1.1344522,1.2259012,1.0054678,0.8291313,1.100929,1.2051544,0.7434475,0.52099454,1.09712,0.6923609,1.1501006,0.725862,1.1888157,1.1114359,1.1914365,1.0299543,1.0928621,1.2697734,0.8798506,1.1172012,1.1125957,0.93087614,0.96700966,1.1615304,0.95911276,0.9194597,0.42016917,1.0414395,1.0193928,0.8894482,1.0050523,0.6348598,1.1336354,0.8507029,1.0204495,1.1566948,1.0786757,1.1541342,1.095039,0.89289874,1.1555951,1.1477191,1.0853057,0.88661087,1.0159552,0.8957187,1.2346675,1.1014559,1.0981828,1.1698369,0.7602919,1.1471001,0.5441951,1.1019998,1.0120462,1.1081188,1.0152735,0.90538716,1.1364763,1.1223285,0.73799634,1.209854,0.7838814,0.68195355,1.1638811,1.1667532,1.1744581
basket,1.1537616,1.0330935,1.09935,0.9677125,1.2024989,0.96682477,0.854794,1.0926526,0.0,1.0772542,1.0941855,0.85822487,1.0443639,1.206914,0.93725544,1.0391654,1.0371118,0.80801034,0.58778673,0.7333609,0.81205416,0.96536887,0.6144785,0.9077236,1.0025421,1.1306432,1.16142,0.9457788,0.7100704,0.7237424,0.802323,1.0245597,1.0893931,1.1142001,1.0534271,0.914324,0.6808104,0.82690257,1.1295245,1.0057203,0.8074845,0.96092314,1.1975782,1.082673,0.8490682,1.24519,0.94112253,1.2768033,1.1382935,1.2682589,0.91543984,1.2017202,0.7741302,1.0575855,0.9968401,0.666443,0.9413433,0.9854448,0.965173,0.9216048,1.2375386,0.71932554,1.2509488,1.1291834,1.1710603,1.2111642,0.7343754,1.28926,1.0064899,0.98387283,0.57741606,0.9374455,1.1896737,0.7228243,1.101243,1.1608663,0.88675666,1.1421025,0.72364646,1.1461041,1.31653,1.2145169,0.63237894,1.0862156,1.1840144,1.3156927,1.0591258,0.9561374,1.016356,0.8987924,1.1802616,1.0997683,1.1064235,0.9830738,0.98655033,0.8849496,0.87384516,1.002424,1.1097479,0.6213603,0.70149547,1.0244732,1.0353581,1.184088,0.94712174,1.1695132,0.9027587,1.3173871,1.055958,0.9027598,1.0076673,1.0690975,1.1212797,0.91978455,1.0094085,0.7880363,0.8470744,1.0960095,1.0630823,0.93410563,1.181314,0.99056995,0.7403531,1.2130134,1.1299273,1.00169,0.792881,0.7832942,0.883505,0.77515244,1.1728433,0.89536893
bathtub,1.0403508,0.91494197,1.4001052,0.8868898,0.5613676,1.3572767,1.1823969,1.001545,1.0772542,0.0,0.79540503,0.9928349,0.37326992,0.76009285,1.2169439,0.8026544,0.6101745,1.1031122,1.359802,1.1154246,0.8728561,1.2266417,0.96449304,1.1908151,0.85080075,1.1519091,0.70520824,0.46455538,1.3660152,1.080808,0.611161,1.2396427,0.53522277,1.1751851,1.3902204,0.5789317,1.3242891,1.0480363,1.0504303,1.1520512,0.66907805,0.5139539,0.6734038,1.1630244,1.0631652,0.7899899,1.2493864,0.8876495,1.0574839,1.1406822,1.3662249,1.0916321,1.0712346,1.3884035,1.0022372,0.9895594,0.9369422,1.230725,0.8623823,1.1048571,0.9379398,1.1497321,0.78266364,1.1006097,1.0005312,0.82014406,1.31867,0.6167979,0.67402524,0.74536467,1.1501864,1.0907794,1.129244,0.95507723,0.8367711,1.1957096,1.190841,1.2830333,0.7415956,1.0803932,0.9193279,1.0901697,0.9048929,0.94875133,0.7369705,0.5794769,0.82103443,1.287746,1.3007059,1.3293812,1.0743243,0.9268741,1.1226864,0.7706207,1.186822,1.3056251,0.7767641,1.2087312,1.2281234,1.0465767,1.2926826,0.69808525,1.2112188,0.78787696,1.3927618,0.71058786,1.2643375,0.63860106,1.1377004,0.17360115,0.75437,1.216516,1.1101053,0.9745514,1.267054,1.0049223,1.2644825,0.8275348,1.4083472,1.1161405,0.73805606,0.58926105,1.3228974,1.2612072,1.1867658,0.9135753,1.0148611,1.3561796,0.90645874,0.98508227,1.2385693,0.7001364
