,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.9246669,1.0788068,0.9291716,1.0014924,1.0199174,1.1640215,1.0110296,0.94917125,1.1486464,1.0618447,0.89424866,0.59832656,0.8378773,0.6714568,0.7717267,1.1686116,1.1996789,0.8218487,1.1464245,1.1343858,1.1389394,1.2640483,0.7228612,1.0578905,0.9611114,1.1820344,0.94371194,0.9886087,0.93864524,1.1266335,1.1545849,0.9814393,1.0131358,0.94535214,1.0937283,0.98599815,1.0920107,0.98524874,1.272372,0.9787392,1.0367326,0.9859821,0.97691065,1.064028,1.0864314,1.1115882,1.2141936,1.0695528,1.0851268,0.75200343,1.2453232,0.5802789,0.6735976,1.0707753,1.1185025,1.216138,0.1617552,0.86478555,1.2009896,0.97043705,1.1673374,0.6764472,0.94217324,0.9494828,1.0731924,0.9949811,1.0378683,1.1579856,0.9707859,1.09437,1.0798516,1.1799104,1.1274529,1.1892624,1.1050853,1.0170387,0.64418054,0.81454164,0.70286775,1.0379177,1.0674099,1.1652269,1.1855223,1.2472135,1.0824271,0.94541025,1.0578235,0.7684318,1.006087,1.0997063,0.84544426,1.1554661,1.1165618,0.9466052,1.0365292,0.9073254,1.0022207,1.088272,0.7904357,1.046393,1.1467907,0.9926898,1.1153009,1.0340441,1.0381638,0.9093725,1.0616354,1.0342954,0.9237001,0.99158525,0.85549504,1.1210619,1.1915793,1.0685949,1.151626,0.86868644,1.1589572,0.98051816,1.0601339,1.0963197,1.1341414,1.080652,1.1215011,0.942729,0.9833063,1.0498683,1.0493804,1.2428758,0.8065038,0.8340428,1.15331,0.7460471,0.92412907,1.0333849,0.791065,1.2243832,1.2172263,1.0998492
apple,0.9246669,0.0,1.3105916,0.38485336,0.3636092,0.54481727,1.013186,1.3311338,1.4078515,0.78754383,1.4359623,1.3445948,1.144827,1.3519144,1.1335714,1.0697248,0.5940016,0.7263573,1.1723992,0.55989504,0.9890324,0.87941647,0.8478508,1.1850654,0.559651,1.3516283,1.3899087,1.0052766,0.7404133,1.2709805,1.2228073,0.84147906,1.0879662,0.76737493,0.79321444,1.4040928,0.9965314,0.5771644,1.4696412,0.67842543,0.94861233,0.94916075,0.8590079,1.331326,1.1532701,1.305608,0.79545534,0.46804065,1.2989924,0.7783807,1.1186908,0.82334363,1.0347413,0.5792217,0.6344452,1.10344,0.9389144,0.82218695,1.2462356,0.7718605,1.071244,1.189147,0.6374389,1.178771,1.0492461,1.1662701,0.8508716,1.035007,1.2171377,1.3454899,0.9719296,1.3991641,0.8739274,1.2504966,0.89758617,1.0655975,1.11501,0.6448321,1.0806473,1.0817835,0.8852884,0.9992785,0.5249713,0.9202371,0.7839596,0.7298011,0.67484426,1.2566812,1.1654632,1.4390476,1.4018632,1.2504022,0.68953717,0.6651698,0.5748566,1.1933932,1.2048016,0.77522284,0.5245564,0.9470496,0.955951,0.8127024,1.294167,0.9294185,0.83863366,1.345042,0.8990339,1.2416148,1.3915501,0.7389777,1.3616459,1.1354613,1.3856479,1.1900141,1.1906756,1.1731877,1.1497545,0.61547774,1.2054784,1.1089545,0.79475105,0.72613215,1.079021,0.361346,1.3526156,1.350036,1.4450985,0.27661788,0.73494476,0.85334826,1.1846014,0.90927017,0.4133045,1.0668513,1.0601773,1.2777436,1.0395757,0.6614208,1.2490444
arm,1.0788068,1.3105916,0.0,1.1403487,1.3219779,1.2760931,1.1812303,0.60490376,0.6359066,1.4146173,0.6766204,0.6758297,0.9781217,0.6741792,0.9454454,1.0441351,1.4088815,1.2537168,0.97705734,1.3792338,0.98588026,1.2537079,1.4292098,0.9920948,1.2798264,0.81844133,0.6862823,0.95830834,1.3870295,0.5838187,0.71458346,1.1888458,1.0079714,1.240685,1.2014507,0.58281267,1.0045422,1.4601382,0.680247,1.4125001,1.1444788,1.2013421,1.2316406,0.7548757,0.86058927,0.57406956,1.3362511,1.1055058,0.7704613,1.3860888,0.8666003,1.0069183,1.04122,1.4228408,1.395532,1.0141249,1.3051454,1.267235,0.80519676,1.3432057,0.75228935,0.77830535,1.3239316,0.7988727,0.8653977,0.52085173,1.0201402,1.0417747,0.7326461,0.54201216,1.0566852,0.4945966,1.3019034,0.93841285,1.2350936,1.2438955,0.89466524,1.0095655,0.6349591,0.99013656,1.1964021,0.7156278,1.3513049,1.115601,1.3874528,1.2673422,1.156675,0.80748093,0.83201784,0.44176954,0.57297343,0.82818204,1.407957,1.384495,1.373522,0.8661608,1.0057979,1.4051406,1.497967,1.218934,0.89172006,0.99798656,0.7734629,1.1870011,1.1630431,0.7460032,1.3487597,0.7315192,0.7230896,1.4556853,0.48938525,1.0416161,0.5642428,0.8454221,0.99051666,0.88246727,0.7928747,1.4734638,0.8173871,0.8508177,1.318748,1.3746135,0.8424278,1.3787903,0.80975986,0.3749287,0.5511259,1.3807384,1.1728743,1.1794865,0.83356434,1.2828057,1.4351544,0.9727456,0.94820184,0.9032863,1.1289603,1.3219069,0.8565415
ball,0.9291716,0.38485336,1.1403487,0.0,0.27198637,0.88883656,0.99800956,1.1673459,1.1797414,1.0407923,1.2548475,1.1263877,1.1065321,0.9961972,1.0120071,0.9759387,0.88658357,0.89200526,0.95436335,0.93671596,1.1000957,0.8558941,1.0731169,1.0934374,0.80482656,1.3136806,1.2828982,0.9885453,0.8283932,1.1746639,1.1330019,0.7995685,1.0473086,0.8843897,0.9031294,1.2347716,1.0124539,0.89250016,1.2203928,0.97948396,0.90354663,1.0644652,0.89868814,1.2760782,1.00032,1.1923532,0.9409097,0.38429618,1.2012993,0.94585407,1.0644226,0.98152256,0.99388576,0.8576644,0.92397064,1.1942424,1.1328318,0.8207905,0.8842912,1.0239629,0.9311042,1.1804492,0.6384549,1.0939939,0.9753083,1.0636605,0.69882673,0.9940608,1.0707941,1.1317409,0.89264166,1.2148536,1.0835867,1.1393262,1.0325584,1.1447294,1.0527204,0.8206613,0.9260768,0.9006837,0.99238694,0.9926127,0.8899926,0.9973098,1.0154399,0.80663145,0.8311629,1.1887226,0.9628383,1.1922861,1.2537835,1.0533714,0.9466243,0.9594624,0.85526156,0.93984324,1.0299721,1.0368861,0.9238111,0.9563014,0.8865028,0.81814903,1.0592872,0.98486096,0.9055831,1.2957878,0.9998996,1.1472305,1.2369295,0.91473716,1.180175,0.93262374,1.218985,1.215973,1.2283658,1.1875944,0.90855604,0.92509866,1.1770048,0.9518127,1.0397742,0.9642897,1.0814302,0.6714655,1.0475029,1.1990883,1.2084205,0.40578604,0.9787874,0.88836646,0.94829184,1.0549258,0.44028842,1.0308306,1.1365676,1.1718498,1.1396766,0.95453745,1.1981645
balloon,1.0014924,0.3636092,1.3219779,0.27198637,0.0,0.7448033,0.8469438,1.21825,1.3299127,0.81515944,1.4294134,1.238524,1.1279838,1.1734726,1.0607972,0.951295,0.6018081,0.6676588,1.0211248,0.7933694,0.98151046,0.65139216,0.84735656,1.2035046,0.7803986,1.4086576,1.2673315,1.1029277,0.62934697,1.3133233,1.2781221,0.7241025,1.029207,0.8388941,0.80178654,1.3500832,1.0825019,0.652529,1.3465078,0.65069616,0.8463432,0.97786546,0.8586761,1.2479582,1.0414798,1.2696931,0.8706336,0.46788144,1.2831899,0.802305,1.2240752,0.9791583,1.1189059,0.67953044,0.67079055,1.2350687,0.91799015,0.78819096,1.059172,0.8969575,1.0074886,1.2520981,0.6487883,1.2622377,1.0419027,1.2411529,0.7885263,0.9612148,1.0936155,1.3487186,0.8250027,1.3949666,0.83601016,1.1723744,0.70315516,1.0539926,1.1363933,0.8325022,1.0674744,1.0904038,1.066681,1.1483089,0.76154554,0.8000532,0.8555795,0.7751759,0.8079932,1.2168504,1.0587486,1.3704233,1.4250082,1.1347874,0.69307375,0.7390892,0.78105646,1.0353049,1.1835967,0.8096992,0.6548818,0.91632974,0.940322,0.82619405,1.1164904,0.7093502,0.8346076,1.261017,0.8109076,1.2492453,1.4187164,0.69584465,1.3593266,0.92700946,1.4164817,1.1490678,1.1553218,1.0466608,0.97746754,0.72461456,1.1734099,1.0328536,0.8691882,0.73177755,1.125526,0.59214747,1.1744653,1.3795718,1.333003,0.3282646,0.9289501,1.0598532,1.041844,0.8405894,0.39347398,1.0580457,1.1172634,1.311451,0.8587849,0.84538674,1.2014409
banana,1.0199174,0.54481727,1.2760931,0.88883656,0.7448033,0.0,1.0896875,1.409106,1.4691062,0.7064897,1.4110852,1.3676345,1.0684798,1.3725656,1.1387464,1.1774783,0.6037487,0.91217154,1.3116449,0.26539862,0.9547845,0.9194742,0.64715624,1.2992735,0.6228344,1.3130233,1.3305315,0.9142727,0.8298419,1.3656642,1.2589393,0.8822682,1.1617063,0.6382672,0.81055844,1.4398912,0.7844409,0.63117784,1.4926367,0.63918483,1.0452112,0.7911278,0.66725516,1.311664,1.2380648,1.2115798,0.73744595,0.758022,1.2686566,0.7054592,1.1972594,0.781878,1.1043285,0.6716279,0.6167809,0.8960037,0.66102624,0.8359843,1.3462956,0.71251345,0.96977466,1.1597309,0.8728043,1.2113311,0.9413972,1.05354,1.0119468,0.94216937,1.2017051,1.4060444,0.99333066,1.3305873,0.75834,1.2324177,0.8813702,0.8661798,1.0783516,0.694869,1.0376183,1.1647806,0.82937473,0.82915896,0.67508835,0.7946667,0.6284195,0.9091581,0.7685594,1.276398,1.2208967,1.3727102,1.2772467,1.3484852,0.66718864,0.68138343,0.42583865,1.1297002,0.9992057,0.65211564,0.47123414,0.9399178,0.7392795,0.82476187,1.3577851,0.997551,1.0267072,1.3333094,0.7748565,1.1466516,1.1627778,0.670012,1.377966,1.0844109,1.2719846,1.0714164,1.1827374,1.1647527,1.2496276,0.5882771,1.2968731,1.2599413,0.79451334,0.569304,1.0216302,0.5411012,1.2834446,1.3766809,1.4514396,0.75717527,0.6815672,0.8841843,1.1270205,0.813704,0.6741622,1.0347992,1.1294451,1.2092957,0.94422704,0.6205878,1.2178704
basket,1.1640215,1.013186,1.1812303,0.99800956,0.8469438,1.0896875,0.0,0.8964398,0.9484823,0.9651758,1.0418355,1.1494334,1.1861773,1.0570339,1.1819826,0.83222413,0.66237736,0.3550564,0.63710886,0.96537,1.0842161,0.35913408,0.7222533,1.1007831,1.2436204,1.2413825,0.8102726,0.9311689,0.73446476,1.1495311,1.1064271,0.93637586,0.73878765,0.92887837,0.810215,1.0694162,1.0228745,0.94977176,0.7945738,0.6114864,0.8146749,0.950918,0.9266651,1.0105989,0.93051666,1.1120291,1.0938412,1.0090206,1.1216136,1.0033132,1.2223701,1.192786,1.1394533,1.2333597,0.8106151,1.225447,0.8944302,1.0731992,0.91080666,1.1085119,1.1015342,1.0666244,0.9660675,1.2659075,1.0440357,1.3097538,1.1039754,1.0167652,0.99206907,1.2627504,0.6879035,1.2782013,0.6841384,0.7797157,0.69372654,0.9581251,0.9875356,1.2116544,1.1681219,1.0926145,1.2028905,1.3507452,1.1567711,0.59723055,0.9752168,1.127976,1.2343631,0.8901743,1.1768153,1.1835917,1.2715673,1.0294557,0.86918163,0.9279811,1.1678839,0.99554384,0.94320154,0.8835409,0.71027637,0.92993605,1.0353576,1.1505991,0.8562192,0.42660177,1.0865961,0.8273913,0.81869644,1.0784732,1.3170638,0.7810434,1.2150636,0.83920467,1.3296185,0.797554,1.0179144,0.7903515,1.0402129,0.9981224,1.0916537,0.88278484,0.9354662,0.8847021,1.1916715,1.0729504,0.87444496,1.2523621,0.9822158,0.7442206,1.2287261,1.3488905,1.1118037,0.7186221,0.81498635,0.81803715,0.89249533,1.0893116,0.6266933,1.128222,0.8805692
bathtub,1.0110296,1.3311338,0.60490376,1.1673459,1.21825,1.409106,0.8964398,0.0,0.4561305,1.3599368,0.572761,0.68594867,0.9863116,0.5500508,0.8446264,0.9588517,1.3767592,0.89383304,0.7150029,1.4772053,1.0246054,0.9479146,1.3870946,0.8268156,1.3575361,0.7238511,0.5586458,0.9035648,1.2955916,0.6726889,0.8170478,1.1717482,0.9790633,1.1466225,1.2074751,0.49687862,1.101505,1.4227138,0.457525,1.3915045,0.98833555,1.3747914,1.329137,0.5889746,0.780399,0.85505545,1.3133061,1.2274448,0.75940984,1.328757,0.972152,1.3577957,0.95506966,1.3770804,1.4858723,1.1124,1.3193481,1.1745754,0.7046588,1.4767632,1.0850712,0.85954237,1.3003515,0.99466264,0.9021603,1.0701597,1.0462468,1.1890806,0.76105386,0.68281126,0.9758063,0.66489244,1.2344146,0.8351916,1.1354818,1.2041397,0.93319505,0.97029346,0.89899564,0.9214266,1.3451946,1.1152096,1.3892385,1.0129942,1.4720066,1.2925442,1.2829472,0.74269664,0.90950644,0.64338374,0.6923889,0.72713864,1.4009972,1.3722582,1.3044555,0.89956105,0.94276893,1.4414448,1.2580307,1.2219422,0.9402659,1.1122193,0.73825634,1.155157,1.1350737,0.6107949,1.34079,0.8588928,0.8930563,1.3896613,0.7166121,0.98480606,0.76413924,0.8705566,0.78209305,0.30574894,0.60710704,1.5013311,0.53645915,0.8990427,1.212075,1.3865741,0.9345865,1.485383,0.7251693,0.58437574,0.3210907,1.2116256,1.4527829,1.1953244,0.8894128,1.1991298,1.329613,0.60594356,0.7432475,0.80580676,1.1074675,1.477703,0.79514277
bed,0.94917125,1.4078515,0.6359066,1.1797414,1.3299127,1.4691062,0.9484823,0.4561305,0.0,1.3494933,0.39899838,0.5213888,1.0377254,0.24922848,0.7545897,0.8171097,1.4309541,1.2026027,0.6896232,1.5244163,1.1341643,1.2126845,1.3743263,0.7777715,1.3788621,0.7282293,0.5158658,0.97893274,1.2359492,0.56099164,0.79540235,1.2135104,1.0167482,1.2568212,1.190297,0.40357298,1.1630812,1.4507108,0.08307725,1.4141018,1.0438561,1.1841724,1.2418516,0.6385672,0.8180069,0.76382434,1.3639939,1.23134,0.7213142,1.299954,0.84206414,1.3717213,0.8565465,1.4294691,1.4304887,1.2468696,1.48929,1.0688856,0.78415,1.4757435,1.0806412,0.90850174,1.3084085,0.9237379,0.9392941,1.0705614,1.116247,1.0635669,0.9036075,0.54633206,1.0244458,0.6216965,1.3318238,0.84197104,1.2601566,1.2537367,0.9491165,1.122401,0.8888757,0.8647061,1.3238107,1.2428532,1.3995953,1.2087582,1.5084759,1.2642367,1.1846895,0.7948177,0.739243,0.36451352,0.7089004,0.68350345,1.4617383,1.4239334,1.3615999,0.66128194,0.7818823,1.3694885,1.4499516,1.143773,1.043874,1.1783297,0.64076245,1.175845,1.1181182,0.6683655,1.3324041,0.8441981,0.85358316,1.3937273,0.63530445,0.92511326,0.7812221,1.0679126,0.8247019,0.87678534,0.5040198,1.4956682,0.6799204,0.92557335,1.2389393,1.4881113,1.0465113,1.5003343,0.46323717,0.57104576,0.39596236,1.2996156,1.4488927,1.1124974,0.9660263,1.2440966,1.2640308,0.83808416,0.80678403,0.8129238,1.1069013,1.4437215,0.72148854
belt,1.1486464,0.78754383,1.4146173,1.0407923,0.81515944,0.7064897,0.9651758,1.3599368,1.3494933,0.0,1.2409675,1.4242055,1.1774626,1.3747907,1.1315012,1.0907606,0.68675375,0.86312354,1.2154179,0.62403303,0.8704483,0.80490875,0.44513655,1.0943735,0.45409542,1.0066413,1.1341584,1.2377603,0.89806753,1.379563,1.1913173,0.99130285,1.0273873,0.89571434,0.80039227,1.2774432,1.096033,0.26285398,1.3460541,0.562087,1.140604,0.8931832,1.0513049,1.1956618,1.090111,1.189934,0.59771526,1.0719166,1.1174064,0.7158454,1.2549105,0.61171633,1.1760541,0.5504104,0.7032927,0.85887086,0.5615719,0.99717486,1.48883,0.43216038,1.1528965,1.0638642,0.85021985,1.2204919,1.2828588,1.1593013,1.1350918,1.0405797,1.1594346,1.3814734,1.191115,1.1824502,0.59667414,1.0732903,0.82753044,0.8080565,1.2873678,1.0219632,1.3916752,1.1666045,0.6575451,1.1078782,0.54613674,0.8655647,0.42557132,0.9051894,0.74471414,1.1125052,1.314261,1.410099,1.0560744,1.3085711,0.35644472,0.32550108,0.5415191,0.90186554,1.2603498,0.67496467,0.47027254,1.0222874,1.2891014,0.9662689,1.340487,0.8514747,1.0074964,1.2043176,0.9594437,1.2921467,1.2590666,0.63901234,1.3741984,1.0624723,1.0753042,1.0515287,0.82991755,0.89268446,1.3316375,0.22150487,1.1698419,1.1161952,0.37169468,0.46394706,0.8316392,0.66785175,1.3627145,1.4063873,1.4655716,0.8147029,0.56115925,0.78753674,1.12429,0.5534161,0.7822001,1.2104769,1.1626135,1.1321609,0.7789967,0.3689649,1.1180718
