,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slipper,snow,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,0.79821444,0.9379239,0.8302882,1.2755893,0.7430916,1.0232054,0.8655459,0.85027087,1.2654335,0.905663,0.9468982,0.5682844,0.8477898,1.114572,1.2744,1.296234,0.7924169,1.0837686,1.2550004,1.0495832,1.1059958,0.87596166,0.97365814,1.0073972,1.2608778,1.1430625,1.100915,1.025186,0.70716035,1.0006799,0.7633786,1.3159544,0.8788567,1.3339198,0.9097401,0.83546454,1.0910951,1.1742837,1.1539412,0.88466054,1.0201024,0.8017,1.2538664,1.4277942,0.24221289,0.9902494,1.3793873,0.94982046,0.8391608,0.93735653,1.1112025,1.0003254,1.0353181,0.7461512,0.96135676,0.9933184,1.2419317,1.2149913,0.6933947,0.5847185,0.62171525,1.1894716,1.3762184,1.1816388,1.3255575,1.1488019,1.1543777,0.95074177,0.9140901,0.9307312,1.0819343,1.0187823,1.3178589,1.4139798,0.6240387,1.0747826,1.1146379,1.2059985,0.8419157,0.9813846,1.0846616,1.0511249,1.0403539,0.97634417,1.0139558,0.90158767,0.9384229,1.0695548,0.76561475,1.0630515,0.9214617,1.2746556,1.3595409,0.8259051,1.1162186,1.1166502,1.3837821,0.76158416,1.046926,0.87153065,1.202842,1.2886678,0.76306987,0.59075254,1.2750716,0.9513983,1.0827544,0.9662959,1.3551149,1.3427819,0.9936287
apple,0.79821444,0.0,1.0686351,0.872065,0.8610629,0.7896395,1.2086257,1.2905496,1.2448623,1.0393835,1.2226772,1.0929948,1.0247642,1.2348386,1.0391308,0.99935776,1.1175221,1.0142082,0.8143875,1.0340765,0.8717247,0.7088934,1.1550006,0.8673457,1.3106086,1.2692614,0.7925534,1.1538407,1.171595,1.1264979,1.276865,1.0065298,0.88972193,1.2041782,0.976652,1.0470905,0.8557279,1.3322128,0.9672967,0.6889157,1.1235414,0.8895861,0.7823764,0.9207498,1.0101068,0.58841074,1.1847816,1.0564871,0.9976306,0.64654815,1.0669346,0.8811992,0.8792653,0.68077266,0.9757819,1.1639192,1.149104,1.0925125,1.0321075,0.5723949,0.76686203,1.0514783,0.90121746,0.84886944,1.0913424,0.8997394,0.91818327,0.9216631,1.1362303,0.8322315,1.2105113,1.1522989,1.1550658,0.9696986,0.9539878,0.6793322,1.0856069,0.95984715,1.0285677,0.8927836,1.0054467,0.9856799,1.0247049,1.2673883,0.9275109,1.1377959,0.9629255,1.1572334,1.1046085,1.0705981,1.0429205,1.253573,1.0529869,0.8696502,1.0576923,0.8861467,1.0164998,0.9798726,1.0534326,1.1492437,1.2045617,0.92208284,0.9690592,0.91341543,1.1750634,1.0730087,0.58441997,1.0453353,1.0584153,1.088612,0.9337019,1.2727655
arm,0.9379239,1.0686351,0.0,1.1052505,1.314765,0.95766896,1.1796767,0.77969074,0.62807393,1.3471968,0.55421484,0.67310345,1.186065,0.6849982,1.3449652,1.3773057,1.2795639,1.0143117,1.0218698,1.2586048,1.2259041,1.2546253,1.2886454,0.99882525,0.87706494,1.054858,1.4298084,0.745232,0.79301584,0.9092415,0.5623428,0.85131335,1.3895979,0.7667974,1.3438993,0.7833977,0.81706905,0.9683665,1.1520307,1.054693,0.7192112,0.8272722,1.3419098,1.3277652,1.3640435,1.1284642,0.6732019,1.2219566,0.6257029,1.3349384,0.87088645,0.87328625,0.5977826,1.2732958,0.8863182,0.90935415,1.0694088,1.3218498,1.4189539,0.9095863,0.82635164,0.9431142,1.3484278,1.2241869,1.2698512,1.3347614,0.95484173,1.3725753,0.7545633,1.11143,0.7837103,0.99122036,0.9464052,1.3549824,1.3151376,0.76221365,1.1671348,1.3045924,1.2799517,0.9817768,0.9890804,1.2648201,0.95764184,0.7464092,1.2020345,0.96015656,0.9306781,0.62938845,0.83428013,0.90286404,0.9071978,0.88197017,0.9866562,1.252423,0.9295386,1.2994823,0.8639704,1.2926201,0.6586485,0.6183896,0.5987617,1.2427509,1.1334418,0.996715,0.8641533,1.3725603,1.4545808,1.1891861,0.87058014,1.292264,1.2731245,0.7893532
ball,0.8302882,0.872065,1.1052505,0.0,0.90618145,1.2338119,0.9593708,1.0074699,0.95220596,1.0707728,1.0674196,0.9112436,0.8782714,0.94922686,1.1117163,1.1217626,1.1783714,0.9425472,1.0352066,1.2265608,0.9566862,1.2590469,0.9498937,0.9580741,1.0760145,1.2748265,0.8923702,1.014671,0.9631414,0.9844881,1.0688871,0.9899703,1.2417624,0.93533945,1.1699198,1.0877844,0.97908777,1.087114,1.0147347,0.85057086,1.0537271,1.2069974,0.9274293,1.1983422,1.2681289,0.71806014,0.9123508,1.2753787,1.006536,0.89449203,0.94968736,0.9936625,1.0269215,0.50606436,0.82268006,0.9887518,1.0116822,1.2057322,1.0727508,0.75475466,0.7739359,0.9647329,1.1820863,1.1045879,1.1809459,1.1875155,1.1951691,1.1533248,0.95551735,0.9163341,0.9751041,1.104112,1.0765531,1.2494924,1.298786,0.96121913,0.99633455,1.1012477,1.2202423,0.28939128,0.873653,0.9845925,1.154486,1.0704217,1.0482838,0.8923806,0.94641525,1.0241402,1.1394178,0.98314106,1.0038207,1.007324,1.1245359,1.2272432,0.7525301,1.0469663,1.3065753,1.166187,0.93168795,1.0055212,0.9252837,1.007545,1.2275594,1.022101,1.0774615,1.1900826,0.93013686,0.9548601,0.84547466,1.3149258,1.1516452,0.94196916
balloon,1.2755893,0.8610629,1.314765,0.90618145,0.0,1.2257266,1.0283147,1.3133215,1.3960136,0.73680085,1.4789829,1.2705467,1.0899608,1.4019411,0.7857385,0.64041513,0.68719935,1.3265759,0.89332294,0.5652434,0.8049202,0.7230869,0.9521838,0.95394367,1.0549239,0.8433466,0.61662954,0.99175537,1.2033012,1.1069514,1.4001347,1.2718307,0.5618446,1.3558528,0.6296149,1.2530978,1.0935242,0.9838219,1.0034516,0.7235863,1.2365792,1.127442,0.8067539,0.6064661,0.61074585,1.1743033,1.0649691,0.69218683,1.2447119,0.7661642,1.1651119,0.9556154,1.1861014,0.59767693,1.016037,1.2328223,1.3013442,0.7122667,0.6264901,1.0931418,1.1318825,1.2072513,0.66438824,0.4846282,0.8148093,0.82122254,1.0736108,0.62054074,1.3712066,0.8482362,1.431112,1.2568482,1.0911961,0.591106,0.59652853,1.2976737,0.9292744,0.8158581,0.64764076,0.9819741,1.1867709,1.0185407,1.1094681,1.2297765,0.8881727,1.0940809,1.1264716,1.309434,1.2106075,1.304629,0.9224807,1.1668651,0.8533762,0.67539287,1.1746104,0.6309936,1.1256382,0.6505961,1.3168625,1.2765341,1.2666123,0.75746435,0.7255293,1.1562576,1.2859479,0.7588973,0.8344629,0.8733649,1.0909545,0.5765381,0.60391754,1.0172325
banana,0.7430916,0.7896395,0.95766896,1.2338119,1.2257266,0.0,1.1439553,1.0507164,1.1588211,0.9933621,0.87021065,1.0113353,0.9289271,1.0842191,1.0641167,1.227403,1.1996598,0.8777988,0.92541325,1.1696209,1.2014251,0.8317424,0.9875742,0.8154854,1.0702499,1.2645186,1.1962566,1.2595427,1.1907609,0.9683788,1.06606,0.9426229,1.0478735,1.08483,1.2328253,0.76980513,0.7360154,1.2648692,1.0409325,1.027265,1.0925133,0.5445733,0.8244418,1.145813,1.1194803,0.6706183,1.1183664,0.9836895,0.74849814,0.9157483,1.0221162,1.0048603,0.8165169,1.0086254,1.0537666,1.0826116,0.8704063,1.2245823,1.1956925,0.658484,0.8631295,0.94064116,0.9150243,1.2269036,1.0660218,0.88615227,0.74254274,0.94959253,1.0800287,0.9457294,0.9307069,0.8023789,1.0566329,1.1432737,1.1206272,0.36255163,1.0666695,1.0989994,1.1351123,1.1379671,1.0586997,0.95371985,0.71483755,1.1603183,0.85295,1.1743959,0.92401993,1.0312017,0.76368463,0.94631076,0.9791333,1.092984,1.0567417,0.9448131,1.0545975,1.0571753,0.6865188,1.1087887,0.8175634,1.0436938,1.1747818,0.89251655,0.93114924,0.86699736,0.8108667,1.1186857,0.9310215,1.1326178,1.2208219,1.1309375,1.0971028,1.2104058
basket,1.0232054,1.2086257,1.1796767,0.9593708,1.0283147,1.1439553,0.0,0.9582525,0.93041515,1.1380813,1.0499618,1.041228,0.9049558,0.84366226,0.8450475,0.87166,0.80216825,0.5457605,1.0107924,1.2002022,0.6500565,1.0571461,0.88311166,1.1184405,1.1021262,0.81932473,0.96449244,0.92850775,0.9137833,0.7045983,1.0790201,0.9794343,1.1419727,0.8384847,0.9458267,0.8810503,0.8426162,0.9306879,0.95840836,1.0630859,1.1010262,1.2868721,1.254046,1.1048279,1.0868158,1.0683032,0.92336595,1.1876707,1.1270986,0.85766387,1.0713041,0.9476648,1.1910741,1.1037223,1.0816469,1.0164205,0.83494294,0.94961166,0.9427446,1.0046346,1.0670018,0.85434985,1.0817075,1.1149633,0.9035628,1.1249882,1.214802,0.9618689,0.79636747,1.0811795,0.8719974,0.96453214,0.95395327,1.053928,1.1272914,1.1281508,0.58731973,0.9355113,1.0621645,1.0034165,0.68017644,0.86566556,1.2213167,0.84368956,1.0956333,0.9460206,0.8640522,1.1220971,1.1007922,0.99555516,0.9545506,1.1241915,1.097677,1.2158461,1.0806371,1.0044887,1.2003175,0.9420886,1.0432961,1.0523771,0.8432688,1.1616943,1.2193748,0.8763411,0.94645095,0.83280724,0.79689956,0.801234,0.9992793,1.0588984,1.2371484,0.9691791
bathtub,0.8655459,1.2905496,0.77969074,1.0074699,1.3133215,1.0507164,0.9582525,0.0,0.36676145,1.1006598,0.43357444,0.7297982,0.9740964,0.5227942,1.0782545,1.4101279,1.050692,0.6981306,1.2411693,1.0547645,1.2605412,1.3203591,0.95770204,1.1253688,0.6998633,0.9284246,1.3746777,0.9626045,0.81559294,0.87100923,0.4971962,1.003537,1.3655391,0.39562535,1.3979708,1.0373309,1.1698828,0.7333123,1.0035588,1.2649739,0.7549633,1.1903623,1.2055504,1.3751726,1.3252838,1.0515021,0.9118027,1.3442843,0.9926318,1.3210489,0.9628323,1.1262186,1.0338801,1.3902392,0.85283315,0.715535,0.79608774,1.1993338,1.2634983,0.9879464,0.99505675,0.91016114,1.3007262,1.3962884,1.0004929,1.3454772,1.2508187,1.2781413,0.7203112,1.0907515,0.65612656,0.908532,0.64794147,1.352109,1.3723602,0.8686929,0.99559116,1.3036739,1.1569816,0.9260633,0.9023549,1.1556325,1.0364914,0.76846325,1.3159966,0.7735133,0.91523427,0.7401879,1.0569227,0.7385194,1.0046005,0.59798265,0.9124644,1.4149872,0.7966567,1.1614614,1.0919374,1.3535962,0.68676436,0.8406807,0.6061599,1.2466617,1.3973768,1.0532111,0.8795421,1.2259603,1.3736846,0.9465035,0.97117615,1.2559338,1.3139948,0.7429439
bed,0.85027087,1.2448623,0.62807393,0.95220596,1.3960136,1.1588211,0.93041515,0.36676145,0.0,1.3235867,0.2956115,0.49100763,0.98577136,0.1567424,1.3426528,1.5230268,1.3094103,0.7074108,1.2306701,1.3208627,1.2637312,1.4538841,1.0970368,1.1340598,0.70958793,0.9931671,1.4813312,0.82027715,0.67252594,0.830901,0.22656131,0.9152432,1.575192,0.1225065,1.5084046,0.7896495,0.97950757,0.7771951,1.1202253,1.2359152,0.6299446,1.1846782,1.4540539,1.5119103,1.5417662,1.1131399,0.7245818,1.5101578,0.9085506,1.4104787,0.8641135,1.0695162,0.9481254,1.451436,0.7825382,0.55699515,0.86293274,1.427325,1.4867493,0.92620265,0.94464344,0.8408414,1.4508933,1.4872937,1.2215793,1.4878855,1.172363,1.4667038,0.6093284,1.1469871,0.573291,0.94878054,0.8334862,1.5883787,1.542748,0.8737575,0.8858498,1.3614041,1.3893828,0.9284218,0.8518666,1.2507527,1.0275973,0.59054685,1.4092867,0.59670097,0.86639124,0.5691006,0.9869063,0.78059375,1.010048,0.701019,1.0974731,1.5332167,0.74661076,1.3406987,1.1453996,1.5545204,0.48238534,0.633251,0.3673933,1.3272438,1.4548032,1.0431117,0.85967577,1.3904841,1.415664,1.0713507,0.77434003,1.4403837,1.4193845,0.7141205
belt,1.2654335,1.0393835,1.3471968,1.0707728,0.73680085,0.9933621,1.1380813,1.1006598,1.3235867,0.0,1.3119749,1.3189689,1.145279,1.3782952,0.67761946,0.73441696,0.7529758,1.2555641,1.1360455,0.53225255,0.9715537,0.50104487,0.84033585,1.1463096,1.014725,0.85107505,0.8112718,1.1703858,1.2371414,1.1880339,1.2721851,1.2065537,0.4559189,1.3060453,0.6546241,1.321353,1.3758242,1.073944,0.8193995,1.1665982,1.2109243,1.0048039,0.75413775,0.5829246,0.5040376,1.165384,1.3078547,0.55072165,1.2136698,0.8740201,1.1302482,1.1668825,1.3021908,0.76875144,1.3396144,1.2421293,0.6116512,0.7250068,0.8188832,1.2192849,1.2974819,1.2688628,0.7696967,0.6913036,0.8201356,0.5455312,1.0002362,0.6025742,1.2805209,0.8218405,1.0089631,0.67198765,1.0881171,0.6257002,0.55901337,1.1926217,1.0424329,0.7713913,0.6428976,1.1002202,1.2858338,0.91250646,0.9948028,1.2408751,0.99249274,1.1684229,1.1879362,1.229771,1.0535411,1.0096353,1.239114,1.0526342,0.60316986,0.49796867,1.0615546,0.54580814,0.9757365,0.78428495,1.3149383,1.2833118,1.3692617,0.5903387,0.888149,1.0738034,1.2472081,0.72874105,0.91412246,0.9746985,1.1471994,0.5358939,0.32912332,1.0636344
