,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1946788,1.325969,0.8547499,0.7334116,1.1641097,1.384193,0.6944071,1.3334677,0.9891958,0.6210299,1.4583637,0.76095545,0.60527635,0.96989846,0.58587,0.8387174,1.0049273,1.4365432,1.1562058,1.1256703,1.1668892,0.98876184,1.3329933,1.0865622,1.5190208,0.9192165,1.3162153,0.46555877,0.8214729,1.2078528,0.7312751,0.8560097,1.1963066,0.8882026,1.0606059,0.91254234,0.6085466,0.6345161,1.4944224,0.72040296,1.469379,0.34451175,0.93029916,1.203325,1.2940772,0.6811068,1.0977244,1.4477303,0.6955274,1.3171759,0.7791256,1.2092026,1.1236202,1.0793586,1.2648622,1.2727356,0.6373749,0.9660316,1.4541012,0.9829787,0.8918136,1.035261,0.8432373,1.0146459,0.77026224,1.3824446,0.42838496,0.68466693,0.9613014,0.5913524,1.0743892,0.7272439,1.4235331,1.418946,1.0099288,1.0129529,0.5512728,0.9968671,1.0859053,1.4278572,1.2417407,1.2479098,1.0866834,1.3222796,0.8246404,0.5970859,0.5650057,0.7351156,0.6130024,1.5114264,1.3445754,1.148006,1.1959445,0.61668086,1.0537435,1.019353,0.4381951,1.2272277,0.94718426,1.471741,0.99363047,0.9754718,1.0378871,0.72082,0.92330545,0.68130946,0.75381196,0.905222,1.170082,0.88410854,1.5293696,0.7389037,1.367322,1.0643482,1.0733082,1.141278,1.3534896,1.404957,0.7852287,0.7011701,0.55176127,1.4150201,1.3046153,1.3299273,0.99607754,1.1890949,1.0422634,1.1145045,0.83825517,1.3166614,1.4213713,0.9573947
ankle,1.1946788,0.0,0.841372,1.1621615,1.0019479,0.7262956,0.71061873,1.0526427,0.7690654,1.0917615,1.2070043,0.88569117,1.1777116,1.1483817,0.9668315,1.0623895,1.1539863,0.9812701,0.8970544,1.0205338,0.8984064,0.9627012,1.1541829,0.6495617,1.0292385,0.8807475,1.112312,0.9433447,1.1584529,1.1464982,0.9354491,1.2010376,1.0036625,1.0602249,1.0318944,1.0122371,1.0649061,1.1544656,1.1586719,0.8846992,1.2415762,0.75666314,1.1620362,0.8746325,1.0342345,0.9802208,1.1057242,0.99675006,0.9076916,1.168522,0.90378225,1.1667782,0.91884136,0.8444445,0.9150594,0.9288131,1.0302042,0.97558874,0.8661841,0.91739774,0.7635959,0.9628908,0.86858404,1.0135794,1.0124344,1.1422163,0.60987717,1.1969147,1.1617001,1.0791107,1.0736701,1.0781907,1.1051645,0.86642283,0.9200878,1.0784854,1.087215,0.98856574,1.0087688,1.0997331,0.96513885,0.84189403,0.9447694,1.0410409,0.8485762,1.0960284,1.1045376,1.1597892,1.0325028,1.1097207,0.8867487,0.9797213,0.9142727,0.85945934,1.1419284,0.92067593,1.1434721,1.1581953,0.86521006,0.8533129,0.9268931,1.0161089,1.1037664,0.8971295,1.0586,0.9671338,1.188988,0.94520164,1.0747181,0.9680507,1.1319599,0.7612045,1.1541716,0.98371613,0.7011166,1.1041471,1.0992293,0.9346209,0.86607504,1.0719596,1.174026,1.2483473,0.6647427,0.8811693,1.0078921,1.1578864,0.72484374,0.7185237,1.0210658,1.0987202,0.9223836,0.8646294,1.1605052
apple,1.325969,0.841372,0.0,1.3037465,1.2696111,0.692639,0.5297745,1.2537744,0.6239613,1.2194251,1.4501861,0.72028124,1.3205807,1.4927154,1.1968883,1.420973,1.2587163,1.1927979,0.4389739,1.0745398,0.9354619,0.21300542,1.0884951,0.729504,1.0232848,0.5923447,1.1580272,0.8004186,1.0783337,1.3000745,0.78610396,1.3342992,1.1920626,0.9177269,1.4019377,0.9869511,1.2514716,1.4182262,1.1906453,0.5539302,1.3496556,0.60782087,1.0855588,0.620931,0.9371124,0.8416542,1.3061752,1.0232315,0.45275748,1.0717402,0.83809376,1.2559285,0.8538977,0.80819064,0.70117855,0.9831768,0.9414561,1.189995,1.0310446,0.6156404,1.0000722,1.1254102,1.1285827,1.2236869,0.881943,1.2716041,0.64450026,1.1867824,1.4275634,1.0951247,1.3869617,1.1370292,1.247658,0.6340213,0.8185437,0.9964055,1.0405865,1.4143943,1.0731246,0.9646995,0.58893853,0.92064905,0.7953062,1.0275124,0.036133528,1.2981664,1.0890371,1.4551268,1.3895943,1.4829695,0.6193089,0.7601452,0.87254643,0.8324412,1.24757,0.68343014,1.2027545,1.1103187,0.037502885,1.0563173,0.5652464,1.0470604,1.1339219,0.6043171,1.2064781,0.9946503,1.3847237,1.3179145,1.1691408,1.0096831,1.2480218,0.49422246,1.2233355,0.6351345,0.96566916,1.1008859,1.0735596,0.6926779,0.72861946,1.3013717,1.3411634,1.5054429,0.52081984,0.71591604,0.57408607,1.1705956,1.0149076,0.8990053,0.7490768,1.1072505,0.7735024,0.55913895,1.1711667
applesauce,0.8547499,1.1621615,1.3037465,0.0,0.80399954,1.1827551,1.28047,0.610132,1.1107433,0.85673296,0.7915635,1.3873044,0.8390861,0.70791405,1.0527712,0.8517858,0.81773883,0.9241182,1.0375985,0.55779946,1.0637416,1.0499034,1.0983932,1.0160974,1.135031,1.382265,0.98102283,1.2510011,1.1562754,0.9209467,1.2409443,0.883848,1.0076579,1.2412009,0.7013647,0.91062415,0.73034286,0.9183823,0.80360484,1.3993417,0.78924006,0.8330571,0.9663531,1.0517203,1.260789,1.1729269,0.92361796,1.1647954,1.3234195,0.9908733,1.3397901,0.91333413,1.2565937,1.251334,1.19295,1.2554319,1.0900183,0.95630974,0.6849092,1.475007,1.0041251,1.0114093,0.6178072,0.9398067,1.0089812,0.7851193,1.4276328,0.9388279,0.6905915,0.4323359,0.8490509,0.7973919,0.95560795,1.3575068,1.3393843,0.5605351,0.6427445,0.76494676,1.026201,1.0212312,1.3927706,0.9873353,1.3645573,1.1749636,1.2671747,0.98090166,0.9987705,0.7469402,0.8996154,0.69110394,1.3757496,1.1207309,0.9490154,1.3994677,0.8634274,1.2118628,0.5862737,0.9593874,1.2488132,1.0057504,1.4028132,0.98008806,1.0188376,1.2661967,0.9959587,1.0609558,0.75858986,0.81738544,0.3382104,0.95719033,0.80324507,1.4584832,1.0447022,1.3122957,1.186854,0.69998693,0.7191199,1.416484,1.3116126,0.91866446,0.7618667,0.6705894,1.2013208,1.3581519,1.3660998,0.67022175,1.2124181,1.0113076,0.9806003,1.0155568,1.2503148,1.4744887,1.0662531
arm,0.7334116,1.0019479,1.2696111,0.80399954,0.0,1.2352369,1.3015949,0.8021717,1.2739246,0.7404886,0.60455704,1.443001,0.7051098,0.54375565,1.0040319,0.7211232,0.69354343,1.0257437,1.3863162,0.88446075,1.2424841,1.1885251,1.0104017,1.1871641,1.3317175,1.3346415,0.89168686,1.2516212,0.98646307,0.7171687,1.3719121,0.7115175,0.6294992,1.1836922,0.79772943,1.0963129,0.8740063,0.70313525,0.94667417,1.4445726,0.70083904,1.2183067,0.88623875,1.1441519,1.1127316,1.244053,0.6672708,1.1279199,1.2483084,0.9106063,1.2688701,0.87399656,1.1013342,1.3320751,1.2346858,1.2316195,1.2630488,1.1497467,0.9525151,1.369348,0.82651216,1.0035561,1.0982778,0.94039655,1.1340609,0.6057793,1.3034577,0.72718656,0.6032046,0.9471222,0.62692666,0.8746071,0.9431617,1.3030596,1.2779534,0.97995526,0.9843727,0.6266422,0.9029494,1.0056689,1.3335282,1.0461531,1.350373,1.0642062,1.2512585,1.0595306,0.87508434,0.47696972,0.4929781,0.73837173,1.3833468,1.123438,1.1944587,1.1799514,0.82034004,1.2649282,0.8027109,0.83186555,1.2131522,0.9089357,1.4961797,1.0797513,0.96948195,1.3223598,0.8831416,1.2308238,0.47619122,0.8177581,0.7374996,0.8769921,0.71607906,1.3628662,0.94514513,1.3427792,0.81398714,0.95592093,0.87195307,1.4618607,1.2585907,1.0131027,0.56853575,0.59406126,1.298768,1.2151122,1.3421167,0.7889551,1.0390878,1.1747584,1.1024362,0.9286108,1.2617993,1.3448203,0.8971876
ball,1.1641097,0.7262956,0.692639,1.1827551,1.2352369,0.0,0.27622914,1.0512991,0.9344798,1.1812484,1.3277633,0.91557527,1.3517423,1.2542958,1.0611879,1.2162971,1.1954992,0.908485,0.7648409,0.99013245,0.96728253,0.857864,1.2369716,0.5030724,1.0283952,0.9035617,1.0841236,0.6673318,1.1313422,1.355696,0.89689624,1.2882001,1.2404532,1.0326033,1.1012857,0.914805,1.119966,1.3502345,1.084591,0.80928624,1.4006022,0.6976043,1.0705012,0.7254397,1.1658238,0.8726457,1.2362202,0.95511615,0.6343534,1.1580385,0.8100888,1.1783768,0.91611826,0.57866037,0.7647225,0.98003966,1.0468445,0.75325453,0.70796114,0.91275746,0.89248025,1.0523539,0.5937569,1.2189922,0.74737316,1.1387078,0.6127705,1.1580753,1.2710456,1.0277605,1.2449685,1.1373757,1.228918,0.82774764,0.9301905,0.99195313,1.0143867,1.0940464,0.9945215,1.0521517,0.8245959,0.93061763,1.007042,1.0051243,0.7085316,1.1804211,1.1568717,1.343745,1.2216854,1.1049306,0.8927006,0.9740215,0.75902176,0.94985116,1.1296321,0.8313056,1.0812628,1.0683459,0.77905065,0.97740316,0.86429405,0.8401891,1.2245151,0.779115,1.0768601,0.99911773,1.3408558,0.88267684,1.1287622,1.0842031,1.1706891,0.7628858,1.1011481,0.9617166,0.9085206,1.1387823,1.1093674,0.70024335,0.6014353,1.1321838,1.2583884,1.3346665,0.42895257,0.76583385,0.8786522,1.1493269,0.9879917,0.40159655,0.9712871,1.035194,1.0572262,0.8568783,1.3009176
balloon,1.384193,0.71061873,0.5297745,1.28047,1.3015949,0.27622914,0.0,1.2303228,0.7192396,1.1736095,1.455915,0.6498979,1.4369451,1.4465094,1.1827872,1.4425565,1.1968259,0.92448235,0.4517553,0.9702371,0.9428133,0.7865473,1.2166449,0.44044274,0.9716975,0.49977577,1.2077081,0.61166525,1.3111218,1.466253,0.74050295,1.3956084,1.2727169,0.7844149,1.2397138,0.95690686,1.1514374,1.5243496,1.2665663,0.4508921,1.4812648,0.4980833,1.2695396,0.8452542,1.0205098,0.78032887,1.3794214,0.9284629,0.4479419,1.2264566,0.7746393,1.2753122,0.87073123,0.65714884,0.6878806,0.90265566,0.9337963,0.9206885,0.7847167,0.5993876,1.1025105,1.0706438,0.7097206,1.2908291,0.8074654,1.3319546,0.5107982,1.3881705,1.3937104,1.0879073,1.4329786,1.102663,1.3886316,0.5725812,0.6653942,1.0271584,1.0877268,1.4048318,1.01469,1.014311,0.4654914,0.88149977,0.78275585,1.0311806,0.57478845,1.2692223,1.2954054,1.5179274,1.345997,1.3271343,0.6043277,0.827384,0.78540987,0.9663273,1.3305669,0.68488383,1.1180704,1.2492894,0.6631968,1.0983754,0.67083025,0.9707446,1.2683249,0.62471414,1.1966916,0.93579406,1.4510815,1.1950667,1.1554296,1.0467521,1.1791568,0.49938446,1.263893,0.55399734,0.88194376,1.1576327,1.0685732,0.64621544,0.468382,1.306209,1.3807418,1.495568,0.29255283,0.66704524,0.5940283,1.1702709,0.9438933,0.5308514,1.0045748,1.0665549,0.8136507,0.61923385,1.2804592
banana,0.6944071,1.0526427,1.2537744,0.610132,0.8021717,1.0512991,1.2303228,0.0,1.2579079,1.0004421,0.87326294,1.3828137,1.0567558,0.66693646,1.014396,0.7657712,1.0171255,1.0845193,1.3091891,0.8133422,1.2002159,1.0057541,1.0226847,1.0715547,0.8868666,1.4731641,1.0517421,0.9323065,1.0320687,1.0637404,1.2864859,0.9543429,1.0884652,1.2555633,0.7218046,1.0217199,0.60831714,0.9925779,0.5442616,1.2706285,1.004522,1.2195202,0.9840605,1.1247578,1.3004909,1.1977355,0.9415153,1.0513865,1.1909013,1.0019249,1.1830978,1.0112473,1.1524739,0.9616592,1.2221657,1.1663249,0.89054525,0.51301324,0.7324257,1.3770362,0.79735255,0.90822756,0.5898349,1.0278383,0.9658807,0.69224936,1.226522,0.95439875,0.96271706,0.8326965,0.87296486,0.6869062,1.0066444,1.3979452,1.3742406,0.56995773,0.96303284,0.5518447,0.8931736,1.1174923,1.3737084,0.8620106,1.15104,1.0418985,1.2212787,1.0838195,0.8081574,0.8656454,0.82594335,0.61565965,1.3135856,1.0882652,0.5852078,1.3120499,0.7413243,1.2668142,0.712109,0.9926161,1.2364886,1.0422215,1.3661805,0.6848708,1.1320975,1.2357605,0.77527195,0.8279517,0.9636464,0.7250057,0.50120705,1.1179286,1.0205091,1.3625013,0.94317734,1.288311,1.1023593,0.763446,0.68934166,1.3344355,1.1522777,0.8945493,1.037566,0.7681502,1.1180422,1.2426188,1.2381212,0.6575395,1.0727781,0.70287985,1.0773154,1.0567557,1.413646,1.2971876,1.1340694
basket,1.3334677,0.7690654,0.6239613,1.1107433,1.2739246,0.9344798,0.7192396,1.2579079,0.0,1.0660069,1.2541484,0.80789816,1.1121764,1.4085027,1.0239966,1.2472651,1.2008797,0.8230753,0.5156049,0.8967524,0.6816865,0.68690926,1.024713,0.62860405,0.96189755,0.69173527,1.143261,1.0084274,1.2588525,1.1261178,0.69122064,1.272109,1.1508385,0.974905,0.9815008,0.8460064,0.98830587,1.3398582,1.1754345,0.7187712,1.0637505,0.5018253,1.2285937,0.8103171,0.9091021,0.67108023,1.2153872,1.2180076,0.8454137,1.0991492,1.0427252,1.2915568,1.0639757,1.0724963,0.75498605,1.1178977,0.8622272,1.0621022,0.85826516,0.8821244,1.0891705,1.03279,0.872237,1.249598,0.9862513,1.3246624,0.9403556,1.3241491,1.3364491,0.9501818,1.3490696,1.0468512,1.0311937,0.5831518,0.87416834,0.9511633,0.91517246,1.4147062,1.097766,1.1157924,0.8745085,0.9573385,0.8161816,1.2401874,0.59021395,0.9698265,1.1493812,1.3695174,1.3786898,1.2092613,0.71522516,0.7933466,1.0017816,0.92992836,1.2601831,0.70154,1.0509193,1.1985546,0.60241175,0.9960362,0.664397,1.2113485,0.98545206,0.7189654,1.1921817,0.8553915,1.360271,1.1910937,1.0221604,0.8994333,1.2006001,0.68095475,1.1276767,0.8182949,0.95927894,1.0017262,1.0404738,0.7842237,0.92104864,1.1351037,1.2864095,1.2572265,0.6116912,1.0713676,0.91661394,1.1104459,0.91982144,0.80608016,0.6264512,1.1016686,0.68594056,0.8382235,1.105342
bathtub,0.9891958,1.0917615,1.2194251,0.85673296,0.7404886,1.1812484,1.1736095,1.0004421,1.0660069,0.0,0.43054563,1.2621406,0.5576712,0.75771475,1.1314616,0.8102124,0.29025823,1.0002995,1.2197397,0.7001221,1.2922227,1.2220008,0.9798754,1.0634924,1.3232787,1.1333851,0.48656207,1.3201389,0.9017803,0.5821489,1.200318,0.86849964,0.77427703,0.90993273,0.7601739,1.0569111,1.0084329,0.81936586,1.1294408,1.3230989,0.4549114,1.120956,1.035613,1.2754408,0.8672884,1.0517504,0.9554344,1.2313118,1.2080884,0.77599907,1.2975328,1.0064187,1.2426658,1.3964372,1.2519345,1.3077911,1.2204926,1.237644,0.95329344,1.2957215,1.2474234,0.9887877,1.1778507,1.0508621,1.228184,0.9528095,1.3384082,0.95943606,0.70091283,0.9965681,0.8707368,0.8082295,1.0706394,0.915484,1.2374752,0.8509014,0.9015947,0.9960461,1.0943592,1.0898,1.2206712,0.92434895,1.3198429,1.1737993,1.1959755,0.98675615,1.069587,0.8424545,0.74038893,0.795949,1.2391738,1.088132,1.3080621,1.1915016,0.9097859,1.2410371,0.56040967,1.0300801,1.1570518,1.0715654,1.3436288,1.2657809,0.9087046,1.2183044,0.9205031,1.2479275,0.7674523,1.0464132,0.7536968,0.1887536,0.25472456,1.3155377,0.77623475,1.1907194,1.1203846,0.8537656,0.80435884,1.2886624,1.3063018,0.8482302,0.7800236,0.5957549,1.1907477,1.3368962,1.2692138,0.8348137,1.0186923,1.2046107,0.80743134,1.0413373,0.9010035,1.2628918,0.8240776
