,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3157046,1.2458379,1.1125146,0.6425009,1.1634519,1.4312724,1.0606126,1.1890854,0.7012266,0.8502319,0.68128127,1.2942147,0.8912295,0.7101295,0.7730734,0.47008228,0.90193355,0.8425033,1.4977239,1.3815786,0.9097501,1.1953532,1.356384,1.2472192,1.070279,1.5183383,0.9669819,1.2205945,0.6675716,0.97967374,0.691058,1.1092273,0.8419713,0.85531604,1.1618774,0.88108635,1.1686089,0.8664275,0.97213334,1.45308,0.86472255,1.5176193,0.88334864,0.941177,0.3528533,0.528239,1.1872189,1.0952502,0.84810984,0.98612064,1.3367014,0.8779674,0.8479299,1.3008077,0.84699595,1.0088314,1.2890261,0.5363191,0.6722262,1.4069749,0.84474754,1.1815485,0.84298915,0.87223405,0.90256476,1.3934268,0.73098636,0.8170984,0.7882271,0.78330183,0.6809336,1.1783624,0.8574399,1.4720807,1.2239254,0.83795685,0.81314397,0.98945,0.75086397,0.87477577,1.202358,0.9955362,1.4673693,1.0723437,1.3032088,1.337471,1.3275139,0.83285236,0.83034277,0.68636006,0.71870035,0.63462603,0.7402445,1.447149,1.4380887,1.0641453,1.2073339,1.335264,0.7768561,0.9334682,1.1874615,0.75659215,1.1383941,0.61273706,0.71767974,1.2971778,1.2201616,1.059954,0.74365014,1.0824655,0.77632284,0.7666336,0.7424853,0.7000942,1.5045459,0.9161459,1.2000773,0.74031687,1.3655981,1.0376116,1.4684633,0.87953955,1.220454,1.4513856,1.193419,1.0132836,1.1560848,1.0702708,0.7337811,0.5864645,1.3247056,1.4120978,1.4504545,0.9035187,0.9311017,1.0553609,0.6021762,0.9046987,1.4306633,1.3479257,1.0673679
ankle,1.3157046,0.0,0.8261337,0.92798424,1.3243341,1.0236489,0.7101846,0.85759485,1.0244155,1.3111196,1.1508753,1.4234518,0.68606967,1.1862491,1.2709501,1.1463015,1.305395,1.1848375,1.1963017,0.78860986,0.90031487,1.2677094,0.68060255,0.6715933,0.98089963,0.76437014,0.6893027,1.0896734,0.5068561,1.1391891,1.1695259,1.2355467,0.93211704,1.3423946,1.2920513,0.80176497,1.1406859,0.9194914,1.2527467,1.0203149,0.5426605,1.3254733,0.8035159,0.97246724,1.140732,1.3746598,1.3191766,0.9681099,0.94420886,1.1287444,0.8904519,0.65125537,1.2121911,1.268698,0.5183432,0.82431793,1.034956,0.6945485,1.0648195,1.503165,0.5030562,0.91281986,0.9231596,1.1903276,1.2078484,0.9657517,0.4986158,1.1123046,1.2413994,1.1964917,1.2448525,1.2110997,0.6839613,1.3341334,0.57943386,0.8814306,1.1029626,1.1280335,1.2119423,1.082843,1.1796541,0.6471584,0.95328254,0.5262307,0.77361006,0.44158137,0.5798467,0.8176442,1.3232481,1.1794932,1.4093555,1.1564429,1.3150599,1.1983155,0.51570386,0.6033334,0.8113051,0.76702565,0.52788436,1.2289746,1.1346209,0.873461,0.99981123,0.8565413,1.190704,1.3159213,1.0632588,0.7032569,1.3043681,0.9748783,1.143754,1.0888604,1.1384916,1.3120592,1.0717006,0.6000847,1.1612835,0.9486142,1.2290794,0.4468978,1.0417567,0.72890246,0.9653306,0.67901164,0.56597733,0.78823674,1.199616,0.884739,0.91053164,1.3952622,1.4890924,0.8696151,0.45242125,0.45285332,1.0482198,0.8440186,1.093769,1.5058565,1.14519,0.7562398,0.4320153,1.067361
apple,1.2458379,0.8261337,0.0,0.82107013,1.3665063,0.46037316,0.32637417,0.6113191,1.1118381,1.4027226,1.2500919,1.4847524,0.80797887,1.3990548,1.3197116,1.0787842,1.4704013,1.1216501,1.0492971,0.67862725,0.68860525,1.204288,0.66052073,0.96953404,0.94555104,0.7967777,0.89288795,1.1656916,0.83136797,1.3754649,1.3853259,1.1881193,0.76442254,1.3516331,1.3665504,0.72678953,1.2901345,0.73983145,1.3835852,0.9578428,0.614366,1.3955181,0.622731,1.2073528,0.9210422,1.3161064,0.99045515,1.1798991,1.1695983,1.2815326,0.99446034,0.37752295,1.285766,1.1157613,0.76589584,0.8424676,0.6903911,1.0290334,0.68388027,1.2504085,0.8056812,1.085155,0.43437713,1.2253729,1.106828,1.0980316,0.6872328,1.1903125,1.360884,1.4175014,1.0762643,1.3546611,1.0391823,1.3717431,0.8201737,1.0780073,1.2182966,0.45092118,1.0939443,1.102181,0.99645513,0.88260144,0.6629802,0.58432186,0.93323493,0.94964945,0.8177623,0.3326993,1.4756536,1.3783772,1.3945944,1.3845718,1.2776833,0.9207008,0.7390006,0.7065894,0.83077765,0.35802615,0.8285523,1.1949123,0.8212599,0.79448897,0.9376889,0.80871725,1.1500295,1.2964289,0.9113442,0.71250707,1.1781306,1.0197382,0.6357927,1.2504679,1.1941918,1.3873075,1.1893144,0.7985707,1.2753305,1.0820597,1.378711,0.64649785,1.0555342,0.45922697,1.3327787,0.6709133,0.85583055,0.9416816,1.1774095,0.30153573,0.80933326,1.3827397,1.3272988,0.63702977,0.69462836,0.70540124,1.1317468,1.1010867,0.5332938,1.2852868,1.0620906,0.96563977,0.8117219,1.2328516
applesauce,1.1125146,0.92798424,0.82107013,0.0,1.1158758,1.0438349,0.86203593,0.6393069,1.0229301,1.2294321,1.0919071,1.3127911,0.82408845,1.1798133,1.0982026,1.3561962,1.1957883,1.1775699,1.1998553,0.91862243,0.9335284,1.1092833,0.43944228,0.9379911,1.0513184,1.1056467,0.8283684,1.2069119,0.72423005,1.1970589,1.2010901,0.9528085,1.0468764,1.2126244,1.2605057,0.85662055,1.1289111,0.82984316,1.2094684,0.70478487,0.8010735,1.249481,0.89594823,0.9792817,1.1223187,1.1572235,1.012414,1.1329876,1.0782758,0.9817108,0.9173707,0.5867425,1.3274143,1.0608611,0.7669797,0.96015877,1.0350327,0.9947858,1.0664339,1.1834553,0.77959585,0.96767443,0.90650564,1.0814592,0.40662026,0.87683856,0.88959503,1.2466512,1.0842509,1.1375153,1.0465899,1.0950305,0.87102324,1.0972424,0.99999124,0.78806335,1.018638,0.8762557,1.1029406,0.9764822,1.0877539,0.849572,0.5293617,0.82644874,0.9322543,0.8055011,0.7757038,0.7678927,1.1772795,1.2568914,1.1510423,1.0825133,1.1671656,1.0613545,0.91927737,0.80888474,1.0180546,0.70941687,0.78993344,0.85325706,1.0945395,0.93037766,1.1446152,0.80669844,0.87565607,1.2682406,1.2331896,0.9921707,1.2338248,0.960863,0.96662694,1.1226087,1.1825502,1.1294696,1.0206138,0.7859179,1.1561286,1.0449405,1.2792243,0.6561071,1.2246931,0.69081783,0.88507366,0.74586546,0.9051969,1.0107658,0.95142937,0.9603417,0.94388026,1.153771,1.1987925,0.9608896,0.744239,0.6931145,1.0202866,1.0476823,1.0357672,1.103062,1.1799564,1.0283444,0.81944776,1.2883196
arm,0.6425009,1.3243341,1.3665063,1.1158758,0.0,1.1858065,1.4629037,1.3271667,1.1052196,0.5132567,0.73965156,0.5535624,1.3429147,0.68588537,0.5391556,0.94581294,0.6181833,0.79084015,0.821953,1.4129086,1.3190218,0.7675836,1.3664536,1.3318491,1.2786664,1.153748,1.504554,0.91150147,1.2521368,0.7174654,0.91986626,0.7583022,1.1410233,0.80958194,0.67964184,1.3431951,0.67882484,1.1562151,0.8206553,0.9822366,1.4715333,0.74987626,1.4709597,1.0719267,0.8576961,0.59257066,0.92001206,1.1531904,0.9812023,0.4960662,1.0746825,1.4196801,0.6732911,0.77124876,1.1902628,1.1242428,1.2356501,1.2768573,1.1888494,0.5701979,1.416303,0.84813786,1.2331835,0.7563547,0.7632957,0.6707124,1.5225255,0.92154616,0.7221918,0.70913965,1.0478538,0.5805633,1.1270607,0.6313117,1.3689225,1.157364,0.737012,0.8542122,0.97719145,0.7382748,0.9651644,1.209206,1.1985607,1.4443723,1.1741288,1.2823013,1.3365197,1.4400119,0.68964124,0.70298374,0.4089321,0.71511817,0.54178303,0.9749441,1.4295211,1.3939078,1.3029034,1.3419498,1.493047,0.7089928,1.1467054,1.2332723,1.158998,1.1674958,0.8775423,0.8778026,1.2288067,1.3947119,0.9666348,1.2043675,1.087432,0.7371295,0.6827257,0.49121022,1.030102,1.4783323,0.7745935,1.1206441,0.49490362,1.5194693,0.95339215,1.4562993,0.83229244,1.3800149,1.486377,1.2374538,0.9156361,1.3166881,1.2560153,0.5066731,0.34066445,1.3286787,1.340076,1.4361424,0.63981,1.1587462,1.2255483,0.5111982,0.80571496,1.277748,1.3889682,0.9005546
ball,1.1634519,1.0236489,0.46037316,1.0438349,1.1858065,0.0,0.41216838,0.9707177,1.0667195,1.1772648,1.2044032,1.2388736,1.0305668,1.2336023,1.1978729,0.97499055,1.282231,1.0876191,0.8769933,0.8099396,0.52121127,1.0101627,0.9417195,1.1666427,0.72228336,0.9039929,1.0836298,1.1057723,1.1441092,1.2926365,1.2489622,1.1259514,0.77197796,1.2449816,1.2605913,0.68758225,1.059841,0.6292429,1.2547529,1.0262175,0.9220661,1.1874481,0.60508156,1.2859669,0.55343866,1.1500262,0.8417896,1.2563721,1.1878345,1.2366548,1.0972748,0.6341642,1.1059914,1.0778702,1.0543053,0.9132232,0.9221104,1.1449194,0.70125365,1.016792,1.1085049,1.0448455,0.4369734,1.2086043,1.071868,1.103092,0.83398926,1.1980234,1.2191083,1.384091,0.8246424,1.2972021,1.1961018,1.2360967,0.83100325,1.1612169,1.212557,0.67728454,0.8364145,0.9395789,0.98668194,1.0313442,0.816199,0.8164127,1.0026195,1.2134656,1.0195905,0.4549663,1.3198032,1.1955094,1.21228,1.3419685,1.0537524,0.86953044,0.9732044,1.0223116,0.9221948,0.75187105,1.1528149,1.1403642,1.0526377,0.5482875,0.90919334,0.89252806,1.1207165,1.0322542,0.7654555,0.8193498,1.019751,1.1813571,0.5078121,1.2762067,1.0740005,1.2636778,1.1670059,1.0589502,1.1914281,1.061536,1.1041168,0.96580285,1.0366946,0.7675636,1.2117171,0.8502061,1.0218512,0.9304751,1.1380868,0.687444,1.0264006,1.2094221,0.94842863,0.48138225,1.0186605,1.005051,0.84596974,1.1299583,0.3525083,0.85677546,0.9778666,1.0438861,1.1243799,1.144089
balloon,1.4312724,0.7101846,0.32637417,0.86203593,1.4629037,0.41216838,0.0,0.70520097,1.0350503,1.4168624,1.2776601,1.4848061,0.55924225,1.3617425,1.4713776,1.0107893,1.4631705,1.13821,1.0542624,0.36237192,0.43018377,1.2866565,0.73934215,0.75673264,0.8228034,0.7628728,0.6186138,1.1312244,0.8577528,1.3233708,1.3593171,1.2127249,0.7701402,1.3546606,1.3246429,0.70241314,1.260592,0.79002154,1.3537534,1.1069676,0.36536467,1.3342528,0.2951436,1.2895612,1.0684221,1.4085011,1.1676011,1.0840535,1.1262078,1.3412418,1.1610391,0.41998148,1.2297001,1.2068832,0.8767623,0.8285901,0.736434,0.8403952,0.85658157,1.4060605,0.65607774,1.2424321,0.6201122,1.2843977,1.2819982,1.346494,0.38609946,1.0966034,1.3640798,1.4470971,1.1849482,1.4814887,0.97344136,1.4345179,0.45353025,0.9007489,1.2271086,0.9475436,1.1263968,1.2300824,1.2253112,0.97531074,0.8410095,0.32027042,0.9292854,0.94741756,0.7979163,0.17305475,1.4951937,1.2893898,1.4504527,1.4651893,1.3603894,1.0294055,0.4653498,0.45392984,0.81843776,0.58986396,0.6447453,1.3715614,1.001181,0.6091501,0.8904855,0.8214263,1.2907622,1.3805683,0.74614537,0.7055279,1.1540456,1.1502035,0.74918085,1.3615063,1.2346823,1.4666113,1.2857583,0.5125252,1.1692399,0.85975206,1.3413393,0.48742497,1.025057,0.29959154,1.3218045,0.6364913,0.583863,0.93358487,1.2675714,0.5310623,0.8745558,1.4312184,1.3902216,0.41034722,0.67293966,0.5850073,1.148414,1.0581043,0.53611183,1.3930719,1.0116261,0.6909395,0.74754786,1.0961066
banana,1.0606126,0.85759485,0.6113191,0.6393069,1.3271667,0.9707177,0.70520097,0.0,1.0421345,1.2317791,1.0721157,1.3240362,0.79231787,1.2660109,1.2713543,1.1550487,1.1607413,1.1324123,1.2000674,0.77159595,0.9026046,1.2262956,0.33357,0.9369971,1.0675931,0.8893707,0.85128224,1.083493,0.74979293,1.1170021,1.306128,0.72543234,0.83916426,1.2386694,1.2935224,0.82651174,1.2893195,0.9057814,1.2151543,0.6691067,0.6053268,1.3259345,0.7816538,0.9541447,1.1879449,1.1799194,1.0442029,1.119613,1.1558254,1.2317836,0.9840168,0.55470556,1.2020988,1.1638796,0.9096688,0.9365284,0.6705511,0.97254604,0.837439,1.2006322,0.7842107,1.025723,0.79373854,1.2441235,0.93162584,1.1585023,0.8057143,1.1127807,1.1899611,1.2428037,1.0907724,1.1942804,0.99270093,1.3024673,0.9628518,0.9647497,1.1260408,0.8862154,1.1510386,1.1140374,0.99507457,0.93010384,0.5958524,0.73261297,0.7945952,0.92130774,0.9121876,0.62448,1.2887838,1.2293255,1.303707,1.144172,1.2818981,0.9612364,0.7738528,0.66638184,0.9121208,0.48159617,0.63672554,1.0560982,0.9791478,0.86332595,1.1174341,0.92065537,0.66608894,1.2337018,1.1509529,1.0182532,1.284095,0.9615108,0.82444113,1.1174784,1.2241123,1.2919018,1.139232,0.73793244,1.1104349,1.0115678,1.257818,0.53309786,1.0823967,0.4178816,1.1387069,0.6132705,0.8550593,1.0782971,1.1734655,0.8349704,0.698063,1.3186163,1.3419439,0.81550777,0.85015255,0.7597445,1.1842902,0.85736185,0.83695024,1.2307545,1.1920779,1.056076,0.8416625,1.2449417
basket,1.1890854,1.0244155,1.1118381,1.0229301,1.1052196,1.0667195,1.0350503,1.0421345,0.0,1.0724702,0.966728,0.9121505,1.0511287,0.6525182,1.363262,0.90847266,0.9830691,0.922554,0.762878,0.9161825,0.7497591,0.5902477,1.0297778,0.82714224,0.75100935,0.8789909,0.8050117,0.9320489,1.2309015,1.2365077,0.73922914,0.9895952,0.8652158,1.083816,1.1971502,0.98744065,0.70202994,0.86140597,0.8214093,0.9625236,0.93373454,0.6249486,0.8282173,1.0256557,0.9468345,1.1664541,0.974572,0.8404296,0.55619836,1.217329,1.3268633,1.1215272,0.93354046,1.3136183,1.2374244,1.1394655,0.98184144,0.6144697,1.0932438,1.1510924,1.1727968,0.8619634,0.88954616,1.311434,1.0269432,1.2135775,0.9949095,1.2360357,1.0123094,1.2540967,0.94675076,1.3075464,0.6955669,0.8651682,0.80810213,0.83811295,1.2214515,1.197399,0.8504311,0.9497801,0.94402313,1.1717402,1.1435387,1.124672,0.6653068,1.2121911,1.30251,1.0191634,0.95072526,0.9709385,1.2806132,1.2664502,1.0324512,1.0970341,0.788725,0.8897457,0.9458545,1.0995971,0.89754933,1.0738932,0.92589843,0.75730455,1.0219603,1.0908343,1.0025808,0.813324,0.68831414,1.0610441,0.8583852,1.0244616,0.9708714,1.2566223,0.89984286,1.3375167,0.8901421,0.801527,1.0381418,0.81086934,1.0071511,0.92967916,0.9861284,0.9928086,0.8547087,0.94591725,0.7645869,1.162031,1.0152855,1.0137866,0.78581905,1.2169476,1.1188916,0.7315171,1.2142831,1.1169863,1.0142666,0.6436515,0.82960427,0.9253824,1.1679839,0.7373273,1.0922285,1.0061535
bathtub,0.7012266,1.3111196,1.4027226,1.2294321,0.5132567,1.1772648,1.4168624,1.2317791,1.0724702,0.0,0.94170886,0.4657868,1.1038874,0.5330601,0.7274938,0.93803394,0.6041317,0.7682342,0.9889079,1.397652,1.2072237,0.76034075,1.3845081,1.1802799,1.1176419,1.2590725,1.2792852,0.66932666,1.272404,0.5071965,0.83052105,0.9010947,1.1638589,0.5229554,0.7632803,1.1887032,0.8311304,1.160637,0.72962743,1.025076,1.4039036,0.73151195,1.3714707,0.879609,0.87541264,0.6621603,1.0594025,0.73235744,0.79008675,0.7679177,1.0575061,1.380554,0.7128849,0.9293501,1.3500686,0.86565727,1.2743149,1.1825325,1.1398675,0.5802556,1.3465647,1.1573298,1.3541795,0.89204043,1.0011139,1.0133916,1.4253025,0.80229586,0.5960446,0.8046224,0.949378,0.6147479,1.0646448,0.6969599,1.182309,1.2311103,0.7819014,0.90043974,0.9384478,1.012798,0.9828525,1.2620082,1.231509,1.3823404,1.2493973,1.3313221,1.3532636,1.3952019,0.51896775,0.6624326,0.689656,0.58980674,0.5921738,1.023003,1.3586979,1.3370638,1.1813585,1.2602429,1.2732708,0.7722442,1.0742004,0.93050325,1.1369138,1.2858263,0.8697199,0.9282083,1.0933083,1.2808033,0.84541357,1.1881423,1.069575,0.80736697,0.82096374,0.6784317,0.9701019,1.4138339,0.60567844,0.6374735,0.55003566,1.431108,0.9203741,1.3863397,0.94287497,1.24091,1.3386137,1.2490778,1.086935,1.3818903,1.2335935,0.7248063,0.43672383,1.2862434,1.4336264,1.3791378,0.88932025,1.1744441,1.3130108,0.5523406,0.8732604,1.2523365,1.4092671,0.7159345
