,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window,zebra
alligator,0.0,1.108084,1.0030792,1.063266,1.1209896,1.0827388,0.9842593,0.91219234,1.1229367,1.1486789,1.0872012,1.0786953,1.162646,1.1092855,0.5439959,0.9939486,0.8547121,0.71698666,1.2142272,1.2446213,1.071009,0.99375564,1.0605626,1.2098668,0.6872738,1.329825,0.82673997,0.9368673,0.9608712,1.197897,0.9695758,1.0024946,1.1577393,1.1036569,0.99363273,1.0512105,0.9842087,1.1745276,1.0523455,1.0151396,1.1686703,1.2504448,0.799169,1.0142487,0.6094301,0.95369834,1.0766017,1.0797585,1.1020484,0.9863708,1.0705379,0.73964304,1.0294586,0.9903819,1.1155132,0.6104019,0.8385786,1.098588,1.0152395,0.1820327,0.6990386,1.1583633,1.0800768,0.97255,0.9817475,1.0158064,0.91142964,1.1210389,1.0329707,0.6608352,1.0953507,1.0020883,1.0323968,1.1094891,1.0137358,1.132268,1.11788,1.1697679,1.1079937,1.0870174,1.1025362,0.960688,1.0521666,1.0655631,1.135064,0.9781533,1.1544116,0.95626044,1.0084634,1.0903203,1.0801601,1.2357779,0.6863206,1.1278952,1.1288134,0.83224094,1.0789602,1.0040953,1.0169976,0.87058216,1.0425422,0.67124903,1.0911239,1.0887933,0.88467807,1.1353676,0.6788818,0.8060795,1.0754018,1.1554201,0.9564681,1.1575707,0.6117157,0.9528791,0.7608324,1.1284418,0.9782196,1.1551316,1.094681,1.0384657,1.1603926,1.159481,1.0475465,1.0136029,1.1033444,1.1385623,1.0569677,1.0492629,1.0007327,1.072107,0.98283607,0.95658726,1.0099034,1.0403786,1.1144705,1.1233054,1.0011318,1.0575457,0.88993526,0.7653282,1.0353544,0.9163243,1.1229197,0.9693264,1.1569009,0.84161186
ankle,1.108084,0.0,1.0162123,1.224208,0.8095739,1.0304804,1.0476758,1.0851264,1.230698,1.0691499,0.93139863,0.8332063,0.9560369,0.8163321,1.3075311,0.9360932,1.0714455,1.2089922,1.092738,1.1289314,1.1841958,0.83894265,0.98535746,1.0459583,1.2616339,0.7012344,1.1350809,0.7125851,0.7844914,0.9442304,0.8751443,1.3077052,0.9744482,1.0244932,0.97055894,1.1872418,0.7892547,1.054116,0.8226253,0.9395411,1.0586323,1.21967,1.1499431,1.0691177,1.2640895,1.0154164,1.0209363,0.83778733,0.94006205,0.5443081,0.96720386,1.1500969,0.68457526,1.010725,0.56858927,0.9402889,1.2793231,0.47647202,0.92624444,1.2236243,1.1373937,0.968749,0.63966346,0.9020143,1.1307756,0.87171793,0.692351,0.8161895,0.92618203,1.2925811,1.1847267,0.9847698,1.1340735,0.71785814,0.9266233,1.0782444,1.0710514,0.6819426,1.1620431,1.1130998,1.1377093,0.9796636,0.963323,0.96154386,1.1277872,1.072744,0.92260456,1.1415262,0.6267828,0.8675183,0.9586529,1.0258373,1.4002316,0.8916587,0.7458066,0.9716209,1.2039981,0.97941995,0.9676662,1.1330025,1.1385986,1.1188595,0.74365133,1.1868442,1.3164482,1.1030872,1.2917268,1.0012864,0.9770093,0.99561405,1.2166513,1.1195314,1.264043,0.5926039,1.1971595,0.7576928,0.80130506,0.75785756,1.0167896,1.0504928,1.1023113,1.0903534,0.64847684,0.97344846,1.1229926,0.5075742,1.173631,0.9512078,1.3180215,0.9934852,1.0695317,1.1545136,0.8315333,1.104006,0.9680966,0.5893403,0.8233445,1.1193209,1.2072836,1.31568,1.1221762,0.9003799,1.1239027,0.6368016,0.9893127,1.3016579
apple,1.0030792,1.0162123,0.0,1.1807454,1.4926288,0.43097663,0.28421175,0.83816856,1.1387149,1.5082883,1.5315453,0.5176531,1.4163004,1.3826574,0.7749783,1.5107545,0.8279984,1.22912,0.528252,0.73258865,1.3708193,0.6696678,0.8688383,0.6576318,0.9442737,0.88439405,1.0339211,0.59427977,1.3028309,1.396414,0.66112244,0.69843924,1.4244285,0.9413167,1.3165808,0.64750075,0.5740226,1.4185395,0.7479012,0.43707508,1.4745846,0.56603634,1.0346311,1.196948,1.0424067,1.2968299,1.2174052,1.2258056,1.4396659,1.3054622,0.39661694,0.9824958,0.67770505,1.143244,0.71775395,0.57715255,0.92123944,1.1643032,0.93758845,0.86277246,1.0921683,1.436467,0.6977045,1.2884953,0.7458894,1.2598882,0.96515304,1.262581,0.48855585,1.037751,1.3328428,1.332119,0.92756754,1.494326,0.84581304,1.430204,0.6698739,1.0978273,1.2742376,0.7298442,1.2649655,1.3163772,0.90432245,1.2493399,1.070608,0.7718484,0.290219,1.1384386,0.70296395,0.47778374,0.34672868,1.4238799,1.0495559,1.4822593,1.4655354,1.3784207,1.2647833,0.5644195,0.58669674,0.5902768,0.67671216,0.9274721,0.66566014,0.9334466,0.8063582,0.97975653,1.0076262,0.5296602,1.367942,0.65396327,0.7330835,1.3174182,0.7209785,0.7394721,0.943327,1.4295292,1.2304183,1.4034232,0.76059645,1.2219186,1.4126941,1.3545203,0.4757669,1.2038045,0.36058372,1.1356645,1.11084,0.9376246,1.0924067,0.90620255,0.116775155,1.1481888,1.3289545,1.4233451,0.47312587,0.7028158,0.6586996,1.1649181,1.0655572,0.89165294,1.2382078,0.8847246,0.97451264,0.6415295,1.1709805,1.057791
applesauce,1.063266,1.224208,1.1807454,0.0,0.771003,1.0864786,1.200753,0.953943,1.0174284,0.84686625,0.96671903,1.21138,0.9398825,0.85785687,1.1023997,1.0340936,1.0534678,0.7957002,1.1088358,1.1059464,0.8306167,1.2373035,1.0469837,1.1812633,0.89624953,1.2595677,0.9921725,1.1337713,1.0787696,1.018497,1.1165392,0.9643463,0.97455674,0.9719255,0.8716599,1.1123298,1.204717,0.97350264,1.1525419,1.1612406,0.9610894,1.0547886,1.0061698,0.95811987,1.0884137,0.96058905,0.9014766,1.024857,0.8881891,1.1896187,1.159045,1.0801941,1.1537348,0.93951744,1.0743282,1.2356658,0.99308467,1.1134483,1.0453129,1.0011137,1.0356653,0.71800596,1.1667182,0.91514665,0.78192705,0.95212585,1.176714,0.73499906,1.211273,0.9660852,0.7652024,0.9982665,1.0775778,0.99636364,1.0109241,0.93331164,1.1054455,0.9287065,0.906237,0.9324901,0.78589463,0.9671574,1.0203958,1.0165489,0.7796686,1.1550913,1.1990838,1.0051959,1.1542037,1.1049728,1.2127597,0.9141311,0.9934465,0.9049461,0.9577202,0.84155583,0.85800636,1.1625135,1.1567374,1.157554,1.0907732,1.1484553,1.2641819,0.9504507,1.0048288,1.0891238,0.99904335,1.1874285,0.9313971,1.1271498,0.86985683,0.8139899,1.080434,1.1768562,0.9093952,0.95997155,1.0543679,0.95655525,1.1076667,0.99424,0.85599697,0.88668644,1.2894694,1.0070812,1.0892068,1.1463975,0.889357,1.1004237,0.78256327,1.1126968,1.1857249,0.98726207,1.0227046,0.8072675,1.1696754,1.1474755,1.0924467,0.7020273,1.0029091,0.849404,0.9394174,1.1239301,0.98384154,1.1869439,0.9512969,0.9324774
arm,1.1209896,0.8095739,1.4926288,0.771003,0.0,1.2844799,1.4845479,1.1246008,1.1572497,0.4375273,0.4235052,1.3705318,0.6622852,0.3178109,1.3846848,0.5577008,1.3155153,0.86889744,1.4101208,1.3238919,0.8129813,1.3253976,1.2249738,1.4259546,1.171308,1.2271012,1.2261338,1.189659,0.7506498,0.7336978,1.3261656,1.3523345,0.62162024,1.0503677,0.7860713,1.345177,1.3131603,0.64862406,1.2475355,1.4047425,0.6960485,1.3937645,1.24158,1.0088644,1.2238168,0.8184487,0.8664637,0.9635423,0.42367554,0.797629,1.3589358,1.2399251,1.1722648,0.778048,0.9627405,1.4354299,1.2510618,0.6886203,1.2152617,1.3048521,1.1326307,0.45643646,1.1323334,0.6568546,1.2054758,0.6271804,1.0947827,0.39032662,1.4287279,1.1805261,0.7379349,0.6252111,1.2120396,0.34638536,1.2011197,0.6805562,1.4029486,0.7159856,0.80072814,1.071995,0.81284285,0.62988126,1.186953,0.8172744,0.81031764,1.2919698,1.3477416,1.0483977,1.1343902,1.2530279,1.3983569,0.63892365,1.221643,0.34531057,0.34505624,0.4827618,0.7548074,1.3997735,1.38219,1.4621526,1.3129921,1.2655106,1.2768347,1.1642159,1.2546768,1.1739912,1.2240299,1.4507488,0.81130314,1.4347823,1.1005139,0.71376896,1.3455774,1.2300255,1.2910651,0.3684833,0.933576,0.45749497,1.3934679,0.92105335,0.61898065,0.5809041,1.3396149,0.79998636,1.4800136,0.7623239,0.9638455,1.2571886,0.98184186,1.1966974,1.4710722,1.0338645,0.5977979,0.40825438,1.5409125,0.9967648,1.2297151,0.80533206,1.1843874,1.299386,0.88824224,1.2128607,1.2040339,1.2112632,0.8704237,1.091793
ball,1.0827388,1.0304804,0.43097663,1.0864786,1.2844799,0.0,0.38230813,0.92701304,1.2631702,1.2715468,1.2939222,0.85778475,1.33168,1.1566437,0.92269003,1.2978961,0.91978204,1.1925293,0.7810464,0.75844765,1.320147,0.81074166,1.0310469,0.8622518,1.0029403,1.1373127,0.9928189,0.80849564,1.1926688,1.3870811,0.9222734,0.75523156,1.3405309,0.79305786,1.133341,0.6181157,0.8936016,1.2978355,0.80817735,0.73222744,1.4455521,0.7136553,1.1260984,1.2230227,1.0736647,1.0953873,1.2595971,1.343553,1.2900668,1.1410278,0.3784889,1.0246054,0.6788246,1.0341603,0.78326434,0.79896975,1.0704474,1.1030524,1.0617312,0.91030186,1.1194304,1.1679193,0.7602576,1.0850954,0.51275915,1.0920281,0.93417907,1.1004815,0.5919337,1.1120858,1.1857885,1.1633582,0.9575604,1.2353777,0.93864655,1.3726633,0.7974206,0.9298566,1.2139109,0.7538347,1.0619392,1.1385893,1.0358905,1.1009574,0.8008065,0.8796669,0.47845632,1.0970557,0.82389927,0.5662213,0.44319916,1.4399122,0.95652664,1.24614,1.2681059,1.2460912,1.1839591,0.8219386,0.8235526,0.83025026,0.59504485,1.0164723,0.87985265,0.9780851,1.0422242,0.9760465,1.0791487,0.892521,1.2962792,0.9137425,0.79516697,1.2593759,0.9647973,0.8529794,1.0467942,1.2073325,1.1048421,1.1994776,0.9366997,0.98752415,1.2134053,1.1975102,0.673859,1.0858678,0.52046984,1.0179408,0.98913616,1.0842104,0.95603126,0.98763436,0.6761929,1.2270484,1.2002279,1.2125943,0.61130935,0.77848184,0.698797,0.94604546,1.0250912,0.7719903,1.1744845,1.0197535,1.1519283,0.7781036,1.2367517,1.0771283
balloon,0.9842593,1.0476758,0.28421175,1.200753,1.4845479,0.38230813,0.0,0.8891866,1.1495781,1.4488753,1.4723108,0.7483004,1.3926015,1.3716207,0.73776525,1.4602528,0.8735988,1.2087926,0.6940589,0.7705578,1.3562984,0.66986203,0.9400295,0.7498698,0.96287036,1.0051184,0.9465967,0.57754564,1.3335141,1.406279,0.71320444,0.6996704,1.401768,0.93627864,1.2368459,0.6129692,0.6897999,1.4025123,0.741409,0.6273577,1.4930787,0.7093558,1.0325398,1.1216569,0.91711,1.1810988,1.1208762,1.2340007,1.4023385,1.2175784,0.19236636,0.8655549,0.6791116,1.0521239,0.8560239,0.6914309,1.043761,1.2043853,0.9551201,0.76693034,0.98195326,1.4031888,0.8673265,1.2733858,0.74902165,1.2164099,0.8405256,1.3015625,0.618793,1.007832,1.2972293,1.3767008,0.9220146,1.462371,0.95095646,1.4088577,0.67041016,1.1441039,1.2400947,0.87055993,1.2250937,1.2768226,0.9657389,1.120785,1.0045896,0.7606469,0.499754,1.2385216,0.8693026,0.62470204,0.18562013,1.4282664,0.9320749,1.4296547,1.4150318,1.3419383,1.1666802,0.73350155,0.7184212,0.6798815,0.6481286,0.83024883,0.83923686,0.9117564,0.97439593,0.93867207,0.95580435,0.6199026,1.4549768,0.777023,0.8536761,1.2273235,0.7327777,0.71804833,0.99783117,1.374352,1.2474134,1.3626637,0.8396883,1.0912219,1.3465891,1.3009504,0.6848796,1.21701,0.45875156,1.1914579,1.0048716,0.970707,0.9426177,0.8747595,0.46550214,1.1822381,1.2387347,1.3723087,0.51634824,0.85749185,0.74286646,1.1701863,1.1541349,0.7268423,1.1532718,0.87580156,1.047766,0.8220161,1.1831431,1.046802
banana,0.91219234,1.0851264,0.83816856,0.953943,1.1246008,0.92701304,0.8891866,0.0,1.1335449,1.2492104,1.3396724,1.0909808,1.2660398,1.0942272,0.83441114,1.1986787,1.0439146,1.0518686,0.99551076,1.0260724,1.1135408,0.69374067,0.9600623,1.0794814,0.9492384,1.174958,0.9880437,0.8438605,1.2724886,1.2808001,1.0210997,1.0299547,1.308245,1.0484385,0.97146815,0.6122546,0.94519436,1.2485384,0.6832781,0.9398575,1.3402016,1.0005155,0.9554513,0.8392131,0.9380815,0.9844773,1.1767843,1.2742825,1.1813391,1.0191633,0.8074677,1.0014154,0.96700937,1.0568564,0.8701785,0.85079193,0.8095887,0.982639,0.84049284,0.7711373,1.0136534,1.0224708,0.97890776,0.9327319,0.74927896,1.0999268,0.6935416,0.90490115,0.9964108,1.0196805,1.2041483,1.2325985,1.024312,1.2234426,0.9327697,1.2081891,1.0422788,1.0374793,0.98038894,0.97068036,0.9340701,0.9565626,0.95581543,1.1360497,1.0992825,0.774021,1.0112665,0.86174107,0.9480818,1.0186135,0.84660673,1.2926664,0.94654435,1.2315247,1.225708,1.1193241,0.8742568,1.0126379,0.9725143,0.7931506,0.5844885,0.9765835,0.9847081,0.7887994,0.86459464,0.95040274,0.99839574,0.94463533,1.1343672,1.0665437,0.9006745,1.1513782,0.8616067,0.9289849,0.8039856,1.222078,0.93755245,1.1611824,0.8899012,1.1357267,1.1618786,1.1599016,0.97940624,1.2774024,0.77357364,0.9403815,0.790133,0.78756505,0.87782013,0.49895704,0.98373145,1.0791528,1.2134664,1.225898,0.87098753,0.85446787,0.6794642,0.8013344,0.81485784,0.81751204,0.98418015,1.1356952,1.0046831,0.9765011,1.234313,1.0714778
basket,1.1229367,1.230698,1.1387149,1.0174284,1.1572497,1.2631702,1.1495781,1.1335449,0.0,0.96340686,0.9483932,0.93182063,0.61740756,1.2698016,1.0292305,0.9638187,0.9249525,0.9089972,0.8847017,0.7425851,0.6715806,1.1427646,0.7850701,0.72499883,1.0053368,0.68940884,0.930409,1.1946067,1.1033487,0.51062113,1.014281,0.73831636,0.9077401,0.85835576,0.7457399,1.0247651,1.045078,0.67516524,1.0763934,0.96857834,0.49935502,0.7606962,0.9825922,0.97694516,1.0548012,1.0624543,0.88404703,0.6826341,1.1417413,1.135058,1.1843346,1.1271824,1.3139733,1.2200369,1.2525157,1.090995,0.7302624,1.1372914,0.6374929,1.1618195,1.0420578,1.1297971,1.153802,1.090186,1.1218934,1.2335174,1.19921,1.2215337,0.97297615,1.0186578,0.78720355,1.1187875,0.85876375,1.2331992,0.812519,0.5824636,0.586601,1.1543874,0.90196604,1.0029508,1.0338998,1.0587816,0.7946832,1.0689943,1.0292822,1.0628,1.1466229,0.8640874,1.1603384,1.182975,1.1508679,0.75000143,0.9466114,1.1564838,1.1711799,1.1247106,1.0854408,0.8969842,0.8703382,1.0554677,1.0295275,1.1163752,0.8819484,0.93462646,0.6187937,0.8659983,1.0330757,0.8452315,0.8255856,0.67258704,0.9752355,0.9291351,1.0013626,1.0714439,0.6872357,1.2101918,1.0395845,1.2006032,0.767411,1.1855338,0.85012555,0.91848534,1.1312927,0.96704125,1.0393372,1.1582539,1.0744419,0.73690045,0.988504,1.0228553,1.0448962,0.9706182,1.1743675,1.050346,0.84901595,1.2452147,1.0896254,1.06008,0.84012634,0.9881234,0.9789403,1.072727,0.63367534,1.1126118,0.7487033,0.99338156
bathtub,1.1486789,1.0691499,1.5082883,0.84686625,0.4375273,1.2715468,1.4488753,1.2492104,0.96340686,0.0,0.26591033,1.4616349,0.39869732,0.5766976,1.3388007,0.41499752,1.1340055,0.7341,1.4188516,0.9862474,0.4343804,1.4404395,1.3212795,1.313313,1.174231,1.2301499,1.0882914,1.4033198,0.7706809,0.61410105,1.3957851,1.2591388,0.43073535,0.85533094,0.99819195,1.2926908,1.4093847,0.5259509,1.3193917,1.4972298,0.47470814,1.2621856,1.182838,0.8615866,1.1619108,0.8268113,0.6883575,0.697296,0.61098427,0.8255153,1.358653,1.1892132,1.2709608,0.84955,1.3620086,1.4509339,1.2668629,0.9514297,1.3407028,1.2658348,1.1655669,0.47305024,1.4007306,0.7501788,1.1826044,0.8053522,1.1578227,0.7906107,1.5127074,1.1953495,0.5986214,0.48474413,1.1033815,0.43352938,1.257914,0.5917486,1.326902,1.0171112,0.7580703,0.9345488,0.8130738,0.7310119,1.2718391,0.7242807,0.8275666,1.2938577,1.4284285,0.8809716,1.4492458,1.4651973,1.4219203,0.4845745,1.1441427,0.43151522,0.48794818,0.38922226,0.6973185,1.4296126,1.4486897,1.4478431,1.2627649,1.2598553,1.4435872,1.1520846,1.1642289,0.8888837,1.2101393,1.4044975,0.5976041,1.3538862,1.1738641,0.530193,1.355069,1.4161133,1.2607121,0.5786262,0.8391172,0.680614,1.4557667,0.7662045,0.32949913,0.3588751,1.4955671,0.6678657,1.430188,1.082247,0.82876503,1.2703643,0.89719844,1.2707196,1.4808973,0.95250523,0.6428442,0.27320552,1.4580636,1.4066652,1.4505148,0.90392333,1.0194902,1.1395323,0.6525816,1.1416005,1.210535,1.5152184,0.8055406,1.069635
