,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,vacuum,watch,window
alligator,0.0,1.5186429,1.4108572,0.6209954,1.025966,1.4952315,0.78524625,0.78464174,0.6865053,0.4654932,1.5831186,0.71079564,0.3778987,0.4546492,1.3626523,0.6211044,0.97270685,0.98101753,0.6825739,1.2023778,0.91190434,0.9296217,0.93918,1.2841976,1.3278943,1.077665,0.7676532,1.1001105,1.4058201,0.73369724,0.94888014,1.2945666,0.58588076,1.0569265,1.6139246,0.42930114,1.1491557,0.47602153,0.65947235,1.0472332,1.1804397,0.7631215,1.1950816,1.4895118,1.3945782,0.79396224,1.3813972,0.6102462,1.3062813,1.4351618,1.4295251,0.7483633,0.72664094,1.3101166,0.95264333,0.98834443,1.0829163,0.7007214,0.78101295,1.426177,0.72532904,0.8399865,1.1551135,0.73479676,1.4445841,0.9215498,1.5985436,1.2080334,0.6263399,1.0937899,0.56715256,0.91760564,1.1920125,0.8353076,1.3665316,1.3596984,1.5817595,1.1326566,1.3683379,1.1920698,0.84600383,0.6213434,0.57436943,0.4173947,1.5084078,1.5177189,1.035352,1.131826,1.2142178,1.129498,1.0529492,0.54395473,0.8260459,1.03789,1.0875186,0.89673865,0.87080985,0.87799263,0.6086236,0.6397511,0.67715055,0.77280056,0.952078,0.61773276,0.7719373,1.0197861,0.9219634,1.5744951,0.9341279,1.3839236,1.2150357,0.90639466,1.4281757,1.4053779,1.1704209,1.4984055,0.98461366,0.5477271,0.4919753,1.3453674,1.4359602,1.1939228,1.015209,1.480068,1.0012418,0.55601496,1.0913124,0.8967342,1.1193109,1.5060698,0.8924437
ankle,1.5186429,0.0,0.65582657,1.3073212,1.1289321,0.51918274,1.1870949,1.2042732,1.2795042,1.4514824,0.36397135,1.20185,1.4829342,1.4279227,0.587525,1.3239173,1.0175147,1.1175408,1.2476029,0.912031,1.1128502,1.1306908,0.95536554,0.64090997,0.8691368,0.84578615,1.0833788,0.93642735,0.5752046,1.3040918,1.0775871,0.81906396,1.3714967,1.0215206,0.3437634,1.4530625,0.94355536,1.3533497,1.3464036,1.1083472,0.8528477,1.243258,0.7942816,0.45830393,0.7856195,1.1728115,0.6513657,1.2575668,0.7181483,0.46179283,0.67943347,1.1954436,1.3249631,0.69196373,1.2031429,0.9944472,0.96742874,1.2327212,1.2229896,0.48997426,1.1272229,1.0686101,0.93892413,1.1168228,0.40801316,1.1067086,0.51576984,0.90214884,1.3074965,0.9863659,1.3840536,1.269948,0.9978154,1.1687508,0.51025605,0.62778723,0.49361098,0.85322523,0.444081,0.873791,1.1718006,1.356494,1.2548125,1.4695249,0.37503052,0.43916994,0.965298,0.9048998,0.96760434,1.0168991,1.0799322,1.3169715,1.1704323,1.0314145,1.0468289,1.1270192,1.1988767,1.1755153,1.2708354,1.3315535,1.2165542,1.234662,1.026319,1.2984508,1.2775456,0.8987459,1.1606785,0.25727582,1.0674385,0.5697549,0.71036655,1.119604,0.7008348,0.44607288,1.0074344,0.45893937,1.2067742,1.2859044,1.3706164,0.79378873,0.5967912,0.93029714,0.98537105,0.45613742,1.1758641,1.295783,1.0150816,1.2545239,1.0053583,0.57490396,1.1490586
apple,1.4108572,0.65582657,0.0,1.3729175,0.8242203,0.5865905,0.95264024,1.101968,1.4520061,1.5013471,0.63083696,1.3794355,1.4250422,1.4761965,0.81192875,1.2996511,0.92532086,0.63926756,1.1955276,0.78529215,1.1615596,0.9820484,0.9227929,0.99986225,0.89145553,0.98295283,1.2756875,1.1942381,0.7739884,1.3917229,1.1138493,0.62470925,1.4825954,0.87231845,0.58129805,1.5076187,0.85067654,1.3135728,1.17314,1.2879006,0.9560977,1.280874,0.85532236,0.27953416,0.6772361,1.1157316,0.5236387,0.9860135,0.7623681,0.6058587,0.82935214,0.99254876,1.1956346,0.68401164,1.0634841,1.2062216,0.8928125,1.2606382,1.0692561,0.67358947,1.1886086,1.1333779,0.7508179,1.2153964,0.7741942,1.3102812,0.7576243,0.7954513,1.1304139,0.98077285,1.2203584,1.1363945,0.8070419,0.9083347,0.51625043,0.92948633,0.5248363,0.7386494,0.7346475,1.0777669,1.0661261,1.3735943,1.265002,1.4444034,0.7142505,0.6781459,0.8821111,1.2086048,0.81674254,1.0388469,0.9430048,1.3199549,0.9569129,1.0573235,0.91626036,1.3942239,1.2415733,0.9389244,1.2923659,1.2520033,1.2913477,1.1180447,1.1377006,1.2011272,1.2608025,1.1822063,1.1145347,0.5554211,1.1930367,0.7852715,0.83220094,0.8970892,0.8023294,0.7696732,1.0548927,0.18376005,1.1854342,1.3229307,1.2038057,0.6168409,0.55290323,0.6784825,1.031388,0.91217965,0.9862658,1.2269412,1.1095934,1.14622,1.0379931,0.6569251,1.3239355
arm,0.6209954,1.3073212,1.3729175,0.0,1.1413962,1.3934206,0.87372255,1.1447985,0.73426294,0.63936615,1.4275422,0.89497006,0.45269322,0.73724556,1.3106054,0.90070236,1.1288335,1.0417377,1.0123943,1.2027996,1.0081979,1.1900285,1.1132225,1.229872,1.2708728,0.6964692,0.8657979,1.054396,1.2570292,0.8382987,0.994218,1.3135873,0.6937907,1.1425035,1.4200203,0.62233865,1.1698226,0.85830426,0.74404794,0.9396072,1.0999161,0.67085254,1.1074724,1.323804,1.3672111,0.9397634,1.1136792,0.9698469,1.3863583,1.1706196,1.3001555,1.1455542,0.858199,1.2065003,0.85924065,0.90977067,1.2566705,0.69778264,0.5506414,1.3916229,0.7879887,0.8246973,1.1766384,0.71864104,1.3284268,1.0127411,1.3523326,1.1602268,0.807575,0.77748215,0.68182683,0.9843009,1.0071123,1.0354619,1.2579805,1.2539308,1.2861037,1.1238228,0.9279325,1.1458584,1.0439819,0.3935293,0.6868069,0.66764426,1.3397503,1.3319182,1.181994,1.1115494,1.1828886,1.1506362,1.0418435,0.6142494,0.8407985,1.1820841,1.1848499,0.82099235,0.7876594,0.8830174,0.9024941,0.7959947,0.45684493,1.0017897,0.769562,0.921816,0.817152,0.9976016,0.9045056,1.4110718,0.8615555,1.4557519,1.2347658,0.9248214,1.2844545,1.2582843,1.005307,1.4346681,1.031173,0.5119757,0.66099036,1.3475894,1.134137,1.0897783,0.8861296,1.2925392,1.1430384,0.9411945,0.9682916,0.90527076,1.1410779,1.179763,0.8335899
ball,1.025966,1.1289321,0.8242203,1.1413962,0.0,0.58681524,1.0264157,0.606874,1.0861946,1.0379488,0.99658275,1.2220492,0.9479871,0.96964407,0.9874806,0.9532897,0.67291796,0.78419054,0.89794964,1.1294342,1.0197448,0.5867675,1.2956834,1.0389055,0.86578524,1.3579206,1.1000564,1.1412857,0.78731835,1.1685883,1.003849,1.0762904,1.0045255,1.0929812,1.1168557,0.94189614,0.76669365,0.8879182,0.7322512,1.0670619,1.0969907,0.8936777,1.1847541,1.0148405,0.75112945,1.0381161,1.1482792,0.87833273,0.81087077,1.1875482,1.0758682,0.77497995,0.8517952,1.2353574,0.87851083,1.0930475,0.7836135,1.1420174,1.2112163,0.87215596,1.0898983,1.2537948,0.62798035,1.1499636,1.2290014,1.1836958,0.91944253,1.0006995,0.9584351,1.0384436,0.8976902,0.87911385,1.1176634,1.0881356,0.9584487,1.0647452,1.1395795,1.0461564,1.1231925,1.1178305,0.7324331,1.0886548,1.2514856,0.930594,1.1428432,1.2289548,1.0774578,0.8809203,1.0705001,0.8567625,1.0427961,1.1736498,0.8784337,0.88051194,0.6764441,1.2552648,1.0436397,0.900085,1.0143694,0.89081264,1.2755687,1.0457917,1.2428598,1.1144602,1.0573326,1.0807564,0.7425009,1.1061,1.0030986,1.1257598,1.2007074,0.9446625,1.070189,1.0299804,0.95329046,0.9466299,0.9573145,1.2208312,1.0545613,0.75863117,1.1465273,1.2857475,1.0579034,1.0391315,0.49234992,0.8381872,0.95715845,0.9144437,0.97931546,0.9728354,1.0640521
balloon,1.4952315,0.51918274,0.5865905,1.3934206,0.58681524,0.0,1.0139569,1.0187619,1.2872317,1.4763718,0.5014842,1.3331672,1.4269209,1.4614867,0.6663611,1.2102903,0.7544416,0.9201901,1.2060477,1.0079722,1.1256709,0.8552029,1.1885233,0.7138522,0.755432,1.0669553,1.1570911,1.0349914,0.5726267,1.3377361,1.007597,0.88240784,1.3679879,1.0978514,0.53057176,1.3797083,0.7915135,1.3206651,1.1646655,1.0836365,0.89430296,1.165168,0.94651735,0.5542171,0.5605376,1.1419199,0.74793184,1.1001891,0.636964,0.73134995,0.8201808,0.99229944,1.1322176,0.9249793,0.9185053,1.1122282,0.6673586,1.2638845,1.2142683,0.45895314,1.2207272,1.1911619,0.71429235,1.1600382,0.7558236,1.2089319,0.5266835,0.9117226,1.2095343,0.9427698,1.2148436,1.1313841,1.0106108,1.1443063,0.6672083,0.7615331,0.70985556,0.9307521,0.7013322,0.9229207,1.1110655,1.3655303,1.3878936,1.4161288,0.6217206,0.6792247,0.8111992,0.8923919,1.0323454,0.85851556,1.060986,1.4140487,1.0021284,0.98367846,0.8641235,1.1856656,1.2304461,1.0081625,1.2611163,1.1957686,1.3315293,1.1839981,1.1394463,1.2154644,1.3105196,0.92497176,0.8812188,0.5169269,1.07766,0.59247303,0.87733454,0.975895,0.80754125,0.64919263,1.0424529,0.48441988,1.1141789,1.3769951,1.3351276,0.6127005,0.7659339,1.0400296,0.9984702,0.5963648,0.84764564,1.18034,0.99430346,1.1705108,0.89605355,0.72142446,1.1481924
banana,0.78524625,1.1870949,0.95264024,0.87372255,1.0264157,1.0139569,0.0,1.1083307,1.0605928,1.0526763,1.1725644,1.0509205,0.8103641,0.96513236,1.1791184,0.8860005,0.9837164,0.98862743,0.9867117,0.8035428,0.9903501,1.1108773,0.9754772,1.2825913,1.2468693,0.7441845,1.0312656,1.286351,1.2711558,1.1736194,1.0583459,0.78759384,1.1414046,0.78691787,1.0877596,1.0851437,1.1020831,0.97357947,0.9024421,1.3186715,1.086657,1.0195264,1.0156888,0.9494877,1.2217197,1.1236142,0.86418575,0.6367739,0.9942538,1.0644478,1.1458056,0.69416004,0.9248772,1.0802513,0.6864512,1.0275321,0.92526805,1.095987,0.7427328,1.1249031,1.0487835,0.86671305,1.1006217,0.921361,1.1128337,1.247561,1.2662694,1.0154358,0.6354594,0.8814178,0.6393198,1.1660807,0.96429944,0.7015556,1.1080062,0.9747831,1.0753549,1.0426964,1.0144302,1.2442855,1.0186445,0.86059844,0.8444499,0.91385627,1.1522374,1.057916,0.5999216,1.1193484,0.9057302,1.0222819,0.9126775,0.9380091,0.62991,1.1447229,1.1693197,1.2473123,1.0203652,0.9032557,0.91222274,0.72388434,0.9506965,0.84824514,0.98426384,0.6189246,1.1975975,1.1585783,0.89736456,1.1660781,1.0380176,0.92630345,0.88851476,0.886592,1.1240228,1.2154676,0.9445337,1.0115688,1.2199857,0.8823261,0.9021851,1.0905241,1.0384768,0.7565948,0.8057296,1.1413265,0.9900033,0.9101031,1.2081311,1.1099014,1.1983796,1.1648573,1.241457
basket,0.78464174,1.2042732,1.101968,1.1447985,0.606874,1.0187619,1.1083307,0.0,0.91607934,0.8441307,1.0942913,1.0401535,0.8661336,0.8097467,1.1187644,0.65667784,0.7065502,0.73700076,0.53476113,1.188773,0.78405714,0.24748826,1.3300488,0.91181105,0.8960557,1.3902361,1.1396345,0.8883916,0.9233353,0.9664396,0.8905195,1.1454728,0.8397282,1.1716961,1.2044985,0.6804927,0.7210598,0.80644476,0.69268465,1.0411451,1.0883847,0.8883374,1.2842048,1.2876184,0.9859043,1.0171449,1.399615,0.9631591,0.8767155,1.3166904,1.0128136,0.8722432,0.88409686,1.3488647,1.0111363,1.047363,0.7944368,1.1275964,1.274472,1.1323719,1.0668243,1.2674536,0.4796182,1.2476156,1.1723219,0.91169584,1.0344998,1.0574889,1.0437955,1.1062751,0.9607395,0.7832392,1.167426,1.0938718,1.1980805,1.0801821,1.2520034,1.1309525,1.3497484,0.9623512,0.7184497,1.1312141,1.2586755,0.72100407,1.2076255,1.2883267,1.2771778,1.0046648,1.060722,0.7321207,1.0962422,0.99805766,1.0545475,0.60997105,0.58352095,1.1052955,0.9923375,1.089128,0.9175118,0.68265784,1.2410759,1.038603,1.2445846,0.95524585,0.92454916,1.0899302,0.91028327,1.2122277,1.102268,1.1627104,1.2686431,1.1601534,1.0275503,1.198669,0.9344773,1.1509306,0.7905861,1.2060672,0.8558795,0.8323945,1.3378948,1.3665996,1.0175302,1.0912437,0.4393654,0.603613,0.9423036,0.7845284,0.84617305,1.0209104,1.0224417
bathtub,0.6865053,1.2795042,1.4520061,0.73426294,1.0861946,1.2872317,1.0605928,0.91607934,0.0,0.3854984,1.3442388,0.41055346,0.72052234,0.58671635,1.2088467,0.8318972,1.0621485,0.99916375,0.79013664,1.3286737,0.87808615,0.9166392,1.1765178,0.9066839,1.0814701,1.1362027,0.5457125,0.6978142,1.3232642,0.3833785,0.9399495,1.4197088,0.4474162,1.3057247,1.4309444,0.40546298,1.0648524,0.80637234,1.0101334,0.5748793,0.77554536,0.937368,1.2969325,1.4935579,1.230206,0.9866075,1.4580157,1.0908353,1.3225272,1.3326323,1.1530616,1.1628598,0.74714273,1.352624,1.1209131,0.64211327,1.2521911,0.9192964,1.0909226,1.3411939,0.8452569,0.79131436,1.1543347,0.7305534,1.1729738,0.60145324,1.1246421,1.2713425,0.96185344,1.0618423,1.0032986,0.8656593,1.1660837,1.2135502,1.3978162,1.1982454,1.4582913,1.2888063,1.1885145,0.844954,1.0616354,0.84148735,0.7118995,0.66004515,1.2843907,1.3542365,1.1757932,0.867082,1.2972322,0.95603424,1.0729722,0.8092952,1.1445119,0.9340788,1.130652,0.37024224,0.68901074,1.1119466,0.86186504,0.77278346,0.72714055,0.93004286,1.0105814,0.92567927,0.57820195,0.45986676,0.7778736,1.3868294,0.67807883,1.314669,1.28139,1.1479598,1.1905375,1.2057774,1.0202335,1.4658267,0.8850798,0.70152235,0.76014674,1.3054038,1.4794123,1.3372424,1.2222775,1.1532352,1.1070416,0.6289312,0.8283198,0.85012066,0.9017647,1.3384066,0.5829482
bed,0.4654932,1.4514824,1.5013471,0.63936615,1.0379488,1.4763718,1.0526763,0.8441307,0.3854984,0.0,1.4941297,0.42531794,0.3732869,0.13905323,1.2678552,0.7163622,1.16303,1.0861826,0.79738927,1.290683,0.83919275,1.0235854,1.1404552,1.17128,1.1630235,1.1931571,0.60118896,0.8828887,1.358509,0.45965576,0.9857659,1.3895128,0.17454505,1.2534544,1.5855044,0.20142305,1.1955135,0.5943139,0.724024,0.7789234,1.0581536,0.7439047,1.310076,1.5403982,1.3223712,0.9005134,1.471499,0.93540204,1.3482311,1.4138899,1.4154267,0.9813491,0.85482526,1.3946176,1.0152185,0.74483705,1.2641739,0.780755,1.03681,1.4214191,0.7920091,0.8269613,1.191154,0.62689,1.3843532,0.68235916,1.4431158,1.238701,0.8114712,1.1322172,0.6980232,0.88623405,1.1798445,1.1024466,1.3869224,1.3171101,1.6060917,1.2069278,1.3151169,1.069253,0.8763957,0.5326338,0.5664724,0.4494351,1.498647,1.5475978,1.2227666,0.6922219,1.2800053,1.0987898,1.1046478,0.6703186,1.0871401,1.0033981,1.1281954,0.65967727,0.6559749,1.0527695,0.6848452,0.78812635,0.6553979,0.87660843,0.91526306,0.9193662,0.5798601,0.8818406,0.8395634,1.5249581,0.7260735,1.3606074,1.2269535,1.1005123,1.452651,1.3776352,1.0803293,1.5614398,0.9219645,0.52819836,0.5774527,1.4303886,1.4669079,1.3365848,1.2040044,1.2992125,0.96241146,0.662051,0.9265225,0.8196185,1.1038423,1.429117,0.64637053
