,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.288064,1.0044874,0.9867541,1.0445505,1.1132939,0.64231175,1.1082919,1.0715774,0.98057914,0.9183722,1.1572369,1.0482018,0.7899467,0.89666986,0.9417161,0.8991998,0.7003464,1.22014,1.2138983,0.98211837,0.93362176,1.3192576,1.1913539,0.67411405,1.4122767,1.187158,0.9580412,1.090219,1.2764282,1.1618379,1.1607263,1.0942951,1.0299835,0.9850595,0.98971885,1.0495104,0.8043199,1.0489198,1.0595053,1.2833749,0.62288386,0.98594594,0.61183083,0.717429,1.2117705,1.1201845,0.8691305,1.0471703,1.0435168,1.1226759,1.029136,1.1976076,0.93622017,1.1255411,1.0451176,1.064719,0.27835834,0.9715083,1.2675734,1.2695711,0.9589127,0.81213,1.0492662,0.96241856,0.98173696,1.1969962,0.8301095,0.66368395,1.0939353,1.1019751,1.1661215,1.0498402,0.97814804,1.1270409,1.2042202,0.797403,1.0532488,0.6979202,1.1863767,0.95606995,1.0874492,1.0126524,1.2535139,1.1672225,1.2493103,1.2813094,0.9311536,1.2444758,0.7856284,0.97026765,1.0586287,0.76651114,1.1018971,1.1419272,0.8725288,0.8571644,1.2622144,0.833577,0.94145405,1.0172704,0.5328463,0.99616456,1.0452675,1.2042503,1.0205208,1.2106501,0.57685935,0.94702625,0.6986245,1.1092901,1.0702959,1.0447801,1.0068302,0.99148893,1.2061574,0.9658017,1.2214885,0.83760273,1.1538135,1.104401,1.1168877,1.1901702,0.8585404,1.1333117,1.0370762,0.7998214,1.1858227,1.245432,1.1759915,0.936698,1.2348306,0.7739938,0.82210153,1.0287498,1.2261562,1.2364054,1.1522753
ankle,1.288064,0.0,0.89529973,0.8096291,0.93117845,0.87366486,1.1506373,1.2677708,1.1778666,1.1017133,1.3267289,0.9683722,1.2147607,1.1632361,1.0266072,1.0963054,1.1361167,1.267838,0.9988278,0.919077,1.2417423,1.1476978,0.9039713,1.0140438,1.0788827,0.83576345,1.0576113,0.8816892,1.0387415,1.0546058,0.99328846,1.1895132,0.9471052,1.1152282,1.113232,1.0165157,1.2155534,1.0804418,0.85460746,1.3412967,0.951677,1.0871769,1.0881906,1.2038022,1.0866464,1.2007351,0.9389265,1.0356886,0.81792104,1.1344403,0.80927867,1.0701429,0.5580298,0.9057745,1.1052674,0.6431761,0.9391775,1.2038908,1.2267995,1.0308372,0.79805166,0.57488227,0.9926276,1.0149091,0.9621077,0.88501036,0.7571802,1.1613452,1.0860956,1.0755023,1.0373962,0.93574464,0.8712919,0.9388168,1.0972732,1.0310392,1.1120254,1.0504026,1.1094338,0.8828995,0.97065586,0.79190844,0.6799058,0.8508884,0.7676614,0.5973151,0.73149776,0.89461505,1.072001,1.1331402,1.0507557,0.7962923,1.2963672,0.89804804,0.97523594,1.1410089,0.81025016,0.73877513,1.1437894,1.2133683,1.0231308,1.0474831,1.0243496,0.8607162,0.81916666,0.8676426,1.2188797,1.1355869,1.020489,1.142658,0.9365498,0.61198545,0.7204909,0.8354192,1.2540805,1.0263165,1.188922,0.60014963,1.1639906,0.8924114,0.44139218,0.9640818,0.70919675,1.0010909,1.051414,1.0519358,1.4052751,0.8379606,0.556072,0.8320395,1.0349349,0.7177577,1.1976056,1.2401484,1.0166701,1.1165732,0.91502464,1.2267842
apple,1.0044874,0.89529973,0.0,1.3914913,0.18877614,0.36583793,0.9061427,1.2298034,1.4821103,1.1823721,1.582295,0.5789404,1.5639039,1.4199305,0.8061395,1.5592854,1.3429238,1.2427355,0.46590257,0.6361307,1.3156359,0.9258849,0.97212654,0.85984963,0.7017166,0.96517307,0.9327331,0.9186028,1.1663544,1.50792,0.4997226,1.183995,1.2202525,1.20533,1.3251449,0.9139515,1.5210508,0.77350044,0.46682405,1.4825182,0.45776415,1.0444956,1.0215156,1.4139831,1.0618014,1.2910894,1.093642,1.1344572,0.46787047,1.3153518,0.97549635,1.2244151,0.82966834,0.4252404,0.5542719,1.1048987,0.71648926,0.75180155,1.2338508,1.052201,0.60294485,0.9885243,0.83052546,1.220455,0.84547853,1.2764622,0.6277202,1.083344,0.874516,1.3249606,1.4154625,0.6820632,1.4884396,1.2385947,1.1875086,0.63642216,0.9848636,0.9638679,1.2814626,0.99248874,0.9984054,0.9594825,0.7529651,0.4666798,1.0610782,0.64798814,0.6571467,0.30175674,1.1596249,0.6529811,1.5719261,1.418695,1.3445499,0.63039154,0.6181561,1.1323748,0.57864785,1.0660398,1.2834319,0.9840402,0.8373498,0.9364752,0.17447102,1.3623258,0.65261436,0.6997128,1.3811786,0.9121851,1.4748513,1.1134908,1.3706884,1.2645031,1.3472966,0.99004793,1.3308787,1.2662266,1.4746652,0.5895839,1.2014549,0.46832544,1.1802601,0.73869634,0.9881815,0.48713773,1.2020928,1.3933218,1.5048786,0.514852,0.6571388,0.693113,1.3128264,1.0097907,0.7547115,1.3397131,1.0381265,1.2191387,0.60422754,1.3876281
arm,0.9867541,0.8096291,1.3914913,0.0,1.3289485,1.3352007,0.92261875,1.1213105,0.7461449,0.90611434,0.67335165,1.3324051,0.6937184,0.65169376,1.1635429,0.57422686,0.77016085,0.9348525,1.3717144,1.3616369,0.96768177,0.9748242,1.1779568,1.23641,1.2818134,1.1269495,1.3538227,0.888634,0.9421238,0.76834965,1.4356841,1.0105907,0.81258655,0.88549376,0.8092822,1.0742668,0.7290923,1.0174828,1.3820817,0.8525802,1.3807484,1.1310575,1.0823994,0.78058565,1.0751275,0.9311442,1.0355422,0.9904647,1.1816483,0.8088002,0.9858488,0.7750051,0.6951376,1.4029009,1.3709457,0.66699076,1.2762678,1.3164084,0.94423705,1.0277599,1.2884238,0.78761566,1.0648307,0.8039422,1.0931805,0.36311746,1.3206456,1.0975062,1.2715294,0.96068484,0.6027589,1.2195125,0.5031293,0.6807579,1.0843102,1.3178275,0.9084873,1.0852292,0.73487973,1.0788536,1.1354722,1.0231428,0.93983275,1.274013,0.9489092,1.1499935,1.0553508,1.305778,1.0039093,1.1958444,0.48816633,0.5496392,0.74684453,1.3034326,1.2765356,1.0169713,1.0936904,0.9142546,0.71823573,1.0750034,1.2742072,1.1853693,1.3476431,0.83027196,1.369966,1.3244877,0.8201848,1.1875991,0.60708517,1.0389553,0.5261927,0.6625537,0.48298085,0.97020924,0.8405647,0.8872234,0.6834252,1.279592,0.9444949,1.3171078,0.61270493,1.2891597,1.0072607,1.2377123,1.0900947,0.57442117,0.73245513,1.4415463,0.91735476,1.1642152,0.7427649,1.0482175,1.2874401,0.93857217,1.0952919,1.077805,1.2721858,0.8554056
ball,1.0445505,0.93117845,0.18877614,1.3289485,0.0,0.17295247,0.85477155,1.0706275,1.3757353,1.1724671,1.4187257,0.78103447,1.4550726,1.2675505,0.8137126,1.4095247,1.1754497,1.1948267,0.5522274,0.65315354,1.2401277,0.94796675,1.0190693,0.7694265,0.8116603,1.0264157,0.9646256,0.9537767,1.2420268,1.4488976,0.57273686,1.1382761,1.1638817,1.1682495,1.3333462,0.77049154,1.4066857,0.8174281,0.68038034,1.3482741,0.56300735,1.0407999,0.91310376,1.3193966,1.0484953,1.2866718,1.1652867,1.1909525,0.35869217,1.2549672,1.0357488,1.1819875,0.9495746,0.661183,0.58430034,1.0702863,0.91507536,0.79982907,1.1611708,0.99166495,0.8030393,0.9645449,0.7713265,1.1818712,0.7923955,1.2759178,0.71489346,1.0440291,0.91795427,1.2294657,1.3443947,0.73689777,1.4055059,1.294794,1.2065655,0.6551161,0.85052395,0.9375449,1.1371913,1.0727197,0.9596347,1.0451778,0.7965421,0.6223482,1.119159,0.89985657,0.7623068,0.41613132,1.1510426,0.7427494,1.4573417,1.3534675,1.262301,0.83275914,0.81914145,1.0341346,0.78317416,1.1306928,1.2223489,1.0392175,0.80291367,0.9794119,0.23490715,1.3227205,0.6945704,0.8461343,1.319458,0.97310466,1.3936458,1.076355,1.3098642,1.1993127,1.3468523,1.0594028,1.2355425,1.2290584,1.349055,0.75861573,1.0798787,0.61512566,1.1187887,0.87614787,1.0072616,0.74324536,1.0772389,1.3195008,1.3489926,0.52417964,0.8100153,0.90037435,1.2411377,1.0528746,0.5760159,1.2773638,1.1439077,1.1717215,0.77503824,1.3325362
balloon,1.1132939,0.87366486,0.36583793,1.3352007,0.17295247,0.0,0.9959058,1.0141951,1.3264265,1.1655897,1.3992269,0.73208076,1.3964579,1.316195,0.7731086,1.3993906,1.1235986,1.182619,0.5780979,0.6188764,1.1947501,1.0111848,0.9469579,0.6942377,0.8486178,0.9228765,0.91662645,0.96044177,1.1760352,1.3106194,0.5660703,1.131987,1.130364,1.1983452,1.3340361,0.80536246,1.3754302,0.9906626,0.6715202,1.3112383,0.5982819,1.0848063,1.0007977,1.2830455,1.0492054,1.2608719,1.0968326,1.1731328,0.44225836,1.1881808,1.0821092,1.186203,1.0116324,0.6792814,0.61339724,1.0442932,0.92408496,0.8421885,1.1737235,1.0258846,0.8188045,0.9219047,0.8753784,1.1709847,0.8330674,1.2941443,0.63335526,1.0440929,0.87264705,1.0777293,1.2746289,0.80350655,1.3318441,1.3125751,1.1621441,0.6483509,0.8839092,0.96292365,1.1865761,1.0118233,0.9252539,1.0735856,0.8191576,0.6782098,1.1208444,0.88350105,0.8440421,0.56486917,1.1171172,0.7975458,1.4370892,1.2953601,1.2851617,0.84202206,0.8573051,1.0078579,0.84497446,1.0675116,1.336164,0.9976829,0.83499885,0.9779752,0.43975437,1.2017064,0.67787707,0.8695389,1.2421802,0.9758619,1.3724146,0.9218424,1.2633537,1.1372786,1.3002892,0.98186576,1.2352734,1.1580447,1.2453612,0.76620567,1.0776032,0.6674465,1.0574331,0.8921221,0.9909967,0.7234718,0.9648513,1.2761045,1.3249215,0.50688624,0.8808968,0.9895234,1.1523784,1.0187073,0.572037,1.252249,1.2033248,1.0050445,0.8237643,1.2884898
banana,0.64231175,1.1506373,0.9061427,0.92261875,0.85477155,0.9959058,0.0,1.0655682,0.93785393,0.93400943,0.95524293,1.262515,1.0123292,0.593976,1.1183934,0.8323554,0.6812085,0.9885797,1.2860798,1.0324342,1.0945414,0.818902,1.2255068,1.0989228,1.0723506,1.38856,1.2180706,0.7229847,1.0854783,1.2279272,1.2367157,1.186741,1.0418937,1.0163858,0.8565797,0.8615658,1.0836201,0.7950632,1.1305835,1.1031506,1.2363482,0.9994617,0.9646669,0.8753693,1.0079287,1.2069846,1.1715236,0.9960969,0.83844596,0.9168539,1.0176214,1.0222634,1.0219469,1.0652375,1.2203519,0.9788191,1.1122401,0.71843445,0.879092,1.0399573,1.2806126,0.75869524,0.6930069,1.0370481,0.8998991,0.8196189,1.2600648,1.0233564,1.057102,0.9052651,1.0337782,1.1892107,0.94305515,0.80325854,1.3127346,1.2735779,0.59118825,1.0801775,0.5032156,1.1880445,1.0728127,0.9657442,1.0021781,1.2076745,0.993235,1.1995592,1.1427115,0.75904644,1.2019373,0.90481305,0.7514379,1.0269572,0.91565096,1.1849296,1.1796027,0.8546715,0.58451676,1.2782159,0.8957125,1.0630682,0.85368717,1.0911685,0.9574529,1.0037884,1.2236079,1.1914184,1.1361053,1.09199,0.97334427,0.6657673,1.0230193,0.91851854,0.8803262,1.0552603,0.96402335,1.0522178,0.9180481,1.1491612,0.80287755,1.199548,0.93195474,1.1858277,0.93202907,0.93725306,1.1397564,1.0118923,0.85659295,1.0843902,1.1154976,1.1284053,0.6653956,1.1460342,0.7187184,0.9180234,1.1429349,1.1713017,1.2274704,1.1508616
basket,1.1082919,1.2677708,1.2298034,1.1213105,1.0706275,1.0141951,1.0655682,0.0,0.60499823,1.2030666,0.739355,1.1788461,0.6705978,0.9526934,1.0410179,0.8988759,0.8399811,0.74420834,1.0257753,0.653125,0.491893,0.91387874,0.9185792,0.48531199,1.1426085,0.68684936,0.6958099,1.0406612,1.2179503,0.5569519,0.9392575,0.72620666,1.1695206,0.84987557,0.80642533,0.89050436,0.8194957,1.0001818,1.185957,0.39297533,1.0408691,1.0904161,0.8150066,1.116752,1.0124314,0.7943067,0.9583039,1.1510057,1.1010635,0.9788421,1.3577169,1.1531347,1.4065043,1.333287,0.89362144,1.1148878,1.1526217,1.0895934,0.83433414,0.7945188,1.3321792,1.0541097,0.91204923,1.1751828,0.9662527,1.2009046,1.1956714,1.0016578,1.0626047,0.85261244,1.1392069,0.9251302,1.1984471,1.0157361,0.64208776,0.86451286,0.87925375,0.88068265,0.9957692,0.8611313,1.0308372,1.3255652,1.0966352,1.313071,0.89304346,1.3827846,1.3402667,1.2226256,0.6765695,1.0511984,0.95943236,1.2249501,0.8282831,1.2210165,1.2634066,1.0311693,1.286284,0.9931772,1.002659,0.83427346,0.73742765,1.0680369,1.0614064,0.857546,0.8553647,1.279842,0.6834942,1.0325454,0.9407955,0.86369634,1.2008375,1.0349584,1.3174663,0.8892999,0.7364521,0.7072566,0.68534076,1.2715608,0.99589765,1.1716028,1.0230345,1.0663413,1.1565619,1.1499032,0.5172157,1.1821539,0.71598566,0.8880018,1.4368322,1.4047087,0.89570177,0.83190984,0.6306716,0.6017756,0.9635335,0.5921769,1.2923319,0.86737764
bathtub,1.0715774,1.1778666,1.4821103,0.7461449,1.3757353,1.3264265,0.93785393,0.60499823,0.0,0.88077337,0.425492,1.3382398,0.24940479,0.6523241,1.303335,0.5082288,0.40502334,0.8595828,1.4067347,0.9392753,0.6134207,0.8461282,1.1927899,0.8330404,1.3467674,0.9105813,1.0908498,1.0715787,0.8978958,0.46182752,1.3506906,0.72681344,0.9428615,0.86927706,0.64779043,0.99237895,0.51544565,1.1725737,1.477196,0.55624473,1.2898512,1.115503,0.8647405,0.84045434,1.1994953,0.6060001,0.8781168,1.0721235,1.2256749,0.76711255,1.1418462,0.92834914,1.3205583,1.4906433,1.3535748,1.1961435,1.2758939,1.3444388,0.66156983,0.8062662,1.461697,1.0958834,1.1746507,0.9902398,1.2425382,0.93709934,1.5028663,1.0553973,1.2122272,0.7530767,0.7190885,1.1815096,0.6767524,0.716864,0.974766,1.2252152,0.8918772,1.12679,0.79392016,1.0413177,1.1152531,1.1833742,1.2180552,1.4382602,0.8308381,1.4267628,1.4015298,1.387517,0.69008356,1.2608628,0.63792115,0.7234474,0.6369474,1.3418039,1.3321073,1.010436,1.2765368,0.94354117,0.78948784,1.0219803,0.90207064,1.2195526,1.3421651,0.63237405,1.3015385,1.3164421,0.55883193,1.1752908,0.6496231,0.9087078,0.77696025,0.9623927,0.7788404,1.1471777,0.6185789,0.401559,0.518755,1.4301108,0.70884836,1.3559864,0.9842912,1.2479208,1.1060448,1.2587365,0.87196755,0.76131016,0.52515346,1.2354054,1.4157339,1.3186852,0.712327,0.94131714,1.1628442,0.68223333,1.0308757,0.8487253,1.3847531,0.7024481
bear,0.98057914,1.1017133,1.1823721,0.90611434,1.1724671,1.1655897,0.93400943,1.2030666,0.88077337,0.0,0.7999484,1.0442885,0.927062,0.8118578,1.0860478,0.72336996,0.8891692,1.0392714,1.2554867,1.2914774,1.0950668,0.9443117,1.2128935,1.3218184,1.1187785,1.2409866,1.15837,1.0895007,0.442532,1.0336834,1.1914699,1.1091024,0.7176099,0.96242225,0.8574618,0.94188714,0.8812698,1.2054853,1.2507114,1.0572897,1.1954156,0.98087937,1.0220692,0.51079303,0.9829757,0.96734893,1.0954516,0.9490046,1.0521809,0.7230941,0.97410786,0.7916947,1.0248393,1.1335795,1.1822671,1.0896577,1.125687,1.0467653,0.6898438,0.94487923,1.1098824,1.1210588,1.1822307,0.8602038,1.2257463,0.8968547,1.1506524,1.0818224,0.95714855,1.0045416,0.7095069,1.2558593,0.64484334,0.9229118,1.2054917,1.2189333,0.9563533,1.2024529,0.8519285,1.0888826,1.129932,0.97144,1.0629414,1.0734061,1.1625308,1.0312921,0.9657261,1.1471587,1.1582633,1.1266229,0.74888754,0.66854143,0.9132117,1.1385336,1.0536547,0.9943346,1.0092008,1.0427366,0.8418149,1.0648943,1.1946528,1.0284882,1.181805,0.94488597,1.2187171,1.0465806,0.9699998,1.0042257,0.90148443,1.1363462,0.7134324,1.1076186,0.76501644,1.27342,0.9936102,1.0145993,0.97347665,1.1491678,0.734666,0.9992935,1.1401901,1.1279663,0.9829131,1.0960201,1.2472693,0.7357478,0.8976987,1.2701781,1.0345979,1.0289223,0.95584476,1.2173238,1.2476091,1.0656183,1.0779272,1.1846737,1.0731187,0.828449
