,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,stick,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.4058188,1.415966,1.1245669,0.42525077,1.0671357,1.3001852,1.141102,1.1234611,0.8621432,0.5709733,1.5162351,1.226919,0.93824905,0.80870974,1.1769071,1.5619097,1.1770387,0.91555804,0.8057418,1.2174184,1.0010263,1.6686242,1.1433437,1.5056064,0.41702008,1.3036921,0.657924,1.3595544,0.635308,1.0177635,0.8685436,0.63290566,1.1251507,1.4624506,0.91592324,1.5429485,0.5504495,1.344259,0.78100586,0.5927161,0.65646946,1.3792312,1.0349061,1.2293758,1.2619712,1.3486404,0.74370265,0.8444725,1.290265,0.32971525,1.1831708,0.89350915,1.4109623,0.8340359,0.69947785,1.415906,1.0448459,1.189601,0.72494614,0.6864936,0.8993441,1.4383398,0.60180384,0.9976212,0.56671745,1.3015838,0.8781296,1.1679833,0.6557337,0.79432297,0.9657753,0.60620105,0.86873853,0.70281804,1.3897458,1.1965817,1.6068201,1.3069278,1.4294999,1.3600713,0.6182618,0.5284884,0.6739527,1.3014503,1.5313921,1.4880605,1.2133693,0.72732353,0.8558249,1.2906059,1.5895101,1.2308248,0.78406274,0.94883025,1.4299468,1.3918529,0.8192473,0.48680145,0.62652266,1.0976496,0.6231216,1.0324957,1.0176554,1.0995957,1.4161577,0.5208745,1.5126595,1.2998908,1.0090889,1.0126258,1.3264551,1.3938526,1.4104631,0.5444522,0.502763,1.2539759,1.349844,1.3438272,1.1475875,1.4925745,0.8828029,0.77529967,1.1808586,1.5528456,1.0257316
ankle,1.4058188,0.0,0.861535,0.7576546,1.3683388,0.76287484,0.68127847,0.96799266,1.0948184,1.0865443,1.2258669,0.71139836,0.65112793,1.0721393,0.9303398,0.95535856,0.6436884,0.7583178,1.1568047,0.8722925,1.0270146,0.98777837,0.54560226,0.8988107,0.7142073,1.1705585,0.6579006,1.2203736,0.9726657,1.3000007,1.0432439,1.0380572,1.1429472,0.81838,0.5276021,1.01748,0.8344184,1.4141283,0.6881833,1.2653438,1.1651671,1.2454932,0.8228246,1.0223784,0.78955984,0.8613551,0.6243041,1.1256449,1.2338494,0.8585464,1.3320777,1.0018115,1.0869043,0.7751471,1.1311445,1.2493266,0.910058,0.71953,1.0988698,1.2840247,0.9757686,1.1936624,0.8157716,1.3662124,1.0358403,1.1466519,0.9470732,1.0326211,1.0933211,1.3291271,1.0668639,1.0243841,1.0961505,1.1860223,0.9285318,0.9171457,0.7769535,0.6606909,0.78874725,0.7181579,0.6888913,1.2247008,1.3932992,1.0915616,0.7582592,0.7891697,0.8956766,1.033612,0.8587181,1.1823238,0.92398614,0.48325872,0.8898558,0.98776364,1.044477,0.71615434,0.7643781,1.1702127,1.3155619,1.2419158,1.0721663,1.336084,0.8836536,0.83594275,0.95574135,0.58256406,1.3336926,0.70534015,0.6278054,0.7850889,0.8124915,0.86741376,0.7510576,0.8527585,1.3636782,1.3282517,0.71366096,0.7182894,0.7463693,1.2363534,0.7124748,1.2159873,1.1651633,0.8696357,0.74014926,1.1894795
apple,1.415966,0.861535,0.0,0.82664573,1.4628043,0.8217882,0.6216086,0.4390942,1.1149527,1.339702,1.4302396,0.59973526,1.2505721,0.9880805,1.3360299,1.1352239,0.6608287,1.0211596,1.2732744,1.0891781,0.98375016,1.1905997,0.64928156,1.0469604,0.39385265,1.2611127,1.0811226,1.2449222,0.4313699,1.2821099,1.130042,1.136739,1.0690161,0.82220864,0.89723074,1.1660718,0.31774044,1.431819,0.955154,1.2414805,1.1814858,1.2646037,0.9185969,1.2912844,0.899805,0.8558843,0.46283364,1.2297621,1.0780843,0.7973026,1.2967069,0.8685907,0.9710048,0.67115486,0.88650626,1.2932265,0.546692,0.8874349,0.68094105,1.2157123,1.1726859,1.1833932,0.4816386,1.3348204,0.97686243,1.4285141,0.8634403,1.2658095,0.951088,1.3299129,0.89097965,1.2161211,1.2219226,1.1836921,1.092076,0.42925972,0.7713498,0.52975655,0.59566987,0.42697936,1.0178739,1.1603189,1.459384,1.3894137,0.9414277,0.48234797,0.47428524,0.4254958,1.0135841,1.2006005,0.7749016,0.51729316,0.7270376,1.1194777,1.2121134,0.76929337,0.9780087,1.2397068,1.4413104,1.3809063,0.951277,1.314544,0.9985077,1.2561421,1.0123795,0.8255148,1.377493,0.39161974,0.73430383,1.227557,0.87800956,0.60446376,0.80383015,0.37324297,1.371827,1.4154079,0.82019836,0.67957467,0.6512609,0.7749255,0.5852064,0.9772643,1.4005375,1.1886915,0.511537,1.135823
applesauce,1.1245669,0.7576546,0.82664573,0.0,1.1697309,1.1763268,1.082844,0.6480724,1.0371532,1.0283786,1.1701919,0.9228138,1.1016017,1.0466372,1.1607369,0.9103414,0.93733716,0.8154822,1.0007616,0.83760357,1.2129306,1.201634,0.96606886,1.0958496,0.75983095,1.1699132,1.0264755,0.9301627,0.96426743,1.1576421,1.1791639,1.0629616,1.1901724,0.7527183,0.9161919,0.712705,0.8198112,1.1409862,1.0316031,1.060803,1.0798826,1.2035378,1.0909463,1.1186612,1.0049994,1.0726707,0.9790357,1.1287994,1.1054549,0.9295738,1.045778,1.1108651,0.98006785,0.88215804,0.97650945,1.1605098,0.945507,0.9555635,0.92087495,1.2244873,0.68190205,1.097944,1.0324591,1.1314887,0.92170787,1.1429278,0.9000854,1.001784,1.1050411,1.0147426,0.9917013,1.2043358,1.1403743,0.9972382,0.7930295,0.9253183,0.9486909,0.89412093,1.0000226,0.7879204,0.93199426,1.1802886,1.1882604,1.1150031,0.9253907,0.8369054,0.87504673,0.75485826,1.0979573,0.9397462,1.1178131,0.6737557,0.79192406,0.92348236,1.2408518,0.8847697,1.1165066,1.2366769,0.96078306,1.2134575,1.0031852,1.1665349,0.942414,1.1206294,0.8599028,0.85583186,1.2303522,0.7949302,0.78632164,1.0911069,0.3906951,0.6382642,0.98913735,0.8408419,1.1453922,1.056436,0.94194686,0.97098464,0.81681055,0.93885213,0.9312421,1.0687408,0.99493635,1.2313273,0.98786205,1.1751097
arm,0.42525077,1.3683388,1.4628043,1.1697309,0.0,1.1315632,1.2523985,1.1673837,1.1126151,0.8588508,0.5403397,1.4346707,0.99736094,1.0234139,0.7958398,1.221734,1.3923227,1.164642,1.0231737,1.0614605,1.2010722,0.9869971,1.5116522,1.1103007,1.4569027,0.67317,1.1087402,0.8803203,1.4199188,0.654178,0.9887582,0.7400852,0.9062023,1.0767583,1.3375387,1.0394129,1.4993682,0.61399716,1.1937344,0.7710067,0.7989594,0.83101565,1.2587901,0.92643344,1.1949707,1.1061733,1.4546468,0.7232728,0.86044616,1.0157244,0.54001725,1.242762,1.0270029,1.4049253,1.1549265,0.6356058,1.3364017,1.0618054,1.3057342,0.62464803,0.93406975,0.5373866,1.4638653,0.5000659,0.9957502,0.46096247,1.229484,0.88696146,1.1922165,0.63107497,0.8527756,0.9655814,0.7800857,0.8969492,0.9499098,1.3960501,1.343277,1.485533,1.3108262,1.5036036,1.2861209,0.7109938,0.41728663,0.5184183,1.086411,1.4752325,1.4270781,1.1656327,1.0681493,0.8823323,1.312787,1.550915,1.1310062,0.9842104,1.0365833,1.3935962,1.2675397,0.77546823,0.5106051,0.48914635,1.21609,0.53784645,1.1370324,0.8064134,1.093878,1.3250647,0.49331564,1.5476626,1.2580743,0.8212889,1.1640755,1.2506607,1.3055127,1.4279697,0.45691025,0.5338629,1.2446384,1.235597,1.3505206,1.106368,1.4455948,1.115688,0.763781,1.0152435,1.3925251,0.9943546
ball,1.0671357,0.76287484,0.8217882,1.1763268,1.1315632,0.0,0.3668223,1.1130886,1.0038348,1.0027977,1.0912291,1.0338268,0.8618406,1.1340771,1.0592182,1.0507067,0.9586415,0.6152414,1.0648676,0.78948563,0.92483985,0.88074124,1.0032698,1.0478531,1.0350969,1.1124614,0.84721845,0.9716207,0.9479115,1.1640568,1.0133921,0.9510671,0.8708947,1.0302812,1.0094231,1.091974,1.0248702,1.1635076,0.8946615,0.88808584,1.12947,1.1373812,0.98097354,1.0223333,1.166511,1.0566592,0.39668906,1.0218236,1.1020571,1.0861259,1.0493585,1.008334,1.1275157,0.99845123,0.96138054,0.89963305,1.0768954,0.9440518,0.99636114,1.1408665,0.96261704,1.1009095,0.92685306,1.1902243,1.0443724,1.0847248,0.9918052,1.1510901,0.91874844,1.0707866,0.44461173,0.9335312,0.9602161,1.1751245,0.9473869,0.9833805,0.8849579,1.0562884,0.7994009,0.9389592,1.102913,1.0731707,1.1792638,1.0812925,1.03434,1.0427164,1.0134152,1.1114273,0.742517,1.0437372,1.0185274,0.8199683,1.1257223,0.76580495,0.9103436,0.94711125,1.0252498,1.0239139,1.150763,1.1535857,1.0093977,1.1847308,1.0762897,1.0123477,0.9652943,0.7727717,0.9725327,1.0303347,0.9840697,1.0641795,1.0113161,1.10402,1.0708094,0.9584001,1.1795244,1.0481062,0.62046325,0.98146635,1.0176299,1.0961528,0.9478901,0.9150297,0.974494,0.93099093,0.9701045,0.95421886
balloon,1.3001852,0.68127847,0.6216086,1.082844,1.2523985,0.3668223,0.0,0.9101639,1.091625,1.1224469,1.2159059,0.7742842,0.96329224,1.0741404,1.146094,1.1022975,0.71185863,0.83597696,1.2451702,1.0467856,1.0591266,1.0259099,0.7037337,1.0241035,0.752127,1.2164288,0.8838535,1.1970406,0.8610356,1.2166965,1.0599014,1.0552393,1.0120579,0.82571113,0.8162447,1.2032406,0.7995439,1.2987124,0.82917535,1.057939,1.2020471,1.1775011,0.8909242,1.0867352,0.9348086,0.8923261,0.26793486,1.1110364,1.1435732,0.7723502,1.2888874,0.9782634,1.0786128,0.86353904,0.97491896,0.969578,0.8849667,0.8282971,0.891956,1.1363106,1.1128585,1.0006349,0.7458098,1.2645433,1.0704852,1.213623,0.96007466,1.1810117,0.95503926,1.1895826,0.68004495,1.1024481,1.0552572,1.2798644,1.0871146,0.82163674,0.8853997,0.75435984,0.65763026,0.6610732,0.9699124,1.0257401,1.3090957,1.1989889,0.7915431,0.8272452,0.8546199,0.9457997,0.9456829,1.1760399,0.9161633,0.64460486,0.888384,1.018567,1.1265712,0.863939,0.9249369,1.0286444,1.2843599,1.2687173,1.0374513,1.2162328,1.0406821,1.0503407,1.0105942,0.6603304,1.1567166,0.8204717,0.73019487,1.0045955,1.0703046,0.9220174,0.9171323,0.7966405,1.2280325,1.2557335,0.7250254,0.68112266,0.8512578,1.0433097,0.7529793,0.9621208,1.1512278,1.0121098,0.72204345,1.0864809
banana,1.141102,0.96799266,0.4390942,0.6480724,1.1673837,1.1130886,0.9101639,0.0,1.1841505,1.1165953,1.2896832,1.0104761,1.2997413,1.1367016,1.287184,1.0998633,0.9685774,0.97723484,1.233022,1.027016,1.1565697,1.1940697,1.101544,1.1591842,0.75626206,1.2077339,1.2546538,1.0424786,1.0090035,1.2288649,1.1899779,1.0028158,1.0533296,0.6602004,1.0747516,0.9729681,0.606627,1.0990341,1.1788933,1.0012213,1.1559805,1.2707515,1.184711,1.1420269,1.0980515,0.8389319,0.8684186,1.2018781,1.1250273,0.7254139,1.0156467,1.1799686,0.8168145,0.7309827,0.7699211,1.0317895,0.926788,0.8842317,0.5892806,1.1852717,1.0237846,0.8455564,1.0655469,1.2298291,0.9157022,1.2387705,0.6636628,1.1749321,1.1175234,1.0220419,0.67876935,1.223332,1.0916575,0.9552049,0.9798169,0.8885585,0.91934943,0.86243486,0.8676039,0.7112356,1.2040142,1.1767044,1.3021266,1.2346876,0.98837775,0.71475613,0.7048203,0.11366618,1.103678,0.9980343,1.1676586,0.7988979,0.6987652,1.0118119,1.2335643,1.1370556,1.2572542,1.2434056,1.0668428,1.2075576,0.78376746,1.2486683,0.9190775,1.2102723,0.73830205,1.000352,1.0397145,0.84720004,0.6037358,1.0593716,0.67284346,0.300785,0.8663947,0.86190915,1.257647,1.1883543,0.75607014,0.7683226,0.6735905,0.41461372,0.95570254,0.9349679,1.1565887,1.292494,0.930087,1.2292786
basket,1.1234611,1.0948184,1.1149527,1.0371532,1.1126151,1.0038348,1.091625,1.1841505,0.0,0.7871136,1.1055644,0.9649184,1.0377322,1.1665963,1.0104755,0.46019554,0.7815266,0.65025306,0.5059216,0.8445834,0.82238054,0.6921316,0.8930146,0.8633821,1.1879692,1.1925255,0.8672303,0.84999454,0.9527232,1.2164736,1.0459795,1.043068,0.93159777,1.127496,0.8180004,0.96210116,1.0525148,0.74644154,0.7557361,0.7311207,1.1185374,1.0667661,0.850196,0.8177348,1.2518767,1.2370563,1.0837071,1.0637414,1.1626896,1.2907617,1.0862448,0.8232404,0.949725,0.8164244,0.85539067,1.0021099,1.1955416,1.130978,0.7621628,1.2792096,0.9943552,1.1418953,1.0416793,1.2289851,0.80339783,1.3613949,0.8317811,1.1149848,0.8646246,1.072172,0.964473,0.6958302,1.0944501,1.0159831,1.0395849,1.1802657,0.69927436,1.2188854,1.2169082,1.0472605,0.6966189,1.1996454,1.1998622,1.372499,0.95464635,1.0357491,1.0254691,1.1875719,0.8146293,0.91422266,0.84707934,0.883482,1.3138516,0.8092003,0.79469275,0.784462,0.8603506,1.0188787,1.0482663,1.2671173,0.71372795,1.3030329,0.94601977,1.2664796,0.74714935,0.8069574,1.1079048,1.0813705,0.98361826,1.0592225,0.9428277,0.94098,1.0222865,1.0226436,1.2420212,1.0064257,0.6358554,1.3496896,1.0364387,0.8956604,0.81474257,0.81273425,0.7488391,0.7948179,1.1235466,0.7992086
bathtub,0.8621432,1.0865443,1.339702,1.0283786,0.8588508,1.0027977,1.1224469,1.1165953,0.7871136,0.0,0.5787112,1.2806618,0.7793102,1.0500693,0.94915247,0.77493376,1.0495484,0.7345412,0.49302483,1.0572451,1.1122165,0.6145725,1.1900513,1.0379069,1.3572022,0.959013,0.86712366,0.8013398,1.3531051,0.86303824,1.043195,0.9644503,1.1752023,0.9637867,1.0582439,0.8881903,1.4061493,0.3494562,0.93870336,0.7275592,0.98641324,0.9807354,1.0617338,0.67161644,1.1426466,1.2856858,1.2953763,0.9107224,1.0777254,1.3544848,0.97068584,1.1641208,1.0301598,1.3655694,1.0279055,0.76953495,1.3613654,1.2669557,1.0018561,0.98023707,0.90872717,1.0164574,1.4029968,0.81041455,0.72483885,0.8096994,1.1904844,0.84396744,1.0559876,0.7923101,0.7641083,0.6777213,1.064663,0.8821954,1.1091518,1.4169636,1.3122151,1.4258845,1.4207802,1.1953692,1.1172886,0.9144819,0.76991284,0.8237324,1.2163746,1.4040339,1.3544331,1.1102179,1.1141906,0.92896175,1.2622623,1.2152544,1.3561257,0.80312276,0.84116596,1.1986527,1.0035723,0.95250756,0.8237104,0.9424069,1.0825244,0.84294444,0.8848581,0.8767197,0.82327545,0.90469855,0.7397846,1.313806,1.0730418,1.0577104,1.0027608,1.2007425,1.2464461,1.3005501,0.77065796,0.45922494,0.8015403,1.4502733,1.3876956,1.0422496,1.3844965,0.82647705,0.43835998,0.7884166,1.4312563,0.9129403
