,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,vacuum,watch,window
alligator,0.0,1.0001192,1.2196977,0.976608,0.7414892,1.2820922,1.2093344,0.70532864,1.1784941,0.92379326,0.8683693,0.6863607,1.2515738,0.7747572,0.70757365,1.0721198,0.6546524,0.72141063,0.965592,1.4614091,1.427491,0.9216656,0.8934332,0.9322983,1.455238,1.1653211,1.4583889,1.0656457,1.1525693,0.96364367,1.0299424,1.3194201,1.1001554,0.82258415,1.0314215,0.9843894,1.0090553,0.79380506,0.8982025,0.81980515,1.3137408,0.8724639,1.5348948,0.9593178,0.6552534,0.82744074,1.2678462,1.1158309,1.1844463,0.9127114,1.3332828,0.8296162,1.0247594,0.9389645,1.1965356,1.0684614,1.0406895,0.840106,1.2295265,0.5823161,0.99315125,0.8550323,1.3257263,0.7175467,0.96355265,1.0357854,0.9405629,0.6141523,0.8076328,1.3375615,0.75093603,0.74447745,0.8227685,1.2421259,0.74257725,0.9940306,1.15907,1.3977418,0.7544755,0.58413607,1.1063619,0.5099033,1.0750031,1.0416132,0.9643241,1.4019282,1.2517554,1.0803468,1.2784395,1.3032749,1.1607847,0.87718797,0.7732128,0.81407857,1.0420401,1.3240781,1.299351,1.194309,0.79526293,1.2179083,0.8880755,1.1452498,1.2511976,0.81872106,1.0739639,0.67025447,1.3217031,1.2565293,0.82697767,0.8352711,0.67582995,0.7315521,1.099781,0.829817,0.645188,0.9411868,1.3017118,1.0365745,1.0357256,0.7637205,1.1606946,1.0366426,1.1986374,1.0239221,0.80611324,1.4091816,0.9963982,1.3392632,0.97745436,0.8197332,0.82615805,1.2992172,1.2514662,1.2121334,1.2098871,1.1889428,1.2251676,0.8751149,0.8359893,1.0245303,1.3177547,1.2974484,1.1726152
ankle,1.0001192,0.0,1.0144191,1.1974,0.7766932,1.0332634,1.0294962,1.036425,1.0332725,1.2998502,1.073323,1.1875228,0.80828005,1.0040458,0.97841847,1.1312102,1.0459496,1.2348752,1.1058866,1.067598,1.0417713,1.1137397,0.99902534,1.1882222,1.0913535,0.7917813,0.9434881,1.0613192,0.4326254,1.1235919,0.90484184,1.1244737,1.209175,1.1189812,1.0817857,0.87338364,1.00278,1.0603215,1.0161817,0.84853953,0.9999787,1.2254786,1.0465008,1.0538551,1.2028248,0.74451834,1.037855,0.99510413,0.83534694,0.8518045,0.87011665,1.0157712,0.6383704,1.1538601,0.5140136,0.9442105,1.1216456,0.35995948,0.7926887,0.9542417,1.1644735,1.1325921,0.69619405,0.45429444,1.1296736,0.7680089,1.0114892,1.1115409,0.7021367,0.9025499,1.1076082,1.0672116,1.1285274,1.1940984,0.9035764,0.92152596,1.0759621,1.1141124,0.45005637,0.93107575,1.0412779,0.68989545,1.0713956,0.660467,1.1871238,0.9156288,0.7891171,0.51282525,0.5270794,1.0288515,1.0951111,1.2802578,1.0261358,0.8193858,1.0269852,0.96774876,0.85188943,0.8814615,0.94584423,0.83784497,1.0335861,1.1076581,1.1972544,1.0981938,0.8230712,0.87508583,0.9637266,1.243278,1.2044389,1.0781295,1.2070484,0.95704675,1.0597547,1.0645573,0.51855934,0.6794687,0.97459984,1.2863892,1.2234043,1.2730726,0.5955328,1.1847899,0.9118827,0.44684958,1.1104932,0.9854888,1.1829941,1.0404675,0.9523789,1.1516551,1.3091818,1.0540372,0.4795341,0.7905302,1.1036054,0.8280755,1.1240754,1.2636759,1.2807941,1.0206392,0.9284631,0.5827851,1.1428199
apple,1.2196977,1.0144191,0.0,1.050165,1.3966845,0.23712575,0.34967512,0.84636956,0.9279848,1.4511158,1.325896,1.4843092,0.6435893,1.4021711,1.4190426,0.8456025,1.4787724,1.3894008,1.0125194,0.5696011,0.6751579,1.2501084,0.9163594,1.2653775,0.6835951,0.715634,0.6640235,0.9423328,0.7231827,1.2823327,1.2967315,0.67405653,1.3472509,1.2677324,1.2354038,1.1775628,0.92606455,1.0927085,1.3773365,1.2319664,0.46349275,1.483907,0.5353127,0.93230695,1.2473346,1.0406436,1.1806049,1.1810259,0.9800561,0.89281356,0.48687315,1.2988474,1.006077,1.1505618,0.6734657,0.72462475,0.9646587,0.97031736,0.7800506,0.629236,1.1903448,1.2724346,0.6439393,1.1845847,1.0460726,0.48721486,1.189954,1.1230359,1.1894195,0.529937,1.104917,1.3094667,1.3772613,0.8831959,1.427555,1.185647,1.3054593,0.7194022,1.1502202,0.89681375,0.9230413,1.1650991,0.94109935,0.90410984,0.8882267,0.3979169,0.80310476,1.0059618,0.7531266,0.26207113,1.3340918,1.1197678,1.4980738,1.4087042,1.2071588,0.5608771,0.55876696,0.69023794,0.9600025,0.81059176,0.9361056,0.75330925,0.47757506,1.0104353,0.6495218,1.4354427,0.77874035,1.2999418,1.2299166,0.78724676,1.2257665,1.4689887,0.7546003,1.4254516,1.2916287,1.1374353,0.6911928,1.3023291,1.2096311,1.4384134,0.5897441,1.1459446,0.46876967,0.92756736,1.068049,0.56098735,0.8801619,0.38956535,1.205441,1.4130378,1.3904061,0.49647468,0.58289105,0.6375421,0.7824718,0.93384457,0.36261117,1.2329179,1.1641752,0.8075961,1.0167223,0.64473736,1.2116889
applesauce,0.976608,1.1974,1.050165,0.0,0.89119136,0.9756112,0.875046,0.8641323,1.1514424,0.7690189,0.9397771,0.7854984,1.3268518,1.0314133,0.6642662,1.0586911,0.86270916,0.82192904,0.94683886,1.2357961,0.95364666,0.8343929,1.0849073,0.9339175,1.1244253,1.3207575,1.291607,1.1861658,1.2109119,1.0051061,1.1862965,1.101999,0.9760311,0.8784094,0.78346425,0.9185691,0.9634184,0.9215573,1.0592738,0.99550116,1.2466756,0.9077639,1.2142215,0.49093556,0.99602246,1.0375764,1.158044,1.0752285,1.1947694,1.2390879,1.0010929,0.9397966,1.0813919,0.92025244,1.1691437,1.3087279,1.0008374,1.1361341,1.2920203,1.0622109,0.87143844,0.7572193,1.2816141,1.0739454,1.1591015,1.0309901,1.0323933,0.72183555,0.86999696,1.2667224,1.0995003,0.8867201,0.90529126,1.1580298,0.94186896,1.1225084,1.018924,1.2135199,1.0728598,0.78938556,0.8666993,0.8625983,0.9463926,1.1032032,0.9505789,1.236745,1.340676,1.2200301,1.2381347,1.1411203,1.087183,1.023037,0.89247847,1.0485982,0.8358233,1.2662312,1.2914902,1.217567,1.1591458,1.3319204,0.9706568,1.242938,0.9756502,1.1336179,0.9633958,0.9442736,1.229698,1.0569614,0.8666109,1.0783322,0.81158745,0.9052998,1.1977034,0.9180303,1.037636,1.1238216,1.2666476,0.8885289,0.7779064,0.75485945,1.2851186,0.97801703,1.2268772,1.1125528,0.87227213,1.2971594,0.98472977,1.2096127,1.1653954,0.8667785,0.53116274,1.0807502,1.2581093,1.16003,1.1121274,1.3046436,0.9719452,0.5337126,0.9804006,0.95710146,1.2952119,1.2802069,1.0024077
arm,0.7414892,0.7766932,1.3966845,0.89119136,0.0,1.3488315,1.2399869,0.90852344,1.3223437,0.665035,0.74727505,0.6091239,1.3476586,0.74217606,0.44074273,1.1995633,0.6015389,0.73159325,1.134873,1.4612904,1.4484967,1.0107268,1.0340078,0.96063405,1.470423,1.2945175,1.456163,1.1615375,0.91121507,0.8552525,0.90449977,1.4936547,0.93312055,0.5603372,0.8596746,0.9109386,1.1963307,0.9098883,0.78346395,0.7382497,1.458923,0.8113905,1.4648522,0.96353805,0.88595235,0.8907203,1.0879585,1.0070434,1.0218486,1.0851063,1.1857271,0.75828964,0.9348181,0.84410536,0.78980905,1.3412684,1.2793924,0.69613874,1.2547189,1.2978318,1.0151398,0.67620265,1.226068,0.4714582,1.1221436,1.2179592,0.75994444,0.8207189,0.26466358,1.4698193,1.0795138,0.75699985,0.54019934,1.2853997,0.4351226,0.7667586,1.020003,1.5230305,0.7168255,0.84634626,1.084828,0.53016835,1.2117867,0.91892314,1.1555349,1.3786466,1.2952685,0.8335204,1.0423592,1.3684835,0.9888734,1.080811,0.45320135,0.52585435,1.0087764,1.3888757,1.3689202,1.2173287,1.0116428,1.2627633,1.1480417,1.3382784,1.4574908,1.2042458,0.9127208,0.59644204,1.4853882,0.98558956,0.8887352,1.2646344,0.81918395,0.4736141,1.3971125,0.4308691,0.7532426,0.5858393,1.2659898,0.79781955,0.88730913,0.6927601,1.3064618,1.06907,1.3254929,0.7041571,0.89965117,1.4564052,1.2114617,1.4260186,1.1365196,0.45186514,0.71267974,1.5149074,0.9843508,1.2130858,1.2568266,1.2309684,1.5452927,0.8949605,0.87518954,1.2161629,1.2732327,1.1894878,0.9862241
ball,1.2820922,1.0332634,0.23712575,0.9756112,1.3488315,0.0,0.19677567,0.9798076,0.9960651,1.4229791,1.329982,1.412583,0.8204272,1.4166076,1.3158473,0.90019464,1.380497,1.2846348,1.0291373,0.61838627,0.6673813,1.1880951,0.97666776,1.1327422,0.63419235,0.8775165,0.7855741,1.1082213,0.8811274,1.3402565,1.3021492,0.50405157,1.3796241,1.2436053,1.0964615,1.1884694,0.7206005,1.1517116,1.3687735,1.3575342,0.61844915,1.4667699,0.56163013,0.89815974,1.1330054,0.9827667,1.2154311,1.2204311,0.9718275,0.8957252,0.33474684,1.2454259,1.0331029,1.1356063,0.76812816,0.767772,0.7724073,1.0392045,0.95879424,0.74694204,1.1366462,1.2259741,0.8041445,1.0756264,1.1023197,0.5427685,1.2045615,1.1948631,1.1773981,0.5063521,0.9988201,1.2906867,1.3296974,0.8469039,1.4204335,1.3238609,1.2803885,0.7091981,1.1317538,1.0228235,0.8741764,1.0886467,0.96080315,0.9950253,0.8045274,0.47000206,0.87492245,1.0787507,0.8475306,0.33589858,1.3831226,1.0634376,1.4221421,1.4447883,1.0987186,0.72338724,0.7315053,0.8900465,0.90702724,0.92562866,0.92042726,0.84689564,0.6480309,0.9203809,0.3682713,1.3109604,0.7620935,1.3227801,1.186374,0.8135483,1.1420468,1.385624,0.8596699,1.3971037,1.2495334,1.1792104,0.6565356,1.2761362,1.2045755,1.3233423,0.66642964,1.194153,0.6539764,0.8440244,1.0914944,0.5905511,0.9407391,0.40219402,1.2762201,1.381363,1.27522,0.47383898,0.685906,0.831465,0.73756975,0.9541621,0.29455745,1.1696626,1.1394885,1.0088732,1.099008,0.74470943,1.2207621
balloon,1.2093344,1.0294962,0.34967512,0.875046,1.2399869,0.19677567,0.0,0.9152132,1.0771213,1.2583979,1.2702732,1.2843721,0.9850287,1.1820623,1.1765845,1.1207786,1.2658266,1.2202498,1.0284401,0.80398315,0.719041,1.0407043,1.0656401,1.02666,0.7705618,0.9635521,0.8953687,1.0765207,0.9288118,1.3061957,1.1117452,0.6877287,1.3244457,1.2005051,0.97140574,1.0853903,0.81617475,1.1204087,1.2145268,1.2765046,0.83717906,1.3020546,0.7339549,0.7100616,1.1601347,0.969182,1.0786984,1.0669906,1.0640379,0.90150726,0.45473772,1.2280589,1.0894959,1.1555573,0.8324359,0.824389,0.87963736,1.0479964,1.0042629,0.8260886,1.072058,1.0337591,0.9937822,1.0039165,1.0376062,0.5056743,1.1957172,1.1580011,1.0849507,0.69199413,1.0348371,1.1294365,1.2785697,0.94549984,1.3020165,1.1432934,1.1727535,0.84013665,1.1266855,0.86486316,0.78376997,0.9451735,0.9979253,0.9643463,0.86119825,0.7501311,0.9391479,1.0650709,0.8867317,0.50518537,1.249005,1.1341361,1.309428,1.2839822,1.042734,0.94468206,0.90804815,0.8960059,0.95352066,0.9391704,0.96469736,0.9755638,0.8164659,0.97315896,0.47873902,1.153374,0.8912931,1.1946365,1.1916394,0.8409508,1.1909525,1.3225993,0.9683309,1.3210095,1.1710782,1.1520915,0.7736032,1.2060469,1.0293188,1.1898608,0.8583366,1.1856284,0.8617407,0.82133126,0.9644395,0.7795482,0.9535519,0.6275218,1.1968238,1.3001105,1.1663942,0.66536653,0.8325455,0.93365604,0.8537705,0.99920076,0.4371289,1.0095904,1.073734,1.0318745,1.0929,0.92326355,1.1493148
banana,0.70532864,1.036425,0.84636956,0.8641323,0.90852344,0.9798076,0.9152132,0.0,1.0791672,1.015085,1.091478,1.049417,1.2768198,1.0824664,0.7526876,1.1132293,0.98854643,0.83598876,0.9656699,1.2226375,1.0468874,0.9402221,0.82296294,1.027023,1.2172934,1.2431602,1.3458636,1.170469,1.0001861,1.1829927,1.2460229,1.09072,1.1028255,0.93804044,0.80455387,0.77598333,0.9200885,0.4469058,1.1751455,0.70971394,1.1483905,1.0751559,1.234081,0.7413058,1.0020542,0.9283239,1.2448438,1.1345987,1.1157936,1.0289314,1.0856844,0.9997101,1.039464,1.0235914,1.0527256,1.0658216,1.0357103,0.9923233,1.0837598,0.6834133,0.9344477,0.89947474,1.2299145,0.7818092,1.1799706,0.80184174,1.0772791,0.7090505,0.8270012,1.1399105,1.0817505,0.8968019,1.0260187,1.1441135,1.0474659,0.9709788,1.1216019,1.2037125,0.99830675,0.42209506,0.8720552,0.6263394,0.96180725,0.948889,0.86374915,1.218339,1.1419206,1.0102304,1.1882298,1.0620404,1.2640442,1.010792,1.0404992,1.0964258,1.0196859,1.1878119,1.1292489,1.1019485,0.9805382,1.3208877,0.82703644,1.1246877,0.9637494,1.0739927,0.9422734,0.8766429,1.2087111,1.2243131,0.99780947,0.91701424,0.8012175,0.976544,0.913738,1.0279275,0.8875823,1.1356122,1.1119007,1.1116977,0.97180355,0.92121184,1.0960768,1.0540296,0.97505903,1.0393586,0.7921026,1.1818914,1.0718125,1.2036002,1.0525973,1.0355433,0.9435641,0.89241743,1.1384518,1.1178608,1.0109254,1.2072268,0.87857264,0.7623147,1.0775696,0.8722968,1.3295429,1.1158246,1.1770214
basket,1.1784941,1.0332725,0.9279848,1.1514424,1.3223437,0.9960651,1.0771213,1.0791672,0.0,1.3030994,1.1405342,1.2458491,0.7523802,0.9460703,1.3681266,1.0152099,1.143686,1.3325866,0.7350213,0.71444744,0.67407155,0.6869899,0.5845267,1.0982935,0.6591283,0.9182977,0.62801754,0.9475826,1.0263417,1.2240813,0.75903475,0.8110113,0.9018614,1.2526914,1.1200542,0.78565085,0.85591596,1.1237414,0.9932073,0.6629665,0.72893053,0.90338707,0.7130174,1.2298632,1.2802567,0.9211686,0.887416,0.65727305,0.86818594,1.1796896,0.96231276,1.2443609,1.0729232,1.2918587,1.0910634,0.8685952,0.9467543,0.8968482,0.7266139,0.9780585,0.998342,1.2287642,0.93995935,1.1528771,0.93898076,0.9911761,1.3028656,1.1971922,1.3279114,0.8324988,1.139362,1.0181018,1.3554657,0.68320584,1.336772,0.9679142,0.6211344,0.67869186,1.0781815,1.2232587,1.1985576,1.2331762,0.91042775,1.1355457,0.69160944,0.8620756,0.6567774,0.90721864,1.0644622,0.8871433,0.84411013,1.0280825,1.2876124,1.1903065,0.984453,0.7709143,0.71866244,0.78661263,0.9578898,0.67021304,0.7633546,0.76360285,0.8009937,0.98952925,1.0484611,1.1669357,0.63337106,0.97657275,0.9441643,0.9274836,1.173914,1.2625268,0.7731679,1.3886665,0.9635465,1.2125759,0.75239366,1.2821426,1.152725,1.2040985,0.73078775,1.0204189,0.8835213,0.956145,1.3059295,0.7690966,0.9792851,0.7989231,0.8062813,1.3851169,1.193438,0.62463856,1.0007652,0.95989054,0.88915056,0.700479,0.72953355,1.0500219,1.1465079,0.8535939,0.66873163,0.7669379,0.99344856
bathtub,0.92379326,1.2998502,1.4511158,0.7690189,0.665035,1.4229791,1.2583979,1.015085,1.3030994,0.0,0.63505113,0.36835808,1.4581268,0.59106666,0.6093469,1.1719698,0.5870804,0.43497008,1.0789747,1.4283359,1.080943,0.8028313,1.1399285,0.70591867,1.312798,1.3811488,1.3991323,0.9648632,1.3918638,0.6087383,0.7930755,1.3169808,0.5189283,0.75100946,0.6375636,1.0033363,1.1803057,0.95389545,0.64098936,0.9319962,1.4866582,0.510057,1.3642306,0.8404428,0.7666291,1.3190558,0.74916416,0.70771194,1.2391989,1.2338445,1.340127,0.6392752,1.1544443,0.859775,1.3883394,1.3248527,1.0754308,1.330369,1.4032247,1.3696643,0.8810464,0.67614836,1.4136913,1.1655526,0.9361949,1.4859812,0.8767599,0.8087933,0.9058693,1.5165567,1.0569742,0.6773808,0.66933846,1.2326189,0.62072384,0.7949629,0.7963085,1.3186806,1.0861309,0.9026033,0.8352817,0.9721295,1.160851,1.1780692,1.1076038,1.4885939,1.4157176,1.3036695,1.3942924,1.4408616,0.6872534,0.7673078,0.62111723,0.7605047,0.89338773,1.3922801,1.4970627,1.2732406,1.1932572,1.2822137,1.2028558,1.2788048,1.1103854,1.1866152,1.2315537,0.75294185,1.3201828,0.5177949,0.72214454,1.2311715,0.8670243,0.64962965,1.351559,0.64142275,1.0650724,0.9399923,1.337589,0.39532137,0.3489635,0.42274773,1.5428908,0.8197452,1.4229832,1.3124762,0.75193375,1.4052663,1.0887299,1.4878992,1.1293354,0.62031925,0.39697117,1.3955595,1.5169361,1.3030355,1.273988,1.3578072,1.4824803,0.5405552,0.7251929,1.3051953,1.1502953,1.5258648,0.6554672
