,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window,zebra
alligator,0.0,1.1369306,1.4226031,1.3582221,0.48481214,1.4796922,1.3403952,1.0548421,1.1661897,0.81690836,0.7608982,0.43379223,1.451148,0.6525111,0.43725199,0.85610735,0.44068182,0.6121995,1.0577598,1.5634648,1.4005159,0.8926239,0.90094656,1.0876637,1.4559789,1.0816543,1.5334388,0.82818556,1.2427475,0.51154435,0.77191687,1.0017885,1.4466414,1.1360499,0.7283173,1.4379232,1.0859164,1.2223219,1.155715,0.6189093,0.6239592,1.6177025,0.571106,1.6395808,0.99867517,0.47959578,0.9071328,1.0603558,0.96698064,0.5867158,0.99542797,1.3183601,0.7954025,1.1665132,0.8366911,1.265339,1.1462592,1.155755,1.0477238,1.4447036,0.7376623,0.7855449,1.3971128,0.65067136,1.0215693,1.10531,0.7302532,1.3567839,0.71420264,1.4244366,1.1832057,0.7978864,0.8379648,1.37657,0.36648887,0.9918902,0.9142132,1.4719727,0.9849251,0.5655838,0.8478327,1.1286545,0.3846795,0.6002247,1.082057,0.49885714,1.5572522,1.1560638,1.1703116,1.1141032,1.4790952,0.98544014,0.6943319,0.43272072,0.4097321,1.0320807,1.5352683,1.5213548,1.0850924,1.3272269,1.0591128,1.2313002,1.4550226,0.87211967,0.63597894,1.2894757,1.0833579,1.0498457,0.73258775,0.6982427,0.831509,0.46651983,0.7629211,0.81703365,1.2896502,0.81248677,1.1409975,0.5733036,1.3177485,0.8863373,1.5390902,0.98472065,1.0242628,1.5101259,0.97227496,1.4908931,1.225187,0.69371843,0.44183624,0.5864241,1.5602877,1.2951655,1.3798938,1.2019274,1.3075398,1.440757,0.8500687,0.68193233,1.2999527,1.4102188,1.0563489,0.89569664
ankle,1.1369306,0.0,0.84253377,0.9031203,1.0903124,0.9133133,0.9427411,0.66135,1.0675914,1.2043465,1.0788556,1.2274448,0.79512334,1.0967739,1.0463336,0.5818072,1.1734663,1.2484982,1.2210877,1.045482,1.163877,1.1980455,0.7855393,1.2366823,1.0886534,1.1807176,0.9558799,1.1893072,0.5038445,1.1748664,0.9995667,0.8548018,1.2735366,1.292114,1.0147369,1.060542,1.0214665,0.59690654,0.7956965,1.0459522,0.963699,0.8023601,1.3212168,0.98095137,1.303487,1.203082,1.0370975,1.1950802,1.0874132,0.78439903,0.5098362,0.7274506,1.1944541,0.6305102,0.9919833,0.38275778,0.9318795,1.3038429,0.8096902,0.7267281,1.0111747,1.243984,0.60400337,0.73131615,1.1112733,0.9675862,0.8873084,1.1353761,0.81440747,1.0060633,1.177591,1.2885644,0.93267685,1.0172477,0.9580739,0.9597508,1.180582,1.196642,0.97257817,1.1324139,1.0189985,1.1516362,1.082051,1.2164494,0.6210779,1.164604,0.7232586,0.9700586,0.5440656,0.4576422,0.7542375,1.1465912,1.277295,1.1665736,0.932569,1.2429273,0.9857374,0.9865612,0.5897472,0.8830687,0.7686349,1.1792622,0.99650645,1.0951531,1.2689205,0.99524355,1.2400103,0.8215889,1.0233654,0.8895043,1.2028453,1.0589092,0.97023207,0.8931404,0.87799644,1.2387773,1.3008041,1.3017672,0.57024777,1.2332321,0.9788566,0.49242014,1.0151943,0.80622053,0.8541894,1.0160362,1.0831538,1.2224315,1.0881746,1.3306,1.0438105,0.306763,0.6715184,0.8755084,0.99301016,1.1221948,1.2970014,1.1485468,1.0969396,0.4572506,1.1816938,1.159404
apple,1.4226031,0.84253377,0.0,0.72431356,1.3678651,0.21202219,0.50586534,0.63609046,1.0054748,1.2701735,1.1664851,1.3910255,0.45721734,1.3231661,1.449542,1.0072118,1.4214326,1.263077,1.1203077,0.51173776,0.7242532,1.3186336,1.0182631,1.121186,0.823686,1.0146898,0.6546428,1.0695705,0.8564774,1.2205179,1.2865603,0.99020004,0.83087385,1.1773732,1.2530473,0.6306353,1.155221,0.61586004,0.79926085,1.2802296,1.2235792,0.39316225,1.4946986,0.39228135,1.2328173,1.1957835,1.1357856,1.2873766,1.2749795,1.2023685,0.93106043,0.4824459,1.1271639,0.8012546,1.1117278,0.77357703,0.726286,0.90714747,0.69567525,0.61747587,0.91113937,1.2263178,0.44743896,1.1836339,1.0793146,0.89701736,1.1969395,0.8641951,1.2667468,0.6941403,1.0605543,1.3271066,1.1572044,0.81433237,1.3667264,1.1532766,1.3307505,0.79697406,0.8738133,1.292974,0.865916,1.0815017,1.3572857,1.2386835,1.0123547,1.2742357,0.30549866,1.06352,0.8417255,0.9685434,0.4411533,1.2882664,1.1751833,1.4444169,1.3576866,1.2851968,0.5639871,0.59844345,0.6274384,0.7486738,0.84933585,0.7790117,0.3773017,1.089054,1.4004813,0.9022316,1.2229545,0.7789518,1.2434477,1.2155027,1.3432138,1.3904657,1.1315724,1.0658439,0.9029664,1.3694475,1.1302438,1.3618166,0.47719824,1.0545806,0.41126776,1.0041276,1.0888412,0.5431857,1.0748743,0.65023303,0.92647713,1.3541749,1.3507226,1.3747243,0.45911568,0.6608277,0.6984152,0.9562355,0.8726727,0.5513085,1.3277674,1.1951389,0.9311267,0.5524333,1.1866641,1.1125138
applesauce,1.3582221,0.9031203,0.72431356,0.0,1.3581827,0.8945573,0.8964742,0.9960049,0.8371351,0.93779796,1.2331463,1.2579428,0.48609495,1.0396924,1.4127043,0.9224967,1.308294,1.202722,1.0476357,0.5505687,0.7922352,1.0847108,1.0716636,0.98174274,0.7794565,0.9819725,0.37826347,1.09973,0.8141822,1.1767626,0.89327025,1.0274364,0.852106,0.9796198,1.0605139,0.4070704,1.0500395,1.0948858,0.8666767,1.0268849,1.3073385,0.54168963,1.1858805,0.5452893,1.1400225,1.2439872,1.1254795,0.9746326,0.9424911,1.1343374,1.1011174,1.035878,1.1255589,0.95222384,1.1818599,0.9422426,0.77852356,0.97388667,0.88958704,0.6763543,1.1544833,1.2418813,0.6253293,1.2526706,0.90908027,1.1417329,1.220772,0.9052009,1.3387868,0.8535899,0.9141415,1.1657251,0.9429337,0.76590705,1.3242493,1.0912355,1.038221,0.6973945,0.58739376,1.3539859,1.1160915,1.1137375,1.4504764,1.2176356,1.0414633,1.2802271,0.6954694,0.73275065,0.82598054,1.1201091,0.8344102,0.8690809,1.206414,1.3309401,1.3103434,1.0478034,0.60958964,0.664044,0.74219644,0.572245,0.9983408,0.8539591,0.63798726,1.2565477,1.3024228,0.6666013,0.8098647,1.0785031,1.2985108,1.2826874,1.262921,1.3273997,1.150672,1.1062927,0.79192764,1.2896739,0.84191334,1.2091491,0.718014,1.104933,0.42338973,1.0174644,0.97177523,0.64386606,1.2077069,0.6502803,1.1051854,1.1713517,1.3275472,1.2674025,0.84804404,0.888121,0.74980056,0.91692334,0.5817765,0.89909434,1.198057,1.1571677,0.7096356,0.7937973,0.95276207,1.0557481
arm,0.48481214,1.0903124,1.3678651,1.3581827,0.0,1.3660648,1.3030871,1.1152717,1.2831388,0.74527436,0.72797465,0.44913483,1.3441982,0.7702226,0.42443717,1.1168501,0.44282442,0.61711425,0.94425553,1.4589909,1.4012499,0.92255634,1.0521592,0.9659514,1.5168972,1.1838251,1.4928732,0.8573811,1.1518626,0.69253767,0.97399807,1.124885,1.3811389,1.132712,0.8710987,1.3746855,1.1079185,1.1313636,1.1265094,0.723922,0.7230359,1.4655473,0.73544085,1.5180697,1.0137849,0.73241436,0.8846393,1.078592,1.0306609,0.9469734,1.0616956,1.2630496,0.8565569,1.2341684,0.73171055,0.9527751,1.2835383,1.2241669,1.2129486,1.4032605,1.0842515,0.7637571,1.2947083,0.7012584,1.0544803,1.0254235,0.675967,1.3204195,0.34319365,1.3809495,1.2393311,0.81614965,0.81300175,1.3832567,0.398808,0.83078253,0.95784086,1.4403355,0.8913234,0.47396845,0.85759324,1.1993836,0.41774917,0.5583494,0.9490479,0.7201952,1.3841765,1.1983291,1.0397384,0.96823835,1.3965899,1.0796362,0.8564281,0.42338187,0.53690946,0.95804465,1.3651983,1.3436579,1.2298304,1.2940843,1.1213729,1.3519524,1.4148476,0.79818547,0.6754154,1.2634954,1.0857526,0.98755044,0.6472941,0.67168653,0.7767842,0.37925977,1.0390288,1.0719385,1.3721575,0.7504474,1.1412922,0.6095972,1.3589697,0.9030678,1.4221025,0.86161655,1.0985752,1.5241973,1.0398326,1.3809528,1.1483895,0.8934064,0.38719654,0.552198,1.4657707,1.0812452,1.201539,0.96995384,1.3441274,1.389684,0.8529582,0.86295736,1.2582757,1.2770836,0.9585678,0.9668379
ball,1.4796922,0.9133133,0.21202219,0.8945573,1.3660648,0.0,0.30597776,0.75385773,1.0524604,1.4371012,1.2356893,1.4081945,0.6506574,1.3429072,1.4214482,1.045867,1.4095802,1.2040187,1.130923,0.5686232,0.7063334,1.2873492,1.0485653,1.1440883,0.778527,0.9253367,0.76732683,1.1678814,0.9365542,1.3016845,1.3890611,1.1070457,0.6073138,1.1765239,1.2883626,0.6251346,1.1756498,0.5994268,0.8662981,1.3341002,1.2528183,0.5108903,1.536566,0.45825446,1.0285872,1.1579918,1.0743445,1.3067766,1.2778383,1.2542298,0.8754195,0.23193622,1.1912403,0.7392839,1.0835656,0.7650535,0.74648345,0.77561957,0.67633307,0.74897754,0.90820545,1.2183372,0.6075541,1.0848312,1.152171,0.7688687,1.195845,0.7284651,1.2531104,0.5430073,1.0680515,1.3009593,1.2136599,0.7882414,1.3980812,1.2576742,1.3648227,0.7727667,1.0292311,1.3046799,0.7941222,1.0282233,1.3088388,1.2737755,0.95991117,1.21064,0.32260585,1.150316,0.9253172,0.8740094,0.26935506,1.3790853,1.1220081,1.4274629,1.3874897,1.2107259,0.68137467,0.6930813,0.8481026,0.8599664,0.910143,0.8542484,0.5366647,0.8919383,1.3008757,0.9752018,1.3518894,0.82553315,1.2370586,1.2283868,1.3358471,1.4045582,1.0740968,1.1446464,0.87350976,1.3514426,1.1241872,1.3739748,0.5347086,1.0989614,0.51416886,0.9568592,1.0456355,0.5927489,0.99708927,0.6529988,0.7012925,1.3272903,1.3670208,1.3805778,0.3273419,0.6448298,0.735089,0.93058956,0.91327316,0.38856167,1.2491568,1.2500893,0.9792385,0.5589038,1.2295421,1.1440573
balloon,1.3403952,0.9427411,0.50586534,0.8964742,1.3030871,0.30597776,0.0,0.7014143,1.0114695,1.3509929,1.2149489,1.2859216,0.9377796,1.148591,1.2841564,1.0830688,1.2602701,1.1536193,0.93353605,0.7269231,0.6298682,1.0380753,1.0733937,1.1751683,0.7163168,0.82130754,0.81502223,1.1883966,1.0055907,1.3662074,1.1742587,1.129705,0.6115909,1.0944556,1.1515014,0.69722813,1.1398423,0.73895967,0.90137815,1.1356614,1.1658694,0.71227646,1.3388302,0.69755745,0.8972488,1.159693,1.0340886,1.2316242,1.2057899,1.2285761,0.9751355,0.35397655,1.2834469,0.97605985,1.1569793,0.9528816,0.79416007,0.7001933,0.7876601,0.97374094,0.7869743,1.2236297,1.0096462,0.95241606,1.2713091,0.66482466,1.2321147,0.66218626,1.2417523,0.50486326,1.0411148,1.182305,1.08843,0.8123021,1.3396362,1.3180715,1.2191576,0.82023424,1.1394324,1.3035262,0.59587646,0.8536172,1.1321336,1.2317853,1.0839508,1.0962583,0.73819697,0.963097,1.1393472,1.0296233,0.39174873,1.2195405,1.1086826,1.3437788,1.3636317,1.026175,0.8818307,0.8541206,0.7728786,0.84485245,0.9118036,0.7936281,0.55394214,0.6990328,1.0211841,0.9626351,1.2599413,1.1218998,1.1302905,1.165682,1.224454,1.3205023,1.0935271,1.2414167,0.74912035,1.2648544,0.95632654,1.1995962,0.8355006,1.1469722,0.70925,0.9335919,1.0168058,0.7272126,1.139372,0.85090923,0.62293583,1.2095281,1.2794514,1.2409991,0.5004784,0.88982785,0.8765691,0.9585537,0.80453956,0.36674964,1.0836499,1.2506173,1.0146501,0.9201483,1.2051663,1.1357485
banana,1.0548421,0.66135,0.63609046,0.9960049,1.1152717,0.75385773,0.7014143,0.0,0.88796335,1.2883667,1.1851662,1.2185404,0.92179793,1.1124278,1.0711669,0.7904105,1.2181478,1.2010183,0.91402733,1.0409726,0.84712344,1.0203073,0.6337211,1.2162659,1.0293353,1.1250542,1.0635712,1.1168995,0.72516656,1.285203,1.1438905,0.7072556,1.0421891,1.3100779,1.2728398,0.9572976,0.95034474,0.71825176,0.46613324,1.0554931,0.6977832,0.7060398,1.2673914,0.9195405,1.0335557,1.1358328,0.97578806,1.3851109,1.1010869,0.96060586,0.9022727,0.6257341,1.2267065,0.892316,1.1125016,0.78775764,0.6732171,1.0269463,0.8313385,0.7567483,0.544715,1.137078,0.9450176,0.76886094,1.211073,0.64066833,1.169599,0.9486197,0.9729259,0.9249539,1.202952,1.1690024,1.2000067,1.0716208,1.1783923,0.8833847,1.2301354,1.1463224,1.1621032,1.1248286,0.6737572,1.0543021,0.9598974,1.2130377,0.91692984,1.0228719,0.9231871,0.9533668,0.8848657,0.9724273,0.64404297,1.3032463,1.1820871,1.2908657,1.1512021,1.1165173,0.904634,0.8643448,0.4355842,0.8975359,0.74801576,1.024951,0.56263506,0.9328744,0.99507403,0.92727584,1.3809433,1.0660843,0.8913609,1.0095248,0.9621319,1.2740579,0.76430273,1.0642245,0.8394517,1.2946426,1.1252506,1.2020736,0.62649274,1.1425757,0.9884449,0.74636817,0.94364274,0.7889205,0.999884,1.016333,0.9889123,1.1435941,1.2151518,1.1888033,0.7283302,0.7744975,0.70568216,0.78025454,0.97351784,0.6832007,0.9745714,1.1951065,1.162508,0.83546716,1.2815799,1.1911935
basket,1.1661897,1.0675914,1.0054748,0.8371351,1.2831388,1.0524604,1.0114695,0.88796335,0.0,1.1361564,1.1558204,1.1529295,0.8439311,0.8437461,1.2606654,1.0840418,1.1625528,1.1019412,0.72604597,0.83050185,0.6803093,0.5925541,0.82414526,0.98441446,0.61535364,0.9256412,0.74248564,1.1822488,0.76617104,1.2934477,0.7592335,0.58364344,0.86694777,0.93015474,1.1232376,0.82930595,0.70762557,1.0874891,0.81093943,0.93890095,0.92942816,0.7862252,0.82115066,0.77958685,0.9734597,1.1727304,1.0490947,1.0068154,0.6252469,0.9905764,1.137784,1.0890446,1.1858929,1.1001942,1.2573826,1.1493561,1.015416,0.87859005,1.122077,0.80481184,1.0445397,1.1602117,1.0000266,1.2033632,0.99839294,0.9992276,1.2992951,0.8155935,1.2960136,0.9398707,1.0497301,1.0659776,1.1780223,0.733524,1.3265978,1.0018691,0.8384933,0.8462475,1.0737336,1.1849089,1.1363784,1.0068817,1.2715176,1.2482893,1.1395322,1.0434113,1.0191678,0.8603504,0.9902201,1.2101772,0.9955553,0.8021141,1.0875328,1.2252017,1.1836118,0.90306675,0.8728383,0.86453104,0.9409124,0.8443829,0.9569139,0.8176907,0.79617,1.1472464,1.0005758,0.67286533,0.96284115,1.1377156,1.1325856,1.2078329,0.9766897,1.3232255,0.7347925,0.90578425,0.87984097,1.1700933,0.7700723,1.0357383,0.7746802,1.153181,0.9211231,1.0921832,0.8385178,0.8918763,1.1336117,0.84520733,0.9199339,0.93118656,1.3006988,1.042709,0.7494555,1.0844038,1.0611266,1.0187032,0.78656006,0.7517834,0.84482616,0.98052263,0.8518124,0.9584725,1.0384129,1.1524787
bathtub,0.81690836,1.2043465,1.2701735,0.93779796,0.74527436,1.4371012,1.3509929,1.2883667,1.1361564,0.0,0.7919738,0.531844,1.1682746,0.66776395,0.8787647,1.1079677,0.7486074,0.68032944,1.0563459,1.3246408,0.9888248,0.82070607,1.2028346,0.68101233,1.20712,1.1806207,1.0757865,0.63823646,1.1776776,0.57659876,0.7040855,1.1420776,1.2429926,0.8975804,0.9503915,1.1170939,1.1008751,1.3020277,1.1095651,0.66932535,1.025204,1.2968652,0.60252243,1.2661211,0.9873397,0.9392284,1.1235182,0.57682145,0.65608835,1.0485876,1.2543428,1.3614175,0.7406024,1.2136983,0.9280155,1.3121694,1.1490698,1.2187309,1.1954088,1.135188,1.304697,0.8196837,1.2071017,1.3456683,0.6673732,1.3910451,0.9062968,1.2556089,1.0015006,1.3598714,0.9900206,0.66943693,0.90084016,1.3038559,0.71624726,0.8120968,0.709194,1.0610567,0.8560433,0.9253642,0.99202484,0.97247535,0.9845639,0.6950978,1.1547292,0.9738676,1.3283858,1.0163965,1.197138,1.2556396,1.3399575,0.66392547,0.9008042,0.7591818,0.8325015,0.957729,1.097065,1.1209012,1.0618129,0.9932348,1.2780269,1.2143438,1.1091187,1.026449,1.0223451,0.9321416,0.45743865,1.1737559,1.0389502,1.0353093,0.85876364,0.7667078,1.2678721,1.1606221,1.1382635,0.5618691,0.6924185,0.58251965,1.4428036,0.62953424,1.1553123,1.2155192,1.0149393,1.2025595,1.2546638,1.2005165,1.2620175,0.919008,0.7151563,0.6085007,1.3473097,1.397793,1.2529323,1.1647966,1.157833,1.4534657,0.91452146,0.69848955,0.9295175,1.3814602,0.6011692,0.75143045
bear,0.7608982,1.0788556,1.1664851,1.2331463,0.72797465,1.2356893,1.2149489,1.1851662,1.1558204,0.7919738,0.0,0.7503554,1.1453625,0.9890265,0.74853384,1.1870652,0.5866412,0.78384316,1.109038,1.2751579,1.2534238,1.0773478,1.1267238,1.0848517,1.2612256,1.040032,1.2536769,0.68633413,1.0805331,0.6113606,1.1124978,1.0495096,1.2050784,1.0997396,0.78157604,1.3244941,0.9762295,1.0484982,1.0918648,0.9441584,0.9519171,1.2771947,0.89371145,1.2955258,1.0606306,0.8829751,0.9899157,1.0179371,1.1101501,1.0554205,1.0586181,1.2473934,0.4284212,1.1603816,0.92478204,1.1244771,1.1195316,1.146041,1.0957942,1.2298036,1.0790689,0.7674823,1.110916,0.9581639,0.7422371,1.2174888,0.8959917,1.1561382,0.8950618,1.195071,1.038452,1.0190448,0.6133707,1.1983739,0.60157603,1.0755558,1.0403289,1.1582413,1.1958749,0.7361157,1.1005162,1.0565257,0.7669438,0.72512764,1.0547934,1.029516,1.1982744,1.1372666,1.0008224,1.0583489,1.2664329,1.0269109,1.0055037,0.51751125,0.70178473,1.0301119,1.1734757,1.2102605,1.1172392,1.1939158,0.937736,1.1240778,1.2563887,1.1079715,0.9609655,1.2144686,0.9771466,1.0948681,0.8541112,0.5146011,1.0727208,0.5442966,1.0954758,0.93485874,1.323925,0.88527894,1.1091275,0.78507763,1.3039315,0.85382277,1.2279617,1.1082006,1.1279309,1.2875857,1.1491611,1.2794473,1.1763176,1.0210618,0.57439935,0.8386755,1.2948728,1.190014,1.218512,1.2438012,1.1450874,1.3084526,1.0243031,0.71630514,1.197882,1.1711822,0.9552855,0.6498226
bed,0.43379223,1.2274448,1.3910255,1.2579428,0.44913483,1.4081945,1.2859216,1.2185404,1.1529295,0.531844,0.7503554,0.0,1.4461958,0.30205393,0.43474555,1.1196775,0.18707442,0.43456852,0.905243,1.4926648,1.2687606,0.7178741,1.1705914,1.0094489,1.4571234,1.1424268,1.4686408,0.7682171,1.3230007,0.60293466,0.6509489,1.2018863,1.3627759,0.98597074,0.8552543,1.3476186,1.1642283,1.3392334,1.2334213,0.2861017,0.75052166,1.5621834,0.3900277,1.5506746,0.8580857,0.69666505,0.9390393,0.90202945,0.8542127,0.9494186,1.249584,1.3682456,0.74617475,1.3146482,0.80706906,1.3479466,1.3439066,1.1559879,1.1774805,1.5655643,1.0726095,0.78519243,1.4392717,0.93281406,0.8653463,1.1341355,0.7797481,1.3553823,0.8222351,1.380805,1.2947311,0.7353687,0.8168211,1.372935,0.36772472,1.0519079,0.75847447,1.416463,1.014331,0.7291214,0.8212407,1.121076,0.46694624,0.50409544,1.1237129,0.6891052,1.5076549,1.1259131,1.3004832,1.2001922,1.4787116,0.9215702,0.76119334,0.35986674,0.57161784,0.9261413,1.4810061,1.4440742,1.1796446,1.1810603,1.1535141,1.3211163,1.4067731,0.9529226,0.5986394,1.2680694,0.9046469,1.1740344,0.85432947,0.7413434,0.90008277,0.44785064,1.1106585,1.1393137,1.4078107,0.6255388,0.9496134,0.21919322,1.507959,0.86644983,1.4045382,1.0714632,1.0178461,1.6160176,1.1376877,1.4531302,1.2031091,0.63954335,0.3887391,0.36043668,1.4919525,1.4272515,1.399632,1.20707,1.2049469,1.3548169,0.7378386,0.5677625,1.2580948,1.4944224,0.83656466,0.862796
