,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.2040327,1.1980152,1.111936,0.6088967,1.1884017,1.3390404,0.88921213,1.279788,0.7349446,0.93420154,0.48583257,1.4593909,0.8876495,0.5172534,0.60893524,0.56899595,0.6466812,0.63185877,1.4286828,1.4267006,0.8922109,1.1682397,1.3746433,1.2088562,1.5308002,0.85439205,1.3923242,0.93855405,1.18514,1.3110778,0.81427675,0.7486839,1.1500751,1.0082443,1.2970556,1.102049,0.8650409,1.0903671,1.4915997,0.6964879,1.400131,0.7011788,0.8975133,1.1358379,1.3162954,0.86482316,1.1528463,1.3463997,0.85110444,0.8436587,1.3660343,0.9952186,1.1237959,1.2181702,1.329196,0.49175477,0.5611436,0.7590445,1.4906845,1.1320257,0.9793243,0.9108187,0.97764325,1.009103,0.83541965,1.4361706,0.84154433,0.71716464,0.69409126,1.1192876,0.7970375,1.2095511,1.1922188,1.3269191,1.425504,0.8724749,0.8657661,0.7611911,0.9344202,1.161376,1.0393571,1.4429684,1.5279212,1.3338645,1.4018593,1.3498306,1.3087229,0.7416556,0.61272866,0.93845147,0.71740335,1.4204538,1.4649926,0.79817927,1.0578836,0.95787245,1.372386,0.50192946,1.1340247,1.0448487,0.82877475,1.0638877,0.8306016,1.3463565,1.2893544,1.1129534,1.2580353,0.7277875,0.5839103,0.7910996,0.6707669,1.0080408,1.0244185,1.2606225,0.9058278,0.97899216,0.65413225,1.2014377,0.9214272,1.34321,1.0762963,1.2584553,1.4217343,0.8313554,1.2149724,0.7120418,0.74963266,0.5783061,1.3090191,1.4084039,1.2613392,0.9086226,1.4344366,1.0758665,0.5723731,0.59966636,1.1443405,1.5211112,1.0666337
ankle,1.2040327,0.0,0.9773391,0.9730925,1.1660054,0.7962681,0.84130836,1.1879485,0.81606823,1.2664557,1.0545592,1.2377264,0.93716466,1.2534733,1.1789106,0.9308561,1.1395478,1.1373317,0.9629461,0.96717936,0.9400933,1.011811,0.7752762,0.8137315,1.151467,0.87365675,1.2832294,1.1147594,1.2237228,1.0446426,0.69755566,1.1329435,1.1472571,0.98580873,1.0804262,0.8404686,0.85638785,1.2345378,0.92517245,0.9709398,1.23516,0.89043975,1.0643305,0.9703336,0.87934464,1.0142022,1.0553652,0.9781461,0.7887909,1.0241126,1.2589316,0.8394094,1.1059439,0.6968322,0.9497419,1.058333,1.030171,1.0457665,1.0082248,1.0580091,0.5373822,1.12179,0.982653,1.252269,1.122394,1.0406367,0.9737447,0.91815704,1.1369423,1.1780988,1.055133,1.1755972,1.0563586,0.8814389,0.8183346,0.93980926,0.94523525,1.0804561,0.8698882,1.1224892,1.0452881,0.9781477,0.9545943,0.8424545,0.91122025,0.86783576,0.8230663,1.037479,1.1022366,1.1730642,1.1900083,0.9253378,0.90650195,0.90671754,0.66483665,1.0660748,0.83001536,1.0030912,1.2342229,0.7969623,1.054566,1.0030866,0.66141224,0.9864828,0.96973,0.9093417,1.0796053,0.96388924,0.96069276,1.1830255,1.1749517,1.2581832,0.6227702,1.1688303,0.8750342,1.1641784,1.3069111,1.0044894,0.6558124,1.1574296,0.78397655,0.40402126,0.90268004,0.9297039,1.1982925,1.0108088,1.1321447,1.2179676,1.2421031,0.817822,0.8433769,0.91405475,1.1826376,0.80874443,0.8450213,1.0742131,1.1545428,1.0641584,0.764482,1.0934039
apple,1.1980152,0.9773391,0.0,0.753631,1.4037471,0.27087396,0.34657854,0.83400124,0.9821134,1.4112858,1.1647975,1.4175923,0.8415447,1.3462656,1.3319147,1.3135005,1.4394901,1.2013699,1.0066898,0.66525185,0.79400945,1.1766303,0.7923548,0.8197863,0.775565,0.8482686,1.1952915,0.7681239,1.3271022,1.3039589,0.83307385,1.3681674,1.1260756,0.5987196,1.2659096,0.6449227,0.83366525,1.4011565,0.9272696,0.59098893,1.4441133,0.6246414,1.1306615,0.89357847,1.2227595,1.0234416,1.1473563,0.8054615,0.35335577,1.2171849,1.0854862,0.6526084,0.67937875,0.84902525,0.99198955,0.9860096,0.92756265,1.1436292,1.2205505,0.72386247,0.9169125,1.1330053,0.6304892,1.090035,0.8278657,1.086756,0.56709373,0.9143539,1.221875,1.3686434,0.99557453,1.4094292,1.1788895,1.2158897,0.90536696,0.8546306,0.6265723,1.1139481,0.97116345,1.2078778,0.8299817,0.8706316,0.48844612,0.9401162,0.9309942,0.75210524,0.35165155,1.2143543,1.1884265,1.4116279,1.320101,1.210808,0.80989194,0.72295463,1.0489984,0.825629,0.87839156,1.0404824,1.0956731,0.9064503,0.85584134,0.880854,0.8227866,1.2992465,1.0374976,0.75099957,1.405963,0.94491315,1.1057847,1.3422763,1.1677556,1.3477706,1.121547,1.2534436,1.0997392,1.2699616,1.3591598,1.2953275,0.9226674,1.1787933,0.57301855,1.0919226,0.50499105,0.89426327,1.1690769,0.46517807,0.9948701,1.3249555,1.4376049,0.6508606,0.6668557,0.882314,1.074497,1.0008347,0.5325205,1.1892718,1.0701501,1.227646,0.71586585,1.2192644
applesauce,1.111936,0.9730925,0.753631,0.0,1.0797954,0.820963,0.8663442,0.6728615,0.91341126,1.2108908,1.0927502,1.1003504,0.8664651,1.1220082,1.1445229,1.1393626,1.0892277,1.0704304,0.9185277,0.7317951,0.8049065,1.0737766,0.9465278,0.82989126,0.90542173,0.7570859,1.1053963,0.9289645,1.1973872,1.1471692,0.9702759,1.2841969,1.0742884,0.8819961,1.0380522,0.99974954,0.63642025,1.1587076,0.8825514,0.7324214,1.1695087,0.6253489,1.1696959,0.9871708,1.244641,1.0936773,1.1822547,0.96156603,1.03285,1.0942167,1.1271238,0.90231854,0.77709067,0.9234228,1.1637312,1.0212604,1.0821917,1.0213163,1.1471158,0.8527288,0.9101395,1.1568484,0.81678313,1.1828938,0.71281505,0.99214554,0.80577314,1.0922157,1.2285184,1.134542,1.116589,1.1787093,1.1345797,1.1093704,0.96615255,0.8359705,0.698421,1.0465289,0.8874674,1.0896578,1.0695784,0.71235704,0.8072699,0.8777271,0.8915896,0.9123772,0.9032927,1.0808908,1.1421844,1.1631277,1.2058012,1.0243187,0.8470591,0.7139659,1.0152175,0.73950356,0.9948968,0.87435293,0.9822652,1.001466,0.9667175,1.0869075,0.9962427,1.130499,1.0014669,1.1093669,1.2195938,0.9654143,1.1522532,1.2076945,1.1209822,1.1831903,0.995764,1.1402303,1.0181049,1.1296942,1.1598337,1.0697349,0.91608876,1.0834497,0.78381765,0.96505797,0.64287317,1.100697,1.0594051,0.9219939,1.0405711,1.168273,1.1460842,0.7956706,0.96429336,0.9533956,0.99013174,0.8414686,0.7892401,1.0828682,1.0186558,1.1886396,0.99827504,1.0850481
arm,0.6088967,1.1660054,1.4037471,1.0797954,0.0,1.3481425,1.4805639,0.79144645,1.4604223,0.57122827,0.5585493,0.3602758,1.3972867,0.7867297,0.30684364,1.0261872,0.50582254,0.8568546,1.1835474,1.4815592,1.5353315,1.1401302,1.0696087,1.4885464,1.3061724,1.5184342,0.8197837,1.2472028,0.59189636,1.0052819,1.467644,0.6611679,0.5329117,1.3113552,0.86095035,1.323404,1.1601943,0.55754906,1.1167037,1.5857612,0.63581204,1.5333569,0.76694876,0.70599914,1.0600389,1.3585324,0.5217415,1.153273,1.334368,0.57350796,0.75864553,1.1368505,1.4514334,1.3709444,0.92722106,1.3299098,1.1080076,0.8617894,0.69146,1.4287357,0.99648625,0.8838939,1.2109091,0.8013831,1.0632728,0.43346363,1.578301,1.2737179,0.7256783,0.33135736,1.0156279,0.33458447,1.0335021,1.2387109,1.4558656,1.3180139,1.0707185,0.81972903,0.72317684,0.9673976,1.1383975,1.0358632,1.3918349,1.507977,1.2072707,1.2468576,1.2968591,1.13814,0.82734466,0.20351183,0.49525476,0.9405025,1.4937677,1.4914902,1.2119702,1.1296556,1.2817032,1.2564088,0.6115167,1.34764,1.258399,1.2632918,1.0054244,0.5918002,1.3713481,1.138237,0.85205555,1.292166,1.0676978,0.42263436,0.8332874,0.29669142,0.9421564,0.5368976,1.1376729,0.7874582,0.6956383,0.8714912,1.0960941,0.87238634,1.4726343,0.76689184,1.4228731,1.3163662,0.8333176,1.4681537,0.9011421,0.3523842,0.47670704,1.541518,1.1545308,1.1277618,0.6853408,1.4046352,1.5021489,0.8646265,0.9573971,0.91308945,1.4489646,1.0123723
ball,1.1884017,0.7962681,0.27087396,0.820963,1.3481425,0.0,0.2333411,1.061897,0.9609336,1.3594352,1.0955328,1.3085699,0.9860793,1.3366587,1.2648491,1.1906433,1.291322,1.1433446,0.972963,0.6969565,0.8315715,1.1389472,0.81964886,0.76880753,0.88535094,0.88319755,1.2722487,1.0318507,1.3394785,1.3166016,0.6247041,1.3509607,1.0838203,0.6631992,1.3216553,0.55436057,0.8845619,1.3628516,1.0612535,0.7309859,1.372084,0.5873431,1.0586576,0.9344142,1.1725978,1.1386838,1.1413958,0.94281995,0.30431592,1.1097564,1.1087132,0.829427,0.82201385,0.6566615,1.1200193,1.1295276,0.96961725,1.071072,1.1380788,0.89005363,0.9334124,1.0897067,0.8289387,1.1218455,0.7903638,1.1842194,0.5976854,0.9444509,1.2628249,1.3196802,1.0294616,1.3842528,1.3391354,1.1674106,0.7925878,0.98336643,0.7840836,1.0552396,0.9382598,1.2226397,0.99661994,0.8045158,0.53437346,0.9719567,1.0256758,0.88046277,0.37457633,1.2485723,1.0631675,1.3428674,1.3520849,1.1242139,0.8373202,0.79777753,0.88657594,1.050527,0.97503304,1.0547211,1.2105544,0.91243726,0.85587054,0.870789,0.6303483,1.3050554,1.063784,0.8410152,1.3910753,0.9560278,1.0925843,1.2830036,1.2468376,1.3281277,1.0994611,1.2841464,1.1024818,1.197102,1.4195284,1.1344047,0.9674655,1.1437691,0.49220467,1.0152649,0.5017085,1.0121354,1.1387832,0.6505291,1.0007904,1.2655139,1.3669267,0.61294633,0.8183824,1.0243926,1.0836799,0.9580367,0.50137246,1.060233,1.0674853,1.2114105,0.8390587,1.201178
balloon,1.3390404,0.84130836,0.34657854,0.8663442,1.4805639,0.2333411,0.0,1.1496532,0.8399302,1.382158,1.2064565,1.4049973,0.8438356,1.2717801,1.4082959,1.23294,1.3834468,1.1732846,0.9855591,0.6016756,0.70286834,1.134141,0.9179866,0.67598987,0.729433,0.6877367,1.2986813,0.8659182,1.343301,1.1603385,0.65358704,1.3798475,1.1250142,0.71309245,1.2836552,0.6064402,0.9495299,1.324566,1.1248944,0.5882717,1.3785369,0.52431995,1.1799494,0.99866074,1.1479764,0.9759359,1.2610977,0.91843295,0.30424356,1.1942521,1.1666791,0.7602486,0.7673353,0.7336168,1.0833116,0.99542016,1.0638504,1.1240959,1.1949581,0.74425685,0.9214508,1.1051228,0.8580414,1.128119,0.8844289,1.2877479,0.47780645,0.8917696,1.3097036,1.3884705,0.98287517,1.4245335,1.2231109,1.0630851,0.74580204,0.85525143,0.87781864,1.1286255,1.0558522,1.197944,0.8892714,0.88235164,0.48488945,0.73168504,0.9316402,0.77991223,0.41160297,1.0879902,1.1535294,1.4442797,1.3481991,1.2227827,0.7299576,0.70012987,0.9492681,1.0800539,0.9008471,0.8853697,1.3254302,0.84683764,0.92971206,0.8376725,0.8333679,1.4095788,0.9248209,0.81201327,1.2761374,0.76680833,1.0632613,1.3820758,1.2984,1.3952115,1.1963241,1.2864591,1.0147681,1.2192409,1.3568802,1.1377141,1.0456727,1.1152205,0.39324462,1.0870099,0.51040435,0.89162093,1.1723999,0.46744,1.0461031,1.3275783,1.4412873,0.60378766,0.75836587,0.9202072,1.1247536,0.7732537,0.53459215,1.2228916,1.0927824,1.0923707,0.72731197,1.1206077
banana,0.88921213,1.1879485,0.83400124,0.6728615,0.79144645,1.061897,1.1496532,0.0,1.2280406,1.0185248,0.9830057,1.0127822,1.1662142,0.93214476,0.8567978,1.1343194,1.0067583,1.0070653,1.1193229,1.2769516,1.2084903,1.131786,0.65661794,1.1574969,1.046481,1.3696613,0.8283573,0.8812975,1.0294608,1.1563776,1.3128668,1.109692,0.9278764,0.95297587,0.6184847,0.9612537,0.61998266,1.026044,0.4651577,1.1085838,1.0459045,1.157832,1.0340656,0.77429163,1.3284521,1.2016964,0.90294516,0.96340245,1.0557784,1.0810173,0.9596076,0.971967,1.075942,1.2978294,0.8032141,0.95587015,0.95604604,1.0675828,0.8992944,1.1828289,0.9314341,1.0770711,0.6666044,0.96067387,0.95405567,0.6628909,1.1453893,1.1811019,0.742345,0.9877611,1.0195131,0.91788626,0.9295128,1.2234756,1.4234382,1.2059206,0.57768583,0.95350796,0.5917181,0.9812947,0.8852755,0.8266568,1.1505517,1.1767102,1.0398413,1.1169187,0.8982465,1.286624,0.9499537,0.9205998,0.93214715,1.1357791,1.1570038,1.1255325,1.1667521,0.43847698,1.0944955,1.2616222,0.66806316,1.2989048,0.7828572,1.1613504,0.9797185,0.7510824,1.1835322,0.96541315,1.2554898,1.0752156,1.0841731,0.96376014,0.62925816,0.90774024,0.86485374,0.85902774,0.87600124,1.1023152,0.8623824,1.0617073,0.83367586,1.1002246,1.1344736,0.92396855,1.1056737,0.9015656,0.8175992,1.0775406,0.8870633,1.022352,0.92606086,0.9702731,1.0105841,0.8065931,0.6604168,1.2327508,1.0071363,0.97979975,1.006047,1.1293778,1.1488945,1.1946043
basket,1.279788,0.81606823,0.9821134,0.91341126,1.4604223,0.9609336,0.8399302,1.2280406,0.0,1.2277081,1.3774072,1.3022907,0.77685857,1.0071663,1.4142509,1.0221158,1.208197,0.93011713,0.7733624,0.65148175,0.5785748,0.6502738,0.95542866,0.55757153,0.87132967,0.525536,1.1664531,0.8622503,1.3073709,0.8196382,0.7042562,1.116045,1.2207694,0.9734201,0.88629127,0.7985346,0.76110935,1.1280676,0.8713268,0.633556,0.95448774,0.62991595,1.1817871,1.288627,0.8566847,0.7412958,1.3111261,1.118825,0.9917914,1.241864,1.2804489,1.072544,0.8652574,0.7244247,1.1121258,0.8465121,1.0399078,1.1272851,1.2225419,0.82593405,0.9848816,1.0292404,0.980687,1.255463,0.88862777,1.4467721,0.7151792,0.93568933,1.2274493,1.3564756,0.7858325,1.3921053,0.9879416,0.6892443,0.66191643,0.8099605,0.9483718,1.2388839,1.2808096,0.9979077,1.1005404,0.8899106,0.88326645,0.5093613,0.8538635,1.019224,1.0150065,0.7149336,1.0945905,1.4476033,1.349498,0.9714148,0.6797062,0.70214254,0.9935305,0.967529,0.8176005,0.76695347,1.1475742,0.63604033,0.88848853,0.9689426,1.0515292,1.2488825,0.6856067,1.0684829,0.9135947,0.8116037,1.0644825,1.2990038,1.1981858,1.3853815,0.96270543,1.3033415,0.8991496,1.055652,1.2182558,1.0689269,0.92305106,1.0712012,0.81430817,1.1270286,0.8028252,0.88939923,1.1161228,0.749676,1.0444647,1.3482612,1.1782736,0.62669885,1.0927349,0.9324149,1.1777741,0.5857645,0.6681082,0.90277106,1.0575964,1.0105563,0.773285,0.8943137
bathtub,0.7349446,1.2664557,1.4112858,1.2108908,0.57122827,1.3594352,1.382158,1.0185248,1.2277081,0.0,0.82939225,0.46154904,1.3544345,0.647501,0.7217457,0.9567618,0.61989087,0.65921724,1.0511171,1.371232,1.171723,0.75181293,1.289126,1.2165253,1.3088142,1.3036443,0.717721,1.2723843,0.62001187,0.7994343,1.2512817,0.45588255,0.74167407,1.1537592,0.8547709,1.3147812,1.1257942,0.655906,1.1383717,1.482764,0.49191904,1.2801046,0.95991206,1.0613257,0.79137504,0.96641964,0.85620445,1.2575357,1.3726382,0.7405731,0.8985988,1.3911092,1.4067341,1.22862,1.2611886,1.1857522,1.1905365,0.80026907,0.56401026,1.4061129,1.4297843,0.84922093,1.2541735,0.97957516,1.0091465,0.92148983,1.5171126,1.2136569,0.62434167,0.6225552,1.1139486,0.65307117,0.9328986,0.86083484,1.1384084,1.323962,1.0512865,0.73593295,1.0365334,0.8505961,1.2509718,1.0930896,1.3928049,1.385634,1.3278211,1.3508248,1.3939934,0.87470126,0.8922336,0.64732766,0.77777547,0.8472918,1.3480657,1.4215227,1.1512554,1.1728781,1.2383605,1.1310074,0.81758845,1.1911017,0.91135305,1.2354535,1.2038276,0.85051817,1.1116796,1.2445148,0.4912213,1.2314659,1.045627,0.74648565,0.7864394,0.7319201,1.1229187,0.9425759,1.0005763,0.37720478,0.3330502,0.7316574,1.3216807,0.66894585,1.3857493,1.1394234,1.2548746,1.2181426,0.87129074,1.3602183,0.9762853,0.6705131,0.3781845,1.1978544,1.4198143,1.2195158,0.80824107,1.3573058,1.3966655,0.6259454,0.8636709,0.75146115,1.4753492,0.7258457
