,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.070066,1.2749133,0.849856,0.6923717,1.0530989,1.3555511,0.6824944,1.3492699,0.76622856,0.7453323,1.2542093,0.89958835,0.7466794,0.75476956,0.81024355,1.4806285,1.3697736,1.0340403,1.2866344,1.1263118,1.373429,1.4847945,0.93555117,0.8948449,0.6110829,1.1011865,1.2107371,0.8428329,1.0217224,1.0769482,0.8935053,1.0663384,1.0014225,0.7905317,1.4347316,0.8754249,1.4462202,0.61232764,1.054036,1.0929112,1.2148566,0.79805136,1.1447371,1.3288918,0.8115592,0.8222592,1.1962241,1.0568252,0.9618306,1.0250539,1.0650599,0.4719866,0.87516737,0.7224356,1.4013387,0.956187,0.9220967,1.0918112,0.8699769,0.78087443,1.3202021,0.6477105,0.73229915,0.7959112,1.157555,0.80767554,1.3904381,1.0020643,1.255225,1.3199599,0.8271305,0.71531874,1.1270144,0.6501979,1.1035845,1.0742339,0.866308,1.3521596,1.3984998,1.3473661,1.0284176,1.02865,1.1333406,0.68868285,0.7769952,0.85646176,0.8261878,1.3040893,1.4223799,0.70909995,1.3354988,1.1424454,1.1696559,0.60415065,1.0949942,0.8572086,1.3672417,1.2435547,0.97000355,0.899253,0.822005,1.2422968,0.74884343,1.0394204,0.90878177,1.4321845,1.1427372,1.0839916,0.76730597,1.3712721,1.3954195,0.9578637,1.3847113,1.2989212,1.1343306,1.1342763,1.0998864,0.7382653,0.7124748,1.2462555,1.2618964,1.090069,0.9680874,1.3704803,1.1495633,1.0527494,0.8766548,1.0973947,1.4021533,1.1001897
ankle,1.070066,0.0,0.9767175,1.0907377,0.93681175,0.7902596,0.9665139,1.175214,0.8673836,1.1721325,1.2204666,1.0216771,1.2556169,1.2059566,1.2571903,1.0160373,0.8668208,0.9299061,0.9795684,0.9587088,0.95550686,0.82623756,0.8840165,1.0399905,1.145726,1.1520461,1.0992762,0.74858284,1.105826,0.987515,0.6730343,1.0735719,1.1551095,1.2042242,1.192949,0.98573583,1.1187737,0.81542397,1.0342919,0.99485505,1.0573124,0.94122213,1.1877422,0.9852046,0.8616444,1.1121469,1.1914784,0.83512175,1.0367564,0.9373808,0.45921528,0.82838,0.9882388,1.0670801,1.1075246,1.0413257,0.39230967,1.0332694,1.0043564,1.2181447,0.9865511,0.91607165,1.1248735,1.2134764,1.1850394,0.8465417,1.2654777,0.9652993,1.1163187,0.8145232,1.0148215,1.0455709,1.1426573,0.87457156,0.9003248,0.73755133,1.1123265,1.0339284,1.0481313,0.82426286,1.1407368,1.0301418,1.045696,1.0409925,1.199413,1.2311479,1.2605579,0.9570454,0.90177536,0.9705362,1.1450984,0.9415309,0.8610193,0.9068611,1.086221,0.8523694,1.013987,0.8325689,1.0227575,1.1085808,1.1107793,1.1114796,0.90174514,1.2782553,0.17318946,1.1962727,0.87710875,1.1190815,0.9620288,1.1892362,0.538627,0.8384491,0.16984278,0.76287967,1.1166732,1.1871614,1.0762265,0.69357514,1.2525961,1.17736,0.81874394,0.7365889,1.0842632,0.9600708,0.8580619,0.88865197,1.087294,1.0504724,0.9711855,0.7668334,1.0771048
apple,1.2749133,0.9767175,0.0,0.9674596,1.2918267,0.51815486,0.40056717,0.76793075,0.8337023,1.5014421,1.481996,1.0024011,1.3960212,1.3765789,1.4114823,1.0981209,0.52975607,0.6970997,1.170136,0.46964532,1.060508,0.79593015,0.89993733,1.1682172,1.1103679,1.3836501,1.307093,0.81359833,1.288533,1.0289444,0.9088265,0.8489687,0.7329849,1.3580866,1.0170015,0.44116074,1.466607,0.5348066,1.2462814,0.9358362,1.374591,1.109863,1.3160157,0.7711645,0.5581427,1.2762241,1.12446,0.6950052,0.6785749,0.8651738,0.95185894,0.9836056,0.94274765,1.1557932,1.3578494,0.51639974,0.84288627,1.253363,0.66627264,1.0766246,1.114415,0.57554036,1.1570998,1.2187858,1.3099654,0.85788655,1.4030305,0.67825526,1.309866,0.8900491,0.7897328,1.0159054,0.81238776,1.0765648,1.19693,1.004395,0.803411,0.8834278,0.34717906,0.8655214,0.69330144,0.8271271,0.428725,1.3110057,1.3179344,1.4165053,1.381819,1.2554159,0.7111635,0.55914736,1.0564265,0.84456897,0.95375854,0.6615804,1.1517047,0.4053663,1.280593,0.8315459,0.49268126,1.4732265,1.179129,1.3001759,0.8181459,1.4178646,1.0503932,1.2565725,0.6266188,1.3217597,1.2158366,1.3539771,0.56856084,0.5622646,1.1545,0.52831393,0.75852406,1.0250881,0.54642516,1.0480036,1.3883643,1.486404,0.58262813,0.53132546,0.7410213,0.9284717,0.9007362,0.4456386,1.1599321,1.2020285,1.2856402,0.5653701,1.2691593
applesauce,0.849856,1.0907377,0.9674596,0.0,0.73348486,1.1050117,1.2708642,0.6598076,1.2522486,0.95041895,0.92844576,1.1700544,0.92290866,0.7926707,0.80801654,0.84830034,1.3322895,1.3686428,0.98223466,1.0937655,1.3263942,1.3143559,1.366513,1.0094713,0.7667675,1.0619285,1.1343261,1.3173499,1.0174803,1.0203915,0.92611915,0.92114,0.7858105,1.012799,0.74603975,1.1792464,1.0480752,1.3063293,1.0228741,1.0609949,1.192002,1.1899768,0.7436077,0.86235434,1.1528187,0.8781444,0.92470926,0.70162714,1.3287137,1.2365408,0.99922794,1.1407213,1.0383182,0.7808087,1.0636111,1.1134784,1.0825232,0.912294,0.8266195,0.884837,0.51038384,1.146953,1.0006877,0.8668993,0.7098849,1.2011875,0.8576025,1.3443809,1.0726051,1.4152124,1.1685058,0.96645707,0.7066491,1.2422421,0.72719383,1.2268472,0.61843437,0.91641974,1.076663,1.3195406,0.89024675,0.7598381,0.84291744,1.1305703,0.9534784,0.79236066,0.8787278,0.88766664,1.2713406,1.2495669,0.65642107,1.2344108,1.2323407,1.2881483,0.8480825,1.012313,0.9660244,1.3624917,1.1175225,1.07645,0.86211133,0.9340556,1.3170335,0.82007533,1.060736,0.757413,1.3849719,1.0861701,1.2374928,0.8439213,1.1753621,1.3108685,0.944112,1.3378987,1.2635962,0.9912311,0.99803567,1.2618849,0.78173894,0.9367417,1.1266108,0.8139948,0.7780077,0.93591714,1.3098652,1.1264491,1.1729195,1.0416642,1.2160379,1.1323142,1.075304
arm,0.6923717,0.93681175,1.2918267,0.73348486,0.0,1.264822,1.4202735,0.9428853,1.4077246,0.6326428,0.64103895,1.055553,0.80043364,0.59121054,0.58714455,1.0698782,1.4998999,1.4305027,1.2003003,1.2932506,1.0872419,1.4229414,1.356185,0.90546733,0.5848763,0.7857648,1.0927628,1.364923,0.918104,1.1434989,0.99454904,1.0869797,1.1456633,0.8381698,0.926821,1.388957,0.8190342,1.4837446,0.9005154,1.1508874,1.0435284,1.2396928,0.63646436,1.0667648,1.2997774,0.7104967,0.7923978,0.8296392,1.2567662,1.2647636,0.8629184,1.1183298,1.2584722,0.9711692,0.7440308,1.2850327,1.0112295,0.88582695,1.2199264,0.8169201,0.42029107,1.3683615,1.0026613,0.752586,0.6496732,1.3409276,0.5778551,1.3484324,1.0803863,1.4300585,0.9730248,0.9209988,0.8418591,1.1039196,0.5899442,1.276164,0.9387868,0.90650153,1.266567,1.3741443,1.1473556,0.84079325,1.1257967,1.076556,0.77981913,0.5161735,0.6018467,1.0231271,1.3293787,1.37134,0.80420053,1.2939461,1.2084842,1.4028591,0.7806455,1.1995603,0.82761014,1.4636322,1.3196688,0.8683641,0.8348466,0.86341596,1.3206593,0.5608383,1.0566872,0.52181613,1.4463462,0.8752672,1.095351,0.60329133,1.3935176,1.4220998,0.8366403,1.4418701,1.2350826,0.96267885,1.2519718,1.3162487,0.5827845,0.74757993,1.4599695,0.94776106,0.97329545,0.83208656,1.31647,1.4596459,1.219492,0.7790662,0.9621785,1.3068395,0.93123376
ball,1.0530989,0.7902596,0.51815486,1.1050117,1.264822,0.0,0.60476756,0.92424095,0.89261675,1.2224108,1.2449178,1.3028312,1.2019691,1.287403,1.2763004,0.9725589,0.8088161,0.83687836,0.9349768,0.8862716,1.0124372,0.7661029,1.0322196,0.978551,1.2570064,1.2046112,1.1890736,0.46685815,1.1189032,0.85794955,1.0892235,0.74069166,1.1062877,1.2262043,1.1663536,0.906674,1.2161431,0.749285,0.96562517,0.87505895,1.1450527,1.0050447,1.3073043,1.0056908,0.6404357,1.173388,1.1202637,1.121717,0.8991504,0.5835898,0.933634,0.92632765,0.8234861,0.834902,1.1288351,1.04982,0.756088,1.0906832,0.7796675,1.1752517,1.1968563,0.8241575,0.97571945,1.1723689,1.2494539,0.9329585,1.3935256,1.0218248,1.1577805,0.75040793,1.1618748,0.9474328,0.8435195,0.96909034,0.9678189,0.8336615,1.1281761,0.84265894,0.8511405,0.98295146,1.2177823,1.0170954,0.6759754,1.211642,1.0891912,1.3547131,1.3944539,0.9052895,0.92690265,0.9439038,1.0673441,0.9829693,0.9128635,0.70589656,1.0336865,0.35052013,1.1704223,0.880206,0.7009135,1.2730298,1.0884933,1.173078,0.9949697,1.3363091,0.76275104,1.3633517,1.0149794,1.2928512,1.0550299,1.1778979,0.82961076,0.7047665,0.88862807,0.7553947,1.1201239,1.2823799,0.9411012,0.8982783,1.3104595,1.191675,0.4626733,0.98209745,1.1134132,0.9742763,0.95067614,0.44905108,1.1064324,1.0693928,1.1339396,0.91874456,1.194298
balloon,1.3555511,0.9665139,0.40056717,1.2708642,1.4202735,0.60476756,0.0,1.1662455,0.6866103,1.4267268,1.4204369,0.9867703,1.2887577,1.4441885,1.4020231,1.0357503,0.29997134,0.46398145,1.0567113,0.57205725,0.9546711,0.5968263,0.5924513,1.0925893,1.3787842,1.2604369,1.1303608,0.49162143,1.1815318,1.0093718,0.9856989,0.9287693,0.98231953,1.2547847,1.2161198,0.3332733,1.3200977,0.35841608,1.2136917,0.91106236,1.1369166,0.9594812,1.3814924,1.0021114,0.55671203,1.3004797,1.2117285,1.0231245,0.5543974,0.68758297,1.047276,0.9256779,0.93050873,1.232435,1.2239449,0.5277256,0.85782826,1.1531523,0.75529075,1.2236701,1.4091947,0.5874474,1.1372237,1.3517063,1.386788,0.71211684,1.4546583,0.4167912,1.1910114,0.56958485,0.7158841,1.1864483,1.0840702,0.96471536,1.3347404,0.8533647,1.135344,1.1065652,0.4331988,0.60208154,0.8133725,1.1497428,0.8353394,1.1327558,1.3040568,1.4771395,1.4497501,1.1995702,0.561734,0.37806016,1.2250594,0.58816683,0.8109202,0.5796636,1.2650295,0.7006192,1.3218462,0.61749554,0.5112201,1.264956,1.2202214,1.3334668,0.6257774,1.4378115,1.039849,1.4092729,0.44931012,1.1647794,1.046627,1.3884089,0.5948803,0.4034472,1.1723056,0.41041505,0.57271844,1.0709547,0.72659826,0.84181106,1.4216098,1.4638178,0.5099946,0.8252433,1.0152984,0.85990965,0.6266163,0.4549821,1.0656958,1.1508166,1.0997626,0.5871519,1.1135631
banana,0.6824944,1.175214,0.76793075,0.6598076,0.9428853,0.92424095,1.1662455,0.0,1.158107,0.97649676,0.9657817,1.1849833,0.9378014,0.93855745,0.90642715,0.9429656,1.2740669,1.132814,0.98934376,0.9335869,1.2064133,1.1221807,1.3580402,1.0654615,0.8023473,1.0978605,1.1026251,1.1979415,1.1057916,1.0663767,1.0811603,0.7111839,0.5748602,1.0175178,0.46395063,1.101777,1.1084783,1.1789166,1.0257589,1.0319196,1.2895665,1.1586989,0.98058516,1.0285443,1.0122539,1.041604,0.95172936,1.0056896,1.1143064,1.0587404,1.1162273,1.0643404,0.7940299,0.8445248,1.0432107,1.1948894,0.99057597,1.060899,0.740373,0.94323784,0.82508284,1.1555405,1.0106449,0.67586905,0.96548456,1.2131629,1.0070488,1.2797405,1.1651759,1.3511807,1.2414012,0.7970009,0.44175017,1.140141,0.69576514,1.2117994,0.9053206,0.75643647,1.1201828,1.2362422,1.084549,0.9502859,0.40888697,1.1640649,0.9484378,1.0035889,1.0333834,1.0475298,1.2021598,1.2006773,0.43836766,1.1365564,1.1809603,0.9043263,0.8846459,0.8182834,0.89617157,1.2816286,1.0489283,1.2004459,0.9178062,0.98221105,1.1630177,0.9934296,1.0831066,0.9857098,1.2560128,1.1874919,1.128142,0.8467414,1.0986942,1.1816525,1.0519263,1.2106068,1.1843562,1.0215942,0.82729447,1.2553902,1.0024856,0.97752523,0.852135,1.0464073,0.8838977,0.98369515,1.2255136,0.86073256,0.8632283,1.0904028,1.2243285,1.1739259,1.1844077
basket,1.3492699,0.8673836,0.8337023,1.2522486,1.4077246,0.89261675,0.6866103,1.158107,0.0,1.2742866,1.2810693,0.8009698,1.0025743,1.3676391,1.3160347,0.815274,0.4986204,0.54350805,0.4930436,0.6851536,0.8599514,0.5302261,0.5333759,1.1327575,1.3420727,1.2994541,0.7720709,0.70417976,1.1049682,0.7999242,0.783216,1.0344605,1.0376287,1.0348605,1.1515365,0.62958026,0.8819015,0.53077376,1.1846298,0.9598763,0.9344743,0.6990342,1.3172064,1.1059059,0.8159153,1.2930648,1.2838342,1.1431499,0.93586594,0.7645732,1.053271,0.82977,1.0274333,1.0312251,1.2007108,0.8527752,0.9227649,1.0760236,0.7435229,1.289087,1.4128423,0.81905645,1.1125467,1.2856833,1.3260428,0.85680676,1.363781,0.6790616,0.80049473,0.69757384,0.8726164,1.0303997,1.190063,0.9317431,1.3023937,0.75768626,1.2028157,1.1277646,0.8876617,0.61279994,0.9965277,1.2925005,1.0154268,0.8052716,1.309422,1.4043481,1.3215339,1.015961,0.7007588,0.66656834,1.1500763,0.6396666,0.77170783,0.66110104,1.3146933,0.83560145,1.0067601,0.48395807,0.8215319,1.1172812,1.272884,1.2380689,0.7607537,1.4266357,0.85774195,1.3295617,0.6359668,1.0517436,0.8770009,1.2961462,0.71523196,0.5778609,0.9879752,0.6693164,0.7808222,0.9973235,0.8429345,0.7415726,1.3929756,1.2061281,0.55975497,1.0542997,1.1680646,1.0685529,0.6075675,0.603442,0.61271507,1.1072937,0.940518,0.71357566,1.0312555
bathtub,0.76622856,1.1721325,1.5014421,0.95041895,0.6326428,1.2224108,1.4267268,0.97649676,1.2742866,0.0,0.41394418,1.1177065,0.5762818,0.6400433,0.57360226,0.85159594,1.5072575,1.1602099,0.8108685,1.5209489,1.1227357,1.2052667,1.2936308,0.7532612,0.83762205,0.7648393,0.80643666,1.2400398,0.71456754,0.92964786,1.2228134,1.0476153,1.2967407,0.6959143,0.9751741,1.4800327,0.57155997,1.4603983,0.8550942,1.154081,0.71302915,0.85225,0.82639843,1.27512,1.3567382,0.7943838,0.8141664,1.2930019,1.3582836,1.1267959,1.2046852,1.1153623,1.1630383,0.73299354,0.5691482,1.434529,1.3910577,0.71039766,1.2117074,0.9349375,0.80276084,1.5020733,0.8707712,0.635469,0.7329869,1.3155376,0.7440432,1.3151684,0.7990311,1.1853515,1.3900363,1.038057,0.95620555,1.0739344,0.76287675,1.09713,1.1682816,1.0458477,1.4863436,1.4047382,1.3826996,1.1066519,1.2703099,0.81704766,0.7237376,0.65306264,0.7901734,0.809927,1.3018293,1.4047613,0.83138245,1.3394516,1.1632956,1.2067254,0.7719243,1.3281014,0.8349029,1.3127829,1.3684078,0.5339664,0.83339155,0.83845186,1.3392898,0.6662585,1.16379,0.8556478,1.4898046,0.51023054,0.5021988,0.48361754,1.5769973,1.427471,1.0650055,1.479719,1.2446454,1.1392474,1.3683466,1.137549,0.68941486,0.36364198,1.290902,1.442374,1.1377476,0.8640711,1.3375456,1.244921,0.818082,0.79415095,0.75585973,1.4558837,0.74730796
