,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bucket,butterfly,can,car,cat,chair,clock,coffee,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.0556661,0.8900242,1.0256045,1.06108,1.079225,1.0865157,0.8672814,0.9444709,0.99598724,1.0281241,0.98183405,1.03253,0.8483351,1.017498,0.9971951,0.9930646,1.117719,0.8815546,1.091048,0.98917514,1.0200188,1.0473608,0.97708064,1.0444876,0.9342134,1.0109168,1.0118489,1.0248739,1.0540975,1.0187173,1.1092627,0.9857122,0.92043674,1.0820777,1.1724483,1.0201787,1.0257009,0.6279999,1.1699293,1.0554982,0.9439967,1.0951729,0.88570786,0.9891299,1.08306,0.99575895,1.0950707,0.90328336,1.1495943,1.1726927,1.0326594,0.9776588,1.0695226,1.0248549,0.96416295,0.9456131,1.1225427,0.8831245,1.0382082,1.1291574,1.0008117,1.1224152,1.1140541,1.0429821,1.110505,0.967943,1.0013672,0.96989775,0.9099391,0.9893225,0.95156574,0.92285204,1.0132738,1.0445155,0.9532342,0.92619693,1.0347575,0.9196086,0.9991754,1.1053025,1.0214428,0.94625926,1.0851151,1.0878128,0.8214462,0.8428963,1.2223735,1.1224167,0.9527674,0.9113367,1.0967377,1.1591115,1.0312184,1.0384268,0.91560787,1.0119088,1.0167856,0.9590108,0.86866325,1.1117986,1.2153263,1.0750599,1.1452135,1.027678,0.9278953,1.0130275,0.8906899,1.1189228,0.8969285
apple,1.0556661,0.0,1.4671136,0.16710687,0.38914365,0.42310703,0.6945504,1.3412752,1.5058892,0.60067225,1.5807263,1.3038763,1.4618192,0.907806,0.38779283,0.64277565,1.1198236,0.7017335,0.6911793,0.7511078,0.99622315,1.185291,1.3486061,0.66050994,1.291472,1.3394952,1.1916682,0.4267645,1.3157371,0.37145436,0.9905475,0.9065403,1.2013608,1.2032288,1.2441869,1.0152304,0.64003766,1.086587,1.1302663,1.0053356,0.74499303,0.6526935,1.2327046,0.7086461,1.3209801,0.5761248,0.8755401,1.0431383,1.050812,1.3216437,0.6003974,1.003299,1.2607994,1.0705682,0.87161714,1.437334,0.59049594,1.3610044,0.5548103,1.0822701,1.2836007,0.69205296,0.47637355,0.70039546,1.1421341,1.106188,0.9977299,1.2472718,1.1931369,1.3507197,1.4047651,1.126656,0.5710459,0.68195975,0.8953224,0.60718775,1.1797147,0.7466867,0.507227,0.53855217,1.394108,1.0517683,1.32056,1.3194592,1.2832379,1.1219326,1.433793,1.1272051,1.3102598,0.67661345,1.0628574,1.2986844,0.44278586,0.25688493,1.1701391,0.6793536,0.9416805,1.279492,1.320683,1.4738187,0.5762859,0.694582,1.3287024,0.81073254,0.80011946,1.3481207,1.1915905,1.0958562,0.6347466,1.2349949
arm,0.8900242,1.4671136,0.0,1.279995,1.4047843,1.4746299,1.4760768,0.5115717,0.5188048,1.1696976,0.61103284,0.6987818,0.59953403,1.1809065,1.5074717,1.5277479,1.2232687,1.4735367,1.345062,1.5030862,1.1931392,0.8091043,1.1395983,1.3616638,0.8089777,0.93199813,0.79842234,1.6090451,1.0856414,1.4981904,1.0242236,1.1659136,0.9539554,1.1164536,0.68797433,1.0154972,1.0684558,0.954958,0.67048657,0.8513859,1.324889,1.2034625,0.7726487,1.1657417,0.5156089,1.3917421,1.3178055,1.0913665,0.8645208,0.5814045,1.4981047,1.1858889,0.9451492,1.0690731,1.2288573,0.42299044,1.3495562,0.98341835,1.513013,0.815901,0.73135245,1.3307896,1.3968703,1.5693185,1.0315315,0.8563748,1.1345541,0.9779106,0.80533636,0.49278426,0.45244807,1.1783062,1.4814994,1.3799915,1.033184,1.5017326,0.7840393,1.2855493,1.4483286,1.2081326,0.58216006,1.145649,0.78595555,0.6159414,0.5385082,1.1720655,0.36241198,0.8740282,0.76524,1.4180597,1.0524967,0.9427875,1.3819066,1.380546,0.7671664,1.3355495,1.1279389,0.8572149,0.54376686,0.56958413,1.421904,1.1213133,0.72564733,1.4828125,1.3157818,0.7913379,0.9864095,0.9532448,1.4341822,0.8935652
ball,1.0256045,0.16710687,1.279995,0.0,0.5499664,0.6455443,0.8830888,1.1784959,1.2857443,0.6567552,1.4393623,1.2339443,1.287288,1.0486493,0.67071056,0.8153587,1.1735473,0.8907105,0.93512475,0.983658,1.1230531,1.1555533,1.4007069,0.63487667,1.2365422,1.3184619,1.1543465,0.6884611,1.3691994,0.500927,1.0304143,0.98223156,1.3206668,1.2395779,1.0638438,1.0287366,0.61079276,1.0579704,0.99540734,1.0779799,0.9175731,0.65945935,1.0848026,0.85843366,1.1232091,0.7853793,1.0264652,1.022773,0.9995043,1.2970614,0.6389642,1.0257899,1.1529458,1.0758084,0.9935965,1.2584445,0.7557975,1.4543391,0.79449147,0.7409425,0.9693954,0.79964674,0.6445512,0.9316062,1.1105661,1.0650955,1.0080695,1.2988148,1.0907328,1.2505931,1.2250444,1.1669534,0.77191436,0.8520601,0.6557486,0.8157464,1.162101,0.9762751,0.6441664,0.62123734,1.3111601,1.1038641,1.343784,1.203119,1.1471332,1.1702987,1.2663561,1.1475933,1.2797836,0.93276966,1.1675184,1.1443565,0.6301669,0.40653807,0.8532097,0.916769,1.1414578,1.2551453,1.1816857,1.2804737,0.6334603,0.8496357,1.2776308,1.001867,0.7860834,1.3020773,1.3063899,1.2134398,0.851588,1.2230048
balloon,1.06108,0.38914365,1.4047843,0.5499664,0.0,0.6444782,0.77548766,1.2886643,1.3662353,0.3414781,1.4419396,1.2910132,1.3273811,0.83557326,0.265705,0.5807741,1.0743254,0.6707703,0.7286097,0.5211886,1.0237864,1.1042466,1.1962652,0.7223586,1.2485448,1.2066696,1.1748497,0.4151771,1.163167,0.32273054,1.0409921,1.0495974,1.0886679,1.1793615,1.2031362,1.0716377,1.029475,1.1228145,1.1447548,1.0335495,0.72575605,0.8551,1.219934,0.8904868,1.2906277,0.4387957,0.9975901,1.053463,1.1146896,1.2915353,0.6330147,0.9806262,1.2023326,0.9758487,0.9877734,1.3993442,0.2866462,1.2310485,0.48608094,1.2258103,1.3186448,0.44631934,0.60306454,0.6693842,1.1318301,1.1597577,1.0120683,1.1742442,1.2206513,1.3173872,1.3968309,1.0445404,0.45645326,0.54011405,1.1342747,0.50783503,1.1000885,0.7724687,0.55113095,0.9682904,1.3161955,1.1045228,1.1268957,1.2677202,1.2465332,1.133514,1.3590076,1.2445469,1.3230766,0.70029044,0.9672575,1.2295879,0.44249678,0.5320405,1.2262594,0.7795872,0.9938362,1.2328779,1.3075858,1.3425548,0.74350286,0.7424091,1.3231959,0.826041,0.9456795,1.2968678,1.1554208,0.9384306,0.5982469,1.1147788
banana,1.079225,0.42310703,1.4746299,0.6455443,0.6444782,0.0,0.6207098,1.4532459,1.5593618,0.8032008,1.542969,1.2242876,1.4369528,0.9945072,0.5509784,0.7979611,1.2688967,0.78250873,0.6415297,0.7045766,0.9547272,1.0408974,1.244166,0.92491263,1.2968704,1.2766509,1.0421038,0.37844002,1.1520205,0.6084541,1.0067748,0.8687408,1.2171315,1.2217431,1.335904,0.7777034,0.8139423,1.1276542,1.139899,0.7298903,0.6862812,0.7833798,1.1302615,0.66334766,1.4322097,0.42267907,0.6914657,0.9358342,0.90665925,1.0989643,0.5800764,1.0826136,1.3198998,0.94635004,0.9055622,1.3220496,0.7230619,1.128492,0.71405584,1.2511863,1.3009963,0.7428843,0.36599022,0.5939798,0.99946237,1.1586376,1.039259,1.1633534,1.265556,1.3363925,1.3046263,1.1241087,0.5758611,0.65607727,1.122378,0.5188468,1.1823461,0.7581964,0.66727483,0.73072016,1.2305787,1.1140505,1.3200576,1.2346778,1.1422676,0.9270599,1.362023,0.9261218,1.0543684,0.5335891,1.1664498,1.3115857,0.39179516,0.37293708,1.2863797,0.598641,0.76855564,1.2895459,1.2195146,1.5056535,0.70140857,0.48687148,1.234833,0.61493635,0.9452091,1.3849424,1.1226163,1.1421111,0.49894607,1.1945128
basket,1.0865157,0.6945504,1.4760768,0.8830888,0.77548766,0.6207098,0.0,1.3996173,1.2830187,0.9680614,1.2353357,1.2268877,1.2305589,0.755758,0.5880362,0.70723426,0.7766606,0.5463095,0.7539997,0.5735943,0.8213978,1.1814195,0.9037097,0.84969425,1.0886292,0.8951618,1.068092,0.52983594,0.7326096,0.62935126,0.99842864,0.9129289,0.9780116,0.9288832,1.3257606,1.0589498,1.0090705,1.142613,1.1983293,1.0464015,0.72045636,0.90226686,1.1861192,0.8083261,1.4474261,0.6447463,0.6887275,0.8549191,1.0348316,1.2002672,0.6846136,1.0737604,1.1613214,0.99543154,0.82134724,1.3247263,0.7678792,0.9079002,0.7325092,1.2225232,1.2343172,0.7677935,0.67338926,0.58293283,1.0782824,1.2237376,1.024214,0.8917391,1.134967,1.3234849,1.3110188,1.0107001,0.7897966,0.8379915,1.0918081,0.6080462,1.0697575,0.7196866,0.7502986,0.83855116,1.3145902,0.8666447,1.0960647,1.2910764,1.2693808,0.9735774,1.3396659,1.0558907,1.0492042,0.63635695,0.9726783,1.2210691,0.6528501,0.7258446,1.2002478,0.8763527,0.8239091,1.0178021,1.2874498,1.3529134,0.69286853,0.8493329,1.2659876,0.5624904,0.7902334,1.1818092,0.93483686,0.9989805,0.5820601,1.1035913
bathtub,0.8672814,1.3412752,0.5115717,1.1784959,1.2886643,1.4532459,1.3996173,0.0,0.48445845,1.086242,0.599856,0.791407,0.7426988,1.1268982,1.3903785,1.2212784,0.942812,1.230374,1.3625255,1.349225,1.1067694,0.72455865,0.8823062,1.1797564,0.8434198,0.86669433,1.0327485,1.4455013,0.9209866,1.2400187,1.0448124,1.2671201,0.8184591,0.77845967,0.82406557,1.0743357,1.139704,0.7433481,0.7946474,1.2785623,1.3432662,1.1596642,0.9709727,1.2993361,0.49186867,1.3587284,1.3000343,1.2634578,1.0452391,1.083686,1.3754481,1.1142977,0.7283639,0.95896006,1.1557124,0.69381714,1.2280025,0.88204134,1.1985898,0.7880529,0.83065444,1.23984,1.386542,1.4483359,1.1041322,0.9894695,1.141206,0.81832445,0.8422471,0.7015867,0.77865237,1.0471773,1.3191338,1.3062816,0.95543855,1.4540913,0.941082,1.1849804,1.1739583,1.200211,0.92177397,0.8666794,0.6300822,0.801945,0.8465656,0.94878393,0.7247714,1.1799719,1.0854732,1.376755,0.73317456,0.6649921,1.4244932,1.3587397,0.7921992,1.2304035,1.268762,0.7602217,0.758287,0.38987255,1.0963956,1.3534364,0.8919829,1.4504585,1.0580759,0.72073156,1.1559234,0.80156827,1.4543436,0.69536054
bed,0.9444709,1.5058892,0.5188048,1.2857443,1.3662353,1.5593618,1.2830187,0.48445845,0.0,1.1775441,0.23949671,0.86060685,0.21176612,1.072871,1.5415792,1.2973123,0.9092991,1.3182447,1.3993738,1.3334396,1.1353419,0.80995286,0.66013265,1.3391154,0.6313254,0.41664004,0.96721536,1.5705115,0.717911,1.4812899,0.9797413,1.2671195,0.8913937,0.85823965,0.71684754,1.2577555,1.2659645,0.88969016,0.88717264,1.2926679,1.2999974,1.2419488,0.8244735,1.2900875,0.6959877,1.5000116,1.2669333,1.1060796,1.0963585,1.0127225,1.421761,1.0427083,0.6910263,0.8098041,1.2949126,0.47860336,1.2703302,0.7954607,1.477459,0.7170018,0.6226802,1.250232,1.5283091,1.2972133,1.0726933,1.0370601,1.0946927,0.7860477,0.7420107,0.6257149,0.55678236,1.0105003,1.4580276,1.4348123,0.94949377,1.2710752,0.86725163,1.2119294,1.3797746,1.2270846,0.8255216,0.9773864,0.6601911,0.73898476,0.8032141,1.1663309,0.5235586,1.135709,0.82603717,1.4655728,0.9622661,0.6285533,1.5275712,1.3711398,0.6708335,1.4291855,1.1788287,0.73847914,0.62872845,0.4500379,1.4259267,1.4799545,0.9682135,1.2159933,1.164689,0.72917986,0.9888216,1.038411,1.5539213,0.8110822
belt,0.99598724,0.60067225,1.1696976,0.6567552,0.3414781,0.8032008,0.9680614,1.086242,1.1775441,0.0,1.2881494,1.2109685,1.2065923,0.8914914,0.49041402,0.7785466,1.1470042,0.8988351,0.88201696,0.8131093,1.0799125,1.0797164,1.2574999,0.9238545,1.1830049,1.178695,1.1290711,0.6087591,1.2082183,0.55107903,1.0530996,1.1175064,1.1614097,1.1297251,1.0230972,1.050986,1.0249416,1.0364201,0.9870244,1.0425532,0.8510346,0.90176094,1.1809359,0.9219066,1.2120925,0.63634634,1.1180081,1.1299528,1.0426569,1.2353354,0.8492195,0.9589012,1.2075027,1.0141383,1.1048634,1.190872,0.4876423,1.2122366,0.6687948,1.0892982,1.1753675,0.70662856,0.78615284,0.8781262,1.1437417,1.092152,1.0704662,1.1673666,1.1701298,1.1516746,1.2001164,1.0698354,0.52214456,0.59574014,1.0994799,0.75531685,1.0664624,0.88316745,0.6817621,1.0790607,1.1450646,1.1244185,1.1529644,1.1437045,1.1042016,1.0765924,1.1592741,1.2329144,1.2435536,0.88538194,1.0435219,1.1555984,0.5659088,0.67191905,1.0893141,0.9118091,1.1538957,1.1871436,1.1408367,1.1667898,0.91633004,0.814215,1.2115338,0.9799021,0.99760944,1.2567378,1.1489418,1.0025642,0.76848423,1.0292565
