,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.2470176,1.3853489,0.85548955,0.729851,1.2996274,1.2001739,1.2309759,1.053206,0.80287623,0.623448,1.4175177,0.696728,0.6905968,0.6764058,0.5817176,0.84363794,1.0772029,1.4893641,1.4501598,0.9710439,1.1741872,1.1231849,1.3958005,1.1212755,1.4350682,0.9817797,1.1292069,0.67955095,0.915051,0.9998926,1.4064761,0.7223173,1.2017093,0.77159697,1.1746742,0.66366154,1.1915039,1.4984905,0.6060437,1.4804481,1.0330813,0.6113789,0.8903932,0.9246188,1.2252411,0.6722052,1.3008966,0.85755444,0.8594707,1.4318252,0.9328987,0.952152,0.82380015,1.2235904,1.2197467,0.6451147,0.7360028,0.7304706,1.3350614,1.1886433,0.6210489,1.2721034,0.95186913,0.8910633,1.0842141,1.3045714,0.74886304,0.80352557,0.6585871,0.7315661,1.178842,0.69653785,1.1113943,0.77414465,1.3770561,0.9320982,0.94562113,1.3159516,0.779074,0.8122178,1.2516445,1.0403404,1.4469999,1.1181443,1.3933744,0.9680324,1.296732,0.89478254,0.75075185,0.6328593,0.7242025,1.0911506,1.4437506,1.4401841,1.1064901,1.0135646,1.1273115,0.8191811,0.73399913,1.286036,0.9153368,1.0450417,0.92696714,1.3464507,0.84739727,0.91014,0.77033055,0.8564347,0.974029,1.0307508,0.6750401,1.0662553,0.9623106,1.2197533,0.7027549,1.1723692,0.5922333,1.4373336,0.86671007,1.3438078,1.0190723,0.924442,1.1736586,1.1299398,1.3690944,0.7469564,0.7205831,0.7115595,1.4078513,1.4195272,1.3998363,1.4151186,1.0828742,1.1876708,0.93014914,1.0005319,0.72359407,0.96445316,1.085983,1.4501433,0.9476769
ankle,1.2470176,0.0,0.73304975,1.2814558,1.0740798,0.929577,1.0353458,0.8839732,1.338772,1.2675415,1.2846125,0.79650235,1.2093055,1.1430612,1.162708,1.2338744,1.1537982,1.2552488,0.8978077,1.0643958,1.3654332,0.8141584,0.87982816,1.0858439,0.47058845,0.7415763,1.060363,0.8495318,0.9081605,1.1166657,1.2021793,0.9609406,1.1648989,1.2189736,1.0543331,1.0658633,1.298157,0.68330586,0.7929361,1.4062598,0.98253155,1.1281931,0.8165066,1.0770677,1.0887027,0.8466635,1.0493789,0.94686645,0.96185267,0.9413041,0.34021223,1.1790197,0.9958561,1.0852525,0.41287386,0.9041771,1.2485312,1.1308903,1.2677829,0.2870499,0.5440668,1.2473933,1.0440731,0.72831714,1.2007939,0.6459016,0.4947933,1.2048355,0.96022356,1.1855214,1.0571718,1.2065406,1.0602307,1.0209739,1.1977779,0.9557376,0.69802564,1.0928499,1.1558203,0.96484905,1.1820431,0.5228595,1.0284599,0.6645223,0.9543698,0.5944441,0.6475647,0.89927626,1.2017957,1.0563306,1.1285107,0.84653485,1.1908555,0.7708057,0.73047554,0.62063944,1.0469104,0.96939546,1.132308,1.1421449,1.1629827,0.92531294,1.0241504,1.1410972,1.0268866,1.2770593,1.0403552,1.102437,1.1730076,1.1199665,1.1067454,1.0252218,0.8188345,0.65775,1.0428779,1.2745547,1.2537746,1.2599298,0.5378753,1.0942999,0.88543326,0.57724214,1.2127638,1.1137644,0.9953154,0.7409731,1.2067857,1.0106512,1.3646302,1.0537993,0.34465063,0.4665674,0.9221721,0.9616695,1.2011793,1.3239481,1.1378003,1.2018819,1.0944631,1.0784147,0.55914485,1.116849
apple,1.3853489,0.73304975,0.0,1.1625924,1.4131074,0.35469496,0.4505148,0.5291241,1.1699382,1.4264565,1.5059005,0.58630735,1.5419003,1.4382066,0.96806973,1.4529805,1.0682085,1.100489,0.42423314,0.47037774,1.2787781,0.4933555,0.96952164,0.65230435,0.95444804,0.7291969,1.0659587,0.8198328,1.197799,1.3008361,0.9782468,0.6757462,1.4517078,0.8828998,1.2995896,0.8331033,1.4765526,0.7695223,0.39630395,1.5396924,0.5538595,0.96353567,1.1915678,1.117623,1.3643883,0.9881192,1.3833789,0.5218377,1.1949329,1.1280756,0.520815,1.2019601,0.7229253,0.994261,0.7797936,0.92162037,0.8826546,1.2746162,1.2411349,0.585369,0.71135086,1.4157928,0.62554747,1.1139001,1.0370386,1.0114747,0.5416837,1.4263914,1.3577986,1.4579973,1.2995446,0.8963516,1.4204792,0.91428334,1.4535782,0.75720596,1.1986586,0.7054971,1.0152714,0.98537606,1.2993013,0.75268316,0.604428,0.323668,0.932109,0.5224067,0.980112,0.33073485,1.3892213,0.84955084,1.5095499,1.3210535,1.1225563,0.5417155,0.49711853,0.8050821,1.0251781,0.9263532,1.267967,1.043057,0.74271435,1.1405094,0.69688964,1.0582633,0.73794687,1.439485,1.0943848,0.7733096,1.0539993,1.1041337,0.9685769,1.4087021,0.8665115,1.0812831,0.78788817,1.3993527,1.1570938,1.4102159,0.41716135,1.243279,0.5064595,1.0267768,1.0664251,0.8749918,0.883124,0.37816525,1.3598032,1.3664219,1.5305195,0.54933584,0.46481442,0.49095982,0.68664855,0.9362517,0.7179605,1.25226,1.1529045,1.3161023,1.1356897,1.1713833,0.41377288,1.3473885
applesauce,0.85548955,1.2814558,1.1625924,0.0,0.77060896,1.1173137,1.0483596,0.79170096,0.83754444,0.846855,0.8714634,1.382321,1.0413513,0.7340471,1.0516529,0.9685443,0.8254939,0.9751264,1.2439984,1.0230703,0.8091526,1.1141636,1.2357637,0.9562198,1.2593656,1.4144917,1.0794567,1.0062091,0.98679805,1.2005621,0.82312196,1.1510891,0.9521726,0.8961511,0.7413791,0.995601,0.85173535,1.007368,1.3048092,0.7922089,1.074822,1.014677,1.078557,1.099182,1.116094,1.3629482,0.8370031,1.0688441,1.0500045,0.87552637,1.2891395,0.81491756,1.1312454,0.94670206,1.3083676,1.1457672,0.89611083,0.899403,0.59305835,1.2336707,1.2714345,0.80994105,0.864865,0.9762768,0.78725916,0.8910181,1.3134412,0.8875135,0.97758824,0.9194726,0.9460732,0.65569633,0.9508896,1.0680424,1.0102895,1.286192,1.1954387,0.75306153,1.0159994,0.84094673,0.9978736,1.0867672,0.92002594,1.2561624,1.3242342,1.3160558,0.8707092,1.0410018,1.045921,1.1506075,0.81373036,1.0833948,1.1020504,1.3608825,1.3488548,1.1412051,0.7635375,1.3363123,0.89557785,0.88745487,0.7989734,1.2011018,0.9561617,1.0767341,1.2237415,0.9746073,0.86308,1.0662513,0.85450417,0.96215767,0.9986113,0.8439802,1.2676907,1.2572002,1.0672282,0.86141086,0.89273715,0.9102384,1.4018531,0.87529236,1.2803602,1.2525934,0.6027388,0.9893734,1.1091338,1.2778492,1.0954655,0.8956789,0.74451655,0.99782,1.3298835,1.3130325,1.1589308,1.3270751,0.8105311,0.49925065,1.023342,0.88885707,1.0478075,1.3111591,1.3203615,1.0016859
arm,0.729851,1.0740798,1.4131074,0.77060896,0.0,1.3772995,1.3509939,1.2398192,1.1530963,0.69552654,0.4383688,1.4735186,0.5862578,0.47041607,1.1778207,0.61137164,0.9079106,1.0886823,1.5418936,1.5547175,0.91712826,1.2695637,1.2814746,1.4621769,1.127934,1.4875754,1.0548761,0.99229014,0.9730826,0.8814609,1.1342887,1.5382813,0.70594364,1.2590138,0.7988126,1.176203,0.42558706,1.083956,1.5105951,0.5809028,1.5444582,1.2025405,0.71057767,0.8930285,0.92704713,1.1951412,0.54874235,1.2677886,0.7171595,0.7025214,1.0679454,0.9163357,1.3262801,0.9812009,0.93377703,1.4108412,1.219688,0.72430915,0.7145395,1.1826695,1.0723155,0.6781124,1.3091063,0.7149868,0.7600811,0.5860652,1.278107,0.5813745,0.66665405,0.82781976,0.57984686,1.2405314,0.49398744,1.2377334,0.6871506,1.4794703,0.58455133,1.0742228,1.2931263,0.8032969,0.9230746,1.0813195,1.0985538,1.3532672,1.3830228,1.3924704,0.7281705,1.2136675,0.86364704,1.3777913,0.3633902,0.59217405,1.16769,1.466497,1.4411387,1.2111418,0.9050937,1.288343,0.53296524,1.065867,1.3583409,1.0218662,1.0682793,1.1455452,1.3626268,0.7807975,0.78676885,1.3071563,0.9168195,0.811458,1.191123,0.3712958,1.3056842,0.9406862,1.3667314,0.64682096,1.1003721,0.7079709,1.480835,0.8886783,1.534247,0.90806246,1.0989461,1.3010913,1.3787541,1.3787235,0.8834153,0.47397327,0.4469986,1.5039431,1.153894,1.3459159,1.3281989,1.3559387,1.2479494,0.75305504,1.0536553,0.78290164,1.1404157,1.20064,1.371391,0.90848947
ball,1.2996274,0.929577,0.35469496,1.1173137,1.3772995,0.0,0.15579242,0.78905755,1.0583727,1.3525484,1.3678027,0.7569431,1.4503026,1.3617591,0.9257993,1.3328974,1.0168188,1.0378546,0.59111845,0.477157,1.1537855,0.719637,1.1040685,0.63603723,1.096573,0.8917085,1.1420081,0.9061131,1.1963099,1.3400981,0.94132423,0.58022165,1.4162674,0.71736234,1.3244774,0.77382755,1.3390307,0.8906313,0.62455684,1.3790126,0.56594884,0.767338,1.2642263,1.0074246,1.3830278,1.1653796,1.3934906,0.15881151,1.0940965,1.1656506,0.736787,1.2664211,0.8157649,0.96769315,0.99565154,0.92719907,0.8429489,1.0993106,1.0337852,0.8817343,0.8371357,1.2596444,0.5178117,1.1992316,0.93565893,1.0823019,0.71290636,1.3432283,1.3665068,1.3642168,1.3142985,0.85304946,1.4009129,0.90588,1.4522998,0.81628215,1.2219198,0.65116704,0.8771113,0.92279917,1.1992397,0.95572,0.6603312,0.5405709,0.8973679,0.72742337,1.1320174,0.41383535,1.3671341,0.8626176,1.409689,1.3610947,1.0283507,0.74825466,0.7349036,0.9929756,1.1198232,0.840067,1.1804943,1.163541,0.6894494,1.1523544,0.64008194,1.0292987,0.76402366,1.3936545,1.0370764,0.8753938,1.0893741,1.1481534,0.9820399,1.433658,0.9618194,1.1860584,0.7350333,1.2765578,1.0543478,1.3094873,0.6900118,1.1582762,0.6531081,1.0826421,0.85926473,0.80230546,0.7084315,0.5627635,1.3071876,1.3924875,1.3976665,0.46266115,0.74345565,0.74326646,0.7662552,0.92527765,0.64414465,1.0953932,1.1712096,1.1885667,1.2125788,1.2322885,0.68480146,1.3124406
balloon,1.2001739,1.0353458,0.4505148,1.0483596,1.3509939,0.15579242,0.0,0.699842,0.97153246,1.2954637,1.3016713,0.88756424,1.3939841,1.269648,0.8744188,1.2815503,0.87040925,0.9888132,0.69903994,0.5744047,1.0335466,0.7585545,1.0697104,0.615695,1.1371379,0.9709206,1.0908184,0.90840375,1.2620151,1.2442532,0.8727977,0.70491964,1.3403485,0.7114916,1.2774904,0.78695166,1.2739627,0.9737365,0.74571216,1.2638865,0.6205244,0.7981478,1.2896153,0.93090236,1.3074229,1.174498,1.2954226,0.28986478,1.0648515,1.2010928,0.93073404,1.1919664,0.85910475,0.82879484,1.1185602,0.95953834,0.7319547,1.1110297,0.8441635,1.0267006,0.8872438,1.2098321,0.5050216,1.218976,0.8797896,1.1580831,0.8217899,1.3101737,1.3419967,1.3014374,1.2697768,0.7538624,1.3571348,0.970258,1.3018588,0.87511027,1.2699729,0.5657608,0.91229385,0.8452561,1.2000355,1.0924097,0.722112,0.7729329,0.9456903,0.79813325,1.213448,0.498093,1.3210521,0.8357279,1.3265984,1.3281147,1.0171341,0.87848765,0.86238015,0.9956143,1.0213906,0.8897489,1.2139103,0.95836574,0.70268977,1.0994503,0.66940206,0.9843651,0.85041106,1.3154906,1.1146004,0.80822515,1.0147059,1.1480657,0.9433454,1.374146,1.0638512,1.1215224,0.7268469,1.2094439,1.0481912,1.1714728,0.8873228,1.2106202,0.7130467,1.1210417,0.8246096,0.8433634,0.85349715,0.7017117,1.2298585,1.3711765,1.3036515,0.49813533,0.9542682,0.8740516,0.8590116,0.9706942,0.6018392,1.0130389,1.1281089,1.1783679,1.0975158,1.1849437,0.8583988,1.2156136
banana,1.2309759,0.8839732,0.5291241,0.79170096,1.2398192,0.78905755,0.699842,0.0,1.1066284,1.3172218,1.4595287,0.89031905,1.5028795,1.278457,0.9145067,1.3975022,0.8734692,1.034591,0.8143135,0.73940927,1.1923903,0.3338734,0.9787826,0.83055776,0.96395123,1.0015533,1.0317901,0.69566727,1.2841659,1.4017196,0.6426678,0.8953405,1.442774,0.9452342,1.057758,0.64845717,1.4425988,0.5979961,0.67194587,1.4629462,0.8139051,0.9958379,1.3246278,1.1603961,1.3184273,1.0528238,1.2444162,0.8522685,1.0691782,1.1773689,0.81101483,1.14329,0.77227813,0.8042377,0.9405053,0.7985631,0.75728667,1.0898726,1.1183525,0.8789031,0.86450297,1.3111236,0.66760695,1.2177091,1.0013201,0.91428524,0.985734,1.3247405,1.2573118,1.2268282,1.2843704,0.7666867,1.2675885,0.8432041,1.3611779,0.94189876,1.0791377,0.6284108,0.9662278,0.8283562,1.259816,0.8911934,0.61710215,0.871532,1.045375,0.76181734,1.0017072,0.61531925,1.3586702,0.7949418,1.3187494,1.2543106,1.0886296,0.84814316,0.77326286,0.76495147,0.649493,1.066539,1.243726,0.750396,0.60197186,1.1762401,0.6980231,1.1475371,1.01382,1.3543386,1.0122664,0.8450138,0.600402,1.2411602,0.883813,1.3278426,0.9569908,1.1102386,0.7708942,1.3688475,1.1224233,1.224549,0.8437998,1.1698716,0.9327818,1.014008,0.80298424,0.809117,0.88854307,0.82047004,1.3740659,1.3433692,1.4019037,0.70792544,0.8574153,0.7492823,0.81457007,1.063053,0.78892446,1.0226451,1.0614027,1.2975184,0.99825174,1.1738791,0.85576415,1.2424353
basket,1.053206,1.338772,1.1699382,0.83754444,1.1530963,1.0583727,0.97153246,1.1066284,0.0,0.9716126,1.0072395,1.0833,0.98912895,0.9259242,0.93133456,0.9557571,1.054406,0.55534005,0.92920643,0.72359246,0.24819142,1.1684084,0.9876696,0.5288081,1.2652066,1.002132,1.0925553,1.1804576,1.2176499,0.81104124,0.9158471,0.9464154,0.9175909,0.54074,0.88461685,0.8719164,0.9929733,1.1706531,1.0413673,0.7309294,0.6808332,0.79693514,1.3483455,0.7814723,1.0577278,0.85895985,1.1251034,0.9947924,1.2274269,1.2045583,1.2927427,0.85211176,1.0817467,0.9918502,1.3115071,0.93349284,0.9390309,0.9987003,0.8089646,1.3292856,1.1251303,1.0363423,0.74662185,1.2710544,0.9743757,1.205551,1.2211484,1.0057245,1.2022827,0.99504876,1.2087321,0.5683259,1.2236482,0.9550458,0.8485893,0.9545209,1.222528,1.1314707,0.625506,1.0690917,1.0492465,1.2472377,1.1131327,1.2099825,0.778112,1.0699779,1.3174374,1.2192725,0.95382416,0.98739296,1.084409,1.3596808,0.67842823,1.1080524,1.142855,1.2365041,0.8860649,0.9515138,1.1119534,1.0504547,0.8058646,1.1015819,1.110303,0.6749586,0.6783948,0.91611135,1.1555765,0.9668745,0.98045474,1.0155381,0.816357,1.2242016,0.9729025,1.1393754,0.8027026,0.916705,0.7182158,0.8619302,1.1916908,1.1700404,0.9729292,1.150132,0.914075,0.8528096,1.0048797,1.0116413,0.9338316,1.2447344,0.8336668,0.70952535,1.3190634,1.2613469,0.95793927,0.77151805,0.66885805,0.5296429,1.0170118,1.075027,0.9147498,0.8885915,1.2008425,0.9846503
bathtub,0.80287623,1.2675415,1.4264565,0.846855,0.69552654,1.3525484,1.2954637,1.3172218,0.9716126,0.0,0.6421614,1.1896051,0.47470152,0.84188336,1.1297706,0.74864626,0.8443735,1.0753446,1.3142209,1.1956685,0.86844486,1.3791358,1.1551588,1.1811163,1.176548,1.1368184,0.92390394,1.0773752,0.6517571,0.84456295,1.0605031,1.0928857,0.79014844,1.1235048,0.7482798,1.1219797,0.6849905,1.2961187,1.320555,0.55937916,1.25924,1.1524973,0.89267445,1.2747277,0.5070791,0.9748509,0.9084249,1.2478524,0.89106846,0.97040725,1.3577731,0.8799151,1.296984,1.205097,1.252508,1.1792682,1.2047569,0.96493804,0.8619123,1.3358166,1.4034743,0.6817019,1.387176,1.0079684,0.8873675,1.1500233,1.3164852,0.7350703,0.6684369,0.6904456,0.75970805,1.1646484,0.73829705,1.0232742,0.73808646,1.0104718,0.9846179,1.1582501,1.0640601,1.2318125,0.8731364,1.1354825,1.2107844,1.3033692,1.12513,1.4433379,1.0091107,1.1994255,0.36842406,1.3571517,0.7170714,0.8011328,0.9498443,1.2427272,1.2736082,1.226083,1.117787,1.1416209,0.7919506,1.048985,1.0768301,1.1181848,1.1746514,1.1083838,0.99369437,0.3159567,0.6573582,1.2222476,1.0367839,1.0177538,1.0124454,0.7472645,1.2459984,1.2542596,1.1665429,0.48947453,0.4839096,0.77326405,1.3680842,0.44143707,1.2839286,1.1866117,0.935324,1.0887257,1.0920659,1.3381221,0.92589116,0.7411335,0.51570046,1.2167697,1.3754733,1.4427421,1.19467,1.1443671,1.2795347,0.804242,0.86471677,0.77017957,0.9075756,0.9128084,1.337945,0.6907375
