,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.4608636,1.3680208,0.72887903,0.76933306,1.3236884,1.0732015,1.1208329,1.1357551,0.80027425,0.82653147,0.63586867,1.3538238,0.74367434,0.6520652,0.689507,0.5820303,0.8864432,0.7214943,1.4724174,1.3402281,0.81956005,1.1208832,1.3180481,1.2845849,0.551385,1.4820089,0.8598877,1.1793343,0.73810714,0.9667604,0.93313545,1.2635498,0.93561906,1.4101233,0.8783629,1.2104082,1.0125434,0.67458296,0.947834,1.3385613,0.6442105,1.4761556,0.99699295,0.9633834,0.68352437,0.7533456,1.0160904,1.1713766,0.85649294,1.3151677,1.3607988,0.6775289,0.8229133,1.1819465,1.0539854,0.9667897,1.0394144,1.1405699,1.2201916,0.27685702,0.7754624,1.2266219,0.958297,0.5423553,1.0726943,0.87627363,1.1682029,0.92933726,1.3088331,0.9928476,0.9118213,0.6837164,1.1574497,0.67100537,1.2407477,0.83047634,1.450034,0.92307544,1.0268039,0.9912963,1.05731,0.62320185,0.8417665,1.0613272,0.878731,1.3852179,1.3049672,1.3473701,1.3449028,1.2781277,0.9635466,0.7991184,0.6444112,0.8057492,0.9665991,1.3488896,1.3137137,1.1755376,1.225169,0.9141186,1.15956,1.0446312,0.80376005,1.0852656,0.69821036,1.2146271,0.7033098,1.0827839,1.347594,1.3280973,0.93478715,1.2859924,0.316334,0.7926847,1.1312486,0.72881424,1.1333312,0.9414239,1.3611917,0.8381245,1.0696726,0.5544098,1.4184747,0.7810581,1.4683455,0.95959646,0.97024506,1.3217955,1.1327144,1.142831,1.3252299,0.82070756,0.7398292,0.65058076,1.3472059,1.3092587,1.281329,1.381705,1.3585579,0.91339123,0.958034,0.89503944,0.9359193,1.0367097,1.3393292,1.382335,0.9303787
ankle,1.4608636,0.0,0.6893698,1.225472,1.0099688,0.8158467,1.0203308,0.9277204,1.1113503,1.2034047,1.0611091,1.4230218,0.5920541,1.2452791,1.3292038,1.0181099,1.4391125,1.1342237,1.2776622,0.6690924,0.8246198,1.3125856,0.8866439,0.6128507,0.88036156,1.1522245,0.580572,1.2859821,0.7113941,1.0334033,1.1599182,1.1381872,0.8441813,1.1939455,0.57821524,1.0779986,0.7482236,1.0279899,1.4145513,0.9421375,0.60820675,1.492922,0.65371287,0.98272806,1.1878526,1.3345155,1.2526286,1.0045195,0.9029645,1.1559685,0.49168766,0.7858262,1.0331935,1.1947813,0.63000137,1.0742693,0.85196847,1.0638531,0.7504371,0.8171726,1.2694974,1.2577918,0.7066436,1.0518389,1.4188422,1.0495896,1.079968,0.8790279,0.8918989,0.655735,0.94109046,1.1907771,1.294694,0.9345816,1.3418107,0.6669177,1.2505624,0.51104426,1.1059973,0.9894472,1.0164949,1.1517006,1.3418157,1.3465854,0.95162225,1.0777192,0.5403703,0.73138165,0.5581763,0.6003094,0.7983862,1.1142436,1.1969728,1.3389468,1.1747137,0.9957763,0.551504,0.57754785,0.8843145,0.793198,1.07693,0.9023922,1.0049227,1.103489,1.0769135,1.2331411,0.8019147,1.1831324,1.077125,0.866584,0.64098525,1.1742494,0.6344017,1.4222286,1.2370257,0.8493302,1.2143202,0.8223298,1.0055751,0.58239955,1.1929959,1.0213392,1.4743648,0.46003175,1.1207367,0.62712884,0.9540594,1.1278827,0.70304525,1.0135252,0.7732719,0.72717476,1.3741186,1.1962214,1.4275262,0.81015027,0.45322645,0.65306526,0.6684366,0.6989802,1.2521284,1.1826129,1.1648568,1.2438283,1.0018864,0.7793915,0.5014892,1.0868516
apple,1.3680208,0.6893698,0.0,1.107488,1.3761322,0.49258423,0.7015615,0.37915927,1.2023065,1.4415396,1.1598425,1.5260092,0.5447931,1.5221561,1.4271601,1.0169351,1.5328159,1.164302,1.1821601,0.49467635,0.6807191,1.3141674,0.6779299,0.9194507,0.96948487,1.1448953,0.8033927,1.1907924,0.37653434,1.320698,1.3733974,1.0908438,0.7457125,1.3557693,0.5626643,1.3959327,0.8169029,0.6766431,1.5131557,0.9444239,0.31540763,1.5563288,0.5440785,1.0893278,1.1053612,1.2139081,1.2164953,1.401131,0.92174625,1.3712087,0.7018108,0.24099731,1.192659,1.1689777,0.69372547,1.0890473,0.5414112,0.60913384,0.8034765,0.9170817,0.96544796,1.3591491,0.653045,1.1353818,1.3959827,0.72834027,1.1829598,0.6123818,1.1577146,0.64929533,0.8995329,1.4989482,1.4291632,1.0453593,1.4343126,0.8340211,1.4962838,0.7245153,1.2460922,0.967296,0.5964023,1.281425,1.3726768,1.4166336,0.9348084,0.91258013,0.26566207,0.9395087,0.507759,0.4869243,0.11215705,1.4471204,1.2237164,1.5148826,1.3477453,1.1242405,0.52961123,0.5022576,0.96111274,0.38288665,1.0148182,1.0077375,0.82340395,1.1477033,0.87884134,1.0563273,0.53002405,0.9058704,1.0974344,0.98502743,0.50512564,1.4997964,0.6085386,1.2233096,1.3096462,0.8880199,1.4054022,0.97705054,1.1849631,0.6351619,1.4115828,1.2985688,1.5117302,0.34092295,1.2965784,0.52708495,1.0753365,1.0329276,0.6710111,1.1322032,0.8969417,0.23297048,1.4179404,1.35688,1.4687607,0.64654577,0.54123616,0.45823246,0.5908784,0.830271,0.8467952,1.1207422,1.220603,1.256784,1.1083314,1.1609669,0.39087087,1.3579861
applesauce,0.72887903,1.225472,1.107488,0.0,0.73780334,1.2996901,1.0564604,0.9955265,1.1844292,0.89999807,1.0976926,0.9234369,1.3618817,0.85208917,0.7546438,1.142319,0.904017,1.0564781,1.0090815,1.2307534,1.1733555,0.9528725,1.0717258,1.3068434,1.0648745,0.91023725,1.2632645,0.9766611,1.1154753,0.94141906,0.98969674,1.0084612,1.2818918,0.90937924,1.2885789,0.84528667,1.292542,0.92828315,0.9128648,0.990562,1.26886,0.8561052,1.1516111,0.96669745,0.74350184,0.91790867,0.8212846,0.97734237,1.0922484,0.7820368,1.0933259,1.1938171,1.0565746,0.7722922,0.9214067,0.88645685,1.113853,0.9848354,0.87985635,1.1499568,0.7687908,0.6525089,0.92499536,0.8470969,0.8658417,0.804001,0.81138027,1.0374774,0.6270314,1.1210268,1.1482012,0.98835117,0.93674344,0.88962305,0.7908629,1.2366005,0.87627643,1.3595943,0.9479948,0.91732,0.8505588,0.9734901,0.6130864,0.9170097,0.8743467,0.89197075,1.2378207,1.2635329,1.1305159,1.1696956,1.0469424,0.9740888,0.9899829,0.8009903,0.8406246,1.1624,1.3126526,1.175138,1.0375812,1.1520156,1.1002152,1.2689519,1.0306163,0.7070204,1.0385491,1.074108,1.1573619,0.7650626,1.1108297,1.314817,1.1389083,0.9733839,1.263009,0.74271446,0.85363805,1.1809454,0.8004803,1.1259869,0.815802,1.2603583,0.94879717,1.0318915,0.85558784,1.2709577,1.0012734,1.2572595,0.9432208,0.85712254,1.1802214,1.0655698,1.1295068,1.2542176,0.99299335,0.80681145,0.8150432,1.1971315,1.0646368,1.0362045,1.2574093,1.3241597,0.98242456,0.9291676,0.9405265,1.0065427,1.0620315,1.2809386,1.1819913,0.9802984
arm,0.76933306,1.0099688,1.3761322,0.73780334,0.0,1.3330745,1.2508124,1.3160733,1.2762417,0.6080401,0.8865917,0.58004344,1.3104123,0.58190703,0.47907734,1.2267134,0.63883674,1.0062643,1.1744534,1.4449875,1.32657,1.0833222,1.2498252,1.2109962,1.2638482,0.95365983,1.2696307,1.0653397,1.1837335,0.7398704,0.8340772,1.1414992,1.3484652,0.83318114,1.3303182,0.77945966,1.3544774,1.1934553,0.575488,1.0503079,1.4116135,0.6809186,1.3884174,1.0608071,1.0791674,1.065506,0.93073064,0.7580221,1.1282543,0.68302405,1.1757835,1.3531691,0.7738033,0.73622334,0.7038206,1.1439064,1.2429551,1.3297529,0.85789406,1.0807049,1.1533799,0.7466656,1.0403196,0.7498591,0.8342296,1.260129,0.69333214,1.2515972,0.42980003,1.105081,1.3194537,0.8602352,0.71686286,1.1781138,0.5411456,1.1537131,0.67301893,1.3094548,0.45456016,0.958048,1.2344993,1.0297788,0.5356222,0.82602394,0.9395063,0.84596854,1.2680302,1.2012466,1.196003,1.1978729,1.3260353,0.73106885,1.160238,0.46766776,0.50738,1.1142495,1.3459375,1.2175614,1.202101,1.2021568,1.1435158,1.1590942,1.1961933,1.0025094,1.1955403,1.2656618,1.2634794,0.683487,1.1530958,1.2458897,1.15888,0.74375653,1.3517274,0.8840874,0.578313,1.3046525,0.394929,1.2324631,0.57716006,1.376293,0.65456736,0.84418684,0.70649636,1.3482894,0.821093,1.4450141,0.7443918,0.9542187,1.2769713,1.1103036,1.1293591,1.399872,0.84804463,0.5107327,0.6780277,1.4498926,0.91122544,1.1393399,1.2965095,1.2676828,1.379988,1.1138086,0.9443169,0.9710829,1.1878178,1.1344987,1.1718363,0.85218453
ball,1.3236884,0.8158467,0.49258423,1.2996901,1.3330745,0.0,0.27770698,0.83875555,0.9851277,1.1722927,0.9527917,1.299899,0.7977927,1.3913285,1.3151227,0.933403,1.3069286,1.0507156,1.1187669,0.567751,0.63729686,1.187371,0.9266104,0.928855,0.7957579,1.0920591,0.8482566,1.073383,0.8347965,1.2004814,1.2981169,1.0196027,0.49529898,1.2645552,0.7091516,1.2544353,0.70795816,0.9370529,1.3119518,1.059068,0.68198407,1.2774599,0.5643517,1.0171548,0.92163646,1.1236551,1.1653528,1.2583715,1.1232518,1.2612495,0.91167206,0.2160852,1.1637462,1.1675348,1.0028375,1.1285553,0.9387258,0.7588824,1.1161462,0.93001556,1.0690666,1.0466552,1.019808,1.1209332,1.2019919,0.8510114,1.1886533,0.883804,1.2313755,0.78312135,0.8864921,1.2418181,1.2962087,0.9370935,1.3818547,0.9290403,1.326298,0.73327535,1.1659143,1.1641091,0.7921584,0.93059796,1.2783775,1.2861879,1.087741,1.027737,0.64126825,0.917621,0.8985673,0.7486685,0.57350165,1.2991908,0.97720104,1.3860147,1.3491042,0.92701757,0.7711366,0.8511462,0.9590129,0.73943734,0.9372093,0.90348023,0.98360157,1.2687372,0.8960663,0.9702549,0.58656085,1.0027649,0.9422608,0.8308668,0.70051855,1.2902725,0.7129134,1.1591057,1.2944684,0.83972543,1.3063917,0.96889585,1.2568552,0.7452967,1.209379,1.0520304,1.305261,0.7525936,1.0869341,0.60921353,1.1410336,1.0882537,0.7885997,0.80801284,0.9440871,0.6061853,1.2807927,1.2989206,1.2710959,0.49480957,0.8866067,0.9029442,0.70863545,0.8627143,0.7889017,1.1312999,1.1211747,1.1046872,1.1173648,1.0770701,0.7814076,1.219613
balloon,1.0732015,1.0203308,0.7015615,1.0564604,1.2508124,0.27770698,0.0,0.9534197,0.9492685,1.0834708,1.0663332,1.1746877,1.0203435,1.2711757,1.1643726,1.0050088,1.1560788,1.0461243,1.0039948,0.77167714,0.6588751,0.9910717,1.0468045,1.0356578,0.67136,1.0598494,0.9538834,1.0755795,0.8760755,1.274268,1.1658959,0.9615942,0.61774635,1.1993107,0.8755874,1.1158682,0.87068605,0.96429724,1.1507167,1.1201762,0.8632246,1.090057,0.6631253,0.9630201,0.6460016,1.0638529,0.9881768,1.2118998,1.1454839,1.1178417,1.0197843,0.47296798,1.1460307,1.1275669,1.0443485,1.0924214,0.9885845,0.7981843,1.1740452,0.9980114,0.885335,0.88129085,1.1104647,0.9910308,1.1352172,0.7347398,1.1403329,1.0036508,1.1362782,0.8785319,0.9558428,1.0682602,1.1460894,0.8676684,1.2144507,1.0342004,1.2280704,0.9548354,1.1270673,1.0889313,0.74577475,0.82683,1.0658705,1.1820458,1.0501455,1.0534086,0.9400711,1.0117533,1.0241436,0.9241939,0.7806761,1.246721,1.0712382,1.2249517,1.2442702,0.90932125,0.9477675,1.0028001,1.0989821,0.8600026,0.90366375,0.9371689,1.0791951,1.1428795,0.9071088,0.9353214,0.72958934,0.9045861,0.78592,0.9375931,0.8076951,1.2335788,0.92479175,1.0553908,1.2191927,0.80628884,1.213472,0.99649763,1.1812458,0.9107395,1.1358052,1.0091088,1.0967033,1.0422266,1.172323,0.8107007,1.0063092,1.0182899,0.9127944,0.81642735,0.9860677,0.7617146,1.1585873,1.1838715,1.1437465,0.6506366,1.0285729,1.082377,0.89771205,0.97251546,0.64556825,1.0693194,1.1179206,1.122303,1.0659646,1.1357605,1.0289729,1.1371064
banana,1.1208329,0.9277204,0.37915927,0.9955265,1.3160733,0.83875555,0.9534197,0.0,1.104866,1.3524952,1.0613006,1.4173425,0.86555004,1.4618663,1.2463591,0.95913374,1.3652852,1.052112,1.0487121,0.7804477,0.798123,1.1738472,0.5109453,0.97320867,0.99230814,1.045684,1.0311104,1.150061,0.63561594,1.2722957,1.3664162,0.89026403,0.9006423,1.3882965,0.9483791,1.1768017,0.79669344,0.31137794,1.4057605,0.6813901,0.6261565,1.4575436,0.82203984,1.1012328,1.0546923,1.0319676,1.1034883,1.3854855,1.0320294,1.2722375,0.87926793,0.4669999,1.2205667,1.1236184,0.9016805,1.0038375,0.71644545,0.7711284,0.94842654,0.8629177,0.7998795,1.2721419,0.8924145,1.0279311,1.25083,0.8338367,1.2069381,0.515909,1.1153553,0.95167845,0.9335934,1.2142677,1.3046515,0.95143276,1.259166,0.8628884,1.4255881,0.9217695,1.2326497,0.9640478,0.6130253,1.136532,1.1074128,1.2965311,0.9257657,0.86229354,0.79317284,0.7972901,0.7387419,0.8334479,0.26541364,1.3696431,1.030086,1.3637433,1.2826784,1.1122173,0.7325797,0.7324751,0.9586614,0.32298064,1.0653255,1.0666142,0.6011579,1.0355022,0.70628756,0.9124906,0.47415316,0.83877754,1.0685284,1.0296206,0.916857,1.4091485,0.9494764,1.009189,1.1415507,0.83392453,1.3556874,0.9279646,1.2017391,0.6198195,1.3444426,1.2722759,1.240746,0.67479855,1.2144188,0.8163593,1.048766,0.93123436,0.6765788,1.0916804,0.94978935,0.6301521,1.3018247,1.3208289,1.3176551,0.7252861,0.8493228,0.81487167,0.87302154,0.7515548,0.73742276,0.7527962,1.1942993,1.2046378,1.0734103,1.163107,0.7746265,1.312129
basket,1.1357551,1.1113503,1.2023065,1.1844292,1.2762417,0.9851277,0.9492685,1.104866,0.0,0.9638732,1.0303237,0.9998113,1.014869,1.0648596,1.1710538,0.8870326,0.98372334,0.9096152,0.6330485,0.7784575,0.7082281,0.44087195,1.0523429,0.92617875,0.5642153,1.1141484,0.81589836,0.930679,1.236572,1.2114376,0.8181989,0.83988893,0.80184793,0.9241826,0.88401437,0.85649616,0.82457006,0.96506774,0.9951535,1.0336492,1.0164568,0.8846963,0.7459637,0.9481763,0.8580103,1.006488,0.89181,0.96886134,0.8744383,1.127213,1.0909324,1.1271577,1.1929398,1.1941763,1.3673193,0.7791356,1.1660352,0.8325051,1.3643523,0.8352541,1.0612622,1.0304447,1.3280606,1.0499797,1.0853014,0.8376908,1.2892308,1.0989279,1.2533144,1.1688994,0.94991404,0.7986498,1.010648,0.79442847,1.2516015,0.9136643,0.96845853,0.82028866,1.1888629,1.0162505,1.0845166,0.6767613,1.1853585,0.98867834,1.1949861,1.2574106,1.1975856,0.71280384,1.2168434,1.2871355,1.2264845,0.90249765,0.87644714,1.1904352,1.3505323,0.6457523,0.93717206,1.0352243,0.9276522,1.2029155,0.9915605,0.7409954,1.0497339,1.0560125,0.84697425,0.9145901,1.1215779,1.3284495,0.6897361,0.4606902,1.227572,0.81178594,1.0021833,1.1510556,1.1044747,0.7540492,1.2655957,0.8216492,1.3576899,0.8129987,1.0088863,0.76494545,0.8920814,1.1540285,1.1493242,0.74738234,1.1232151,1.0092179,0.86825144,0.8600134,1.0217657,0.9913336,0.9397902,1.3293383,0.9771411,0.61192095,1.3317022,1.3080581,0.86900276,0.7089884,0.6622119,0.6145215,0.9281734,0.97403204,0.66537625,0.7211262,1.310454,0.92161137
bathtub,0.80027425,1.2034047,1.4415396,0.89999807,0.6080401,1.1722927,1.0834708,1.3524952,0.9638732,0.0,0.6454896,0.52553713,1.3115652,0.6178269,0.7544838,1.1122519,0.6037409,0.83204466,1.05764,1.304292,0.9770203,0.97604495,1.2965997,1.2223787,0.9918939,0.9825155,1.1675454,0.8747575,1.3639209,0.72022235,0.8967716,1.1231833,1.1339854,0.74916506,1.2878371,0.7904869,1.2560635,1.2002553,0.59556746,1.1984946,1.3988262,0.57769823,1.2142682,1.2253859,0.824481,1.1060874,1.1607864,0.56862974,1.1399585,0.98160017,1.3322605,1.2979232,0.7613383,0.84727323,1.1653309,1.2110181,1.345443,1.2892148,1.180908,1.0685192,1.1444397,0.5696995,1.2613454,1.1294711,0.64569914,1.2661595,0.87891376,1.3508843,0.9453118,1.273036,1.2714345,0.61660194,0.6909703,1.0529567,0.7700981,1.1495671,0.66167194,1.1012424,0.6693789,1.1533257,1.1889861,0.7858285,0.83798707,0.83456606,1.0628911,1.0637293,1.2832503,1.1216674,1.4590635,1.3584833,1.3662932,0.5642629,1.0296617,0.69809896,0.79471695,0.92459404,1.347139,1.3771554,1.301625,1.3371444,1.098273,1.1681837,1.2198558,1.1762351,0.96016717,1.1858437,1.251107,1.0161352,1.0978874,1.0796987,1.3051457,0.5142075,1.2862861,0.9716195,0.91924393,1.1232773,0.6896352,1.2820305,1.0075951,1.3028661,0.16507524,0.19559693,0.6502571,1.4400127,0.52491075,1.3008535,1.1410197,0.85885113,1.163531,0.8944283,1.0871339,1.3972628,0.7870808,0.74181163,0.5484266,1.1459868,1.2848643,1.2088286,1.1795812,1.2176211,1.1761943,0.85890555,0.7718029,0.9539547,1.1604817,1.1209091,1.3277303,0.7153096
