,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,spoon,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.1927183,0.6769701,1.1403654,1.265547,1.2257707,1.1555,0.67815167,0.73900324,1.3679212,0.77261585,0.7321153,0.7545186,1.0491203,0.94086283,1.5212727,1.277081,1.176218,0.9676589,1.4979396,1.1448127,1.4507357,0.9741372,0.662605,0.50115895,1.2995408,1.3985279,0.9207543,1.2905056,1.0111074,0.62533057,0.5448613,1.4952719,0.7281788,1.5691049,0.9551245,0.8291369,1.1731477,1.2148255,0.80185735,1.1211827,0.80886894,0.5493774,1.0530647,1.0346625,0.42875332,1.1557916,1.4222357,0.6465533,1.035628,1.3155272,0.9259465,1.2282028,0.8690105,0.7132952,1.0993152,1.1852245,0.74223554,1.4382702,0.6046655,1.2952592,1.3300854,0.78843427,0.63090515,1.2959492,0.4326821,0.91397583,0.9251168,0.96914023,1.4025321,0.99209845,1.2846756,0.8593561,1.0975499,1.358985,0.7533638,0.77149284,0.68781173,0.82876575,1.3607936,1.2507876,0.7330734,0.8242614,0.7612305,1.2373406,1.355643,1.0118345,1.1440936,1.3364677,0.9460507,0.993009,0.94258225,0.6217934,1.1660597,0.7242069,1.183727,1.22903,0.9185363,1.3156319,1.3709147,1.3530982,0.8758333,0.69563544,1.2786716,1.1934681,1.1016883,1.2769794,0.7994554,1.0866601,1.0331877,1.1496873,1.4072125,0.8973161
apple,1.1927183,0.0,1.2692703,0.3382635,0.59293914,0.45000362,1.088747,1.3337874,1.2856152,0.78496414,1.2249556,1.1534425,1.3386767,1.0431331,1.1955256,0.85069364,0.909715,0.9865979,0.93442893,0.8161736,0.87490535,0.9025672,1.1218041,1.1488373,1.3079195,1.1691774,0.8481654,0.9609717,1.0798522,0.8592316,1.252121,1.207387,0.75054216,1.4175329,0.7754464,0.93544775,0.98795855,1.1447831,0.9671152,1.213978,0.43650568,1.3145628,1.2444766,0.943722,1.0959061,1.2047589,0.6848508,0.8391697,0.51095796,1.1717805,0.9359285,1.0071187,0.6580235,1.2359514,1.2657578,0.9958388,0.8290192,1.2079747,0.904253,1.3916376,0.8494638,0.8976868,1.2034751,0.71551645,0.99987626,1.1651924,1.0913306,1.1057335,0.79215837,0.6661839,0.94063723,0.93978,1.0720227,0.46149218,1.020104,1.1849755,1.2414219,1.2683692,1.2845072,0.91779166,0.9385792,0.7823362,1.0669991,1.073375,0.8607631,0.7831757,0.64503884,1.0542151,0.7799239,1.2443881,0.87250644,1.1221805,1.3623568,0.89169437,1.321522,0.8273585,1.1766506,1.2485743,0.8370433,0.83179295,0.5435983,1.2587965,1.0788982,0.60469997,0.9279801,0.97250336,0.9550513,1.3330595,0.42509437,1.1701485,1.1043657,0.86152655,1.2771838
arm,0.6769701,1.2692703,0.0,1.125551,1.1805257,1.369456,1.1085069,0.60436547,0.78510433,1.367501,0.86839217,0.7945086,0.8505153,0.9906534,0.85811627,1.3240705,1.2496455,1.1512647,1.1003735,1.3584517,1.3205429,1.2744049,0.9629521,0.7196303,0.747128,1.1303753,1.2442633,1.0383165,1.1081117,1.0520682,0.77933884,0.7140223,1.3188529,0.83241403,1.403533,1.258939,1.1514459,1.1241663,1.1092839,0.96993774,1.1033716,0.81091577,0.781234,0.9303888,0.98190266,0.6473759,1.2671131,1.2356813,1.0034771,1.0184393,1.2042643,1.0448292,1.2594556,0.8502265,0.49077255,1.1928048,1.3173573,0.7674705,1.3238244,0.56283784,1.0767803,1.1780504,0.87958354,0.8734662,1.0209757,0.52927977,1.1013273,0.8618026,1.1421648,1.3291107,1.1661923,1.2201954,0.85760665,1.1067301,1.2701902,0.91249275,0.8359997,0.8292564,0.7014829,0.9735502,1.0102775,0.97452986,0.9567175,0.9612958,1.2385852,1.3281,0.9575153,1.1799395,1.3404083,0.9521229,1.2940325,0.9022315,0.65901077,1.3060834,0.6084971,1.0399115,0.8159269,0.7773051,1.3228188,1.1429352,1.3186569,0.8293654,0.4837997,1.2514815,1.162063,1.0973049,0.8576924,0.9800998,1.1074331,0.85400623,1.0702397,1.2893354,0.8744895
ball,1.1403654,0.3382635,1.125551,0.0,0.4616639,0.84163487,1.1959953,1.2072157,1.1457417,1.0154666,1.1529322,1.015611,1.2024589,1.0518467,1.086649,0.98436093,1.0120229,0.94944954,1.0253435,0.9670714,0.96512955,1.0186943,1.1185097,1.0898424,1.2143495,1.2448454,0.87968457,0.8285843,0.95904225,0.7047798,1.1648619,1.0999502,1.0034204,1.3450849,0.98888355,0.9685438,1.1351707,1.0508823,1.0809473,1.1285074,0.07563496,1.2607298,1.1433256,1.0120766,1.1071866,1.0985434,0.95111907,1.0233238,0.58638513,1.2079363,1.0665327,1.0989056,0.8472409,1.1584716,1.1685688,1.0814672,0.8830634,1.169239,1.0667773,1.2436368,1.0405909,0.8023062,1.2209598,0.66770625,0.9637014,1.1773283,1.114125,1.0761231,0.75110126,0.8395592,0.99999106,1.0206828,0.98061705,0.09268701,1.2168934,1.1399658,1.1271842,1.2742891,1.1427121,1.1165918,1.1205695,0.8974855,1.1490352,1.0737675,1.01236,0.99578744,0.22013867,1.0900971,1.0320774,1.1923983,0.9573597,1.0184156,1.2399433,1.0195642,1.1513075,0.96298444,1.2085445,1.181762,1.0516249,1.0430537,0.76060045,1.2218332,0.95293117,0.65901345,1.067487,1.0943189,1.0120454,1.3499081,0.42981672,1.1206912,1.1771075,1.0021166,1.2254131
balloon,1.265547,0.59293914,1.1805257,0.4616639,0.0,0.80495965,1.20682,1.1739618,1.2502108,0.71422774,1.2955501,1.248022,1.2659874,1.1696134,1.2345209,0.76180404,0.9925997,1.0738246,0.90992755,0.9048152,0.92374396,0.88588434,1.1569111,1.0860763,1.2156571,1.1171589,0.43489504,0.67387855,0.9095557,0.8103967,1.2906649,1.1245795,0.7006803,1.4237351,0.71577966,1.0089073,1.2124074,1.0320282,1.0089217,1.1306272,0.59152144,1.2398547,1.2098275,0.8653269,1.0866407,1.141683,0.9187615,0.684477,1.0072728,1.1303351,0.82215405,0.8000356,0.67906487,1.2216325,1.2214501,1.0411301,0.912341,1.1728847,0.789664,1.2809107,0.89189273,0.7619591,1.2259524,0.90946925,0.88704264,1.217618,1.1081386,1.111191,0.90736955,0.5584619,0.9026133,0.7591008,0.90801126,0.6769471,1.0230235,0.975292,1.1921846,1.3156102,1.2590503,0.98091847,1.0438339,1.1038642,1.031631,1.033212,1.0614256,0.7045835,0.8312967,1.0644437,0.77513343,1.2503299,1.0094934,1.0659429,1.2645352,0.8801715,1.1882865,0.9580419,1.1106728,1.2597744,0.72475797,0.85471594,0.7436062,1.1584724,1.1534631,0.7377013,0.8201602,0.83723307,0.97421676,1.3013916,0.9239505,1.1765445,1.2061899,0.6659433,1.213227
banana,1.2257707,0.45000362,1.369456,0.84163487,0.80495965,0.0,1.1668398,1.3771229,1.4487534,0.414083,1.1903087,1.2894027,1.3691291,1.2066567,1.3652354,0.63150567,0.95520973,1.1293986,0.8706862,0.7634382,0.8092602,0.86337805,1.1902885,1.0909469,1.2626994,1.1427302,0.6123364,1.050987,1.2016687,0.9982607,1.3868482,1.2493746,0.4959793,1.4302344,0.54240566,0.91948396,0.8845024,1.1767367,0.92223096,1.2962303,0.8853706,1.2709591,1.210583,0.6927644,1.1051075,1.1980246,0.5758594,0.5539588,0.8442958,1.1615016,0.4928794,0.8044554,0.6262479,1.0687481,1.1984705,0.8385182,0.86213326,1.2107676,0.5386479,1.3835002,0.82882595,0.98361444,1.1428566,0.8949677,1.003992,1.1903071,1.038696,1.015414,0.9041699,0.40358675,0.9367615,0.519814,1.0445586,0.93127334,0.7625587,1.1648349,1.3157793,1.2029959,1.4285975,0.74638397,0.76438266,0.859045,0.9271196,1.0831152,0.8643393,0.673425,1.0611017,1.0877069,0.70090234,1.30123,0.823638,1.1543416,1.3277118,0.87553877,1.3677189,0.98872787,1.1879582,1.3039131,0.42927086,0.7484479,0.48606282,1.2384752,1.4345114,0.85472834,0.48441106,0.57297075,0.98688275,1.1982484,0.9348014,1.3281317,1.0369848,0.43866968,1.2253606
basket,1.1555,1.088747,1.1085069,1.1959953,1.20682,1.1668398,0.0,1.1759878,1.0318362,1.1888556,0.9132337,1.0578754,0.89610416,0.942441,0.83378625,0.97671777,0.64963084,0.8195825,0.872004,0.7987187,1.0920122,0.8233759,1.1595042,0.96374094,1.114672,0.3865195,1.1151482,1.0219783,0.68975335,0.8491336,1.0028914,0.9370069,1.0325559,0.8336226,0.95208406,1.0865653,0.9363035,0.8164818,0.8268332,0.97507596,1.1427277,1.0254306,1.1146271,1.1337202,1.1887068,1.0350729,1.0088425,1.0801338,1.063242,1.0217831,1.163747,0.92721874,1.0190152,1.0940139,1.0253181,0.7483134,1.0386667,0.9680516,1.0354817,1.1191858,0.8045136,0.90088385,0.918408,1.1031998,0.8752824,1.0689789,1.0959063,1.0525281,0.94504654,1.2121747,0.9631632,1.1139832,1.087278,1.1010929,0.8722216,0.88835573,1.0457811,1.0764941,0.9056522,0.90462404,0.8468461,1.0217599,0.88678294,0.9907907,0.870277,0.86753726,1.1523368,0.7530189,0.85772806,0.95487344,1.1276761,0.98410225,1.1824465,0.9947807,1.0436474,0.75037825,0.7898597,1.0324978,1.1321793,0.77641654,1.1261305,1.1212262,1.1356248,0.77481776,1.170964,1.1671743,0.86562264,0.87265474,1.0153862,0.8645438,0.8701074,1.2173934,0.99137414
bathtub,0.67815167,1.3337874,0.60436547,1.2072157,1.1739618,1.3771229,1.1759878,0.0,0.6488722,1.3439624,0.66472393,0.80371517,0.8004099,0.84909135,0.99337894,1.381005,1.1642628,1.1691787,1.2066457,1.3691485,1.1635183,1.3107499,0.70506024,0.96268547,0.5826881,1.1573262,1.2823412,1.0046005,1.113341,1.1214952,0.65872043,0.945613,1.4332407,0.57782215,1.4189794,1.1179354,1.0714855,0.93804955,1.1387036,0.9020791,1.2336726,0.8510922,0.68955755,1.1473727,0.7627866,0.82733107,1.159817,1.3105675,1.0285689,0.7595445,1.231632,1.2492979,1.345205,0.70846856,0.8034311,1.1469264,1.2088778,0.9516622,1.3234415,0.5124418,1.3342026,1.1215041,0.83910227,0.9550983,1.1435359,0.6959865,0.8000593,0.96140575,1.2113444,1.358913,1.2591205,1.2035687,0.8674879,1.1976532,1.2401888,1.0321834,0.7369949,0.85674405,0.7926612,1.3550065,1.336776,0.8631215,1.1602088,0.94680953,1.0817927,1.3370776,1.0488613,1.1309525,1.3235106,0.8885357,1.1319103,0.819054,0.57528716,1.1386381,0.7280967,1.2569678,0.80572563,0.65142447,1.356811,1.348085,1.3296323,0.71671087,0.5237856,1.3076453,1.2660959,1.2737002,1.2263795,0.96176153,1.1715212,0.7206147,1.1434382,1.3038238,0.559519
bed,0.73900324,1.2856152,0.78510433,1.1457417,1.2502108,1.4487534,1.0318362,0.6488722,0.0,1.4103255,0.49853182,0.6283785,0.27482045,0.68233824,0.69372785,1.4016132,1.2537205,0.9752879,1.3698633,1.2826391,1.2004998,1.3160751,0.6438297,1.1123253,0.65119994,1.138644,1.369646,1.0460654,1.0938176,1.0422287,0.11787474,1.1029347,1.4670062,0.4077357,1.4793379,1.1533188,1.1726078,1.0196495,1.0915605,0.6496814,1.1751878,0.625186,0.86213523,1.3255429,0.74335474,1.0221139,1.3626963,1.432028,1.1027324,0.7325512,1.3652618,1.3658968,1.3162922,0.9634356,0.99699014,1.2176872,1.1481594,0.71709704,1.3832481,0.6182721,1.3952018,1.056295,0.95899653,0.9942447,1.1438811,0.8617896,0.9345759,1.0475422,1.2381717,1.4534006,1.1210663,1.4498959,0.9650798,1.1213478,1.2584271,0.83492446,0.576257,0.76730716,0.65663904,1.4085567,1.3283324,0.9811744,0.8890307,1.041297,1.1833607,1.3603675,1.016945,1.0525781,1.3839724,0.84351075,1.1591282,0.93171036,0.68807036,1.1439251,0.77891237,1.25401,0.96790326,0.5945089,1.4496069,1.4542456,1.3099896,0.7568865,0.48753613,1.167427,1.4179966,1.4377658,1.2324362,0.7835045,0.99205166,0.70776767,1.1173575,1.4052063,0.76768196
belt,1.3679212,0.78496414,1.367501,1.0154666,0.71422774,0.414083,1.1888556,1.3439624,1.4103255,0.0,1.2230138,1.3307909,1.3130063,1.2505957,1.3412192,0.48025084,0.89009845,1.057064,0.88100225,0.67338353,0.81594753,0.7203212,1.2310383,1.2144214,1.2507366,1.0236676,0.46548378,1.036685,1.1202084,1.0761706,1.4026749,1.25438,0.3374666,1.3668349,0.34822226,0.9412743,1.003196,1.0773273,0.73736644,1.2495029,1.069639,1.1965215,1.2467159,0.6811886,1.0874279,1.2730002,0.6985687,0.35338247,1.2599362,1.1315811,0.39796788,0.7194581,0.5172358,1.166358,1.2871813,0.7752656,0.8871863,1.2184207,0.44194973,1.3803575,0.74155366,0.9349986,1.1383615,1.2377019,0.94923794,1.2936617,1.0754098,1.1053588,1.021762,0.34484518,0.8851787,0.47747242,1.1519136,1.1207237,0.47055608,1.0746408,1.3477986,1.1444834,1.4247823,0.72678924,0.7761866,1.1688592,0.9450738,1.0853319,0.9385762,0.5589947,1.225363,0.96973956,0.5779061,1.3001144,0.79443854,1.1118201,1.2984859,0.73595744,1.3630593,0.99123305,0.93845046,1.3465997,0.19835413,0.709018,0.61948025,1.2274861,1.4535253,0.90741813,0.35972106,0.5294497,1.0463448,1.0783712,1.1570773,1.226243,0.90936667,0.28685474,1.1703285
