,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1840329,1.5017731,1.2997837,0.63552356,1.4008734,1.5147856,1.1650625,1.0724119,0.6677121,0.4934728,1.4971439,1.0323963,0.6610863,0.89407927,0.392236,0.7277778,1.0727996,1.4975367,1.3698156,0.70559853,1.3673698,1.0018529,1.4506857,1.3930643,1.4786454,0.9028871,1.2849054,0.35820127,1.0551851,1.1644608,1.4545896,0.6490224,0.8210959,0.6862509,0.8674526,1.194727,1.2281038,0.55282,0.53895724,1.593641,0.5934185,1.5600603,1.0427074,0.83584166,0.41692662,0.8399173,0.8412963,0.9938536,0.64428425,1.3188353,1.5073818,0.74751914,1.3152215,1.0670933,1.0152932,0.9953127,1.2536005,1.4677877,1.0877658,0.7029422,0.63789046,1.3353368,0.7968888,0.80612755,1.1328233,0.7556494,0.9251327,1.319727,0.855078,0.7805676,0.6698528,0.95141697,0.7380142,1.4566157,0.61385244,1.3230412,1.3232431,0.31304246,0.9820434,0.82845545,0.25937694,0.96641207,1.287211,0.33580428,1.4936595,1.4452512,1.4831318,1.4380809,1.5298345,0.82421947,0.63836265,0.6128003,0.7268758,0.75075245,1.5479649,1.5504706,1.4098778,0.6476846,1.0799712,1.3022633,1.0623939,1.2865632,0.7391432,1.289654,0.7473819,1.4395844,0.77771896,1.0605617,0.7705594,0.87741566,0.63679016,0.91098535,0.9074611,1.4213411,0.8871611,1.2953678,0.5841382,1.5624104,0.65988094,1.4770074,1.0642552,0.94381267,1.4217905,1.1756344,0.84686977,1.4542822,0.8267119,0.67910296,0.6226991,1.5341856,1.4030094,1.1916487,0.9749182,1.255525,1.1417875,0.90042645,0.9042271,0.857081,1.0355352,1.5162833,0.82989454
ankle,1.1840329,0.0,0.9242558,0.5242998,0.76315475,1.0814631,0.9913045,1.0151858,1.1617124,1.2109257,1.1740315,1.0180306,1.1334131,0.8231061,1.0712864,1.1195953,1.1716263,1.127516,1.0932679,1.2354476,1.2046005,1.1173044,1.0432825,1.0255458,1.0144902,0.97323644,1.3091178,0.64507085,1.1021738,1.0449612,1.1520737,1.083297,1.1786566,0.93475723,1.1563301,1.315701,1.0314741,0.9937183,1.0959791,1.2296634,1.0061648,1.2763996,1.0611076,1.0417997,1.0742433,1.0398682,1.0529692,1.1327839,1.083844,0.8013946,0.5995449,0.84037,0.8922974,0.3277644,1.0601275,1.2278355,1.0587252,0.3307588,1.0781856,1.1664062,1.2977417,1.2451712,0.7695646,0.67284393,1.2236373,1.0046738,0.9392678,0.4978739,0.7896435,1.0377508,1.1331031,1.0178927,1.1144311,0.7658187,1.0758677,1.1507716,1.1322932,0.81749374,1.1451529,0.85353607,1.1427654,0.95886695,1.1222382,0.65921307,1.1132617,0.8928348,0.9578366,0.727188,0.8136003,0.8470188,1.1998882,1.2085031,1.0315603,0.7429008,1.0703169,1.0277697,0.9900855,0.9440142,1.0014633,0.97056895,1.1243231,0.87336683,1.2027541,1.052842,0.8500618,1.0288094,1.1062613,1.1862215,0.916496,1.0943941,1.1029067,1.0118957,0.66625017,0.703449,0.8836746,1.1520021,1.269442,1.1009779,0.78677744,1.1823189,0.99447596,0.5134833,0.9837842,1.0505149,1.0050544,1.0705669,0.9524704,1.1339146,0.92772025,1.2154641,1.0296472,0.22304189,0.65733457,0.96707183,0.9675061,1.1826928,1.1704642,1.1637375,1.1762561,1.0475075,0.91982996,1.1740239
apple,1.5017731,0.9242558,0.0,0.7601136,1.3792474,0.4162277,0.3628633,0.71585035,1.0934061,1.462968,1.5105773,0.6017734,1.2332083,1.3595273,1.0596544,1.4281864,1.3216325,0.99895126,0.55732566,0.6933753,1.4272405,0.47832656,1.1508473,0.81974113,0.4792893,0.7845214,1.1991886,0.90235984,1.3392577,1.1682308,0.8253332,0.65748537,1.4273486,1.203928,1.3298159,1.2529463,0.737345,0.8343659,1.4071786,1.0891033,0.45258796,1.5375584,0.5847323,0.91469336,1.2331692,1.2623498,1.0795999,1.3849187,1.2945662,1.3035725,0.64824307,0.24177969,1.1317629,0.75062096,1.1338054,0.90625036,1.0072482,0.80477375,0.6674671,0.7629575,1.1580322,1.4112419,0.6268525,1.1684915,1.2185967,0.9071332,1.2201495,1.1683745,0.5854869,1.0963929,1.402281,1.3415304,1.1655288,1.3740622,0.7143199,1.5007652,0.6854522,0.7912431,1.3185719,1.0194606,1.251564,1.3855556,1.0912027,0.6698909,1.2598425,0.35692072,0.75663584,0.5136119,0.38773286,0.073563516,1.4004253,1.2147267,1.3855327,1.3569399,1.3637581,0.5588452,0.5644071,0.5203568,1.2086579,1.0436916,0.6301349,1.020278,0.88245404,1.1018503,0.46751058,1.264653,0.67250246,1.4635766,0.81359285,1.2838289,1.148275,1.3839474,1.038222,1.2627995,0.58719337,1.1331445,0.9995971,1.4700682,0.39259195,1.3166368,0.5083774,1.1534774,1.0464152,0.7350178,1.1484103,1.1415375,0.3234291,1.2365727,1.3497833,1.4416926,0.4676869,0.6153242,0.8696376,1.2648427,0.7893821,0.76068616,1.0962445,1.0898495,1.1346861,1.131285,0.40209508,1.2979486
applesauce,1.2997837,0.5242998,0.7601136,0.0,0.8476429,0.90208596,0.84537643,0.6763301,1.1871473,1.2294068,1.3482361,0.96153724,1.0016751,1.033595,1.0932404,1.2681937,1.2712665,1.0977471,1.1050893,0.97073376,1.2071161,0.9021754,1.0916383,0.94256204,0.97601986,0.9434145,1.2948843,0.63458276,1.2357157,1.1166083,0.9105012,1.0426496,1.2675506,1.204637,1.1939669,1.1424712,0.896622,0.7878188,1.2530818,0.9968662,0.86639845,1.3007119,1.0110298,1.0399127,1.0140965,1.2085208,1.2047958,1.2092462,0.9957006,1.0795344,0.68063986,0.7032036,1.034147,0.29321337,0.99723685,1.1278845,1.1041921,0.48119736,0.9759253,1.0644027,1.2249501,1.096062,0.81975883,0.78795236,1.2633779,0.7179213,1.1164011,0.38593996,0.9327388,1.2286012,1.169858,1.2676389,1.1072197,1.0307468,0.9256806,1.2398825,1.1336588,0.9792881,1.1040072,0.43541974,1.1302252,0.9841245,1.0717802,0.6812898,1.1266509,0.8449897,0.9029916,0.7641221,0.6811461,0.6818238,1.2111769,1.2196627,1.261228,1.0540351,1.0284601,0.8822651,0.82591593,0.6345684,0.9923254,1.0445336,0.9178113,0.99142,0.91658396,1.1202953,0.7374266,1.2212963,1.0655739,1.2428004,1.1321796,1.1450555,1.0898029,1.2022226,0.9289827,0.89039683,0.95539075,1.0937992,1.080757,1.2444346,0.78745025,1.3190646,0.80004084,0.67087793,0.7458267,0.84136593,0.99740607,1.0959866,0.98344624,1.2460151,1.1281935,1.1846575,0.8300644,0.43528485,0.591719,0.74903643,0.96616113,1.0677836,1.0140859,1.1770582,1.2318302,1.2184078,0.9297359,1.2086046
arm,0.63552356,0.76315475,1.3792474,0.8476429,0.0,1.4055021,1.4334207,1.1973897,1.2876614,0.63633335,0.7743952,1.356122,1.0162054,0.4617002,0.9586349,0.77319145,0.90820074,1.2782705,1.4521073,1.3758351,0.92105377,1.3856735,0.9812762,1.3171192,1.3668381,1.3597175,0.9831463,0.80690515,0.89164984,1.073794,1.2185602,1.4269248,0.74394494,0.8382901,0.91846395,0.9807327,1.2865031,1.2672318,0.74827874,1.0122819,1.3921862,0.8533477,1.4428376,1.1861844,0.86507326,0.9502327,1.0898364,0.7827195,0.8550991,0.49025428,0.9717117,1.3350484,0.7622345,0.8522476,1.0317891,1.2538142,1.1452211,0.72965664,1.3230544,1.3766689,0.9245681,0.734329,1.1474948,0.6836408,0.87406015,1.1545228,0.8778651,0.4379514,1.3846662,1.0205024,0.6318551,0.75211155,1.0990176,0.48877597,1.2622259,0.76289964,1.3150392,0.918975,0.6779643,0.83343387,1.0185115,0.53259444,1.0673428,1.0024664,0.71289355,1.3187082,1.2600663,1.1856117,1.1857172,1.3494864,0.7482214,0.8814765,0.6286192,0.5282674,0.7782665,1.3254032,1.2704589,1.2479746,0.68190163,1.1093588,1.3215396,1.0628586,1.2879591,1.0869839,1.2435789,0.88112545,1.3927468,0.68540984,1.2203087,0.7899028,0.96680653,0.59437,0.94942385,0.5326976,1.3185079,1.0494283,1.1755145,0.6106605,1.3234836,0.97241104,1.4036491,0.7970566,0.88339496,1.2570789,0.9893744,1.0708678,1.3776408,1.0362641,0.61611474,0.77712035,1.4666631,0.9275792,0.8746009,0.76641726,1.2763476,1.3657316,0.9376449,0.9951608,1.0629506,1.1164743,1.3613327,0.9405354
ball,1.4008734,1.0814631,0.4162277,0.90208596,1.4055021,0.0,0.25527143,0.79450476,0.9353201,1.4401727,1.3946403,0.74770105,1.2956995,1.3427583,1.213093,1.2404776,1.2246181,0.8123393,0.5720326,0.60505176,1.2216673,0.70508033,1.181704,0.6668508,0.67451155,0.8430602,1.0786457,1.1510746,1.2657272,1.2392278,0.92997366,0.5100637,1.4031439,1.2078061,1.269136,1.1933931,0.6092256,0.8244629,1.3758689,1.1387206,0.544887,1.4399066,0.5505831,0.87433183,1.0283912,1.1945672,0.87070215,1.3888669,1.2172408,1.3562567,0.92298603,0.33922386,1.1970468,0.9705414,1.095832,0.87177247,0.9984274,1.0891309,0.7628708,0.5483614,1.0812358,1.2301112,0.8888052,1.1907611,1.1770586,0.6292098,1.2287614,1.2194037,0.4494313,1.0021515,1.3809836,1.3090432,0.94754875,1.4517596,0.7912035,1.4765612,0.6000513,0.89460003,1.2380683,0.86008745,1.1113081,1.2431463,1.0024017,0.95455897,1.1433804,0.5551366,0.9391968,0.853984,0.5910271,0.42701435,1.3930142,1.0735649,1.3200624,1.4992125,1.1271596,0.67100465,0.68745303,0.7086033,1.1409056,0.97903436,0.7943552,1.1189296,0.82663023,1.0124847,0.6213137,1.2104748,0.637452,1.4667366,0.8807682,1.2689835,0.9615129,1.3318911,1.0501474,1.3905945,0.787467,1.0630513,0.9593544,1.3281898,0.6470606,1.1748854,0.5621058,1.0186002,0.88678944,0.7345254,1.0496349,1.0618554,0.4736756,1.1875829,1.3882791,1.2767731,0.27563584,0.9216704,1.0638437,0.9864312,0.9379805,0.4114108,1.0136172,1.0486543,1.1063476,1.1726023,0.6193226,1.2718921
balloon,1.5147856,0.9913045,0.3628633,0.84537643,1.4334207,0.25527143,0.0,0.7744821,0.95766777,1.3743099,1.5464709,0.46943182,1.1069663,1.4958007,0.928853,1.4776518,1.3280826,0.9270454,0.37867415,0.5894406,1.3391751,0.603921,1.1296859,0.51796144,0.54007155,0.48744255,1.1841438,0.8765095,1.2822533,0.9755325,0.89003843,0.410783,1.3901136,1.27822,1.3764417,1.1212035,0.62146324,0.793325,1.4995587,1.1960441,0.3862663,1.485568,0.33888674,0.90464026,1.1394589,1.2167759,1.0710473,1.2230918,1.1565182,1.4350646,0.81790185,0.3313349,1.3570657,0.89647776,1.1406468,0.8286873,0.8505883,0.9697147,0.5136764,0.61640584,1.1382256,1.3445845,0.8019144,1.2210016,1.263485,0.8575575,1.3660676,1.3121569,0.4627313,1.0606695,1.3958793,1.4727002,0.95355934,1.4909633,0.48155385,1.5130076,0.34954762,0.6837303,1.4041142,1.0523564,1.2046204,1.4642526,1.0937839,0.9242054,1.358506,0.46104538,0.60078657,0.6274766,0.4388287,0.40616786,1.3759947,1.2261027,1.5298843,1.4646366,1.2814367,0.44448853,0.46823686,0.5420982,1.2427433,0.92961645,0.6987408,0.88281626,0.79671913,0.99752265,0.5679721,1.1771853,0.4818524,1.4037399,0.76091963,1.4147534,0.9878869,1.5371459,1.0248015,1.4005232,0.49743468,1.1263978,0.7534969,1.4813783,0.4243151,1.3496922,0.48983693,0.9686059,1.053628,0.5302791,0.9472058,1.2034001,0.43401963,1.2788194,1.5296775,1.4693699,0.2788993,0.8038312,0.9857337,1.1125121,0.68047893,0.6470998,1.2111375,1.0978621,1.166673,0.8910188,0.45984375,1.2262336
banana,1.1650625,1.0151858,0.71585035,0.6763301,1.1973897,0.79450476,0.7744821,0.0,1.0613352,1.359752,1.3390883,0.90097433,1.2773468,1.1886251,1.0311321,1.1956732,1.2079043,0.9279738,0.8878856,0.7703886,1.2298223,0.60176104,0.8967224,0.9793261,0.65105486,0.98621523,1.0925713,1.0916497,1.2031617,1.2480087,0.56795955,0.95960057,1.3253278,1.2129788,1.2333217,0.99255395,0.7674867,0.64467597,1.3104687,0.70990986,0.7353374,1.3001956,0.9165096,0.96976006,1.1511793,1.1733667,0.8847893,1.357946,1.2194533,1.2184428,0.98028463,0.78504705,1.122117,0.93642133,1.0041652,0.8651,0.93032116,0.9109861,0.81792307,0.57387716,0.9613897,1.1821771,0.8924838,1.0146194,1.1935037,0.7574639,1.1608663,1.0308565,0.889256,1.1230016,1.2170451,1.288295,1.0125791,1.2437695,0.8780602,1.2864331,0.9049233,0.9980091,1.2029674,0.6460657,0.9899769,1.1425594,0.90586054,0.9322398,1.118043,0.8916272,0.73684347,0.87915546,0.9480314,0.68853617,1.3038504,1.1460696,1.2611204,1.2750039,1.2010983,0.819478,0.8428817,0.5407099,1.118714,0.8546109,0.65488446,1.0182943,0.72219765,1.0817641,0.7380843,1.0710531,0.92306787,1.3791966,0.9657344,1.1042707,0.8198197,1.2923341,0.94517386,1.2150943,0.87494534,0.77990556,1.0923301,1.231627,0.7952448,1.2049607,0.6992378,1.0688754,0.9458457,0.71475804,1.0016234,1.0102437,0.84912723,1.1078267,1.2559189,1.2971737,0.7637536,0.90022224,0.95860416,0.9303874,0.7338587,0.68680227,0.98839307,1.0957975,1.1290559,1.1156266,0.84269404,1.291311
basket,1.0724119,1.1617124,1.0934061,1.1871473,1.2876614,0.9353201,0.95766777,1.0613352,0.0,1.133429,0.96960044,0.9341134,0.8740215,1.2162492,0.9990037,0.8771857,1.0792619,0.5928459,0.75375307,0.6988416,0.5486802,0.9246452,0.97632414,0.558177,0.9822226,0.45098442,1.136609,1.0545663,1.0802547,0.6605291,0.9408819,0.8029181,1.0335017,1.232598,0.8520683,0.8247575,0.96348953,0.92638767,1.0856926,1.0137635,0.97408986,0.69912684,0.7003586,0.7385795,1.0642081,1.0822815,0.82980376,0.9985445,0.85085166,1.349191,1.201459,1.0689616,1.367222,1.198547,1.0144223,1.0959009,0.67100966,1.1985261,0.847038,0.7502154,0.95907253,1.001033,1.1997544,1.1183313,1.1398021,0.8418573,1.2934318,1.2157799,0.9189747,0.99200696,1.1322342,1.2720891,0.6636353,1.282428,0.93732804,1.0479679,0.87269163,0.97672653,0.924356,1.0610408,0.78742677,1.1191647,0.9536472,1.3517647,0.9859682,1.1572332,0.72269225,1.0002508,1.0629133,1.1642395,0.999061,0.91891146,1.2309088,1.3033242,0.85977113,0.9177135,0.92830735,1.0585879,1.00671,0.49151218,0.8821621,0.7013637,0.8462573,0.9202884,0.98018587,0.6910753,0.72957623,1.0000889,0.78692555,1.1869932,0.92694104,1.2960076,0.88255435,1.2219617,0.77712756,1.0712265,0.91569084,1.1755636,1.0139769,1.048089,0.7850857,0.9076645,1.0333554,0.8506274,0.85073984,1.14052,0.96025205,1.0793493,1.3144773,1.0761881,0.7649703,1.2245502,1.1999439,1.1626682,0.6493919,0.7415438,1.0334492,1.1372471,1.0061301,0.6489733,0.9860708,1.0960531
bathtub,0.6677121,1.2109257,1.462968,1.2294068,0.63633335,1.4401727,1.3743099,1.359752,1.133429,0.0,0.4330492,1.2232082,0.583858,0.80017704,0.84673053,0.82929075,0.6880943,1.2167584,1.3688585,1.1790248,0.67343765,1.4193342,0.79449785,1.2187383,1.3741002,1.208356,0.7517103,0.92583025,0.7455657,0.77710557,1.2806339,1.2821198,0.3864323,0.8095265,0.70814735,0.77992535,1.2478781,1.3551443,0.5491196,1.046363,1.4181554,0.4379995,1.349431,1.2201357,0.8019578,0.90127826,1.2174096,0.34948486,0.6110846,0.74492913,1.2239264,1.4250691,0.8657203,1.2791567,1.0239747,1.1005921,1.1079116,1.1627086,1.313999,1.3797505,0.8364159,0.6100249,1.2559383,1.1154314,0.73437095,1.348619,0.9125331,1.0345385,1.4638016,0.9953248,0.45203257,0.7584562,1.0227324,0.6887018,1.1559443,0.49739754,1.1046717,1.203211,0.8577188,1.1249312,0.964083,0.8713824,1.053009,1.1628385,0.9202555,1.3674593,1.2525346,1.3553665,1.2904022,1.457284,0.4671316,0.8297169,0.7142689,0.6524877,0.77877724,1.3067186,1.3193691,1.3563917,0.73726785,1.176398,1.3710065,1.08345,1.1349475,1.1597764,1.4279292,0.9983346,1.2940851,0.35955322,1.328712,0.78654057,1.046667,0.70811915,1.1017952,0.83114123,1.359334,0.77007324,0.71338195,0.41961843,1.4158667,0.6203248,1.3772793,1.0922412,0.9800609,1.2803653,1.0801891,1.1246732,1.4734988,0.7853571,0.7140254,0.5175706,1.4197414,1.3520243,1.1837709,0.95059776,1.3256193,1.341027,0.92244977,0.9198693,0.78856224,0.93616235,1.4277911,0.62211615
