,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.3707248,1.4653862,0.9651518,0.50737244,1.1483071,1.1402168,1.2798091,1.0877513,0.8562149,0.5399451,1.5463398,0.8586489,0.42843318,1.2425859,0.5831473,1.3084596,1.2749252,1.5913308,1.6308655,1.0959959,0.9785784,0.8624855,1.3719051,0.84550035,1.5385234,1.1619176,0.96893346,0.57504094,0.9780052,1.5233918,0.71296376,0.82037485,0.7251351,1.1779916,0.997734,0.5414943,0.5515272,1.6014028,0.7201343,1.6746917,0.5783577,0.804839,0.9662309,1.2029153,0.76804256,1.1603926,1.4132717,1.387769,0.6636665,1.3714293,0.6951699,1.4072694,1.2978392,0.9388757,1.5109155,0.9110638,0.8024808,1.2537453,0.3785621,0.7128247,1.2715185,0.72623914,0.6062489,0.37296957,1.4017943,0.9611488,0.9715116,0.58919644,0.85322464,0.5244613,1.1218758,0.8765704,1.5547497,1.1934698,1.1228052,0.6088921,1.0224816,1.0347099,1.4780748,1.2303067,1.3016461,1.1076312,1.4317423,0.83068025,0.59835374,0.54098016,0.6480591,0.6457226,1.5964475,1.5458661,0.9606014,0.9254855,1.3730181,1.3252501,1.339308,1.286625,1.4035106,0.8991361,0.9196928,0.8442743,0.49039197,1.1671269,0.77014434,0.63901323,1.1467568,0.9710636,1.0869083,0.6509594,1.4129276,0.666593,1.5480137,0.9395232,1.3678901,1.1058742,1.4874282,1.1437795,0.9705116,1.5008626,1.0246829,0.5514021,0.59507036,1.4593216,1.4729311,1.3239917,1.027039,1.1734263,1.2850368,0.91649085,1.0362602,1.2397809,1.0539099,1.5081031,0.8130129
ankle,1.3707248,0.0,0.6775731,1.0962164,1.2396692,0.93471897,1.0348902,0.7553966,1.27073,1.3080273,1.366725,0.6940117,1.3168371,1.1674112,0.8602147,1.3305866,0.9105742,1.0689954,0.78871095,0.7937089,1.2188025,0.80427825,1.2636778,1.0585786,1.1945052,0.7861737,1.1108179,1.001655,1.2214719,1.2483668,0.802858,1.2952647,1.1670728,1.019091,1.0051563,1.1720896,1.2576693,1.2917482,0.6549395,1.4348053,0.64158124,1.1959605,0.7438593,1.2467177,1.0026383,1.0869219,0.5553773,0.73334914,0.5572485,0.9296319,0.32600212,1.2893399,0.75884086,1.0220001,0.615414,0.70112383,1.0815612,1.2009518,0.44208753,0.9052534,1.062501,0.92595804,0.77655387,0.90110755,1.00461,0.31478477,0.95643455,1.2560585,1.1808987,1.207716,1.0412198,0.8296717,1.3065397,0.8986136,0.9074743,1.0743961,0.9337914,1.0322262,0.990022,0.589674,0.84282523,0.4911492,0.5868059,0.7097521,1.1911833,1.0675426,1.2228764,0.88843423,1.3297765,0.7260667,0.76553947,1.1017789,1.2217484,0.8160225,1.0436084,0.78227556,0.9790194,0.9970804,1.2661641,1.1785847,0.9694321,1.1957095,0.80775225,1.2338791,1.0957628,0.84312487,0.77881205,0.8451804,1.1793013,0.9929235,1.3177457,0.46012485,1.148119,0.816749,0.9157013,0.82227397,1.229909,1.1735519,0.690326,1.0978944,1.0967343,1.4464313,0.6992114,0.24829847,0.43673474,1.0462253,0.90024185,1.0866538,1.2955277,1.0719492,1.0155058,1.215492,0.37170863,1.2690245
apple,1.4653862,0.6775731,0.0,1.0264484,1.3506193,0.6789102,0.78324366,0.45450294,1.2137141,1.3824198,1.4401953,0.51781845,1.4483833,1.4056118,0.68962085,1.3493845,0.8606118,0.8486028,0.38812602,0.36059904,1.1824983,0.878371,1.3484138,0.97662246,1.2096422,0.7703161,0.97033226,0.9424181,1.243582,1.3173523,0.49208933,1.3583237,1.391923,1.3620334,0.706509,1.1373339,1.450029,1.3407937,0.31002688,1.4452261,0.35377496,1.2221377,1.0878339,1.3075379,1.1973963,1.2155039,0.8966236,0.05591917,0.572917,1.1841061,0.6810552,1.23885,0.48868626,0.72792304,1.0768751,0.6506921,0.870924,1.3457899,0.8070517,1.1869321,1.0845772,0.67649436,1.1949663,1.0229745,1.3223593,0.5424597,1.1408864,1.2601817,1.3818247,1.1967944,1.4056692,1.1009973,1.3274474,0.6252824,0.6821698,1.1089443,1.3004384,1.0325464,0.9003262,0.2171421,0.9345814,0.886183,0.94621104,0.036466002,1.357076,1.0528527,1.3818281,1.3399177,1.4694602,0.46099824,0.5203631,1.1553631,1.2411914,0.84315354,0.5808294,0.18047905,0.73909754,0.7209412,1.3959188,1.1576244,0.9361023,1.226325,1.093611,1.345485,1.3263553,0.9579326,1.1965436,0.9584619,1.3256116,0.7701997,1.3245115,0.25278127,1.067243,0.3730744,1.154384,0.75758344,1.1022509,1.1014469,0.22416127,1.2454734,1.3875268,1.5023434,0.4495287,0.45377547,0.5347049,0.99185807,1.027058,0.6958585,1.2139893,1.1159189,0.86309314,1.2598741,0.4966402,1.2847601
applesauce,0.9651518,1.0962164,1.0264484,0.0,1.00288,0.9863419,0.933373,0.74254304,0.9742021,0.99631274,1.1177182,1.159043,1.071112,1.0258514,1.0847142,1.0873682,1.083885,1.013392,1.1371989,1.0739303,1.0350983,0.6471215,1.0146084,0.87619597,0.9632429,1.0871503,1.0683641,0.97100556,1.0877112,1.0809358,1.0701975,1.114982,1.0880363,0.8133787,0.9331711,0.76484835,1.1736662,0.77685183,1.1151758,1.0360507,1.1403662,1.0882839,0.9677318,1.1213174,1.0260979,1.0561504,1.0994238,1.0244266,1.1283808,1.0770319,1.0482101,1.1181858,1.0738926,1.1060079,0.91032994,1.0510012,0.77898043,0.9664501,1.0571656,0.9179199,1.0162499,0.8292866,1.0774971,0.92516255,0.900031,1.2110548,1.169095,1.0282104,1.0993822,0.85521454,1.1612912,1.1490752,0.91008484,1.1217211,0.9334831,0.87862265,0.9671385,1.1653303,0.9339934,1.174748,0.9963713,1.0952202,1.0316024,1.0562851,1.0368973,1.0345379,0.99352235,1.1576442,0.9114274,1.137778,1.0928302,0.99844146,0.9327343,1.0897465,0.7940061,0.98278004,1.0457983,1.0648097,1.0785291,0.88803697,1.1302334,0.66935164,0.97876793,0.99077916,1.1742113,0.98905134,1.2257676,1.0254937,1.125513,1.0661296,0.89595664,1.166287,1.1247783,1.064454,0.8744184,1.0319314,0.8393035,0.9767242,1.1488829,1.0005852,1.1861624,1.0302758,0.9734167,1.0812893,1.0581716,0.8843368,1.0020516,0.8952044,0.86623055,1.051253,1.0347304,0.99919385,1.036593,1.0941069
arm,0.50737244,1.2396692,1.3506193,1.00288,0.0,1.1323646,1.1369257,1.2615747,1.0326215,0.7422769,0.54370725,1.4119002,0.89111394,0.53019637,1.2797922,0.59133196,1.2405349,1.1240782,1.4109685,1.434995,0.99844086,0.9803811,0.9423889,1.2444456,0.9658797,1.3390235,1.1748105,0.98357254,0.8837406,0.9524409,1.3609433,0.69182515,0.7619765,0.81627417,1.2354097,1.0712817,0.5499718,0.7247257,1.4205511,0.80081534,1.4467384,0.89275753,0.9762361,0.9050769,1.0787199,0.8299198,1.03182,1.3182871,1.268511,0.83052075,1.1639102,0.7428974,1.3953837,1.329983,0.91495794,1.3987566,1.1576058,0.82173896,1.2292587,0.60775745,0.87909913,1.1841552,0.8588613,0.90427566,0.43966246,1.333113,0.892644,0.8937021,0.6631693,0.8385794,0.6524495,1.0835022,0.9215286,1.3766605,1.1084557,1.1292391,0.7002977,1.0545889,1.0947578,1.3204643,1.2012281,1.1159271,1.0700109,1.3171649,0.8494979,0.93210965,0.61620575,0.7928138,0.6705727,1.4197167,1.4292161,0.92901254,0.90495145,1.3049653,1.217474,1.2872396,1.322769,1.3033549,0.9030755,0.98408103,1.0878603,0.66468155,0.9871674,0.8082776,0.67855084,1.0242864,0.9310919,1.1424643,0.8036695,1.2924519,0.7055733,1.3732743,0.9609009,1.2849073,0.9745872,1.4083066,1.1391137,1.100078,1.3743675,0.99827856,0.6557374,0.5699487,1.3307631,1.2937026,1.1787218,1.027901,1.1693896,1.2633326,0.8848875,1.0510825,1.1863369,1.0248883,1.2512401,0.7895252
ball,1.1483071,0.93471897,0.6789102,0.9863419,1.1323646,0.0,0.17305732,0.99008816,1.1728145,1.079484,1.214493,0.9769344,1.2224504,1.2140684,1.004999,1.1721264,1.0705252,1.0664124,0.92823285,0.83190644,1.0989001,0.87462616,1.2072868,0.79210126,0.90670586,1.0571653,1.0635014,0.94254667,1.100894,1.2205349,0.73127323,1.1104993,1.1392348,1.0107754,0.77214503,0.9837438,1.1634891,1.0644222,0.95613015,1.2516887,0.8540302,1.101498,0.9808428,1.2276897,1.0560623,1.1082348,0.9611237,0.6021527,0.79085994,1.0097262,0.8900437,0.87753224,0.7831293,1.0061755,0.8588703,1.051738,0.95368695,0.96942407,0.99233514,1.0180678,1.052092,0.6133102,1.0571766,1.0746697,1.1062896,0.8487181,1.2108574,1.2047561,1.2111698,0.94598234,1.1605692,1.2173586,1.2438886,0.8640621,0.8033153,0.91330874,1.0257978,1.1171019,0.733798,0.82900566,1.0851519,1.078083,0.8756576,0.67449737,1.1993225,0.83896077,1.1536534,1.1868427,1.1134104,0.9987757,0.987108,1.0696617,1.088319,1.1414655,0.7080145,0.78539705,1.1221691,1.094189,1.2842336,0.790544,1.0136005,1.1189405,1.2040023,1.2618154,1.1923043,0.95022804,1.1458825,1.1189673,1.0771891,1.0124118,1.1979887,0.8839427,1.0103799,0.72700673,0.9516065,1.0509986,1.0596749,1.0330164,0.9337184,1.1137278,1.1570741,1.1780955,0.5993837,0.8880755,0.8130973,1.1239998,1.0788047,0.89981264,1.0622615,1.0991408,0.9982408,1.2277124,0.7488253,1.1621746
balloon,1.1402168,1.0348902,0.78324366,0.933373,1.1369257,0.17305732,0.0,1.0624667,1.0658332,1.0460047,1.1752635,1.0201255,1.0511761,1.2355655,0.990321,1.1587455,1.0639825,0.9973826,0.9832029,0.90431273,0.95112395,0.9039345,1.0624654,0.76063013,0.8649706,1.0274194,0.9758001,0.9557366,1.0283203,0.99497646,0.9439166,1.0569655,1.0300657,1.0780855,0.9267363,0.9654528,1.1166914,1.0086738,1.0325046,1.1402758,0.9526756,1.0236518,0.8866978,1.1699243,1.0245407,1.1021243,1.0441129,0.7094815,0.9764382,1.0869664,1.0060296,0.87053365,0.9327425,0.9378108,0.9035032,1.1074958,0.9519761,0.9630846,1.0816458,1.0687461,1.0947245,0.7421733,1.1128645,1.1600639,1.1098815,0.96484286,1.1546311,1.0675864,1.1853817,1.0150878,1.1492767,1.2119244,1.1001433,0.8714626,0.9506839,0.8157156,1.0531815,1.0102996,0.7902397,1.0215524,1.0212965,1.1255774,0.9338885,0.77912205,1.1437701,0.9551861,1.146945,1.1716106,1.1285386,1.0320632,1.0068078,1.0130506,1.083608,1.1112891,0.7288363,0.81656665,0.9668652,1.0620617,1.1940429,0.79047406,0.9702315,1.1035292,1.1663055,1.1549695,1.2002676,0.93645865,1.1246388,1.0974891,1.1334505,1.0337054,1.0767814,1.026101,1.0354432,0.8959678,0.93151087,1.0122315,0.93497956,0.99495894,1.0454446,1.0080124,1.1521707,1.0598975,0.68310493,1.009446,1.0068381,1.1521927,1.0216497,0.7459131,0.9648107,1.046509,0.9453472,0.9677012,0.9512373,1.1318722
banana,1.2798091,0.7553966,0.45450294,0.74254304,1.2615747,0.99008816,1.0624667,0.0,1.1639838,1.3578322,1.4351709,0.5066232,1.4184904,1.3471327,0.6765413,1.345603,0.753289,0.83710575,0.49230522,0.5132027,1.2524984,0.7429716,1.3050677,0.996674,1.1412971,0.788334,0.8395467,1.0346597,1.2411375,1.286641,0.5699939,1.36306,1.4193135,1.1780876,0.6781943,0.94439083,1.4640107,1.1893176,0.42548722,1.3963218,0.521626,1.2212882,1.01349,1.3325597,1.1991092,1.2137395,0.9966026,0.5269609,0.72166145,1.2532047,0.8704396,1.3153425,0.5549382,0.6866915,1.0821201,0.5723316,0.5860339,1.3929586,0.9101514,0.9789997,1.0714774,0.7495346,1.2773364,0.83904076,1.1752528,0.7138599,1.2061292,1.2531909,1.3905003,1.1432155,1.3717132,0.92055833,1.1656754,0.71087086,0.4550749,1.0528175,1.2148391,0.95017236,0.98210114,0.59265417,0.6719302,0.9760215,1.1010565,0.5003306,1.280474,1.1352375,1.3704437,1.3051957,1.3834136,0.5458725,0.5621228,1.0552803,1.1234866,0.7605355,0.7460108,0.48509353,0.70957094,0.6586356,1.3325088,1.2411389,0.94272864,0.90311116,1.02988,1.1626074,1.4002167,0.92964053,1.1823441,0.88277936,1.3446155,0.7374301,1.2214651,0.49049628,1.0200763,0.41515374,1.0569913,0.63508403,1.009435,1.1397393,0.5236208,1.1786356,1.4133596,1.493712,0.5653193,0.6446138,0.6786933,0.88572276,0.79086393,0.63822263,1.2291131,1.0941453,0.7537638,1.2500114,0.6818048,1.3246009
basket,1.0877513,1.27073,1.2137141,0.9742021,1.0326215,1.1728145,1.0658332,1.1639838,0.0,0.8583031,0.6773903,1.048393,0.6404457,1.0584508,1.0487263,0.67487067,0.882002,0.8474573,0.9700817,0.9094658,0.65626186,1.1393641,0.80699575,0.68115187,1.0673516,0.5998857,0.87459135,1.1466357,0.7886046,0.54552597,1.1135644,0.9097222,0.7975327,1.0208647,0.9454544,0.85032856,0.804567,1.0771617,1.1382071,0.3772061,0.9759633,0.7987726,1.0863489,0.91332984,0.942118,1.0848423,1.2114692,1.1945157,1.2571106,1.2200103,1.3074235,1.063405,1.0967654,0.84152865,1.1723387,1.1482615,1.1048205,1.0408103,1.2884828,1.1829758,1.036915,1.0925573,1.2801857,1.2514919,1.223042,1.1802874,1.0801363,0.7161553,1.0645069,0.98754513,1.1624166,1.176682,0.8032123,0.94448876,1.1184015,0.7678355,1.0424972,1.0046495,1.00867,1.2170482,0.6771629,1.2920821,1.2157116,1.1805311,0.9329445,1.1543269,0.9563295,1.1849507,1.0386013,1.0940821,1.0872865,0.53543913,0.970137,0.8900136,0.94150597,1.1054747,0.853112,0.84951246,0.83022743,1.0545157,1.1125785,1.1108284,1.0761418,1.0775049,1.1471779,0.81324553,1.0905464,1.0202072,1.0550218,0.9487168,0.96384203,1.2068343,0.9932313,1.1870846,0.7568664,0.9838345,0.91948706,1.0971556,1.1672751,0.6721357,1.1222605,0.7581327,1.0240737,1.2515278,1.3577745,1.1926658,0.6634404,0.8248501,0.7991606,1.0207537,0.88424563,0.6526749,1.2981248,0.9858999
bathtub,0.8562149,1.3080273,1.3824198,0.99631274,0.7422769,1.079484,1.0460047,1.3578322,0.8583031,0.0,0.5986817,1.316771,0.70148563,0.7907002,1.245603,0.7394568,1.0464952,1.14466,1.3599473,1.1957872,0.8296361,1.2170506,0.80313003,0.83595634,0.9856624,0.9678356,1.0818009,0.969341,1.0943507,0.72354317,1.318499,0.5693403,0.7353382,0.9702024,1.240815,0.85534215,0.6769662,0.85148406,1.3976418,0.56769973,1.3262062,1.1188134,1.3254564,0.75863343,0.8246031,0.8107643,1.2356197,1.317035,1.3334577,0.89422345,1.303327,0.7423773,1.3163018,1.3769987,1.2356817,1.3201387,1.198876,0.819585,1.2631719,1.0374576,0.92862445,1.2026052,0.9434434,1.092302,0.92844653,1.3764321,0.84129673,0.71157694,0.79435074,0.72582555,0.7387589,1.0013044,0.6515648,1.0904466,1.1786828,1.005698,1.1070523,0.97770536,1.1797596,1.3301284,1.2319427,1.2356013,1.2013386,1.3433676,0.59768736,0.9105204,0.8635168,0.8788648,0.641782,1.2708933,1.2495255,0.9580274,0.82331544,1.3482628,1.0970186,1.3903849,1.36849,1.2571951,0.59584755,1.0094776,1.3467926,0.83845496,1.0819179,0.8224131,0.7336825,1.158752,0.92805505,1.3185054,0.7883843,0.78167063,0.41153365,1.4306221,0.8425475,1.2588427,1.0584242,1.2549591,1.1683067,0.89588,1.3035498,0.86301136,0.79367954,0.51673186,1.280923,1.4085594,1.2610106,0.95994216,1.1923699,1.2481347,0.96782714,0.9945844,1.1998752,0.92913955,1.3979268,0.70769477
