,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.096226,1.4109535,1.0434144,0.77562577,1.2456431,1.329185,0.97354376,0.9984287,0.72297543,0.5880885,1.3567553,0.6951511,0.8590963,0.28603786,0.57382786,0.7292141,1.2398145,1.3653702,1.2622571,0.986085,1.0140173,1.1187,1.1568692,1.0320637,1.4438808,1.0756996,1.4237635,0.5215963,1.3783355,1.2345675,1.2472184,0.754089,0.8946258,0.81718695,0.85239285,1.0418035,0.8182235,0.7919652,0.932551,1.4792533,0.70705193,1.4069458,1.2118716,0.8699248,0.66093194,0.88362056,0.81860054,0.9392233,1.0404781,1.261657,1.3311415,0.7045891,1.0572946,0.8918338,1.3899134,1.0303125,1.0527954,0.835116,1.2397356,1.1900861,0.7294527,0.9359801,1.286249,0.8400041,1.3058579,0.85958207,0.8368953,1.0651081,1.2381445,0.95484585,0.916298,0.79650456,0.99494445,0.9123005,1.2556288,0.8870896,0.8925575,0.9111025,1.0427907,0.9944437,0.81520283,1.0223707,1.1777198,1.1354301,1.4310851,1.1984153,1.4346651,1.0897135,1.2818314,1.2264081,0.24984026,0.8115096,0.8623365,0.9280187,1.0496008,0.95188695,1.3874017,1.3890848,1.2996173,0.9604885,1.0001401,0.80662,1.1549656,0.8225671,0.8711134,0.9055099,1.2454929,1.2861509,0.7852843,0.6171025,0.75600255,1.3108761,1.0591319,0.9642955,0.7913495,0.8960882,0.9948205,1.0861218,0.77940255,0.99359506,0.72623897,1.429764,0.72303593,1.4364264,1.2601404,1.00471,1.3089156,0.7548307,1.4823295,0.9541989,0.784274,0.7690815,1.3126194,1.443004,1.430077,0.9222844,1.2298559,1.1227527,1.221226,0.8226036,0.92311543,1.1031806,1.4447004,0.92013115
ankle,1.096226,0.0,0.8797669,1.0210749,0.6990278,0.87725276,0.9914408,1.0542321,1.2391257,1.036731,1.0064914,0.8506657,0.8705014,0.81931436,0.96711093,1.0006466,1.0396912,1.2044846,1.1679466,1.337528,1.1974324,1.2351701,1.1266438,1.1457697,1.1285799,1.0015345,1.188612,0.46429092,1.0712802,1.0068914,1.1819923,1.19968,1.1749306,0.7632892,0.9091594,1.0389296,1.2541988,1.0107667,0.9278772,1.2515773,0.9654225,1.1105585,1.2723788,1.0756269,1.1194521,1.0616332,0.90716547,1.1255436,1.1867427,0.9601709,0.5635882,0.71682703,1.0685267,1.0209996,0.9101212,0.40880162,1.0844262,0.8602811,1.2671772,0.7522793,1.0439192,1.2207501,1.0482589,0.74307454,1.102289,0.73280084,0.7228459,1.1619146,0.6512427,0.9055702,1.0467688,1.0869691,0.73937404,1.2365341,0.7117608,1.044562,1.1465719,1.3268018,1.0057851,1.0173165,1.2203841,0.9442753,1.1987544,0.8245503,1.1649456,0.7601796,1.1856934,0.68161297,0.7197423,1.0264517,1.2346864,1.1534786,0.7801535,0.7018594,1.0828464,1.1160704,1.2527437,1.0879382,1.1034617,0.80397934,0.9466484,1.0950664,1.1935848,1.3560963,0.97403425,0.9114143,1.1918967,1.0191517,1.1275703,1.1647115,0.9954522,1.1695771,1.0490386,1.0193621,1.1576908,0.77313274,0.978714,0.69268227,0.9422055,1.0140154,1.0688804,1.0997949,0.84970814,0.9492142,0.9454849,0.54567957,1.1454717,1.1708957,1.0888745,0.9717918,0.79161733,0.8158511,1.0992031,1.0952321,0.46248478,0.68541604,0.94678026,1.1615345,1.0882612,1.1697941,1.0932488,1.1162126,1.15817,0.7211283,1.105644
apple,1.4109535,0.8797669,0.0,0.828318,1.372776,0.59048104,0.5163635,0.8305958,1.2925147,1.3496399,1.3951008,0.69640154,1.4789033,1.3359807,1.1591301,1.4304241,1.256236,0.726331,0.42327678,0.8035554,1.1803362,1.0067269,0.9695138,1.0402291,0.85788274,0.42361313,0.77026755,0.6509018,1.2154391,0.48360878,0.71808684,0.5654816,1.3545125,1.0846107,1.3754219,1.3597335,0.9908886,0.97864985,1.3124392,1.155092,0.3336349,1.4792836,0.45587635,0.62856805,1.2859367,1.045935,1.1875228,1.3331742,1.3188512,0.95877355,0.8274635,0.49277788,1.1243207,0.78477764,1.1752485,0.8027252,1.0676527,0.60488546,0.93072784,0.70874196,1.0626627,1.0649178,1.2756882,0.8699429,1.1666932,0.88371384,1.1924295,1.1157501,1.2808924,0.5357012,0.8142908,1.2961268,1.2801639,1.0921249,1.3307161,0.9604316,1.3419595,1.0495247,1.0478891,0.883579,1.191664,1.2049235,1.1984236,1.0040166,0.70259184,0.24938393,0.79996514,0.74857485,1.094423,0.50342345,0.85086906,1.1980853,1.4202356,1.3323255,1.1759701,0.98050654,1.1604117,0.49588472,0.42626274,0.5096782,0.8157521,1.2267615,1.0005376,0.93504053,0.95275944,1.1660624,1.2377996,0.7925229,0.59487444,1.3472111,1.1124207,0.89518934,0.61654496,0.8227107,1.1801587,1.355287,1.2514287,1.3144205,1.1471992,1.2522769,1.0875471,1.2218348,0.2867136,1.2159765,0.54978037,1.0295452,1.0272577,0.8020765,1.2764276,0.3454579,1.1754651,1.3281131,1.344053,0.65950406,0.6317857,0.4599182,1.2950903,0.6228926,0.8420535,0.7264964,1.1032897,1.136864,0.8933552,0.4747578,1.1269221
applesauce,1.0434144,1.0210749,0.828318,0.0,1.1648083,0.7009267,0.8566312,0.417377,1.0879309,1.2850922,1.2791752,1.2299322,1.2386534,1.1248164,0.94422555,1.2528658,1.1210527,1.0948595,1.1317388,0.6408933,1.184528,0.45722795,1.2043788,1.0241661,1.0915595,1.1385629,1.1195436,1.0839764,1.1264735,1.02446,0.7637164,1.1384046,1.2950311,1.1693103,0.7489016,1.1660306,0.51597756,0.7654095,1.3435938,0.5587356,1.1082773,1.2634579,1.01017,1.0740831,0.4823553,1.1201644,0.9278284,1.3382301,1.048919,0.9679021,0.9858387,0.45573717,1.1321415,1.0623308,1.1282103,0.9889028,1.1113013,1.1016991,0.9593472,1.066794,0.9177384,0.9567388,0.76959634,1.0857673,0.92137444,0.8255548,1.1880136,0.6611692,0.98440945,1.0938226,1.1937071,1.1520538,1.2422879,0.98241496,1.2882354,0.9880186,1.2740455,1.1058271,0.66489315,0.3998636,1.082323,0.84477794,1.1229308,1.001619,0.36682236,1.0599469,0.98840654,1.1464884,1.0226061,0.6151407,1.2132081,0.9862682,1.2262156,1.2709389,1.0772704,0.890836,0.61581033,1.0739087,1.044515,0.46184528,1.3471894,0.5642768,1.0010209,0.6059669,1.0052527,0.95773834,1.1508386,1.1091791,0.9557642,1.2154459,1.0575657,1.1160347,1.0587628,0.46936667,1.0717323,1.2551999,1.1361353,1.1938815,0.8887324,1.2679725,1.1425354,1.157716,1.0936227,1.1677028,0.8935702,1.1698523,0.49674892,0.90193194,0.97367346,1.0542499,1.2042685,1.1350994,1.0516315,0.8878626,1.0332693,0.96994954,0.87206286,1.1262488,0.9324611,1.0516065,1.0766397,1.158704,1.2564203,1.1235032,1.2297534
arm,0.77562577,0.6990278,1.372776,1.1648083,0.0,1.3507423,1.4131708,0.94819045,1.1087037,0.5562582,0.40869743,1.1654497,0.31997293,0.39107907,0.87024575,0.49704212,0.7805401,1.3464739,1.5114799,1.379305,1.027163,1.1692275,1.2958779,1.2223747,1.3934178,1.5474253,1.3751106,1.039599,0.9595982,1.4781529,1.3038435,1.3504295,0.71755165,0.66892636,0.77943164,0.73854804,1.2202492,0.95484495,0.5427407,1.0424747,1.400807,0.6829208,1.5215148,1.406987,0.8246643,1.192238,1.0688174,0.7226227,0.8630404,1.1925182,1.0434477,1.2267141,0.83324856,1.2874931,0.5018463,0.8917079,1.0681963,1.1868875,1.3656552,1.1607985,1.0577248,1.1738231,0.7424426,1.0322002,1.0697961,1.0461271,0.5861093,0.8588739,0.4387012,1.4431124,1.3609271,0.9208652,0.4609927,1.2755888,0.52787447,1.1663237,1.0789348,1.1299429,1.0588142,1.0227587,1.0124836,0.7707367,1.1463108,0.926083,1.3763764,1.2463393,1.4176767,1.1566845,0.6923525,1.3206621,1.2952995,1.0540444,0.26522642,0.51676226,0.93203175,1.1033726,1.0665656,1.4108789,1.3817716,1.2837918,1.0163225,0.961216,1.3322918,1.1974118,1.2630206,0.7917996,1.1770623,1.3728248,1.4246666,0.68478787,0.8529607,1.4324722,1.3608221,1.1621658,1.0659997,0.2703725,1.0626125,0.6059419,1.0461379,0.6941039,0.7883508,0.60538864,1.4171231,0.7287618,1.4137533,0.87224054,1.0090443,1.3633504,0.8322653,1.408149,1.000832,0.36105204,0.5389466,1.3864374,1.064071,1.2090919,0.6917454,1.4988222,1.2140326,1.4453269,0.7908937,1.0039632,1.3809416,1.3006959,0.9320791
ball,1.2456431,0.87725276,0.59048104,0.7009267,1.3507423,0.0,0.18292177,0.8935579,1.1816511,1.3896503,1.405073,0.9864035,1.4130275,1.275253,1.1372223,1.3450022,1.1953067,0.88610846,0.7720736,0.72255945,1.1627089,0.8590169,0.94054985,0.8692371,0.8721957,0.7889651,0.8485354,0.89168894,1.1718328,0.44310075,0.6678508,0.80916,1.3742589,1.1613848,1.0227954,1.2800187,0.80858636,1.0210431,1.3860388,0.9839495,0.71663773,1.4997098,0.69761163,0.8598917,0.9348085,1.0290731,0.97054493,1.4194125,1.1868019,0.7717448,0.84146976,0.29747975,1.183058,0.8557633,1.2149025,0.8672127,1.0401574,0.9115137,0.9420953,0.8632639,0.83755666,0.95869464,1.0840234,0.99974644,0.8872531,0.7592429,1.2454135,1.1343195,1.156137,0.66300046,1.0083603,1.2056181,1.3199275,0.89295727,1.402862,0.82092094,1.3235662,0.9323074,1.0594273,0.74870616,1.0527244,0.9949488,1.0844871,1.0400752,0.6690012,0.7218827,0.591493,0.9447255,1.1289605,0.4251926,1.0420693,1.0672357,1.4310262,1.3828641,0.96700853,0.9953089,0.97365403,0.6868624,0.690376,0.6506163,1.0972444,1.0607233,1.0190768,0.81160116,0.9146231,0.98852855,1.1193993,0.9322094,0.6137402,1.4452143,1.2064508,0.8885934,1.0005783,0.8448466,0.93078613,1.4141513,0.9850654,1.3125727,0.81795275,1.3913838,1.1281092,1.2580988,0.74091256,1.238119,0.4781018,0.96265686,1.023001,0.6853645,1.1057321,0.7166934,1.2090257,1.3526063,1.2650785,0.51729506,0.8004062,0.8193038,1.0113921,0.6893328,0.7998645,0.72106254,1.2307408,1.1366836,0.96365994,0.8132036,1.278873
balloon,1.329185,0.9914408,0.5163635,0.8566312,1.4131708,0.18292177,0.0,1.043708,1.1175764,1.3496672,1.369853,0.8547782,1.4169328,1.3340285,1.2123891,1.358923,1.196069,0.7793102,0.63563037,0.7327647,1.083049,0.9457993,0.8831003,0.8218632,0.76656216,0.6302118,0.7766564,0.8659002,1.1797906,0.34867024,0.7441472,0.6982019,1.3227339,1.1609342,1.153559,1.243461,0.8576755,1.0687046,1.282506,1.0699484,0.62671775,1.4200128,0.6099179,0.7951469,1.1165535,1.0095567,0.98916054,1.3318138,1.1471126,0.88502467,0.88425654,0.43325007,1.176867,0.8877802,1.2278974,0.91469926,1.0514339,0.8343203,0.89919645,0.8796572,0.9656625,0.9534147,1.2469661,0.9805347,0.99706614,0.80136776,1.2943643,1.2222767,1.2671305,0.6102969,0.92189515,1.2016395,1.3481052,0.8441371,1.3730906,0.88117623,1.2135521,0.87295127,1.1066334,0.8887506,1.0566938,1.0796604,1.0314391,1.0031571,0.7428417,0.6578655,0.6344161,0.9213537,1.178879,0.4183085,0.88584775,1.1328877,1.4453735,1.3635329,1.0076244,1.0406454,1.0468127,0.62702477,0.6269309,0.7368941,1.0243748,1.1690857,0.9986944,0.84398437,0.8722005,1.0851387,1.0650245,0.8314385,0.49856806,1.3712863,1.244841,0.80331004,0.9267406,0.9236281,0.9793266,1.4166756,1.0414727,1.303404,0.9281325,1.3101985,1.105091,1.2159111,0.6545619,1.2084312,0.38349646,0.95343125,1.1131611,0.73367923,1.1698694,0.55914843,1.1467705,1.3816035,1.2887483,0.4079163,0.82444024,0.7995647,1.1829281,0.62583315,0.7450143,0.6599852,1.1813927,1.1011734,0.8505531,0.7758223,1.1756036
banana,0.97354376,1.0542321,0.8305958,0.417377,0.94819045,0.8935579,1.043708,0.0,1.0950922,1.1226411,1.1399736,1.2457116,1.084358,1.0143484,0.9433845,1.0982184,1.0196456,1.0683427,1.1286712,0.80158746,1.1728716,0.64988506,1.2720894,1.0651679,1.1108605,1.2291124,1.2053088,1.0822297,1.1681721,1.0914612,0.7054307,1.1862943,1.1706533,1.1004794,0.82739675,1.0277916,0.66668063,0.7796857,1.2381508,0.6608381,1.0681165,1.172499,1.1214525,1.2309827,0.5736667,1.2126021,1.022795,1.2282119,1.1096293,0.88434744,1.1060026,0.6815796,1.1235489,1.200807,0.9840275,1.0108076,1.1207061,1.0954847,0.9739758,1.0672398,0.8374314,0.9103086,0.8536523,1.0705523,0.8845365,0.78034854,1.0766404,0.5241723,0.856689,1.1693318,1.2573216,1.1466781,1.1208134,1.0813905,1.1598154,0.93122894,1.273526,1.1630545,0.7514239,0.30803907,1.0903629,0.6721984,1.139672,0.9562104,0.6577643,1.1412613,1.0460893,1.213617,0.9262485,0.7177081,1.2492551,1.0406988,1.043246,1.119877,0.9416101,0.878553,0.71567994,1.0964601,1.0945883,0.4939375,1.2523075,0.7146938,1.0109547,0.6834644,1.0956209,0.8893752,1.1878566,1.2947774,1.1854845,1.1134553,0.9818252,1.2232105,1.1218578,0.5364827,0.9730426,1.0861707,1.1479738,1.1347066,0.96461165,1.1922379,1.0531201,0.93238497,1.1355844,1.2035232,1.0318785,1.0869066,0.5888491,0.92767596,0.9344181,1.0096754,1.167162,1.0207522,0.97777134,1.0326741,1.1143645,0.92424685,0.71124524,1.2147971,0.7863927,1.1176769,1.0589787,1.1625751,1.3102697,1.1516571,1.2561548
basket,0.9984287,1.2391257,1.2925147,1.0879309,1.1087037,1.1816511,1.1175764,1.0950922,0.0,0.9679301,0.8660985,1.0479562,0.84944403,0.9873209,1.1305189,0.76719874,0.93655777,0.76532626,1.0663214,0.7329479,0.5818165,1.0401143,0.9730581,0.53887767,1.0101908,0.9991376,1.0422057,1.1466708,1.0015396,0.9923739,1.12817,1.095712,0.79023695,1.1696298,0.9137653,0.6906707,1.0491256,0.9480171,0.8255123,0.9886882,1.1836456,0.54903054,0.9959917,1.1674554,0.93673927,1.0093414,0.8190788,0.9859391,0.7845723,1.0891782,1.149274,1.3426439,0.95579094,1.1499462,1.1179229,1.2805612,0.8964979,1.2584538,0.91482484,1.1536407,1.1007167,0.95973957,0.961912,1.2343769,0.8618864,0.9489521,1.1901567,0.92753357,1.0715736,1.2076516,1.2194704,0.94694465,1.0807805,0.7091018,0.95928997,1.0399151,0.69393504,1.0734067,0.9425996,0.9213773,0.7925083,0.84046817,0.79234844,1.103739,1.1752522,1.321152,0.91588867,1.2120178,1.1472421,1.1209795,0.98664516,1.0991788,0.9004842,0.98275304,0.81145334,1.0755657,0.95705724,1.1897866,1.2098774,1.2744044,0.99052995,0.9341433,0.98206836,0.8598815,1.0825634,0.70516074,0.5223562,0.8490426,1.0344789,0.9353578,1.1239692,1.0511425,1.134687,1.1001753,0.9093307,1.0684977,0.6819691,0.9016057,0.9319918,1.0140108,1.0032742,0.9242516,1.2168317,1.0804929,0.96732855,0.88027155,0.98455536,1.0657429,0.9802674,1.1375278,0.8953058,1.0650733,0.85458565,0.77648354,1.2940388,1.3732779,1.0019306,0.9379264,0.6853892,0.8246806,1.0497651,0.98622704,0.9234802,1.2656051,1.0145565
bathtub,0.72297543,1.036731,1.3496399,1.2850922,0.5562582,1.3896503,1.3496672,1.1226411,0.9679301,0.0,0.3503337,1.1435921,0.35171318,0.6976033,0.821322,0.51498914,0.6519176,1.2878735,1.4390503,1.1807888,0.8052283,1.2531903,1.0820065,1.0767095,1.3770124,1.3653721,1.2458225,1.3108603,0.86133736,1.2847042,1.3603895,1.2678053,0.3487543,0.79836214,0.7717055,0.6982948,1.3061771,0.9383805,0.56394124,1.1369812,1.3605367,0.42301214,1.3773986,1.2660241,0.83254826,1.1297419,1.1768227,0.37045205,0.50188434,1.0973573,1.3446252,1.2844496,0.60707307,1.2115188,0.8072927,1.2254211,1.123123,1.3004625,1.3054781,1.3014394,1.0982254,1.155477,0.8694986,1.1924114,1.233294,1.3037511,0.81483793,0.98255765,0.8824897,1.4307755,1.1910505,0.7181834,0.6459175,1.0319567,0.6907355,1.0358564,0.81811583,0.88608783,1.1686461,1.0342511,0.95370907,0.95575196,1.105224,1.1061707,1.4490963,1.3021176,1.2648381,1.2676926,1.01781,1.3673137,1.139451,0.91976535,0.62072474,0.6284057,0.83913875,1.1940639,1.1463745,1.3077399,1.2858841,1.4223979,0.9084826,1.1563419,1.257946,0.93074906,1.2556424,0.9921205,1.1484653,1.3271315,1.2914296,0.4543265,0.71261215,1.2690128,1.1914066,1.114552,0.9983719,0.56692415,1.1530685,0.8493326,0.9631298,0.4383366,0.26455903,0.55296725,1.3946197,0.43674284,1.4235388,1.0949662,1.0124059,1.2123278,0.7712681,1.4412197,1.055839,0.55028486,0.46260917,1.2348851,1.3714201,1.2464503,0.79986656,1.4221525,1.2411183,1.257062,0.7836389,0.9051949,1.1721961,1.3681595,0.6973718
