,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1972506,1.4639039,0.976076,0.62332475,1.0655622,1.2144338,1.2310661,1.1849099,0.6586994,0.48711884,1.4385655,0.5471085,0.48150206,0.83401084,0.53163385,1.1830567,0.79779226,1.4857183,1.4397907,1.0762488,1.2977204,0.93540144,1.0370537,1.2286875,1.5803592,1.1316348,1.4025438,0.6839472,0.87125254,0.8606136,1.3082457,0.8580744,1.4326715,0.78353685,0.70458156,1.1912426,1.2159395,0.5055672,0.8983105,1.5085179,0.68025076,1.5527669,0.81677425,0.9671577,0.91900843,1.0311201,1.1975073,1.1500542,1.4942596,0.6673603,0.7644863,1.3141487,0.9448036,0.88845515,1.2960453,1.2811196,0.5364756,1.1512449,1.2046176,0.88751894,0.9867593,0.7283788,1.3732171,0.82294816,1.3947109,0.90191114,1.0286465,0.7136471,0.9818049,0.5853908,1.3442323,0.82247174,1.2966311,1.208138,0.98388493,0.52377874,0.74045986,0.9374099,0.7005622,1.4628348,1.4348865,1.3946927,1.054827,1.442259,1.0567307,0.63294387,0.6346874,0.7253187,0.59240663,1.4788032,1.5171037,1.4848495,0.9736974,1.0365635,0.9190713,1.3341821,0.9836025,1.3370881,1.0438045,1.3516653,0.98885167,0.8812982,0.66151005,1.0730935,0.8475183,0.8000358,0.63526934,0.94154537,0.7688346,1.1538372,1.0007238,1.2032537,0.6294142,1.4373579,1.3886827,1.0483707,0.92340136,1.3014386,1.266918,0.8471122,1.4763805,0.83027995,0.62408376,0.623047,1.2425773,1.3035796,0.99769133,0.68957305,1.4015115,0.88145244,0.8336334,0.88739365,0.7473987,0.9737909,1.5281254,0.7285474
ankle,1.1972506,0.0,0.8867002,1.0881791,0.8907281,0.9564591,1.098892,1.0044954,1.1429689,1.3239204,1.286741,0.8673166,1.0913801,1.0960114,0.9777952,1.195087,0.9356596,1.146113,0.9233002,1.0593534,1.174226,0.8404459,1.2245833,1.1948252,0.9727863,0.87349933,0.97700757,0.6473493,1.0769789,1.1592473,0.99998105,0.98066604,1.2131222,0.94994974,1.2011926,1.3157644,0.65848804,0.94070685,1.184679,1.034002,0.8715593,1.2822512,0.9739516,1.0365053,0.90495026,1.1522219,1.1437643,0.83986574,0.6219443,0.7871659,1.3401015,1.0948641,0.5422619,0.9902242,1.0335944,0.45050168,0.9951581,1.0765737,1.0322667,0.75625014,0.6133416,0.9564592,1.1016692,0.79447234,0.7915338,0.73067963,1.029644,0.9055464,1.1320457,0.976338,0.9896478,0.95070446,1.2155391,1.1162084,1.008311,1.1282716,0.8145316,1.0050522,0.99297273,1.1438578,0.7482459,0.84063196,0.60414517,0.72624326,0.8058583,1.1426696,1.2009784,1.045505,1.0090119,1.109279,0.8801861,0.8234683,0.9539273,0.8630446,1.0979851,0.94351983,1.1293778,1.060064,0.8254161,1.0552506,1.0477656,0.7701052,1.2684256,1.02763,0.8122398,0.94505644,1.2666421,1.1291254,0.62205124,0.78399944,1.1253328,1.2453761,1.2093804,1.237846,0.7056383,0.8905533,0.6030203,1.1722093,0.99491704,0.89327365,1.3115475,0.86753637,1.0806653,1.2018306,1.3355353,0.97787154,0.39968848,0.897845,1.168936,0.7643103,1.0885102,1.2894768,1.2263848,1.0710979,1.1842469,0.6408843,1.2407265
apple,1.4639039,0.8867002,0.0,0.9254481,1.4638803,0.47138286,0.5365248,0.4536038,1.148475,1.4410181,1.4973221,0.54396397,1.512775,1.4538517,1.019843,1.4236724,0.69134855,1.2070901,0.44775534,0.6011002,1.1583749,0.51654726,1.2282492,1.2027811,0.75088286,0.61943,0.81815505,0.3962896,1.2466663,1.343659,0.96619403,0.6774415,1.4380572,0.5193132,1.4702405,1.4075918,0.5772677,0.56939644,1.5151458,0.9965354,0.34412736,1.5143301,0.40338027,1.1100805,0.9879422,1.399971,1.3497348,0.93154085,0.8277169,0.2096839,1.3245139,1.1960645,0.74963987,0.625801,0.8928664,0.79823494,0.8866342,0.86797833,0.82864594,0.91859776,1.2497295,0.9048679,1.2905366,0.47538972,1.353034,0.5435807,0.74761117,1.094472,1.406991,1.1559029,1.497272,0.87304854,1.4143976,0.80057216,0.54400176,1.1629146,1.4388173,1.2192627,1.1264758,1.1241856,0.28326654,0.7661351,0.7094979,1.0572807,0.1890598,1.3257847,1.3304632,1.5155685,1.4482147,1.399185,0.43982047,0.4719447,0.22736967,0.9535946,0.9346224,1.0216941,0.75644124,0.8665421,0.2656461,1.1268295,0.6905674,1.0623722,1.4523867,1.0752889,0.8308754,1.3386383,1.3142563,1.4472293,1.1516263,1.3662444,0.9410349,1.2111276,1.1815991,1.4209079,0.36009872,0.37656724,1.1862869,1.1271286,0.8848427,0.75437474,1.3200178,0.29055893,1.4009602,1.4798716,1.5179485,0.646615,0.6980672,1.091192,1.5205033,0.7030717,0.7985309,1.293256,1.1196976,1.267314,1.239541,0.5499855,1.4057963
applesauce,0.976076,1.0881791,0.9254481,0.0,1.0486606,0.7773759,0.7311771,0.8518363,0.92578924,1.1230055,1.1389785,1.2455982,1.0504962,0.8748393,1.1699302,1.0357391,1.1447895,0.8421453,1.0394161,0.7178639,0.8479662,0.94618547,0.9058898,0.8739538,0.83323544,1.1788185,1.0786088,1.1910543,1.0800633,1.0526986,0.8435277,1.0586735,1.1524932,1.1255664,1.0637271,1.0645254,1.0728152,1.1261499,1.0790462,0.800645,1.1721483,1.102339,0.9510237,1.056438,1.0651473,1.1593552,0.9489437,0.91981435,1.1108663,0.9529635,1.0982633,1.0807787,1.1571412,0.987334,0.9556775,1.1601378,0.99305046,0.81453854,0.65353477,1.1745625,0.93192947,0.7014782,1.1264243,1.1474152,0.92089164,1.2142541,1.0937215,1.0479677,1.1137378,0.93549895,1.082699,1.029481,0.98252285,1.0151198,0.57954335,0.8116445,0.7877084,1.1610295,0.91066384,1.0194968,1.2177672,1.0409391,1.2742095,1.0653776,1.1104013,0.9781655,0.934951,1.1072667,1.1569068,0.89684844,1.1963713,1.0876596,1.1047279,1.0654657,0.88629293,0.9267487,0.67176867,0.98629767,1.0658827,0.9238223,1.0624086,0.99800944,1.0866863,1.0358597,1.0859779,1.016798,0.877766,1.1501234,1.0174369,1.0481408,0.83388877,1.100767,0.92958,1.0108626,1.2867779,0.80075186,0.966716,0.75474316,0.8835159,0.9573474,1.0990204,1.1436855,1.1470284,1.1215538,1.0084245,0.8562968,1.1594437,0.75210595,0.9631889,1.1457185,0.7712252,0.82041484,1.0684458,1.1740348,1.0854301,1.1576942,1.1775174
arm,0.62332475,0.8907281,1.4638803,1.0486606,0.0,1.2860434,1.3605553,1.3693546,1.1865745,0.599409,0.5080827,1.3080995,0.35651731,0.5353747,0.93907714,0.7881204,1.3191967,0.9924491,1.4736001,1.4450608,1.1509,1.3210275,0.9815765,1.074412,1.3049455,1.4398242,1.335906,1.1514093,0.9489033,0.97093904,0.9482164,1.34277,0.8169664,1.3294535,0.7452044,0.7729661,1.1941984,1.2535492,0.47254646,0.98635304,1.425692,0.8129321,1.5156631,1.1566632,1.2363526,0.84980905,1.0069883,1.0834134,0.9915904,1.3455033,0.79260373,0.6953762,0.8610395,1.3476537,1.2155519,1.1217862,1.3404061,1.1654639,1.2487612,1.0457504,0.6598937,1.0725746,0.66015816,1.4246483,0.3707953,1.339329,1.370569,1.0493177,0.4996953,1.0553353,0.30365938,1.319761,0.84484375,1.3625896,1.2144914,0.9759625,0.53364575,0.9179077,0.876523,1.0148093,1.2455652,1.3934445,1.133011,0.7934928,1.2659194,1.0321561,0.67561007,0.3412128,0.48066682,0.61968666,1.4052725,1.3454095,1.4480119,1.2616535,1.1494277,1.1724148,1.3525442,1.2988511,1.3566599,1.1780277,1.4103795,0.9447926,0.7842388,1.1582206,1.0696228,0.7812579,0.95418054,0.38407862,1.0230238,0.53567755,1.0763947,0.89609927,1.1717749,0.5244421,1.3380809,1.4368961,0.81854534,1.0057131,1.3163657,1.3029326,0.7865228,1.371654,0.86133325,0.46722782,0.6413527,1.4317294,0.8940675,0.9667612,0.48445278,1.3246636,1.2565541,0.85206926,0.8936137,0.81496227,1.1170924,1.1480732,0.6859936
ball,1.0655622,0.9564591,0.47138286,0.7773759,1.2860434,0.0,0.39592147,0.84364927,1.0677842,1.2520616,1.2164826,1.061531,1.2671454,0.99583954,1.118738,1.1709481,0.9254684,0.9672811,0.8680786,0.7220882,0.99974674,0.70917374,1.1095092,0.8848256,0.860495,1.0639077,0.9361748,0.9074464,1.0569395,1.1683359,0.9158822,0.84427464,1.3057693,0.980104,1.1574116,1.291412,0.74612355,0.92176294,1.2460922,0.9529877,0.9345322,1.2581134,0.7594437,0.94354874,0.8894495,1.289977,1.1073401,1.0340786,1.0530227,0.45686615,1.1194032,1.0971721,1.088127,0.74088025,0.92251855,1.048605,1.0363828,0.6986581,0.72055376,1.1034665,1.1168047,0.72873926,1.2168021,0.8547059,1.142459,0.84583545,0.89814335,1.0314664,1.2296057,0.9528566,1.2562351,1.1207012,1.2742883,0.88270634,0.45868897,1.0160205,0.9457003,1.1300942,1.0873313,0.7519514,0.81072867,1.076497,1.1328417,1.1289549,0.6382904,1.246523,1.0986493,1.3182559,1.3424444,1.0387357,1.0034134,0.9351517,0.8850289,0.98204863,0.89911664,1.0442057,0.74694675,0.83562785,0.4241687,1.0159936,0.754153,0.94142896,1.3298591,0.97306246,0.8088819,1.2154973,1.0792927,1.2703317,0.92070735,1.2131894,0.9548009,1.2359341,1.1807213,1.2492812,0.9548747,0.52629286,1.0100731,0.9597231,0.960158,0.93324333,1.2460895,0.84559953,1.298382,1.2676935,1.1477677,0.6417802,1.0042468,1.01182,1.2096834,1.1159657,0.52935094,1.0471896,1.0725149,1.1869409,1.1477611,0.9950755,1.2537105
balloon,1.2144338,1.098892,0.5365248,0.7311771,1.3605553,0.39592147,0.0,0.8319792,1.0223734,1.1664826,1.2750471,0.9852444,1.3211467,1.1654372,1.1192185,1.1855241,0.9246131,1.0294383,0.70237255,0.63456595,1.0219983,0.85571694,0.99525744,0.8939401,0.7396285,0.8768416,0.90364295,0.9794711,1.1542197,1.1168984,1.0037948,0.64636713,1.1781344,0.8918157,1.1548656,1.2297857,0.90001476,0.9955889,1.3106129,1.0513836,0.8754623,1.2156862,0.60093534,1.0248471,0.918342,1.1349862,1.0041289,0.8758872,1.1010668,0.5632275,1.0939981,1.1776327,1.1506035,0.77095556,0.87430155,1.0887214,0.85209686,0.8303295,0.5317674,1.1133538,1.2946988,0.9226279,1.253736,0.8776815,1.2659466,0.93103117,0.79870474,1.0364145,1.2672467,0.9987961,1.3661026,0.9896492,1.160876,0.41132498,0.5574281,0.96408147,1.244225,1.2076302,1.0890183,0.8254374,0.8820332,0.9613725,1.0712612,1.2157112,0.8255919,1.069387,1.1257948,1.3897041,1.3774445,1.1396366,0.9013517,0.87598526,0.8324518,0.9369342,0.9093225,0.93686455,0.6643625,0.8002048,0.7179012,1.0421939,0.80570817,1.091469,1.2014399,0.97384405,0.89945227,1.2129474,1.0961316,1.3239194,1.1495305,1.274343,0.88921326,1.1005611,0.89662,1.1835055,0.99954253,0.56017184,1.140741,0.9335569,0.80542284,0.7497818,1.1391549,0.8332762,1.292759,1.2976358,1.1761277,0.66344863,1.0950942,1.0132129,1.2198057,1.0182855,0.77579814,1.0572606,0.9799614,1.2348768,1.0879449,0.97198504,1.1569537
banana,1.2310661,1.0044954,0.4536038,0.8518363,1.3693546,0.84364927,0.8319792,0.0,1.0180769,1.3487952,1.357003,0.7265166,1.4128716,1.280739,1.0058154,1.101531,0.79908514,1.1090411,0.7251929,0.6829561,0.99571717,0.48903346,1.0475798,1.1679995,0.82672316,0.7572904,0.94711107,0.59964377,1.2307823,1.1302811,0.8474335,0.86648864,1.272218,0.76762646,1.4174523,1.0984217,0.8540186,0.4547915,1.3861307,0.7824049,0.52151245,1.3252662,0.7318703,1.1198959,1.0041406,1.3287598,1.1998494,0.81387496,1.0671008,0.66978705,1.2588167,1.2353004,0.92975044,0.6578021,0.79294866,0.75780797,0.85256684,0.7682545,0.9644384,1.074989,1.1373494,0.8930397,1.3057845,0.6260121,1.321608,0.81795,0.875011,1.018075,1.299012,1.0656558,1.3266892,0.7648538,1.0682524,0.92786145,0.68259794,1.1031535,1.2725792,1.117204,1.0692351,1.200129,0.78722364,0.6051464,0.90014267,1.164887,0.59756726,1.2373087,1.2766714,1.3094709,1.2572061,1.287549,0.54817677,0.6309262,0.42740524,0.8827956,0.8861802,0.9277163,0.73446095,0.9881283,0.56252944,1.0673271,0.8144389,1.1989901,1.2943748,1.061904,0.99758166,1.3479719,1.051838,1.3438927,1.0025405,1.2487977,0.93463796,1.1681912,1.0613275,1.2034961,0.6191021,0.502428,1.0491112,1.0369924,0.8191123,0.97242695,1.1369219,0.61777544,1.2440641,1.3690426,1.3704123,0.69255024,0.9392905,0.9992041,1.3062909,0.6483855,0.76710033,1.126559,1.1117892,1.1286168,1.1096468,0.8696306,1.3634589
basket,1.1849099,1.1429689,1.148475,0.92578924,1.1865745,1.0677842,1.0223734,1.0180769,0.0,1.0370502,0.9930698,0.9759854,1.0924884,1.1217885,1.207546,0.8663613,1.088311,0.7742409,0.80818033,0.698711,0.4550808,1.020932,0.9412441,0.6217487,0.9390805,0.63040614,0.9684825,1.1675692,1.0882878,0.709648,1.1281805,0.79387224,0.8357768,0.8630862,0.9163159,0.82063293,1.1414486,1.1085134,1.0268773,0.8563185,0.99683553,0.63191724,0.7603086,1.0178207,0.969384,0.8962721,0.5797044,0.939848,1.2220093,1.0851116,0.94921446,1.2882023,1.2452384,1.1634715,1.0261858,0.9857968,0.70830333,1.1543976,0.9363231,1.3005828,0.9148369,0.8864337,1.2760484,0.98833203,1.236958,0.98591536,1.0547384,0.9134392,1.175357,0.87477463,1.2037565,0.7858509,0.87564075,0.82769763,0.9381886,0.8420119,1.0070277,1.1654348,1.2296259,1.1081918,1.1515199,0.64225155,1.170166,1.3147755,1.1667511,0.61165065,1.0940893,1.1505584,1.2393551,1.0503232,0.98398197,0.9717493,1.0023801,0.72511137,1.0231019,0.85641474,0.80541396,0.99858,1.0531732,0.60419416,0.71272933,1.2142249,0.8299179,1.0173699,1.2002307,1.0979816,0.8859855,1.2403975,0.7804086,1.1873206,1.0112891,0.84827733,0.59352416,1.0295589,1.1151463,0.89115816,0.75065756,0.9946059,0.8827443,0.93827397,1.0234051,1.0049139,0.9857983,1.2190441,0.9650525,0.73888135,1.2227954,1.1053817,1.1050624,0.74583185,0.8895919,0.99082786,1.0622059,1.1307597,0.77259475,0.9976123,1.0694847
bathtub,0.6586994,1.3239204,1.4410181,1.1230055,0.599409,1.2520616,1.1664826,1.3487952,1.0370502,0.0,0.29797775,1.3294585,0.4195119,0.6296063,1.0346333,0.74597275,1.2488091,1.0004426,1.4625876,1.2214609,0.9864329,1.4449787,0.8342087,0.83180326,1.1975071,1.3648615,1.2292087,1.4023895,0.8713412,0.7518281,1.067752,1.3077009,0.4242618,1.3790032,0.62005985,0.6760655,1.3056879,1.3235205,0.4357745,1.1211983,1.5064626,0.4648224,1.3810097,1.0913656,1.2318051,0.4395504,0.59463745,1.0644547,1.2374573,1.317596,0.44776607,0.67463547,1.3053677,1.2830892,1.3029586,1.4502654,1.3203754,1.136558,1.1248045,1.1945243,1.1986969,1.2656475,0.633877,1.4863405,0.9586978,1.4262936,1.2837138,1.0894064,0.6238818,1.0765269,0.54891187,1.3587811,0.6702087,1.0658467,1.1667845,0.89620024,0.9493905,0.9860808,0.97634435,0.90645146,1.3305562,1.389092,1.4122245,1.0798315,1.3642921,0.77991474,0.800972,0.66010374,0.5926212,0.70561576,1.4565485,1.5225587,1.4121139,1.2179686,1.1510918,1.2298316,1.1346152,1.1846821,1.4359208,1.1654727,1.2423654,1.1282811,0.43911988,1.1652786,1.112516,0.9277812,0.87385005,0.50663644,1.3030188,0.78170687,0.96561426,0.39919823,0.648293,0.37120646,1.4443755,1.2998104,1.2141069,0.90078187,1.2570143,1.293447,0.7680006,1.3833278,0.8780615,0.48830974,0.38946354,1.2455696,1.3239055,1.1923413,0.72281766,1.4621056,1.2034426,0.6722586,0.7625266,0.7782014,0.9322746,1.4326849,0.46080232
