,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2462473,1.2182696,0.759533,0.884725,1.1453635,1.2135549,0.94946223,0.8946621,0.7442908,1.4002357,0.88097537,0.58910024,0.51524055,0.7437265,1.0767188,0.7103623,1.4256197,1.317688,0.80557334,1.3914815,0.92040133,0.99155396,0.80204064,1.4225162,1.2058307,1.1272116,0.84394467,1.0651233,1.1994109,0.8989162,0.8824546,1.0538627,1.0241951,0.8033523,0.9645091,1.3809073,0.71879184,1.4782206,0.66261494,0.9127468,1.0151644,1.0505487,1.0521715,1.2554886,1.189667,1.0238138,0.8603995,1.133397,0.7654547,1.0934932,1.1235363,1.2858559,0.48324096,0.79953945,1.1750005,0.9249176,0.8557719,0.8489588,0.79626274,0.9305676,1.1688658,0.62144035,0.8998132,1.3809599,0.83540606,1.3188549,0.99085116,1.1155053,0.8981695,0.8889752,1.0519897,0.8086324,1.0496206,0.8777488,1.3390303,1.0385962,1.4462402,0.9908027,1.4963591,0.9329645,0.6255223,0.9970455,0.98515266,0.5610795,1.3403242,1.2776569,1.2187601,1.1919516,0.6488991,1.1863753,1.3336558,1.0537834,1.0533383,0.63901293,1.1938679,1.0523155,1.0571607,1.0177144,0.7864034,0.7464772,0.8964369,1.1285305,1.2779162,1.2859609,1.0301955,1.0389985,0.8835119,1.3655932,1.1410807,1.4385264,1.0260783,1.1859237,0.7819721,1.3002802,0.86117864,0.88220036,0.7363271,1.1931573,1.3135767,0.87435186,0.78996027,1.2773149,1.0239941,0.97879964,0.9300438,0.8468588,1.1414655,1.4795762,0.9259814
ankle,1.2462473,0.0,0.88284117,1.0378693,1.0859182,0.877568,0.77808744,1.2206913,1.3373096,1.3776342,0.8389988,1.3032686,1.2189587,1.1717567,1.0390944,0.92979157,1.0678477,0.8280462,0.98019636,1.3403993,0.80544055,1.2057978,1.1347893,0.9825776,0.85507554,0.8981511,0.9339838,1.0679476,0.9737795,1.0141107,1.3480549,1.2364658,0.7863125,0.93144697,1.3031993,0.99481004,0.742841,1.3355589,0.8299242,1.0726675,0.9122468,1.2832757,1.1088759,1.0306329,0.7454705,0.8498808,1.0708996,1.2885916,0.6049417,1.1368425,0.8862339,0.7960212,0.6678854,0.981932,1.2216867,0.89993995,0.88139915,0.9533464,1.2915411,1.0529134,0.89583266,0.8566202,1.0001879,1.1929301,0.86292696,1.045424,0.6977072,1.2285492,1.0085602,1.0414314,1.1516931,0.9915327,1.0525984,0.9703397,1.0745659,0.84223044,0.82447827,0.74024093,0.91709524,0.732299,1.3428909,1.2439334,0.9431646,1.0780953,1.2551063,0.73184395,0.8310119,0.7983006,0.86899674,0.9575613,0.70137906,0.9306274,0.7257484,1.0202402,1.0423543,0.8343965,0.90232366,0.9686441,1.2628587,1.1331604,1.0806947,1.1443021,0.56895113,0.87635773,0.84680533,1.2086219,1.2095329,1.0899409,0.7112814,0.94656783,0.49298048,0.9372018,0.77279127,1.2826982,0.84088373,1.1059064,1.1751475,1.3826342,0.82633704,0.5158123,0.96705055,1.1463176,0.7286517,0.87183845,1.1517196,1.2005861,1.1410117,0.83274126,0.69166243,1.3076451
apple,1.2182696,0.88284117,0.0,1.1749785,0.63071865,0.55454636,0.43616158,1.3084136,1.3450584,1.2767916,0.7571131,1.404397,1.2802174,1.2219762,1.3456521,1.0019602,1.1472453,0.7427944,0.72095555,1.3450289,0.6897783,1.2720711,1.1550418,1.1342752,0.8431804,0.8118044,0.7299193,1.1945477,1.1395763,0.86970764,1.3593515,1.3926167,0.76620024,1.134927,1.4051867,1.2081956,0.58298105,1.3163058,0.6795863,1.2349606,1.1725184,1.3284141,1.1550231,1.2761095,0.750016,0.46389204,1.0989752,1.113785,0.83641565,0.9439955,0.72196573,0.9096952,0.84082144,0.9310738,1.1104585,0.88907516,1.073708,0.59046143,1.2077386,0.9499747,0.9726976,0.7146365,1.0735589,1.3054347,0.8870219,1.3035632,0.86692053,1.245416,0.9710707,1.0979328,0.5773411,1.0797123,1.1388009,0.99154466,1.0211513,0.48736823,1.0714054,0.72041,0.81465566,0.49029738,1.3403274,1.0629396,1.1610956,1.2743071,1.2330334,0.68782246,0.73820055,0.84890246,0.29090953,1.1003215,1.0270907,0.71965045,0.91214436,0.85911894,1.2411875,0.3974992,1.1571933,0.79024005,1.3400347,1.0771973,1.0594828,1.2915162,1.0195769,0.98397434,0.8022822,1.3241241,1.0788797,1.211914,0.63658935,0.7877257,1.0029527,0.9009059,0.72881484,1.0351552,0.51677465,1.3821208,1.3564246,1.3838658,0.7549808,0.777983,0.9470597,1.0863297,0.94013876,0.637882,1.0690358,1.052535,1.1244146,1.0493504,0.66021454,1.2862751
arm,0.759533,1.0378693,1.1749785,0.0,0.9000819,1.2625536,1.2252461,0.91250163,0.74027526,0.8222705,1.3207737,0.77603066,0.6969318,0.87121594,0.7650612,1.2068803,0.8222233,1.3956046,1.3164887,0.69879335,1.3164135,1.0119946,0.92840266,1.0763515,1.3337338,1.3698667,1.005759,1.0098377,1.026339,1.3151114,0.8930306,0.7718208,1.2118405,0.92950815,0.6808433,0.8739772,1.270586,0.8542026,1.4285238,0.93451595,0.998732,1.0843761,1.1246305,0.8490256,1.0847487,1.1681542,0.9777655,0.85683995,0.7586508,1.0495481,1.2582567,0.8328438,1.2630711,1.18634,0.7462051,1.0526431,0.78300923,0.8715231,0.75540507,1.0053791,0.5560842,1.312249,1.1225795,0.6591869,1.3202713,0.47185904,1.2042207,0.8943154,1.3217685,0.9351881,0.9115332,1.066897,0.5288992,1.2171675,1.0430112,1.2163205,1.0351139,1.2108785,0.8896483,1.2952799,0.82927406,0.90887696,0.67819846,0.652783,0.68690526,1.3135892,1.2071427,1.2892497,1.2416427,0.97721106,1.2501032,1.2658119,1.2769395,1.1302888,0.94441885,1.3385732,0.9325387,1.2806823,0.9648571,1.0396699,0.83987534,0.55060494,1.2261899,0.9598511,1.2868485,0.89665866,0.9073111,0.8589779,1.3543391,1.3178236,1.1964134,1.0728745,1.2900336,0.78143287,1.3238317,1.0279723,0.54197663,0.62887436,1.3115964,0.97247714,0.8826268,0.69976413,1.1811893,1.1992538,1.0160213,0.9978553,1.0553411,1.2407451,1.2641706,0.9384475
ball,0.884725,1.0859182,0.63071865,0.9000819,0.0,0.45881122,1.1328933,0.83180267,1.0154834,0.82747746,1.2792578,0.91248614,0.83263135,0.9476128,0.89999413,1.082999,0.95931065,1.3720897,0.820931,0.89495414,1.2549453,1.1254425,0.6028191,1.051425,1.3257372,1.1633912,0.8781888,1.1044706,1.0324156,1.2547302,1.0315049,1.0045949,0.96177685,1.1614611,0.956332,1.1156093,1.1858263,0.84289855,1.2439966,0.9654238,0.9650638,1.1474437,1.0740966,1.0176364,1.1419182,0.65537894,1.1794126,0.94509923,1.0025537,1.042398,1.0441496,1.0724885,1.1806777,0.9484299,0.8198378,1.1161915,0.8485255,0.5527704,0.96366084,0.8710003,0.8087612,1.0369208,1.1413496,1.0483594,1.2819649,0.89849544,1.2082766,1.0454239,1.1496611,0.79385674,0.56859416,1.0798331,0.64985204,1.0434179,0.8195579,1.022366,1.0606921,1.2034059,0.99457264,1.148731,1.0548565,0.85100013,0.9111281,1.0230063,0.86276937,1.2949069,1.2360749,1.2626815,0.9891056,1.0085589,1.3017946,1.2706652,1.3167408,0.95860416,0.97383636,0.8054781,1.0071405,1.1332873,1.1460755,0.8069288,0.6847997,0.9610368,1.2570095,1.2224544,1.2565464,1.1561947,0.88195217,0.8633423,1.2891287,0.9883095,1.208339,1.0512748,0.98960686,0.67730343,0.94035774,0.9635279,0.9130187,0.82678884,1.0271196,1.1779845,0.97978127,0.64403224,1.2054033,0.5514424,0.90593505,0.96874785,1.0267903,1.2565742,1.2532334,0.9821373
balloon,1.1453635,0.877568,0.55454636,1.2625536,0.45881122,0.0,0.8665461,1.0917838,1.2932168,1.2223666,0.84576064,1.2799315,1.1642687,1.1428653,1.175587,0.92423165,1.0295069,0.7922821,0.6301995,1.223886,0.85750556,1.1456925,0.8427282,1.0436951,0.8512518,0.7817371,1.0105795,1.1822609,1.0168704,0.8267616,1.247448,1.1791588,0.73526704,1.1179092,1.3276529,1.1725008,0.7823342,1.1718622,0.67310154,1.1798964,1.113865,1.1573601,0.9789708,1.1453954,1.0154593,0.59897256,1.2051202,1.1864464,1.0519841,0.9342794,0.7887544,1.1608331,0.73300403,0.90041953,0.95136917,1.0402418,1.113287,0.7249049,1.2429364,0.9053911,1.0901817,0.6926408,1.003964,1.3433368,0.82930565,1.3464153,0.8164239,1.161181,0.60085535,1.0622512,0.7974061,0.90105945,1.0929917,0.9912443,0.9990313,0.70479155,0.88902146,0.93431586,1.1147254,0.76720464,1.2612822,1.1172056,1.1488512,1.3545719,1.0999597,0.8123116,0.8352743,0.86299825,0.7033794,1.1103346,0.9171183,0.9376373,0.9432453,0.80357873,1.1308596,0.7280396,1.0601153,0.92048496,1.229759,1.0659113,0.96286535,1.3189263,0.93316585,1.0806155,0.86191183,1.2921941,0.95087737,1.0843158,0.8268683,0.6976765,0.94793594,1.1243691,0.52586204,0.9856428,0.69965947,1.1395088,1.2665272,1.1725974,0.7732146,1.0320015,1.0366732,0.96350706,0.91711503,0.6180829,0.9244859,1.0242311,1.072457,1.0132645,0.8510179,1.0987133
banana,1.2135549,0.77808744,0.43616158,1.2252461,1.1328933,0.8665461,0.0,1.3077753,1.4100403,1.3268667,0.71798205,1.4265862,1.4032687,1.166009,1.3389003,0.9930341,1.1949222,0.6123521,0.8575635,1.4220731,0.50336546,1.2193393,1.3294122,1.1563481,0.73793447,0.79656506,0.7312056,1.0910172,1.0918461,0.84438026,1.3659571,1.4088728,0.7044983,0.9834775,1.4389338,1.0547323,0.49875414,1.3355784,0.6773741,1.1798013,1.0934595,1.324645,1.2430443,1.2775145,0.7032285,0.77199674,1.0159907,1.1982858,0.9523278,0.8728429,0.6307278,0.829437,0.6956933,0.9013442,1.2466793,0.8566535,1.0089339,0.88690937,1.2719747,0.9570915,1.1733745,0.63793373,1.0113696,1.2986784,0.762408,1.3537056,0.74888927,1.1073921,0.9724448,1.0405447,0.95981884,1.0451068,1.2380518,0.8874144,0.9634059,0.66023314,0.9550801,0.67242795,0.7849963,0.43493116,1.314535,1.1597617,1.2758584,1.2506772,1.3634228,0.506798,0.5936891,0.70945084,0.54268473,1.0905788,0.8006302,0.62261033,0.6875581,0.90285254,1.2418517,0.5246338,1.0801532,0.621318,1.3452313,1.1146286,1.0703744,1.3791859,0.701406,0.9267473,0.6785532,1.2250233,1.249034,1.3629202,0.45505846,0.85119313,0.744039,0.5770526,0.728732,1.1550457,0.67473906,1.314156,1.436867,1.4840716,0.68409216,0.738779,0.9815072,1.1899506,0.6594831,0.7319694,1.1286393,1.2204103,1.1808985,0.8878059,0.6542998,1.4338067
basket,0.94946223,1.2206913,1.3084136,0.91250163,0.83180267,1.0917838,1.3077753,0.0,0.7689796,0.53145295,1.2617843,0.56363153,0.67467743,0.8838227,0.65050644,1.0389681,0.6270664,1.3016999,0.78351843,0.3586136,1.2630085,0.9569567,0.46209216,0.83474755,1.1683164,1.1827968,1.3048664,0.977795,0.69096714,1.1348858,0.8005432,0.7267189,1.2022935,1.0098361,0.7301305,0.915214,1.3214443,0.4822963,1.1792203,0.9760003,0.9131682,0.929558,0.72125494,0.8013328,1.3779438,1.1694111,0.9803343,1.0409838,1.2834513,1.088898,1.1068192,1.2655563,1.1810848,1.1654754,0.8207379,1.2700258,1.0268378,0.9803241,1.026563,1.0161217,1.0132233,1.2667836,1.2266448,1.000391,1.1609498,0.90071046,1.1407056,0.7469336,1.0902928,0.8994918,1.0380847,0.8843265,0.8546458,0.9790606,0.79872835,1.381494,0.8881982,1.3617325,1.1989428,1.3481921,0.73991895,0.97993064,0.9403006,1.0651616,0.6498514,1.3184443,1.2809596,1.2728292,1.3210956,1.104651,0.92029357,1.2887831,1.1684245,0.94494367,0.9837448,1.2430811,0.73373157,1.1147267,0.7535565,0.9146155,0.9013507,1.048279,1.1147505,1.1859161,1.2193513,0.93359816,0.7770981,0.77929527,1.3749263,1.0900052,1.0074116,0.9406654,1.1896223,0.6654976,1.3113065,0.67041135,0.9015108,0.5882373,1.1220366,1.380445,1.204605,0.83621,0.9095979,0.9620664,0.6248527,0.9833894,0.9505114,1.0938342,1.3362701,0.90293884
bathtub,0.8946621,1.3373096,1.3450584,0.74027526,1.0154834,1.2932168,1.4100403,0.7689796,0.0,0.49704927,1.34714,0.4353652,0.69960344,0.8680637,0.70495564,1.0967245,1.0109644,1.5002406,1.0595524,0.54629207,1.4615617,0.7402153,0.82199275,1.0447062,1.3264394,1.3153714,1.2005857,1.0350212,0.8250495,1.3476009,0.501614,0.6973459,1.2516546,1.0349855,0.484699,0.95530516,1.4603562,0.5201292,1.3888237,1.0703905,1.1759758,0.56595594,0.6981713,0.65719444,1.3011215,1.0845569,0.841807,0.8681938,1.1531475,1.1113008,1.4086027,1.0599177,1.2601566,1.274512,0.5832747,1.2248863,1.0761182,1.0837455,0.80390716,0.95380235,0.9322306,1.404792,1.2115896,0.5916201,1.3356267,0.58966464,1.2341269,0.7533309,1.0816427,1.0599313,0.90367043,1.0682175,0.6650281,1.2270117,0.95825374,1.3215194,0.99650246,1.365747,1.004825,1.4466567,0.45969248,0.8973149,0.77143013,0.6399454,0.72130454,1.4661984,1.3874888,1.4261808,1.2786825,1.1002204,1.234193,1.3032025,1.4080529,0.9042779,0.9869082,1.430576,1.1996931,1.2601559,0.51714444,1.0096202,0.83279294,0.6027969,1.3880327,1.0658154,1.3633945,0.46644747,0.31460178,0.6004399,1.4641843,1.2684573,1.2586441,1.0854163,1.2289523,0.8572632,1.3820456,0.91977,0.60871476,0.48669118,1.3317977,1.3454062,1.036431,0.71161586,1.2169076,1.4192405,0.85084814,0.8032814,0.9508485,1.2414308,1.4041889,0.5761646
bed,0.7442908,1.3776342,1.2767916,0.8222705,0.82747746,1.2223666,1.3268667,0.53145295,0.49704927,0.0,1.3562165,0.42120767,0.47003692,0.7620301,0.49210554,1.0367348,0.7595856,1.5410322,1.1491518,0.53749275,1.4312487,0.8172339,0.77704996,0.9577045,1.4106531,1.311781,1.2834758,0.91742814,0.7614225,1.3002989,0.5317111,0.57961595,1.1700324,1.0993537,0.45597672,0.9904946,1.519256,0.23479658,1.480016,0.8796535,0.93743527,0.7711217,0.88481677,0.8383086,1.412517,1.1228037,0.97001725,0.83713955,1.2943133,1.0343548,1.265604,1.2723997,1.4073834,1.052289,0.7029183,1.3369572,1.1064199,1.1173791,0.8189578,0.8975793,1.0060437,1.4462848,1.0736457,0.7578704,1.4270228,0.62423575,1.3825309,0.63168573,1.155395,0.9418379,0.83233154,1.1074525,0.7633646,1.1425949,0.8972152,1.4073,1.0960164,1.5285541,1.1307461,1.4512017,0.6336433,0.7495226,0.80584085,0.8050154,0.60245764,1.5339671,1.4376382,1.3476887,1.3610926,0.98378044,1.1909052,1.2898889,1.3258302,0.9646108,0.8505747,1.2738996,1.1693311,1.2441794,0.6529085,0.84806323,0.8386484,0.743806,1.3777597,1.3333712,1.3941629,0.70922476,0.76261175,0.57492244,1.5411243,1.2462482,1.3517373,1.0744052,1.4294935,0.71493304,1.3971444,0.7493489,0.70552206,0.3984565,1.2905116,1.4721324,1.1164043,0.8316972,1.2082448,1.1754258,0.8208976,0.8178439,0.83210886,1.1975206,1.5381305,0.64282066
