,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2920295,1.2458576,0.83892375,1.2735225,1.2360044,1.1718047,1.1577929,0.83620834,0.77153254,1.1391709,0.6621381,0.7999083,0.7249589,0.6508346,1.1100677,0.94019747,1.3948987,1.2161899,0.95265454,1.2341089,1.090491,0.8306726,1.3262548,1.2273321,1.2671806,0.6484249,0.95208657,0.9493431,1.3125296,0.84433645,0.79688054,0.8193401,0.9714217,0.99290144,0.702712,0.68583405,1.3899183,0.6589905,1.3995187,0.5831525,0.8080307,0.9523561,1.0503277,1.0279156,1.1389302,1.0086452,1.196154,0.84660685,0.88060343,1.3245456,1.0257775,1.0819519,1.3069077,1.3467426,0.30441666,0.8250322,1.2277765,0.8890219,1.2805785,0.91181177,1.1341348,1.0863183,1.4052693,0.93218434,1.00578,0.7593202,0.98714024,0.8028388,1.3220137,0.8127035,1.2248503,0.85699886,0.9378523,1.0027512,0.60363173,1.0049418,1.0387163,1.4475474,1.1085428,1.3054276,1.1553062,1.3982103,1.0517929,0.7301054,0.69764376,0.86483,0.8750806,1.3639555,1.3511796,0.89886,1.1423279,0.7659139,1.0089287,0.9544214,1.0555639,0.5876709,1.1981728,0.9505,1.1456215,0.90568495,0.77977777,0.8603383,1.0976368,0.6950215,0.79242784,1.0005583,1.0772301,1.2003914,1.0056801,1.0910991,0.774053,1.4214771,0.8460241,1.212996,1.3387022,1.0159756,1.299072,0.84770286,1.301785,0.9806279,0.7509103,0.7830481,1.2808449,1.4046335,1.2768697,0.9747649,1.2026098,1.18969,0.8745825,0.86103266,0.9307185,1.1968541,1.4963243,0.9773063
ankle,1.2920295,0.0,0.9182524,0.91544235,0.95422333,1.0131781,0.9718353,1.0120288,1.3311322,1.2482079,0.8635015,1.2378986,1.1060646,0.94378996,1.2061862,1.0245671,1.0928168,0.8578242,1.0525235,1.1122767,0.8429507,0.9782393,1.1784146,0.888783,1.0476623,0.8380716,1.0021584,1.0301616,1.1238229,0.9785582,1.2376931,1.172234,1.1405184,1.1200324,0.97667116,1.2166528,1.1310757,0.90299976,1.3650658,0.86513305,1.2157502,0.89476407,0.85035074,1.1647387,1.1582733,0.73676354,0.6067078,0.88123703,1.1068879,1.0334185,0.5450449,0.9216245,1.0564126,0.59374845,0.9812163,1.1391897,1.2652882,0.685002,0.74287117,0.7261105,0.9487972,0.7651936,0.72283685,0.67300355,1.0581582,1.2345078,1.2324755,0.9967594,1.0010434,0.8338251,1.2161202,1.1177921,1.1739049,1.0804553,1.0557246,1.0057836,1.015488,1.0145692,0.7202354,0.851189,0.7033275,0.8049019,0.91233635,1.1550204,1.2015346,1.2550455,0.9610194,1.1817775,0.9331492,0.9315247,0.93899333,0.88571936,1.0427732,1.0680574,1.097965,1.1245276,0.99452657,0.91353387,1.1227337,0.92448467,1.2865598,1.0739783,1.1184165,0.7164509,1.1943967,1.2230179,0.64298105,0.82927144,0.819981,1.1707522,1.1892017,1.1767225,0.55937845,1.2604997,0.7863997,0.394786,1.0563776,0.9582962,0.975727,0.92799234,0.9315491,1.2138753,1.1990304,0.84709466,0.36889434,0.84307396,1.0480404,0.8113049,0.97589004,1.1441451,1.150786,1.1311158,0.96796805,0.57537615,1.2069067
apple,1.2458576,0.9182524,0.0,1.37114,0.34608698,0.7061222,0.33282113,0.892455,1.4047012,1.4060932,0.69993603,1.5239074,1.2556434,0.9137813,1.4112253,0.81747115,0.9175107,0.37550402,0.508874,1.2322712,0.46442986,0.88891006,1.2083999,0.6895877,0.73787093,0.43352163,1.1587679,1.2244878,1.1286035,0.5838558,1.3721523,1.4265599,1.4733944,1.0676016,1.0712522,1.442537,1.1958342,0.35203016,1.6030276,0.4028889,1.3335646,0.9407965,1.0062046,1.4027991,1.3037002,0.84657854,0.87194026,0.32370257,1.3344331,1.2177798,0.768246,0.66268104,0.9815199,0.7739591,0.6118015,0.8435727,1.2459702,0.7974315,1.0564076,0.4798323,1.2493782,0.85636616,1.1650844,0.40643954,0.83463955,1.3163639,1.4669216,1.1468933,1.3573648,0.6651167,1.5492036,0.9714837,1.0741572,0.7549741,1.2533075,1.3435231,1.2438037,1.0702866,0.3574381,0.8987675,0.7432585,0.84469664,0.23968267,1.3494797,1.1310228,1.3889285,1.379584,1.2781992,0.52199286,0.60246336,0.95065063,0.22964686,1.1274143,0.92566395,1.1460872,0.8666878,1.0916032,0.32719344,1.3038087,1.1162412,1.4605358,0.79499376,1.1858491,1.0058285,1.2225301,1.4237089,1.0255486,1.2210766,0.9271576,1.1915102,1.1766591,1.150788,0.3779477,1.3429377,0.85785496,0.84788674,0.83040726,0.6379538,1.1817565,0.32365787,1.097905,1.4749142,1.5144464,0.4248731,0.61967874,0.48902166,1.1819724,0.7436431,0.31441343,1.2353369,1.168451,1.1606045,1.0086105,0.47198534,1.3332273
arm,0.83892375,0.91544235,1.37114,0.0,1.3599789,1.2699293,1.438782,1.1778934,0.6884051,0.6762258,1.1516047,0.604339,0.61788094,1.1787186,0.55875117,1.1505511,1.1449468,1.467163,1.3695192,1.1355824,1.3792484,1.1712261,0.8087337,1.4199202,1.3569359,1.3037468,1.0465926,0.98921496,1.0480624,1.3754764,0.8263835,0.62502104,0.8304844,0.95064175,0.9299886,0.58234316,0.8285768,1.3388355,0.6847395,1.4810848,0.96249086,1.297511,1.2197309,0.9733731,0.9736801,1.2642398,1.0928535,1.3849623,0.6492454,0.83265114,0.83315885,1.2033474,1.1797204,0.90572536,1.3508189,1.1487823,0.7728437,1.0898975,0.75966835,1.2651522,0.78116584,0.89110386,0.5176278,1.3578885,1.2839965,0.83477545,0.47582692,1.0916018,0.38863105,1.2724533,0.7440485,1.2381485,1.0163444,1.15557,1.0867859,0.7003544,1.0105851,0.9513922,1.3212359,1.2005049,0.96483374,1.0780442,1.4197592,0.97835296,0.90584517,0.4894315,0.38384473,0.9325059,1.2726161,1.1702964,1.1913447,1.3403152,0.91367406,1.184001,1.0207988,1.2156458,1.1034067,1.3529296,1.029687,1.1098208,0.82705086,1.218231,0.8473712,0.7936605,0.84727854,0.5095465,0.8661649,0.5619537,1.1940868,0.8915006,1.1055032,0.79889005,1.2948076,0.7893083,1.1104693,1.1055895,1.1253645,1.3332186,1.0759153,1.3370067,1.2212906,0.47000754,0.7413025,1.4459739,0.9900462,1.2478398,0.7220643,1.2293148,1.376394,1.027032,0.8609468,1.0878235,1.2749202,1.1809875,0.87978786
ball,1.2735225,0.95422333,0.34608698,1.3599789,0.0,0.5580372,0.47009695,0.8771812,1.3444003,1.3429155,0.9705648,1.4696281,1.2381597,0.8088401,1.3329539,0.68754125,0.9795415,0.44298166,0.59284246,1.2090906,0.6053524,0.90940976,1.0366572,0.7836546,0.70939666,0.6005401,1.0951188,1.173882,1.0910177,0.5324707,1.3257003,1.3559004,1.2843288,1.1262629,0.8462757,1.3480163,1.2579254,0.5598085,1.5089574,0.44066352,1.1751679,0.89916694,0.85503286,1.2929753,1.2233224,0.99500394,0.9699818,0.3216132,1.3360225,1.1080484,0.9570303,0.79319227,0.973607,0.9674921,0.7119626,0.8931366,1.1738636,0.9224198,1.1974018,0.5517462,1.2134465,0.9623196,1.2585806,0.5948818,0.85374796,1.32798,1.3528703,1.0106795,1.3767138,0.87186766,1.449075,0.8827117,1.1209788,0.75932443,1.1547543,1.2552948,1.3166068,0.9422572,0.48332518,1.0258163,0.95417905,0.96169645,0.30992955,1.2914798,1.0117413,1.2935946,1.4043941,1.2866313,0.6855897,0.73158115,0.9276131,0.6825372,1.1729335,0.9120775,1.1291639,0.8887626,1.1041865,0.18280911,1.2451993,1.0637326,1.3642372,0.7376828,1.1265868,1.0911502,1.2135531,1.3004788,1.089794,1.2666539,0.81559724,1.173761,1.153189,1.1661016,0.6653944,1.2422937,0.95685035,0.93680054,0.91884685,0.75243795,1.199715,0.59242,1.0247452,1.3612529,1.3499656,0.36219728,0.8637083,0.7966159,1.1806581,0.9466167,0.12283337,1.0766938,1.1001905,1.0872595,0.9317621,0.6394572,1.3132983
balloon,1.2360044,1.0131781,0.7061222,1.2699293,0.5580372,0.0,0.71088,0.9495749,1.1920967,1.2605467,1.0517932,1.3357583,1.109324,0.8369673,1.182194,0.77299154,0.96790534,0.64899445,0.71060216,1.0622519,0.8283928,0.7969284,0.9901931,0.8547236,0.7945818,0.9521016,1.0876338,1.0497968,1.1027118,0.62584555,1.1800838,1.2277758,1.1446247,1.0141245,0.9092925,1.2852322,1.2932503,0.80451703,1.3266098,0.63572276,1.0468795,0.91058004,0.8808989,1.072938,0.9138059,0.8518579,1.0673357,0.4408915,1.2358457,1.1832061,1.0559833,0.956315,0.8259325,1.0769287,0.7500023,0.97730243,1.1184545,1.0661988,1.2691984,0.72546685,1.2772334,1.2485651,1.2742863,0.8560982,0.81913805,1.0749254,1.3038301,0.9955325,1.3788669,0.9177257,1.3072859,0.3859617,1.0866902,0.84865344,1.0024165,1.2503095,1.0818683,1.0419476,0.7946292,0.96941835,1.0210829,1.124319,0.7111912,1.0679998,1.0197978,1.2759117,1.4004833,0.9979823,0.83714724,0.85373163,0.8054445,0.8690749,1.046305,0.94246167,0.9303802,0.7943841,1.0201143,0.6903891,1.0847032,0.95666695,1.1945885,0.8511422,1.109864,1.2000773,1.1218592,1.2881479,1.0218104,1.2944473,0.8270811,1.1085873,0.9042991,1.1393462,0.9146304,1.1556606,0.82670057,0.9023999,0.9551602,0.6926513,1.1400124,0.8118198,0.9467023,1.3120661,1.1786424,0.5753689,1.0611274,1.0275086,1.1304094,0.98178875,0.5727235,0.94530946,0.9908323,0.9829395,0.81340134,0.8670748,1.0987632
banana,1.1718047,0.9718353,0.33282113,1.438782,0.47009695,0.71088,0.0,0.7313744,1.3914831,1.4194393,0.8010882,1.510488,1.2269832,0.90831834,1.3012409,0.7030322,0.82818174,0.38380337,0.54876477,1.0117824,0.3716938,0.92262673,1.2522905,0.5557531,0.5785675,0.54283977,1.1357769,1.1434344,0.9884697,0.5745003,1.3736873,1.3737167,1.4503789,1.0978447,1.1313444,1.4637641,1.1166846,0.4775498,1.5338984,0.41524088,1.3134065,0.7938318,0.89712435,1.2972649,1.2422372,0.746008,0.98431706,0.4934011,1.3806161,1.2718077,0.9248175,0.6712757,0.7569865,0.8827351,0.52694666,0.80271554,1.2723576,0.969188,1.0881302,0.65986073,1.3687745,1.0441217,1.2876034,0.5643572,0.6804669,1.3220239,1.4715629,1.0552498,1.4715369,0.6376896,1.5350894,0.91942596,0.958492,0.7328407,1.2010444,1.3211238,1.1986072,1.1532524,0.6690801,0.8314264,0.8517838,1.0107132,0.48425978,1.2232769,1.1047107,1.3433307,1.4578679,1.2450914,0.6043285,0.68515176,0.8729943,0.42261088,0.85477275,0.744184,0.99649477,0.7776045,1.0034984,0.46323186,1.1775031,1.0009059,1.3441448,0.8144909,1.1729487,1.144829,1.0729773,1.441021,0.82804704,1.2777706,0.74884546,1.2138075,1.140892,1.0638311,0.56524014,1.2829368,0.8973173,0.84257436,0.7942491,0.5475238,1.150378,0.6125289,0.80685496,1.5196772,1.470698,0.39100027,0.87461555,0.7532444,1.1992552,0.6371641,0.45364678,1.0904094,1.1915897,1.0720232,0.8129598,0.62555933,1.366009
basket,1.1577929,1.0120288,0.892455,1.1778934,0.8771812,0.9495749,0.7313744,0.0,1.1622788,1.0789782,0.6103829,1.1825539,1.0756872,1.1961077,1.1336609,0.8657092,0.5865102,0.7564327,0.5463115,0.6187383,0.99281496,0.87930405,0.8670503,0.45937628,0.7097485,0.80971426,1.1050262,0.8677633,1.0646873,0.71479917,1.0904914,1.3374166,1.0759645,0.9765395,1.1085317,1.2028322,1.2205964,0.67380697,1.1277208,0.70602065,1.2821327,0.9746048,1.0478549,1.004299,0.8302226,0.85286117,1.2187189,0.9908788,1.2241392,1.2640343,1.0371633,0.9727879,0.82336223,0.8977827,0.47021937,0.99727553,1.2107891,1.1222365,1.0915941,0.95078105,1.3780692,1.1763486,1.2444109,0.892944,0.77083254,1.1355519,1.3159492,0.9298794,1.2873605,0.42154354,1.236568,0.8354749,1.2098396,1.1221433,0.8292062,1.241907,1.1202153,1.1312339,1.063384,0.7769784,0.80552256,1.1150506,0.86422074,0.84750146,1.1199607,1.2257719,1.2965802,0.9103049,0.62745416,0.7824539,1.0502483,0.78298473,0.76839507,1.0818961,0.97865295,0.9260637,1.0690317,0.88612413,0.9378569,0.41845584,1.0847911,0.9764847,1.243622,1.0904133,0.87713724,1.2443858,0.7190808,1.1692,0.81038475,1.0648226,0.7207806,1.006266,0.78425986,1.1240177,0.9690167,0.8184329,1.0054729,0.49474108,1.1332729,0.91814697,0.9031543,1.3334453,1.1422956,0.7725797,1.0348017,0.97067934,1.1220922,0.6249922,0.81404054,0.8417448,1.1653689,1.147057,0.51068723,0.84998304,1.1858234
bathtub,0.83620834,1.3311322,1.4047012,0.6884051,1.3444003,1.1920967,1.3914831,1.1622788,0.0,0.40522867,1.2856369,0.3404386,0.6403246,1.1992085,0.5925064,1.1876767,1.2089181,1.4562482,1.128952,0.8608298,1.4469898,1.1949903,0.73630697,1.2331579,1.2900141,1.3855808,0.92516994,0.7059394,1.0421867,1.3572803,0.5706848,0.644491,0.6474966,0.8956927,1.1297485,0.42395526,0.9398222,1.4322783,0.35599017,1.4120281,0.8353632,1.2664819,1.3223947,0.48388392,0.5636331,1.1709933,1.2894366,1.3067842,0.5231679,0.89269835,1.3037558,1.444643,1.188961,1.2415458,1.2948061,1.1695061,0.66304153,1.228076,1.2034044,1.4463989,0.832748,1.1816939,1.0243317,1.4136635,1.2610142,0.6305779,0.5534511,1.0998815,0.6318523,1.3542048,0.4729302,0.97495216,0.9478504,1.0645708,1.0274224,0.9554854,1.0002129,1.1275121,1.3801736,1.0852689,1.3641615,1.1767359,1.3622047,0.7046671,0.8561511,0.59463304,0.59660935,0.8299215,1.3719661,1.3594009,1.2015696,1.3763964,0.97070956,1.194401,1.0875981,1.0431188,1.1823282,1.3641862,0.9489417,1.0536251,0.4007398,1.2749937,0.94403476,1.125846,0.7969805,0.6249612,1.2941368,0.8739422,1.2700408,0.46601462,0.56079984,0.6255187,1.4624279,0.5503488,1.2431436,1.2651262,1.065084,1.2371601,1.0670843,1.3507495,1.1530397,0.53282374,0.52150595,1.3285865,1.3906415,1.2825613,0.8782417,1.259924,1.386876,0.87007856,0.86628854,0.9831354,1.1359296,1.4373031,0.6079493
bed,0.77153254,1.2482079,1.4060932,0.6762258,1.3429155,1.2605467,1.4194393,1.0789782,0.40522867,0.0,1.0907665,0.27682757,0.74790806,1.1961262,0.31183147,1.1443756,1.1182724,1.3716013,1.2195194,0.9181861,1.5126688,1.2591692,0.79451203,1.1665268,1.257475,1.3188488,0.8485755,0.632964,1.0276616,1.2832515,0.63043034,0.6210189,0.6287055,0.8605574,1.0803144,0.14078832,1.0015404,1.3541255,0.50975543,1.4086587,0.8740665,1.1885097,1.2716993,0.68078613,0.8351038,1.1842537,1.2438387,1.402362,0.3855902,0.9693113,1.2580655,1.3166999,1.1401031,1.1993989,1.2445489,1.1008227,0.8361859,1.2609297,0.9433779,1.4667914,0.8678541,1.1253481,1.0312389,1.2839638,1.1669565,0.8089452,0.5173192,1.1805294,0.5203021,1.2667594,0.6086081,1.082028,1.1101168,1.2272333,1.0013865,0.8320067,1.0632784,1.072526,1.33532,0.9716995,1.2138855,1.1724471,1.3181199,0.9150871,0.8795637,0.5552721,0.5282871,0.9001008,1.2672385,1.3265157,1.2531266,1.2992615,0.60453063,1.3066133,1.0163563,1.1902765,1.1440918,1.4074655,0.87283874,1.0117505,0.6999498,1.3313539,1.0817368,0.93860495,0.8757223,0.5706316,1.0885904,0.6298025,1.3181764,0.6353818,0.81686777,0.81944466,1.360251,0.6563677,1.2575448,1.0171443,1.1176687,1.2527725,1.1127725,1.3080144,1.0877528,0.544628,0.5565959,1.3913784,1.2943166,1.2606239,0.9973647,0.99473655,1.3687701,0.8774941,0.8898549,1.0301898,1.0653818,1.3994762,0.68589944
