,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.3454659,1.4821149,1.1514863,0.5860003,1.2577199,1.3127825,0.8662637,1.1711218,0.7600564,0.6329805,1.539188,0.84295774,0.53395057,1.0003035,0.666157,0.76055515,0.9118715,1.4482974,0.9368571,0.74912316,1.0347062,1.1175277,1.2646403,1.0432788,1.5423594,1.1300778,1.2595433,0.9264342,1.1463354,1.281389,0.9012806,0.6857959,0.73329705,0.8026235,1.1254064,0.8227351,0.6997802,0.88121235,1.5206267,0.75056493,1.4340636,1.091581,0.7055625,0.8611282,1.1288912,1.038765,0.7855215,1.2608285,1.4410846,0.7611524,1.1574422,0.91850257,1.3052378,1.3710294,1.3880861,0.7627944,1.2614766,1.0905312,0.77123505,1.5504344,0.94672436,1.0208085,0.7721265,0.6729156,0.7685026,1.5087842,1.0633862,0.70018274,0.6335594,0.7377316,0.656553,1.0237586,0.7974701,1.5585852,0.6857241,0.75457156,0.73024416,0.85964894,0.51767254,0.65493166,1.0860368,1.1063895,1.5718611,1.108804,1.442975,1.0487366,1.1664488,0.7764609,1.0458436,0.5846496,0.68421334,0.680581,1.4541377,1.4230824,1.4338962,0.87110734,1.3572621,0.7595301,1.2942393,0.88408333,0.978481,1.3749095,1.0091946,0.69099617,0.9990977,1.502162,1.0059408,1.0183794,0.579805,0.82570314,0.854258,0.7276958,0.5320252,1.0351137,1.2942642,0.8654473,0.8255435,0.72093964,1.5573328,0.9723851,1.3377402,1.362957,0.78638,0.897078,1.384859,1.3972137,0.8027655,0.5437503,0.68023443,1.5681752,1.4075634,1.0751117,0.72651434,1.0966585,1.2211516,0.7755824,0.9468548,1.4526894,1.5741065,1.0928237
ankle,1.3454659,0.0,0.80684483,0.6352708,1.0517333,1.0463231,1.0119265,1.0476252,0.9067172,1.4098548,1.2494634,0.5452211,0.94940513,1.1022346,0.6135045,1.1144792,0.99511224,1.117995,0.88022375,1.3792138,1.2538972,0.97842854,1.014312,0.86108935,0.7983914,0.59447646,1.09759,0.59219843,1.0321047,0.8155179,1.0257103,1.2332882,1.2082407,1.3242388,1.0164571,1.0763286,0.81742036,0.9651685,1.0824106,0.7187543,1.2286168,0.8974976,1.2250931,1.0078081,0.8860632,1.094602,1.137119,1.0526401,0.7039447,0.7711911,1.1717093,0.70322967,1.0525331,0.4222021,0.70706475,0.7206718,0.72600836,0.89618826,0.924459,1.2717688,0.50537723,0.61735845,0.9290054,1.0629867,1.3268964,0.8898992,0.6557521,1.12669,1.3529719,1.0774769,1.3529948,0.8495871,0.99327457,1.2920177,0.7433884,0.97515476,1.308499,1.0756822,1.2933217,0.99732256,1.1945249,0.7378872,1.0438304,0.6837946,0.984615,0.5688261,0.74011767,1.1298617,1.3083001,1.1358671,0.9995101,0.8402233,1.1934109,0.73454344,0.8714439,0.6742838,1.2245159,0.5213817,1.0695244,0.62735975,1.4228523,1.2259482,0.67518926,1.0831677,1.2341408,1.1688926,0.74256396,1.1693491,0.9561053,1.3488357,1.3660369,0.9549965,1.0256433,1.1037344,0.77481353,0.91636175,1.2414572,1.4112732,1.3215184,0.46728396,1.1403906,0.9783912,0.34827328,1.3307474,1.2375752,0.89847445,0.69253695,1.0751696,1.1907864,1.3260082,0.66485745,0.38081682,0.8986908,1.1938578,0.99208903,0.97749406,1.4504154,1.0969627,0.62798786,0.5708747,1.0415195
apple,1.4821149,0.80684483,0.0,0.81782246,1.449409,0.41687655,0.30011976,0.6673022,0.8667425,1.3737855,1.5009637,0.4409951,1.3537091,1.4193432,1.0442969,1.3456696,1.2181941,0.9990064,0.42593563,1.2332861,1.3107097,0.86550486,0.9293402,0.7444591,0.8820267,0.49751747,0.8540577,0.58957154,1.1958057,1.0586221,0.84553593,1.3510772,1.2920785,1.3703716,1.2810103,0.87851435,0.981819,1.4131231,1.0859399,0.31791782,1.3115628,0.45897794,1.1668022,1.216205,1.0519996,1.1694517,1.2041254,1.2851948,0.87975794,0.26701826,1.2791843,0.9066712,1.1193786,0.6927959,0.4765908,0.40533298,1.2244062,0.6403436,0.60484815,1.3556951,0.42794895,0.95593125,0.76819634,1.296896,1.1929832,1.2731754,0.3963927,0.7279308,1.5141736,1.3731817,1.4037392,1.4487135,1.0518615,1.4296112,0.45380455,1.3010225,1.221529,0.96484965,1.3022147,1.2810299,1.3196812,0.9812975,0.81296206,0.27981877,0.88906115,0.6835159,1.0293365,0.6772151,1.4802148,0.86370134,1.4841939,1.4203339,1.3374193,0.5463144,0.3901778,0.54371774,1.0004883,0.60070014,1.000434,0.64889926,1.245206,0.98429614,0.5424304,0.8076998,1.2608485,1.139193,0.48058552,1.1374726,0.8657521,1.2124507,1.2164428,1.1658833,1.3076675,1.4797579,0.89148796,0.67924154,1.3644732,1.3620813,1.2598078,0.3378845,1.187749,0.5518996,0.7213942,1.3337928,1.1918194,0.8104043,0.29842305,1.3302093,1.5002776,1.4999661,0.4362628,0.58909935,0.85896915,1.3547827,0.9314711,0.5016724,1.2717123,1.0028583,0.6440846,0.33289516,1.1299138
applesauce,1.1514863,0.6352708,0.81782246,0.0,1.114307,0.9246349,0.9162148,0.84846765,1.1031731,1.2283007,1.2890499,0.96703994,1.1024023,1.1376698,0.5445675,1.1619589,1.0847007,1.2598335,1.0953131,1.2233335,1.2696052,0.62910897,1.0893189,1.1266115,0.8514911,1.0161762,1.1555817,0.5510167,1.1665435,1.1553696,1.1210568,1.1790648,1.2118095,1.0268885,1.0939636,0.83420753,0.7926637,1.1162366,0.7532867,1.0108196,1.275595,1.186291,1.1493018,1.0398667,1.0960538,1.2160863,1.2431445,1.124602,0.6076587,0.6995416,1.1486149,0.69490296,0.89215124,0.57411015,1.0072669,0.92148226,0.8508732,0.9475395,0.9723428,1.0723646,0.8024736,0.8290321,0.93757045,0.87867355,0.8946186,0.87038326,0.90442944,1.1511672,1.2250333,1.0620978,1.2617503,0.9728676,1.0466034,1.2349172,1.1035897,0.80612504,1.1750181,0.9668452,1.1400952,1.0243442,1.0665351,0.6551398,0.7252329,0.7664632,1.1947856,0.9377089,0.62094057,1.0248572,1.2269955,1.0580944,1.0782387,0.87017655,1.1848679,1.0485872,1.0579967,1.0548573,0.9629004,1.005422,0.6876632,0.7474207,1.218377,1.2605959,0.5122378,1.0298219,1.1584542,1.1489439,0.793533,1.2184,0.94684005,0.9515064,1.1214268,0.9450662,1.0382161,1.0403715,1.0205995,1.0687118,1.1555238,1.2714107,1.171709,0.75490373,1.1934083,1.004752,0.78293383,1.1294343,1.1237862,1.1080407,0.68901706,1.1053824,1.1093739,1.2516947,0.8682525,0.62392133,0.89409745,1.1492667,1.2012734,1.1083016,1.2877727,1.081027,0.9641985,0.85131246,1.2276328
arm,0.5860003,1.0517333,1.449409,1.114307,0.0,1.2341801,1.2843502,1.242851,1.210346,0.75280184,0.5423981,1.4075938,0.80574125,0.5367752,1.0788641,0.57185316,0.85156137,1.029336,1.392448,1.0014064,0.8376853,1.1606163,1.155109,1.2140986,1.2179735,1.3953598,1.1732583,1.0164642,0.9556598,1.1141597,1.232543,0.89270955,0.7641061,0.8282388,0.8625126,1.2473516,0.9961641,0.60706806,1.0862852,1.4148358,0.8164813,1.2989998,1.0500956,0.8646229,0.86702037,1.0494484,0.9628084,0.6610427,1.2212317,1.3549795,0.8400773,1.0799948,0.87756884,0.9273516,1.3878144,1.404201,0.69000566,1.3162596,1.3778486,0.86014235,1.3541808,0.8101169,1.0629938,0.74548876,0.7745418,0.42950213,1.4307586,1.2430762,0.7342779,0.67460763,0.7537682,0.6385452,1.0415369,0.71308005,1.4463803,0.7778039,0.8546408,0.8902204,0.93138206,0.61251163,0.85703593,0.9692364,1.2347902,1.3382347,1.2145348,1.3784717,0.8951343,1.190288,0.68775296,1.2125974,0.55799884,0.6331984,0.7841433,1.3979727,1.3275931,1.2815468,1.0127691,1.2250915,0.9650058,1.3802047,0.9567908,1.0662733,1.2156318,1.0260937,0.85233986,1.0002997,1.4867269,1.014714,1.2532232,0.7818153,0.8769087,0.84776545,0.9032666,0.51958483,1.0428416,1.3077965,0.80554795,0.8262994,0.6750187,1.4383249,0.9493983,1.3001125,1.0908539,0.8536899,0.94959253,1.2805986,1.3334019,0.9370678,0.52875215,0.6668495,1.457298,1.0167192,1.024693,0.6038295,1.1620858,1.2995756,0.85629314,1.0329256,1.309176,1.472317,0.98124486
ball,1.2577199,1.0463231,0.41687655,0.9246349,1.2341801,0.0,0.11844051,0.785872,1.0146314,1.2348812,1.3233495,0.9093545,1.3577884,1.2587082,1.1503812,1.1782295,1.1172686,0.9798685,0.77672905,1.0479304,1.1726568,0.9409853,1.1019194,0.8419678,0.9712802,0.95857626,0.8220917,0.8310783,1.2486193,1.1796196,0.8704041,1.2895641,1.174333,1.1028646,1.2212753,0.94034785,1.0809481,1.283816,1.0987793,0.7934561,1.1758554,0.8081378,0.99207014,1.091022,0.94819766,1.0626798,1.010727,1.1457593,1.0384783,0.47568232,1.1624428,0.94651717,1.0429065,0.94336355,0.8291235,0.75872624,1.0537273,0.8687366,0.6597835,0.97540265,0.92334825,0.8998982,0.679594,1.1363467,0.97743237,1.1349523,0.7921527,0.8087614,1.1859429,1.3203965,1.1372917,1.3364255,1.0625445,1.3170629,0.8527849,1.1813552,1.1094781,0.90409046,1.1299095,1.0317409,1.056909,0.89992946,0.81899166,0.6791301,0.9752933,0.9469749,0.9370755,0.6389983,1.3253337,0.8338228,1.2706614,1.3125436,1.2253016,0.858096,0.8586167,0.9384905,0.81797844,0.93884677,1.0450395,0.85057855,1.0747926,1.0208967,0.7479429,0.71040356,1.0468068,0.966869,0.67311144,1.1418592,0.9368771,1.0114682,0.9711162,1.0883503,1.0498091,1.3371124,0.8862843,0.7883055,1.2616696,1.1804647,1.1332464,0.84626067,1.1728344,0.7635578,1.0351441,1.1249722,0.9682648,0.8680282,0.5987165,1.1485447,1.3305495,1.2661562,0.64553016,0.88226867,0.9834306,1.1587063,1.0002642,0.64403564,1.1607354,0.9823389,0.9406141,0.81010437,1.1009938
balloon,1.3127825,1.0119265,0.30011976,0.9162148,1.2843502,0.11844051,0.0,0.7009383,0.91952115,1.239375,1.3670807,0.81148064,1.3341156,1.2910178,1.1978557,1.2333169,1.1190759,0.92886037,0.71250975,1.066119,1.1483148,0.920954,1.060503,0.8187769,0.93924654,0.84824777,0.7616998,0.7957498,1.2538683,1.1408721,0.87441826,1.306708,1.2658849,1.136398,1.2325935,0.91611844,1.0840037,1.3172439,1.099915,0.6974258,1.1432396,0.74951565,1.0527445,1.1477524,0.9297596,1.0975544,1.0539526,1.1729282,1.0832481,0.41692156,1.2422166,0.9687057,1.084181,0.93984157,0.7847036,0.71051764,1.1144094,0.7566787,0.61520135,1.0773753,0.8431382,0.9567117,0.7180121,1.2226555,1.0475811,1.1944664,0.7041935,0.6887626,1.2425902,1.3539599,1.1887562,1.4069817,1.0314591,1.3399341,0.7708256,1.2821796,1.1278026,0.87820166,1.136198,1.1204909,1.1354314,0.9767775,0.8499054,0.66758215,0.9619158,0.9000295,1.0076209,0.60863477,1.3639892,0.83709073,1.3381467,1.3929245,1.2287256,0.78699,0.80119777,0.897231,0.8148799,0.84776247,1.0042483,0.85771215,1.0650574,0.9363783,0.735845,0.70578116,1.0517529,1.0036937,0.6591274,1.1126252,0.8780611,1.057279,0.9919645,1.1745882,1.1026806,1.4028915,0.85539657,0.7390185,1.3096128,1.2032052,1.1176567,0.7829135,1.2181064,0.72025913,0.89045054,1.143631,0.9900288,0.8454068,0.48341703,1.1557654,1.4023865,1.2848728,0.63462645,0.8866296,0.9933595,1.1919054,0.9984921,0.5620942,1.1184382,0.9205384,0.8372942,0.755506,1.0473655
banana,0.8662637,1.0476252,0.6673022,0.84846765,1.242851,0.785872,0.7009383,0.0,1.0045975,1.1687553,1.3709855,0.98751754,1.2808263,1.2528304,0.87015426,1.2297561,1.0500864,1.0689127,0.94768596,1.0341522,1.1310878,0.63828456,1.018777,1.0476301,0.87896013,1.0350784,0.94599706,0.71518046,1.2338359,1.2243663,1.0608048,1.2214875,1.2299478,1.081131,1.0977045,0.7287005,0.7230602,1.3434122,0.65651864,0.881394,1.1184642,1.0471382,1.0512549,1.099745,1.0010253,1.2646346,1.1253316,1.2048769,1.0546495,0.6528923,1.1611044,0.96285707,1.1167234,0.9364081,0.95590943,0.9617104,1.0026641,0.7212951,0.72416294,1.1503125,1.0714346,0.89278805,0.80974436,1.1973017,0.87549496,1.0488838,0.96318835,0.8438505,1.185588,1.1807368,1.2168972,1.2524868,0.88493216,1.2842057,1.0054626,1.0940381,0.9317037,0.48212224,1.0597361,0.93788576,1.17471,1.0410819,0.68385077,0.9779298,0.7713684,1.0832431,0.9724235,0.7091598,1.2307305,0.95615476,1.2593167,1.2156702,1.05824,0.937488,0.9846059,1.0985512,0.64085186,1.05809,0.6375041,0.9717916,1.01667,0.9552808,0.731406,0.6713243,1.129996,1.0937121,0.893049,1.1215328,0.8783375,0.7982217,1.0762016,1.0632617,0.97578514,1.2985039,0.9459565,0.81919545,1.2003182,1.1404853,1.0854518,0.88915205,1.1696899,0.7218561,1.0481113,1.0716631,0.90404075,1.0379457,0.72181714,1.178391,1.320751,1.3592101,0.8331937,0.9981049,1.0499371,1.0684788,0.81835437,0.7761041,1.0557874,1.034426,1.0515311,0.9481765,1.1425726
basket,1.1711218,0.9067172,0.8667425,1.1031731,1.210346,1.0146314,0.91952115,1.0045975,0.0,1.2325933,1.031375,0.76143396,0.81864977,1.041933,1.1232034,0.99573725,0.7631604,0.6847578,0.6599977,1.1332653,0.5869273,1.2104658,1.0069168,0.443734,0.86705124,0.6423255,0.81857264,1.1172869,1.1135525,0.65489286,0.90700483,0.9291563,1.1809348,1.2951206,0.9370972,1.1298295,0.886656,0.9094331,1.2163438,0.8199321,0.4314239,0.791221,1.0660219,0.96289957,0.69861335,0.95591193,1.0036017,1.0317166,1.0369846,0.9451186,1.0827003,1.2007434,1.2220435,1.1382272,0.9884643,0.6666969,1.0198567,0.98253864,0.84476954,1.0403773,0.9522437,0.912241,0.9307817,1.2583983,1.3194904,1.2899425,0.7688056,0.9684192,1.1123228,1.1370925,0.9648463,1.05436,1.146472,0.9788563,0.77125007,1.2349368,1.0135677,1.1132897,1.177696,1.0093013,0.8638725,1.2322356,1.1117096,1.0525894,0.8085927,0.81311095,1.3115246,1.0574284,1.073955,0.97578275,0.99395925,1.1255844,1.0675046,0.8633892,0.89719874,0.8452784,1.1799935,0.77676,1.2068985,0.8301714,1.1681409,0.9900986,1.0752993,0.9761711,0.84045625,0.9264819,0.83550525,0.60170984,1.0089008,1.2772919,1.3121121,1.0917376,1.0072851,1.1855388,0.8317431,0.7966114,1.1772797,1.2338878,1.1528709,0.86240566,1.1617672,0.79435337,0.7679529,1.2451469,1.1945183,0.81119794,0.9313859,0.71326745,1.2054799,1.006139,0.7295409,1.0626117,1.0269289,1.2161027,0.83740526,0.49455297,1.065172,0.8184145,0.5785017,0.7912155,0.9611687
bathtub,0.7600564,1.4098548,1.3737855,1.2283007,0.75280184,1.2348812,1.239375,1.1687553,1.2325933,0.0,0.5098836,1.4556389,0.84585065,0.7538737,1.1619891,0.86759675,1.0361986,1.0478792,1.4479837,0.43542123,0.7441138,1.1034157,1.085669,1.2332854,1.2749851,1.4439622,1.1756715,1.3061078,0.8947385,1.1284525,0.92017484,0.6983708,0.7941894,0.5817722,0.9893593,1.105625,1.2704458,0.82911724,1.0530028,1.4576503,0.7262858,1.1771843,0.5198976,1.1344709,1.2761834,0.9030347,0.69323236,0.9686844,1.2579298,1.3269529,0.88097954,1.1843876,1.0094814,1.3170007,1.3796864,1.4702716,1.2421336,1.2005537,1.4202502,0.7135394,1.400595,1.3416897,1.200446,0.9378249,0.69628966,0.9501678,1.4753085,1.1783774,0.627896,0.8794024,0.58498263,0.94788975,0.97279394,0.6481061,1.4167501,0.9267442,0.72496057,0.8970722,0.61859256,1.0892901,0.9501303,1.0854273,1.2148339,1.369405,1.2637932,1.4737256,1.0861329,1.1498289,0.4970063,0.99922925,0.8881428,0.8999997,0.7431442,1.4207557,1.3284864,1.3090762,0.9669426,1.3859206,0.88789445,1.5087268,0.26838976,0.9839356,1.3305402,1.112255,0.88118947,0.89190423,1.4470465,0.9937813,1.2310145,0.7739814,0.578732,1.1727594,0.91659945,0.78156286,1.2461511,1.3580644,0.5216085,0.06611091,0.4782248,1.5044432,0.74616665,1.336464,1.3409647,0.58900297,0.71573836,1.1861064,1.3659368,1.0549252,0.702805,0.4101724,1.3461626,1.4522855,1.0513308,0.68754363,1.2320044,1.3149593,0.2661693,1.0765356,1.4605033,1.510515,0.99955875
