,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2630582,1.2727118,0.8490918,0.7196976,1.4542114,1.3375262,1.0682329,1.2466542,0.8679416,0.71516013,0.656848,1.4201956,0.7445854,0.50046027,1.1596141,0.66878057,0.8060781,0.80782974,1.4954598,1.2458885,0.82850826,0.898008,1.3683,1.3170574,1.5435119,1.194213,1.1673214,1.0056744,0.9303646,1.4494035,0.8227906,0.658418,1.2970768,0.64114153,1.2405219,1.0858243,0.83679676,0.7145293,1.4914525,0.7206365,1.5171276,0.97394025,0.64919615,0.9213004,1.1145408,1.1634899,0.9378707,1.255441,1.3311377,0.9980429,0.84863424,1.2638751,1.2693334,1.1790951,1.1022844,0.9582419,0.7670033,0.8032737,1.4335225,1.1547596,0.93619055,1.1059825,0.8199227,1.2028594,0.83508474,1.4956119,0.920576,0.6866967,0.7611888,1.0514592,0.6261853,0.80278826,0.5141062,1.5245996,0.818486,0.92762715,0.7897839,1.1683239,0.6278498,0.6783586,1.0409324,1.5222412,1.150264,1.453825,1.145252,1.4139845,0.97151595,0.6906049,0.6709398,0.7389758,0.6546522,1.2749058,1.250187,0.77252066,0.96556383,1.3087668,0.63241804,0.8764056,1.2222799,0.8496599,1.1254985,0.9599439,1.3017905,1.1623707,0.91464084,0.93851733,0.96195924,0.8581813,0.83033776,0.6610503,0.9452298,1.1658916,1.2362084,0.9806291,0.9911171,0.6617475,1.4741018,0.944803,1.2566302,1.1433651,0.7973014,1.2745726,0.8754219,1.2228198,0.8950133,0.64038396,0.78864324,0.7499963,1.3403492,1.4088991,1.1637068,0.86965346,1.249076,1.3905113,0.69926226,0.8693755,1.0731843,1.213855,1.4653394,1.057285
ankle,1.2630582,0.0,0.79953337,1.1836095,0.8271338,0.8789195,0.9525032,0.89581287,1.084243,1.3041582,1.1401422,1.2915962,0.6042392,1.2719655,1.1793504,0.9461254,1.1879886,1.3255929,1.2387353,0.9041402,1.2027754,1.285326,0.741723,0.77258366,1.100095,0.83119714,1.1144923,0.6070565,1.130462,1.1129906,1.0326599,1.2008283,1.1074009,1.0121316,1.3160267,0.95830244,0.8102058,1.1118395,0.9596352,0.8662362,1.3457632,0.89600503,1.2201396,0.8673202,0.9185779,1.0978185,1.0876687,0.9188286,0.63671184,0.6657494,1.2108523,1.0336256,0.3308562,0.95174897,0.92330617,0.48759574,1.1059502,1.1683927,1.2253937,0.68134177,0.68948066,1.2260518,0.96298003,0.88442254,1.0137132,0.63934475,0.8074058,1.0262659,1.2487934,1.139869,1.1926252,0.9804109,1.1454636,1.2686408,0.8851832,0.70433277,1.1922034,0.96477115,0.8817175,1.1108657,1.1147227,0.82111704,0.71632427,0.90084475,0.6032938,0.53641886,0.75027156,1.2649248,1.2332207,1.0800142,0.83872783,1.2839085,0.83727694,0.92020667,0.93397593,0.8652713,0.8658406,1.0734662,1.0319439,1.165048,1.0270467,0.78867054,1.14127,0.8983,1.020142,1.1426176,0.8260205,1.162788,1.2733458,1.2956339,1.0161093,0.85044104,0.5286416,1.0559094,1.1762404,1.3338423,1.3498477,0.6842607,1.196789,0.96714514,0.47107548,1.2288878,1.0160311,1.1097605,0.785602,0.9710958,1.12446,1.0649521,1.3193557,0.9991246,0.25571704,0.79355425,0.9602944,0.8845388,1.0125009,1.313785,1.0099412,1.0167382,0.9773338,0.62748206,1.1702625
apple,1.2727118,0.79953337,0.0,1.1040759,1.389201,0.2092073,0.32253706,0.5130586,0.7943671,1.4159995,1.0993491,1.4642978,0.6346128,1.6098623,1.3774186,0.6705608,1.4221933,1.0621048,1.1106688,0.5938559,0.8224994,1.240768,1.1008683,0.91425455,0.8277919,0.72121084,0.8442991,0.7272407,1.2028786,1.3826361,0.62984806,1.3863198,1.321874,0.903747,1.3948896,0.570175,0.72854614,1.4114883,1.0242808,0.49558127,1.4854901,0.55540204,1.1208777,0.94300365,0.8712044,1.2558985,1.1270328,1.1851908,0.68723816,0.21041536,1.2744694,0.8643715,0.72667265,0.41934317,0.61365354,0.9002929,1.0537326,0.6257569,1.3270433,0.59301114,0.73759836,1.1938744,0.35843176,1.1879078,0.66207874,1.1730301,0.5097656,0.845059,1.3952932,1.4381465,1.1423118,1.4398139,1.4188907,1.4836044,0.818857,1.2922081,1.2688937,0.5923716,0.94351304,1.2418604,1.0486138,0.58946174,0.43142867,1.079264,0.637075,0.7348832,0.18716514,1.3654308,1.2357556,1.4664712,1.3706325,1.3323205,0.6567982,0.8544768,0.97769594,0.8222656,0.9079516,1.0010715,0.78936934,0.73223615,0.8349201,0.46228254,1.1603023,0.7418264,1.1111981,1.313697,0.6227568,1.250382,1.2141533,1.1694216,1.4238936,1.0696138,1.0014107,0.9618038,1.4602263,1.3503451,1.3172253,0.4660167,1.2658422,0.5444204,0.9834827,1.1806755,0.8620024,1.05855,0.5354447,1.2854942,1.4713784,1.3350638,1.4908628,0.4847626,0.5697006,0.90080976,1.1541117,0.9533541,0.3148734,1.2302614,1.2910917,1.0279309,1.1307528,0.61501455,1.3247818
applesauce,0.8490918,1.1836095,1.1040759,0.0,0.8281941,1.0776557,0.9584498,1.1901767,1.1900859,0.6670685,0.96309423,0.7513404,1.4653606,0.80809534,0.7152474,1.2474327,0.82161874,0.81125754,0.9044095,1.3380015,0.876938,0.74627537,0.94843024,1.2933751,1.046503,1.3055284,1.1976981,1.1655018,1.1067358,1.0285331,1.2308576,0.8831363,1.0024518,1.0820833,0.83752793,1.2249995,1.2206073,0.9027705,1.0068592,1.3623072,0.75952524,1.2803819,0.8542819,1.2345363,1.1411991,1.0195441,0.9390486,1.1054842,1.1524622,1.0804303,0.9947684,0.93607163,1.0809072,1.341146,1.2013034,1.1534563,1.1317362,1.1232418,0.72197855,1.2818512,1.290213,1.0748119,1.0488269,0.9165126,1.09244,0.7730974,1.3690592,1.0867594,0.75970316,0.8095097,0.79455316,0.8339722,1.0388917,0.7527081,1.3078125,0.9738995,0.87607515,0.9089197,1.3313463,0.85969275,0.8622563,1.0802227,1.2597575,1.35765,1.3758163,1.0120586,1.1418126,0.85799795,0.90825605,0.7661435,0.9668686,0.7375176,1.3585916,1.1859913,0.96919936,1.0994326,1.3975096,1.0049281,1.1953781,1.0358462,1.083625,1.0725285,0.99585205,1.2283564,1.1996887,0.91128546,1.3067038,0.8926106,0.91758823,0.9033262,0.8201395,1.1134837,1.1640254,1.1472024,1.0174913,0.7663729,0.59605974,1.4254477,0.9708134,1.1750202,1.15215,0.8131806,1.3518506,1.0071265,1.2225478,1.0500269,0.75947964,0.72994244,0.7551755,1.2261415,1.2336215,1.1041521,0.90654546,1.3760225,1.1301206,0.4420514,0.76884186,1.0475872,1.1684427,1.2019945,0.99646145
arm,0.7196976,0.8271338,1.389201,0.8281941,0.0,1.4023991,1.3792597,1.112148,1.4377968,0.82747597,0.9466773,0.79629004,1.2064235,0.6834278,0.61243474,1.1623758,0.70420116,1.1097482,1.1366878,1.3365157,1.2797081,1.1015499,0.6844017,1.2386013,1.3715248,1.306533,1.2453823,0.8401146,0.83172673,0.8329983,1.4318426,0.9423468,0.702057,1.2162793,0.7004995,1.2664292,0.95993704,0.7506537,0.9875144,1.3501922,0.8838413,1.3538446,1.0565634,0.818979,1.1564478,1.0587986,1.0815045,0.90904564,1.1676412,1.235184,0.9389762,1.1308835,0.8149569,1.2898855,1.3120704,0.71802735,1.0284598,1.2928013,0.7990749,1.1740125,0.93469197,0.9018866,1.2282004,0.719794,1.2237989,0.41241693,1.3730397,1.2486056,0.8523809,0.63722914,1.076551,0.42786813,0.7422825,0.64247,1.3938061,0.6056392,1.0344265,0.9260818,1.0306226,0.7920824,0.8139349,1.0885957,1.2866108,1.0042464,1.19697,1.0001786,1.3215668,0.8869289,0.9157379,0.5520683,0.546242,0.81784654,1.2764093,1.0951207,0.96833706,1.1394717,1.1044388,1.0057167,1.1650112,1.2490075,1.2501292,1.18226,1.1656402,1.2337043,1.1180425,0.818188,1.1746008,1.0653203,0.9714887,0.9954367,0.37878603,1.143421,0.81951165,1.2406431,0.7967986,0.94036317,0.86268485,1.3834412,0.9041575,1.2705251,0.7143936,0.96294045,1.2500873,1.0491986,1.11344,0.9151882,0.46331733,0.81721914,0.75967324,1.4910908,0.9672347,0.99201334,0.70650923,1.1841176,1.519044,0.8822323,0.81392896,1.1607375,1.1815221,1.091485,0.9301845
ball,1.4542114,0.8789195,0.2092073,1.0776557,1.4023991,0.0,0.21702373,0.8108629,0.8201287,1.3192594,1.0827689,1.4004922,0.5874382,1.5293317,1.4049573,0.6599369,1.3450114,1.0664017,1.1089318,0.37834764,0.7083317,1.235657,1.1113513,0.8703872,0.7409264,0.6046799,0.8088442,0.8912345,1.1197965,1.360312,0.4196639,1.3276024,1.2629366,0.86410785,1.4063151,0.64990014,0.9810182,1.3511822,1.2218007,0.40929127,1.4646257,0.42748463,1.0798522,1.1009104,0.8802136,1.1740268,1.089029,1.1840209,0.76958245,0.22652793,1.2137111,0.96092635,0.86922,0.50258535,0.66710746,1.0902487,1.1703172,0.7526366,1.2639505,0.5751006,0.79228103,1.1163789,0.44385743,1.2020628,0.66925955,1.2607423,0.38495827,0.8272384,1.3681061,1.3338866,1.0745049,1.4691737,1.4353206,1.5536923,0.63386834,1.3156594,1.1868187,0.83332634,1.1044897,1.286693,1.1616995,0.8335426,0.26490724,1.0912055,0.63758504,0.8736657,0.21477354,1.2972909,1.247072,1.4138056,1.4138175,1.356059,0.73041034,0.861483,1.1385975,0.8725366,0.88171846,1.1600636,0.9501162,0.64390427,0.8845438,0.5696004,1.1476178,0.6926231,1.1225803,1.2465963,0.8490772,1.1736039,1.1295447,1.1255898,1.4317229,1.1200294,1.0712025,0.8454462,1.3596513,1.2280041,1.2936583,0.462026,1.1469638,0.44686943,1.0731307,1.2039449,0.72153777,1.0562563,0.5977412,1.2877316,1.4066405,1.2572134,1.3923169,0.46838534,0.6408583,0.8822837,1.1805258,0.91963273,0.17272532,1.2310297,1.287401,1.0300345,1.0270886,0.5808517,1.2169775
balloon,1.3375262,0.9525032,0.32253706,0.9584498,1.3792597,0.21702373,0.0,0.8134085,0.7763243,1.1852145,1.1219814,1.2809097,0.8477739,1.4016325,1.3501639,0.769391,1.2979085,0.9788536,0.9777802,0.72969925,0.69369525,1.0769538,1.2045113,0.9596882,0.63404834,0.8019799,0.7990551,0.9351373,1.2014515,1.2337654,0.62877846,1.2487762,1.2778208,0.8669543,1.3560412,0.8794637,1.0788171,1.2495754,1.22787,0.684561,1.2542679,0.6502968,1.0034643,1.1787328,0.8953398,1.1159242,0.9784991,1.1975164,0.79326385,0.3181888,1.2080928,1.0249048,0.9645356,0.651608,0.7348728,1.1699451,1.1490302,0.70266694,1.1670544,0.9106882,0.84822106,1.1602188,0.5106995,1.2316985,0.74059224,1.2324665,0.6699099,0.81671286,1.2137697,1.2835933,0.9363402,1.3841093,1.3517153,1.4114027,0.7438674,1.3235877,1.1522701,0.7277466,1.0841503,1.1587434,1.0506232,0.96527016,0.64251614,1.0748591,0.82875514,1.0131502,0.36592883,1.2352911,1.2593205,1.3215488,1.3398707,1.2080319,0.9001022,0.943083,1.1236805,0.87997603,0.97395194,1.1138562,0.9530914,0.72411036,0.8096765,0.61022043,0.9896584,0.74786174,1.1189213,1.2450172,0.87459713,1.1296632,1.0039093,1.0265913,1.3533839,1.0885506,1.0828145,0.7959186,1.2693815,1.0973296,1.0537785,0.73562676,1.1280468,0.5812285,1.0076333,1.0935822,0.8545444,0.9813505,0.7636422,1.1446842,1.3522646,1.1068077,1.2480013,0.509643,0.86594456,1.0514673,1.1373911,0.93428147,0.3001331,1.0675043,1.2855811,0.94255376,1.0073974,0.8524151,1.1478105
banana,1.0682329,0.89581287,0.5130586,1.1901767,1.112148,0.8108629,0.8134085,0.0,0.89378405,1.330437,1.2119137,1.3808849,0.85580605,1.2962574,1.2244487,0.9075764,1.3243573,1.0227239,1.0513525,0.88524693,1.0446297,1.0938104,0.9923101,0.8676559,1.0088633,0.7848456,1.0303652,0.5320289,1.174159,1.0522921,1.0314527,1.2528868,1.2953486,0.8738158,1.0247849,0.6123243,0.5237763,1.1929572,0.77441806,0.71319985,1.3290646,0.83875084,1.1477485,0.8595898,1.0890112,1.1875429,1.0977532,1.094072,0.9321184,0.67493,1.2286419,1.1457819,0.7613902,0.5698266,0.86546147,0.64557135,0.9122364,0.89925194,1.3133798,0.77464736,0.68299985,1.220953,0.6241017,1.1041664,0.9044671,0.98036504,0.811296,1.093614,1.1916754,1.3596536,1.2437031,1.0895252,1.0266398,1.1634283,1.0171362,0.9866712,1.208713,0.46148735,0.73844594,1.0972565,0.93886226,0.61059844,0.84819454,0.8796333,0.7731074,0.8983512,0.5792978,1.2208927,1.243975,1.3642855,1.0664155,1.0725954,0.7357564,0.7672715,0.85438514,0.95407706,0.83032614,0.7947316,0.8806497,1.0393218,1.031124,0.5494341,1.0938165,0.851185,1.0269486,1.3366455,0.6722648,1.2146904,1.0236729,0.9817017,1.207374,0.86497194,0.89476633,1.0001115,1.3269103,1.2644296,1.1450832,0.65508604,1.3396051,0.81328815,0.8326932,1.149653,0.93743753,0.97713226,0.6444812,0.9923231,1.3389894,1.2460257,1.2833204,0.79671645,0.7415153,0.7388258,0.86825585,0.8860015,0.7823453,1.1212482,1.1495384,1.0996217,1.0091537,0.7754484,1.3319497
basket,1.2466542,1.084243,0.7943671,1.1900859,1.4377968,0.8201287,0.7763243,0.89378405,0.0,1.3277103,1.2699306,1.0945543,0.68615884,1.257753,1.2533228,0.85594416,1.2811191,0.84415793,0.55770445,0.63364005,0.90647304,0.5600849,1.3164543,0.72224766,0.49401462,0.65914744,0.70950043,1.0568833,1.2652595,0.9878452,0.7383871,1.0237789,1.2739725,0.94456136,1.1292077,0.8254163,1.0322407,1.1376714,1.0642192,0.6178378,0.85207576,0.6524159,1.1740623,1.0490327,0.6733533,0.9733444,1.0550852,0.9535544,0.94236964,0.96222824,1.1161726,1.0335487,1.1277493,0.8129539,0.61211187,1.1314082,0.9034013,0.6895069,1.2618749,0.9691482,0.9054205,1.1671137,0.76601344,1.3386602,0.67198384,1.3633261,0.6638795,0.70429415,1.326258,1.2784384,0.9713248,1.3849258,1.0403014,1.2063756,0.67427605,1.2875676,1.0872726,1.2253755,0.8687877,1.1932659,1.1942532,1.1624297,0.83634037,0.90480095,0.87417287,1.2287076,0.85450006,1.0732305,1.2383718,1.285207,1.3491721,0.997968,0.7105546,0.76519585,1.2520014,0.87408996,0.7223892,1.0371437,0.76535827,0.9148671,0.70471126,0.95872885,0.7012283,0.65522873,0.5867357,1.32599,0.722131,1.0306846,1.0438445,0.9085405,1.387527,1.0015899,1.0738312,0.80158573,1.1544391,1.2173634,1.0429542,0.70445037,1.2859899,0.99450535,1.1415106,1.1750454,0.77859867,1.1538688,0.9313522,0.8015158,1.4053199,1.1481857,1.2030226,0.53140104,1.0170124,0.97110045,1.1763235,0.7390282,0.4726997,1.1254132,1.233842,0.8309065,0.7869239,0.951472,1.0921332
bathtub,0.8679416,1.3041582,1.4159995,0.6670685,0.82747597,1.3192594,1.1852145,1.330437,1.3277103,0.0,0.87471473,0.6033783,1.4560497,0.51386034,0.7613903,1.350543,0.77385217,0.74234253,1.0118039,1.3651252,0.48560065,0.8191967,0.8844085,1.3537966,0.85693824,1.3845711,1.1247932,1.2245239,0.8974035,0.8803171,1.2299689,0.77329063,0.8161639,0.96217865,0.7947968,1.2791257,1.3311474,0.7914497,1.0680997,1.483685,0.58553505,1.1261802,0.5831035,1.2517579,1.2681208,0.8554132,0.7411065,1.0337803,1.2643447,1.3087592,0.8265547,1.0540485,1.3363354,1.4234092,1.4140571,1.2993457,1.0105767,1.2145308,0.60194266,1.3965731,1.4771464,0.8919122,1.3624235,0.96270543,1.168838,0.9812288,1.4617168,1.1882223,0.58109456,0.7676668,0.70913935,0.8371999,0.85548747,0.65272236,1.2822562,1.0270284,0.7963997,1.0044047,1.1713398,0.8779113,0.9947205,1.2280104,1.3743638,1.1725472,1.4677825,1.2586355,1.3732994,0.62755674,0.8115969,0.7849772,0.91463727,0.7520851,1.4639723,1.3465664,1.0134152,1.2109467,1.3659403,1.0320457,1.3446176,0.7387643,1.1810346,1.237997,1.0224453,1.3438034,1.1110909,0.7178963,1.3493972,0.8297131,1.0138383,0.8380739,0.8006487,1.139216,1.2662723,0.9253733,0.6678429,0.10243267,0.58030856,1.5242716,0.7041298,1.1576397,1.1563609,0.3823315,1.1450709,1.0235744,1.3495932,1.1006092,0.6746899,0.7435407,0.50402385,1.23066,1.4561317,1.2515656,0.91017103,1.324363,1.3506427,0.34748793,0.814852,1.0328468,1.1697341,1.4123209,0.8037298
