,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,mitten,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slipper,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3401299,0.89171624,1.2925861,1.1821849,0.7203114,0.9580989,0.92126906,0.9829433,1.2513943,0.9816511,0.8762437,0.96964204,0.9250262,0.6163067,1.2889186,1.1293334,0.7969024,1.1745327,1.2116313,1.0600228,1.2933619,0.8839255,0.8598976,0.89895654,1.0937262,0.8830245,0.83725363,0.9009236,0.7071693,1.2625482,1.0121523,1.3376143,0.36982417,0.8136064,1.1391546,1.0493504,0.95636564,1.1957666,1.1020565,0.7333422,1.0287098,0.9800685,1.0275309,0.68049496,0.87575436,1.1303227,1.0400708,0.85110664,0.85513806,1.1367656,1.1224172,0.9427331,1.1993723,0.87180865,1.0042055,0.9556901,1.166002,1.0328256,1.3134745,0.80000365,1.4174222,1.171499,1.3258289,1.2933178,1.1881061,1.0075281,0.9445074,0.7030885,1.0494206,1.1803056,0.8201464,1.0584122,0.9124844,1.0542207,0.6763211,0.9280525,0.9001266,0.91984373,1.1159075,1.0281191,1.2021637,0.9398169,0.77125716,0.94309497,0.97154826,1.0345447,0.96938443,0.70200545,1.2812636,1.0441885,0.94122285,0.80512875,0.9573164,1.2486094,0.9220359,0.74072707,1.1597037,1.1174314,0.7863014,1.0533106,1.1644334,1.2854364,1.0625327
apple,1.3401299,0.0,1.3828228,0.20519316,0.35536772,1.1524928,1.109183,1.3669704,1.4082096,0.3552385,1.3710232,1.393022,1.4365844,0.660753,1.364181,0.4398873,0.75768185,1.3620799,0.6470536,0.64688796,0.7940847,0.62167,0.8172268,1.2668092,1.3080351,1.244453,1.2240577,1.3179798,1.4717048,1.2015514,0.26048994,1.4201802,0.34533507,1.2569997,1.1934288,1.2303139,1.0789175,0.9572759,0.32022315,0.9482669,0.79098773,0.534043,1.1250392,0.957576,0.79006326,1.2894531,0.7659699,1.0992942,1.1311367,1.0539441,0.8091501,1.1507863,1.2881933,0.5929784,1.3280542,1.4094315,1.3912957,0.9534326,1.3748771,0.39193034,1.4180777,0.25975507,0.56087846,0.47540474,0.42051458,0.76759386,1.4892713,1.4335558,1.2901251,0.8440348,0.5534775,1.1582518,0.90306515,1.1609008,0.67042136,1.2877926,1.3800175,1.1680322,1.2405579,0.89509964,1.2159947,0.9743962,1.2911816,1.0753438,1.4589939,1.2553349,1.153914,1.124717,1.1645005,0.32328618,0.9167034,1.1729382,1.4226167,0.527452,0.7233288,1.0013783,1.3879895,0.6832641,0.2135433,1.393855,1.1851435,0.87494624,0.5434418,1.1826427
arm,0.89171624,1.3828228,0.0,1.299114,1.2640752,0.91104245,1.1524258,0.6281787,0.694999,1.2898743,0.7749555,0.68079686,0.56148165,1.2869498,0.89078194,1.3926947,1.2069963,0.82944405,1.213037,1.3956463,1.2317935,1.3751144,1.1964865,0.9756871,0.720979,0.98950887,1.0911092,0.8187628,0.7254039,0.9264297,1.4320123,0.8656604,1.3815532,0.92214197,1.0489491,0.9206906,1.1652863,1.1417673,1.2014805,0.86562717,1.2231276,1.3336871,0.9088427,0.9295226,1.373807,0.8685025,1.0622544,0.91969144,0.94835186,1.0324075,1.130928,1.0586059,0.6481684,1.328011,0.74118567,0.43535239,0.5259228,1.1252694,0.9370678,1.4009975,0.6149294,1.3440899,1.3079461,1.356386,1.3662524,1.2549415,0.56502444,0.5580332,0.84413826,1.0070556,1.2943943,0.8997408,1.3027674,1.0091093,1.3657119,0.86112475,0.5760889,0.8298913,1.0492665,1.3429725,1.2301825,1.1518868,0.7625309,0.9647526,0.40239525,0.5792344,0.9305124,1.1408732,0.8406838,1.4003329,1.1378887,0.8182897,0.6996997,1.3657228,1.0812895,1.1790742,0.6704535,1.1794235,1.4587567,0.84952796,0.85921395,1.279937,1.1481537,0.94697136
ball,1.2925861,0.20519316,1.299114,0.0,0.21656245,1.2120385,1.0908451,1.266288,1.3959094,0.61470723,1.352368,1.3018699,1.3555448,0.53573227,1.3369396,0.4559958,0.6623444,1.3295127,0.7909654,0.72674155,0.7558416,0.6036663,0.74043274,1.1960618,1.3384497,1.1512527,1.2201567,1.309088,1.3951609,1.1939449,0.50226307,1.4159877,0.4226153,1.2165316,1.0981852,1.2193022,1.1575962,1.0424393,0.26150137,1.0358241,0.8071345,0.56612337,1.0828112,1.047547,0.80418956,1.3350345,0.9624301,0.9631221,1.1358961,1.0738994,0.9138056,1.1242795,1.2666724,0.6252818,1.3339264,1.3268459,1.3641249,1.0423609,1.3107119,0.5142633,1.2999468,0.34804618,0.57050437,0.55747634,0.5632132,0.8235071,1.4181528,1.4003055,1.3013709,0.983486,0.6664915,1.0746082,0.8887807,1.1836566,0.7681267,1.1922252,1.3378444,1.1036433,1.151453,0.86417013,1.1735346,0.996506,1.170127,1.0435145,1.4071947,1.196061,1.1435868,1.0803655,1.1611612,0.48335028,1.0613273,1.1484661,1.3753805,0.49054807,0.8205733,1.0184189,1.335931,0.61150026,0.21957177,1.3582163,1.155699,0.83506167,0.6829301,1.1877067
balloon,1.1821849,0.35536772,1.2640752,0.21656245,0.0,1.1368077,0.9358545,1.2077868,1.3038466,0.80404407,1.2782134,1.1886187,1.2657737,0.6748097,1.1718174,0.75988114,0.69473064,1.1821152,0.8970211,0.7331842,0.8989153,0.6843257,0.80870163,1.1011875,1.3190131,1.0661501,1.1074185,1.1991935,1.3341957,1.080173,0.697252,1.267844,0.6918327,1.1646123,0.92716473,1.1615081,1.073864,0.98669696,0.32481492,1.0293152,0.7953078,0.6830828,1.0620836,0.9591943,0.8146256,1.2678555,1.0567513,0.97125214,1.148072,0.99267405,0.9805661,1.1395414,1.2069169,0.7223911,1.3072654,1.2715645,1.2977617,1.0334827,1.207059,0.6532115,1.1993784,0.6471584,0.7062386,0.7128785,0.66389847,0.91829216,1.3099036,1.3230455,1.1475469,1.0181679,0.771781,1.0620977,0.8858286,1.1101387,0.86564946,1.1105572,1.2974331,1.0631096,1.0051011,0.91725063,1.078787,1.0412284,1.0586494,1.0008037,1.3302684,1.200935,1.1742041,1.0239489,1.1838255,0.73432004,0.96711564,1.1710408,1.2625517,0.66176593,0.9367702,1.0080023,1.2473466,0.70869845,0.3830099,1.1734283,1.1217737,0.9061955,0.90111345,1.1817863
banana,0.7203114,1.1524928,0.91104245,1.2120385,1.1368077,0.0,0.97836626,0.976548,0.97822565,1.3172195,1.0935336,0.79274577,0.9459697,1.1478524,0.6733633,1.2424903,1.1066281,0.76137286,1.2767054,1.2516848,1.1001849,1.3737983,1.0594912,0.8667172,0.88355774,1.1944635,0.7406361,0.78832483,0.9594186,0.58922696,1.228093,0.9498321,1.2946028,0.84742415,0.86937946,1.1208469,1.1879123,0.94745386,1.1875979,1.0802653,0.92481375,0.96182203,0.93615365,0.91899437,1.0294452,0.6938782,1.0781887,0.9781397,0.7714777,0.5508533,1.1132779,1.0635651,0.7870979,1.3497769,0.9344678,0.86335135,0.96216506,1.2271147,0.9665412,1.2955416,0.80394995,1.3133645,1.2629505,1.3537071,1.292644,1.311829,0.91607726,1.0200272,0.86770093,1.1809042,1.2212493,0.8280557,1.3214772,0.6551546,1.096807,0.827295,1.0004463,0.9730778,0.8952047,1.1464643,1.0925993,1.1208227,0.8499558,0.7309809,0.9253135,0.9615288,1.1961092,0.8272647,1.0152746,1.3114307,1.1910415,0.9322523,0.7757773,1.1139042,1.2238781,1.0582547,0.61808795,1.1891917,1.0214297,0.7218069,0.9896119,1.1917236,1.2141718,1.0505954
basket,0.9580989,1.109183,1.1524258,1.0908451,0.9358545,0.97836626,0.0,0.9983223,0.6999362,1.1558539,0.8820062,1.0759766,1.0538354,0.9516434,0.74446195,1.0191904,0.79026777,0.59166145,1.156542,0.4892671,1.1171854,0.88028324,0.8929928,1.045016,1.0797566,0.7561977,0.7546536,0.9104887,0.92430604,0.9912222,1.2055618,0.52107847,1.0980201,1.094377,0.8879192,0.9140739,0.8251842,1.1715256,1.1266761,1.3601224,1.1162144,0.9058526,1.1163684,1.1173494,1.0242856,0.9032981,1.3073694,0.9281175,0.9747186,0.90110314,1.2763164,1.0945954,1.2596083,1.0416112,1.0827711,1.0973667,1.2117825,1.1887864,0.72952676,1.0074624,1.1105742,1.2404613,0.9988896,1.0578395,1.0034114,0.7953985,1.0761887,1.1548959,0.7609377,1.2299029,1.1593338,1.0364699,0.9448393,0.9401741,0.9048928,0.85017484,1.0545907,1.1057861,0.76069385,0.7171865,0.63568,1.1657648,0.9799547,0.96709687,1.0959854,1.2252533,1.0885073,0.9219219,0.9351174,1.2645576,1.2227218,1.0194963,0.79699266,0.95870954,1.3711195,0.98669386,0.9477037,1.1659114,0.9698031,0.6651175,1.0345317,0.9182733,1.3456795,0.76394373
bathtub,0.92126906,1.3669704,0.6281787,1.266288,1.2077868,0.976548,0.9983223,0.0,0.6393879,1.2295549,0.54146355,0.8508692,0.7700377,1.2735603,1.0100704,1.4210823,1.0401348,0.8302187,1.2602029,1.257607,1.1895411,1.2023531,1.1759382,1.0410001,0.4880306,0.8699754,1.0544405,1.0498657,0.63336116,0.985857,1.4359736,0.6919664,1.3792796,0.9207139,1.1478975,0.58300996,0.78116375,1.2113314,1.1795126,1.1257739,1.2396612,1.3118392,1.1243973,0.9849388,1.2870694,0.84715444,1.1319361,1.1819962,0.87201357,1.1852044,1.0773066,0.9382417,0.8706538,1.3457742,0.6323822,0.766834,0.66832894,1.0630677,0.76218843,1.2480886,0.8426236,1.376565,1.2966323,1.2685697,1.3240541,1.0537145,0.7828584,0.6160191,0.8773517,1.1617328,1.3715901,0.90679115,1.2790323,1.003072,1.280111,0.7859746,0.74856806,0.8975957,1.1344793,1.1651932,0.9620428,1.0851718,0.9828971,1.0938832,0.5486003,0.9298713,0.8269869,0.8515491,0.6337464,1.4007419,1.1535242,0.70207703,0.69634897,1.42637,1.2658213,1.0857363,0.8408151,1.4234979,1.4421904,0.7664302,0.76031506,1.0099638,1.2317007,0.6851787
bed,0.9829433,1.4082096,0.694999,1.3959094,1.3038466,0.97822565,0.6999362,0.6393879,0.0,1.3370507,0.82729566,0.8636819,0.5346314,1.2833133,0.8746815,1.330653,1.1607801,0.67140603,1.4147855,1.0618128,1.3312414,1.2480226,1.100224,1.0496148,0.6385437,0.64430064,0.9774168,0.7317178,0.34708136,0.91363144,1.4974884,0.14442778,1.467098,0.9373392,0.8601346,0.656623,0.77418184,1.3412592,1.2911181,1.2826185,1.3090335,1.2385192,1.0740286,1.1730053,1.2739246,0.78071827,1.2665812,0.99070066,0.7671236,1.2820271,1.240354,1.1227868,1.1387063,1.3296292,0.6764288,0.6613355,0.73373175,1.2099376,0.46849978,1.2128938,0.84759766,1.4699845,1.3476574,1.3622797,1.229909,1.0857077,0.55683345,0.6383957,0.8599319,1.4013754,1.3608907,0.7980323,1.143831,0.83168525,1.159074,1.0102534,0.848393,0.90233994,1.0227238,1.0347451,0.831775,1.2181494,0.86537606,1.1926272,0.6790484,0.9207928,0.93712425,0.92886925,0.87991595,1.4697018,1.2107832,0.91191506,0.5777072,1.3413539,1.4142658,1.1752231,0.9383149,1.3632042,1.37341,0.6875005,0.71874213,1.1043808,1.3781888,0.7454013
belt,1.2513943,0.3552385,1.2898743,0.61470723,0.80404407,1.3172195,1.1558539,1.2295549,1.3370507,0.0,1.1154133,1.3432,1.4154196,0.6954707,1.4317522,0.5594765,0.8442683,1.3815963,0.5589609,0.5772996,0.90686494,0.592238,0.8428824,1.3243986,1.0979056,1.11736,1.2622106,1.309809,1.3734891,1.2728149,0.20739806,1.366344,0.41352153,1.1984582,1.3206517,1.1197478,0.8318118,0.9486038,0.67880416,0.95748854,0.80793035,0.7050475,1.1899447,0.97522855,0.7178152,1.3507655,0.73828065,1.1495728,1.2244122,1.2885993,0.7955619,1.1048895,1.316013,0.50423574,1.2129691,1.4207933,1.2985492,0.7638686,1.3731426,0.34444547,1.4863989,0.3388676,0.5295627,0.33454192,0.38359612,0.7095332,1.463345,1.3392441,1.2332432,0.66630924,0.49590892,1.2922764,0.71620446,1.2763679,0.6591576,1.210737,1.2459447,1.2934009,1.3109423,0.87225884,1.207838,0.9312455,1.3314632,1.0853292,1.3060108,1.1854485,1.0526935,1.2143832,0.9520101,0.23521084,0.7782151,1.0780704,1.3980287,0.628106,0.7334008,0.9348076,1.4046738,0.8260075,0.52895904,1.4353821,1.1323682,0.86870766,0.50890166,0.99706274
