,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,carrot,cat,chair,clock,closet,coffee,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,knife,ladder,lamp,milk,nail,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pickle,pillow,plant,plate,pony,potato,pumpkin,purse,refrigerator,scissors,shirt,shoe,shovel,shower,sink,slipper,sock,soup,spoon,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
apple,0.0,0.61646914,0.72928953,0.51215607,1.2035506,1.4331374,1.5303013,0.9053849,1.4391999,1.4364398,1.4079103,1.0879604,0.69245255,0.49517387,1.2103384,0.53676045,0.9433572,0.94927603,0.89031243,1.1929634,1.3902539,0.58486044,1.1343254,0.9783135,1.4870912,0.88569003,0.6845247,1.4815055,0.6482762,1.2056501,1.0499642,1.1151094,1.452679,1.379679,1.3650069,0.24614847,0.96771616,1.0716605,0.76928496,0.93725175,0.7169384,0.5443602,0.46026754,1.2493253,1.1330973,0.37257016,1.1981257,1.2352061,0.6737359,0.7232254,1.4161751,0.71958625,1.0467169,0.6933078,1.2660565,1.0071983,0.2337504,1.3616196,1.3035252,1.1061466,0.99293137,0.8790242,0.49885726,1.121429,1.1906819,0.6933446,1.2160475,0.61742485,0.2302289,1.1593355,1.3923949,0.6315198,1.4628215,1.1028092,0.8168761,1.418283,1.018866,0.7901844,1.2288334,0.8686706,0.6649152,1.3202579,1.2764263,0.6316347,0.96179265,1.0199724,0.5750942,0.9600102,0.63383496,1.2028823,1.170678,0.697691,1.4062283
ball,0.61646914,0.0,0.9231854,0.9597403,1.0056038,1.2685549,1.2440584,0.8829721,1.2670554,1.215816,1.2457821,0.9194712,0.73679304,0.758136,1.0354353,0.9170157,1.1072477,1.07828,0.9575022,1.1199274,1.202089,0.7923813,1.1928209,1.0572536,1.2451022,0.98221487,0.88937765,1.2094338,0.6979705,1.1376829,1.0233212,0.99775314,1.2750005,1.1250834,1.1305609,0.64937174,0.9832478,0.96208185,1.0046232,0.8642883,0.9293577,0.94959456,0.6456529,1.1718619,1.0328927,0.875941,1.1394553,1.156828,0.9798786,0.9114406,1.2571733,0.83852243,1.023505,0.5556231,1.1668446,1.1331949,0.67969406,1.2409204,1.1163568,1.1331683,0.8675966,0.9673491,0.78849864,1.018252,1.0273548,0.8148755,1.1515449,0.8739627,0.70346475,1.2051818,1.1270555,0.8789889,1.2029289,1.0776287,0.9883365,1.1985362,1.0825357,0.89093244,1.1521468,0.9003179,0.97315866,1.1848997,1.0463367,0.6964885,1.0429229,0.9987786,0.87301064,1.1043497,0.69995826,0.9894325,1.1246874,0.81283545,1.0956386
balloon,0.72928953,0.9231854,0.0,0.7682202,1.2289066,1.2405527,1.4184726,0.3942107,1.2194406,1.4216217,1.3314192,1.072364,0.61151284,0.6309767,1.1877211,0.72985554,0.87226236,0.78833354,1.0652099,0.9176354,1.183255,0.860683,0.9279733,0.6599505,1.337158,1.0917844,0.5757577,1.3205851,0.6837257,1.1740015,1.2673948,1.2740073,1.141929,1.1208726,1.3094101,0.92198306,1.2178743,1.002188,0.5781293,0.97689027,0.8869774,0.9026231,0.7202295,1.3086548,1.296351,0.7318842,1.2013112,1.1908325,0.8007352,0.7558491,1.2668488,0.572016,1.0768219,0.75816774,1.1872149,0.868072,0.9328341,1.206168,1.2455341,1.2065135,0.72046304,0.6448399,0.75046134,0.8765795,0.89252734,0.9231576,1.173998,0.7205379,0.94944686,1.1575987,1.2939409,0.90518755,1.3551822,0.9414994,0.6121035,1.2246603,0.9561876,0.7431659,1.2493963,0.3249482,0.8684354,1.2549366,1.2845824,0.657035,1.0935624,1.1100777,0.5921473,1.0148652,0.8500544,1.1437094,1.080431,0.7645678,1.1466765
banana,0.51215607,0.9597403,0.7682202,0.0,1.4266204,1.3562868,1.4482198,0.89590275,1.288341,1.3432047,1.3217051,1.2665915,0.6685741,0.48916113,1.3939103,0.09132308,0.9568298,0.7704057,0.75505483,1.179788,1.3892645,0.7288213,1.0413984,0.9317259,1.4632087,0.5684024,0.48137552,1.4942851,0.9181561,0.9358627,0.98008543,1.2811071,1.4506447,1.315527,1.2791712,0.78831005,1.0976025,1.0619959,0.6166302,0.9538132,0.6632234,0.65660155,0.6394794,1.3142254,1.2436361,0.37960654,0.9557166,1.3213845,0.7950308,0.5252565,1.4056566,0.7480465,1.1392342,0.73169494,1.1655072,0.6943223,0.89106643,1.3498927,1.364338,0.9566416,0.70160604,0.61606604,0.49855888,0.8561952,1.0841632,0.9223865,0.9626629,0.25059903,0.8722149,1.1358966,1.4738767,0.44899082,1.4438517,0.99768734,0.5893445,1.4520065,0.96351755,0.44325048,1.293282,0.8172819,0.6662564,1.2799883,1.4117033,0.8063108,0.8755789,0.88322335,0.5338375,0.66620326,0.9855833,1.3324225,1.2254976,0.57394505,1.3815669
basket,1.2035506,1.0056038,1.2289066,1.4266204,0.0,0.7994344,0.7481326,1.2040343,0.8347144,0.8476652,0.7193422,0.78901863,1.2649231,1.2071836,0.41566205,1.4516946,1.0928805,1.2319995,1.0794983,1.0638641,0.7851555,1.0987998,0.9617284,1.0162349,0.8339691,1.2090886,1.3892145,0.40059042,0.99990714,1.1481394,1.2202369,0.7788099,0.8134445,0.8687187,0.94213116,1.0043273,0.6763818,0.9006772,1.3612213,1.0058929,1.2835907,1.2419606,1.2705886,0.97834677,0.85663575,1.3260671,1.1719716,0.99139726,1.0707225,1.3521545,0.67587996,1.307435,0.92216074,1.2681353,0.8398757,1.3418515,0.9859865,0.9096469,0.8862303,1.0339706,1.2703029,1.3069375,1.3341213,1.2402837,0.9847385,0.95206356,1.1724727,1.4272075,1.0372393,0.8123913,0.6389118,1.3942926,0.9176027,1.0423065,1.3693479,0.8327489,0.97830427,1.4263877,0.9100376,1.1612114,1.2234442,0.89866006,0.5346737,0.9903494,1.20101,1.1733017,1.3337228,1.0222412,0.8082054,0.2694168,0.6659287,1.3966682,0.8195069
bathtub,1.4331374,1.2685549,1.2405527,1.3562868,0.7994344,0.0,0.37292242,1.1234885,0.51160043,0.82033926,0.69162434,0.8777252,1.3850844,1.1753538,0.81272244,1.3084513,1.1609771,1.2368593,1.1304237,0.8128779,0.5559546,1.1579332,0.8314688,1.0101682,0.5075251,1.1753466,1.335881,0.40231717,1.2464144,1.1769805,1.0918343,1.0454944,0.42708004,0.5851673,0.8998474,1.1765742,0.978213,1.0186527,1.2076039,1.1260101,1.4012799,1.3557794,1.4040222,0.89238054,1.0176516,1.5092745,1.215986,0.8026173,1.2379967,1.2934577,0.582854,1.1092905,0.9414761,1.2473757,0.6215244,1.2965441,1.1653199,0.4097147,0.8954928,0.8772051,1.0123682,1.0907189,1.4011698,1.123152,0.79574865,1.0548234,1.2123649,1.2500675,1.2421737,0.9603323,0.5705825,1.5347525,0.70257723,1.177143,1.4272685,0.50172263,0.7787427,1.4480584,0.9190355,1.212203,1.2970486,0.8305098,0.6484836,1.1642548,1.2849165,1.2762173,1.4297985,0.96584916,1.2554517,0.7125427,0.92385083,1.5105246,0.5339621
bed,1.5303013,1.2440584,1.4184726,1.4482198,0.7481326,0.37292242,0.0,1.2106293,0.49998176,0.49513793,0.4597885,1.0163965,1.4204862,1.464614,0.7959017,1.4182341,1.3178878,1.3497537,1.0478317,0.7746544,0.52619296,1.3172166,1.0738729,1.2202071,0.13054669,1.1634418,1.4748673,0.31311488,1.4111158,1.0376661,0.9017756,0.8788216,0.5951744,0.70737755,0.6573951,1.2865112,0.9462092,0.9429069,1.3726783,1.2071412,1.3935891,1.3764043,1.3492273,0.713236,1.001437,1.5372949,1.0156294,0.69496965,1.3608501,1.3961198,0.5409383,1.3587639,1.0176502,1.179383,0.6117213,1.2909187,1.266427,0.6016207,0.67300737,0.92541283,1.1004604,1.2779735,1.3909088,1.1069021,1.0011978,1.2784784,1.0262179,1.2818563,1.2667786,0.93180156,0.60864466,1.4647356,0.45085979,1.1771607,1.4456441,0.47483397,1.0543668,1.4378831,0.893466,1.3550441,1.4120004,0.6157077,0.4986303,1.3345275,1.1932173,1.1773905,1.4940325,1.0931118,1.4341956,0.773734,0.9263935,1.4316807,0.6334142
belt,0.9053849,0.8829721,0.3942107,0.89590275,1.2040343,1.1234885,1.2106293,0.0,1.177698,1.3683643,1.2805812,1.0906333,0.5293485,0.6899684,1.2143663,0.7992626,1.0365747,0.8998027,1.1396066,0.7504623,1.1240625,0.984737,0.99126726,0.7238429,1.1499442,1.121065,0.6097838,1.2357296,0.84503675,1.2381794,1.0295752,1.2627753,1.0966179,1.2030656,1.2596605,1.0655209,1.2210699,1.0487548,0.65117407,1.2057433,0.8856536,1.0912374,0.7555894,1.1939927,1.2538476,0.9640155,1.2488848,1.0858841,0.9551658,0.7749599,1.2142456,0.70911545,1.0625625,0.5958344,1.124523,0.9178927,1.0236015,1.0629876,1.183168,1.2089117,0.5338807,0.6032716,0.8123201,0.8649768,0.929777,1.0315156,1.2270578,0.63520336,1.0624311,1.1623424,1.2356613,1.0207332,1.2144201,0.9310595,0.7284408,1.1448133,0.99928796,0.6938969,1.1646625,0.25205773,0.9646138,1.1972858,1.1507397,0.8382616,1.0999638,1.1550103,0.71297276,1.1160446,1.0588528,1.1495149,1.149725,0.7052592,1.0307229
bench,1.4391999,1.2670554,1.2194406,1.288341,0.8347144,0.51160043,0.49998176,1.177698,0.0,0.7543056,0.75173986,0.95790255,1.3424807,1.2893661,0.81252706,1.2689202,1.0186114,1.0458575,1.0009856,1.0367776,0.4427178,1.2447337,0.73116684,0.96324635,0.5243192,1.0318855,1.3852756,0.47007585,1.2839626,0.940794,1.0564529,0.8604833,0.57497454,0.65441537,0.75507146,1.2880508,0.8692051,0.93581325,1.247023,1.0678902,1.1620775,1.2164702,1.3629534,0.9009824,1.0089116,1.3561358,0.8973535,1.0481751,1.1900873,1.3218789,0.61758184,1.2219537,1.0099571,1.3323729,0.6905395,1.2071038,1.3176355,0.5534365,0.9729849,0.648963,1.2361925,1.2996662,1.3535802,1.0119141,0.82737255,1.2356935,0.9270231,1.2973361,1.2996438,0.91563624,0.6758996,1.3512393,0.87855935,1.0263281,1.1364849,0.6657002,0.7753829,1.3119004,1.0758208,1.1996746,1.2944839,0.8269824,0.7743504,1.2442744,1.1115446,1.1718849,1.3899667,0.83652806,1.2329392,0.78967375,0.9550212,1.405345,0.63164634
bib,1.4364398,1.215816,1.4216217,1.3432047,0.8476652,0.82033926,0.49513793,1.3683643,0.7543056,0.0,0.29466945,0.9401705,1.4379982,1.5435131,0.80447173,1.3773279,1.239207,1.3327818,0.86581755,0.9729146,0.8776107,1.2918487,1.0509431,1.3691559,0.58192897,1.0952448,1.4682735,0.65352,1.3135833,0.8446379,0.87309414,0.6758703,0.8537471,0.8417339,0.66579825,1.2886024,0.85848385,1.0346712,1.3803709,1.0316631,1.2080394,1.1488744,1.3342305,0.6932646,0.65441513,1.3826375,0.81228435,0.75528544,1.3480525,1.4410805,0.7148586,1.4341128,1.0297816,1.2789265,0.7691616,1.0750548,1.2798773,0.96217585,0.5898568,0.74142635,1.2721173,1.3701682,1.3752643,0.93718994,1.0875118,1.2583729,0.85440475,1.3392265,1.243789,0.93797266,0.6912867,1.214473,0.4091953,1.0187929,1.419826,0.6627793,1.2259586,1.2960682,0.6566526,1.4098707,1.3706048,0.5296035,0.7321656,1.3590318,0.9747105,0.951876,1.4145474,0.9791231,1.2494643,0.84075457,0.9699515,1.282532,0.88849795
