,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.0069331,1.3619522,0.65474844,1.2355068,1.3217516,1.129895,1.0195101,0.80425113,0.67113876,1.3519986,0.8345267,0.7192451,0.97676724,0.73578495,0.7928755,1.1204817,1.3261464,1.2650517,0.6431478,1.2601697,1.0498887,1.1735058,1.029986,1.27689,1.2190696,1.2101871,0.9970785,0.88982993,1.0682253,0.88178855,0.900805,0.83825696,0.85502195,1.0748084,0.83493245,0.89511657,1.4560039,0.81388885,1.1771629,1.0500909,0.97500736,1.0783703,0.9517424,0.79782546,0.70438176,1.489222,0.9095746,1.3521289,0.8803374,1.0781947,1.2115442,1.189136,1.4273832,0.8624994,0.8011614,1.368792,0.7392907,1.0991977,0.8335444,1.2849826,1.0151207,1.3363318,0.8071351,0.8363636,0.7947293,0.84184223,0.7499696,1.2957768,0.9163313,1.0705475,1.1190307,0.93771607,0.65931123,0.8273505,0.7706926,1.0985774,1.4522676,1.2174203,1.3461413,1.3454872,1.477319,1.045622,1.1481978,0.7816661,0.8325519,0.61249465,1.4335296,1.3169441,1.1344541,0.8699972,1.2031652,0.95851326,0.84702075,1.3801193,1.2206155,0.875805,1.1721377,1.3557074,0.8462275,0.36450875,1.2207084,0.8348567,1.0587844,0.73951304,0.62978697,1.1308278,1.0236675,0.70731634,1.1411911,0.800476,1.3845341,0.92202723,1.2366621,0.91308075,1.0047392,1.4694915,1.0070157,1.1127201,1.3877501,1.0335844,0.8552896,1.0515143,0.6281657,1.3136849,1.4785402,1.1718901,0.82466245,1.2869587,1.0629231,0.7120156,0.7988013,0.7615825,1.016192,1.4946675,0.80543864,0.8337071
ankle,1.0069331,0.0,1.1765034,0.7519394,1.0082316,1.1316905,0.9781009,1.0877364,0.93116426,0.93807226,1.1699843,0.95201933,0.9316505,1.1147668,0.8782574,1.1094966,1.081648,1.12597,1.041993,1.0205576,0.95455223,1.0518596,1.0537031,1.105359,1.0781957,1.2469633,0.8023857,1.0617892,0.93568397,0.7315372,1.1371951,1.0145991,0.9509091,0.8247113,1.0637482,0.9293169,1.1071905,1.0950886,0.9493171,0.9495586,0.99027306,0.9665994,0.92901874,1.0750867,0.94435775,0.8824462,1.0089947,1.0742044,0.8227916,1.0481956,1.1814367,1.2552595,0.90282005,1.1237698,1.1531262,0.9709628,1.1312246,0.61278665,1.0071181,1.0944881,1.0233318,0.7113559,1.2561326,0.98620915,1.1066792,1.0067402,0.8986392,0.9295078,1.0489967,1.0504985,1.110643,1.1171395,0.9738971,0.60728776,1.0265652,0.9192707,1.1484019,1.0892029,0.8448205,0.89732575,1.1462613,1.0790477,1.0121484,1.1066997,0.9236232,0.897095,1.0238491,1.1077284,0.9934485,0.8916538,1.0479531,0.88989896,0.6255125,1.085346,1.1378436,0.96335626,0.83962566,1.0573058,1.0901059,1.0990944,1.112658,0.9156138,1.0778846,1.0796384,0.9536462,0.9025682,0.894372,0.9779888,1.0188904,0.9323637,1.0917666,1.0085963,1.0503069,1.0551636,0.75803673,1.0701191,1.0801883,1.0805573,1.0420753,1.1089315,1.0881658,0.96621805,1.1667515,0.96550417,1.0554729,0.97288257,1.1951108,0.9382327,1.1506395,1.2032565,1.0265944,1.0910939,1.027406,1.1003453,1.0611135,1.045634,1.1132303
apple,1.3619522,1.1765034,0.0,1.3877758,0.64524376,0.51439285,0.80651486,0.9279408,1.4317391,1.4181374,0.4080044,1.4423869,1.3545122,0.8719999,1.4193578,1.208768,0.81448394,0.36550653,0.80377346,1.330886,0.5715765,1.0072894,0.82773304,0.94745266,0.80376697,0.66337055,0.8910797,1.0528715,1.3796382,1.0750891,1.1125666,1.2350333,1.3198175,1.1608661,1.0280966,1.3756225,1.1356928,0.34221208,1.4329859,0.82315725,1.1458588,1.1150392,0.9624411,1.2333703,1.2402765,1.3802403,0.39352465,1.1471872,0.82635295,1.224246,0.6355853,0.38069075,0.8713684,0.5042331,0.8656775,1.1062887,0.5252212,1.313332,0.73521644,1.2028016,0.74579763,1.2066095,0.34719908,1.2317919,1.235798,1.2484123,1.2923226,1.4071736,0.71495587,1.2193565,0.94669235,0.65878505,1.1939602,1.4145203,1.2575741,1.248096,0.6368263,0.20437944,0.7386326,0.8931297,0.38852364,0.3112406,1.1561778,0.8143425,1.3468565,1.3825428,1.3429325,0.35965765,0.6089606,0.9968873,1.1755788,0.99619937,0.9610794,0.9984499,0.6270146,0.76634467,1.1959639,0.7548344,0.52295196,1.3221145,1.192695,1.035627,1.1515565,0.9440453,1.3738797,1.1815546,1.0306579,1.1172719,1.300665,0.9484889,1.2385794,0.37750447,1.1514292,0.6294225,1.179655,1.0918871,0.5821637,1.1929624,0.9680429,0.22678298,0.7575896,1.3092588,1.0316739,1.4406791,0.81042355,0.41069704,0.70302016,1.246282,0.48022997,0.80278057,1.3831536,1.1095545,1.3415526,1.0150952,0.25594842,1.271778,1.1679983
arm,0.65474844,0.7519394,1.3877758,0.0,1.1758815,1.4387695,1.2284068,1.2907102,0.58555806,0.5137306,1.3924882,0.882887,0.4663167,1.2447368,0.6111441,0.8735663,1.3136477,1.4318403,1.3022829,0.64844584,1.2080339,1.2415829,1.3432231,1.1995499,1.4183456,1.3902737,0.99528724,1.0670903,0.85495096,0.8712843,1.0114604,0.8836847,0.7459452,0.8690319,1.0651735,0.65453786,0.8450008,1.3630464,0.80049545,1.1970079,1.0674894,1.0498286,0.98837996,0.9572232,0.87231755,0.55131316,1.377636,0.7797387,0.9704358,0.8292251,1.4178418,1.4093918,0.961408,1.4035339,1.2836828,0.84404534,1.2423204,0.8379905,1.2422068,0.6798183,1.1189107,0.5453658,1.4427996,0.76036155,0.9931068,0.913152,0.7053027,0.6892556,1.2107925,0.8973304,1.2614338,1.2810717,0.9954989,0.6444217,0.8742914,0.9090539,1.1232651,1.3154081,1.2150853,1.0298448,1.3357342,1.3797643,1.2872713,1.2837071,0.62038946,0.7351408,0.5025079,1.3999317,1.1607609,1.0944512,1.0859616,1.097636,0.85326993,1.0946896,1.4189745,1.1314554,1.1047149,1.3555689,1.2019013,0.9297203,0.7923779,0.93894213,0.7344372,1.2320199,0.5508022,1.059367,0.982533,1.1039273,0.7296252,1.2214563,0.8053452,1.4526786,0.9593069,1.4007189,0.90823597,0.98820055,1.3340173,1.179156,1.1226368,1.3217871,1.0517038,0.62087965,1.2882458,0.4596436,1.3963413,1.281527,1.4135413,0.66803586,1.4645644,1.2684343,0.847582,0.8820503,0.78017247,1.2096889,1.3671178,0.7221623,0.8441709
ball,1.2355068,1.0082316,0.64524376,1.1758815,0.0,0.4817255,0.8834261,1.082103,1.2158027,1.1587348,0.9722708,1.3649178,1.1058491,0.9556193,1.1491959,1.1159269,1.0228753,0.7490614,0.742063,1.1900827,0.77762896,1.0960236,0.84912133,1.0463487,1.0405238,0.95796967,0.6608015,1.1204857,1.2598059,1.0329975,0.9937647,1.1851103,1.0700953,1.2228122,0.8813211,1.0686349,1.171378,0.88248456,1.3223747,0.7931516,1.0266991,1.0662172,0.8914733,1.2102737,1.2070289,1.1728632,0.41497445,0.97359765,0.8175411,1.0640621,0.8285965,0.67279094,0.99418336,0.93982077,1.035672,1.0069611,0.8968518,1.0550491,0.7947764,1.0344433,0.7293651,0.9882156,0.7517927,1.1172119,1.1318123,1.1961973,1.0067861,1.2076492,1.0660583,1.2913599,0.91061914,0.6475521,0.9858153,1.0323286,1.2149348,1.109602,0.9323261,0.6163303,0.8943985,1.023647,0.7542535,0.50523144,1.2414865,0.91697615,1.1937127,1.218822,1.1618304,0.8955577,0.931134,1.0040185,1.0876192,0.7358882,0.96300715,1.1208544,0.80608624,0.59574425,1.1153808,0.95992255,0.6861023,1.2638388,1.1306115,0.9339284,1.0214236,1.0235549,1.2130315,1.0486002,1.1335697,1.0954242,1.1878066,1.1145794,1.0887456,0.8586618,1.0232284,0.9155998,1.048538,0.948372,0.9302621,1.1553867,1.0315187,0.69324136,1.0102216,1.1735799,1.1245668,1.1848595,0.69517595,0.6733453,1.0375892,1.0495868,0.9688666,0.69386697,1.1694217,1.1784338,1.2581239,1.153611,0.7874334,1.1881943,1.1909058
balloon,1.3217516,1.1316905,0.51439285,1.4387695,0.4817255,0.0,0.7904682,0.96097314,1.3600757,1.4928627,0.78352034,1.4449222,1.4608732,0.82891905,1.4664724,1.089748,0.87992823,0.44668937,0.49931282,1.2851841,0.7361134,0.8048668,0.52580774,0.9131141,0.808604,0.8888545,0.7593383,1.0891919,1.3154479,1.1378065,0.92365074,1.2818565,1.155385,1.1790453,0.9816059,1.4405257,1.271481,0.6362899,1.4283495,0.6316151,0.87544453,1.0300391,0.95278084,1.2164963,1.1846191,1.3536581,0.46124947,1.2295805,0.9930544,1.2292528,0.57989234,0.546294,1.134756,0.80871797,0.88098574,1.0751784,0.8932643,1.150945,0.6714058,1.2915597,0.6155458,1.202102,0.5996322,1.221499,1.0827727,1.1917988,1.0678222,1.4095949,0.8419563,1.2399986,0.71164143,0.6311229,0.9837273,1.3074584,1.1356155,1.1815512,0.78162885,0.5381379,0.74366724,0.94819915,0.63369554,0.4538905,1.0705072,0.75477767,1.4073172,1.5047204,1.2548665,0.6112633,0.70625925,1.0615171,1.1183767,1.0600877,0.81173414,1.0200942,0.5530726,0.7774597,0.97825325,0.80563575,0.6719335,1.2904978,1.1932033,1.0425901,1.1733983,0.7415068,1.4243338,0.96887165,1.2263153,0.8995606,1.2768042,0.86896384,1.1030678,0.6652991,1.057636,0.5959689,1.0844566,0.9073064,0.77088237,1.0448097,1.0853071,0.546509,0.96476054,1.3325944,0.95884067,1.3839483,0.4453596,0.6618291,0.76906186,1.0816219,0.6799283,0.68796164,1.190061,1.1701983,1.2566335,0.93016696,0.6383388,1.3002882,1.3059633
banana,1.129895,0.9781009,0.80651486,1.2284068,0.8834261,0.7904682,0.0,0.7826669,1.2357912,1.327169,0.8585249,1.1418166,1.2138441,0.869748,1.201922,1.2029678,0.81340647,0.8629098,0.65655094,1.1731411,0.53764963,0.96189123,0.9446405,0.90975654,0.93867695,0.9361261,0.81351066,1.1320267,1.2856902,0.4587896,1.1101792,1.2517366,1.1987714,0.86183536,0.90604454,1.3279523,1.0873775,0.7472587,1.098928,0.9142627,0.8393834,1.0411698,0.9744536,1.2628558,1.0861589,1.2619045,0.6800369,1.2450972,0.83515346,1.2256523,0.52986014,0.81463236,0.8676233,0.7411519,0.59868455,0.97196984,0.9961425,0.90831435,0.85669595,1.2954979,0.9811278,0.9413724,0.971099,1.2642872,1.1265526,1.1240742,1.0238901,1.3210094,0.67829627,1.1688931,0.9275967,0.7740649,1.0262996,1.0718616,1.0159742,1.0363317,0.78654677,0.96153426,0.6144999,0.8980987,0.8679074,0.81257576,1.0922487,0.9848567,1.3447018,1.2535584,1.201496,0.7848393,0.77155364,0.32755995,0.9613409,0.93022734,0.9022406,1.121555,0.6100751,0.83472544,1.0260662,0.93324053,0.92526066,1.1819469,1.065772,0.95598,1.2506465,0.7961992,1.3360136,1.0527564,1.0634048,0.85343534,1.3406665,0.9939877,1.165544,0.7870185,0.9977762,0.7033206,1.0347998,0.8003785,0.65938133,1.1323407,0.8451123,0.9506292,1.1670729,1.3445374,1.0794054,1.2369776,0.70991266,0.86369646,0.84864,0.92905295,0.81647587,0.95179933,0.80590177,1.154432,1.2373481,1.0511787,0.863494,1.3369077,1.2047255
basket,1.0195101,1.0877364,0.9279408,1.2907102,1.082103,0.96097314,0.7826669,0.0,1.2798593,1.210021,0.78498477,0.9458085,1.245728,0.8389568,1.0617864,1.2293241,0.6269027,0.7795065,0.65553,1.001948,0.66910285,0.9883766,0.7024848,0.76337874,0.61182684,0.7590704,1.205385,1.0637426,1.0571729,0.9790196,0.96708894,1.1334815,1.0907297,0.8599927,1.0194381,1.1990033,0.94961035,0.85402787,0.9762682,0.7733904,0.9247459,0.93398535,1.0017502,1.0970716,1.0654067,1.216326,0.86344635,1.2656088,1.1689091,1.0635512,0.7852246,0.7936455,1.0671847,0.74882317,0.6668516,1.0374999,0.9959289,1.0654432,0.7856462,1.3074768,0.8751027,1.2530898,0.8677715,1.2406697,1.1103684,1.0498738,1.1529971,1.2582376,0.8392042,1.0859053,0.94744086,0.7993809,1.0528538,1.2141385,1.0407271,0.99808216,0.87705255,1.0375363,0.805245,1.055463,0.9225824,0.97098696,0.7857474,0.7217407,1.2624617,1.1751862,1.1504362,0.8400951,0.96130717,0.92659396,0.8508935,0.9066363,0.9982986,0.86740935,0.66233325,0.9789009,0.63235784,0.59878016,1.0352238,0.97564393,0.9768205,1.1424853,1.2395966,0.7528446,1.308478,1.0103151,1.0461392,0.9840974,1.3019983,0.84744006,1.2402005,0.70514846,1.0934403,0.7013447,0.9828169,0.893084,0.7837567,1.0385385,0.8832364,0.987995,1.0030298,1.275003,0.97839594,1.1754682,0.7336649,0.9846543,0.86194456,1.1486107,0.78877646,0.8828858,0.77863073,1.1614224,1.2058287,0.97673947,0.8641989,1.3009725,1.0641081
bathtub,0.80425113,0.93116426,1.4317391,0.58555806,1.2158027,1.3600757,1.2357912,1.2798593,0.0,0.53591365,1.3140109,0.78421474,0.61373883,1.2733816,0.67275375,0.6531783,1.2214662,1.4179261,1.0853665,0.7546554,1.4044433,1.1404382,1.1851029,1.2470256,1.1399901,1.1717968,1.0422423,0.98390025,0.6904687,0.9860195,0.9661604,0.76992536,0.7097532,1.0700816,1.0775156,0.6147345,0.9798489,1.4298009,0.7337726,1.1730366,0.91527677,1.1120285,1.1849527,0.72607106,0.7731983,0.56323284,1.3992866,0.9397442,1.1113243,0.8204042,1.406311,1.4568951,1.1246538,1.2735842,1.3584611,0.9957729,1.3159287,0.9364225,1.3639607,0.8652247,1.2456758,0.8293769,1.5296173,0.8143786,0.8526481,0.88975763,0.6455997,0.67577565,1.235546,0.8260844,1.0887625,1.3518126,0.90574324,0.7506772,0.9008366,0.86179817,1.1369569,1.3640782,1.1754127,1.1822839,1.392683,1.4427689,0.9838025,1.2454776,0.60343313,0.6998759,0.7294754,1.344692,1.2168381,1.1861359,1.0818095,0.96081907,1.0615027,1.0109228,1.1994033,1.2679783,1.1400234,1.2266707,1.2302338,0.70248365,1.0252914,1.0533082,0.8236194,1.1815438,0.6668411,1.0773908,0.9436754,1.0490655,0.45104694,0.7964953,0.66440064,1.4473863,0.6367742,1.4214761,1.0302371,0.90962803,1.2540523,1.0215617,1.1994371,1.293649,0.92466897,0.71953773,1.1691027,0.5112842,1.1986977,1.3942488,1.1847136,0.80841047,1.3749683,1.2738261,0.81905055,0.8309343,0.72318786,1.0862254,1.4500835,0.67585903,0.7543731
bed,0.67113876,0.93807226,1.4181374,0.5137306,1.1587348,1.4928627,1.327169,1.210021,0.53591365,0.0,1.4095924,0.62637264,0.5534449,1.1351892,0.19898099,0.66942865,1.17827,1.4778888,1.3292655,0.61747026,1.3613696,1.2344494,1.2612257,1.0937248,1.2919317,1.2985867,1.2477138,0.9178153,0.64870566,1.14149,0.9195731,0.77574944,0.61668384,1.1506107,0.9691886,0.23031276,1.0172415,1.554027,0.55133647,1.186896,1.0871675,0.8521286,0.998622,0.86376727,0.8844966,0.44528043,1.4405811,0.73906815,1.2284745,0.77586436,1.4098668,1.3543475,1.1176379,1.448689,1.2655121,1.0062203,1.3204485,0.9506802,1.3278086,0.6999093,1.3079064,0.97038645,1.3894572,0.805223,0.860862,0.73242176,0.7817892,0.6395036,1.4774474,0.8732777,1.2282624,1.278547,0.9394546,0.7061068,0.9297748,0.83609647,1.2419361,1.4361715,1.246627,1.3049877,1.4002925,1.4632955,1.0431963,1.2270557,0.49720305,0.5888972,0.6073209,1.5276926,1.4296324,1.262037,1.0291802,0.8208152,1.1744034,0.9261887,1.4255047,1.253934,0.9766411,1.2229192,1.2659909,0.79793596,0.849668,1.0816424,0.73693407,1.2818867,0.50843024,1.0138873,0.9551296,1.1230289,0.5588673,1.1826172,0.6791763,1.5389146,0.8432045,1.4311527,1.0513263,1.1030178,1.4817616,1.1152288,1.2219973,1.3439339,0.89851373,0.57977027,1.2182983,0.37195396,1.258217,1.4518877,1.4091628,0.91337186,1.4085541,1.1075047,0.71842676,0.8213209,0.80251014,1.1852715,1.5125015,0.6179397,0.72441894
