,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.236146,1.5497605,1.1158497,0.44751668,1.4420176,1.4109236,0.6905156,1.2178633,0.7616884,0.6118289,0.35104883,1.574308,0.8116629,0.46923018,0.59202754,0.369514,0.8896285,0.9050188,1.6572807,1.599351,0.8342935,1.4616578,1.0986109,1.5629838,0.98339796,1.473613,1.3199428,1.1968901,0.6481138,1.0715581,1.574098,0.7193581,1.0004197,1.0850946,1.0158699,0.87123847,0.51219785,0.8282431,1.62798,0.5747146,1.6902573,1.0301837,0.45548028,0.85755706,0.8672702,1.3021777,0.66368,0.9713337,1.500641,0.5972886,0.782583,1.3328767,0.7663915,1.5071292,1.1913092,1.0034581,1.5502468,0.7943068,0.7253238,0.7876538,1.3172264,1.1029525,0.684088,1.424851,0.7343225,1.3293114,0.79505324,1.4764926,0.73834294,0.49888605,0.793828,0.5606599,1.0088416,0.46401227,1.3269755,0.90519905,1.5207524,0.560253,0.90010035,1.0527298,0.43519807,1.2764332,1.0534065,1.4592432,1.5766447,1.2961137,1.480129,1.2624955,1.4961475,1.1885622,0.459643,0.4916426,0.439681,0.58095425,1.5547303,1.5309782,1.1565742,1.3332331,0.5004644,0.99290276,1.1721108,1.0805751,1.4750237,0.69324833,1.4508166,1.018439,1.4200095,1.1483687,1.0471767,0.9453486,1.4664161,0.89239836,0.68615615,0.55845857,0.8983,0.56561345,1.020995,0.74833345,1.0694603,0.85209775,1.5932921,0.45178026,1.4391595,1.1892744,1.5292124,0.7917831,1.2623262,1.3240299,0.849653,0.5540785,0.73319083,0.49483722,1.5248256,1.382565,1.4087226,1.4359045,1.365147,1.1980095,0.6570482,0.76753706,1.1371216,1.1965412,1.6485977,0.68230665
ankle,1.236146,0.0,0.8297961,1.0007675,1.0303009,0.78157735,0.77040094,1.1239737,0.9889685,1.3748288,1.1792632,1.3566788,0.7840954,1.2534733,1.0736034,1.0883772,1.2609955,1.1448183,1.1006662,0.7541995,0.80975163,1.2159116,0.64538455,1.174381,0.6927257,0.9233251,0.85626566,0.985112,0.7766063,1.1681416,1.0301073,0.85201705,1.3622061,1.0346187,1.0668712,1.0420958,1.1116142,1.3732727,1.0339636,0.72658336,1.352745,0.7790089,1.0095786,1.0225569,0.7593838,1.3311675,0.96316504,1.1270701,0.97406983,0.7019899,0.9904151,1.2111964,0.49482024,1.2526753,0.7551941,0.9478772,0.32056844,0.76710296,0.972413,1.1531765,1.2878919,0.7727255,0.36924934,1.2763298,0.761621,1.1872271,0.8199711,0.7908427,0.6038383,1.3069263,1.1044008,1.2436206,1.2657261,1.2090275,1.0806379,0.8291446,1.1585972,0.81671953,1.2268511,1.0913222,1.0138538,1.000719,0.9598656,0.98411334,0.7160655,0.71266395,0.6391313,0.64213824,0.8719659,0.81602544,1.051239,1.2184817,1.1414604,1.1417444,1.2283983,0.86230433,0.8949152,0.879511,0.75872564,0.9935089,0.8484664,1.0407324,1.0869697,0.8467678,1.0926379,0.74226296,0.8378631,0.8740144,0.79237336,1.1572521,0.9405371,0.6824155,0.86022246,1.1669409,1.1980481,0.82265043,1.017362,1.1340337,1.3251705,1.1454833,1.1341242,0.4912663,1.3988293,0.80553305,0.22961116,0.7688045,1.367682,0.893524,0.8029243,1.0853788,1.1779072,1.3623996,1.4757214,0.7424344,0.33327568,0.768118,0.76741123,0.66526425,0.8884644,1.3644276,1.3245262,0.9739198,1.0128719,0.65789217,1.3796288
apple,1.5497605,0.8297961,0.0,0.95786417,1.3937881,0.28975344,0.47288084,1.174734,1.0372959,1.4553906,1.2114171,1.495012,0.41209853,1.4157774,1.438462,1.2169836,1.4933248,1.1881673,1.1103352,0.27093267,0.4688648,1.3917147,0.41887283,1.1642373,0.6668024,0.84402287,0.8656177,0.86628675,0.8273523,1.2373937,1.2295033,0.28751224,1.3205228,1.1351715,1.0705304,1.0838898,1.0554533,1.417416,1.1876764,0.2428106,1.4989555,0.30020803,1.1441,1.3691158,1.173501,1.3232716,1.1124707,1.318872,1.072331,0.44180787,1.2702526,1.1179955,0.7165544,1.282985,0.49451387,0.91301215,1.0864586,0.6493783,0.95875955,1.2202299,1.3135593,0.7630525,0.9851409,1.1452987,0.60297525,1.2165977,0.5509054,1.2715126,0.5296197,1.1834308,1.2926185,1.2920065,1.3840836,1.103866,1.444104,0.9098588,1.2586757,0.586874,1.2934434,0.69364905,1.0819551,1.422579,0.9150996,0.9200481,0.4214642,0.18755794,0.8060504,0.63649344,0.5920955,0.103105664,1.2215307,1.351539,1.4281862,1.464771,1.3349617,0.4573195,0.39874423,0.91922164,0.6526684,1.2604153,1.0629327,0.901848,1.0440375,0.6457895,1.2749534,0.31268924,1.173412,0.91937244,0.7510014,1.2512891,0.9178564,0.5595689,1.2472116,1.2436072,1.3439767,1.1907716,1.4000874,1.131127,1.3242012,1.2066494,1.140362,0.39888,1.364079,0.7505113,0.8740057,0.6197388,1.284572,0.8550524,0.7055459,1.3747503,1.3656244,1.241917,1.4814498,0.40836477,0.5972611,0.6204871,0.4658512,0.71635395,0.6230849,1.4252136,1.1542257,1.0706971,1.060976,0.28394723,1.3237824
applesauce,1.1158497,1.0007675,0.95786417,0.0,1.1650642,0.8099433,0.81441456,0.86456305,1.0357236,1.0709162,1.0983536,1.2204607,1.0908558,1.1281117,1.1369555,1.0329782,1.2139164,0.9342717,0.7736124,0.96151876,0.85017073,0.9597713,1.0186467,1.0802617,0.91545796,1.0296685,0.9936234,1.0311433,1.181596,1.1737936,1.1241004,0.79420054,1.1464651,1.2102952,0.6750593,0.904471,0.94645417,1.2225251,0.9894787,1.0204374,1.1706595,0.9282906,0.9030022,1.0705252,0.92825556,1.1273901,1.0143431,1.126722,1.1400032,0.8962287,1.1624131,1.0838387,1.0527,0.94952637,1.010045,0.94453895,1.1478997,0.88263834,0.9515955,0.85629594,0.86447775,0.97554296,1.0235945,1.0222619,0.66328543,1.1398041,0.9134644,1.0107366,1.0676467,1.0663896,1.1744399,0.938503,1.2608919,0.8839582,1.2582881,0.9324191,1.1444623,1.0174619,1.0942662,0.9763485,0.90365654,1.0828855,0.9493724,0.94542027,1.0537199,1.0226821,0.9579195,0.92936856,1.150618,0.9169406,1.0548087,1.0080143,1.1726909,1.2632864,0.8644393,0.98267627,1.0240432,1.1324868,0.9876124,1.0953465,1.0994451,0.8667089,0.96498597,0.7203833,1.1285971,0.9344855,1.1217248,0.9407716,1.0331181,0.99055463,0.9232873,1.0813766,1.162782,0.89806235,1.2063274,0.9564592,1.2235444,0.96419996,1.0677586,0.9032507,1.024638,0.997206,1.1047796,0.8954501,1.0162013,0.8790005,1.0195048,1.0023466,0.7369847,1.0203602,1.2358242,1.0580815,1.0696633,0.8707083,1.0909165,1.080122,1.1045885,1.014445,0.8535085,0.88803315,1.027971,1.0605614,1.1479508,1.0133457,1.0736071
arm,0.44751668,1.0303009,1.3937881,1.1650642,0.0,1.4337381,1.3656775,0.9732655,1.3261167,0.79727674,0.77895916,0.47705686,1.4512988,0.93151426,0.49243987,0.9568391,0.6103877,1.1239998,1.167766,1.5225532,1.5517567,1.0111827,1.3901045,1.1566328,1.5774943,1.087459,1.4430217,1.3651524,0.9205234,0.66234285,1.2020801,1.4684758,0.8828825,0.9318574,1.108927,1.0737169,0.92586935,0.5763876,0.8197799,1.4233954,0.8294759,1.5377085,1.1455355,0.6175156,1.1053342,0.8114625,1.181716,0.68446696,0.8922406,1.342622,0.6139928,0.6095922,0.91583616,0.9037812,1.4540101,1.2242749,0.6922653,1.4459223,1.2472388,0.8157234,0.7825123,1.0922438,1.0699956,0.7490447,1.361949,0.60167193,1.2993367,0.42440832,1.4300239,0.85061705,0.2577634,0.9339126,0.5458987,0.9823839,0.37097394,1.2207286,1.0419286,1.4844863,0.7859529,0.9866725,1.0677003,0.54855067,1.3201933,0.9547769,1.3861359,1.3098199,1.4244726,1.4182249,0.91438127,1.3414857,1.0530319,0.6406295,0.47412467,0.39933634,0.9013842,1.3741838,1.321449,1.164053,1.2403479,0.4060954,1.1599088,1.2467724,1.1660359,1.5334648,0.45493138,1.4026396,1.2230659,1.3282115,1.121876,1.0011342,1.0778508,1.3668818,0.8642961,0.810442,0.3810808,1.057626,0.37492847,1.0373528,0.78479993,1.0257158,1.110322,1.5312798,0.7184354,1.3657217,1.0058329,1.4517972,0.8614788,1.2264736,1.3062549,1.0771537,0.4192618,0.7909827,0.681647,1.5554419,0.97464406,1.1684467,1.1426779,1.4598942,1.4093845,0.81943154,0.85190725,1.1987616,1.2401552,1.451644,0.7435586
ball,1.4420176,0.78157735,0.28975344,0.8099433,1.4337381,0.0,0.15958917,0.9784396,1.0219208,1.4475818,1.2305021,1.4912174,0.7432984,1.3908821,1.4132849,1.1442326,1.4390191,1.1041609,1.0937909,0.46499574,0.505365,1.295437,0.5236783,1.1334372,0.61697435,0.8560543,0.9220248,0.972338,1.056589,1.3135315,1.2309601,0.35192585,1.3612841,1.272502,0.83279896,0.98417175,0.7932176,1.4479468,1.1754816,0.55881476,1.4673444,0.484115,0.9650906,1.2477767,0.97665775,1.38448,1.1403,1.3278632,1.1456766,0.3472308,1.3474743,1.1857208,0.91004,1.2583355,0.674853,0.874714,1.1116418,0.71531343,0.7972905,1.1590726,1.1690489,0.9648138,0.8815742,1.1552984,0.4797868,1.2788595,0.61859405,1.282238,0.62181824,1.2191181,1.402653,1.1851268,1.457899,1.0388471,1.4732938,0.99540824,1.2989702,0.65301085,1.2610135,0.48333,0.9447709,1.2217345,0.9236269,0.933287,0.5282568,0.48825836,0.768052,0.7317761,0.69451153,0.21767843,1.2977638,1.2828501,1.4230975,1.5009687,1.2264472,0.66762316,0.67909086,0.9991216,0.71699065,1.2360098,1.0433499,0.9535045,0.9910813,0.55890834,1.3732228,0.17843187,1.0718411,0.97087544,0.65739226,1.2801472,0.81094074,0.67732567,1.2243605,1.1050272,1.3878341,1.0342481,1.437047,1.0630355,1.3282568,1.137362,1.0609529,0.546159,1.3390968,0.65752417,0.8407177,0.693817,1.1611736,0.90230566,0.5131997,1.2984368,1.3817683,1.1483254,1.4327171,0.36177862,0.80144906,0.8539065,0.7336448,0.78188,0.41522634,1.2918177,1.1913664,1.1210713,1.142205,0.6014632,1.4016397
balloon,1.4109236,0.77040094,0.47288084,0.81441456,1.3656775,0.15958917,0.0,1.0119821,1.03996,1.3308039,1.2810774,1.4310851,0.7812392,1.3622627,1.3152022,1.0962871,1.3972143,1.1660099,1.0963203,0.5858483,0.52735263,1.2649482,0.62378204,1.1063286,0.6830853,0.8295201,0.9275131,0.972791,0.9869598,1.2538745,1.2054976,0.45112884,1.3399473,1.1666989,0.7687122,1.0465978,0.8203494,1.3958726,1.1133407,0.66674006,1.4028839,0.5665225,0.9874287,1.2597431,1.015895,1.2833884,1.0512507,1.2903068,1.0879979,0.2934401,1.2687,1.1522056,0.824915,1.2727227,0.7454761,0.9366303,1.0373647,0.7215472,0.8676031,1.1514562,1.0606314,0.92449284,0.8713198,1.2093053,0.5031321,1.2242461,0.69368374,1.2072048,0.65578425,1.2214212,1.3579575,1.1720551,1.3665831,1.0387771,1.3850634,0.9463813,1.239831,0.6731055,1.3032708,0.4519834,0.9491876,1.218331,0.97740847,0.9489187,0.64737535,0.5347811,0.7560185,0.819378,0.70166534,0.3605057,1.1595834,1.3273878,1.370503,1.4078585,1.2276692,0.73126024,0.7374605,1.0011896,0.70022553,1.2013552,1.0058647,0.98855895,1.093375,0.5667784,1.3131547,0.37536782,1.0925851,0.947431,0.6496756,1.2002515,0.84974885,0.6821144,1.140744,1.1577184,1.3262829,1.0860395,1.3567884,1.1330444,1.2522676,1.0437933,1.0853792,0.65548986,1.3724799,0.7027642,0.8190259,0.6926576,1.193036,0.9527823,0.59874886,1.2769871,1.2948651,1.1684353,1.4034244,0.4804666,0.7527796,0.76893234,0.7755657,0.78455186,0.6161226,1.2753713,1.225512,1.1142505,1.131913,0.69274384,1.3072793
banana,0.6905156,1.1239737,1.174734,0.86456305,0.9732655,0.9784396,1.0119821,0.0,0.87444127,0.9227234,1.0207738,0.8903741,1.2219547,1.036101,0.91248167,0.8893679,0.83884126,0.81103677,0.85403967,1.2383901,1.1015826,0.86452305,1.1403701,1.0663596,1.1115727,1.0630046,1.1141634,1.2097875,1.1074114,1.088026,1.046257,1.187937,0.96771556,1.1694769,0.85668004,0.8267703,0.8151859,0.9442793,0.78519034,1.1754951,0.7418767,1.2632949,0.9546777,0.89075017,0.88408655,1.0060569,1.1058657,0.95464396,0.9715418,1.1442895,1.081937,1.0895151,1.1948076,0.9207237,1.1238939,0.9894888,1.1214843,1.1016948,0.68632084,0.9054191,0.87912595,1.1908449,0.8988116,1.0279909,0.8538535,1.0763559,1.069644,0.9424219,1.1752065,1.1486799,1.05114,0.81295145,1.0514696,0.92458963,0.98479414,1.0033296,0.8800237,1.2824636,0.79511464,0.70436144,1.0103754,0.5897073,1.1365552,0.8760592,1.1689303,1.3225417,0.95041144,1.1221935,1.1641613,1.1692685,1.097623,0.82282495,0.96521705,0.9873662,0.78601575,1.1319385,1.1464748,1.2178534,0.90121025,1.0096133,0.78478765,0.930335,0.9699581,0.9430729,1.0631435,1.0926058,0.83293587,1.1547723,1.0554264,1.050749,1.1262357,1.2673099,0.9835437,0.42274183,1.034267,0.93791604,1.0183473,0.8456424,1.0953426,1.0183336,0.773318,1.1983247,0.8693408,1.1754444,1.0826333,1.1187773,0.95207244,1.133874,0.9140844,0.88760483,1.0678415,0.9878734,0.8915594,1.0265104,1.2744563,1.1572542,1.1848739,1.026472,0.69337344,0.80044085,1.0397303,0.9760294,0.98877764,1.3559446,1.1043104
basket,1.2178633,0.9889685,1.0372959,1.0357236,1.3261167,1.0219208,1.03996,0.87444127,0.0,0.992572,1.0900168,1.1161653,0.78914344,0.79545045,1.233616,1.0574491,1.0428468,0.9728847,0.79211444,0.82882833,0.72272676,0.56322145,0.90079856,0.76270574,0.5734439,1.0347669,0.46845138,0.8074317,1.0453273,1.1932143,0.5302332,0.97529364,0.9492483,1.0300215,0.99087626,0.7382728,1.0975124,1.0407709,1.06567,0.8907815,0.5843395,0.7967947,0.86491114,1.1468563,0.8565196,1.0335684,0.6339807,1.0165288,1.0485847,0.9736845,1.1743969,1.3452001,1.1095599,1.0300406,0.8886252,0.84096456,1.063962,0.77625036,0.97601366,1.1351271,1.1580299,1.077623,0.89769447,1.2395612,0.94341564,1.3079507,0.97517073,1.2535679,0.878992,1.2182727,1.4174525,1.0783739,1.1979547,0.96783394,1.2891939,0.8930149,0.5408779,0.7851865,1.0813993,1.1850758,0.9055351,1.1634903,0.8589568,1.146951,0.8651078,1.078631,0.6841321,0.7610544,1.16925,1.0621881,0.6504204,1.1365663,1.1850182,1.2665181,1.0168433,0.91495395,0.9416323,1.018363,1.0466669,1.3761847,0.6003399,0.7972801,0.87061715,0.77317536,1.2651132,0.95265424,0.5127748,0.590832,1.1466726,0.8809153,1.1605753,0.952677,0.9243081,1.098379,1.3014901,0.9831386,1.1930962,0.95247716,1.1982614,0.9802545,0.9688211,0.8205335,1.1555159,0.75433654,0.9267441,0.8646581,1.132077,0.967809,0.8332638,0.68753314,1.301835,1.1907456,1.0936139,0.80799997,1.1264329,1.0466428,1.0487841,0.6617237,0.85068834,0.9914248,1.204215,0.8537282,0.608886,0.93256146,1.1443592
bathtub,0.7616884,1.3748288,1.4553906,1.0709162,0.79727674,1.4475818,1.3308039,0.9227234,0.992572,0.0,0.7822664,0.52912176,1.2768619,0.6637474,0.8625811,1.0413883,0.64496565,0.81224275,1.0104551,1.3927526,1.1406753,0.6829681,1.4338522,0.9356815,1.2451136,1.1516149,1.062265,1.0523089,1.1094494,0.7043833,0.8875029,1.3454955,0.6171058,0.9102515,0.99208724,0.96365726,0.93532795,0.5372242,0.78271383,1.4021895,0.59741855,1.3137736,0.96228874,0.8881826,1.1321223,0.33906567,0.75565976,0.888792,0.9837675,1.3006182,0.77930754,1.0136808,1.2827427,0.7929169,1.399918,1.1477823,1.2017348,1.2674644,1.2437733,0.8940268,0.7964638,1.271639,1.3122468,0.89164406,1.3080221,0.94219786,1.3602843,0.983492,1.4253473,0.82810456,0.86481786,0.8126863,0.78041095,0.9022306,0.7535422,1.1150479,0.81553596,1.2598087,0.9270452,1.105379,0.885833,0.93915445,1.1423471,1.1493586,1.4322551,1.4004225,1.2142935,1.3547266,1.1899301,1.4562447,0.71541333,0.7644386,0.7988124,0.73296046,0.8109437,1.2954223,1.2754383,1.0773834,1.2727882,0.8657248,0.9508839,1.0772512,0.9776805,1.1938353,0.8823738,1.4853535,1.1217606,1.0303782,1.2763331,0.62368804,1.0647892,1.413131,1.0402051,0.8666016,0.82642996,1.1272792,0.7613961,0.96117806,0.34012568,0.36839116,0.89767957,1.4757915,0.63556594,1.1195098,1.2771304,1.2631178,0.81069636,1.1461624,1.3140585,0.8509889,0.83170235,0.8410534,0.58469,1.2884862,1.372054,1.2499447,1.2249608,1.2187648,1.2706884,0.6638274,0.90503305,0.9901456,0.9969824,1.4265113,0.6234637
