,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2424306,1.355941,0.5148356,1.1982702,1.242845,1.296508,1.3512838,0.60167825,0.56235737,1.4061193,0.839311,0.7695786,1.0127078,0.611352,0.8233776,1.3288149,1.4880729,1.3918709,1.0724999,1.0895455,0.9921397,1.4633348,1.20122,1.5516648,1.2063315,0.98269624,0.41135025,1.062975,1.1649865,1.397184,0.8936603,1.1549578,0.9876719,0.6738213,0.90939254,1.4706197,0.8985204,1.5133544,1.2519203,0.2719035,0.9986971,0.83138907,1.1257861,0.7364538,0.92044926,1.3606424,0.5067583,0.71474946,1.0475178,1.0122088,1.3519207,1.0372325,1.3963027,1.1253672,0.71893203,1.1122823,1.1905129,1.1335508,0.37124503,1.2305994,0.7194388,1.425061,0.7264168,0.7673531,0.70754576,1.1823415,0.76309764,1.1729988,0.9900103,1.4264338,0.876768,1.1451072,1.0399426,0.76898366,1.0491701,0.9297956,1.2386496,1.4748836,1.149031,0.7058048,1.2817111,0.95380265,0.48061126,0.7192856,0.6800897,1.1173773,1.4310336,1.4079845,0.9622471,0.87183243,1.0819871,1.0525196,1.2109598,1.3079321,0.76378226,1.2836986,1.0973414,1.372055,0.76021063,1.0812309,1.2209294,1.1301093,0.8258899,1.1827788,0.60041183,1.0876093,0.92373437,1.42697,0.7133888,0.84245443,0.743978,1.4796177,0.867808,1.4028783,1.194499,1.1503888,1.3368721,0.7329795,1.3623585,1.0935419,0.67890596,0.5920837,1.4733684,1.2228897,1.140872,0.79939365,1.4772205,1.4263226,0.7672943,0.69154596,1.1921662,1.2793822,1.3111861,0.65637773
ankle,1.2424306,0.0,0.66626316,1.0862019,0.8242604,0.73526543,0.86201775,0.93589914,1.2521946,1.4178433,0.76038826,1.3106104,1.2050796,0.78400546,1.3887053,1.0561906,0.8443447,0.6749392,0.83142066,1.2511598,1.0435787,1.0803155,0.79279006,0.9384512,0.68078786,0.8844741,0.89091957,1.0923164,1.1525469,1.1220309,0.538595,1.2078481,1.0642828,1.2539622,1.4060996,1.0056546,0.5912127,1.2793862,0.6230185,0.8524424,1.23031,1.0371221,1.2009733,1.1329026,1.121682,0.85202837,0.59875476,1.1180878,1.2595632,0.7733522,0.66572213,0.7141041,0.8273241,0.75409806,0.8027318,1.1886001,0.7412854,0.8126048,0.798245,1.2239759,0.74099624,1.1570057,0.6497687,1.1199993,1.1886792,1.3225374,1.0874022,1.1776887,0.90123886,1.1831837,0.52006435,1.2386318,0.9868663,1.1867402,1.1624446,1.0300837,1.0382576,0.6649458,0.71966696,0.7783313,1.0668494,0.66536456,1.3197808,1.0989243,1.1587664,1.2383385,0.9850165,0.58616626,0.6219155,1.1659604,1.0748669,1.0497141,1.1440605,0.9416905,0.89886445,1.1446267,0.73824185,1.2133821,0.77246094,1.3510599,1.0378152,0.6713207,0.875336,1.0388143,0.8857331,1.2920454,1.0021433,1.1459062,0.68615574,1.2615606,1.3107182,1.106594,0.51677525,1.079248,0.63108665,0.50284064,0.9856754,0.82602537,1.190093,0.5917839,1.1149895,1.3849356,1.491078,0.58767754,0.568218,0.74225277,1.2271988,0.66432726,0.8018898,1.4036038,1.2382752,0.87261236,0.88756126,0.63874495,1.1830091
apple,1.355941,0.66626316,0.0,1.3840044,0.7059518,0.5358778,0.428378,0.89397025,1.4870071,1.5073478,0.73228616,1.5112619,1.4071013,1.0484006,1.5224738,1.1707435,0.79655117,0.26644474,0.83330035,1.3815494,0.7766024,1.1054626,0.7302557,0.7301705,0.60016716,0.7319383,1.1738607,1.2163658,1.2666472,1.0067576,0.35898703,1.3558123,1.031825,1.3708237,1.4786384,1.170232,0.34502697,1.3840578,0.35360563,0.970836,1.3335427,1.0420623,1.3408192,1.2380273,1.2724074,0.8318994,0.231125,1.1823916,1.1384728,0.80731833,0.77750087,0.35098493,0.8750961,0.5176532,0.74847174,1.3773391,0.65601873,1.0044609,0.75765234,1.2952814,0.49837255,1.2932763,0.49455363,1.263829,1.3620726,1.3778689,0.8085921,1.397993,1.1004264,1.274928,0.50207025,1.1541152,0.6777549,1.1834663,1.3798414,1.2061318,0.94018656,0.33539295,0.737885,0.84071994,1.1076344,0.22631538,1.3654312,1.1887503,1.3236926,1.3936534,1.1786419,0.49465787,0.527109,1.1583629,1.1949086,1.153113,0.90771526,0.7350483,0.8156951,1.1733441,0.30627537,1.2882025,0.645651,1.379183,1.0294602,0.6408755,0.8842866,1.1902649,0.69270945,1.3756043,1.1634289,1.2764394,0.56028366,1.3849723,1.4262578,1.3797182,0.27496123,1.2922375,0.58552057,0.9678035,0.8026769,0.79232085,1.3626678,0.33941334,1.1818514,1.3610985,1.5412233,0.36742842,0.47563958,0.8856315,1.4942833,0.68009454,0.54939276,1.4052284,1.1840875,0.730545,0.91264695,0.48399246,1.3757207
arm,0.5148356,1.0862019,1.3840044,0.0,1.2883494,1.3404291,1.369067,1.2939498,0.47840327,0.5202104,1.2278515,0.79950047,0.44649255,1.0953462,0.49920815,0.7013904,1.3995807,1.4824259,1.4339368,1.115553,1.3161104,1.0576826,1.4573077,1.3284249,1.4078765,1.20135,0.96184134,0.5527908,0.98268366,1.2197275,1.3750331,0.8891061,1.1215262,0.87615836,0.6338209,0.9963502,1.3493237,0.8968243,1.4723822,1.3181903,0.48986578,1.0510064,0.7787844,1.1264973,0.42453408,0.9657932,1.3899567,0.68502074,0.8442564,0.94569165,0.92067426,1.355072,1.0417732,1.3295232,1.2322026,0.7636732,1.1532507,0.97662216,1.2691454,0.5763801,1.3450129,0.57606316,1.4415144,0.70722866,0.8988762,0.6439582,1.3487544,0.5012752,0.9447435,0.9689267,1.3879641,1.1089835,1.3329756,1.0342538,0.5725279,0.959322,1.1886941,1.2183323,1.3415518,1.0043994,0.9621783,1.287473,0.9562539,0.68277323,0.4257666,0.5639033,1.1662233,1.3113499,1.271289,1.0807576,0.64612406,1.0529401,1.2574596,1.2328651,1.4217795,0.59196126,1.3637671,1.1529949,1.3639214,0.82431626,1.1199025,1.2274143,1.2336867,0.58141255,1.3220792,0.48046315,1.0995182,0.70969033,1.3608527,0.7150796,0.8646485,0.7759291,1.3636453,0.76334834,1.3384144,1.0651772,1.3245511,1.2594396,0.8086431,1.3270528,1.0905282,0.64206165,0.70015156,1.5389891,1.1062748,1.0438586,0.6566962,1.3099996,1.4640045,0.8337276,0.7147919,1.197916,1.1711173,1.2217631,0.6798242
ball,1.1982702,0.8242604,0.7059518,1.2883494,0.0,0.1099956,0.74044114,0.98092395,1.2314322,1.1658869,1.0802826,1.1749668,1.2299912,1.0633695,1.2245486,1.0854825,0.8559109,0.75901365,0.64399993,1.0825865,0.9201439,0.89887893,0.7136012,1.0825806,0.9356617,0.7916519,1.1437047,1.2841989,1.1827366,1.0140915,0.63644755,1.159093,0.89928216,1.155161,1.2250817,1.2231435,0.9119489,1.1703401,0.70818216,0.707597,1.2171797,0.8853976,1.2463899,1.0348313,1.1632429,1.2001401,0.6937767,1.0463594,1.1184243,1.0749497,1.0759484,0.84897375,1.2054815,0.95649505,0.96972597,0.9853928,1.1062784,1.0233892,0.9795611,1.235532,1.0057878,1.2016151,0.6325791,1.1642799,1.0735354,1.2071745,0.8568576,1.3084677,1.1910045,1.1670147,0.7410141,1.1472456,0.6389958,1.0911753,1.1328883,1.0812334,1.1386913,0.94009125,0.90717614,1.0582045,1.1814144,0.8416452,1.2278099,1.133805,1.1435602,1.2559236,0.96913207,0.9692196,0.95057386,1.0531086,1.1128714,1.017409,0.9766891,0.8631905,0.7067751,1.171735,0.6548581,0.937652,0.7145236,1.2727512,0.85336477,0.79650676,0.63004476,1.0945197,0.89909416,1.2564747,0.9824054,1.1977595,0.79313713,1.1932367,1.1336453,0.99710435,0.8107438,1.1356249,0.6188661,0.8052817,0.7774399,0.93831825,1.0851382,0.80960417,1.0155696,1.2347648,1.2110214,0.62937635,0.9522508,1.1146718,1.2564458,0.9109371,0.7233131,1.125133,1.083718,0.80746865,1.0399021,1.0226794,1.2850996
balloon,1.242845,0.73526543,0.5358778,1.3404291,0.1099956,0.0,0.6874274,1.0604055,1.3071567,1.2993901,1.0030437,1.3046794,1.3150951,1.0065777,1.3410172,1.085131,0.9020355,0.66239184,0.69673026,1.2437992,0.9667322,0.9476434,0.7523777,0.8974645,0.8997539,0.86055213,0.9991997,1.2679515,1.289449,1.0344579,0.5210529,1.2498643,0.968984,1.243092,1.3441193,1.0928217,0.74408096,1.2983031,0.63197255,0.715119,1.261012,0.9680695,1.3166759,1.0789481,1.2471126,1.0269212,0.4927411,1.081938,1.1162314,0.89376926,0.9179437,0.74141,0.9985573,0.8557038,0.89650357,1.0898414,0.9551799,1.0410061,0.7182127,1.2231644,0.8103871,1.1589918,0.6208919,1.2096716,1.1684964,1.2920629,0.9137006,1.3300124,1.1252743,1.24685,0.6912335,1.1647193,0.5848204,1.0816982,1.1580815,1.1238986,1.0078745,0.69027257,0.90074205,0.97846055,1.0745791,0.6176127,1.3532467,1.1048657,1.2580805,1.3439641,1.0037072,0.82161045,0.8302839,0.9919548,1.1154956,1.0937195,1.0613178,0.92632526,0.73586047,1.175238,0.51472074,1.1460195,0.75371826,1.3517141,0.84433466,0.7263435,0.7135924,1.1779788,0.9345909,1.3178399,1.0520434,1.2770289,0.7992913,1.2662628,1.1875701,1.1224297,0.6719154,1.1491191,0.55722266,0.8050215,0.8071785,0.90970916,1.1725621,0.5683076,1.136291,1.2911824,1.3269378,0.53418607,0.73271924,0.9326361,1.2640653,0.89387625,0.72570974,1.1933275,1.1464356,0.90361845,1.116423,0.8394455,1.3373111
banana,1.296508,0.86201775,0.428378,1.369067,0.74044114,0.6874274,0.0,0.88457906,1.3879219,1.4224775,0.8485358,1.403775,1.3060257,1.0122665,1.4135716,1.1194814,0.7066496,0.5386015,0.6880383,1.2334509,0.624375,0.9759667,0.8132376,0.85771537,0.8273152,0.80142176,1.0540018,1.3155031,1.2253581,0.7690863,0.6694493,1.3871503,0.92846674,1.1728475,1.3916485,1.1026647,0.57966685,1.2559907,0.5913021,0.79116756,1.3461049,1.0128996,1.3625989,1.1708461,1.2465776,1.1270981,0.5175778,1.1436278,1.1892662,1.0342735,0.9411805,0.52333754,1.0277277,0.61581,0.67423695,1.2690601,0.953207,0.9318407,0.8253136,1.3372079,0.67322403,1.2156384,0.7024994,1.3524747,1.180515,1.4048567,0.7510281,1.4102933,1.0119673,1.1823967,0.68708664,1.0778898,0.4523614,1.1734867,1.249228,1.1715707,0.892472,0.8263394,0.78196883,0.9427996,1.1540859,0.6574995,1.295526,1.1348007,1.2777503,1.4135976,1.0910952,0.69810694,0.7216287,0.9365353,1.1884422,0.9346741,0.7322155,0.6410054,0.60575306,1.2042284,0.486786,1.1517434,0.7255044,1.3151641,0.9697062,0.8050555,0.8788401,1.1663325,0.50561446,1.429991,0.9688373,1.3370395,0.5474808,1.3947697,1.2089549,1.143261,0.5821256,1.2062923,0.65075207,0.99095684,0.7822293,0.68956065,1.2260442,0.6138382,1.1186519,1.3438714,1.3702948,0.49039674,0.8676515,0.9891924,1.31706,0.8357483,0.5857762,1.1718692,1.0007247,0.77751195,1.0498838,0.82202244,1.3649247
basket,1.3512838,0.93589914,0.89397025,1.2939498,0.98092395,1.0604055,0.88457906,0.0,1.2188139,1.1524096,0.8247297,0.9212622,1.1253657,0.96433794,1.1383488,1.1620939,0.75735646,0.79382163,0.78890586,0.6550131,0.91732055,1.0287629,0.6215929,0.9297922,0.6124621,0.9665551,1.2244735,1.2244669,0.76592505,0.90575683,0.9060932,1.0111318,0.88477594,0.80060446,1.0598041,1.1467819,0.900818,0.62404263,0.7754058,0.878898,1.3051912,0.9759838,1.0207744,0.8167871,1.1501925,1.1407297,0.94738257,1.2364048,1.2128061,1.189226,1.012626,0.90641665,1.1361315,0.90682906,0.9307403,1.0649238,1.0050426,0.8746613,1.1465589,1.3181742,0.9230269,1.2854276,0.788206,1.1570024,0.9885771,1.1935797,0.73248625,1.1798153,1.1265178,0.64021176,0.8110411,1.0887991,1.0280029,1.0543172,1.2201691,0.9484954,1.0364004,1.0918875,0.7017828,0.97284067,1.246172,1.0123339,0.8309244,1.2080234,1.0899019,1.1830975,0.99796844,0.8729299,0.8991196,1.2006292,1.1267312,0.8232547,0.92600083,0.7369089,0.8586903,1.1982021,0.99608314,0.6415567,0.68265766,1.0648099,1.0112339,0.9006988,1.0110954,1.0961436,0.7865877,1.277082,0.8335631,1.029246,0.6882558,1.133585,1.0687947,1.0635085,0.87799233,1.0052835,0.94301516,0.9474363,0.91607314,0.93942255,1.0719541,0.9520427,0.49483627,1.202299,1.1229962,0.8171195,1.0419089,1.1756305,1.2695565,0.7000116,0.60654646,1.0879024,1.1592443,0.9412782,0.7288845,0.99159205,1.1150365
bathtub,0.60167825,1.2521946,1.4870071,0.47840327,1.2314322,1.3071567,1.3879219,1.2188139,0.0,0.41767675,1.3043079,0.51648885,0.7281511,1.0784699,0.46379077,0.54726356,1.3084809,1.4420455,1.1010019,0.80932504,1.3253711,0.88998574,1.2284287,1.2810332,1.3464936,1.1442455,1.1328075,0.528897,0.87254864,1.2125587,1.3621359,0.6310414,1.0500803,0.8725556,0.5114726,1.0515699,1.4243175,0.78800213,1.3818811,1.0757172,0.6239241,1.1541052,0.47592044,0.8776196,0.7455447,1.2244118,1.4432015,0.7145124,0.8414453,1.309541,0.9838611,1.4162283,1.2297556,1.4338157,1.3794849,0.5466948,1.3297069,1.2809938,1.3428853,0.689631,1.4371595,0.94813275,1.4559771,0.7791137,0.6735507,0.53265965,1.1917113,0.66878587,0.91606,0.92964613,1.3137178,1.0547872,1.2692128,0.9701329,0.8945128,0.9181882,1.2271434,1.31181,1.3575013,1.3452663,1.0600561,1.4161371,0.66590416,0.8575078,0.70289445,0.6674964,0.9316353,1.3622992,1.3482611,1.1072699,1.0565773,1.0761408,1.2379568,1.1734638,1.2520967,0.999992,1.5011289,1.0187392,1.300096,0.5336525,1.0614755,1.3364196,1.139677,0.79764646,1.2278944,0.5888545,1.1659939,0.9208238,1.3430862,0.39291513,0.49845475,0.7505419,1.4576936,0.72710574,1.3025756,1.0586467,1.18397,1.1941996,0.6525632,1.4435072,1.0472215,0.616871,0.39391077,1.42362,1.4414324,1.1096954,0.6760257,1.3598803,1.4378507,0.56214964,0.62573564,1.130175,1.058439,1.3874518,0.49691063
bed,0.56235737,1.4178433,1.5073478,0.5202104,1.1658869,1.2993901,1.4224775,1.1524096,0.41767675,0.0,1.303815,0.35753667,0.5739233,1.1326984,0.1318512,0.7348826,1.2407389,1.5868399,1.3121732,0.7663451,1.326392,0.96691495,1.4013857,1.3010213,1.410257,1.2132007,1.1089568,0.6375006,0.6374203,1.1705312,1.4710597,0.60977775,1.068181,0.79859835,0.116096616,1.0680015,1.5789241,0.51956606,1.6042118,1.1260296,0.48386753,0.98132074,0.5733583,0.9473942,0.65507025,1.2116348,1.5336825,0.8134028,0.7561308,1.2846674,1.151063,1.5406635,1.2941412,1.5693123,1.3043752,0.62173045,1.358263,1.1297328,1.398983,0.66418946,1.4777641,0.83820164,1.3948472,0.7085243,0.64322513,0.38768446,1.1530008,0.4479667,1.2091666,0.67825496,1.5472388,0.9927571,1.2457951,1.0398235,0.6238513,0.91964465,1.1791734,1.4081435,1.3649857,1.3861458,1.0325464,1.4749291,0.700822,0.92916286,0.50373876,0.4375475,0.9605189,1.54551,1.5129868,0.9985897,0.984788,0.65790546,1.2171743,1.2987783,1.2930489,0.8453872,1.4833052,0.7839352,1.3704319,0.61938274,1.0709252,1.3871007,1.241472,0.8479171,1.2502289,0.41023964,1.076209,0.6333019,1.4993148,0.48237813,0.7212709,0.5713067,1.5485694,0.88909686,1.3907775,1.0893912,1.2623236,1.477977,0.62402254,1.5584103,0.8892566,0.49507606,0.27002752,1.5340768,1.4827423,1.2928312,0.7725575,1.3809478,1.3490014,0.5966385,0.7494708,1.2148389,1.1083149,1.4900709,0.62588453
