,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,coffee,comb,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,hose,jar,jeans,knife,ladder,lamp,melon,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stroller,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.7892996,1.3348417,0.561992,1.3897204,1.4477847,0.7216816,0.9821854,0.8509927,0.54508173,1.3258555,1.1801449,0.55277544,0.62314737,0.9563765,1.3070714,1.4552441,1.1741798,0.91851693,0.79753643,1.0415365,1.4794817,1.0797478,1.2923126,1.1796367,0.86614764,0.88704765,1.0239339,1.3586556,0.96811426,0.8275131,0.5234387,1.4431821,0.6278041,1.4603801,1.0771338,0.666824,1.2037795,0.9037274,1.2502475,0.747983,1.1599015,0.80222213,1.0487021,0.8100934,1.094647,1.321724,1.043566,1.2802858,0.7463343,1.2150792,0.97948796,1.0201478,1.1654155,0.7490221,0.57178605,1.2758737,0.9716973,0.9124405,0.99008006,0.640774,1.1107807,0.8648869,1.4867264,0.9270303,0.52598375,0.9523973,0.9087258,0.8635175,1.3568236,0.76169515,1.3435487,1.1904274,0.8387862,0.69467455,0.56320834,1.2210304,1.3842008,1.3748264,1.1461887,1.0213851,1.2640786,1.3143666,1.3991451,1.1702801,1.3699551,1.3811097,1.1516316,1.0803953,0.9215846,1.0887878,0.55866146,1.2505718,0.5113426,1.12494,1.0218717,1.0191313,0.69393694,1.0030141,1.3846886,1.1478174,1.3691092,0.9825253,0.87325454,1.2727921,1.0970967,0.9024143,0.7606174,1.4174045,1.0001345,1.092909,0.81806856,0.774953,1.3300688,0.83332115,1.0287573,0.8600309,1.2357131,1.1317258,0.720507
ankle,0.7892996,0.0,0.849032,0.7344935,0.77324325,0.963985,0.8814763,1.2372295,1.248822,1.1805451,0.9777918,1.2459965,0.9917554,1.1716622,1.267887,1.0874732,1.037791,1.2317828,1.0759152,0.69282055,1.1794415,1.1336005,0.7548897,1.0747577,1.0184319,0.6351391,0.9631716,1.1472592,1.1639724,0.8497746,0.97970986,1.0376837,0.8653004,1.0651938,1.0973122,1.139861,0.89760727,1.0654044,1.1511561,1.048265,0.62252,0.99855286,0.904796,0.5259265,1.1494594,0.70889556,1.0918057,0.8831156,0.80253404,1.244891,0.62195426,0.77953804,1.1786858,0.91025895,0.85298467,0.56563896,0.8200286,1.2412125,1.1209315,1.1123878,0.89969003,0.9623246,1.1611023,1.0525783,1.1074374,0.8136717,1.0052974,1.2686657,0.9964633,0.7487456,0.74806416,0.67803544,0.66872776,1.2406948,0.8205004,0.86226666,1.0255278,0.9526334,0.92323804,0.6887572,0.76682556,1.2037066,1.1493968,0.8546357,1.1168306,1.1810379,0.97385776,1.1881394,1.189635,0.9843453,1.0711647,1.0260346,1.1548945,0.8409975,1.0472741,0.84050924,1.2811506,1.27455,1.303498,0.83082825,0.9853016,0.9927342,1.1653196,1.0284109,1.1198697,1.1909751,1.2122924,1.2786531,1.2392899,0.19843572,0.7734647,0.94638836,0.8297997,1.26445,1.3463812,1.2181683,1.0917114,1.1898813,0.6562693,1.2208081
apple,1.3348417,0.849032,0.0,1.2823972,0.2873522,0.46567297,0.82615155,1.3077345,1.3371642,1.5149866,0.73488575,1.3296773,1.356112,1.4672853,1.340553,0.8653907,0.5868374,0.6167275,1.3102105,0.6487559,1.3017037,0.864126,0.8493089,1.1001178,0.880528,0.8712167,1.0663375,1.3559682,0.7259355,0.8720355,1.1037582,1.4318578,0.4992929,1.4987895,0.4768831,0.9732187,1.1887074,0.92943466,1.2335007,0.9801571,1.1479708,0.37373197,1.0647304,0.81583977,1.2381004,0.6262332,0.47625643,0.98839223,0.5827161,0.97881263,0.5835643,0.91852796,1.1967903,0.6193812,1.1217709,0.9978423,0.63874024,1.3740222,1.3917174,0.86929274,1.3859671,1.0305452,1.3559955,0.70613885,0.7601826,1.1855435,1.2233349,1.4286528,0.7589338,0.33579504,1.0419685,0.51760274,0.51947415,1.2745066,1.1851348,1.3777463,0.98955566,0.70775944,0.7254994,0.46785617,0.7806288,1.0235466,0.6171252,0.40155482,1.014866,0.997272,0.656258,1.1445034,0.9273881,0.77237344,0.79733807,1.3739645,1.0182072,1.3532093,1.0929952,1.0148466,1.3589351,1.2772834,1.44439,0.6155595,0.53414184,0.60501724,0.6866664,0.9337383,1.007538,1.3369617,1.3743135,1.4984741,0.80398625,0.5837879,0.6341255,1.0245285,1.1650217,0.96855086,1.2289664,1.2062784,1.3198833,1.0945228,0.60135376,1.3093946
arm,0.561992,0.7344935,1.2823972,0.0,1.3124516,1.3101015,0.8086885,0.9914697,0.71929324,0.7060393,1.2617744,1.2371294,0.65422225,0.83965135,0.9886217,1.2462481,1.344834,1.1885113,0.9719561,0.9451127,1.1145775,1.417059,1.0096979,1.3138323,1.1148056,0.8589327,0.83499295,1.1510186,1.1203289,0.97711927,0.8714883,0.7337141,1.32478,0.8842536,1.3505883,1.0835606,0.7878844,1.1977594,1.0550654,1.1324682,0.7619567,1.1726509,0.77989876,0.9296628,0.68735015,1.20774,1.3724246,0.9731821,1.177778,0.78353125,1.1332227,0.9710492,1.0288398,1.03376,0.8099481,0.5184656,1.2336965,0.88509893,0.9987471,1.0204483,0.5882432,1.1742959,1.06604,1.4318695,0.9756828,0.6060411,1.1174405,0.9436846,1.0095013,1.2392246,1.0002347,1.2395073,1.0421101,0.9203111,0.5883002,0.6301986,1.1302185,1.2408975,1.2005837,1.1454915,1.2265406,1.2852627,1.3279386,1.291128,1.2872479,1.2365761,1.3387505,1.1870551,0.997498,0.9573746,1.0745581,0.7578869,1.229277,0.53359926,1.1592295,1.1203641,1.0458081,0.7462439,0.9515192,1.3674586,1.1727318,1.2882581,1.0652871,0.85110486,1.2420186,1.169776,0.9694875,0.73485196,1.1833825,0.8911802,1.1560954,0.71132267,1.0899148,1.2082821,0.6962212,0.9696604,0.87433946,1.3289622,1.1068685,0.8740685
ball,1.3897204,0.77324325,0.2873522,1.3124516,0.0,0.4020654,1.0483925,1.1756828,1.4098097,1.4929954,0.665126,1.1908673,1.3863189,1.4127455,1.3636601,0.8551382,0.50923705,0.9065612,1.2170078,0.7975249,1.2495834,0.67317975,0.8171053,0.8558053,0.93620545,0.8941843,1.0168012,1.2158755,0.71941465,0.8529289,1.1845134,1.3959628,0.45083326,1.4241639,0.5077794,1.0567282,1.1642762,0.7631712,1.208114,0.91088253,1.1269749,0.5336722,1.086976,0.73518515,1.2871183,0.6205779,0.5160543,1.0071974,0.5849886,1.2980182,0.5451623,0.8636625,1.1230886,0.79734474,1.1530296,1.1371754,0.49991322,1.3402125,1.2880147,1.0814896,1.2730057,0.98836917,1.2815799,0.49518687,1.0389552,1.248353,1.1545029,1.3993766,0.9650356,0.30351323,1.0194801,0.45406222,0.39501828,1.3048027,1.243662,1.2782915,0.95115954,0.61170125,0.6329622,0.6731977,0.7229631,0.9738764,0.74224305,0.25785697,0.77733266,0.8801501,0.55758107,1.0905077,0.864725,0.89434814,1.0054927,1.3646662,0.9699963,1.363677,1.0058516,0.87852824,1.371654,1.4945748,1.407902,0.5026493,0.70320266,0.5555284,0.9929442,1.1743432,0.8919767,1.2303389,1.3701867,1.520201,0.8479965,0.48097217,0.6701435,1.2002234,1.0465927,0.9636228,1.4629494,1.1438931,1.3185006,0.9197531,0.5370658,1.3341011
balloon,1.4477847,0.963985,0.46567297,1.3101015,0.4020654,0.0,1.0636464,1.2449684,1.2555755,1.4615909,0.54996026,1.0638674,1.3630682,1.386164,1.0876158,0.7709073,0.57588685,0.8386154,1.1705348,0.877793,1.1544242,0.67537045,0.82513034,0.92694336,0.81657887,0.99663204,1.2060552,1.19232,0.64675325,0.9430497,1.1670876,1.381665,0.4220342,1.4007819,0.5623825,0.93795305,1.1978637,0.8682934,1.2630771,0.9677863,1.1306765,0.67255366,1.1510243,0.81178755,1.2805753,0.7018552,0.6247404,0.9208133,0.5928032,1.276964,0.68353283,0.9916971,1.134435,0.56353354,1.185697,1.2379135,0.5897009,1.2531925,1.2124708,1.0427822,1.337459,0.8403057,1.2823104,0.61193043,0.7916156,1.2728956,1.1272577,1.3110216,1.0088153,0.44722068,1.0655038,0.596993,0.6875159,1.3533621,1.2122886,1.3274256,0.8005873,0.5561432,0.5901255,0.6457133,0.68854654,1.0194529,0.5622357,0.44305968,0.913908,1.002072,0.6142538,1.0803081,0.956911,0.8914329,0.89446574,1.3936071,0.815716,1.3645818,1.0172058,1.0210612,1.2639987,1.3495977,1.1966363,0.5867938,0.7338291,0.62437147,0.98464054,1.0585161,0.90833575,1.1951916,1.3424735,1.4128078,0.66627896,0.7579404,0.8163538,1.1801963,1.0382315,0.7345756,1.2167751,1.1562775,1.2935668,1.0086659,0.61336774,1.397578
banana,0.7216816,0.8814763,0.82615155,0.8086885,1.0483925,1.0636464,0.0,0.96452284,0.90162927,0.97188836,1.2510548,1.2199858,0.8438652,0.9543022,0.88178,1.1557593,1.3009677,0.80147517,1.0097883,0.5884203,1.098208,1.3248008,1.089506,1.3451495,1.1078995,0.63840914,1.1032461,1.185992,1.0787649,1.0461535,0.7078546,0.981913,1.2003251,1.0296915,1.0400568,0.91104424,0.94405025,1.1271764,1.1273823,1.0728302,0.97826815,0.6387983,0.9715029,0.9486427,0.9947475,1.0291176,1.100662,0.84303045,1.0428648,0.6702262,1.1984124,0.70779645,1.0451553,0.72386307,1.0000037,0.6238788,1.2397425,1.2077049,1.092051,0.9017006,1.0531886,1.1629127,1.117999,1.36227,0.638798,0.6505061,1.0492477,1.2310328,0.8123193,1.1675768,0.88733894,1.206894,0.9645378,1.1753626,0.77690494,1.0010417,1.1259866,1.3337517,1.2541393,1.0265117,1.036238,1.2898889,0.95202965,1.187666,1.320726,1.3399044,1.2861491,1.2499399,0.99380374,0.9437398,0.7971113,1.0121176,1.104821,0.9663165,1.0570192,1.1553775,0.9874251,0.72224677,0.95226365,1.272927,0.6308234,1.0166459,0.53626835,0.67664564,1.2811202,1.1703445,0.98864603,0.9808118,1.0339206,0.96186256,0.7574811,0.7004906,1.082835,0.90896344,0.7366041,1.0799983,1.0840685,1.3284376,0.90332603,1.07033
basket,0.9821854,1.2372295,1.3077345,0.9914697,1.1756828,1.2449684,0.96452284,0.0,0.83391786,0.7579819,1.1749424,0.8413992,0.75533056,0.7000772,0.9406289,0.87726945,1.1725811,1.030765,0.6237954,1.0674822,0.9906585,0.90636975,1.1101862,0.82094693,1.0326681,1.0446143,1.0496061,0.6656536,1.0358695,1.155597,0.8375181,0.7982213,1.2266433,0.59414786,1.0820503,1.0480782,0.87631476,0.8927712,0.8263494,0.98318857,1.1184664,1.1171421,1.1080925,1.1038727,0.9448441,1.1202805,1.1020639,0.90023494,1.1169404,0.9337921,1.206531,0.9136059,0.84492385,1.0491076,1.0900586,1.0967445,1.0866898,1.0740602,0.9226601,1.0076449,1.0338637,1.0651962,0.72732306,1.0693593,1.0257893,0.8428169,0.856375,1.0316461,1.081078,1.266595,0.8319811,1.1993374,1.2162496,0.8871725,0.984374,1.0304967,1.0661869,1.1665678,1.1496818,1.3080199,1.0510281,0.85026586,1.0156982,1.127343,0.7271856,0.9362956,1.1268448,0.91087586,1.0385501,1.2174084,1.190931,0.7942233,1.1113442,1.0250763,0.95064855,0.9668518,0.9967738,0.79724777,0.92772794,1.1599175,1.0702702,1.0674611,0.98120445,1.0101166,0.9850145,0.79083264,0.9397711,0.6830009,0.99944264,1.2227474,0.9041304,1.0181247,0.90768784,0.90384746,0.92301416,1.0351764,1.115747,0.9686215,1.1870499,1.0222337
bathtub,0.8509927,1.248822,1.3371642,0.71929324,1.4098097,1.2555755,0.90162927,0.83391786,0.0,0.54202724,1.3528947,1.0240934,0.71528125,0.53560185,0.6014226,1.1597952,1.395049,0.9164998,0.87378,1.2030671,0.7928566,1.2001196,1.2584294,1.2201682,1.213647,1.1030083,1.0913894,1.1050904,1.0496835,1.1215473,0.82347333,0.7087858,1.4922999,0.8490607,1.2487454,0.88916063,0.92400646,1.1995056,0.95000243,0.98628324,1.0321202,1.1298206,0.86858827,1.4441102,0.5608174,1.4740831,1.410885,1.0223949,1.3180318,0.73787177,1.441544,1.2202079,0.9577842,0.96772265,0.9283731,1.050251,1.4070408,0.69562715,0.83733934,0.949078,0.7626481,1.3435062,0.96486646,1.4354935,0.7821049,0.79372805,1.0513533,0.72787786,1.078311,1.3967758,1.2439544,1.5257473,1.2791501,0.76797587,0.84665287,0.7714895,1.036938,1.4007249,1.3503033,1.274082,1.3420966,1.1659759,1.0819881,1.4154332,1.2533746,1.0983012,1.4511856,1.076561,0.9104861,0.8733088,1.0879917,0.8216507,1.0931636,0.87835735,1.1584175,1.3404233,0.7288427,0.39424217,0.5513453,1.4879913,1.1063137,1.3329788,0.9193263,0.84605026,1.1024097,1.0458978,0.8048847,0.5121279,0.9664125,1.4491544,1.2777891,0.79264235,1.2603593,0.8498097,0.27860892,0.93400407,0.7077936,1.2484266,1.3482578,0.7961817
bed,0.54508173,1.1805451,1.5149866,0.7060393,1.4929954,1.4615909,0.97188836,0.7579819,0.54202724,0.0,1.3681072,0.96029866,0.57802576,0.31657982,0.80771154,1.2570155,1.5366695,1.1894203,0.89395684,1.1895674,0.8639155,1.4466227,1.2733836,1.2638391,1.2125999,1.0758617,0.8318149,0.8327575,1.2752212,0.94437927,1.0674036,0.17558813,1.5948932,0.5194954,1.5596061,1.0893868,0.59288126,1.2127906,0.774487,0.97018456,1.0081517,1.3604684,0.8791567,1.3381968,0.7432347,1.2988467,1.4801778,1.2675592,1.4636525,0.85312223,1.406062,1.1219965,0.81341887,1.2373052,0.78541213,0.8726891,1.3331686,0.72703505,0.81155765,1.0470796,0.43756628,1.2000098,0.7296331,1.495961,0.9202171,0.6683768,0.9877286,0.6617981,0.9932712,1.5108683,1.0107151,1.5378474,1.3410454,0.6898942,0.79647946,0.47678584,1.1828258,1.4539506,1.470876,1.2906293,1.0376358,1.1439652,1.2904305,1.4452615,1.1129894,1.1943817,1.4184513,0.9498871,0.7753959,1.0719569,1.2003529,0.6101189,1.2216718,0.56605756,1.1666025,1.1817552,0.8209255,0.58983505,0.7980623,1.5136228,1.3437538,1.3905542,1.0851858,1.079989,1.1100247,0.9642169,0.7143996,0.35243452,1.3392093,1.3945286,1.3663557,0.9775061,0.9669154,1.1902992,0.6669387,0.7969842,0.6418634,1.1636273,1.4157878,0.49814308
belt,1.3258555,0.9777918,0.73488575,1.2617744,0.665126,0.54996026,1.2510548,1.1749424,1.3528947,1.3681072,0.0,1.0222933,1.2832018,1.2135506,1.0955579,0.7181135,0.5858953,1.1129456,1.1048315,0.8825046,1.1112573,0.75121784,0.7472068,0.81965494,0.68489015,0.990137,1.0075861,1.0548229,0.87593406,0.88089883,1.1547306,1.2846882,0.3482256,1.1782321,0.6849904,1.1915842,1.2078955,0.97212076,1.2477431,1.0660814,1.0029517,1.0036418,1.1587979,0.6930236,1.2319608,0.5832428,0.6774653,0.9388331,0.65257907,1.3661942,0.58704126,1.05806,1.0522826,0.9374269,1.1724946,1.2864215,0.53052706,1.1192219,1.2152299,1.1842303,1.2049937,0.7736088,1.1800375,0.6397531,1.1587675,1.3017735,1.0517956,1.1910759,1.2185497,0.40474212,0.9067976,0.41148818,0.7995992,1.2667305,1.2275373,1.2091554,0.80468845,0.4726807,0.52259296,0.5858381,0.62469125,0.92299193,0.7933767,0.58002156,0.825788,0.96902627,0.5363352,1.033912,1.1289785,1.007648,1.089262,1.1638303,0.86224306,1.2151986,1.0762483,0.8806215,1.2139798,1.3989563,1.1672505,0.5066133,0.9152631,0.69512403,1.1989595,1.1956761,0.98001105,1.1038198,1.211072,1.3969612,0.9749425,0.78677356,0.8401445,1.2910148,0.7125635,1.0429337,1.4015112,1.0651504,1.1677468,0.93337816,0.6162147,1.2662392
