,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,penguin,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1170831,1.1453168,1.0659736,0.9962422,1.096285,1.0621848,1.0095744,0.9904392,0.99859554,0.83994573,1.0335995,1.0544994,1.0813884,0.97538567,0.6967405,1.1595243,1.0192946,0.9097405,0.9823927,0.92252827,1.1161069,1.1448828,1.119762,1.0420775,0.9754464,1.1302476,1.0147928,1.0709834,1.0267367,1.020375,1.0843047,1.0868083,0.9819064,1.1311872,0.84507155,0.85595596,0.9692734,1.0156927,1.1267292,0.93908113,0.72812897,0.8329822,1.0664562,1.0570852,1.0363977,1.0966005,1.1190143,0.9988908,1.0946078,0.9856621,0.9621608,1.1243526,0.92287844,0.23628432,1.0866029,1.0371584,1.108433,1.124764,1.0312203,1.1628045,1.0618132,1.1059303,0.8476455,1.0513073,1.0282145,1.0329136,0.9225394,1.0634123,0.9227745,0.80239916,1.0884154,1.0593115,1.1709533,0.91759473,1.1608019,1.0042795,1.1169097,1.027564,0.97219473,1.0349193,1.1217425,1.0302472,0.9974781,1.0234338,1.1232266,0.9052988,0.9512254,0.8991562,1.0359405,0.9880715,1.1364504,0.90596217,0.7967126,0.9565259,0.9402909,1.107396,0.9521844,0.99090374,1.1324772,1.0711869,0.93662524,0.957651,0.94384295,1.1845994,0.8880065,0.9946541,0.9214404,1.0506971,0.94591683,1.0107964,0.99301785,0.9574496,1.0252447,1.0260812,1.0141172,0.9197043,0.9621435,1.0166233,0.89364624,1.0651399,1.0254122,1.0378172,1.057097,1.0924914,1.086347,1.1052601,1.0689741,0.9472885,0.9044341,0.9160248,1.0183206,1.0941199,1.0406818
ankle,1.1170831,0.0,0.7882277,1.0592889,1.1932172,0.8139634,0.885171,0.91107315,0.8395671,1.256835,1.4210149,0.6900476,1.2886524,1.1758881,1.3038491,1.0224361,0.7823368,0.76335883,1.2075217,1.2077177,1.197056,0.81540096,0.70904803,0.9876758,0.9510018,1.1412866,0.8343886,1.006257,0.7217491,1.1717281,0.8604891,1.2518026,1.1947373,1.0695034,0.8179365,1.4001036,1.089889,0.7133738,1.3064096,0.70808977,0.9080995,1.2628458,1.1015037,1.0935721,0.8538009,1.1773252,0.87361467,0.7365584,1.252218,0.5077355,1.0562947,1.0393558,0.48036313,0.6870475,1.1090444,1.1948485,0.7502217,0.6798674,0.9884471,1.1372006,1.0158412,0.94417876,0.5634912,1.1882255,1.327129,0.9494935,1.2454536,0.6518482,1.032862,0.80612427,1.2498482,0.983798,0.91214895,1.0929728,1.2646139,0.8123258,1.1023362,0.65054125,0.696571,0.93864423,0.7545792,0.82693547,1.0223923,1.0901926,1.174612,1.1879797,0.76432395,1.1609565,1.2486012,0.6010975,0.6370523,0.67801416,0.989731,1.2200439,0.860964,0.8953127,0.91568184,1.062091,0.93177724,0.73075765,1.1642791,1.2336873,1.0314025,1.2428159,1.0138958,1.1439655,1.3514447,0.788883,1.0623811,0.94139796,1.2245609,0.83038574,1.2172148,0.5650724,0.70219654,0.7678433,1.1113976,0.7257885,1.1286092,0.91296196,1.1797727,1.2885152,1.3313675,0.76402825,0.4069677,0.64702487,0.95295185,0.68747836,0.88663834,1.0213473,1.2079312,1.082196,0.5508703,1.0232395
apple,1.1453168,0.7882277,0.0,1.1551586,1.3245122,0.38433433,0.5952533,0.8070574,1.0626969,1.4615384,1.483455,0.60228837,1.5216689,1.2169292,1.4855675,1.0151888,0.4506129,0.6759392,1.388967,1.1742027,1.2955593,0.90037346,0.898591,1.0636072,1.1122866,1.2268617,1.1017051,0.8507428,0.30991912,1.2558615,0.9046481,1.2590263,1.2598312,1.0357661,0.8994953,1.4344451,1.0240875,0.623333,1.5690645,0.40113652,0.9671252,1.3772116,1.2060299,1.3377554,1.1154575,1.2932891,0.9081333,0.16443062,1.1241484,0.7237073,1.0742471,0.827567,0.7847476,0.69227314,1.0063636,1.1630193,0.74315035,1.0831468,0.8946285,1.1424344,0.9149607,1.2391031,0.5806786,1.302088,1.3251609,0.8662673,1.3936523,0.7284284,1.3568907,0.66920793,1.276041,0.92048854,1.0895619,1.3607738,1.1894912,0.9450574,1.0879892,0.17845339,0.5643478,0.94348323,0.27085072,0.051944256,1.1614337,1.2565448,1.4257474,1.3701127,1.0672495,1.0434816,1.2590582,0.54217345,0.54953396,0.65664583,1.0985672,1.2095778,0.8294263,0.8310405,0.769638,1.3080461,0.89898795,0.2906785,1.285521,1.3202124,1.2162023,1.2091681,1.2020925,1.1804255,1.3531368,0.9125448,1.1614999,1.1865472,1.2557371,1.0269277,1.412375,0.41145265,0.29523683,1.0424968,1.0575049,0.7301173,1.2742215,0.56887865,1.3066796,1.3056296,1.5281717,0.3744192,0.52097046,0.39117265,1.2617155,0.43466663,0.6411638,1.177966,1.106484,1.2623715,0.42950356,1.2807689
applesauce,1.0659736,1.0592889,1.1551586,0.0,0.72288173,1.0617306,1.0994998,1.1180906,1.2039096,0.9119725,0.9215616,1.3498974,0.93064165,0.88729995,0.8750466,1.1516297,1.2524121,1.1991054,0.9921569,0.7133422,1.0032011,1.1472014,1.3306503,1.1468244,1.0770278,0.8727597,1.2483199,1.1726567,1.3405575,0.97475696,1.1705304,0.8646637,0.9397691,1.0305086,1.1338787,0.9762847,0.9420353,1.3443185,0.97400224,1.2812897,0.88849264,0.84106386,0.8886644,1.0858318,1.0978628,0.8657391,1.1043657,1.1070033,0.8998495,0.96969986,0.46085215,0.9699931,1.1579263,1.2329488,0.79778135,0.5092131,1.1979988,0.9390968,0.51318276,0.9065374,0.7054509,0.6401086,1.2243536,0.80097425,0.90884155,1.0103172,0.8789048,1.2748572,1.10482,1.2118294,0.66778374,0.90528446,0.99556476,0.52296525,0.9488236,0.9744525,0.69352686,1.2543743,1.37445,1.1537292,1.2633979,1.272028,1.0657657,0.74356973,0.77549756,0.9997877,1.1756487,1.062999,0.818404,1.3611417,1.3518085,1.2130344,1.2037477,0.6039499,1.1161299,1.2013054,0.96804947,0.8781014,1.0283612,1.1958104,1.0158385,0.8854183,0.9505063,1.0266156,0.9895075,0.9158715,0.90946615,0.9741372,0.99498904,0.9352255,0.93986213,1.0892025,1.0215566,1.2913527,1.2888491,1.0601552,0.98857737,1.177238,0.8181581,1.1505724,0.94319516,0.86824226,0.90178066,1.2734089,1.1804166,1.226212,0.7686796,1.3851752,1.1943204,1.0771987,1.0871508,1.0397561,1.2890053,1.0853896
arm,0.9962422,1.1932172,1.3245122,0.72288173,0.0,1.3563399,1.3046108,1.2236037,1.3360834,0.6920107,0.5118896,1.415575,0.69235,0.61242497,0.597666,1.1592096,1.4096811,1.492971,0.8520664,0.8172349,0.8700366,1.3405187,1.3982247,0.97830445,0.9685532,0.72357094,1.2770019,1.2804502,1.3825307,0.917592,1.2078054,0.8177687,0.80658555,1.0869342,1.1941563,0.6057751,1.035455,1.4060771,0.72116613,1.4572505,1.2475909,0.6949799,1.0097426,0.9341111,1.1178622,0.49437487,0.9283925,1.3030522,0.6115083,0.9432568,0.8713737,1.2856071,1.0091327,1.4470097,1.046114,0.64798844,1.1095864,0.92518526,0.99240434,0.54778564,0.92945427,0.4650036,1.4033607,0.44590867,0.44563442,1.2159874,0.44459993,1.3789909,0.9886383,1.4145426,0.7442175,1.1656762,1.0570996,0.56445616,0.6354632,0.885504,0.9612995,1.3682714,1.4467016,1.2451091,1.2918558,1.3115643,1.1333699,0.9071817,0.4985168,0.6214181,1.1435964,1.1677268,0.7339282,1.4336989,1.312563,1.1821284,1.1738756,0.8760248,1.2455375,1.4304707,1.2481079,1.0688537,1.2969741,1.2789458,0.92225,0.8489269,1.0708227,0.9272084,0.70746326,0.89112306,0.3557732,1.310602,0.9390038,1.0887735,0.843146,1.2218287,0.84957165,1.5488296,1.4179335,1.1154454,0.9899305,1.4280293,0.83177406,1.3001375,0.9888079,0.5176133,0.7436862,1.5270312,1.0904751,1.2412745,0.66283345,1.4348438,1.4609187,1.1647605,1.0086251,1.0386515,1.3982428,0.93301296
ball,1.096285,0.8139634,0.38433433,1.0617306,1.3563399,0.0,0.2087518,0.8603108,0.92666984,1.3897486,1.3757317,0.76031727,1.3675017,1.2761133,1.341851,0.94330376,0.629237,0.6052979,1.2277524,1.2491255,1.1888728,0.7849078,0.9053896,1.147396,1.1062824,1.2516584,1.0771078,0.9720901,0.47644746,1.2699347,1.0534545,1.1997143,1.1474122,1.0732394,1.0379051,1.3641438,1.1569,0.7195757,1.4383488,0.5583246,0.6703936,1.2819498,1.0326408,1.3084792,1.0369468,1.2969186,1.1718736,0.3094406,1.2141201,0.821628,0.9513495,0.8317579,1.0321618,0.7358306,0.9637205,1.101182,0.94068515,0.97681487,0.6131203,1.2449889,1.0430975,1.2201241,0.6735635,1.3029507,1.3428515,0.79050314,1.3793049,0.807153,1.300117,0.6214916,1.2711799,0.64702445,0.9752313,1.2317533,1.147281,1.176255,1.0267311,0.5023577,0.73074096,0.89651674,0.63880557,0.49428296,1.1272463,1.2376214,1.3984352,1.4234936,1.0597185,1.0146046,1.22587,0.7161084,0.7517203,0.93779194,0.9208718,1.1906664,0.8540646,0.6914989,0.5114429,1.1251961,0.75979316,0.6810665,1.258141,1.2195059,1.2137623,1.2197492,1.203272,1.1603667,1.363864,0.8584263,0.99986964,1.0593184,1.1960264,0.92176783,1.276968,0.52290404,0.58629453,1.0133508,0.8319315,0.76631224,1.0677118,0.6420146,1.2245138,1.3097217,1.4425532,0.3756764,0.81650335,0.7985308,1.2876719,0.71078837,0.48139846,1.0828176,0.96880573,1.166589,0.69868964,1.2347106
balloon,1.0621848,0.885171,0.5952533,1.0994998,1.3046108,0.2087518,0.0,0.87381893,0.87731975,1.2804428,1.2740092,0.8473794,1.2230115,1.2242696,1.2424357,0.8801437,0.70346993,0.6047039,1.0868161,1.305033,1.1420691,0.73052484,0.81873834,1.1080159,1.1325067,1.2096524,0.933579,1.0140624,0.67670786,1.226811,1.0961142,1.1512616,1.0546427,1.1350893,1.1179839,1.2303754,1.2273198,0.78582937,1.2608876,0.6526037,0.606721,1.2482439,0.98010266,1.2169555,1.0616794,1.2457722,1.2113619,0.42740953,1.2239299,0.91607004,0.99790144,0.9047943,1.0998421,0.7553164,0.9886631,1.1455802,0.9937048,0.9979921,0.652506,1.2562387,1.0872108,1.2341018,0.7789661,1.2647487,1.2908349,0.7641065,1.3234496,0.86853784,1.1430534,0.63141483,1.2673751,0.7821944,0.88006866,1.2230248,1.0630077,1.2432642,1.1013731,0.7194018,0.8258929,0.85917795,0.83612716,0.7038889,1.0716895,1.2014399,1.3119723,1.3594015,0.96020603,0.96484715,1.2030634,0.81803405,0.8670862,1.0054022,0.9069798,1.2045316,0.90495825,0.68236065,0.6405395,1.1126809,0.6917173,0.82710105,1.1820873,1.1703295,1.1898661,1.2039623,1.1875134,1.1227005,1.2928841,0.89711666,1.013544,1.0060616,1.1143131,0.9270635,1.0938313,0.5981974,0.75075996,1.005101,0.7974531,0.77029634,1.0988694,0.65164834,1.0994946,1.2239761,1.2726207,0.46600544,0.9176629,1.004447,1.2996548,0.8336382,0.4681462,1.0059193,0.93283355,1.010724,0.8401191,1.1518745
banana,1.0095744,0.91107315,0.8070574,1.1180906,1.2236037,0.8603108,0.87381893,0.0,1.0362324,1.0554781,1.218845,0.8539006,1.2543986,1.1763341,1.2345068,0.91530263,0.94571376,0.67242634,1.1273578,0.9237584,1.0009773,0.8851919,1.0836961,1.0705906,0.8812554,1.2014041,1.1260937,0.47817588,0.78828734,1.2242712,1.0335752,1.1651834,1.1694341,0.76285756,0.670488,1.1832175,0.7769445,0.72673357,1.2550427,0.879379,0.8978389,1.3143619,1.2212698,1.2113205,1.055714,1.1702883,1.0948429,0.7239414,1.2135966,1.0369695,1.1268663,0.86825776,1.0628674,0.64200187,0.9667504,1.1066383,1.039283,1.0615698,1.0832789,1.2589102,1.0531607,1.1725125,0.9421989,1.1890105,1.2458874,0.8164768,1.2452276,0.7881162,1.2249533,0.8325097,1.0266694,0.9014589,1.0065433,1.1747658,1.0929109,1.0973305,0.89394903,0.88480586,0.8887865,0.9467927,0.92091846,0.8119172,1.0577875,1.2036734,1.2869129,1.2646314,0.8309013,0.73719215,1.0106145,0.79106355,0.7811584,1.0376602,0.9142798,1.0997846,0.8454252,0.5802695,0.9031527,1.1879915,1.0195403,0.7674908,1.1422666,1.0968107,1.1884727,0.94996387,1.1953869,0.9441713,1.2803481,0.8416332,1.1504819,0.93934804,1.1589576,0.9193704,0.9764398,0.80327654,0.6772045,0.9442103,0.79794866,0.65738666,1.1085023,0.7480862,1.2853882,1.2861205,1.1903414,0.6857027,1.0586057,0.81058955,1.0893856,0.89080673,0.83816016,0.85230684,1.0096607,1.1242696,0.8978445,1.131302
basket,0.9904392,0.8395671,1.0626969,1.2039096,1.3360834,0.92666984,0.87731975,1.0362324,0.0,1.0790995,1.2104104,0.8451824,1.0778053,1.2439331,1.0983903,0.71126413,0.7607948,0.6349447,0.7114668,1.208222,1.0379676,0.5274396,0.43455756,1.0391024,1.1588646,1.3263949,0.46411794,0.9350916,0.9283861,1.0331625,0.9632298,0.9862606,0.9808349,1.0239862,1.0085319,1.1114197,1.1109761,0.74559796,0.73491615,0.7190784,0.79936516,1.2167935,0.7404618,0.9415497,0.9294537,1.3108654,1.2427976,1.0504227,1.3338203,1.1194217,1.2570094,0.8267609,1.1349666,0.7055135,1.0439689,1.4470516,1.0517796,0.9854051,1.1389122,1.3656394,1.1182758,1.3522031,0.71954536,1.3454432,1.3788064,0.7115722,1.4040289,0.7163767,0.5604644,0.65999305,1.2349364,0.91612506,0.81254274,1.2999122,1.2087386,1.281016,1.173661,1.0493832,0.58416295,0.8530254,1.010109,1.0272666,0.6078438,1.0287191,1.1987785,1.2904558,0.85199654,0.7922695,0.99521,0.7720301,0.8179731,1.1075529,0.62053144,1.1524401,0.69513047,0.7503892,0.8738704,0.47836554,0.5421738,1.0976248,0.931038,1.1810945,0.92488897,1.1762916,1.2139268,1.137338,1.3798339,0.5762223,0.9125789,0.8417058,1.1372644,0.8771818,0.9441353,0.7275301,0.92805743,0.958184,1.1652597,0.69752973,1.3029659,1.0235981,0.6607474,1.3433465,0.9645865,0.7645767,1.0569899,1.209391,1.2316883,0.68653005,0.5909221,0.6772372,1.018585,0.6840055,0.92682433,0.9240896
bathtub,0.99859554,1.256835,1.4615384,0.9119725,0.6920107,1.3897486,1.2804428,1.0554781,1.0790995,0.0,0.5501387,1.3370185,0.5105231,0.9488153,0.6758076,1.0469627,1.2729592,1.0236504,0.59065646,0.8487914,0.8337891,0.9261963,1.1022851,0.98511755,1.0330069,0.7433078,1.0826223,1.1626961,1.3817229,0.92150897,1.0932683,0.74637556,0.7169826,1.049334,1.2281356,0.69947803,1.0497551,1.4090846,0.49310273,1.288759,1.0119524,0.8828346,1.1208494,0.5775464,0.7911263,0.82966626,1.1786549,1.3721728,0.8587895,1.2894639,1.0826621,1.1817446,1.2783831,1.2185742,1.1462761,0.84224623,1.3103228,1.2394698,1.1858164,0.85851514,1.0374974,0.93785,1.4308832,0.7906649,0.7785357,1.1148252,0.7473271,1.1940846,0.85594463,1.2372081,0.87742686,1.1992943,0.82531345,0.8653393,0.9068913,1.0989963,1.0119038,1.4438667,1.1915118,1.2633814,1.3297852,1.4201338,0.68478835,0.77972484,0.82906646,0.7272624,0.7846969,0.95252335,0.8809707,1.4228113,1.3958753,1.3395896,1.0451552,0.94108087,1.2130736,1.0461746,1.2955006,0.88756853,0.97700757,1.4218844,0.55188125,0.69644105,0.8915239,0.924754,1.0714257,0.97868556,0.7209754,1.0656835,1.0130364,0.95168686,0.70274144,0.56715775,0.5546264,1.4272215,1.3462987,1.2114997,0.9684493,1.1808126,0.93430084,1.2885716,0.8938937,0.7721399,0.56522375,1.38991,1.4539635,1.3576299,0.95884687,1.2771384,1.3617975,0.6585347,0.8564776,0.9327097,1.4882468,0.7087611
