,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,0.9198177,1.069923,1.1062852,1.1461169,0.6639044,1.1073763,1.053301,0.9351975,0.9485416,0.88521695,1.0965511,0.96928155,0.77395403,0.9538128,0.8986869,0.9885754,1.1214657,1.0280527,0.9284226,1.1011308,1.061696,1.2621518,1.054893,0.9214026,0.83501,0.93968976,1.0760342,1.1108104,1.0632554,1.200286,1.1540494,0.9489313,0.9968826,1.0695325,0.8638844,1.0139238,1.1797416,1.0061566,0.99756193,1.1097562,0.94505024,1.1305451,0.91852355,0.98778635,1.0008613,0.95463705,1.0990809,0.85928833,1.0611061,1.2248875,0.8691992,0.4680431,0.8908342,0.98788995,1.154952,1.062732,1.0048646,1.0574325,1.1398946,1.1218526,0.9862235,1.1725024,0.9845456,1.1012275,1.0984626,1.1997199,0.9461708,1.1561277,0.901554,0.86332345,0.9961323,1.0515332,1.0264385,0.9990896,0.99387723,1.0603294,1.0315735,0.9667491,1.1107439,1.0247862,0.96152955,1.0125091,0.9138954,0.9801524,1.0625739,0.9159883,0.9851701,1.1591244,1.0497036,1.1231211,0.6727618,1.0621839,0.8131172,0.9295427,1.062932,1.0680311,0.82786125,1.045911,1.0630099,0.93448687,1.0182297,1.0931419,1.1794834,0.90275663,1.0617096,0.87622225,1.2146425,0.9795332,1.0042902,1.0492347,1.0812546,0.9258132,1.0327637,0.8921651,0.9124753,1.0239798,1.1038797,1.0215936,1.001019
apple,0.9198177,0.0,1.2466552,0.73465824,0.6896547,0.79116195,0.78444564,1.2150525,1.1817937,1.3013148,1.0906843,1.1787108,1.1785268,0.82523715,1.2707875,0.9344057,0.8008406,0.7978107,0.8684789,1.0663255,0.8397328,1.0890923,0.929806,0.8680639,0.92399335,0.94129574,1.3255105,1.2417941,0.6614278,1.2066998,1.1390177,1.1530356,0.97454435,1.366162,0.91315216,0.7901469,1.2545503,0.71132296,1.1372186,0.97306216,1.2630684,1.0071121,1.1554439,1.108734,0.52556115,0.8391329,1.0159125,1.0354034,0.91758925,0.76069206,1.012568,0.7575435,0.52494955,1.0653591,0.8973109,1.133168,0.7493676,1.2051454,1.1636275,0.89419293,1.0922247,1.1630692,1.219459,1.161614,1.1882236,0.7964702,1.1765275,0.85084575,1.2004735,1.1439364,1.169793,0.85281646,1.1822801,0.94094306,0.82816064,0.5128005,1.1829047,1.1019137,1.2038175,1.3207173,0.8909716,0.8753058,0.8986736,1.1958361,1.1746708,0.9563728,0.9344255,0.5266452,1.0196538,0.9154967,1.2896729,1.140838,1.2263485,0.78128153,1.1995963,0.9521186,1.2486001,1.0790572,1.2606314,1.0962893,1.1505053,0.89049476,1.1674442,1.1391591,0.7703439,1.0601574,0.11598754,1.1862679,1.2288101,1.0893098,0.92753845,0.9344626,0.93639684,1.2563312,1.1317179,0.6772487,0.899419,0.98164284,0.8996348,1.117719
arm,1.069923,1.2466552,0.0,0.9797649,0.99705696,1.1938478,1.3115644,0.97234213,0.9110474,0.6699498,1.138992,0.84029675,0.707194,1.1925528,0.8490527,1.0374827,1.1379912,1.3401942,1.3244532,0.94926244,1.1173998,1.2641796,1.1928442,1.3184161,1.3172336,1.1199496,0.93863326,0.88205665,1.275258,0.798242,0.81642205,1.0533932,1.1076419,0.60337734,1.0765088,1.3408244,0.78365517,1.2215257,1.1186533,1.0687478,0.8519182,1.1364892,0.77419686,1.0859253,1.2107052,1.1862776,0.9840797,1.0717069,1.1680459,1.3793782,1.134955,1.417126,1.2933235,1.0081917,1.3549479,0.8531071,1.2118229,0.7071052,0.71619964,1.2017028,0.9583252,0.81478196,0.5918597,1.071103,0.8411227,1.4120083,0.49801815,0.9274312,0.764282,0.8090866,0.86824167,1.1771405,1.0872656,1.0608857,1.2280445,1.1965744,0.9340718,0.96385694,0.73858964,0.59078,0.8720528,1.2850046,1.205341,1.2179325,0.75640404,1.4173359,1.395632,1.1988256,1.1934304,1.3528798,0.79736173,0.99493116,0.9247228,1.2330217,0.5337659,1.1859528,0.7163605,1.2038163,0.78343356,0.9431241,0.8672465,1.2652376,0.83766204,0.77897984,1.3054023,0.97705394,1.2811195,1.0583378,0.5846514,0.7748571,1.1389151,0.95288193,1.1552292,0.69162476,1.1258233,1.2214326,1.1416299,1.1784427,1.1516926,0.9898391
ball,1.1062852,0.73465824,0.9797649,0.0,0.047766566,1.0213151,0.8442813,1.1763177,1.0140609,1.0496026,1.2506559,0.7877841,1.0210708,1.0718455,1.0883832,0.9020714,0.9307518,1.0299478,1.0803523,0.9427663,1.0346805,1.1727027,0.9247033,1.1074593,1.128849,1.087228,1.2233591,1.0805242,0.7920208,1.0681336,0.97268695,0.996363,1.0381349,1.0901663,1.0464857,1.1264149,0.96976596,0.888301,1.109674,0.8620615,1.055426,1.0557249,0.9894278,1.1066434,0.63193256,1.0202104,1.0122985,1.1830674,1.1340861,1.0507717,1.0788598,1.1042274,0.8486709,1.0527505,1.1949085,0.9898872,0.8345966,1.0192871,1.0460079,0.95631236,0.9693468,1.0502921,0.9890396,1.1749353,1.1361294,1.0468944,1.0087997,0.84181863,0.9831094,0.867507,1.0672262,1.0489205,1.2631989,1.1530097,1.1010315,0.5880511,1.1233748,1.1147203,1.0563778,1.0573606,0.837505,1.1858023,1.098786,1.2992841,1.0710862,1.2329926,1.2395248,0.33850956,1.0600288,1.1531467,1.1546903,1.0927999,1.063086,1.0153974,1.0283338,1.0860533,1.0513618,1.2201171,1.075625,1.0334946,0.98351187,1.1765511,1.0997773,1.1163851,1.025965,0.80616915,0.8726201,1.144378,1.0429999,0.9236041,1.1107113,1.1318359,1.0556753,0.95677394,1.219636,0.4956773,0.9373176,1.0019833,1.1139932,1.1605756
balloon,1.1461169,0.6896547,0.99705696,0.047766566,0.0,0.9982434,0.8272361,1.1543496,1.0278045,1.1327208,1.2475886,0.8240792,1.0725203,1.070167,1.1489644,0.86974335,0.9704112,0.9750844,1.0378326,1.0083002,0.9943721,1.1336683,0.87079996,1.0579762,1.1217391,1.0492274,1.2586222,1.1144286,0.7189825,1.09619,0.9708092,0.99784696,1.0360364,1.1586684,1.060515,1.0792474,1.0454457,0.8618989,1.1453657,0.9310005,1.0871022,1.0306125,1.002506,1.1310686,0.52455604,0.96408063,1.0260673,1.1492704,1.1162881,1.0063851,1.0599964,1.0531266,0.86886847,1.0522707,1.1558018,0.99414873,0.8620373,1.0608338,1.0983124,0.9052015,0.9694289,1.1215706,1.0140955,1.1504773,1.1599784,0.98680264,1.0483537,0.8097243,1.0133464,0.89011836,1.0878083,0.99750274,1.2472656,1.0929568,1.0284412,0.47592092,1.1281277,1.1132251,1.1114253,1.0863913,0.8960995,1.1419771,1.0665783,1.3046331,1.1320454,1.20781,1.208308,0.27512705,1.0509958,1.1305127,1.1908848,1.1407503,1.116253,1.0156815,1.0868152,1.0979273,1.0545564,1.1955879,1.0973301,1.0278313,1.0496677,1.1345572,1.0820148,1.1008387,0.9682956,0.788536,0.8283779,1.1788166,1.1003916,1.0114801,1.043685,1.1077309,1.0353022,1.0112861,1.1831052,0.53665614,0.9831558,0.99713266,1.0726663,1.1258595
banana,0.6639044,0.79116195,1.1938478,1.0213151,0.9982434,0.0,1.0149881,1.0574515,1.0087897,1.1011498,0.89072263,1.0711063,1.0233712,0.75179136,1.0772445,0.9706728,0.92038965,0.9621908,0.86790043,1.068716,0.85247546,1.0970427,0.9857842,0.8864406,0.9017559,0.882916,1.0950987,1.1729567,0.9304955,1.1232343,1.0766735,1.149277,0.8777149,1.148242,0.8813021,0.8060046,1.1021975,0.8693445,1.0950241,1.104414,1.2304769,0.97153544,1.2251346,1.0444136,0.7502228,0.91781086,1.0230616,1.0660589,0.88394016,1.0098555,1.1032541,0.8573955,0.64105684,0.9754834,0.9422671,1.148434,0.8997242,1.16271,1.1259124,1.0566493,1.137732,1.0963509,1.2894714,1.0139664,1.1485069,0.9704692,1.298779,0.8916157,1.1630778,1.0519887,1.0237869,0.9773922,1.0101938,1.0669944,0.902767,0.73549885,1.141179,1.0013885,1.0706434,1.1565976,0.97099745,0.89686227,0.9149698,0.9536528,1.104995,1.0507157,0.84433556,0.84230894,1.1298486,0.934745,1.1237042,0.8435296,1.0679965,0.90766084,1.109672,0.9864461,1.0262955,0.9360737,1.1820811,0.93418443,0.98097074,0.913527,1.142761,1.1213467,0.9011247,0.9939299,0.7955985,1.1694127,1.1350853,1.0466337,0.95647866,1.0627134,0.8769657,1.0483899,0.9640598,0.8758061,0.9404514,1.1613925,0.9292915,1.0772523
basket,1.1073763,0.78444564,1.3115644,0.8442813,0.8272361,1.0149881,0.0,1.1051421,1.0463963,1.2818532,1.0828633,0.9820017,1.2661498,0.9568312,1.1715713,0.90605044,0.79871905,0.6015967,0.68835825,0.86754125,0.87345386,0.94709325,0.55262244,0.72250164,0.71649253,1.0930166,1.2951437,0.9305465,0.7080248,1.0157763,1.0997857,0.8979616,0.86975574,1.2584426,0.9111907,0.80702245,1.0481305,0.67738986,1.0741045,0.83997804,1.1029367,0.7512975,1.1233271,1.1606472,0.7896761,0.9177001,1.120837,1.0955771,0.9697268,0.6429126,0.9620506,0.80176485,0.88987255,1.10451,0.8979517,1.0332491,0.73574305,1.2257345,1.2326987,0.8594408,1.1475941,1.2785611,1.0374415,0.9746471,1.0091083,0.6809957,1.0900782,1.0139458,0.9983561,1.1451545,1.1672485,0.91767406,0.9592397,1.0052325,0.8980995,0.78695244,0.8628584,1.12843,1.2406193,1.3204849,1.070582,0.8469869,0.8799168,0.98135716,1.3268707,0.7661748,0.8425281,0.78412694,0.7240905,0.6830352,1.1604412,1.2138611,1.1810381,0.94501716,1.3635128,0.80552083,1.2932286,1.0757704,1.1814711,0.97143364,1.2255322,0.8645178,1.1844295,1.0639883,0.9268849,0.9903321,0.76867306,0.9253332,1.4172509,1.2355917,0.886305,1.0333284,0.9762172,1.1796556,0.9800855,0.76093924,0.89465404,0.84468764,1.0037248,1.0878084
bathtub,1.053301,1.2150525,0.97234213,1.1763177,1.1543496,1.0574515,1.1051421,0.0,0.91276044,0.853238,1.0865521,0.7368516,1.0408299,1.2010298,0.88811266,1.0496484,1.1888031,1.3211803,1.1574349,0.9482626,1.2325115,0.8507116,0.9297131,1.0144708,1.0223436,1.3188951,0.79983425,0.7651312,1.1440105,0.725508,0.9509455,0.85078055,1.2202252,0.76312935,1.1493751,1.2378433,0.8544996,1.1930289,1.0662653,1.2247354,0.46234274,0.80380607,0.99334043,0.8179796,1.1387918,1.264552,1.1351035,1.2629532,1.0921153,1.2758335,1.1132836,1.1341965,1.2562306,0.8685375,1.1050259,1.109132,1.1895272,1.0436372,1.0997392,1.3202738,0.660773,0.99446946,0.96543276,0.64945936,0.79203224,0.95992696,1.0760812,1.0177225,0.81267905,1.0281641,0.9773871,1.2312107,0.84076786,1.1238984,1.2177081,1.1518953,0.5881282,0.9461171,1.0527055,0.81021774,1.0540116,1.2718823,1.2934543,0.8128178,0.86672354,1.137754,1.1635534,1.3391576,1.1988704,1.1250817,0.47610247,0.91438997,1.0388737,1.1521163,0.88813156,1.2289002,0.8406661,0.8344631,0.46590102,0.34017485,0.9030703,1.27586,0.47159427,0.95929235,1.1643505,0.9664485,1.1969086,0.9446536,0.9323293,0.936151,1.2064345,1.286782,1.1991165,0.97751266,0.86574775,1.2949494,0.901508,0.9469868,1.2160381,0.49650502
bear,0.9351975,1.1817937,0.9110474,1.0140609,1.0278045,1.0087897,1.0463963,0.91276044,0.0,0.77559775,1.1754175,0.8473558,0.8622666,1.057207,0.84936076,0.86933714,1.0925082,1.1872739,1.1328843,0.97452414,1.2603744,1.0979466,1.2369337,1.2401114,0.96095836,1.1350173,0.7898699,1.0907549,1.135152,0.78442246,0.953116,0.9469135,1.0703684,0.89794934,1.0732174,1.2202594,0.79874116,1.255737,0.9566573,0.98688376,0.85704476,1.134567,0.94490254,0.99533296,1.1643047,1.1079615,1.0345098,1.307184,0.99875134,1.1098725,1.0779018,1.1843148,1.101076,0.66765666,1.2034773,1.0778494,1.1633801,0.9343066,1.1121024,1.2849866,0.9267056,0.86699563,0.88840127,1.0352376,0.8456347,1.095924,0.9391048,0.99013555,0.96523684,1.0368311,0.86068773,1.205876,1.2713059,1.2222092,1.1793424,1.2121004,0.8772641,0.8555032,0.9465342,0.9704223,1.0205883,1.2846099,1.3577657,1.1822135,0.8801229,1.0794891,1.1937897,1.1681265,1.2099447,1.1318978,0.7614149,0.96223295,0.9740166,1.1252792,0.88885605,1.1021211,1.0136992,1.0410583,0.74339306,0.9193289,0.78247327,1.2514545,0.7736143,1.2375603,1.1746657,0.9360304,1.1972587,0.999225,0.8915216,0.77129877,1.0978647,1.2945496,1.104158,0.9476819,1.2936372,1.1046522,1.0424817,1.0193722,1.1710501,0.843255
bed,0.9485416,1.3013148,0.6699498,1.0496026,1.1327208,1.1011498,1.2818532,0.853238,0.77559775,0.0,1.3690503,0.47356033,0.3699724,1.2755861,0.14057171,1.011072,0.9089589,1.4928386,1.4686465,0.59577614,1.4016328,1.4008543,1.255195,1.4681101,1.1276026,1.346089,0.8091353,0.5768793,1.3927631,0.63134205,0.80186063,0.92963094,1.1512692,0.17819238,1.1588571,1.5472214,0.26314414,1.4142319,1.0149995,0.7734567,0.77193516,1.2159892,0.68481225,0.95729846,1.3154105,1.4327058,0.8800093,1.416831,1.2709972,1.351267,1.2238193,1.5165405,1.1393578,0.8733794,1.5276458,0.9862051,1.1006953,0.7102388,0.9457297,1.4415365,0.9869485,0.49795675,0.83505756,1.2204417,0.72531617,1.5487336,0.86028415,1.0462365,0.77887464,0.8902525,0.87362736,1.4237621,1.2193567,1.4135847,1.467664,1.3830056,0.8539191,0.709019,0.34082222,0.6149277,0.7474319,1.5031922,1.4821148,1.1287978,0.29003882,1.405174,1.3595077,1.3637757,1.2359596,1.3561394,0.61037076,0.78331435,0.79568064,1.2617905,0.5019851,1.2019109,0.6700626,1.3102067,0.71784264,0.84660345,0.4022789,1.497622,0.8674917,1.1827409,1.4162157,0.9860932,1.3656418,0.92830336,0.49769723,0.33105487,1.414474,1.4166074,1.2459998,0.70628405,1.2953366,0.88877255,0.8182529,1.2416682,1.3470446,1.0507929
